Id,Name,EnglishName,NameRemarks,ProfessionType,ProfessionIcon,ParentProfession,PresentM,PresentF,DefaultEquipM,DefaultEquipF,MoveSpeed,AI,SkillLineNum,SkillIds,ParentTransfromSkills,RootTransfromSkills,BaseLvRequired,JobLvRequired,MissionRequired,SkillPointRequired,FixedSkillIds,FixedUnlockSkillIds,FixedCommonSkillIds,AttrRecommend,ProfessionPreSwitch,HatredCount,ASPD,BornBuff,PreinstallAttr,SkillTabName,SkillTabAtlas,SkillTabIcon,CommonAttackSkillID,IsCommonAttack,CancelTargetDis,DefaultWeaponID,AttrAriseList,MercenaryRecommend,MatchDuty,BagShowSkillSlot,RrofessionPainting,ProfessionSharePic,ChooseJobPic
3201,武僧,Monk,武僧,2,UI_Common_Profession_Icon_20.png,3000,1130,1131,1130,1131,4.6,Player_Auto_Monk,3,320102|320103=320119|320104|320105|320106|320107|320108|320109|320110|320111|320112|320113,300005=320101,100001=320101,40,50,,40,,,320101|300006|300007|300025,300011|300012,1,10000,156,101601=10000|101701=10000|921301=10000|150001=10000,,武僧,CommonIcon,UI_CommonIcon_CareerIcon_Monk_02.png,320101,1,5,,,111|151,3,11,Painting/Monk_M.png=Painting/Monk_F.png,,ChoosePic/UI_Choose_Pic_Monk_M.png=ChoosePic/UI_Choose_Pic_Monk_F.png
3202,武术宗师,Champion,武术宗师,3,UI_Common_Profession_Icon_21.png,3201,2130,2131,2130,2131,4.6,Player_Auto_Champion,3,320202|320203|320204|320205|320206|320207|320208|320209|320210,320101=320201,100001=320201,70,90,,80,,,320201|300006|300007|300025,300013|300014,,10000,156,101601=10000|101701=10000|921301=10000|150001=10000,,武术宗师,CommonIcon,UI_CommonIcon_CareerIcon_Monk_03.png,320201,1,5,,,111|151,3,11,Painting/Champion_M.png=Painting/Champion_F.png,,
4000,魔法师,Magician,魔法师,1,UI_Common_Profession_Icon_02.png,1000,40,41,40,41,4.6,Player_Auto_Magician,3,400001|400002|400003|400004|400005|400006|400010|400011|400012|400013|400014,100001=400007|100002=400008|100003=400009|100005=400030,100001=400007|100002=400008|100003=400009|100005=400030,10,10,,0,,,400007|400008|400009|400030,400001|400002,1,10000,146,201101=10000|201201=10000|921301=10000,,魔法师,CommonIcon,UI_CommonIcon_CareerIcon_Magician_01.png,400007,0,8,,4=3301301|5=3301401,101|111,3,11,Career/Magician_M.png=Career/Magician_F.png,UI_Share_Pic_Magician_M.png=UI_Share_Pic_Magician_F.png,
4101,巫师,Wizard,巫师,2,UI_Common_Profession_Icon_09.png,4000,1040,1041,1040,1041,4.6,Player_Auto_Wizard,3,410102|410103|410104|410105|410106|410108|410110|410111|410112|400015|400016|400017,400007=410101,100001=410101,40,50,,40,,,410101|400008|400009|400030,400001|400002,1,10000,146,201101=10000|201201=10000|921301=10000,,巫师,CommonIcon,UI_CommonIcon_CareerIcon_Magician_02.png,410101,0,8,,,101|111,3,11,Painting/Wizard_M.png=Painting/Wizard_F.png,UI_Share_Pic_Wizard_M.png=UI_Share_Pic_Wizard_F.png,ChoosePic/UI_Choose_Pic_Wizard_M.png=ChoosePic/UI_Choose_Pic_Wizard_F.png
4102,超魔导士,HighWizard,超魔导士,3,UI_Common_Profession_Icon_15.png,4101,2040,2041,2040,2041,4.6,Player_Auto_HighWizard,3,410202|410204=410214|410205|410206|410207=410216|410208|410209=410215|410210|410114|410212,410101=410201,100001=410201,70,90,,80,,,410201|400008|400009|400030,400003|400004,,10000,146,201101=10000|201201=10000|921301=10000,,超魔导士,CommonIcon,UI_CommonIcon_CareerIcon_Magician_03.png,410201,0,8,,,,3,11,Painting/HighWizard_M.png=Painting/HighWizard_M.png,,
4201,贤者,Sage,贤者,2,UI_Common_Profession_Icon_30.png,4000,1140,1141,1140,1141,4.6,Player_Auto_Sage,3,420103|420104|420105|420106|420107|420108|420109|420110|420112|420113|420114|420115|420116|420117,400007=420101|400009=420118,100001=420101|100003=420118,40,50,,40,,,420101|400008|400009|400030|420118,400011|400012,1,10000,146,201101=10000|201201=10000|921301=10000,,贤者,CommonIcon,UI_CommonIcon_CareerIcon_Sage_01.png,420101,0,8,,,101|111,3,11,Painting/Sage_M.png=Painting/Sage_F.png,,ChoosePic/UI_Choose_Pic_Sage_M.png=ChoosePic/UI_Choose_Pic_Sage_F.png
4202,智者,Professor,智者,3,UI_Common_Profession_Icon_31.png,4201,2140,2141,2140,2141,4.6,Player_Auto_Scholar,3,420203|420204|420205|420206|420207|420208=420219|420209|420210|420211|420212|420213|420214|420215|420216|420217,420101=420201,100001=420201,70,90,,80,,,420201|400008|400009|400030|420118,400013|400014,,10000,146,201101=10000|201201=10000|921301=10000,,智者,CommonIcon,UI_CommonIcon_CareerIcon_Sage_02.png,420201,0,8,,,101|111,3,11,Painting/Scholar_M.png=Painting/Scholar_M.png,,
5000,盗贼,Thief,盗贼,1,UI_Common_Profession_Icon_03.png,1000,50,51,50,51,4.6,Player_Auto_Thief,3,500005|500007|500008|500009|500010|500011|500024|500025,100001=500001|100002=500002|100003=500003|100005=500022,100001=500001|100002=500002|100003=500003|100005=500022,10,10,,0,,,500001|500002|500003|500022,500001|500002,1,10000,156,301001=10000|301101=10000|921301=10000,,盗贼,CommonIcon,UI_CommonIcon_CareerIcon_Thief_01.png,500001,1,5,,2=3301201|1=3301101,111|151,3,11,Career/Thief_M.png=Career/Thief_F.png,UI_Share_Pic_Thief_M.png=UI_Share_Pic_Thief_F.png,
5101,刺客,Assassin,刺客,2,UI_Common_Profession_Icon_10.png,5000,1050,1051,1050,1051,4.6,Player_Auto_Assassin,3,510102|510103|510104|510105|510106|510107|510109|510110|510112|510113|510115|510116,500001=510101,100001=510101,40,50,,40,,,510101|500002|500003|500022,500001|500002,1,10000,156,301001=10000|301101=10000|921301=10000,,刺客,CommonIcon,UI_CommonIcon_CareerIcon_Thief_02.png,510101,1,5,,,111|151,3,11,Painting/Assassin_M.png=Painting/Assassin_F.png,UI_Share_Pic_Assassin_M.png=UI_Share_Pic_Assassin_F.png,
5102,十字刺客,AssassinCross,十字刺客,3,UI_Common_Profession_Icon_16.png,5101,2050,2051,2050,2051,4.6,Player_Auto_AssassinCross,3,510202|510203|510204|510205|510206|510207|510208|510209|510111,510101=510201,100001=510201,70,90,,80,,,510201|500002|500003|500022,500003|500004,,10000,156,301001=10000|301101=10000|921301=10000,,十字刺客,CommonIcon,UI_CommonIcon_CareerIcon_Thief_03.png,510201,1,5,,,111|151,3,11,Painting/AssassinCross_F.png=Painting/AssassinCross_F.png,,
7000,弓箭手,Archer,弓箭手,1,UI_Common_Profession_Icon_05.png,1000,60,61,60,61,4.6,Player_Auto_Archer,3,700004|700005|700006|700008|700009|700010,100001=700001|100002=700002|100003=700003|100005=700017,100001=700001|100002=700002|100003=700003|100005=700017,10,10,,0,,,700001|700002|700003|700017,700001|700002,1,10000,156,400301=10000|400401=10000|921301=10000,,弓箭手,CommonIcon,UI_CommonIcon_CareerIcon_Archer_01.png,700001,1,8,,2=3301201|5=3301401,101|111,3,11,Career/Archer_M.png=Career/Archer_F.png,UI_Share_Pic_Archer_M.png=UI_Share_Pic_Archer_F.png,
7101,猎人,Hunter,猎人,2,UI_Common_Profession_Icon_12.png,7000,1060,1061,1060,1061,4.6,Player_Auto_Hunter,3,710125=710124|710103|710106|710107|710108|710110|710112|710114|710116|710118|710120|710122|710128=710129|710132,700001=710109,100001=710109,40,50,,40,,,710101|700002|700003|700017,700001|700002,1,10000,156,400301=10000|400401=10000|921301=10000,,猎人,CommonIcon,UI_CommonIcon_CareerIcon_Archer_02.png,710109,1,8,,,101|111,3,11|14,Painting/Hunter_M.png=Painting/Hunter_F.png,UI_Share_Pic_Hunter_M.png=UI_Share_Pic_Hunter_F.png,ChoosePic/UI_Choose_Pic_Hunter_M.png=ChoosePic/UI_Choose_Pic_Hunter_F.png
7102,神射手,Sniper,神射手,3,UI_Common_Profession_Icon_18.png,7101,2060,2061,2060,2061,4.6,Player_Auto_Sniper,3,710202|710203|710204|710205|710207|710208|710212|710224|710217|710218|710219|710220,710109=710201,100001=710201,70,90,,80,,,710201|700002|700003|700017,700003|700004,,10000,156,400301=10000|400401=10000|921301=10000,,神射手,CommonIcon,UI_CommonIcon_CareerIcon_Archer_03.png,710201,1,8,,,101|111,3,11|14,Painting/Sniper_M.png=Painting/Sniper_F.png,,
7201,诗人,Bard,诗人,2,UI_Common_Profession_Icon_26.png,7000,1160,1161,1160,1161,4.6,Player_Auto_Bard,4,720102|720103|720104|720105|720106|720107|720108|720109|720110|720111|720112|720113,700001=720101|700017=720122,100001=720101|100005=720122,40,50,,40,,,720101|700002|700003|720122,700011|700012,1,10000,156,400301=10000|400401=10000|921301=10000,,诗人,CommonIcon,UI_CommonIcon_CareerIcon_Bard_02.png,720101,1,8,,,101|111,3,11,Painting/Bard_M.png=Painting/Bard_M.png,,ChoosePic/UI_Choose_Pic_Bard_M.png=ChoosePic/UI_Choose_Pic_Bard_M.png
7202,搞笑艺人,Minstrel,搞笑艺人,3,UI_Common_Profession_Icon_27.png,7201,2160,2161,2160,2161,4.6,Player_Auto_Minstrel,4,720202|720203|720204|720205|720206|720207|720208|720209|720210|720211|720212|720213|720214,720101=720201,100001=720201,70,90,,80,,,720201|700002|700003|720122,700013|700014,,10000,156,400301=10000|400401=10000|921301=10000,,搞笑艺人,CommonIcon,UI_CommonIcon_CareerIcon_Bard_03.png,720201,1,8,,,101|111,3,11,Painting/Minstrel_M.png=Painting/Minstrel_M.png,,
7211,舞娘,Dancer,舞娘,2,UI_Common_Profession_Icon_28.png,7000,1160,1161,1160,1161,4.6,Player_Auto_Dancer,4,721102|721103|721104|721105|721106|721107|721108|721109|721110|721111|721112|721113,700001=721101|700017=721122,100001=721101|100005=721122,40,50,,40,,,721101|700002|700003|721122,700021|700022,1,10000,156,400301=10000|400401=10000|921301=10000,,舞娘,CommonIcon,UI_CommonIcon_CareerIcon_Dancer_02.png,721101,1,8,,,101|111,3,11,Painting/Dancer_F.png=Painting/Dancer_F.png,,ChoosePic/UI_Choose_Pic_Dancer_F.png=ChoosePic/UI_Choose_Pic_Dancer_F.png
7212,冷艳舞姬,Gypsy,冷艳舞姬,3,UI_Common_Profession_Icon_29.png,7211,2160,2161,2160,2161,4.6,Player_Auto_Gypsy,4,721202|721203|721204|721205|721206|721207|721208|721209|721210|721211|721212|721213|721214,721101=721201,100001=721201,70,90,,80,,,721201|700002|700003|721122,700023|700024,,10000,156,400301=10000|400401=10000|921301=10000,,冷艳舞姬,CommonIcon,UI_CommonIcon_CareerIcon_Dancer_03.png,721201,1,8,,,101|111,3,11,Painting/Gypsy_F.png=Painting/Gypsy_F.png,,
6000,商人,Merchant,商人,1,UI_Common_Profession_Icon_06.png,1000,70,71,70,71,4.6,Player_Auto_Merchant,3,600004|600005|600008|600009|600010|600012|600013|600014|600019|610122,100001=600001|100002=600002|100003=600003|100005=600006,100001=600001|100002=600002|100003=600003|100005=600006,10,10,,0,,,600001|600002|600003|600006,600001|600002,1,10000,156,501001=10000|501101=10000|921301=10000,,商人,CommonIcon,UI_CommonIcon_CareerIcon_Merchant_01.png,600001,1,5,,2=3301201|1=3301101,111|131,3,11|12,Career/Merchant_M.png=Career/Merchant_F.png,UI_Share_Pic_Merchant_M.png=UI_Share_Pic_Merchant_F.png,
6101,铁匠,Blacksmith,铁匠,2,UI_Common_Profession_Icon_13.png,6000,1070,1071,1070,1071,4.6,Player_Auto_Blacksmith,4,610102|610103|610104|610105|610106|610107|610108|610112|610113|610114|610115|610116|610117|610118|610120|610121|610123,600001=610101,100001=610101,40,50,,40,,,610101|600002|600003|600006,600001|600002,1,10000,156,501001=10000|501101=10001|921301=10000,,铁匠,CommonIcon,UI_CommonIcon_CareerIcon_Merchant_02.png,610101,1,5,,,111|131,3,11|12,Painting/BlackSmith_M.png=Painting/BlackSmith_F.png,UI_Share_Pic_Blacksmith_M.png=UI_Share_Pic_Blacksmith_F.png,ChoosePic/UI_Choose_Pic_BlackSmith_M.png=ChoosePic/UI_Choose_Pic_BlackSmith_F.png
6102,神工匠,WhiteSmith,神工匠,3,UI_Common_Profession_Icon_19.png,6101,2070,2071,2070,2071,4.6,Player_Auto_WhiteSmith,3,610202|610203|610204|610205|610206|610208|610210|610211|610212|610216|610217|610218,610101=610201,100001=610201,70,90,,80,,,610201|600002|600003|600006,600003|600004,,10000,156,501001=10000|501101=10001|921301=10000,,神工匠,CommonIcon,UI_CommonIcon_CareerIcon_Merchant_03.png,610201,1,5,,,111|131,3,11|12,Painting/BlackSmith_M.png=Painting/BlackSmith_M.png,,
6201,炼金术士,Alchemist,炼金术士,2,UI_Common_Profession_Icon_24.png,6000,1170,1171,1170,1171,4.6,Player_Auto_Alchemist,3,620102|620104|620105|620106|620107|620108|620109|620111|620112|620113|620114|620115|620116,600001=620101|600003=620218,100001=620101|100003=620218,40,50,,40,,,620101|600002|620218|600006,600011|600012,1,10000,156,501001=10000|501101=10001|921301=10000,,炼金术士,CommonIcon,UI_CommonIcon_CareerIcon_Alchemist_02.png,620101,1,5,,,111|131,3,11|12,Painting/Alchemist_M.png=Painting/Alchemist_F.png,,ChoosePic/UI_Choose_Pic_Alchemist_M.png=ChoosePic/UI_Choose_Pic_Alchemist_F.png
6202,创造者,Creator,创造者,3,UI_Common_Profession_Icon_25.png,6201,2170,2171,2170,2171,4.6,Player_Auto_Creator,3,620202|620203|620204|620206|620208|620209|620210|620211|620212|620213=620217|620216,620101=620201,100001=620201,70,90,,80,,,620201|600002|620218|600006,600013|600014,,10000,156,501001=10000|501101=10001|921301=10000,,创造者,CommonIcon,UI_CommonIcon_CareerIcon_Alchemist_03.png,620201,1,5,,,111|131,3,11|12,Painting/Creator_M.png=Painting/Creator_F.png.png,,
1001000,初心者,Novice,初心者（登录）,,,-1,10,11,1001000,1001001,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002000,剑士,Swordman,剑士（登录）,,,-1,20,21,1002000,1002001,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003000,服事,Acolyte,服事（登录）,,,-1,30,31,1003000,1003001,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004000,魔法师,Magician,魔法师（登录）,,,-1,40,41,1004000,1004001,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005000,盗贼,Thief,盗贼（登录）,,,-1,50,51,1005000,1005001,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007000,弓箭手,Archer,弓箭手（登录）,,,-1,60,61,1007000,1007001,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102000,赛依连,Swordman,骑士领主,,UI_Common_Profession_Icon_01.png,-1,2020,21,1008000,21,5,,,,,,,,,,200019=5|200020=1|200017=2|200021=3|200018=4|200014=6,,,,,500000,156,3000101=10000,1,,,,,,,,,,,,,,
1103000,玛嘉雷特,Acolyte,神官,,UI_Common_Profession_Icon_04.png,-1,30,2031,30,1009001,5,,,,,,,,,,300018=5|300022=1|300023=2|300021=6|300019=3|300024=4,,,,,5000,156,3000501=10000,2,,,,,,,,,,,,,,
1104000,凯特莉娜,Magician,超魔导士,,UI_Common_Profession_Icon_02.png,-1,40,2041,40,1010001,5,,,,,,,,,,400022=5|400029=1|400024=2|400019=3|400025=4|400028=6,,,,,10000,156,3000201=10000,3,,,,,,,,,,,,,,
1105000,艾勒梅斯,Thief,十字刺客,,UI_Common_Profession_Icon_03.png,-1,2050,51,1011000,51,5,,,,,,,,,,500019=5|500015=1|500016=2|500014=3|500020=4|500021=6,,,,,10000,156,3000401=10000,4,,,,,,,,,,,,,,
1107000,迪文,Archer,神射手,,UI_Common_Profession_Icon_05.png,-1,60,2061,60,1012001,5,,,,,,,,,,700014=1|700012=2|700013=3|700016=5|700015=4,,,,,10000,156,3000301=10000,5,,,,,,,,,,,,,,
1202000,赛依连,Swordman,骑士领主,,UI_Common_Profession_Icon_01.png,-1,2020,21,1008000,21,5,,,,,,,,,,200019=5|200020=1|200017=2|200021=3|200018=4|200014=6,,,,,500000,156,3000601=10000,1,,,,,,,,,,,,,,
1203000,玛嘉雷特,Acolyte,神官,,UI_Common_Profession_Icon_04.png,-1,30,2031,30,1009001,5,,,,,,,,,,300018=5|300022=1|300023=2|300021=6|300019=3|300024=4,,,,,5000,156,3001001=10000,2,,,,,,,,,,,,,,
1204000,凯特莉娜,Magician,超魔导士,,UI_Common_Profession_Icon_02.png,-1,40,2041,40,1010001,5,,,,,,,,,,400022=5|400029=1|400024=2|400019=3|400025=4|400028=6,,,,,10000,156,3000701=10000,3,,,,,,,,,,,,,,
1205000,艾勒梅斯,Thief,十字刺客,,UI_Common_Profession_Icon_03.png,-1,2050,51,1011000,51,5,,,,,,,,,,500019=5|500015=1|500016=2|500014=3|500020=4|500021=6,,,,,10000,156,3000901=10000,4,,,,,,,,,,,,,,
1207000,迪文,Archer,神射手,,UI_Common_Profession_Icon_05.png,-1,60,2061,60,1012001,5,,,,,,,,,,700014=1|700012=2|700013=3|700016=5|700015=4,,,,,10000,156,3000801=10000,5,,,,,,,,,,,,,,
1302000,赛依连,Swordman,骑士领主,,UI_Common_Profession_Icon_01.png,-1,2020,21,1008000,21,5,,,,,,,,,,200019=5|200020=1|200017=2|200021=3|200018=4|200014=6,,,,,500000,156,3001101=10000,1,,,,,,,,,,,,,,
1303000,玛嘉雷特,Acolyte,神官,,UI_Common_Profession_Icon_04.png,-1,30,2031,30,1009001,5,,,,,,,,,,300018=5|300022=1|300023=2|300021=6|300019=3|300024=4,,,,,5000,156,3001501=10000,2,,,,,,,,,,,,,,
1304000,凯特莉娜,Magician,超魔导士,,UI_Common_Profession_Icon_02.png,-1,40,2041,40,1010001,5,,,,,,,,,,400022=5|400029=1|400024=2|400019=3|400025=4|400028=6,,,,,10000,156,3001201=10000,3,,,,,,,,,,,,,,
1305000,艾勒梅斯,Thief,十字刺客,,UI_Common_Profession_Icon_03.png,-1,2050,51,1011000,51,5,,,,,,,,,,500019=5|500015=1|500016=2|500014=3|500020=4|500021=6,,,,,10000,156,3001401=10000,4,,,,,,,,,,,,,,
1307000,迪文,Archer,神射手,,UI_Common_Profession_Icon_05.png,-1,60,2061,60,1012001,5,,,,,,,,,,700014=1|700012=2|700013=3|700016=5|700015=4,,,,,10000,156,3001301=10000,5,,,,,,,,,,,,,,
1402000,蹩脚剑士,Swordman,南门女剑士,,UI_Common_Profession_Icon_01.png,-1,20,21,20,21,5,,,,,,,,,,,,,,,,,17301=10000|3000101=10000,11,,,,,,,,,,,,,,
1403000,萌萌服事,Acolyte,南门buff小队女服事,,UI_Common_Profession_Icon_04.png,-1,30,31,30,31,5,,,,,,,,,,300024=4,,,,,,,17301=10000|3000501=10000,12,,,,,,,,,,,,,,
1404000,中二法师,Magician,南门男法师,,UI_Common_Profession_Icon_02.png,-1,40,41,40,41,5,,,,,,,,,,,,,,,,,17301=10000|3000201=10000,13,,,,,,,,,,,,,,
1405000,跳跳盗贼,Thief,南门女盗贼,,UI_Common_Profession_Icon_03.png,-1,50,51,50,51,5,,,,,,,,,,,,,,,,,17301=10000|3000401=10000,14,,,,,,,,,,,,,,
1407000,耍酷弓手,Archer,南门男弓手,,UI_Common_Profession_Icon_05.png,-1,60,61,60,61,5,,,,,,,,,,,,,,,,,17301=10000|3000301=10000,15,,,,,,,,,,,,,,
1503000,拉比丝,Acolyte,南门Buff玩家女服事,,UI_Common_Profession_Icon_04.png,-1,30,100060,30,100060,5,,,,,,,,,,300028=4,,,,,,,17301=10000|3000501=10000,16,,,,,,,,,,,,,,
