ID,,TypeID
510016627,攻击敌人时，有5%的几率使敌人陷入<a href=MarkTips@@ATTR_TIPS_CONFUSION_STATE><color=$$Blue$$>恐惧</color></a>状态,501
510017839,攻击2%概率使目标<a href=MarkTips@@ATTR_TIPS_COMA_STATE><color=$$Blue$$>眩晕</color></a>,501
510017940,攻击5%概率使目标<a href=MarkTips@@ATTR_TIPS_SLEEP_STATE><color=$$Blue$$>睡眠</color></a>,501
510018142,攻击5%概率使目标<a href=MarkTips@@ATTR_TIPS_POISONING_STATE><color=$$Blue$$>中毒</color></a>,501
510018243,攻击5%概率使目标<a href=MarkTips@@ATTR_TIPS_SILENT_STATE><color=$$Blue$$>沉默</color></a>,501
510023091,武器不可被破坏,505
510018445,3%几率，给敌人伤害力的15%会吸收到生命值里,801
510025818,物理攻击时3%概率触发<a href=MarkSkillTips@@200013@@5><color=$$Blue$$>怪物互击Lv.5</color></a>.,603
510016223,避免陷入<a href=MarkTips@@ATTR_TIPS_FROZEN_STATE><color=$$Blue$$>冰冻</color></a>状态,504
510021576,有2%的几率躲避伤害,801
510021677,精炼+10，敏捷+2,102
510022182,精炼+10，灵巧+3,105
510019253,有5%几率反射魔法伤害,708
510025010,受到物理攻击时，有10%的几率释放<a href=MarkSkillTips@@300001@@3><color=$$Blue$$>神圣之光Lv.3</color></a>,604
510027434,物理攻击时有5%的几率释放陨石术lv2,603
510027232,受到物理伤害时，有5%的几率释放陨石术lv5,604
510027737,物理攻击时，有5%概率触发技能拔刀斩,603
510027939,物理攻击时，有3%的概率释放音速投掷lv5。,603
510028040,受到物理伤害时，10%的概率，自动释放心神凝聚lv5。,604
510028242,物理攻击时有12%的概率使下一次攻击伤害翻倍,803
510028545,受到伤害时，有10%概率使敌方上火舌诅咒效果,502
510027535,不死铠甲,203
510027636,受到物理伤害时，有3%几率让别人石化，石化效果持续1s,502
510027838,受到物理伤害时，有3%几率让别人睡眠，睡眠效果持续1s,502
510028141,受到物理伤害时，有3%几率让别人昏阙，昏阙效果持续1s,502
510028848,物理攻击时，有3%几率自动念咒<a href=MarkSkillTips@@300008@@5><color=$$Blue$$>治愈术Lv.5</color></a>。,603
510029050,可将铠甲转为暗属性,203
510029151,受到物理攻击时，有5%几率自动念咒<a href=MarkSkillTips@@10031@@1><color=$$Blue$$>泥沼地Lv.1</color></a>,604
510029252,受到物理攻击时，有10%几率自动念咒<a href=MarkSkillTips@@10032@@1><color=$$Blue$$>火之猎杀Lv.1</color></a>,604
510029454,GVG攻城中，对人型魔物伤害增加12%。,706
510029555,受到物理攻击时，有3%几率使敌方陷入<a href=MarkTips@@ATTR_TIPS_DAMNATION_STATE><color=$$Blue$$>诅咒</color></a>状态3s,502
510029656,物理攻击时，有3%几率自动念咒<a href=MarkSkillTips@@400002@@3><color=$$Blue$$>冰冻术Lv.3</color></a>。,603
510029858,"受到物理攻击时，有10%几率自动念咒<a href=MarkSkillTips@@220103@@1><color=$$Blue$$>自动防御Lv1</color></a>,内置CD30s。",604
510029959,精炼+12，地属性技能伤害+5%,201
510030060,物理攻击时，有5%几率自动念咒玩具轰炸，造成范围内物理伤害，同时降低轰炸范围内敌方30%的移动速度，效果持续3s。内置CD为10s,603
510030161,释放技能时有5%的概率增加10%移动速度并且减少10%的固定吟唱，效果持续3s，内置CD为8s。,114
510030363,物理攻击时，有10%几率使敌人陷入<a href=MarkTips@@ATTR_TIPS_FROZEN_STATE><color=$$Blue$$>冰冻</color></a>状态,501
510030464,物理攻击时，有5%几率自动念咒<a href=MarkSkillTips@@400015@@1><color=$$Blue$$>暴风雪Lv.1</color></a>，内置CD为7s,603
510030666,对冰冻状态下敌人的伤害增加20%,501
10022,可以使用冲锋箭,602
10007,可以使用技能,602
10005,可以使用技能,602
10009,可以使用技能,602
10001,可以使用技能,602
10006,可以使用技能,602
10003,可以使用技能,602
10016,可以使用技能,602
10002,可以使用技能,602
10008,可以使用技能,602
10004,可以使用技能,602
510030767,物理攻击有5%几率触发<a href=MarkSkillTips@@10035@@5><color=$$Blue$$>背刺Lv.5</color></a>,603
510030868,释放技能时，有20%几率自动念咒<a href=MarkSkillTips@@10037@@10><color=$$Blue$$>龙之吐息Lv.10</color></a>。内置CD为2s,603
510030969,释放技能时，有20%几率自动念咒<a href=MarkSkillTips@@10036@@10><color=$$Blue$$>火球术Lv.10</color></a>。内置CD为2s,603
510031474,避免陷入<a href=MarkTips@@ATTR_TIPS_VERTIGO_STATE><color=$$Blue$$>石化</color></a>的状态,504
510031575,受到物理伤害时，有10%的几率增加10点幸运，持续10s，内置CD10s。,604
510031676,血量低于50%时，防御力提升10%,302
510031777,攻击时，有5%几率自动念咒<a href=MarkSkillTips@@410105@@3><color=$$Blue$$>崩裂术Lv.3</color></a>，若学习了该技能，则自动念咒等级为已习得的最高等级,603
510031878,攻击使有5%的概率使敌方武器受损，持续2s,603
510031979,物理攻击时有5%的概率回复5%的最大生命值,603
510032080,受到物理攻击时，有3%几率自动念咒<a href=MarkSkillTips@@200005@@1><color=$$Blue$$>怒爆Lv.1</color></a>，内置CD10s,604
510032181,攻击时，有5%几率自动念咒<a href=MarkSkillTips@@510208@@3><color=$$Blue$$>毒刃Lv.3</color></a>，若学习了该技能，则自动念咒等级为已习得的最高等级,603
510032282,对地属性魔物伤害增加25%，对非地属性魔物伤害增加10%,201
510032383,攻击有5%概率使自己陷入癫狂状态，造成伤害提升20%，防御下降20%，持续10s,603
510032484,每2点智力额外增加1点魔法攻击力,110
510032585,魔法攻击时，有5%的概率使敌方进入伊芙利特的诅咒状态，持续15s。伊芙利特的诅咒状态下，每秒扣除最大生命上限3%。,603
421,物理/魔法攻击力,109|110
424,物理/魔法防御万分比,111|112
425,物理/魔法伤害万分比,707
