SceneId,SceneName,Region,IsOpen,BgAtlas,BgIcon,LocalKapulaId,LocalMonster,RelatedArea,LabyrinthAreaDes1,LabyrinthArea1,LabyrinthAreaMonster1,LabyrinthAreaDes2,LabyrinthArea2,LabyrinthAreaMonster2,LabyrinthAreaDes3,LabyrinthArea3,LabyrinthAreaMonster3,LocalizationArea
24,装备商店,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,3551,,7,,,,,,,,,,
25,梦罗克西部,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5310|5311,,26|518|516,金字塔,518|508|512|516|517,,斯芬克斯秘穴,516|517,,,,,
26,梦罗克,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,1900|1987|1988,,19|25|28|51|58,,51|58,,,,,,,,
27,皇宫,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,5|7,,,,,,,,,,
28,梦罗克南部,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5250,1136|1137|1138|1061|1062,26,,,,,,,,,,
29,公会,,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,7,,,,,,,,,,
30,迷雾岛,,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
31,出生点,31,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
32,初心者学院,31,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
33,初心者训练场,31,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
34,兽人村落,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,4860,,,兽人洞穴,510,,,,,,,,
35,沙漠之桥,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5160,,,,,,,,,,,,
36,斐扬东部,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5880,,,,,,,,,,,,
37,斐扬树林,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5910,,,,,,,,,,,,
38,苏克拉特南部,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5280,,,,,,,,,,,,
39,盗贼转职大厅,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
40,剑士转职大厅,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
41,大教堂,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
42,法师转职大厅,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
43,弓箭手转职大厅,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
44,商人转职大厅,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
45,斐扬南部,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5850,,,,,,,,,,,,
47,斐扬,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,2500|2549|2550,,,,,,,,,,,,
48,斐扬东南,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5940,,,,,,,,,,,,
49,吉芬塔过渡,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
50,艾尔贝塔,50,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,3067|3068|3069,,,,,,,,,,,,
51,黑店,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
52,弓手村,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,5702,,,斐扬洞窟,509|513|514,,,,,,,,
53,吉芬旷野,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6120,,,,,,,,,,,,
54,马车森林,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6150,,,,,,,,,,,,
55,古城,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6700,,,,,,,,,,,,11
56,克特森林,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6180,,,,,,,,,,,,
57,贤者之间,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,3552,,,,,,,,,,,,
58,监狱,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
59,主题酒吧,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
60,伊斯鲁得酒吧,21,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
61,伊斯鲁得角斗场,21,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
62,普隆德拉地下酒吧,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
63,混沌的枷锁,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
64,朱诺学院,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
65,英灵殿,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
66,魔神之塔,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
67,斐扬树林深处,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6460,,,,,,,,,,,,
68,妙勒尼山脉,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6430,,,,,,,,,,,,
69,梦罗克城主邸,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,26,,,,,,,,,,
70,梦罗克城主邸,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,69,,,,,,,,,,
71,时装商店,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,7,,,,,,,,,,
72,魔神之塔,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
73,枷锁核心,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,70,,,,,,,,,,
74,魔神之塔,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
75,普隆德拉东门,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6506,,,,,,,,,,,,27
76,圣卡毕利那修道院,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,27
77,克雷斯特汉姆古城堡,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,11
78,十字军总部,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,11
80,迷雾岛,,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
81,英灵殿,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
82,姜饼城原野,50,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6950,,50,玩具工厂,538|539,,,,,,,,
84,曼督斯宅邸,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
85,艾尔帕兰,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,7000|7001|7002|7003,,90,钟楼地上层,536|537,,钟楼地下层,534|535,,钟楼梦魇层,540,,9
86,妙勒尼北麓,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,7150,,,,,,,,,,,,9
87,发乐斯灯塔岛,87,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,7342|7450,,,,,,,,,,,,9
88,克魔岛,88,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,7340|7341,,,,,,,,,,,,9
89,诗人舞娘工会,88,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
90,炼金术士工会,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
91,过去森林,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
92,地下研究所,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
93,次元裂缝,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
94,废墟荒漠,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
95,钟楼密室,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
96,迷雾世界,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
97,齿轮之间,97,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
98,蜜月岛,88,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,7343,,,,,,,,,,,,9
99,朱诺,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,2200|2201|2202,,,,,,,,,,,,9
100,贤者工会,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
101,GVG普隆德拉区域入口,101,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6057|6058|6059,,,,,,,,,,,,9
102,GVG吉芬区域入口,102,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6057|6058|6059,,,,,,,,,,,,11
103,GVG斐扬区域入口,103,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,6057|6058|6059,,,,,,,,,,,,9
202,尔迈斯峡谷,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,2450,,,,,,,,,,,,9
203,启海伊洛学院,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,2451,,,,,,,,,,,,9
205,国界,205,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,2452,,,,,,,,,,,,9
206,政府,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
207,民房,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
300,阴影之城,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
301,启海伊洛学院内部,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
302,神秘遗迹,,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
303,爱丽希雅地下实验室,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
304,启海伊洛别墅,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
305,巴雷蒙德研究室,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
306,过去研究所,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
307,过去山坡,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
308,隐居山洞,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
309,林赛研究所,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
310,小镇,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
311,核心室,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
312,天空套衣橱,,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
313,爱丽希雅房间,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
401,博仁斯攻略战,,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
501,下水道1层,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,1005|1009|1026|1050|1047|1071,1|503,,,,,,,,,,
502,北森迷宫1层,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,1011|1024|1052|1029|1035|1027|1034|1057|1058|1060|1061|1063|1062,5,,,,,,,,,,
503,下水道2层,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,501,,,,,,,,,,
504,吉芬高塔1层,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,1126|1127|1038|1129|1058|1060|1063|1061,16,,,,,,,,,,
505,海底洞窟1层,21,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,1020|1091|1122|1096|1092|1099,20,,,,,,,,,,
506,蚂蚁密穴,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,1109|1110|1111|1108|1101,19,,,,,,,,,,
507,沉船迷宫,21,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,1025|1091|1094|1104,22,,,,,,,,,,
508,金字塔2层,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,1105|1139|1140|1141,25,,,,,,,,,,
509,斐扬洞窟1层,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
510,兽人洞穴,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
511,海底洞窟2层,21,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
512,金字塔3层,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
513,斐扬洞窟2层,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
514,斐扬洞窟3层,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
515,吉芬高塔2层,47,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
516,斯芬克斯1层,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
517,斯芬克斯2层,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
518,金字塔1层,26,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
519,海底洞窟3层,21,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
520,吉芬塔3层,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
521,废弃矿坑,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
522,沉船迷宫2层,21,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
523,海底洞窟4层,21,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
524,北森迷宫2层,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
525,北森迷宫3层,7,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,
526,古城城堡1层,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,11
527,古城城堡2层,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,11
528,地下监狱,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,11
529,地下墓地,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,11
530,修道院,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,11
531,古城下水道,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,11
532,古城骑士团1层,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,11
533,古城骑士团2层,16,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,11
534,钟楼地下1F,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
535,钟楼地下2F,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
536,钟楼地上1F,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
537,钟楼地上2F,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
538,玩具工厂1F,82,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
539,玩具工厂2F,82,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
540,钟楼梦魇层,85,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
541,北部洞穴卢安达,88,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
542,东部洞穴马吾,88,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
543,西部洞穴加露,88,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
544,巴不其卡森林,88,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,7560,,,,,,,,,,,,9
545,诺克罗德溶洞,99,1,Activity,UI_Activity_Mvp_Map_Bolidao.png,,,,,,,,,,,,,9
