Id,Name,PaymentID,Area,Platform,Type,Atlas,Icon,Recommend,SortID,IsUse,OpenSystemID
100201,普通返利月卡,100201,3,1,401,Shopping,UI_Shopping_Icon_yueka1.png,1,2,1,126
100202,超级返利月卡,100202,3,1,401,Shopping,UI_Shopping_Icon_yueka2.png,1,3,1,126
100203,卡普拉会员,100203,3,1,401,Shopping,UI_Shopping__icon_huiyuan.png,1,1,1,11204
100301,普通返利月卡,100301,3,2,401,Shopping,UI_Shopping_Icon_yueka1.png,1,102,1,126
100302,超级返利月卡,100302,3,2,401,Shopping,UI_Shopping_Icon_yueka2.png,1,103,1,126
100303,卡普拉会员,100303,3,2,401,Shopping,UI_Shopping__icon_huiyuan.png,1,101,1,11204
100501,普通返利月卡,100501,3,3,401,Shopping,UI_Shopping_Icon_yueka1.png,1,802,1,126
100502,超级返利月卡,100502,3,3,401,Shopping,UI_Shopping_Icon_yueka2.png,1,803,1,126
100503,卡普拉会员,100503,3,3,401,Shopping,UI_Shopping__icon_huiyuan.png,1,801,1,11204
200201,普通返利月卡,200201,0,1,401,Shopping,UI_Shopping_Icon_yueka1.png,1,202,1,126
200202,超级返利月卡,200202,0,1,401,Shopping,UI_Shopping_Icon_yueka2.png,1,203,1,126
200203,卡普拉会员,200203,0,1,401,Shopping,UI_Shopping__icon_huiyuan.png,1,201,1,11204
200301,普通返利月卡,200301,0,2,401,Shopping,UI_Shopping_Icon_yueka1.png,1,302,1,126
200302,超级返利月卡,200302,0,2,401,Shopping,UI_Shopping_Icon_yueka2.png,1,303,1,126
200303,卡普拉会员,200303,0,2,401,Shopping,UI_Shopping__icon_huiyuan.png,1,301,1,11204
300000,喵喵果实礼包(40),300000,1,1,401,Shopping,UI_Shopping_Icon_01.png,,110,1,
300001,喵喵果实礼包(210),300001,1,1,401,Shopping,UI_Shopping_Icon_02.png,,120,1,
300002,喵喵果实礼包(425),300002,1,1,401,Shopping,UI_Shopping_Icon_03.png,,130,1,
300003,喵喵果实礼包(865),300003,1,1,401,Shopping,UI_Shopping_Icon_04.png,,140,1,
300004,喵喵果实礼包(1770),300004,1,1,401,Shopping,UI_Shopping_Icon_05.png,,150,1,
300005,喵喵果实礼包(3700),300005,1,1,401,Shopping,UI_Shopping_Icon_06.png,,160,1,
300006,喵喵果实礼包(40),300006,1,2,401,Shopping,UI_Shopping_Icon_01.png,,170,1,
300007,喵喵果实礼包(210),300007,1,2,401,Shopping,UI_Shopping_Icon_02.png,,180,1,
300008,喵喵果实礼包(425),300008,1,2,401,Shopping,UI_Shopping_Icon_03.png,,190,1,
300009,喵喵果实礼包(865),300009,1,2,401,Shopping,UI_Shopping_Icon_04.png,,200,1,
300010,喵喵果实礼包(1770),300010,1,2,401,Shopping,UI_Shopping_Icon_05.png,,210,1,
300011,喵喵果实礼包(3700),300011,1,2,401,Shopping,UI_Shopping_Icon_06.png,,220,1,
300012,普通返利月卡,300012,1,1,401,Shopping,UI_Shopping_Icon_yueka1.png,1,108,1,126
300013,超级返利月卡,300013,1,1,401,Shopping,UI_Shopping_Icon_yueka2.png,1,109,1,126
300014,卡普拉贵宾卡,300014,1,1,401,Shopping,UI_Shopping__icon_huiyuan.png,1,107,1,11204
300015,普通返利月卡,300015,1,2,401,Shopping,UI_Shopping_Icon_yueka1.png,1,105,1,126
300016,超级返利月卡,300016,1,2,401,Shopping,UI_Shopping_Icon_yueka2.png,1,106,1,126
300017,卡普拉贵宾卡,300017,1,2,401,Shopping,UI_Shopping__icon_huiyuan.png,1,104,1,11204
300022,首充礼包,300022,1,1,401,Shopping,UI_Shopping_Icon_shouchonglibao.png,1,103,1,11220
300023,首充礼包,300023,1,2,401,Shopping,UI_Shopping_Icon_shouchonglibao.png,1,102,1,11220
300024,喵喵果实礼包(40),300024,1,1,401,Shopping,UI_Shopping_Icon_01.png,,230,1,108161
300025,喵喵果实礼包(210),300025,1,1,401,Shopping,UI_Shopping_Icon_02.png,,240,1,108161
300026,喵喵果实礼包(425),300026,1,1,401,Shopping,UI_Shopping_Icon_03.png,,250,1,108161
300027,喵喵果实礼包(865),300027,1,1,401,Shopping,UI_Shopping_Icon_04.png,,260,1,108161
300028,喵喵果实礼包(1770),300028,1,1,401,Shopping,UI_Shopping_Icon_05.png,,270,1,108161
300029,喵喵果实礼包(3700),300029,1,1,401,Shopping,UI_Shopping_Icon_06.png,,280,1,108161
300030,喵喵果实礼包(40),300030,1,2,401,Shopping,UI_Shopping_Icon_01.png,,290,1,108161
300031,喵喵果实礼包(210),300031,1,2,401,Shopping,UI_Shopping_Icon_02.png,,300,1,108161
300032,喵喵果实礼包(425),300032,1,2,401,Shopping,UI_Shopping_Icon_03.png,,310,1,108161
300033,喵喵果实礼包(865),300033,1,2,401,Shopping,UI_Shopping_Icon_04.png,,320,1,108161
300034,喵喵果实礼包(1770),300034,1,2,401,Shopping,UI_Shopping_Icon_05.png,,330,1,108161
300035,喵喵果实礼包(3700),300035,1,2,401,Shopping,UI_Shopping_Icon_06.png,,340,1,108161
400022,首充礼包（欧美）,400022,4,1,401,Shopping,UI_Shopping_Icon_shouchonglibao.png,1,103,1,11220
400023,首充礼包（欧美）,400023,4,2,401,Shopping,UI_Shopping_Icon_shouchonglibao.png,1,102,1,11220
400070,普通返利月卡,400070,4,1,401,Shopping,UI_Shopping_Icon_yueka1.png,1,108,1,1241
400071,超级返利月卡,400071,4,1,401,Shopping,UI_Shopping_Icon_yueka2.png,1,109,1,1251
400072,卡普拉贵宾卡,400072,4,1,401,Shopping,UI_Shopping__icon_huiyuan.png,1,107,1,112041
400073,普通返利月卡,400073,4,2,401,Shopping,UI_Shopping_Icon_yueka1.png,1,105,1,1241
400074,超级返利月卡,400074,4,2,401,Shopping,UI_Shopping_Icon_yueka2.png,1,106,1,1251
400075,卡普拉贵宾卡,400075,4,2,401,Shopping,UI_Shopping__icon_huiyuan.png,1,104,1,112041
400044,喵喵果实礼包(35),400044,4,1,401,Shopping,UI_Shopping_Icon_01.png,,110,1,
400045,喵喵果实礼包(180),400045,4,1,401,Shopping,UI_Shopping_Icon_02.png,,120,1,
400046,喵喵果实礼包(370),400046,4,1,401,Shopping,UI_Shopping_Icon_03.png,,130,1,
400047,喵喵果实礼包(560),400047,4,1,401,Shopping,UI_Shopping_Icon_04.png,,140,1,
400048,喵喵果实礼包(940),400048,4,1,401,Shopping,UI_Shopping_Icon_05.png,,150,1,
400049,喵喵果实礼包(1890),400049,4,1,401,Shopping,UI_Shopping_Icon_06.png,,160,1,
400050,喵喵果实礼包(3900),400050,4,1,401,Shopping,UI_Shopping_Icon_06.png,,170,1,
400051,喵喵果实礼包(35),400051,4,2,401,Shopping,UI_Shopping_Icon_01.png,,180,1,
400052,喵喵果实礼包(180),400052,4,2,401,Shopping,UI_Shopping_Icon_02.png,,190,1,
400053,喵喵果实礼包(370),400053,4,2,401,Shopping,UI_Shopping_Icon_03.png,,200,1,
400054,喵喵果实礼包(560),400054,4,2,401,Shopping,UI_Shopping_Icon_04.png,,210,1,
400055,喵喵果实礼包(940),400055,4,2,401,Shopping,UI_Shopping_Icon_05.png,,220,1,
400056,喵喵果实礼包(1890),400056,4,2,401,Shopping,UI_Shopping_Icon_06.png,,230,1,
400057,喵喵果实礼包(3900),400057,4,2,401,Shopping,UI_Shopping_Icon_06.png,,240,1,
