Id,NameDesign,Desc,Name,IsIP,SkillUuid,EffectIDs,TargetType,SkillScriptType,SpecialSkillType,SkillTargetRangeType,SkillRangeType,SkillHatedType,SkillType,SkillDamType,IsAffectedASPD,ASPDPercent,IsAffectedASPDExtra,IsAoe,PushInterupt,SkillAttr,IsKnockBack,Length,IsRangeAttrImpact,IsRangeWeaponAttrImpact,WeaponTypeLimit,SecondWeaponTypeLimit,Limits,IsDisableCD,EffectExIDs,SkillPanelPos,SpePreSkillRequired,LinkAutoAtack,IsChangeColor,ChangeColor,InteruptSkill,IsUseArrow,IconEx,LimitScene,LimitSceneType,NeedEffectRange,IsEffectExStandalone,IsPassive,AutoBattlePRI,SkillElementEnergy,EnergyTips,AnimationType,SingingAnimation,PreSkillRequired,SkillTypeIcon,Atlas,Icon,SkillDataPath,AITreeName,SkillDesc,SkillDescAdd,SimpleSkillDesc,ActiveCardDesc,AllowUI,LocalizationArea
10,友方buff技能,友方buff技能,天使之赐福,0,10,10,2,,,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,-1,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,一段时间内提升目标及友方队员属性：力量值+<color=$$Yellow$$>{0}</color>点，灵巧值+<color=$$Yellow$$>{1}</color>点，智力值+<color=$$Yellow$$>{2}</color>点，持续<color=$$Yellow$$>{3}</color>秒，同时解除目标诅咒和石化效果,,,,,
11,队内buff技能,队内buff技能,撒水祈福,0,11,11,3,,,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,-1,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_SaShuiQiFu.png,Player_Priest,,为队伍内的一名队员赋予武器圣属性，使其对不死属性和恶魔系魔物造成更多的伤害，持续<color=$$Yellow$$>{0}</color>秒,,将自身及队友武器改变为圣属性，持续一段时间,,,
12,对死亡目标释放技能,对死亡目标释放技能,复活术,0,12,12,5,,,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,-1,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_FuHuoShu.png,Player_Acolyte,,借助天使力量复活HP为0的友方目标，并恢复其<color=$$Yellow$$>{0}</color>%*MaxHP的生命值,,复活一个友方单位，使其恢复战斗力,,,
13,被动技能,被动技能,剑系熟练度,0,13,13,-1,,,-1,0,-1,0,-1,0,,0,0,1,-1,0,0,,,,,,0,,,,0,0,,,,,,,0,,1,0,,,-1,0,,3,Skill_Swordman,UI_Icon_Skill_Swordman_JianXiShuLianDu.png,Player_Swordman,,装备剑类武器时，自身ATK+<color=$$Yellow$$>{0}</color>,,,,,
5001,天使怒火,贝鲁兹核心,,0,5001,500101|500102|500103|500104|500105|500106|500107|500108|500109|500110,1,,,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,
5002,延续治愈,贝鲁兹核心,,0,5002,500201|500202|500203,0,,,0,0,1,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,Player_Acolyte,,,,,,,
5003,深红切割（刺客）,,深红切割,0,510103,500301|500302|500303|500304|500305|500306|500307|500308|500309|500310,4,,,0,0,1,0,1,0,,0,0,1,0,0,0,,,,,,0,,2=1,,0,0,,,,,,,0,,0,0,,,0,0,510109=5=1,0,Skill_Thief,UI_Icon_Skill_Thief_ShenHongQieGe.png,Player_Assassin,AutoBattle_Player_Assassin_ShenHongQieGe,施放深红死亡印记，对指定单体目标瞬间进行多段重击，共造成<color=$$Yellow$$>{0}</color>%+<color=$$Yellow$$>{1}</color>无属性物理伤害,,红色十字切割，对敌方单位造成多段打击,,,
5004,火柱攻击召唤兽,,火柱攻击召唤兽,0,5004,500401|500402|500403|500404|500405|500406|500407|500408|500409|500410,1,,,3,0,1,0,2,0,,0,1,,3,0,0,,,,,,0,,,,1,1,ColorGradient/Color_SkillRim_Huo,,,,,,0,,0,0,,,0,0,,,Skill_Magician,UI_Icon_Skill_Magician_HuoZhuGongJi.png,,,,,,,,
5005,陨石术,,陨石术,1,410112,500501|500502|500503|500504|500505|500506|500507|500508|500509|500510,4,,,2,0,1,0,2,0,,0,1,1,3,0,0,,,,,,0,,2=2,,1,0,,,,,,,1,,0,0,,,0,-1,410108=5=1|410111=3=0,1,Skill_Magician,UI_Icon_Skill_Magician_YunShiShu.png,Player_Wizard,AutoBattle_Player_Wizard_YunShiShu,在指定区域内随机位置召唤<color=$$Yellow$$>{0}</color>颗陨石攻击敌方，每颗陨石对范围内最多10只魔物造成<color=$$Yellow$$>{1}</color>%+<color=$$Yellow$$>{2}</color>火属性魔法伤害，陨石有<color=$$Yellow$$>{3}</color>%几率造成眩晕效果,,在指定区域召唤陨石，随机对范围内敌方造成伤害,,,
5006,移花接木,,,1,5006,500601|500602|500603|500604|500605|500606|500607|500608|500609|500610,4,,,0,1,1,0,1,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,Player_AnyOne,,,,,,,
5007,音速投掷（刺客）,,音速投掷,1,510102,500701|500702|500703|500704|500705|500706|500707|500708|500709|500710,4,,,0,0,1,0,1,1,0.25,0,0,1,0,0,0,,,16,,,0,,2=2,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_YinSuTouZhi.png,Equip_PSTPZR,AutoBattle_Player_Assassin_YinSuTouZhi,爆发潜能，对指定单体目标瞬间进行8段连击，共造成<color=$$Yellow$$>{0}</color>%+<color=$$Yellow$$>{2}</color>无属性物理伤害，有<color=$$Yellow$$>{1}</color>%几率使目标眩晕2.5秒,必须装备拳刃类武器,对指定敌方单位造成无属性物理伤害,,,
5008,7018炮台AOE,,,0,5008,500801,4,,,0,1,1,0,1,0,,1,1,1,0,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,
5009,回旋盾击-贝鲁兹,,回旋盾击,1,220106,500901|500902|500903|500904|500905,4,,,0,1,1,0,1,0,,0,0,1,0,0,0,1,1,,17,,0,,2=2,,0,0,,,,,,,0,,0,0,,,0,0,220105=5=1,0,Skill_Crusader,UI_Icon_Skill_Crusader_HuiXuanDunJi.png,Player_Crusader,AutoBattle_Player_Crusader_HuiXuanDunJi,对指定单体目标掷出盾牌，造成<color=$$Yellow$$>{0}</color>%无属性物理伤害，技能满级时额外提升<color=$$Yellow$$>1</color>射程,必须装备盾牌/盾牌的重量越重精炼等级越高造成的伤害越高,,,,
5010,光之耀斑-贝鲁兹,,光之耀斑,1,5010,501001|501002|501003|501004|501005|501006|501007|501008|501009|501010,4,,,0,1,1,0,1,0,,0,1,1,6,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,Player_AnyOne,,,,,,,
5011,猩红斩击,贝鲁兹5021,猩红斩击,0,5011,501101,4,,,0,0,1,0,1,0,,0,0,1,0,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,Player_AnyOne,,,,,,,
5012,大地共鸣,贝鲁兹7020,大地共鸣,0,5012,501201,1,,,3,0,1,0,1,0,,0,0,1,0,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,Player_AnyOne,,,,,,,
5013,爆炸,贝鲁兹2022,,0,5013,501301,1,,,3,0,1,0,1,0,,0,0,1,0,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,Player_AnyOne,,,,,,,
5014,弹指神通-贝鲁兹,,弹指神通,1,320205,501401|501402|501403|501404|501405|501406|501407|501408|501409|501410,4,,,0,1,1,0,1,0,,0,0,1,0,1,0,1,1,,,,0,,2=1,,0,0,,,,,,,0,,0,0,,,0,0,320202=1=1,0,Skill_Monk,UI_Icon_Skill_Monk_TanZhiShenTong.png,Player_Champion,AutoBattle_Player_Champion_TanZhiShenTong,将气弹对敌人远距离发射，对指定单体目标发射至多<color=$$Yellow$$>{0}</color>颗气弹，每颗气弹造成<color=$$Yellow$$>{1}</color>%无属性物理伤害,吟唱不会被伤害打断,,,,
5015,火烟瓶投掷,贝鲁兹,火烟瓶投掷,1,620102,501501|501502|501503|501504|501505,4,,,0,1,1,0,1,0,,0,1,1,3,0,0,1,1,,,,0,,2=2,,1,0,,,,,,,1,,0,0,,,0,-1,,0,Skill_Alchemist,UI_Icon_Skill_Alchemist_HuoYanPingTouZhi.png,Player_Alchemist,AutoBattle_Player_Alchemist_HuoYanPing,使指定区域内目标投掷火烟瓶，每秒对最多10只魔物造成<color=$$Yellow$$>{0}</color>%火属性物理伤害，持续<color=$$Yellow$$>{1}</color>秒，<color=$$Yellow$$>{2}</color>%概率对敌人鞋子造成破坏,最多存在1个,,,,
6001,箭雨,强化箭雨,箭雨,1,6001,600101|600102|600103|600104|600105|600106|600107|600108|600109|600110,4,,,1,1,1,0,1,0,,0,1,1,0,0,0,,,11,,,0,,2=1,,1,0,,,1=5,,,,1,,0,0,,,0,0,,0,Skill_Archer,UI_Icon_Skill_Archer_JianYu.png,,AutoBattle_Player_Archer_JianYu,朝指定区域射出密集箭矢，共造成<color=$$Yellow$$>{0}</color>%+<color=$$Yellow$$>{1}</color>无属性物理伤害,,,,,
6002,金刚拳套：六合拳,金刚拳套：六合拳,六合拳,1,320116,600201,1,,,3,0,1,0,1,0,,0,1,1,0,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,0,,,Player_AnyOne,,,,,,,
6003,秘拳套闪光：额外触发,秘拳套闪光：额外触发,,1,6003,600301,1,,,3,0,1,0,1,0,,0,1,1,0,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,0,,,Player_AnyOne,,,,,,,
6018,部署雷区,,霜冻陷阱,1,6018,601801|601802|601803,4,,,2,0,2,0,2,0,,0,0,1,4,,0,,,,,,0,,,,0,0,,,,,,,1,,0,0,,,0,0,,,Skill_Archer,UI_Icon_Skill_Archer_ShuangDongXianJing.png,,,在地面上设置一个霜冻陷阱，对范围内敌方目标造成<color=$$Yellow$$>灵巧*（2+人物等级/55）*（1+智力/50）*20%</color>点水属性魔法伤害，有<color=$$Yellow$$>{0}</color>%几率使目标陷入冰冻状态，陷阱可存在<color=$$Yellow$$>{1}</color>秒,冰冻持续时间受目标属性影响/冰冻状态改变目标属性为水属性/技能延迟受ASPD影响/同一时间同类陷阱最多只能存在3个/陷阱可被箭雨，怒爆类击退技能击退,,,,
6019,死神低语-装备,,,1,6019,601901,4,,,0,0,1,0,1,0,,0,0,1,7,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,0,,,Player_AnyOne,,,,,,,
7001,GVG炸弹,GVG炸弹,释放炸弹,0,7001,700101,1,,,3,0,1,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Common,UI_Icon_Skill_Common_QiSheng.png,Dungeons_GVG,,对大门开关造成5%血量伤害,,,,,
7002,GVG修复,GVG修复,,0,7002,700201,2,,,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Common,UI_Icon_Skill_Common_QiSheng.png,Dungeons_GVG,,对大门开关造成10%血量回复,,,,,
7003,GVG风之步,GVG风之步,,1,7003,700301,1,,,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_AnyOne,,一段时间内提升目标及友方队员属性：力量值+<color=$$Yellow$$>{0}</color>点，灵巧值+<color=$$Yellow$$>{1}</color>点，智力值+<color=$$Yellow$$>{2}</color>点，持续<color=$$Yellow$$>{3}</color>秒,,,,,
10001,大巴卡测试,大巴卡测试,,0,10001,1000101,4,,,0,0,1,0,1,1,,1,1,1,,0,0,,,,,,0,,,,0,0,,,1=1,,,,0,,0,0,,,0,0,,0,,,Player_AnyOne,,,,,,,
10002,解毒lv1,卡片,解毒,1,10002,1000201,2,,,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Thief,UI_Icon_Skill_Thief_JieDu.png,Player_AnyOne,AutoBattle_Player_CardSkill_JieDu,解除自身及周围队友中毒效果,,,可使用<a href=MarkSkillTips@@10002@@1><color=$$Blue$$>解毒Lv.1</color></a>,,
10003,火狩lv1,卡片,火狩,1,10003,1000301,1,,,3,0,2,0,2,0,,0,0,1,0,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Magician,UI_Icon_Skill_Magician_HuoShou.png,Player_AnyOne,AutoBattle_Player_CardSkill_HuoShou,召唤火灵元素围绕自身，可以看见附近隐身单位,,,可使用<a href=MarkSkillTips@@10003@@1><color=$$Blue$$>火狩Lv.1</color></a>,,
10004,施毒lv3,卡片,施毒,1,10004,1000403|1000403|1000403,4,,,0,0,1,0,1,1,0.25,1,0,1,5,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,0,Skill_Thief,UI_Icon_Skill_Thief_shidu.png,Player_AnyOne,AutoBattle_Player_CardSkill_ShiDu,对指定单体目标造成<color=$$Yellow$$>{0}</color>*(人物等级-10)+50毒属性物理伤害(人物等级最多计45级)，并有<color=$$Yellow$$>{1}</color>%几率使目标中毒：每秒受到<color=$$Yellow$$>{2}</color>%最大血量伤害，持续<color=$$Yellow$$>{3}</color>秒，若目标血量降低至<color=$$Yellow$$>{4}</color>%，中毒状态则不再生效,中毒概率和持续时间受体质和幸运属性值影响,对指定敌方目标造成毒属性物理伤害,可使用<a href=MarkSkillTips@@10004@@3><color=$$Blue$$>施毒Lv.3</color></a>,,
10005,痊愈术lv1,卡片,痊愈术,1,10005,1000501,2,,,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_QuanYuShu.png,Player_AnyOne,AutoBattle_Player_CardSkill_QuanYuShu,解除所有队友黑暗&沉默异常状态,,,可使用<a href=MarkSkillTips@@10005@@1><color=$$Blue$$>痊愈术Lv.1</color></a>,,
10006,治愈术lv1,卡片,治愈术,1,10006,1000601,0,,,0,0,4,0,2,0,,0,0,1,6,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_ZhiYuShu.png,Player_AnyOne,AutoBattle_Player_CardSkill_ZhiYuShu,恢复友方目标和自身HP值，回复值为<color=$$Yellow$$>(BaseLv+智力)*0.6*技能等级+(0.5+技能等级/20)*魔法攻击</color>,自身的治疗效果与目标的受治疗效果将会影响治疗量，自身30%的魔法伤害加成将会转化为治疗效果加成，对不死属性魔物会造成伤害/生效目标包括友方目标和魔物,同时恢复自身和友方目标Hp值,可使用<a href=MarkSkillTips@@10006@@1><color=$$Blue$$>治愈术Lv.1</color></a>,,
10007,瞬间移动lv1,卡片,瞬间移动,1,10007,1000701,1,,,3,0,2,0,2,0,,0,0,1,,0,9999,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_ShunJianYiDong.png,Player_AnyOne,,"瞬移到地图中任意位置，相当于道具""苍蝇翅膀""效果",,,可使用<a href=MarkSkillTips@@10007@@1><color=$$Blue$$>瞬间移动Lv.1</color></a>,,
10008,怒爆lv3,卡片,怒爆,1,10008,1000803|1000803|1000803,1,,,3,0,1,0,1,0,,0,1,1,3,0,0,,,,,,0,,,,0,1,ColorGradient/Color_SkillRim_Huo,,,,,,1,,0,0,,,0,0,,0,Skill_Swordman,UI_Icon_Skill_Swordman_NuBao.png,Player_AnyOne,AutoBattle_Player_CardSkill_NuBao,击退周围最多10只魔物，造成<color=$$Yellow$$>180</color>%+<color=$$Yellow$$>30</color>火属性物理伤害并获得<color=$$Yellow$$>10</color>点技能命中加成,技能施放后额外获得20%火属性攻击加成，效果持续20秒,,可使用<a href=MarkSkillTips@@10008@@3><color=$$Blue$$>怒爆Lv.3</color></a>,,
10009,隐匿lv1,卡片,隐匿,1,10009,1000901,1,,,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Thief,UI_Icon_Skill_Thief_YinNi.png,Player_AnyOne,AutoBattle_Player_CardSkill_YinNi,立即进入隐身，隐匿生效期间无法被敌方发现，降低<color=$$Yellow$$>{0}</color>%移动速度，每<color=$$Yellow$$>{1}</color>秒消耗1点魔法值，持续<color=$$Yellow$$>{2}</color>秒,受到伤害时会打破隐匿状态,,可使用<a href=MarkSkillTips@@10009@@1><color=$$Blue$$>隐匿Lv.1</color></a>,,
10010,普攻,卡片,,1,10010,1001001,4,,,0,0,1,0,0,1,,1,0,1,0,0,0,1,1,,,,1,,,,0,0,,,1=1,,,,0,,0,0,,,0,0,,0,Skill_Common,UI_Icon_Skill_Common_GongJi.png,Player_AnyOne,,,,,,,
10011,天使之赐福,卷轴,,1,10011,1001101,2,,,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_AnyOne,,一段时间内提升目标及友方队员属性：力量值+<color=$$Yellow$$>{0}</color>点，灵巧值+<color=$$Yellow$$>{1}</color>点，智力值+<color=$$Yellow$$>{2}</color>点，持续<color=$$Yellow$$>{3}</color>秒,,,,,
10012,风之步,卷轴,,1,10012,1001201,2,,,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_AnyOne,,一段时间内提升目标及友方队员属性：力量值+<color=$$Yellow$$>{0}</color>点，灵巧值+<color=$$Yellow$$>{1}</color>点，智力值+<color=$$Yellow$$>{2}</color>点，持续<color=$$Yellow$$>{3}</color>秒,,,,,
10013,速度激发,卷轴,,1,10013,1001301,2,,,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_AnyOne,,一段时间内提升目标及友方队员属性：力量值+<color=$$Yellow$$>{0}</color>点，灵巧值+<color=$$Yellow$$>{1}</color>点，智力值+<color=$$Yellow$$>{2}</color>点，持续<color=$$Yellow$$>{3}</color>秒,,,,,
10014,圣母之祈福,卷轴,,1,10014,1001401,2,,,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_AnyOne,,一段时间内提升目标及友方队员属性：力量值+<color=$$Yellow$$>{0}</color>点，灵巧值+<color=$$Yellow$$>{1}</color>点，智力值+<color=$$Yellow$$>{2}</color>点，持续<color=$$Yellow$$>{3}</color>秒,,,,,
