MajorId,PackId,SystemId,RedDotId,Name,GachaponType,Sort,TimeLimit,ServerDaylLimit,LevelLimit,JobLimit,GenderLimit,RefreshLimitNum,ConsumeType,ConsumeOnceNum,RefreshOnceType,ConsumeOnceFirst,ConsumeTenNum,RefreshTenType,ConsumeTenFirst,ScoresNum,ShopId,ScoresItemID,UIType,Texture,ShowItem,showaction,PreviewItem,SkillPreviewWheelIDs,Label,Txt,MallID,ProbabilityID,ToggleAtlas,ToggleOffImage,ToggleOnImage
1024,100035,199,,小恶魔之翼高级奖池,0,75,,1=9,11=999,,2,0=-1,5|0,60640011=1|103=150,,,60640011=10|103=1500,,,,,,1,,1100004,2=10=10,1100004=1,,1100004=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1025,100045,199,,天使波利眼罩高级奖池,0,85,,17=23,11=999,,2,0=-1,5|0,60640011=1|103=150,,,60640011=10|103=1500,,,,,,1,,1080037,2=10=11,1080037=1,,1080037=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1026,100055,199,,瓦尔基里头盔高级奖池,0,95,,24=30,11=999,,2,0=-1,5|0,60640011=1|103=150,,,60640011=10|103=1500,,,,,,1,,1070111,2=10=10,1070111=1,,1070111=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1027,100065,199,,鲨鱼恶霸高级奖池,0,105,,1=31,65=999,,2,0=-1,5|0,60640021=1|103=150,,,60640021=10|103=1500,,,,,,5,,1020024,,1020024=1,,1020024=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1028,100075,199,,恶魔派对高级奖池,0,115,,1=17,11=999,,2,0=-1,5|0,60640001=1|103=150,,,60640001=10|103=1500,,,,,,2,,1010005|1010006,2=10=21,1010005=1|1010006=1,,1010005=2=PICK_UP|1010006=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1029,100080,199,,超萌学院普通奖池,0,110,,18=34,11=999,,2,0=-1,5|0,60640000=1|103=50,,,60640000=10|103=500,,,,,,2,,1010019|1010020,2=10=21,1010019=1|1010020=1,,1010019=2=PICK_UP|1010020=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1030,100085,199,,超萌学院高级奖池,0,115,,18=34,11=999,,2,0=-1,5|0,60640001=1|103=150,,,60640001=10|103=1500,,,,,,2,,1010019|1010020,2=10=21,1010019=1|1010020=1,,1010019=2=PICK_UP|1010020=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n,,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1031,100090,199,1993,夏日外观扭蛋,0,5,2001,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035020=1,171,2035020,2,,1010061|1010062|1070193,2=10=21,1020003|1010053|1010054|1010061|1010062|1070193,,1020003=2=PICK_UP|1010053=2=PICK_UP|1010054=2=PICK_UP|1010061=2=PICK_UP|1010062=2=PICK_UP|1070193=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1032,100110,199,1994,夏日外观扭蛋Ⅱ,0,5,2002,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035022=1,173,2035020|2035022,2,,1010033|1010034,2=10=21,1021046|1021041|1010074|1010075|1010033|1010034,,1021046=2=PICK_UP|1021041=2=PICK_UP|1010074=2=PICK_UP|1010075=2=PICK_UP|1010033=2=PICK_UP|1010034=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1033,100120,199,1995,夏日外观扭蛋Ⅲ,0,5,2003,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035023=1,174,2035020|2035022|2035023,2,,1010068|1010069|1090064,2=10=21,1020031|1020030|1010068|1010069|1090064,,1020031=2=PICK_UP|1020030=2=PICK_UP|1010068=2=PICK_UP|1010069=2=PICK_UP|1090064=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1034,100130,199,1996,夏日外观扭蛋Ⅳ,0,5,2004,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035024=1,175,2035020|2035022|2035023|2035024,2,,1010059|1010060|1100021,2=10=21,1021047|1010005|1010006|1010059|1010060|1100021,,1021047=2=PICK_UP|1010005=2=PICK_UP|1010006=2=PICK_UP|1010059=2=PICK_UP|1010060=2=PICK_UP|1100021=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1035,100140,199,1997,秋日外观扭蛋,0,5,2005,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035025=1,301,2035020|2035022|2035023|2035024|2035025,2,,1010088|1010089|1070296|1090088,2=10=10,1010088|1010089|1070296|1070297|1090088,,1010088=2=PICK_UP|1010089=2=PICK_UP|1070296=2=PICK_UP|1070297=2=PICK_UP|1090088=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1036,100150,199,1998,秋日外观扭蛋Ⅱ,0,5,2006,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035026=1,302,2035020|2035022|2035023|2035024|2035025|2035026,1,,1070186|1100010,2=10=21,1070186|1100010|1100028|1020024,,1070186=2=PICK_UP|1100010=2=PICK_UP|1100028=2=PICK_UP|1020024=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1037,100160,199,1999,秋日外观扭蛋Ⅲ,0,5,2007,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035027=1,303,2035020|2035022|2035023|2035024|2035025|2035026|2035027,1,,1100018,2=10=21,1100018|1100027|1100004|1100002,,1100018=2=PICK_UP|1100027=2=PICK_UP|1100004=2=PICK_UP|1100002=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1038,100170,199,2000,秋日外观扭蛋IV,0,5,2011,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035028=1,304,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028,2,,1010091|1010092,2=10=21,1070300|1100044|1010091|1010092|1021054,,1070300=2=PICK_UP|1100044=2=PICK_UP|1010091=2=PICK_UP|1010092=2=PICK_UP|1021054=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1039,100180,199,2001,秋日外观扭蛋V,0,5,2012,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035029=1,305,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028|2035029,1,,1100014,2=10=21,1090050|1090089|1100014|1021051,,1090050=2=PICK_UP|1090089=2=PICK_UP|1100014=2=PICK_UP|1021051=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1040,100190,199,2002,十月外观扭蛋I,0,5,2013,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035030=1,306,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028|2035029|2035030,2,,1010093|1010094,2=10=21,1010093|1010094|1070301|1080099|1010053|1010054|1070193,,1010093=2=PICK_UP|1010094=2=PICK_UP|1070301=2=PICK_UP|1080099=2=PICK_UP|1010053=2=PICK_UP|1010054=2=PICK_UP|1070193=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1041,100200,199,2003,十月外观扭蛋II,0,5,2014,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035031=1,307,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028|2035029|2035030|2035031,1,,1070188,2=10=21,1021044|1070188|1100024|1010033|1010034|1010068|1010069,,1021044=2=PICK_UP|1070188=2=PICK_UP|1100024=2=PICK_UP|1010033=2=PICK_UP|1010034=2=PICK_UP|1010068=2=PICK_UP|1010069=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1042,100210,199,2004,十月外观扭蛋III,0,5,2015,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035032=1,308,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028|2035029|2035030|2035031|2035032,1,,1100023,2=10=21,1080084|1100023|1070195|1010061|1010062|1090064,,1080084=2=PICK_UP|1100023=2=PICK_UP|1070195=2=PICK_UP|1010061=2=PICK_UP|1010062=2=PICK_UP|1090064=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1043,100220,199,2005,十月外观扭蛋IV,0,5,2016,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035033=1,309,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028|2035029|2035030|2035031|2035032|2035033,2,,1010101|1010102,2=10=21,1070308|1090092|1100050|1010101|1010102,,1070308=2=PICK_UP|1090092=2=PICK_UP|1100050=2=PICK_UP|1010101=2=PICK_UP|1010102=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1044,100230,199,2006,秋末外观扭蛋I,0,5,2017,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035034=1,310,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028|2035029|2035030|2035031|2035032|2035033|2035034,2,,1010103|1010104,2=10=21,1070310|1100051|1100052|1010103|1010104,,1070310=2=PICK_UP|1100051=2=PICK_UP|1100052=2=PICK_UP|1010103=2=PICK_UP|1010104=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1045,100240,199,2007,秋末外观扭蛋II,0,5,2018,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035035=1,311,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028|2035029|2035030|2035031|2035032|2035033|2035034|2035035,2,,1100015,2=10=21,1100015|1070115|1090062|1021057,,1100015=2=PICK_UP|1070115=2=PICK_UP|1090062=2=PICK_UP|1021057=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1046,100250,199,2008,秋末外观扭蛋III,0,5,2019,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035036=1,312,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028|2035029|2035030|2035031|2035032|2035033|2035034|2035035|2035036,2,,1010099|1010100,2=10=21,1070307|1100049|1010099|1010100|1020003|1021047,,1070307=2=PICK_UP|1100049=2=PICK_UP|1010099=2=PICK_UP|1010100=2=PICK_UP|1020003=2=PICK_UP|1021047=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1047,100260,199,2009,秋末外观扭蛋IV,0,5,2020,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035037=1,313,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028|2035029|2035030|2035031|2035032|2035033|2035034|2035035|2035036|2035037,2,,1070316,2=10=21,1070316|1100058|1080105|1021056,,1070316=2=PICK_UP|1100058=2=PICK_UP|1080105=2=PICK_UP|1021056=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
1048,100270,199,2010,秋末外观扭蛋V,0,5,2021,1=9999,11=999,,2,0=-1,5|0,60640050=1|103=120,,,60640050=10|103=1200,,,1=2035038=1,314,2035020|2035022|2035023|2035024|2035025|2035026|2035027|2035028|2035029|2035030|2035031|2035032|2035033|2035034|2035035|2035036|2035037|2035038,2,,1010107|1010108,3=8,1070313|1100055|1010107|1010108|1080104,,1070313=2=PICK_UP|1100055=2=PICK_UP|1010107=2=PICK_UP|1010108=2=PICK_UP|1080104=2=PICK_UP,1.该奖池消耗喵喵果实抽取，可消耗付费喵喵果实或者免费喵喵果实\n2.点击概率详情查看奖池物品概率\n3.抽取一次可以获得1积分\n4.积分可用来兑换当期大奖\n5.积分在奖池过期后会自动兑换成等量的金色奖牌,40001,6001,Gacha,UI_Gacha_Icon_toushi_b.png,UI_Gacha_Icon_toushi_a.png
