Id,Name,ForgePreview,ForgeLevel,ShowLevel,ForgeMaterials,SortId,Type,LocalizationArea,类型
12333908,红云长剑Ⅰ,,80,70,3022006=16|123339080=1|1290061=330|101=2680000,22,1,27,武器
13334005,魔力长矛,,50,40,3022003=15|133340050=1|1280007=80|101=640000,23,1,,武器
13334007,魔力长矛Ⅰ,,70,60,3022005=16|133340070=1|1290057=160|101=1360000,24,1,,武器
13334008,魔力长矛Ⅱ,,80,70,3022006=16|133340080=1|1290060=330|101=2680000,25,1,27,武器
13334105,连刺长矛,,50,40,3022003=15|133341050=1|1280004=80|101=640000,26,1,,武器
13334107,连刺长矛Ⅰ,,70,60,3022005=16|133341070=1|1290059=160|101=1360000,27,1,,武器
13334108,连刺长矛Ⅱ,,80,70,3022006=16|133341080=1|1290060=330|101=2680000,28,1,27,武器
13334207,重兵长矛,,70,60,3022005=16|133342070=1|1290059=160|101=1360000,29,1,,武器
13334307,柱枪,,70,60,3022005=16|133343070=1|1290059=160|101=1360000,31,1,11,武器
13334308,柱枪Ⅰ,,80,70,3022006=16|133343080=1|1290056=330|101=2680000,32,1,11,武器
13334408,永恒之枪,,80,70,3022006=16|133344080=1|1290056=330|101=2680000,33,1,27,武器
4334505,红十字杖,,50,40,3022003=15|43345050=1|1280004=80|101=640000,34,1,,武器
4334507,红十字杖Ⅰ,,70,60,3022005=16|43345070=1|1290062=160|101=1360000,35,1,,武器
4334508,红十字杖Ⅱ,,80,70,3022006=16|43345080=1|1290056=330|101=2680000,36,1,27,武器
4334605,黛雅之杖,,50,40,3022003=15|43346050=1|1280004=80|101=640000,37,1,,武器
4334607,黛雅之杖Ⅰ,,70,60,3022005=16|43346070=1|1290062=160|101=1360000,38,1,,武器
4334608,黛雅之杖Ⅱ,,80,70,3022006=16|43346080=1|1290061=330|101=2680000,39,1,27,武器
4334705,神圣权杖,,50,40,3022003=15|43347050=1|1280008=80|101=640000,40,1,,武器
4334707,神圣权杖Ⅰ,,70,60,3022005=16|43347070=1|1290062=160|101=1360000,41,1,,武器
4334708,神圣权杖Ⅱ,,80,70,3022006=16|43347080=1|1290061=330|101=2680000,42,1,27,武器
4334805,诅咒魔杖,,50,40,3022003=15|43348050=1|1280008=80|101=640000,43,1,,武器
4334807,诅咒魔杖Ⅰ,,70,60,3022005=16|43348070=1|1290057=160|101=1360000,44,1,,武器
4334808,诅咒魔杖Ⅱ,,80,70,3022006=16|43348080=1|1290061=330|101=2680000,45,1,27,武器
4334905,羽翼之杖,,50,40,3022003=15|43349050=1|1280008=80|101=640000,46,1,,武器
4334907,羽翼之杖Ⅰ,,70,60,3022005=16|43349070=1|1290057=160|101=1360000,47,1,,武器
4335005,生存的魔杖,,50,40,3022003=15|43350050=1|1280007=80|101=640000,49,1,,武器
4335105,大巫师之杖,,50,40,3022003=15|43351050=1|1280007=80|101=640000,50,1,,武器
4335107,大巫师之杖Ⅰ,,70,60,3022005=16|43351070=1|1290057=160|101=1360000,51,1,,武器
4335108,大巫师之杖Ⅱ,,80,70,3022006=16|43351080=1|1290060=330|101=2680000,52,1,27,武器
4335207,高等生存魔杖,,70,60,3022005=16|43352070=1|1290059=160|101=1360000,53,1,,武器
4335208,高等生存魔杖Ⅰ,,80,70,3022006=16|43352080=1|1290060=330|101=2680000,54,1,27,武器
4335307,圣杖英灵,,70,60,3022005=16|43353070=1|1290059=160|101=1360000,55,1,,武器
4335308,圣杖英灵Ⅰ,,80,70,3022006=16|43353080=1|1290056=330|101=2680000,56,1,27,武器
4335407,痊愈光辉,,70,60,3022005=16|43354070=1|1290059=160|101=1360000,57,1,,武器
4335408,痊愈光辉Ⅰ,,80,70,3022006=16|43354080=1|1290056=330|101=2680000,58,1,27,武器
4335507,克罗诺斯之杖,,70,60,3022005=16|43355070=1|1290062=160|101=1360000,59,1,,武器
4335508,克罗诺斯之杖Ⅰ,,80,70,3022006=16|43355080=1|1290056=330|101=2680000,60,1,27,武器
4335708,巫杖 魂咬,,80,70,3022006=16|43357080=1|1290061=330|101=2680000,63,1,27,武器
9335805,奎师那之刃,,50,40,3022003=15|93358050=1|1280007=80|101=640000,64,1,,武器
9335807,奎师那之刃Ⅰ,,70,60,3022005=16|93358070=1|1290062=160|101=1360000,65,1,,武器
9335808,奎师那之刃Ⅱ,,80,70,3022006=16|93358080=1|1290061=330|101=2680000,66,1,27,武器
9335905,毒之花,,50,40,3022003=15|93359050=1|1280004=80|101=640000,67,1,,武器
9335907,毒之花Ⅰ,,70,60,3022005=16|93359070=1|1290057=160|101=1360000,68,1,,武器
9335908,毒之花Ⅱ,,80,70,3022006=16|93359080=1|1290060=330|101=2680000,69,1,27,武器
9336007,暴虐拳刃,,70,60,3022005=16|93360070=1|1290057=160|101=1360000,70,1,,武器
9336008,暴虐拳刃Ⅰ,,80,70,3022006=16|93360080=1|1290060=330|101=2680000,71,1,27,武器
9336107,火灵拳刃,,70,60,3022005=16|93361070=1|1290057=160|101=1360000,72,1,,武器
9336108,火灵拳刃Ⅰ,,80,70,3022006=16|93361080=1|1290060=330|101=2680000,73,1,27,武器
9336208,洛奇的指甲,,80,70,3022006=16|93362080=1|1290056=330|101=2680000,74,1,27,武器
2336305,巨毒短剑,,50,40,3022003=15|23363050=1|1280004=80|101=640000,75,1,,武器
2336307,巨毒短剑Ⅰ,,70,60,3022005=16|23363070=1|1290059=160|101=1360000,76,1,,武器
2336308,巨毒短剑Ⅱ,,80,70,3022006=16|23363080=1|1290056=330|101=2680000,77,1,27,武器
2336405,沙漠之风,,50,40,3022003=15|23364050=1|1280004=80|101=640000,78,1,,武器
2336407,沙漠之风Ⅰ,,70,60,3022005=16|23364070=1|1290059=160|101=1360000,79,1,,武器
2336505,强化大驹短剑,,50,40,3022003=15|23365050=1|1280008=80|101=640000,81,1,,武器
2336507,强化大驹短剑Ⅰ,,70,60,3022005=16|23365070=1|1290059=160|101=1360000,82,1,,武器
2336508,强化大驹短剑Ⅱ,,80,70,3022006=16|23365080=1|1290061=330|101=2680000,83,1,27,武器
2336605,地灵短剑,,50,40,3022003=15|23366050=1|1280008=80|101=640000,84,1,,武器
2336607,地灵短剑Ⅰ,,70,60,3022005=16|23366070=1|1290062=160|101=1360000,85,1,,武器
2336608,地灵短剑Ⅱ,,80,70,3022006=16|23366080=1|1290061=330|101=2680000,86,1,27,武器
2336707,月灵短剑,,70,60,3022005=16|23367070=1|1290062=160|101=1360000,87,1,,武器
2336708,月灵短剑Ⅰ,,80,70,3022006=16|23367080=1|1290061=330|101=2680000,88,1,27,武器
2336807,月辰短剑,,70,60,3022005=16|23368070=1|1290062=160|101=1360000,89,1,,武器
2336808,月辰短剑Ⅰ,,80,70,3022006=16|23368080=1|1290060=330|101=2680000,90,1,27,武器
2336908,陨星,,80,70,3022006=16|23369080=1|1290060=330|101=2680000,91,1,27,武器
1337005,圣锤 裁决,,50,40,3022003=15|13370050=1|1280008=80|101=640000,92,1,,武器
1337007,圣锤 裁决Ⅰ,,70,60,3022005=16|13370070=1|1290057=160|101=1360000,93,1,,武器
1337008,圣锤 裁决Ⅱ,,80,70,3022006=16|13370080=1|1290060=330|101=2680000,94,1,27,武器
1337105,黄金之锤,,50,40,3022003=15|13371050=1|1280007=80|101=640000,95,1,,武器
1337107,黄金之锤Ⅰ,,70,60,3022005=16|13371070=1|1290057=160|101=1360000,96,1,,武器
1337108,黄金之锤Ⅱ,,80,70,3022006=16|13371080=1|1290056=330|101=2680000,97,1,27,武器
1337207,闇盲之锤,,70,60,3022005=16|13372070=1|1290057=160|101=1360000,98,1,,武器
1337208,闇盲之锤Ⅰ,,80,70,3022006=16|13372080=1|1290056=330|101=2680000,99,1,27,武器
1337307,魔锤 安魂曲,,70,60,3022005=16|13373070=1|1290059=160|101=1360000,100,1,,武器
1337308,魔锤 安魂曲Ⅰ,,80,70,3022006=16|13373080=1|1290056=330|101=2680000,101,1,27,武器
1337408,圣锤 十字星,,80,70,3022006=16|13374080=1|1290061=330|101=2680000,102,1,27,武器
6337505,炽天使之弓,,50,40,3022003=15|63375050=1|1280007=80|101=640000,103,1,,武器
6337507,炽天使之弓Ⅰ,,70,60,3022005=16|63375070=1|1290059=160|101=1360000,104,1,,武器
6337605,驻足重弩,,50,40,3022003=15|63376050=1|1280007=80|101=640000,106,1,,武器
6337607,驻足重弩Ⅰ,,70,60,3022005=16|63376070=1|1290059=160|101=1360000,107,1,,武器
6337608,驻足重弩Ⅱ,,80,70,3022006=16|63376080=1|1290061=330|101=2680000,108,1,27,武器
6337705,红色闪电,,50,40,3022003=15|63377050=1|1280004=80|101=640000,109,1,,武器
6337707,红色闪电Ⅰ,,70,60,3022005=16|63377070=1|1290062=160|101=1360000,110,1,,武器
6337807,伊克西翁之翼,,70,60,3022005=16|63378070=1|1290062=160|101=1360000,112,1,,武器
6337808,伊克西翁之翼Ⅰ,,80,70,3022006=16|63378080=1|1290060=330|101=2680000,113,1,27,武器
6337907,绵绵大蟹弓,,70,60,3022005=16|63379070=1|1290062=160|101=1360000,114,1,,武器
6337908,绵绵大蟹弓Ⅰ,,80,70,3022006=16|63379080=1|1290060=330|101=2680000,115,1,27,武器
6338007,元素之弓,,70,60,3022005=16|63380070=1|1290057=160|101=1360000,116,1,,武器
6338008,元素之弓Ⅰ,,80,70,3022006=16|63380080=1|1290056=330|101=2680000,117,1,27,武器
6338107,鹰隼之弓,,70,60,3022005=16|63381070=1|1290057=160|101=1360000,118,1,,武器
6338108,鹰隼之弓Ⅰ,,80,70,3022006=16|63381080=1|1290056=330|101=2680000,119,1,27,武器
6338208,乌勒尔的决意,,80,70,3022006=16|63382080=1|1290056=330|101=2680000,120,1,27,武器
5338305,超重双手斧,,50,40,3022003=15|53383050=1|1280004=80|101=640000,121,1,,武器
5338307,超重双手斧Ⅰ,,70,60,3022005=16|53383070=1|1290057=160|101=1360000,122,1,,武器
5338308,超重双手斧Ⅱ,,80,70,3022006=16|53383080=1|1290061=330|101=2680000,123,1,27,武器
5338405,克莱伊特斧,,50,40,3022003=15|53384050=1|1280004=80|101=640000,124,1,,武器
5338407,克莱伊特斧Ⅰ,,70,60,3022005=16|53384070=1|1290059=160|101=1360000,125,1,,武器
5338408,克莱伊特斧Ⅱ,,80,70,3022006=16|53384080=1|1290061=330|101=2680000,126,1,27,武器
5338507,贝克战斧,,70,60,3022005=16|53385070=1|1290059=160|101=1360000,127,1,,武器
5338508,贝克战斧Ⅰ,,80,70,3022006=16|53385080=1|1290061=330|101=2680000,128,1,27,武器
5338607,碎心斧,,70,60,3022005=16|53386070=1|1290059=160|101=1360000,129,1,,武器
5338608,碎心斧Ⅰ,,80,70,3022006=16|53386080=1|1290060=330|101=2680000,130,1,27,武器
5338708,P.T.D机械核心,,80,70,3022006=16|53387080=1|1290060=330|101=2680000,131,1,27,武器
12228803,厚刃剑,,30,15,3022001=3|1290008=30|1290007=30|101=40000,232,1,,武器
12238804,厚刃剑Ⅰ,,40,30,3022002=4|1290012=35|1290018=35|101=100000,233,1,,武器
12238805,厚刃剑Ⅱ,,50,40,3022003=4|1290009=100|1280008=20|101=300000,234,1,,武器
12238806,厚刃剑Ⅲ,,60,50,3022004=5|1290001=160|1290058=30|101=490000,235,1,,武器
12238807,厚刃剑Ⅳ,,70,60,3022005=5|1290005=270|1290057=50|101=810000,236,1,,武器
12238808,厚刃剑Ⅴ,,80,70,3022006=10|1290014=680|1290056=140|101=2040000,237,1,27,武器
12228903,骑兵之剑,,30,15,3022001=3|1290008=30|1290007=30|101=40000,238,1,,武器
12238904,骑兵之剑Ⅰ,,40,30,3022002=4|1290013=35|1290004=35|101=100000,239,1,,武器
12238905,骑兵之剑Ⅱ,,50,40,3022003=4|1290018=100|1280008=20|101=300000,240,1,,武器
12238906,骑兵之剑Ⅲ,,60,50,3022004=5|1290016=160|1290058=30|101=490000,241,1,,武器
12238907,骑兵之剑Ⅳ,,70,60,3022005=5|1290012=270|1290059=50|101=810000,242,1,,武器
12238908,骑兵之剑Ⅴ,,80,70,3022006=10|1290018=680|1290056=140|101=2040000,243,1,27,武器
13239004,弯刃长矛Ⅰ,,40,30,3022002=4|1290010=35|1290004=35|101=100000,244,1,,武器
13239005,弯刃长矛Ⅱ,,50,40,3022003=4|1290010=100|1280007=20|101=300000,245,1,,武器
13239006,弯刃长矛Ⅲ,,60,50,3022004=5|1290003=160|1290058=30|101=490000,246,1,,武器
13239007,弯刃长矛Ⅳ,,70,60,3022005=5|1290015=270|1290059=50|101=810000,247,1,,武器
13239008,弯刃长矛Ⅴ,,80,70,3022006=10|1290054=680|1290061=140|101=2040000,248,1,27,武器
13239104,步兵长矛Ⅰ,,40,30,3022002=4|1290012=35|1290004=35|101=100000,249,1,,武器
13239105,步兵长矛Ⅱ,,50,40,3022003=4|1290009=100|1280007=20|101=300000,250,1,,武器
13239106,步兵长矛Ⅲ,,60,50,3022004=5|1290001=160|1280002=30|101=490000,251,1,,武器
13239107,步兵长矛Ⅳ,,70,60,3022005=5|1290005=270|1290059=50|101=810000,252,1,,武器
13239108,步兵长矛Ⅴ,,80,70,3022006=10|1290014=680|1290061=140|101=2040000,253,1,27,武器
4229203,洞察之杖,,30,15,3022001=3|1290008=30|1290007=30|101=40000,254,1,,武器
4239204,洞察之杖Ⅰ,,40,30,3022002=4|1290013=35|1290017=35|101=100000,255,1,,武器
4239205,洞察之杖Ⅱ,,50,40,3022003=4|1290018=100|1280007=20|101=300000,256,1,,武器
4239206,洞察之杖Ⅲ,,60,50,3022004=5|1290016=160|1280002=30|101=490000,257,1,,武器
4239207,洞察之杖Ⅳ,,70,60,3022005=5|1290012=270|1290062=50|101=810000,258,1,,武器
4239208,洞察之杖Ⅴ,,80,70,3022006=10|1290018=680|1290061=140|101=2040000,259,1,27,武器
4229303,橡木魔杖,,30,15,3022001=3|1290008=30|1290007=30|101=40000,260,1,,武器
4239304,橡木魔杖Ⅰ,,40,30,3022002=4|1290010=35|1290017=35|101=100000,261,1,,武器
4239305,橡木魔杖Ⅱ,,50,40,3022003=4|1290010=100|1280004=20|101=300000,262,1,,武器
4239306,橡木魔杖Ⅲ,,60,50,3022004=5|1290003=160|1280002=30|101=490000,263,1,,武器
4239307,橡木魔杖Ⅳ,,70,60,3022005=5|1290015=270|1290062=50|101=810000,264,1,,武器
4239308,橡木魔杖Ⅴ,,80,70,3022006=10|1290054=680|1290060=140|101=2040000,265,1,27,武器
4229403,精灵魔杖,,30,15,3022001=3|1290008=30|1290007=30|101=40000,266,1,,武器
4239404,精灵魔杖Ⅰ,,40,30,3022002=4|1290012=35|1290017=35|101=100000,267,1,,武器
4239405,精灵魔杖Ⅱ,,50,40,3022003=4|1290009=100|1280004=20|101=300000,268,1,,武器
4239406,精灵魔杖Ⅲ,,60,50,3022004=5|1290001=160|1290053=30|101=490000,269,1,,武器
4239407,精灵魔杖Ⅳ,,70,60,3022005=5|1290005=270|1290062=50|101=810000,270,1,,武器
4239408,精灵魔杖Ⅴ,,80,70,3022006=10|1290014=680|1290060=140|101=2040000,271,1,27,武器
9239504,卡塔勒拳刃Ⅰ,,40,30,3022002=4|1290013=35|1290018=35|101=100000,272,1,,武器
9239505,卡塔勒拳刃Ⅱ,,50,40,3022003=4|1290018=100|1280004=20|101=300000,273,1,,武器
9239506,卡塔勒拳刃Ⅲ,,60,50,3022004=5|1290016=160|1290053=30|101=490000,274,1,,武器
9239507,卡塔勒拳刃Ⅳ,,70,60,3022005=5|1290012=270|1290057=50|101=810000,275,1,,武器
9239508,卡塔勒拳刃Ⅴ,,80,70,3022006=10|1290018=680|1290060=140|101=2040000,276,1,27,武器
2229603,卡特短剑,,30,15,3022001=3|1290008=30|1290007=30|101=40000,277,1,,武器
2239604,卡特短剑Ⅰ,,40,30,3022002=4|1290010=35|1290018=35|101=100000,278,1,,武器
2239605,卡特短剑Ⅱ,,50,40,3022003=4|1290010=100|1280008=20|101=300000,279,1,,武器
2239606,卡特短剑Ⅲ,,60,50,3022004=5|1290003=160|1290053=30|101=490000,280,1,,武器
2239607,卡特短剑Ⅳ,,70,60,3022005=5|1290015=270|1290057=50|101=810000,281,1,,武器
2239608,卡特短剑Ⅴ,,80,70,3022006=10|1290054=680|1290056=140|101=2040000,282,1,27,武器
1229703,恩麦斯铁锤,,30,15,3022001=3|1290008=30|1290007=30|101=40000,283,1,,武器
1239704,恩麦斯铁锤Ⅰ,,40,30,3022002=4|1290012=35|1290018=35|101=100000,284,1,,武器
1239705,恩麦斯铁锤Ⅱ,,50,40,3022003=4|1290009=100|1280008=20|101=300000,285,1,,武器
1239706,恩麦斯铁锤Ⅲ,,60,50,3022004=5|1290001=160|1290058=30|101=490000,286,1,,武器
1239707,恩麦斯铁锤Ⅳ,,70,60,3022005=5|1290005=270|1290057=50|101=810000,287,1,,武器
1239708,恩麦斯铁锤Ⅴ,,80,70,3022006=10|1290014=680|1290056=140|101=2040000,288,1,27,武器
6229803,猎人之弓,,30,15,3022001=3|1290008=30|1290007=30|101=40000,289,1,,武器
6239804,猎人之弓Ⅰ,,40,30,3022002=4|1290013=35|1290004=35|101=100000,290,1,,武器
6239805,猎人之弓Ⅱ,,50,40,3022003=4|1290018=100|1280008=20|101=300000,291,1,,武器
6239806,猎人之弓Ⅲ,,60,50,3022004=5|1290016=160|1290058=30|101=490000,292,1,,武器
6239807,猎人之弓Ⅳ,,70,60,3022005=5|1290012=270|1290059=50|101=810000,293,1,,武器
6239808,猎人之弓Ⅴ,,80,70,3022006=10|1290018=680|1290056=140|101=2040000,294,1,27,武器
6239904,坎普兹弓Ⅰ,,40,30,3022002=4|1290010=35|1290004=35|101=100000,295,1,,武器
6239905,坎普兹弓Ⅱ,,50,40,3022003=4|1290010=100|1280007=20|101=300000,296,1,,武器
6239906,坎普兹弓Ⅲ,,60,50,3022004=5|1290003=160|1290058=30|101=490000,297,1,,武器
6239907,坎普兹弓Ⅳ,,70,60,3022005=5|1290015=270|1290059=50|101=810000,298,1,,武器
6239908,坎普兹弓Ⅴ,,80,70,3022006=10|1290054=680|1290061=140|101=2040000,299,1,27,武器
5230003,兽人斧,,30,15,3022001=3|1290008=30|1290007=30|101=40000,300,1,,武器
5240004,兽人斧Ⅰ,,40,30,3022002=4|1290012=35|1290004=35|101=100000,301,1,,武器
5240005,兽人斧Ⅱ,,50,40,3022003=4|1290009=100|1280007=20|101=300000,302,1,,武器
5240006,兽人斧Ⅲ,,60,50,3022004=5|1290001=160|1280002=30|101=490000,303,1,,武器
5240007,兽人斧Ⅳ,,70,60,3022005=5|1290005=270|1290059=50|101=810000,304,1,,武器
5240008,兽人斧Ⅴ,,80,70,3022006=10|1290014=680|1290061=140|101=2040000,305,1,27,武器
5230103,钢斧,,30,15,3022001=3|1290008=30|1290007=30|101=40000,306,1,,武器
5240104,钢斧Ⅰ,,40,30,3022002=4|1290013=35|1290017=35|101=100000,307,1,,武器
5240105,钢斧Ⅱ,,50,40,3022003=4|1290018=100|1280007=20|101=300000,308,1,,武器
5240106,钢斧Ⅲ,,60,50,3022004=5|1290016=160|1280002=30|101=490000,309,1,,武器
5240107,钢斧Ⅳ,,70,60,3022005=5|1290012=270|1290062=50|101=810000,310,1,,武器
5240108,钢斧Ⅴ,,80,70,3022006=10|1290018=680|1290061=140|101=2040000,311,1,27,武器
7330205,圣职之衣,,50,40,3022003=9|73302050=1|1280008=50|101=370000,312,2,,铠甲
7330207,圣职之衣Ⅰ,,70,60,3022005=10|73302070=1|1290062=110|101=820000,313,2,,铠甲
7330208,圣职之衣Ⅱ,,80,70,3022006=10|73302080=1|1290060=220|101=1590000,314,2,27,铠甲
7330305,战斗服,,50,40,3022003=9|73303050=1|1280008=50|101=370000,315,2,,铠甲
7330307,战斗服Ⅰ,,70,60,3022005=10|73303070=1|1290062=110|101=820000,316,2,,铠甲
7330308,战斗服Ⅱ,,80,70,3022006=10|73303080=1|1290056=220|101=1590000,317,2,27,铠甲
7330405,钢铁铠甲,,50,40,3022003=9|73304050=1|1280008=50|101=370000,318,2,,铠甲
7330407,钢铁铠甲Ⅰ,,70,60,3022005=10|73304070=1|1290062=110|101=820000,319,2,,铠甲
7330408,钢铁铠甲Ⅱ,,80,70,3022006=10|73304080=1|1290056=220|101=1590000,320,2,27,铠甲
7330505,魔法外套,,50,40,3022003=9|73305050=1|1280007=50|101=370000,321,2,,铠甲
7330507,魔法外套Ⅰ,,70,60,3022005=10|73305070=1|1290057=110|101=820000,322,2,,铠甲
7330508,魔法外套Ⅱ,,80,70,3022006=10|73305080=1|1290056=220|101=1590000,323,2,27,铠甲
7330605,盗贼之衣,,50,40,3022003=9|73306050=1|1280007=50|101=370000,324,2,,铠甲
7330607,盗贼之衣Ⅰ,,70,60,3022005=10|73306070=1|1290057=110|101=820000,325,2,,铠甲
7330608,盗贼之衣Ⅱ,,80,70,3022006=10|73306080=1|1290061=220|101=1590000,326,2,27,铠甲
7330705,紧身便衣,,50,40,3022003=9|73307050=1|1280007=50|101=370000,327,2,,铠甲
7330707,紧身便衣Ⅰ,,70,60,3022005=10|73307070=1|1290057=110|101=820000,328,2,,铠甲
7330708,紧身便衣Ⅱ,,80,70,3022006=10|73307080=1|1290061=220|101=1590000,329,2,27,铠甲
7330905,乐园团制服,,50,40,3022003=9|73309050=1|1280004=50|101=370000,330,2,,铠甲
7330907,乐园团制服Ⅰ,,70,60,3022005=10|73309070=1|1290059=110|101=820000,331,2,,铠甲
7330908,乐园团制服Ⅱ,,80,70,3022006=10|73309080=1|1290060=220|101=1590000,332,2,27,铠甲
7331005,毛皮大衣,,50,40,3022003=9|73310050=1|1280004=50|101=370000,333,2,,铠甲
7331007,毛皮大衣Ⅰ,,70,60,3022005=10|73310070=1|1290059=110|101=820000,334,2,,铠甲
7331008,毛皮大衣Ⅱ,,80,70,3022006=10|73310080=1|1290060=220|101=1590000,335,2,27,铠甲
8331105,羊毛围巾,,50,40,3022003=9|83311050=1|1280008=50|101=370000,336,2,,披风
8331107,羊毛围巾Ⅰ,,70,60,3022005=10|83311070=1|1290062=110|101=820000,337,2,,披风
8331108,羊毛围巾Ⅱ,,80,70,3022006=10|83311080=1|1290060=220|101=1590000,338,2,27,披风
8331205,伯爵斗篷,,50,40,3022003=9|83312050=1|1280008=50|101=370000,339,2,,披风
8331207,伯爵斗篷Ⅰ,,70,60,3022005=10|83312070=1|1290062=110|101=820000,340,2,,披风
8331208,伯爵斗篷Ⅱ,,80,70,3022006=10|83312080=1|1290056=220|101=1590000,341,2,27,披风
8331305,连帽披肩,,50,40,3022003=9|83313050=1|1280008=50|101=370000,342,2,,披风
8331307,连帽披肩Ⅰ,,70,60,3022005=10|83313070=1|1290062=110|101=820000,343,2,,披风
8331308,连帽披肩Ⅱ,,80,70,3022006=10|83313080=1|1290056=220|101=1590000,344,2,27,披风
8331405,茉莉雅娜斗篷,,50,40,3022003=9|83314050=1|1280007=50|101=370000,345,2,,披风
8331407,茉莉雅娜斗篷Ⅰ,,70,60,3022005=10|83314070=1|1290057=110|101=820000,346,2,,披风
8331408,茉莉雅娜斗篷Ⅱ,,80,70,3022006=10|83314080=1|1290056=220|101=1590000,347,2,27,披风
8331505,乐园团斗篷,,50,40,3022003=9|83315050=1|1280007=50|101=370000,348,2,,披风
8331507,乐园团斗篷Ⅰ,,70,60,3022005=10|83315070=1|1290057=110|101=820000,349,2,,披风
8331508,乐园团斗篷Ⅱ,,80,70,3022006=10|83315080=1|1290061=220|101=1590000,350,2,27,披风
8331605,毛绒斗篷,,50,40,3022003=9|83316050=1|1280007=50|101=370000,351,2,,披风
8331607,毛绒斗篷Ⅰ,,70,60,3022005=10|83316070=1|1290057=110|101=820000,352,2,,披风
8331608,毛绒斗篷Ⅱ,,80,70,3022006=10|83316080=1|1290061=220|101=1590000,353,2,27,披风
11331705,魔力靴,,50,40,3022003=9|113317050=1|1280004=50|101=370000,354,2,,鞋子
11331707,魔力靴Ⅰ,,70,60,3022005=10|113317070=1|1290059=110|101=820000,355,2,,鞋子
11331708,魔力靴Ⅱ,,80,70,3022006=10|113317080=1|1290061=220|101=1590000,356,2,27,鞋子
11331805,防水靴,,50,40,3022003=9|113318050=1|1280004=50|101=370000,357,2,,鞋子
11331807,防水靴Ⅰ,,70,60,3022005=10|113318070=1|1290059=110|101=820000,358,2,,鞋子
11331808,防水靴Ⅱ,,80,70,3022006=10|113318080=1|1290060=220|101=1590000,359,2,27,鞋子
11331905,生命树之靴,,50,40,3022003=9|113319050=1|1280004=50|101=370000,360,2,,鞋子
11331907,生命树之靴Ⅰ,,70,60,3022005=10|113319070=1|1290059=110|101=820000,361,2,,鞋子
11331908,生命树之靴Ⅱ,,80,70,3022006=10|113319080=1|1290060=220|101=1590000,362,2,27,鞋子
11332005,茉莉雅娜皮靴,,50,40,3022003=9|113320050=1|1280008=50|101=370000,363,2,,鞋子
11332007,茉莉雅娜皮靴Ⅰ,,70,60,3022005=10|113320070=1|1290062=110|101=820000,364,2,,鞋子
11332008,茉莉雅娜皮靴Ⅱ,,80,70,3022006=10|113320080=1|1290060=220|101=1590000,365,2,27,鞋子
11332105,柔软皮靴,,50,40,3022003=9|113321050=1|1280008=50|101=370000,366,2,,鞋子
11332107,柔软皮靴Ⅰ,,70,60,3022005=10|113321070=1|1290062=110|101=820000,367,2,,鞋子
11332108,柔软皮靴Ⅱ,,80,70,3022006=10|113321080=1|1290056=220|101=1590000,368,2,27,鞋子
11332205,兔子拖鞋,,50,40,3022003=9|113322050=1|1280008=50|101=370000,369,2,,鞋子
11332207,兔子拖鞋Ⅰ,,70,60,3022005=10|113322070=1|1290062=110|101=820000,370,2,,鞋子
