Id,StoryDes,StoryText,StoryAudioBank,StoryAudioName,Length,LocalizationArea,Area
100062,法师女的第2段cv,嘘~来和我一起！闭上眼睛感受魔法的纯粹的力量~,CV/NPC,NPC_C_fashiF_02,5.1,,26
100063,法师女的第3段cv,你看到我的法杖了吗？刚刚还在的呢~哦……原来在我的手上……,CV/NPC,NPC_C_fashiF_03,6.287,,26
100071,刺客男的第1段cv,看到我的匕首了吗，上面淬满了毒液~,CV/NPC,NPC_C_cikeM_01,4.515,,26
100072,刺客男的第2段cv,我调制的毒液可没有解药……离我远些……,CV/NPC,NPC_C_cikeM_02,3.648,,26
100073,刺客男的第3段cv,哼~你成功的引起了我的注意！,CV/NPC,NPC_C_cikeM_03,4.078,,26
100081,刺客女的第1段cv,优秀的刺客，不需要朋友~,CV/NPC,NPC_C_cikeiF_01,3.447,,26
100082,刺客女的第2段cv,对刺客来说，受伤就如同家常便饭，没什么可稀奇的……,CV/NPC,NPC_C_cikeiF_02,4.315,,26
100083,刺客女的第3段cv,别用这种眼神看我，我不需要任何人的同情！,CV/NPC,NPC_C_cikeiF_03,3.644,,26
100091,剑士男的第1段cv,别盯着我看，我的剑可不长眼睛！,CV/NPC,NPC_C_jianshiM_01,3.47,,26
100092,剑士男的第2段cv,前几天看上了一把新剑，但是钱包空空只能看着它被人买走……呜呜呜……,CV/NPC,NPC_C_jianshiM_02,3.47,,26
100093,剑士男的第3段cv,对于一个剑士来说，只有常年佩戴的武器才是自己最忠实的朋友……,CV/NPC,NPC_C_jianshiM_03,8.657,,26
100101,剑士女的第1段cv,什么时候能买到一把轻便的剑呢？现在用的剑也太沉了！,CV/NPC,NPC_C_jianshiF_01,5.485,,26
100102,剑士女的第2段cv,我给我的新剑取了一个名字叫长春，是不是很好听？,CV/NPC,NPC_C_jianshiF_02,3.82,,26
100103,剑士女的第3段cv,我们的教官真的很严格，你看我的手都磨破了……,CV/NPC,NPC_C_jianshiF_03,5.086,,26
100111,服事男的第1段cv,谁说只有女生才适合当服事的！我就是喜欢救死扶伤啦！,CV/NPC,NPC_C_fushiM_01,6.373,,26
100112,服事男的第2段cv,说出来你可能不信，我是个暴力的奶爸~,CV/NPC,NPC_C_fushiM_02,3.5,,26
100113,服事男的第3段cv,我从小时候就被各种各样的小动物喜爱，所以最后才成为了一名服事……,CV/NPC,NPC_C_fushiM_03,6.863,,26
100121,服事女的第1段cv,如果受伤了，就来找我吧！我可是城里数一数二的服事！,CV/NPC,NPC_C_fushiF_01,6.02,,26
100122,服事女的第2段cv,救死扶伤我最在行了！！！,CV/NPC,NPC_C_fushiF_02,3.135,,26
100123,服事女的第3段cv,虽说我们服事可以治愈伤口，但是也不要以此为凭仗不爱惜自己的身体哦~,CV/NPC,NPC_C_fushiF_03,6.841,,26
100131,弓手男的第1段cv,你好啊！我的朋友！要不要来参观一下弓箭手公会呢？,CV/NPC,NPC_C_gongshouM_01,3.289,,26
100132,弓手男的第2段cv,百步穿杨，箭无虚发！！！,CV/NPC,NPC_C_gongshouM_02,1.931,,26
100133,弓手男的第3段cv,我从小在斐扬长大，弓箭就是我们最为珍贵的宝藏！,CV/NPC,NPC_C_gongshouM_03,4.336,,26
100141,弓手女的第1段cv,要说速度我们弓箭手一定是最快的！,CV/NPC,NPC_C_gongshouF_01,2.843,,26
100142,弓手女的第2段cv,可以陪我试试新买的长箭吗？,CV/NPC,NPC_C_gongshouF_02,2.866,,26
100143,弓手女的第3段cv,对于一名弓箭手来说，灵活的身法可是十分重要的！,CV/NPC,NPC_C_gongshouF_03,2.624,,26
100151,普隆德拉卫兵的第1段cv,欢迎来到普隆德拉，冒险者！,CV/NPC,NPC_C_guardpulongdela_01,2.423,,26
100152,普隆德拉卫兵的第2段cv,神圣的大教堂就在城市的东北方向，在那儿你可得规矩点儿。,CV/NPC,NPC_C_guardpulongdela_02,6.047,,26
100153,普隆德拉卫兵的第3段cv,城市中央的喷泉那儿有着奥丁天神的雕像，有空你可以去瞻仰神的尊荣。,CV/NPC,NPC_C_guardpulongdela_03,5.275,,26
100161,吉芬卫兵的第1段cv,最近城里不太太平，平日里出门还是小心一些的好！,CV/NPC,NPC_C_guardjifen_01,3.208,,26
100162,吉芬卫兵的第2段cv,我们吉芬的卫兵从法师手里也学会了一点儿魔法的本领。,CV/NPC,NPC_C_guardjifen_02,4.754,,26
100163,吉芬卫兵的第3段cv,吉芬的城市中央是吉芬塔，据说那之下是通往异次元空间的大门。,CV/NPC,NPC_C_guardjifen_03,5.827,,26
100171,斐扬卫兵的第1段cv,在我们生机勃勃的斐扬城里，站岗都是一种享受~,CV/NPC,NPC_C_guardfeiyang_01,4.281,,26
100172,斐扬卫兵的第2段cv,斐扬城的风土人情和整个大陆都是迥然不同的，好好感受吧！,CV/NPC,NPC_C_guardfeiyang_02,4.9,,26
100173,斐扬卫兵的第3段cv,士为知己者死！我等待着赏识我的人将我提拔成队长呢！,CV/NPC,NPC_C_guardfeiyang_03,6.968,,26
100181,梦罗克卫兵的第1段cv,刺客公会总是给我们添乱，关键是市民信任他们还胜过信任我们！,CV/NPC,NPC_C_guardmengluoke_01,5.527,,26
100182,梦罗克卫兵的第2段cv,这黄沙漫漫的城市让我喉咙都开始不舒服了……,CV/NPC,NPC_C_guardmengluoke_02,3.551,,26
100183,梦罗克卫兵的第3段cv,外邦人，你知道么？梦罗克可不仅仅代表着我们城市的名字。,CV/NPC,NPC_C_guardmengluoke_03,5.32,,26
100191,伊斯鲁得卫兵的第1段cv,什么时候才能换岗呀！,CV/NPC,NPC_C_guardyisilude_01,2.459,,26
100192,伊斯鲁得卫兵的第2段cv,嗨，我每天都盼着下班以后可以去竞技场好好的打上一场！,CV/NPC,NPC_C_guardyisilude_02,5.911,,26
100193,伊斯鲁得卫兵的第3段cv,这里的居民都是那么好斗，我每天都要处理好多起治安事件。,CV/NPC,NPC_C_guardyisilude_03,5.5,,26
100201,艾尔贝塔卫兵的第1段cv,我可是最忠实的守卫，不要妨碍我办公啦！,CV/NPC,NPC_C_guardaierbeita_01,2.762,,26
100202,艾尔贝塔卫兵的第2段cv,艾尔贝塔算得上是卢恩最繁忙的城市了，市民们总是在匆匆赶路。,CV/NPC,NPC_C_guardaierbeita_02,6.4,,26
100203,艾尔贝塔卫兵的第3段cv,我不太喜欢这里的商人，队长说他们大多见利忘义……,CV/NPC,NPC_C_guardaierbeita_03,6.867,,26
100211,小男孩的第1段cv,听说上学以后就会有更多的小伙伴和我一起玩了，好开心呀！,CV/NPC,NPC_C_boy_01,3.917,,26
100212,小男孩的第2段cv,,CV/NPC,NPC_C_boy_02,,,26
100213,小男孩的第3段cv,,CV/NPC,NPC_C_boy_03,,,18
100221,小女孩的第1段cv,肚子好饿，想吃草莓味的冰激凌了！,CV/NPC,NPC_C_girl_01,5.249,,26
100222,小女孩的第2段cv,四十五加三十二等于……等于……,CV/NPC,NPC_C_girl_02,5.249,,26
100223,小女孩的第3段cv,哥哥是个大坏蛋！我再也不要和他一起玩了！！！,CV/NPC,NPC_C_girl_03,5.249,,26
100231,老爷爷的第1段cv,唉……人老喽……走不动了……,CV/NPC,NPC_C_grandpa_01,4.895,,26
100232,老爷爷的第2段cv,现在年轻人，真是越来越毛躁了！,CV/NPC,NPC_C_grandpa_02,3.369,,26
100233,老爷爷的第3段cv,年轻人，慢点走！我眼睛都要被晃晕了……,CV/NPC,NPC_C_grandpa_03,5.7,,26
100241,老奶奶的第1段cv,我刚才想说什么来着？,CV/NPC,NPC_C_grandma_01,2.574,,26
100242,老奶奶的第2段cv,真是有朝气的冒险者~看到你们就像看到了我老伴儿年轻的时候！,CV/NPC,NPC_C_grandma_02,5.9,,26
100243,老奶奶的第3段cv,旅途漫长而又艰巨，无论遇到了什么困难一定要记得不忘初心！,CV/NPC,NPC_C_grandma_03,4.6,,26
100251,骑士团男性成员的第1段cv,保卫卢恩，是我的责任！,CV/NPC,NPC_C_qishituanM_01,3.046,,26
100252,骑士团男性成员的第2段cv,这位年轻的冒险者哟！要不要考虑加入骑士团呢？,CV/NPC,NPC_C_qishituanM_02,3.937,,26
100253,骑士团男性成员的第3段cv,请不要与我客气，身为骑士团的一员理当帮助遇到困难的子民！,CV/NPC,NPC_C_qishituanM_03,6.218,,26
100261,骑士团女性成员的第1段cv,遇到什么困难都可以和我说哦！骑士团为你们服务！,CV/NPC,NPC_C_qishituanF_01,5.036,,26
100262,骑士团女性成员的第2段cv,出行的时候一定要保护好自己哦！,CV/NPC,NPC_C_qishituanF_02,4.197,,26
100263,骑士团女性成员的第3段cv,看到我的搭档了吗？他可是最优秀的骑士！,CV/NPC,NPC_C_qishituanF_03,3.714,,26
100271,吟游诗人的第1段cv,啊~此情此景！我忍不住想作诗一首~,CV/NPC,NPC_C_poet_01,4.207,,26
100272,吟游诗人的第2段cv,美丽的事物总是令我着迷~,CV/NPC,NPC_C_poet_02,3.334,,26
100273,吟游诗人的第3段cv,这世上没有比诗歌更迷人的东西了~,CV/NPC,NPC_C_poet_03,3,,26
100281,铁匠的第1段cv,我打的武器，那必须是坚固又耐用！,CV/NPC,NPC_C_tiejiang_01,3.87,,26
100282,铁匠的第2段cv,打铁也是一门艺术~,CV/NPC,NPC_C_tiejiang_02,3.072,,26
100283,铁匠的第3段cv,悄悄告诉你，城里的卫兵有时候也会来找我锻造家伙呢……,CV/NPC,NPC_C_tiejiang_03,5.447,,26
100291,托尼老师的第1段cv,要说谁是这城里最受欢迎的人物，当然非我莫属啦！,CV/NPC,NPC_C_tuonilaoshi_01,4.9,,26
100292,托尼老师的第2段cv,想要什么发型？我都能满足你！,CV/NPC,NPC_C_tuonilaoshi_02,3.4,,26
100293,托尼老师的第3段cv,《卢恩时尚》杂志里那些帅哥美女的发型其实都出自我之手哦！,CV/NPC,NPC_C_tuonilaoshi_03,4.182,,26
100301,爱花少女的第1段cv,如果遇到了关于鲜花种植的困难就来找我吧！别看我个子小，脑袋里可装着不少知识呢！哼哼~,CV/NPC,NPC_C_maihuashaonv_01,8.319,,26
100302,爱花少女的第2段cv,买支花吧！送给心爱的那个她~,CV/NPC,NPC_C_maihuashaonv_02,4.156,,26
100303,爱花少女的第3段cv,卢恩王国的北方是一片群山环绕之地，那里有许多神奇的植物。,CV/NPC,NPC_C_maihuashaonv_03,7.606,,26
100311,猫耳朵商人的第1段cv,不要盯着我的耳朵看啦！这样真的很不礼貌哦~,CV/NPC,NPC_C_leyuantuanshangren_01,3.843,,26
100312,猫耳朵商人的第2段cv,最近城里的游客越来越多了~,CV/NPC,NPC_C_leyuantuanshangren_02,2.64,,26
100313,猫耳朵商人的第3段cv,我希望能早日赚到足够买下一艘大船的钱，然后环游世界,CV/NPC,NPC_C_leyuantuanshangren_03,3.309,,26
100321,园丁的第1段cv,花朵花朵~快长大~,CV/NPC,NPC_C_yuanding_01,2.544,,26
100322,园丁的第2段cv,美好的一天从打理苗圃开始！,CV/NPC,NPC_C_yuanding_02,2.451,,26
100323,园丁的第3段cv,我们的工作看似不起眼，但对于城市的形象其实十分重要。,CV/NPC,NPC_C_yuanding_03,4.908,,26
100331,魔物生态研究学者的第1段cv,真想去海底下看看啊~一定能发现许多新的未知魔物！,CV/NPC,NPC_C_mowuxuezhe_01,4.761,,26
100332,魔物生态研究学者的第2段cv,作为一名生态研究人员总是没有太多的时间用来陪伴家人~上一次回家是什么时候呢？已经记不清了……,CV/NPC,NPC_C_mowuxuezhe_02,8.6,,26
100333,魔物生态研究学者的第3段cv,抱着好奇的眼光看待这个世界，你会发现它新的一面。,CV/NPC,NPC_C_mowuxuezhe_03,4.388,,26
100341,绵绵岛猫商人的第1段cv,我们猫手商队可都是最讲诚信的了喵~,CV/NPC,NPC_C_maoshangren_01,3.41,,26
100342,绵绵岛猫商人的第2段cv,不打折~不打折~我们绵绵岛的商品摆的都是最实惠的价格！,CV/NPC,NPC_C_maoshangren_02,6.911,,26
100343,绵绵岛猫商人的第3段cv,我们的故乡，是一个和米德加兹大陆完全不同的世界。,CV/NPC,NPC_C_maoshangren_03,4.216,,26
100351,服务生的第1段cv,有什么我能为您服务的吗？,CV/NPC,NPC_C_fuwusheng_01,1.797,,26
100352,服务生的第2段cv,我很喜欢这份工作！既能锻炼我的仪态又能结识更多的人~,CV/NPC,NPC_C_fuwusheng_02,6.731,,26
100353,服务生的第3段cv,每一份伟大的事业都是从司空见惯的小零活儿开始的，不是吗？,CV/NPC,NPC_C_fuwusheng_03,4.779,,26
100361,绅士的第1段cv,真正的绅士从不会说自己是绅士~,CV/NPC,NPC_C_shenshi_01,4.027,,26
100362,绅士的第2段cv,认真的对待每一件事，努力将它做到极致！这是我对自己的最低要求！,CV/NPC,NPC_C_shenshi_02,7.336,,26
100363,绅士的第3段cv,年纪大了，我唯一的兴趣就是研究这城市那引人入胜的历史了。,CV/NPC,NPC_C_shenshi_03,7.809,,26
100371,斐扬居民的第1段cv,来了我们斐扬一定要尝尝村口酒家的米酒与烤肉！那味道……真的是让人欲罢不能……,CV/NPC,NPC_C_feiyangjumin_01,10.176,,26
100372,斐扬居民的第2段cv,斐扬世世代代以弓术为生，它早就成了我们生活中的一部分了！,CV/NPC,NPC_C_feiyangjumin_02,7.61,,26
100373,斐扬居民的第3段cv,我们这儿为什么和卢恩王国境内的其他地方差异那么大？我也不太清楚……,CV/NPC,NPC_C_feiyangjumin_03,7.8,,26
100381,流浪冒险家的第1段cv,我喜欢冒险……它给我平淡的人生增添了许多刺激！,CV/NPC,NPC_C_liulangmaoxianjia_01,5.694,,26
100382,流浪冒险家的第2段cv,嘿！冒险者！要不要和我结伴旅行？,CV/NPC,NPC_C_liulangmaoxianjia_02,3.759,,26
100383,流浪冒险家的第3段cv,读万卷书不如行万里路，这就是我的人生信条。,CV/NPC,NPC_C_liulangmaoxianjia_03,4.671,,26
100391,猎鹰训练师的第1段cv,猎鹰是我们最忠实的伙伴！！！,CV/NPC,NPC_C_lieyingxunlianshi_01,2.632,,26
100392,猎鹰训练师的第2段cv,你也想听听我和猎鹰的故事吗？,CV/NPC,NPC_C_lieyingxunlianshi_02,2.444,,26
100393,猎鹰训练师的第3段cv,只要想到明天又能狩猎了，我就觉得一切不快活都不必在意。,CV/NPC,NPC_C_lieyingxunlianshi_03,5.487,,26
100401,舞娘的第1段cv,骆驼的摇铃声……风的呼啸声……仔细体会又何尝不是一首动人的舞曲呢！,CV/NPC,NPC_C_wuniang_01,6.947,,26
100402,舞娘的第2段cv,梦罗克的迷人风情总是能带给我许多新的灵感！,CV/NPC,NPC_C_wuniang_02,4.255,,26
100403,舞娘的第3段cv,站在舞台上的人都是会发光的，当我舞动之时我发现自己是那么的美……,CV/NPC,NPC_C_wuniang_03,6.735,,26
100411,梦罗克居民的第1段cv,神秘而古老的城市孕育出我们独有的风采~,CV/NPC,NPC_C_mengluokejimin_01,4.363,,26
100412,梦罗克居民的第2段cv,来到梦罗克一定要记住节约用水！在这里水资源是非常宝贵的！,CV/NPC,NPC_C_mengluokejimin_02,5.116,,26
100413,梦罗克居民的第3段cv,为什么这么荒凉偏僻的地方却总是有这么多外邦人来拜访？,CV/NPC,NPC_C_mengluokejimin_03,4.907,,26
100421,酒保的第1段cv,想喝点什么？看在我今儿心情不错的份上，可以亲手为你调制！,CV/NPC,NPC_C_jiubao_01,5.364,,26
100422,酒保的第2段cv,酒可是个好东西！,CV/NPC,NPC_C_jiubao_02,2.7,,26
100423,酒保的第3段cv,来吧，点上一杯“卢恩火山”让自己暖和暖和！,CV/NPC,NPC_C_jiubao_03,4.056,,26
100431,流氓的第1段cv,看什么看！说你呢！！！,CV/NPC,NPC_C_liumang_01,3.2,,26
100432,流氓的第2段cv,最近城里的油水也太少了！真让人发愁！,CV/NPC,NPC_C_liumang_02,5.071,,26
100433,流氓的第3段cv,朋友，咱最近手头不太宽裕，哪里有赚钱的好法子呢？,CV/NPC,NPC_C_liumang_03,7.621,,26
100441,结婚服务人员的第1段cv,有什么我能帮您的？我们这里可以咨询各种与结婚相关的服务哦~,CV/NPC,NPC_C_jiehunfuwurenyuan_01,6.638,,26
100442,结婚服务人员的第2段cv,我想我做的约莫就是世界上最令人羡慕的工作了~,CV/NPC,NPC_C_jiehunfuwurenyuan_02,5.078,,26
100443,结婚服务人员的第3段cv,送走了一批又一批的新人，我自己的那位意中人怎么还一直不出现呢？,CV/NPC,NPC_C_jiehunfuwurenyuan_03,6.17,,26
100451,短裙商贩的第1段cv,快来看看吧！多买多优惠哦！,CV/NPC,NPC_C_duanqunshangfan_01,4.314,,26
100452,短裙商贩的第2段cv,相信我，你找不到比我们家更实惠的商品了！,CV/NPC,NPC_C_duanqunshangfan_02,4.531,,26
100453,短裙商贩的第3段cv,起早贪黑，只为了能早日拥有属于我自己的一家小门店。,CV/NPC,NPC_C_duanqunshangfan_03,4.739,,26
100461,长裙商贩的第1段cv,买不买都看看吧~万一碰到喜欢的了呢？,CV/NPC,NPC_C_changqunshangfan_01,4.406,,26
100462,长裙商贩的第2段cv,别看我嗓门不大，但是我卖的货物可一点儿也不比别人差!,CV/NPC,NPC_C_changqunshangfan_02,4.639,,26
100463,长裙商贩的第3段cv,城里出现了好多的竞争对手呀，这年头做点生意真不容易。,CV/NPC,NPC_C_changqunshangfan_03,4.216,,26
100471,炼金术士学徒的第1段cv,只要坚持下去，我也总有成功的一天！,CV/NPC,NPC_C_lianjinshushi_01,3.359,,26
100472,炼金术士学徒的第2段cv,炼金真是一门深奥又难懂的学问！,CV/NPC,NPC_C_lianjinshushi_02,2.611,,26
100473,炼金术士学徒的第3段cv,昨天不小心又把实验室弄爆炸了，还好没招来讨厌的骑士团。,CV/NPC,NPC_C_lianjinshushi_03,7.012,,26
100481,勇敢少年的第1段cv,我的梦想是成为一名强大的骑士，你的梦想是什么？,CV/NPC,NPC_C_shaonian_01,4.394,,26
100482,勇敢少年的第2段cv,我想快快长大，保护好自己的爸爸妈妈！,CV/NPC,NPC_C_shaonian_02,2.605,,26
100483,勇敢少年的第3段cv,这世界还有好多奥秘等待着我去解开，可我怎么还在上五年级！,CV/NPC,NPC_C_shaonian_03,6.244,,26
100491,老船长的第1段cv,哦呵呵呵呵~多么有朝气的人儿们哪~,CV/NPC,NPC_C_laochuanzhang_01,2.832,,26
100492,老船长的第2段cv,我这一生十之九八都是在海上度过的，真怀念从前的日子啊~,CV/NPC,NPC_C_laochuanzhang_02,4.54,,26
100493,老船长的第3段cv,老骥伏枥，志在千里。烈士暮年，壮心不已！,CV/NPC,NPC_C_laochuanzhang_03,3.3,,26
100501,艾尔帕兰卫兵配音1,欢迎来到艾尔帕兰！,CV/NPC,NPC_C_guardaierpalan_01,,,24
100502,艾尔帕兰卫兵配音2,艾尔帕兰是卢恩最北端的城市，有不少外国人往来。,CV/NPC,NPC_C_guardaierpalan_02,,,24
100503,艾尔帕兰卫兵配音3,最近城里的人多了起来，希望他们都能安分些。,CV/NPC,NPC_C_guardaierpalan_03,,,24
100511,克魔岛导游配音1,欢迎来到幻想之岛克魔岛！,CV/NPC,NPC_C_kemodaodaoyou_01,,,8
100512,克魔岛导游配音2,克魔岛上的风光不错吧？请放松自己，尽情享受吧！,CV/NPC,NPC_C_kemodaodaoyou_02,,,8
100521,朱诺卫兵配音1,欢迎来到贤者之都——朱诺！,CV/NPC,NPC_C_guardzhunuo_01,,,8
100522,朱诺卫兵配音2,城里有许多令人敬仰的贤者们，他们懂得可真多啊！,CV/NPC,NPC_C_guardzhunuo_02,,,8
100523,朱诺卫兵配音3,在天空中行走的感觉如何？哈哈，别怕，我会保护你的！,CV/NPC,NPC_C_guardzhunuo_03,,,8
100531,卡尔配音1,卢恩王国的使者，欢迎你来到修发兹共和国！,CV/NPC,NPC_C_kaer_01,,,8
100532,卡尔配音2,雷根贝勒总部有着远超朱诺的科技。,CV/NPC,NPC_C_kaer_02,,,8
100533,卡尔配音3,修发兹人民不相信神明，未来只掌握在我们自己手中。,CV/NPC,NPC_C_kaer_03,,,8
100541,菲罗德斯配音1,大总统阁下为了修发兹的局势操劳太多了。,CV/NPC,NPC_C_feiluodesi_01,,,8
100542,菲罗德斯配音2,朱诺是修发兹共和国的象征，但令朱诺城浮空的技术并未掌握在政府手中。,CV/NPC,NPC_C_feiluodesi_02,,,8
100543,菲罗德斯配音3,大总统阁下所作的一切都是为了修发兹的未来。,CV/NPC,NPC_C_feiluodesi_03,,,8
400011,巴雷蒙德的第1段默认cv,人一生所能接触的事物，对神而言，只是沧海一粟罢了。,CV/NPC,NPC_T_baleimengde_01,4.35,,26
400012,巴雷蒙德的第2段默认cv,数百年之前的那场佣兵之乱，让我对这世界的看法永远改变了。,CV/NPC,NPC_T_baleimengde_02,6.023,,26
400013,巴雷蒙德的第3段默认cv,多年以来，我记不清有多少我的信徒为信仰付出了生命，夜深人静的时候我还会回忆到他们。,CV/NPC,NPC_T_baleimengde_03,10.71,,26
400021,福金的第1段默认cv,万物终会消亡，唯有秩序永恒。,CV/NPC,NPC_T_fujin_01,3.967,,26
400022,福金的第2段默认cv,你听闻过时空调查团么，一个为了世界的稳定和秩序而存在的组织。,CV/NPC,NPC_T_fujin_02,5.736,,26
400023,福金的第3段默认cv,秩序之道，就是永恒之道。无序，则会迎来毁灭和混沌。,CV/NPC,NPC_T_fujin_03,5.984,,26
400031,露希尔的第1段默认cv,我们都是神的弃子，因为，诸神已死。,CV/NPC,NPC_T_luxier_01,6.891,,26
400041,露克希的第1段默认cv,你有没有觉得，我们被一股无形的力量左右，有时身不由己？,CV/NPC,NPC_T_lukexi_01,5.057,,26
400042,露克希的第2段默认cv,我身负着重要的使命，对此我会守口如瓶的。,CV/NPC,NPC_T_lukexi_02,4.41,,26
400043,露克希的第3段默认cv,卢恩王国即将面临一场严峻的挑战，而王国的上层却依旧歌舞升平……,CV/NPC,NPC_T_lukexi_03,7.526,,26
400051,宝妮的第1段默认cv,高超的魔法能封印恶魔，但对付不了险恶的人心,CV/NPC,NPC_T_baoni_01,6,,26
400052,宝妮的第2段默认cv,远离尘嚣，我想远离那些让我和卡努会陷入险境的危险因素。,CV/NPC,NPC_T_baoni_02,4.231,,26
400053,宝妮的第3段默认cv,在宫廷做了太多年的驱魔师，或许离开那儿反而是我真正希望的。,CV/NPC,NPC_T_baoni_03,8.449,,26
400061,拉乐西斯的第1段默认cv,这烦闷的日子，什么时候是个头？,CV/NPC,NPC_T_lalexisi_01,4.624,,26
400062,拉乐西斯的第2段默认cv,上个月我喝光了梦罗克酒吧全部的精酿，可为何还是没能忘掉过去的事情……,CV/NPC,NPC_T_lalexisi_02,8.704,,26
400063,拉乐西斯的第3段默认cv,班波这家伙，把我安排在这穷乡僻壤……也好，我乐得逍遥自在。,CV/NPC,NPC_T_lalexisi_03,10.476,,26
400071,班波的第1段默认cv,邪恶为愚昧，愚昧为狂妄。,CV/NPC,NPC_T_banbo_01,5.6,,26
400072,班波的第2段默认cv,时至今日，七王室还没能意识到隐藏在过往种种异象背后的真正危险。,CV/NPC,NPC_T_banbo_02,7.655,,26
400073,班波的第3段默认cv,骑士团和圣歌教会是王国的两大庭柱，如今却为了权力在尔虞我诈……唉。,CV/NPC,NPC_T_banbo_03,9.549,,26
400081,霖的第1段默认cv,刺客的行事之道就是——没有行事之道！,CV/NPC,NPC_T_lin_01,2.9,,26
400082,霖的第2段默认cv,我们是梦罗克地下世界的执法者，想要在这儿混下去，你可得弄清门路。,CV/NPC,NPC_T_lin_02,6.059,,26
400083,霖的第3段默认cv,嘿，有要摆平的麻烦吗？不妨来找我们刺客公会吧。,CV/NPC,NPC_T_lin_03,5.35,,26
400091,基德的第1段默认cv,选择了刺客之道，就要有化身暗影的觉悟。,CV/NPC,NPC_T_jide_01,5.008,,26
400092,基德的第2段默认cv,要不是因为有刺客公会，梦罗克这种地方怎么会有人来拜访。,CV/NPC,NPC_T_jide_02,4.455,,26
400101,古娜的第1段默认cv,冒险者，凡事要量力而行，别逞强。,CV/NPC,NPC_T_guna_01,6.18,,26
400102,古娜的第2段默认cv,骑士团是维护王国稳定的中坚力量，你有兴趣加入吗？,CV/NPC,NPC_T_guna_02,4.513,,26
400103,古娜的第3段默认cv,一个人的性格是由她从小到大的成长环境塑造的，我对此深信不疑。,CV/NPC,NPC_T_guna_03,4.493,,26
400111,白女巫的第1段默认cv,可悲的卢恩人，你们信奉的神是个伪君子……,CV/NPC,NPC_T_bainvwu_01,4.4,,26
400112,白女巫的第2段默认cv,一群道貌岸然的家伙，你们根本不曾接触过这个世界的真相。,CV/NPC,NPC_T_bainvwu_02,5.607,,26
400121,黑衣修士的第1段默认cv,混沌，是这世界最好的姿态。,CV/NPC,NPC_T_heiyixiushi_01,4.63,,26
400122,黑衣修士的第2段默认cv,卢恩人总是自大而又顽固，就如你们所信奉的神一样。,CV/NPC,NPC_T_heiyixiushi_02,6.817,,26
400123,黑衣修士的第3段默认cv,在这个世界迎来最终的净化之前，我还不得不和那些蠢货打交道。,CV/NPC,NPC_T_heiyixiushi_03,5.827,,26
