ID,CardLevel,CardQuality,LevelUpConsume,LevelUpAddAttr,CardRestoreConsume,CardBorder,CardEffect,CanUsePosition
19,18,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
20,19,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
21,20,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
22,21,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
23,22,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
24,23,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
25,24,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
26,25,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
27,26,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
28,27,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
29,28,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
30,29,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
31,30,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,1
32,0,2,0,0,0,UI_CardFrame_Big_bluecard_01.png,,1
33,1,2,30000050=30,0=425=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,1
34,2,2,30000050=30,0=425=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,1
35,3,2,30000050=30,0=425=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,1
36,4,2,30000050=30,0=425=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,1
37,5,2,30000050=30,0=425=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,1
38,6,2,30000050=90,0=425=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,1
39,7,2,30000050=90,0=425=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,1
40,8,2,30000050=90,0=425=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,1
41,9,2,30000050=90,0=425=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,1
42,10,2,30000050=90,0=425=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,1
43,11,2,30000050=180,0=425=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
44,12,2,30000050=180,0=425=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
45,13,2,30000050=180,0=425=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
46,14,2,30000050=180,0=425=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
47,15,2,30000050=180,0=425=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
48,16,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
49,17,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
50,18,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
51,19,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
52,20,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
53,21,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
54,22,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
55,23,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
56,24,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
57,25,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
58,26,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
59,27,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
60,28,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
61,29,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
62,30,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,1
63,0,3,0,0,0,UI_CardFrame_Big_purplecard_01.png,,1
64,1,3,30000050=80,0=425=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,1
65,2,3,30000050=80,0=425=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,1
66,3,3,30000050=80,0=425=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,1
67,4,3,30000050=80,0=425=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,1
68,5,3,30000050=80,0=425=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,1
69,6,3,30000050=200,0=425=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,1
70,7,3,30000050=200,0=425=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,1
71,8,3,30000050=200,0=425=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,1
72,9,3,30000050=200,0=425=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,1
73,10,3,30000050=200,0=425=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,1
74,11,3,30000050=400,0=425=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
75,12,3,30000050=400,0=425=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
76,13,3,30000050=400,0=425=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
77,14,3,30000050=400,0=425=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
78,15,3,30000050=400,0=425=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
79,16,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
80,17,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
81,18,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
82,19,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
83,20,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
84,21,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
85,22,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
86,23,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
87,24,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
88,25,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
89,26,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
90,27,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
91,28,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
92,29,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
93,30,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,1
94,0,4,0,0,0,UI_CardFrame_Big_orangecard_01.png,,1
95,1,4,30000050=80,0=425=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,1
96,2,4,30000050=80,0=425=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,1
97,3,4,30000050=80,0=425=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,1
98,4,4,30000050=80,0=425=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,1
99,5,4,30000050=80,0=425=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,1
100,6,4,30000050=200,0=425=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,1
101,7,4,30000050=200,0=425=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,1
102,8,4,30000050=200,0=425=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,1
103,9,4,30000050=200,0=425=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,1
104,10,4,30000050=200,0=425=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,1
105,11,4,30000050=400,0=425=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
106,12,4,30000050=400,0=425=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
107,13,4,30000050=400,0=425=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
108,14,4,30000050=400,0=425=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
109,15,4,30000050=400,0=425=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
110,16,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
111,17,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
112,18,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
113,19,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
114,20,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
115,21,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
116,22,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
117,23,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
118,24,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
119,25,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
120,26,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
121,27,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
122,28,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
123,29,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
124,30,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,1
125,0,1,0,0,0,UI_CardFrame_Big_greencard_01.png,,2
126,1,1,30000050=10,0=424=5,101=100000,UI_CardFrame_Big_greencard_01.png,,2
127,2,1,30000050=10,0=424=5,101=100000,UI_CardFrame_Big_greencard_01.png,,2
128,3,1,30000050=10,0=424=5,101=100000,UI_CardFrame_Big_greencard_01.png,,2
129,4,1,30000050=10,0=424=5,101=100000,UI_CardFrame_Big_greencard_01.png,,2
130,5,1,30000050=10,0=424=5,101=100000,UI_CardFrame_Big_greencard_01.png,,2
131,6,1,30000050=20,0=424=10,101=100000,UI_CardFrame_Big_greencard_02.png,,2
132,7,1,30000050=20,0=424=10,101=100000,UI_CardFrame_Big_greencard_02.png,,2
133,8,1,30000050=20,0=424=10,101=100000,UI_CardFrame_Big_greencard_02.png,,2
134,9,1,30000050=20,0=424=10,101=100000,UI_CardFrame_Big_greencard_02.png,,2
135,10,1,30000050=20,0=424=10,101=100000,UI_CardFrame_Big_greencard_02.png,,2
136,11,1,30000050=40,0=424=15,101=100000,UI_CardFrame_Big_greencard_03.png,,2
137,12,1,30000050=40,0=424=15,101=100000,UI_CardFrame_Big_greencard_03.png,,2
138,13,1,30000050=40,0=424=15,101=100000,UI_CardFrame_Big_greencard_03.png,,2
139,14,1,30000050=40,0=424=15,101=100000,UI_CardFrame_Big_greencard_03.png,,2
140,15,1,30000050=40,0=424=15,101=100000,UI_CardFrame_Big_greencard_03.png,,2
141,16,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
142,17,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
143,18,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
144,19,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
145,20,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
146,21,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
147,22,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
148,23,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
149,24,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
150,25,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
151,26,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
152,27,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
153,28,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
154,29,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
155,30,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,2
156,0,2,0,0,0,UI_CardFrame_Big_bluecard_01.png,,2
157,1,2,30000050=30,0=424=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,2
158,2,2,30000050=30,0=424=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,2
159,3,2,30000050=30,0=424=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,2
160,4,2,30000050=30,0=424=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,2
161,5,2,30000050=30,0=424=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,2
162,6,2,30000050=90,0=424=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,2
163,7,2,30000050=90,0=424=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,2
164,8,2,30000050=90,0=424=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,2
165,9,2,30000050=90,0=424=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,2
166,10,2,30000050=90,0=424=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,2
167,11,2,30000050=180,0=424=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
168,12,2,30000050=180,0=424=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
169,13,2,30000050=180,0=424=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
170,14,2,30000050=180,0=424=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
171,15,2,30000050=180,0=424=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
172,16,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
173,17,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
174,18,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
175,19,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
176,20,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
177,21,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
178,22,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
179,23,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
180,24,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
181,25,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
182,26,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
183,27,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
184,28,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
185,29,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
186,30,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,2
187,0,3,0,0,0,UI_CardFrame_Big_purplecard_01.png,,2
188,1,3,30000050=80,0=424=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,2
189,2,3,30000050=80,0=424=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,2
190,3,3,30000050=80,0=424=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,2
191,4,3,30000050=80,0=424=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,2
192,5,3,30000050=80,0=424=18,101=500000,UI_CardFrame_Big_purplecard_01.png,,2
193,6,3,30000050=200,0=424=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,2
194,7,3,30000050=200,0=424=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,2
195,8,3,30000050=200,0=424=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,2
196,9,3,30000050=200,0=424=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,2
197,10,3,30000050=200,0=424=26,101=500000,UI_CardFrame_Big_purplecard_02.png,,2
198,11,3,30000050=400,0=424=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
199,12,3,30000050=400,0=424=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
200,13,3,30000050=400,0=424=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
201,14,3,30000050=400,0=424=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
202,15,3,30000050=400,0=424=36,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
203,16,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
204,17,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
205,18,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
206,19,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
207,20,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
208,21,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
209,22,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
210,23,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
211,24,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
212,25,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
213,26,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
214,27,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
215,28,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
216,29,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
217,30,3,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_purplecard_03.png,,2
218,0,4,0,0,0,UI_CardFrame_Big_orangecard_01.png,,2
219,1,4,30000050=80,0=424=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,2
220,2,4,30000050=80,0=424=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,2
221,3,4,30000050=80,0=424=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,2
222,4,4,30000050=80,0=424=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,2
223,5,4,30000050=80,0=424=22,101=500000,UI_CardFrame_Big_orangecard_01.png,,2
224,6,4,30000050=200,0=424=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,2
225,7,4,30000050=200,0=424=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,2
226,8,4,30000050=200,0=424=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,2
227,9,4,30000050=200,0=424=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,2
228,10,4,30000050=200,0=424=32,101=500000,UI_CardFrame_Big_orangecard_02.png,,2
229,11,4,30000050=400,0=424=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
230,12,4,30000050=400,0=424=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
231,13,4,30000050=400,0=424=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
232,14,4,30000050=400,0=424=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
233,15,4,30000050=400,0=424=46,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
234,16,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
235,17,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
236,18,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
237,19,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
238,20,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
239,21,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
240,22,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
241,23,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
242,24,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
243,25,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
244,26,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
245,27,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
246,28,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
247,29,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
248,30,4,30000050=400,0=14=2,101=500000,UI_CardFrame_Big_orangecard_03.png,,2
249,0,1,0,0,0,UI_CardFrame_Big_greencard_01.png,,3
250,1,1,30000050=10,0=48=5,101=100000,UI_CardFrame_Big_greencard_01.png,,3
251,2,1,30000050=10,0=48=5,101=100000,UI_CardFrame_Big_greencard_01.png,,3
252,3,1,30000050=10,0=48=5,101=100000,UI_CardFrame_Big_greencard_01.png,,3
253,4,1,30000050=10,0=48=5,101=100000,UI_CardFrame_Big_greencard_01.png,,3
254,5,1,30000050=10,0=48=5,101=100000,UI_CardFrame_Big_greencard_01.png,,3
255,6,1,30000050=20,0=48=10,101=100000,UI_CardFrame_Big_greencard_02.png,,3
256,7,1,30000050=20,0=48=10,101=100000,UI_CardFrame_Big_greencard_02.png,,3
257,8,1,30000050=20,0=48=10,101=100000,UI_CardFrame_Big_greencard_02.png,,3
258,9,1,30000050=20,0=48=10,101=100000,UI_CardFrame_Big_greencard_02.png,,3
259,10,1,30000050=20,0=48=10,101=100000,UI_CardFrame_Big_greencard_02.png,,3
260,11,1,30000050=40,0=48=15,101=100000,UI_CardFrame_Big_greencard_03.png,,3
261,12,1,30000050=40,0=48=15,101=100000,UI_CardFrame_Big_greencard_03.png,,3
262,13,1,30000050=40,0=48=15,101=100000,UI_CardFrame_Big_greencard_03.png,,3
263,14,1,30000050=40,0=48=15,101=100000,UI_CardFrame_Big_greencard_03.png,,3
264,15,1,30000050=40,0=48=15,101=100000,UI_CardFrame_Big_greencard_03.png,,3
265,16,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
266,17,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
267,18,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
268,19,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
269,20,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
270,21,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
271,22,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
272,23,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
273,24,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
274,25,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
275,26,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
276,27,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
277,28,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
278,29,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
279,30,1,30000050=40,0=14=2,101=100000,UI_CardFrame_Big_greencard_03.png,,3
280,0,2,0,0,0,UI_CardFrame_Big_bluecard_01.png,,3
281,1,2,30000050=30,0=48=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,3
282,2,2,30000050=30,0=48=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,3
283,3,2,30000050=30,0=48=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,3
284,4,2,30000050=30,0=48=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,3
285,5,2,30000050=30,0=48=10,101=200000,UI_CardFrame_Big_bluecard_01.png,,3
286,6,2,30000050=90,0=48=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,3
287,7,2,30000050=90,0=48=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,3
288,8,2,30000050=90,0=48=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,3
289,9,2,30000050=90,0=48=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,3
290,10,2,30000050=90,0=48=16,101=200000,UI_CardFrame_Big_bluecard_02.png,,3
291,11,2,30000050=180,0=48=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
292,12,2,30000050=180,0=48=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
293,13,2,30000050=180,0=48=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
294,14,2,30000050=180,0=48=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
295,15,2,30000050=180,0=48=24,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
296,16,2,30000050=180,0=14=2,101=200000,UI_CardFrame_Big_bluecard_03.png,,3
