ID,Name,,SortID,GuildActivity,Tips,MainSonId,ActivityTimeShow
14023,许愿小商店,3,3021,,通过雪花之愿抽奖活动界面购买,,
30003,来堆雪波利吧,3,3022,,通过2021年雪花节——来堆雪波利吧活动获得,,
12012,海姆竞速兑换商店,1,1067,,,,
14024,新春星愿,3,3023,,通过2021新年抽奖活动——新春星愿获得,,
14015,米莉的好运厨房,3,3024,,通过新年活动——米莉的好运厨房获得,,
3222,米莉的好运厨房,3,1068,,,,
1026,新春兑换商店,1,1069,,,,
17001,神话商店,1,1070,,,,
3500,神话兑换,1,1071,,,,
12101,时空模拟战,3,1072,,通过参与时空模拟战玩法获得,,
12102,时空模拟战商店,1,1073,,,,
12103,时空模拟战黑市,1,1074,,,,
12106,时空模拟战道具兑换,1,1075,,,,
12120,勇者徽章商店,1,1076,,,,
14026,限时抽奖活动,3,3025,,通过限时抽奖活动获得,,
14028,限时抽奖活动,3,3026,,通过限时抽奖活动获得,,
14031,限时抽奖活动,3,3027,,通过限时抽奖活动获得,,
14033,限时抽奖活动,3,3028,,通过限时抽奖活动获得,,
3302,时效紫卡兑换,1,1075,,,,
3303,紫色卡片兑换,1,1076,,,,
10836,异化金属兑换,1,1077,,,,
10835,齿轮拆解,1,1078,,,,
90081,喷泉舞蹈会,3,3100,,,,
90082,物种天然,3,3101,,,,
90083,白羽团历练,3,3102,,,,
90084,收集道具,3,3103,,,,
90085,魔物试炼,3,3104,,,,
90086,沿路之景,3,3105,,,,
90087,高级魔物研究,3,3106,,,,
90088,贸易传说手记,3,3107,,,,
19000,小恶魔的献礼,3,3108,,通过【小恶魔的献礼】活动获得（道具过期后只能回收）,,
19921,祈愿积分兑换,1,3109,,通过祈愿积分兑换获得,,
19922,奖牌商店,1,3110,,通过奖牌兑换获得,,
11880,掷骰子活动,2,3111,,,,
11881,掷骰子活动,2,3112,,通过【掷骰子活动】获得,,
11882,集字兑换,3,3108,,,,
16200,预注册活动,1,3113,,通过【预注册活动】获得,,
199,祈愿,1,3114,,通过【祈愿】抽奖获得,,
18001,节日活动,1,3115,,限时运营活动获得,,
11220,萌新礼包,3,11220,,通过【萌新礼包】获得,,
20000,宠物蛋,3,3108,,开启宠物蛋获得,,
15303,霍德尔梦境,3,3110,,,,
5170,心之道场,2,3116,,,,
5175,道馆商店,3,3111,,,,
10838,喵果返利,2,3116,,,,
19920,祈愿积分兑换,1,3117,,通过祈愿积分兑换获得,,
12108,时空决胜赛,3,3118,,通过参与时空决胜赛玩法获得,,
12109,超时空争霸赛,3,3118,,通过参与超时空争霸赛玩法获得,,
20012,宠物杂货店,1,3118,,,,
7012,周末宴会,2,1042,1,,,
15101,公会匹配赛,2,1044,1,,,
20014,宠物之家,1,3118,,,,
15301,霍德尔梦境,2,3118,,,,
10833,器灵之心商店,1,3200,,,,
17002,时装收藏册,1,3201,,通过时装收藏册获得,,
4012,雪仗原激战,2,3203,,通过雪仗原激战活动获得,,
4013,雪仗原激战排行榜,2,3203,,通过雪仗原激战排行榜获得,,
17005,水晶兑换,1,3204,,通过水晶兑换获得,,
