ID,ResolveAmount,LocalizationArea
113319050,2034008=15,
113319070,2034010=20,
113319080,2034011=30,
113320050,2034008=20,
113320070,2034010=30,
113320080,2034011=45,
113321050,2034008=15,
113321070,2034010=20,
113321080,2034011=30,
113322050,2034008=15,
113322070,2034010=20,
113322080,2034011=30,
73323080,2034011=45,
83324080,2034011=45,
113325080,2034011=45,
73326080,2034011=45,
83327080,2034011=45,
113328080,2034011=45,
73329080,2034011=45,
113330080,2034011=45,
83331080,2034011=45,
73332080,2034011=45,
83333080,2034011=45,
113334080,2034011=45,
73335080,2034011=45,
83336080,2034011=45,
113337080,2034011=45,
33338050,2034008=15,
33338070,2034010=20,
33338080,2034011=30,
33339050,2034008=15,
33339070,2034010=20,
33339080,2034011=30,
33340050,2034008=15,
33340070,2034010=20,
33340080,2034011=30,
33341050,2034008=15,
33341070,2034010=20,
33341080,2034011=30,
33342050,2034008=15,
33342070,2034010=20,
33342080,2034011=30,
33343080,2034011=30,
33344050,2034008=15,
33344070,2034010=20,
33344080,2034011=30,
33345050,2034008=15,
33345070,2034010=20,
33345080,2034011=30,
33346050,2034008=15,
33346070,2034010=20,
33346080,2034011=30,
33347080,2034011=30,
43488050,2034008=50,
43488070,2034010=65,
43588080,2034011=90,
43489050,2034008=50,
43489070,2034010=65,
43589080,2034011=90,
53490070,2034010=65,
53590080,2034011=90,
63491050,2034008=50,
63491070,2034010=65,
63591080,2034011=90,
123335090,2034012=90,
123336090,2034012=90,
123337090,2034012=90,
123338090,2034012=135,
123339090,2034012=135,
133340090,2034012=135,
133341090,2034012=135,
133344090,2034012=135,
43345090,2034012=90,
43346090,2034012=90,
43347090,2034012=90,
43348090,2034012=90,
43351090,2034012=135,
43352090,2034012=90,
43354090,2034012=90,
43355090,2034012=135,
43357090,2034012=135,
93359090,2034012=135,
93360090,2034012=135,
93361090,2034012=135,
93362090,2034012=135,
23363090,2034012=90,
23365090,2034012=90,
23367090,2034012=90,
23368090,2034012=90,
23369090,2034012=90,
13370090,2034012=90,
13371090,2034012=90,
13372090,2034012=90,
13373090,2034012=90,
13374090,2034012=90,
63376090,2034012=135,
63378090,2034012=135,
63379090,2034012=135,
63381090,2034012=135,
63382090,2034012=135,
53383090,2034012=135,
53385090,2034012=135,
53386090,2034012=135,
53387090,2034012=90,
73323090,2034012=65,
83324090,2034012=65,
113325090,2034012=65,
73326090,2034012=65,
83327090,2034012=65,
113328090,2034012=65,
73329090,2034012=65,
113330090,2034012=65,
83331090,2034012=65,
73332090,2034012=65,
83333090,2034012=65,
113334090,2034012=65,
73335090,2034012=65,
83336090,2034012=65,
113337090,2034012=65,
33338090,2034012=45,
33339090,2034012=45,
33340090,2034012=45,
33341090,2034012=45,
33342090,2034012=45,
33343090,2034012=45,
33344090,2034012=45,
33345090,2034012=45,
33346090,2034012=45,
33347090,2034012=45,
43488090,2034012=90,
43489090,2034012=90,
53490090,2034012=135,
63491090,2034012=135,
123493090,2034012=135,
123494090,2034012=135,
133495090,2034012=135,
43496090,2034012=135,
43497090,2034012=90,
143498050,2034008=35,
143498070,2034010=45,
143498080,2034011=60,
143498090,2034012=90,
143499050,2034008=35,
143499070,2034010=45,
143499080,2034011=60,
143499090,2034012=90,
143500050,2034008=35,
143500070,2034010=45,
143500080,2034011=60,
143501070,2034010=45,
143501080,2034011=60,
143501090,2034012=90,
143502070,2034010=45,
143502080,2034011=60,
143502090,2034012=90,
143503080,2034011=60,
143503090,2034012=90,
143504090,2034012=90,
43505090,2034012=90,
43506090,2034012=135,
43507090,2034012=135,
73408090,2034012=65,
83409090,2034012=65,
113410090,2034012=65,
33414050,2034008=15,
33414070,2034010=20,
33414080,2034011=30,
33414090,2034012=45,
33415050,2034008=15,
33415070,2034010=20,
33415080,2034011=30,
33415090,2034012=45,
33416050,2034008=15,
33416070,2034010=20,
33416080,2034011=30,
33416090,2034012=45,
33417090,2034012=45,
133518050,2034008=35,
133518070,2034010=45,
133518080,2034011=60,
133518090,2034012=90,
133519050,2034008=50,
133519070,2034010=65,
133519080,2034011=90,
133519090,2034012=135,
133520050,2034008=35,
133520070,2034010=45,
133520080,2034011=60,
133520090,2034012=90,
133521070,2034010=45,
133521080,2034011=60,
133521090,2034012=90,
133522080,2034011=90,
133522090,2034012=135,
133523090,2034012=90,
123335100,2034013=135,
123336100,2034013=135,
123337100,2034013=135,
123338100,2034013=200,
123339100,2034013=200,
133340100,2034013=200,
133341100,2034013=200,
133344100,2034013=200,
43345100,2034013=135,
43346100,2034013=135,
43347100,2034013=135,
43348100,2034013=135,
43351100,2034013=200,
43352100,2034013=135,
43354100,2034013=135,
43355100,2034013=200,
43357100,2034013=200,
93359100,2034013=200,
93360100,2034013=200,
93361100,2034013=200,
93362100,2034013=200,
23363100,2034013=135,
23365100,2034013=135,
23367100,2034013=135,
23368100,2034013=135,
23369100,2034013=135,
13370100,2034013=135,
13371100,2034013=135,
13372100,2034013=135,
13373100,2034013=135,
13374100,2034013=135,
63376100,2034013=200,
63378100,2034013=200,
63379100,2034013=200,
63381100,2034013=200,
63382100,2034013=200,
53383100,2034013=200,
53385100,2034013=200,
53386100,2034013=200,
53387100,2034013=135,
73323100,2034013=95,
83324100,2034013=95,
113325100,2034013=95,
73326100,2034013=95,
83327100,2034013=95,
113328100,2034013=95,
73329100,2034013=95,
113330100,2034013=95,
83331100,2034013=95,
73332100,2034013=95,
83333100,2034013=95,
113334100,2034013=95,
73335100,2034013=95,
83336100,2034013=95,
113337100,2034013=95,
33338100,2034013=65,
33339100,2034013=65,
33340100,2034013=65,
33341100,2034013=65,
33342100,2034013=65,
33343100,2034013=65,
33344100,2034013=65,
33345100,2034013=65,
33346100,2034013=65,
33347100,2034013=65,
43488100,2034013=200,
43489100,2034013=200,
53490100,2034013=200,
63491100,2034013=200,
123493100,2034013=200,
123494100,2034013=200,
133495100,2034013=200,
43496100,2034013=200,
43497100,2034013=135,
143498100,2034013=200,
143499100,2034013=200,
143501100,2034013=200,
143502100,2034013=200,
143503100,2034013=200,
143504100,2034013=200,
53505100,2034013=135,
93506100,2034013=200,
63507100,2034013=200,
73408100,2034013=95,
83409100,2034013=95,
113410100,2034013=95,
103511100,2034013=65,
103512100,2034013=65,
33414100,2034013=135,
33415100,2034013=135,
33416100,2034013=135,
33417100,2034013=135,
133518100,2034013=135,
133519100,2034013=200,
133520100,2034013=135,
133521100,2034013=135,
133522100,2034013=200,
133523100,2034013=135,
133534100,2034013=200,
13535100,2034013=135,
43536100,2034013=200,
63537100,2034013=200,
53538100,2034013=200,
23539100,2034013=135,
143540100,2034013=200,
13541050,2034008=35,
13541070,2034010=45,
13541080,2034011=60,
13541090,2034012=90,
13541100,2034013=135,
13542050,2034008=35,
13542070,2034010=45,
13542080,2034011=60,
13542090,2034012=90,
13542100,2034013=135,
13543070,2034010=45,
13543080,2034011=60,
13543090,2034012=90,
13543100,2034013=135,
13544080,2034011=60,
13544090,2034012=90,
13544100,2034013=135,
13545080,2034011=60,
13545090,2034012=90,
13545100,2034013=135,
13546090,2034012=90,
13546100,2034013=135,
163559080,2034011=90,
163559090,2034012=135,
163559100,2034013=200,
163560050,2034008=50,
163560070,2034010=65,
163560080,2034011=90,
163560090,2034012=135,
163560100,2034013=200,
163561070,2034010=65,
163561080,2034011=90,
163561090,2034012=135,
163561100,2034013=200,
163562050,2034008=50,
163562070,2034010=65,
163562080,2034011=90,
163562090,2034012=135,
163562100,2034013=200,
163563070,2034010=65,
163563080,2034011=90,
163563090,2034012=135,
163563100,2034013=200,
153564080,2034011=90,
153564090,2034012=135,
153564100,2034013=200,
153565050,2034008=50,
153565070,2034010=65,
153565080,2034011=90,
153565090,2034012=135,
153565100,2034013=200,
153566070,2034010=65,
153566080,2034011=90,
153566090,2034012=135,
153566100,2034013=200,
153567050,2034008=50,
153567070,2034010=65,
153567080,2034011=90,
153567090,2034012=135,
153567100,2034013=200,
153568070,2034010=65,
153568080,2034011=90,
153568090,2034012=135,
153568100,2034013=200,
123573110,2034014=160,
123574110,2034014=160,
123575110,2034014=160,
123576110,2034014=240,
123577110,2034014=240,
133578110,2034014=240,
153726050,2034008=35,
153726070,2034010=45,
153726080,2034011=60,
153726090,2034012=90,
153726100,2034013=135,
153726110,2034014=160,
153727050,2034008=35,
153727070,2034010=45,
153727080,2034011=60,
153727090,2034012=90,
153727100,2034013=135,
153727110,2034014=160,
153730070,2034010=45,
153730080,2034011=60,
153730090,2034012=90,
153730100,2034013=135,
153730110,2034014=160,
153731070,2034010=45,
153731080,2034011=60,
153731090,2034012=90,
153731100,2034013=135,
153731110,2034014=160,
153732070,2034010=45,
153732080,2034011=60,
153732090,2034012=90,
153732100,2034013=135,
153732110,2034014=160,
153733070,2034010=45,
153733080,2034011=60,
153733090,2034012=90,
153733100,2034013=135,
153733110,2034014=160,
153734080,2034011=60,
153734090,2034012=90,
153734100,2034013=135,
153734110,2034014=160,
153735050,2034008=35,
153735070,2034010=45,
153735080,2034011=60,
153735090,2034012=90,
153735100,2034013=135,
153735110,2034014=160,
43579110,2034014=160,
43580110,2034014=160,
43581110,2034014=160,
43582110,2034014=160,
43583110,2034014=160,
43584110,2034014=240,
93585110,2034014=240,
93586110,2034014=240,
93587110,2034014=240,
23588110,2034014=160,
23589110,2034014=160,
23590110,2034014=160,
23591110,2034014=160,
13592110,2034014=160,
13593110,2034014=160,
13594110,2034014=160,
13595110,2034014=160,
63596110,2034014=240,
63597110,2034014=240,
63598110,2034014=240,
53599110,2034014=240,
53600110,2034014=240,
53601110,2034014=160,
43616110,2034014=240,
43617110,2034014=240,
53618110,2034014=240,
63619110,2034014=240,
123620110,2034014=240,
133621110,2034014=240,
43622110,2034014=240,
43623110,2034014=160,
143624110,2034014=240,
143625110,2034014=240,
143626110,2034014=240,
143627110,2034014=240,
53628110,2034014=160,
93629110,2034014=240,
63630110,2034014=240,
133632110,2034014=160,
133633110,2034014=240,
133634110,2034014=160,
133635110,2034014=160,
133636110,2034014=240,
133637110,2034014=160,
133638110,2034014=240,
13639110,2034014=160,
43640110,2034014=240,
63641110,2034014=240,
53642110,2034014=240,
23643110,2034014=160,
143644110,2034014=240,
13645110,2034014=160,
13646110,2034014=160,
13647110,2034014=160,
13648110,2034014=160,
13649110,2034014=160,
13650110,2034014=160,
163651110,2034014=240,
163652110,2034014=240,
163653110,2034014=240,
163654110,2034014=240,
153655110,2034014=240,
153656110,2034014=240,
153657110,2034014=240,
153658110,2034014=240,
73563110,2034014=120,
83564110,2034014=120,
113565110,2034014=120,
73566110,2034014=120,
83567110,2034014=120,
113568110,2034014=120,
73569110,2034014=120,
113570110,2034014=120,
83571110,2034014=120,
73572110,2034014=120,
83573110,2034014=120,
113574110,2034014=120,
73575110,2034014=120,
83576110,2034014=120,
113577110,2034014=120,
33578110,2034014=80,
33579110,2034014=80,
33580110,2034014=80,
33581110,2034014=80,
33582110,2034014=80,
33583110,2034014=80,
33584110,2034014=80,
33585110,2034014=80,
33586110,2034014=80,
73599110,2034014=120,
83600110,2034014=120,
113601110,2034014=120,
33602110,2034014=80,
33603110,2034014=80,
33604110,2034014=80,
33605110,2034014=80,
123706110,2034014=160,
123707110,2034014=240,
133708110,2034014=160,
133709110,2034014=240,
43710110,2034014=240,
43711110,2034014=160,
13712110,2034014=160,
23713110,2034014=160,
93714110,2034014=240,
63715110,2034014=240,
53716110,2034014=240,
53717110,2034014=160,
143718110,2034014=240,
163719110,2034014=240,
153720110,2034014=240,
83621110,2034014=120,
73622110,2034014=120,
113623110,2034014=120,
33624110,2034014=80,
1070187,2035021=10,26
1070188,2035021=1000,18
1070191,2035021=10,26
1080048,2035021=10,26
1080049,2035021=10,26
1070221,2035021=10,26
1080052,2035021=10,26
1080079,2035021=10,26
1070223,2035021=10,26
1070192,2035021=10,26
1070189,2035021=10,26
1070250,2035021=100,26
1070169,2035021=100,18
1070176,2035021=100,18
1070177,2035021=100,18
1070251,2035021=100,26
1070253,2035021=100,18
1080038,2035021=100,18
1080078,2035021=100,18
1080086,2035021=100,18
1080099,2035021=1000,18
1090027,2035021=100,26
1020003,2035021=1000,18
1010053,2035021=1000,18
1010061,2035021=1000,18
1070193,2035021=1000,18
1021046,2035021=1000,18
1021041,2035021=1000,18
1021044,2035021=1000,18
1010074,2035021=1000,18
1010033,2035021=1000,18
1020031,2035021=1000,18
1020030,2035021=1000,18
1010068,2035021=1000,18
1090064,2035021=1000,18
1021047,2035021=1000,18
1010005,2035021=1000,18
1010059,2035021=1000,18
1100021,2035021=1000,18
1100024,2035021=1000,18
1010054,2035021=1000,18
1010062,2035021=1000,18
1010075,2035021=1000,18
1010034,2035021=1000,18
1010069,2035021=1000,18
1010006,2035021=1000,18
1010060,2035021=1000,18
1100004,2035021=1000,18
1080037,2035021=1000,18
1070111,2035021=1000,18
1100002,2035021=1000,18
1020024,2035021=1000,18
1010020,2035021=1000,18
1010019,2035021=1000,18
1010035,2040023=600,18
1010036,2040023=600,18
1070178,2040023=150,18
1010088,2035021=1000,18
1070296,2035021=1000,18
1070297,2035021=1000,18
1090088,2035021=1000,18
1010089,2035021=1000,18
1070186,2035021=1000,18
1100010,2035021=1000,18
1100028,2035021=1000,18
1100018,2035021=1000,18
1100027,2035021=1000,18
1080002,2035021=100,18
1070022,2035021=100,18
1070099,2035021=100,18
1070276,2035021=100,18
1090071,2035021=100,18
1070300,2035021=1000,18
1070301,2035021=1000,18
1100044,2035021=1000,18
1010091,2035021=1000,18
1010092,2035021=1000,18
1010093,2035021=1000,18
1010094,2035021=1000,18
1021054,2035021=1000,18
1070092,2035021=100,18
1070088,2035021=100,18
1070098,2035021=100,18
1090050,2035021=1000,18
1090089,2035021=1000,18
1100014,2035021=1000,18
1021051,2035021=1000,18
1080035,2035021=100,18
1080032,2035021=100,18
1070089,2035021=100,18
1080084,2035021=1000,18
1100023,2035021=1000,18
1070195,2035021=1000,18
1070308,2035021=1000,18
1090092,2035021=1000,18
1100050,2035021=1000,18
1010101,2035021=1000,18
1010102,2035021=1000,18
1070310,2035021=1000,18
1100051,2035021=1000,18
1100052,2035021=1000,18
1010103,2035021=1000,18
1010104,2035021=1000,18
1100015,2035021=1000,18
1070115,2035021=1000,18
1090062,2035021=1000,18
1021057,2035021=1000,18
1070307,2035021=1000,18
1100049,2035021=1000,18
1010099,2035021=1000,18
1010100,2035021=1000,18
1070316,2035021=1000,18
1100058,2035021=1000,18
1080105,2035021=1000,18
1021056,2035021=1000,18
1070313,2035021=1000,18
1100055,2035021=1000,18
1010107,2035021=1000,18
1010108,2035021=1000,18
1080104,2035021=1000,18
1070319,2035021=1000,2
1100061,2035021=1000,2
1100062,2035021=1000,2
1010115,2035021=1000,2
1010116,2035021=1000,2
1021060,2035021=1000,2
1070321,2035021=1000,2
1080114,2035021=1000,2
1100064,2035021=1000,2
1010117,2035021=1000,2
1010118,2035021=1000,2
1070324,2035021=1000,26
1100066,2035021=1000,10
1010119,2035021=1000,10
1010120,2035021=1000,10
1021065,2035021=1000,26
1080057,2035021=100,26
1070208,2035021=100,8
1080119,2035021=100,24
1070249,2035021=100,8
1090060,2035021=100,8
1070338,2035021=1000,8
1070339,2035021=1000,8
1090103,2035021=1000,8
1100075,2035021=1000,8
1010137,2035021=1000,8
1010138,2035021=1000,8
1080113,2035021=100,24
1100032,2035021=100,24
1090051,2035021=100,18
1070094,2035021=100,18
1100030,2035021=1000,2
1070274,2035021=1000,2
1090061,2035021=1000,2
1021063,2035021=1000,2
1090093,2035021=100,16
1010049,2035021=1000,16
1010050,2035021=1000,16
1100016,2035021=1000,16
1070332,2035021=1000,2
1100070,2035021=1000,2
1010127,2035021=1000,2
1010128,2035021=1000,2
1021062,2035021=1000,2
1070334,2035021=1000,2
1070335,2035021=1000,2
1080121,2035021=1000,2
1100036,2035021=1000,2
1010131,2035021=1000,2
1010132,2035021=1000,2
1070333,2035021=1000,2
1080120,2035021=1000,2
1100071,2035021=1000,2
1010129,2035021=1000,2
1010130,2035021=1000,2
1070317,2035021=1000,2
1080109,2035021=1000,2
1100063,2035021=1000,2
1021052,2035021=1000,2
