ID,ExchangeType,Level,ExchangeBaseNum,ExchangeJobNum,BaseMinimumExperience,JobMinimumExperience
10078,2,107,45760,36608,,
10079,2,108,45760,36608,,
10080,2,109,45760,36608,,
10081,2,110,50062,40050,,
10082,2,111,50062,40050,,
10083,2,112,50062,40050,,
10084,2,113,50062,40050,,
10085,2,114,50062,40050,,
10086,2,115,54560,43648,,
10087,2,116,54560,43648,,
10088,2,117,54560,43648,,
10089,2,118,54560,43648,,
10090,2,119,54560,43648,,
10091,2,120,59253,47403,,
10092,2,121,59253,47403,,
10093,2,122,59253,47403,,
10094,2,123,59253,47403,,
10095,2,124,59253,47403,,
10096,2,125,64142,51314,,
10097,2,126,64142,51314,,
10098,2,127,64142,51314,,
10099,2,128,64142,51314,,
10100,2,129,64142,51314,,
