Id,Comment,Path,PlayTime,ScaleX,ScaleY,ScaleZ,FollowPostion,FollowRotation,FollowScale,CameraFxType,UseVector3OneScale,EffectLodGroup
115,剑攻速增加,Creature/Skill/Fx_Skill_Knight_JianGongSuZengJia_01,2,1,1,1,1,0,1,,,
116,怒爆（球）,Creature/Skill/Fx_Skill_Swordman_JianShi_NuBao_01,1,1,1,1,1,0,1,,,
118,挑衅释放,Creature/Skill/Fx_Skill_Swordman_JianShi_TiaoXin_01,1.5,1,1,1,1,1,1,,,
119,挑衅命中,Creature/Skill/Fx_Skill_Swordman_JianShi_TiaoXin_Hit01,1.5,1,1,1,1,0,1,,,
120,剑士单手刺击刀光,Creature/Skill/Fx_Skill_Swordman_JianShi_ZhanSha_DSCJ01,0.15,1,1,1,1,0,1,,,
121,剑士单手挥砍刀光,Creature/Skill/Fx_Skill_Swordman_JianShi_ZhanSha_DSHK01,0.6,1,1,1,1,0,1,,,
122,施毒攻击,Creature/Skill/Fx_Skill_Thief_DaoZei_ShiDu_03,1,1,1,1,1,1,1,,,
123,解毒,Creature/Skill/Fx_Skill_Thief_DaoZei_JieDu_01,2,1,1,1,1,0,1,,,
124,闪避护盾释放,Creature/Skill/Fx_Skill_Thief_DaoZei_ShanBiHuDun_01,3,1,1,1,1,1,1,,,
125,闪避护盾持续,Creature/Skill/Fx_Skill_Thief_DaoZei_ShanBiHuDun_02,-1,1,1,1,1,0,1,,,
126,闪避护盾消失,Creature/Skill/Fx_Skill_Thief_DaoZei_ShanBiHuDun_02_1,3,1,1,1,1,0,1,,,
127,施毒,Creature/Skill/Fx_Skill_Thief_DaoZei_ShiDu_01,3.1,1,1,1,1,1,1,,,
128,病毒散播爆炸,Creature/Skill/Fx_Skill_Assasin_BingDuSanBo_03,1,1,1,1,1,1,1,,,
129,偷窃,Creature/Skill/Fx_Skill_Thief_DaoZei_TouQie_01,1,1,1,1,1,0,1,,,
130,偷窃命中,Creature/Skill/Fx_Skill_Thief_DaoZei_TouQie_Hit01,1,1,1,1,1,0,1,,,
131,隐匿,Creature/Skill/Fx_Skill_Thief_DaoZei_YinNi_01,2,1,1,1,1,0,1,,,
132,盗贼登录界面,Creature/Ui/Fx_Ui_DengLuJieMian_DaoZei_01,0.4,1,1,1,1,0,1,,,
133,服事登录界面,Creature/Ui/Fx_Ui_DengLuJieMian_FuShi_01,3,1,1,1,1,0,1,,,
134,弓箭手登录界面,Creature/Ui/Fx_Ui_DengLuJieMian_GongJianShou_01,1.25,1,1,1,1,0,1,,,
135,感叹号（红）,Creature/Ui/Fx_Ui_GanTanHao_01,-1,1,1,1,1,0,1,,,
136,感叹号（蓝）,Creature/Ui/Fx_Ui_GanTanHao_02,-1,1,1,1,1,0,1,,,
137,感叹号（绿）,Creature/Ui/Fx_Ui_GanTanHao_03,-1,1,1,1,1,0,1,,,
138,任务点,Creature/Ui/Fx_Ui_Task_Spot_01,-1,1,1,1,1,0,1,,,
139,完成任务（红）,Creature/Ui/Fx_Ui_WanChengRenWu_01,-1,1,1,1,1,0,1,,,
140,完成任务（绿）,Creature/Ui/Fx_Ui_WanChengRenWu_02,-1,1,1,1,1,0,1,,,
141,完成任务（紫）,Creature/Ui/Fx_Ui_WanChengRenWu_03,-1,1,1,1,1,0,1,,,
142,完成任务（蓝）,Creature/Ui/Fx_Ui_WanChengRenWu_04,-1,1,1,1,1,0,1,,,
143,mvp特效,Scene/Fx_Scene_Nomal_guangbi_01,-1,1,1,1,1,1,1,,,
144,冲锋箭被击,Creature/Common/Fx_Skill_Nomal_BeHit_Wu02,0.3,1,1,1,1,0,1,,,
145,剑士三连击第一招,Creature/Skill/Fx_Skill_Swordman_JianShi_Attack01,0.25,1,1,1,1,0,1,,,
146,剑士三连击第二招,Creature/Skill/Fx_Skill_Swordman_JianShi_Attack02,0.25,1,1,1,1,0,1,,,
147,剑士三连击第三招,Creature/Skill/Fx_Skill_Swordman_JianShi_Attack03,0.4,1,1,1,1,0,1,,,
148,剑士复用普攻特效,Creature/Skill/Fx_Skill_Swordman_JianShi_ZhongJi_DSHK_01,0.4,1,1,1,1,0,1,,,
149,暴击被击特效,Creature/Common/Fx_Skill_Nomal_BeHit_BaoJi_01,0.3,1,1,1,1,0,1,,,
150,弓箭手光环特效,Creature/Skill/Fx_Skill_Archer_GongJianShou_GuangHuan_01,0.2,1,1,1,1,1,1,,,
151,黑暗瞬间,Creature/Skill/Fx_Skill_AssassinCross_HeiAnShunJian_05,1.5,1,1,1,1,0,1,,,
152,审判,Creature/Skill/Fx_Skill_HighPriest_ShenPan_01,2,1,1,1,1,0,1,,,
155,毒液泥沼,Creature/Skill/Fx_Skill_PoisonMushroom_VenomMud_01,-1,1,1,1,1,0,1,,,
156,毒雾,Creature/Skill/Fx_Skill_PoisonMushroom_PoisonFrog_01,-1,1,1,1,1,0,1,,,
157,甲虫自爆,Creature/Skill/Fx_Skill_BombBeetle_Bomb_01,1.5,1,1,1,1,0,1,,,
158,吸血蝙蝠自爆蓄力,Creature/Skill/Fx_Skill_BombBat_Bomb_01,1,1,1,1,1,0,1,,,
159,吸血蝙蝠自爆,Creature/Skill/Fx_Skill_BombBat_Bomb_02,1.5,1,1,1,1,0,1,,,
160,定身蛛网落下,Creature/Skill/Fx_Skill_SpiderGuadian_Cobweb_01,1.5,1,1,1,1,0,1,,,
161,定身蛛网发射,Creature/Skill/Fx_Skill_SpiderGuadian_Cobweb_02,1,1,1,1,1,1,1,,,
162,定身蛛网持续,Creature/Skill/Fx_Skill_SpiderGuadian_Cobweb_03,-1,1,1,1,1,0,1,,,
163,孢子出现烟,Creature/Skill/Fx_Skill_GreatPoisonMushroom_MushroomGrow_01,1,1,1,1,1,0,1,,,
164,重力冲击,Creature/Skill/Fx_Skill_GreatPoisonMushroom_GravityImpact_01,4,1,1,1,1,0,1,,,
165,狂暴读条,Creature/Skill/Fx_Skill_GreatPoisonMushroom_Rage_01,-1,1,1,1,1,0,1,,,
166,狂击通用特效,Creature/Common/Fx_Skill_Common_ShiFa_01,0.7,1,1,1,1,0,1,,,
167,陨石术,Creature/Skill/Fx_Skill_Wizard_YunShiShu_01,2.5,1,1,1,1,0,1,,,2
168,初心者三连击第一招,Creature/Skill/Fx_Skill_Novice_ChuXinZhe_Attack01,0.15,1,1,1,1,0,1,,,
169,初心者三连击第二招,Creature/Skill/Fx_Skill_Novice_ChuXinZhe_Attack02,0.3,1,1,1,1,0,1,,,
170,初心者三连击第三招,Creature/Skill/Fx_Skill_Novice_ChuXinZhe_Attack03,0.5,1,1,1,1,0,1,,,
171,盗贼三连击第一招,Creature/Skill/Fx_Skill_Thief_DaoZei_Attack01,0.15,1,1,1,1,0,1,,,
172,盗贼三连击第二招,Creature/Skill/Fx_Skill_Thief_DaoZei_Attack02,0.3,1,1,1,1,0,1,,,
173,盗贼三连击第三招,Creature/Skill/Fx_Skill_Thief_DaoZei_Attack03,0.5,1,1,1,1,0,1,,,
174,重力冲击冲击波,Creature/Skill/Fx_Skill_GreatPoisonMushroom_GravityImpact_02,4,1,1,1,1,1,1,,,
175,双剑格挡技能,Creature/Skill/Fx_Skill_LordKnight_ShuangJianGeDang_01,1.2,1,1,1,1,0,1,,,
176,双肩格挡生效,Creature/Skill/Fx_Skill_LordKnight_ShuangJianGeDang_02,0.35,1,1,1,1,0,1,,,
177,穿云箭,Creature/Skill/Fx_Skill_Hunter_ChuanYunJian_01,1.3,1,1,1,1,0,1,,,
178,猎鹰突击受击,Creature/Skill/Fx_Skill_Hunter_LieYingTuJi_01,0.7,1,1,1,1,1,1,,,
179,十字驱魔翅膀,Creature/Skill/Fx_Skill_Priest_ShiZiQuMoGongJi_01,4,1,1,1,1,0,1,,,5
180,十字驱魔圈,Creature/Skill/Fx_Skill_Priest_ShiZiQuMoGongJi_02,-1,1,1,1,1,0,1,,,1
181,十字驱魔十字,Creature/Skill/Fx_Skill_Priest_ShiZiQuMoGongJi_03,0.4,1,1,1,1,0,1,,,
182,灵气剑施法瞬间,Creature/Skill/Fx_Skill_LordKnight_LingQiJian_02,2,1,1,1,1,1,1,,,
183,冲锋路上,Creature/Skill/Fx_Skill_Knight_ChongFeng_01,-1,1,1,1,1,1,1,,,
184,冲锋爆炸,Creature/Skill/Fx_Skill_Knight_ChongFeng_02,1.25,1,1,1,1,1,1,,,
185,霜冻之术,Creature/Skill/Fx_Skill_Wizard_ShuangDongZhiShu_01,1,1,1,1,1,0,1,,,
186,锐利射击蓄力,Creature/Skill/Fx_Skill_Sniper_RuiLiSheJi_01,1.3,1,1,1,1,0,1,,,
187,锐利射击伤害,Creature/Skill/Fx_Skill_Sniper_RuiLiSheJi_02,0.8,1,1,1,1,0,1,,,
188,孢子变剧毒蘑菇,Creature/Skill/Fx_Skill_GreatPoisonMushroom_MushroomGrow_02,1,1,1,1,1,0,1,,,
189,暗受击,Creature/Common/Fx_Skill_Nomal_BeHit_An01,1,1,1,1,1,0,1,,,
190,毒受击,Creature/Common/Fx_Skill_Nomal_BeHit_Du01,1,1,1,1,1,0,1,,,
191,怪物毒释放,Creature/Common/Fx_Skill_Nomal_Magician_Release_end07,0.6,1,1,1,1,0,1,,,
192,怪物毒吟唱,Creature/Common/Fx_Skill_Nomal_Magician_Release_Loop07,-1,1,1,1,1,0,1,,,
193,缓速术开始,Creature/Skill/Fx_Skill_EMoBoLi_HuanSuShu_Begin_01,1,1,1,1,1,0,1,,,
194,缓速术持续,Creature/Skill/Fx_Skill_EMoBoLi_HuanSuShu_Loop_01,-1,1,1,1,1,0,1,,,
195,灵魂暗击,Creature/Skill/Fx_Skill_EMoBoLi_LingHunAnJi_01,-1,1,1,1,1,0,1,,,
196,灵魂深渊,Creature/Skill/Fx_Skill_EMoBoLi_LingHunShenYuan_01,2,1,1,1,1,0,1,,,
197,金钱攻击受击,Creature/Skill/Fx_Skill_Nomal_Behit_JinQian_01,1.5,1,1,1,1,0,1,,,
198,反射盾持续,Creature/Skill/Fx_Skill_HuangJinChong_FanSheDun_01,-1,1,1,1,1,0,1,,,
199,矩形范围2,Creature/Common/Fx_Skill_Caution_JuXingFanWei_02,-1,1,1,1,1,0,1,,1,
200,黑暗吐息3,Creature/Skill/Fx_BaFengTe_Skill_DarkBreath_03,1.8,1,1,1,1,1,0,,,
201,黑暗吐息4,Creature/Skill/Fx_BaFengTe_Skill_DarkBreath_04,1.5,1,1,1,1,1,1,,,
202,梦罗克左横扫,Creature/Skill/Fx_Skill_MengLuoKe_Attack_01,0.6,1,1,1,1,0,1,,,
203,梦罗克右横扫,Creature/Skill/Fx_Skill_MengLuoKe_Attack_02,0.6,1,1,1,1,0,1,,,
204,梦罗克重击（小）,Creature/Skill/Fx_Skill_MengLuoKe_ZhongJi_01,0.9,1,1,1,1,0,1,,,
205,梦罗克重击（大）,Creature/Skill/Fx_Skill_MengLuoKe_ZhongJi_02,3,1,1,1,1,0,1,,,
206,睡眠状态施法特效,Creature/Common/Fx_Skill_Nomal_Buff_ShuiMian_01,1,1,1,1,1,0,1,,,
207,睡眠状态命中特效,Creature/Common/Fx_Skill_Nomal_Buff_ShuiMian_02,-1,1,1,1,1,0,1,,,
208,沉默状态施法特效,Creature/Common/Fx_Skill_Nomal_Buff_ChenMo_01,2,1,1,1,1,0,1,,,
209,沉默状态命中特效,Creature/Common/Fx_Skill_Nomal_Buff_ChenMo_02,30,1,1,1,1,0,1,,,
210,晕眩状态命中特效,Creature/Common/Fx_Skill_Nomal_Buff_YunXuan_01,-1,1,1,1,1,0,1,,,
211,中毒状态命中特效,Creature/Common/Fx_Skill_Nomal_Buff_ZhongDu_01,-1,1,1,1,1,0,1,,,
212,毒性爆炸特效,Creature/Skill/Fx_Skill_Thief_DaoZei_DuXingBaoZha_01,4,1,1,1,1,0,1,,,
213,人物圆型施法范围,Creature/Common/Fx_Skill_Caution_YuanXingFanWei_03,-1,1,1,1,1,0,1,,1,
214,人物扇形施法范围,Creature/Common/Fx_Skill_Caution_ShanXingFanWei_03,-1,1,1,1,1,0,1,,1,
215,人物矩形施法范围,Creature/Common/Fx_Skill_Caution_ChangTiaoXingFanWei_01,-1,1,1,1,1,0,1,,1,
216,人物箭头施法范围,Creature/Common/Fx_Skill_Caution_JianTouFanWei_02,-1,1,1,1,1,0,1,,1,
217,梦罗克地狱熔岩眼睛,Creature/Skill/Fx_Skill_MengLuoKe_DiYuRongYan_Eye,-1,1,1,1,1,1,1,,,
218,梦罗克地狱熔岩熔岩,Creature/Skill/Fx_Skill_MengLuoKe_DiYuRongYan_RongYan,1.5,1,1,1,1,0,1,,,
219,穿云箭子弹,Creature/Skill/Fx_Skill_Hunter_ChuanYunJian_02,1.3,1,1,1,1,0,1,,,
220,梦罗克横扫,Creature/Skill/Fx_Skill_MengLuoKe_HengSao_01,1.5,0.85,0.85,0.85,1,0,1,,,
221,黄金虫圣母之祈福,Creature/Common/Fx_Skill_HighPriest_ShengMuZhiQiFu_01,3.02,1,1,1,1,0,1,,,
222,暗影箭,Creature/Skill/Fx_Skill_Magician_MoFaShi_AnYingJian_01,1.5,1,1,1,1,0,1,,,
223,暗影传送门,Creature/Common/Fx_Skill_Nomal_Acolyte_AnYingChuanSongMen_01,-1,1,1,1,1,0,1,,,
224,陨石术范围圈,Creature/Skill/Fx_Skill_Wizard_YunShiShu_02,-1,1,1,1,1,0,1,,,1
225,半月斩,Creature/Common/Fx_Skill_Nomal_BanYueZhan_01,-1,1,1,1,1,1,1,,,
226,光耀之堂开始特效,Creature/Skill/Fx_Skill_Acolyte_FuShi_GuangYaoZhiTang_star,0.2,1,1,1,1,0,1,,,
227,音速投掷刀光特效,Creature/Skill/Fx_Skill_Assasin_YinSuTouZhi_02,2,1,1,1,1,1,1,,,
228,毒雾区域,Scene/Fx_Scene_XiaShuiDaoZhiMi_PoisonFrog_01,-1,1,1,1,1,0,1,,,
229,黑暗异常状态,Creature/Common/Fx_Skill_HeiAn_01,-1,1,1,1,1,1,1,,,
