ProductId,ProductName,Desc,ProductType,Currency,Price,AwardId,AwardExtraId,Text,Platform,Area,IsSale,Check,SameTab
200505,com.tencent.ro.ios.a5,回归加速箱子1-14,7,CNY,35,1=6380030=7024,1=8059002=7025,,2,0,1,1=19,200405
200506,com.tencent.ro.ios.a6,回归加速箱子15,7,CNY,35,1=6380040=7024,1=8059002=7025,,2,0,1,1=19,200406
200507,com.tencent.ro.ios.a7,,7,CNY,70,1=6380010=7024,1=8059003=7025,,2,0,1,1=19,200407
200508,com.tencent.ro.ios.a8,,7,CNY,70,1=6380010=7024,1=8059003=7025,,2,0,1,1=19,200408
200509,com.tencent.ro.ios.a9,,7,CNY,70,1=6380010=7024,1=8059003=7025,,2,0,1,1=19,200409
200510,com.tencent.ro.ios.a10,,7,CNY,70,1=6380010=7024,1=8059003=7025,,2,0,1,1=19,200410
200511,com.tencent.ro.ios.a11,装备强化箱子1-13,7,CNY,99,1=6380050=7024,1=8059004=7025,,2,0,1,1=19,200411
200512,com.tencent.ro.ios.a12,装备强化箱子14,7,CNY,99,1=6380060=7024,1=8059004=7025,,2,0,1,1=19,200412
200513,com.tencent.ro.ios.a13,装备强化箱子15,7,CNY,99,1=6380070=7024,1=8059004=7025,,2,0,1,1=19,200413
200514,com.tencent.ro.ios.a14,,7,CNY,99,1=6380070=7024,1=8059004=7025,,2,0,1,1=19,200414
200515,com.tencent.ro.ios.a15,卡片狂欢箱子,7,CNY,175,1=6380080=7024,1=8059005=7025,,2,0,1,1=19,200415
200516,com.tencent.ro.ios.a16,,7,CNY,175,1=6380080=7024,1=8059005=7025,,2,0,1,1=19,200416
200517,com.tencent.ro.ios.a17,,7,CNY,175,1=6380080=7024,1=8059005=7025,,2,0,1,1=19,200417
200518,com.tencent.ro.ios.a18,,7,CNY,175,1=6380080=7024,1=8059005=7025,,2,0,1,1=19,200418
200700,com.tencent.ro.aos.b1,特权签到,11,CNY,45,,1=3800720=7100,,4,0,1,1=45,
200701,com.tencent.ro.ios.b1,特权签到,11,CNY,45,,1=3800720=7100,,2,0,1,1=45,
