TipsID,TipsType,LevelLimit,TipsContent,TipsTheme,SystemId
140,1,60=65,65级可领取职业载具，除此之外还有很多可爱的特色载具哦,载具,9006
141,1,35=300,一些支线、地图、奇遇类任务不会推送到任务导航栏，可以通过观察地图标识或探索地图来接取,秘密任务,
142,1,40=45,45级开启技能和属性的第二套天赋加点，可以无缝切换多种职业流派,技能和属性双天赋,146
143,1,50=60,60级激活第二套装备方案，使用合适的装备方案，会让战斗更加得心应手,装备双天赋,147
144,1,50=300,戴绿色小豆芽的是萌新玩家，戴橘色枫叶的是回归玩家，帮助他们可获得更多协同之证哦,萌新,
145,1,18=300,上交公会之心、纪念纹章和时空之证可以增加公会的组织力进度，用于解锁公会和个人的丰厚奖励,公会组织手册,111
146,1,30=300,皇室举办公会竞赛，参加公会狩猎、公会匹配赛和周末宴会的烹饪比赛，就能为公会争取竞赛积分哦,公会皇室竞赛,111
147,1,24=300,商会中的稀有道具，每日12点、16点、20点刷新库存，冒险家们记得合理安排时间哦~,商会,11001
148,1,45=300,商会拍卖每日5:00刷新道具列表，20:00正式开始,商会拍卖,11003
149,1,25=300,击杀魔物可以提升魔物研究等级，快去魔物图鉴看看吧,魔物图鉴,11405
150,1,25=300,珍藏称号会赠送精美贴纸，通过称号图鉴查看贴纸，可将已拥有的贴纸展示在名片上,称号和贴纸,11402
151,1,50=300,同名装备更换，可以一键继承所有属性哦,同名继承,3099
152,1,80=300,对装备进行改造，可以大幅提升装备的基础属性！,装备改造,10820
153,1,30=300,随着等级的提升，会逐渐解锁更多大贤者回忆的章节剧情副本,主题副本,5025
154,1,45=300,每周完成赫尔海姆挑战玩法指定的周活跃次数，可在下周CD刷新时获取周活跃奖励,主题副本,5022
155,1,35=41,到达42级完成“统御之证”任务可以开启第二个佣兵栏位,佣兵功能,122
156,1,10=30,base经验用于升级角色等级，升级后可获得属性点分配；job经验用于升级职业等级，升级后可获得技能点分配~,base经验/job经验,
157,1,5=300,背包中的“自动守护装置”，可以自动使用药水，可别忘了去查看使用呢,自动守护装置,101
158,1,55=300,快去贝鲁兹核心镶嵌齿轮吧，齿轮上携带的技能将为战斗提供更多的可能性！,贝鲁兹核心,10821
159,1,30=300,凭借魔力晶石可以到时空商人处租赁与卡片具有相同效果的时空卡片,时空商人,19007
160,1,50=300,想要锻造更高级的装备？用图纸碎片兑换锻造装备所需的图纸吧,装备图纸兑换,4100
161,1,11=100,使用战斗加速糖时，战斗时间消耗提高，经验收益提高，掉落机会增加，先锋怪触发概率提高,加速糖,5120
162,1,25=300,卡普拉小秘诀，神话配饰可与其他配饰发生感应，感应后继承它们的基础属性！,神话套装感应,17004
200,2,0=300,无尽之塔的精英魔物往往拥有更强的能力，要小心应对,无限塔,
201,2,0=300,注意无尽之塔内巡逻魔物的巡逻路线，找到更安全的路线通过关卡,无限塔,
202,2,0=300,无尽之塔内的魔物吟唱技能的时候，注意打断释放哦,无限塔,
203,2,0=300,无尽之塔每5层都会有强力的Boss守护，要更加小心,无限塔,
204,2,0=300,无尽之塔内团队配合往往比个人能力更加重要，主要保护好你的队友哦,无限塔,
205,2,0=300,无尽之塔的精英魔物往往拥有更强的能力，要小心应对,无限塔,
206,2,0=300,注意无尽之塔内巡逻魔物的巡逻路线，找到更安全的路线通过关卡,无限塔,
207,2,0=300,无尽之塔内的魔物吟唱技能的时候，注意打断释放哦,无限塔,
208,2,0=300,无尽之塔每5层都会有强力的Boss守护，要更加小心,无限塔,
209,2,0=300,无尽之塔内团队配合往往比个人能力更加重要，主要保护好你的队友哦,无限塔,
300,3,0=300,小心不起眼的蘑菇孢子，它们是可以长大变成大蘑菇的！,普隆德拉下水道,
301,3,0=300,听说巨大毒蘑菇在濒死的时候会暴走，毕竟兔子急了也咬人！,普隆德拉下水道,
302,3,0=300,小心蘑菇们释放的毒性沼泽，一定不要站在上面！,普隆德拉下水道,
303,3,0=300,重力冲击的余波可以被地形挡掉，要注意走位哟~,普隆德拉下水道,
304,3,0=300,高难度下，被魔物侵染的红色孢子会长大爆炸，但是走上去就可以把它踩碎了~,普隆德拉下水道,
305,3,0=300,赫尔海姆试炼模式为包容性数值，任意等级的玩家都可以胜任其中的职责；挑战模式难度较高，需要团队通力合作。,通用,
400,4,0=300,坏血病是海盗们的宿命，食用水果可以将坏血病排出体外,德瑞克幽灵船,
401,4,0=300,有一些俘虏似乎丢掉了脑子，他们会对你穷追不舍,德瑞克幽灵船,
402,4,0=300,时刻注意隐藏在黑暗中的魔物，会在你松懈时对你造成致命一击,德瑞克幽灵船,
403,4,0=300,赫尔海姆试炼模式为包容性数值，任意等级的玩家都可以胜任其中的职责；挑战模式难度较高，需要团队通力合作。,通用,
500,5,0=300,躲避巡逻的小恶魔，尽量不要进入他们的视野范围引起注意,吉芬地下暗影,
501,5,0=300,注意找寻魔力水晶，这是继续前进的关键,吉芬地下暗影,
502,5,0=300,死灵是被依米尔之心污染灵魂的强大恶灵需要谨慎应对，稍有不慎你将万劫不复,吉芬地下暗影,
503,5,0=300,赫尔海姆试炼模式为包容性数值，任意等级的玩家都可以胜任其中的职责；挑战模式难度较高，需要团队通力合作。,通用,
600,6,0=300,注意不要踩中地上的蚂蚁卵，后果非常严重,玛雅惊魂巢穴,
601,6,0=300,有些地方会有隐形的蚂蚁卵，需要想办法找出它们,玛雅惊魂巢穴,
602,6,0=300,打不动蚁穴的话，可以试着利用一下旁边的基尔瑟,玛雅惊魂巢穴,
603,6,0=300,赫尔海姆试炼模式为包容性数值，任意等级的玩家都可以胜任其中的职责；挑战模式难度较高，需要团队通力合作。,通用,
700,7,0=300,要小心藏在北森里的藤蔓，它们会对所有外来者挥动藤鞭！,北方异变之森,
701,7,0=300,北森会对所有外来者产生排斥，无论是教国或是卢恩王国的人！,北方异变之森,
702,7,0=300,北森里的魔物原本是温顺的，直到某天突然发生了异变！,北方异变之森,
750,8,0=300,要小心藏在北森里的藤蔓，它们会对所有外来者挥动藤鞭！,北方异变之森（大秘境）,
751,8,0=300,北森会对所有外来者产生排斥，无论是教国或是卢恩王国的人！,北方异变之森（大秘境）,
752,8,0=300,即使被北森抑制，凯西利亚斯也能通过身后的水晶储存极雷之力,北方异变之森（大秘境）,
753,8,0=300,令人震惊的是，凯思利亚斯其实是白女巫的导师,北方异变之森（大秘境）,
754,8,0=300,亚尔维斯资质甚高，但热血单纯，做事不顾后果，是个爱恨分明的人,北方异变之森（大秘境）,
755,8,0=300,亚尔维斯有一只精灵，会使用一些低级法术，那是巴雷蒙德曾经送给他的礼物,北方异变之森（大秘境）,
756,8,0=300,亚尔维斯虽然加入骑士团短短半年就选择退出，但他刷新了最年轻入团记录,北方异变之森（大秘境）,
757,8,0=300,虽然凯思利亚斯职位为教国神官，但他的生平基本都在研究风属性法术,北方异变之森（大秘境）,
758,8,0=300,赫尔海姆试炼模式为包容性数值，任意等级的玩家都可以胜任其中的职责；挑战模式难度较高，需要团队通力合作。,通用,
801,9,0=300,赫尔海姆试炼模式为包容性数值，任意等级的玩家都可以胜任其中的职责；挑战模式难度较高，需要团队通力合作。,通用,
901,10,0=300,可以在各城堡附近的卡普拉小姐姐处使用存储服务，节省在攻城战中复活时所花费的时间。,攻城战,
1001,11,0=300,变身大作战：当我方处于下风时，道具球会刷新到靠近我们这边的位置哦,5V5,
1002,11,0=300,变身大作战：合理利用变身道具，抵御敌人攻击或者发起进攻,5V5,
1003,12,0=300,金币大作战：游戏的胜负只取决于队伍最终金币的多少哦,5V5,
1004,12,0=300,金币大作战：攻击BOSS会加速金币的产出,5V5,
1005,13,0=300,激战竞技场：合理分配BUFF来获得战斗的胜利哦,5V5,
