ID,Comment,Name,ColumnInfo,RecordCount,FilteredRecordCount,Type,CountsPerPage,RecordType,RewardTiming,Reward,IsRewardOnly,DungeonID,Job,RankTips,CustomSaveTlogTiming,PermissionLevel,ProtocolType,DelSurplusRank
1100,魔物研究等级排行榜,魔物研究等级,41|42|43,100,100,1,20,1,4=0=0000,1=1=5020|2=2=5021|3=3=5022|4=10=5023,,,,排行榜前十名的冒险者将获得排名奖励，排名越高奖励越好，奖励每日0点会刷新,,1|2|3,0,
2001,博仁斯攻略战,博仁斯攻略战,1|2|3|2001,500,100,1,20,1,,1=5=5401|6=50=5402|51=150=5403|151=500=5404,,,,排行榜前500名的冒险者将获得排名奖励，排名越高奖励越好，奖励在限时活动结束后发放,,1|2|3,0,
2500,雪仗原激战积分榜,雪仗原激战,41|42|43,100,50,1,20,1,,1=10=5601|11=50=5602|51=200=5603|201=500=5604|501=998=5605|999=5000=5606,,,,排行榜前5000名的冒险者将获得排名奖励，排名越高奖励越好，奖励在限时活动结束后发放,9,1|2|3,0,
2510,奶油狂欢节积分榜-森林,静谧森林,1|2|3,5000,500,1,20,1,,1=1=5621|2=2=5622|3=3=5623|4=10=5624|11=50=5625|51=100=5626|101=500=5627|501=5000=5628,,405,,排行榜前5000名的冒险者将获得排名奖励，排名越高奖励越好，奖励在限时活动结束后发放,9,1|2|3,0,
2511,奶油狂欢节积分榜-海底,海底世界,1|2|3,5000,500,1,20,1,,1=1=5631|2=2=5632|3=3=5633|4=10=5634|11=50=5635|51=100=5636|101=500=5637|501=5000=5638,,406,,排行榜前5000名的冒险者将获得排名奖励，排名越高奖励越好，奖励在限时活动结束后发放,9,1|2|3,0,
2512,奶油狂欢节积分榜-工厂,玩具工厂,1|2|3,5000,500,1,20,1,,1=1=5641|2=2=5642|3=3=5643|4=10=5644|11=50=5645|51=100=5646|101=500=5647|501=5000=5648,,407,,排行榜前5000名的冒险者将获得排名奖励，排名越高奖励越好，奖励在限时活动结束后发放,9,1|2|3,0,
2520,记忆碎片竞速1,挑战1竞速,1|3|6,50,50,1,50,1,,,,2710,,,,1|2|3,0,
2521,记忆碎片竞速2,挑战2竞速,1|3|6,50,50,1,50,1,,,,2711,,,,1|2|3,0,
2522,记忆碎片竞速3,挑战3竞速,1|3|6,50,50,1,50,1,,,,2712,,,,1|2|3,0,
2600,精炼行动,精炼行动,70|71|72,100,50,1,20,1,,1=1=5901|2=5=5902|6=20=5903|21=50=5904,,,,排行榜前50名的冒险者将获得排名奖励，排名越高奖励越好，奖励在限时活动结束后发放,9,1|2|3,0,
3000,GVG普隆德拉1,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3001,GVG普隆德拉1,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3002,GVG普隆德拉1,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3003,GVG普隆德拉1,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3004,GVG普隆德拉1,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3010,GVG普隆德拉2,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3011,GVG普隆德拉2,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3012,GVG普隆德拉2,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3013,GVG普隆德拉2,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3014,GVG普隆德拉2,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3020,GVG普隆德拉3,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3021,GVG普隆德拉3,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3022,GVG普隆德拉3,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3023,GVG普隆德拉3,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3024,GVG普隆德拉3,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3030,GVG普隆德拉4,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3031,GVG普隆德拉4,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3032,GVG普隆德拉4,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3033,GVG普隆德拉4,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3034,GVG普隆德拉4,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3050,GVG吉芬1,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3051,GVG吉芬1,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3052,GVG吉芬1,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3053,GVG吉芬1,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3054,GVG吉芬1,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3060,GVG吉芬2,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3061,GVG吉芬2,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3062,GVG吉芬2,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3063,GVG吉芬2,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3064,GVG吉芬2,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3070,GVG吉芬3,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3071,GVG吉芬3,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3072,GVG吉芬3,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3073,GVG吉芬3,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3074,GVG吉芬3,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3080,GVG吉芬4,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3081,GVG吉芬4,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3082,GVG吉芬4,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3083,GVG吉芬4,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3084,GVG吉芬4,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3100,GVG斐扬1,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3101,GVG斐扬1,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3102,GVG斐扬1,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3103,GVG斐扬1,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3104,GVG斐扬1,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3110,GVG斐扬2,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3111,GVG斐扬2,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3112,GVG斐扬2,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3113,GVG斐扬2,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3114,GVG斐扬2,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3120,GVG斐扬3,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3121,GVG斐扬3,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3122,GVG斐扬3,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3123,GVG斐扬3,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3124,GVG斐扬3,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3130,GVG斐扬4,最大击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3131,GVG斐扬4,最大连续击杀数,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3132,GVG斐扬4,最大承受伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3133,GVG斐扬4,最大治疗量,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
3134,GVG斐扬4,最大对华丽水晶伤害,1|2|3|4|5,100,100,1,20,1,,,,,,,,1|2|3,0,
1200,载具特色度,载具特色度排行榜,31|32|33,100,50,1,20,1,3=4=0000,1=1=5014|2=2=5015|3=3=5016|4=10=5017,,,,排行榜前十名的冒险者将获得排名奖励，排名越高奖励越好，奖励每周四0点会刷新,9,1|2|3,0,
1300,赫尔海姆竞速,赫尔海姆竞速,1001|1005|1003,50,50,2,50,1,,1=1=5701|2=3=5702|4=8=5703|9=20=5704|21=50=5705,1,,,排行榜前50名的冒险者将获得排名奖励，排名越高奖励越好，奖励在限时活动结束后发放,,1|2|3,0,
1301,时空模拟战,时空模拟战,1|51|52|53,100,100,1,20,2,2,,,,,,,1|2|3,0,
1400,心之道场,综合,61|62|63|64|65|66,100,100,1,20,2,,,,7201|7202|7203|7204|7205|7206|7207|7208|7211|7212|7213|7214|7215|7216|7217|7218,2000|3000|4000|7000|5000|6000,,,1|2|3,0,
1401,心之道场,剑士系,61|62|63|64|65|66,100,100,1,20,2,,,,7201|7202|7203|7204|7205|7206|7207|7208|7211|7212|7213|7214|7215|7216|7217|7219,2000,,,1|2|3,0,
1402,心之道场,服事系,61|62|63|64|65|66,100,100,1,20,2,,,,7201|7202|7203|7204|7205|7206|7207|7208|7211|7212|7213|7214|7215|7216|7217|7220,3000,,,1|2|3,0,
1403,心之道场,魔法师系,61|62|63|64|65|66,100,100,1,20,2,,,,7201|7202|7203|7204|7205|7206|7207|7208|7211|7212|7213|7214|7215|7216|7217|7221,4000,,,1|2|3,0,
1404,心之道场,弓手系,61|62|63|64|65|66,100,100,1,20,2,,,,7201|7202|7203|7204|7205|7206|7207|7208|7211|7212|7213|7214|7215|7216|7217|7222,7000,,,1|2|3,0,
1405,心之道场,盗贼系,61|62|63|64|65|66,100,100,1,20,2,,,,7201|7202|7203|7204|7205|7206|7207|7208|7211|7212|7213|7214|7215|7216|7217|7223,5000,,,1|2|3,0,
1406,心之道场,商人系,61|62|63|64|65|66,100,100,1,20,2,,,,7201|7202|7203|7204|7205|7206|7207|7208|7211|7212|7213|7214|7215|7216|7217|7224,6000,,,1|2|3,0,
4000,宠物榜,宠物生命值,80|81|82|83,100,100,4,20,2,,,,,,,,1|2|3,0,1
4001,宠物榜,宠物物理攻击,80|81|82|83,100,100,4,20,2,,,,,,,,1|2|3,0,1
4002,宠物榜,宠物魔法攻击,80|81|82|83,100,100,4,20,2,,,,,,,,1|2|3,0,1
4003,宠物榜,宠物物理防御,80|81|82|83,100,100,4,20,2,,,,,,,,1|2|3,0,1
4004,宠物榜,宠物魔法防御,80|81|82|83,100,100,4,20,2,,,,,,,,1|2|3,0,1
