ID,UnitAttrType,Group,LevelAward,
id,"属性类别(0.无属性1.风属性,2.地属性,3.火属性,4.水属性, 5.毒属性6.圣属性,7.暗属性,8.念属性,9.不死属性)",分组编号,等级奖励（等级1=奖励id|等级2=奖励id）,备注
402,4,2,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
403,4,3,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
404,4,4,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
405,4,5,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
406,4,6,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
407,4,7,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
408,4,8,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,3个
501,5,1,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
502,5,2,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
503,5,3,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,1个
601,6,1,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,2个
701,7,1,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
702,7,2,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
703,7,3,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
704,7,4,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
705,7,5,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
706,7,6,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,5个
801,8,1,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
901,9,1,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
902,9,2,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
903,9,3,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
904,9,4,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
905,9,5,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,
906,9,6,1=4720010|2=4720020|3=4720030|4=4720040|5=4720050|6=4720060|7=4720070|8=4720080|9=4720090|10=4720100,1个
