Id,,ThesaurusId,Property,PropertyDec,Quality,Activition,Pro,RandomType,ColourPro
57,铠甲70,203,0=22=1|0=47=50,4052,1,,50=50=5,1=1=500|1=1=100|1=1=50,
58,铠甲70,203,0=24=1|0=53=1,4053,1,,50=50=5,1=1=500|1=1=100|1=1=50,
59,铠甲70,203,0=16=1|0=36=2,4054,1,,50=50=5,1=1=500|1=1=100|1=1=50,
60,铠甲70,203,0=20=1|0=27=3,4055,1,,50=50=5,1=1=500|1=1=100|1=1=50,
61,铠甲70,203,0=18=1|0=27=3,4056,1,,50=50=5,1=1=500|1=1=100|1=1=50,
62,铠甲70,203,0=27=8,4057,2,,50=50=5,1=1=500|1=1=100|1=1=50,
63,铠甲70,203,0=36=8,4058,2,,50=50=5,1=1=500|1=1=100|1=1=50,
64,铠甲70,203,0=49=40,4059,2,,50=50=5,1=1=500|1=1=100|1=1=50,
65,铠甲70,203,0=47=200,4060,2,,50=50=5,1=1=500|1=1=100|1=1=50,
66,铠甲70,203,0=48=300,4061,3,,50=50=5,1=1=500|1=1=100|1=1=50,
67,铠甲70,203,0=28=200|0=37=200,4062,3,,50=50=5,1=1=500|1=1=100|1=1=50,
68,披肩25,400,0=24=1,4440,1,,50=50=5,1=1=500|1=1=100|1=1=50,
69,披肩25,400,0=22=1,4441,1,,50=50=5,1=1=500|1=1=100|1=1=50,
70,披肩25,400,0=53=1,4442,1,,50=50=5,1=1=500|1=1=100|1=1=50,
71,披肩25,400,0=41=1,4443,1,,50=50=5,1=1=500|1=1=100|1=1=50,
72,披肩40,401,0=24=1,4068,1,,50=50=5,1=1=500|1=1=100|1=1=50,
73,披肩40,401,0=22=1,4069,1,,50=50=5,1=1=500|1=1=100|1=1=50,
74,披肩40,401,0=18=1,4070,1,,50=50=5,1=1=500|1=1=100|1=1=50,
75,披肩40,401,0=53=5,4071,2,,50=50=5,1=1=500|1=1=100|1=1=50,
76,披肩40,401,0=41=3,4072,2,,50=50=5,1=1=500|1=1=100|1=1=50,
77,披肩40,401,0=186=300,4073,2,,50=50=5,1=1=500|1=1=100|1=1=50,
78,披肩55,402,0=24=1,4074,1,,50=50=5,1=1=500|1=1=100|1=1=50,
79,披肩55,402,0=22=1,4075,1,,50=50=5,1=1=500|1=1=100|1=1=50,
80,披肩55,402,0=18=1,4076,1,,50=50=5,1=1=500|1=1=100|1=1=50,
81,披肩55,402,0=53=5,4077,2,,50=50=5,1=1=500|1=1=100|1=1=50,
82,披肩55,402,0=41=3,4078,2,,50=50=5,1=1=500|1=1=100|1=1=50,
83,披肩55,402,0=186=300,4079,2,,50=50=5,1=1=500|1=1=100|1=1=50,
84,披肩55,402,0=182=700,4080,3,,50=50=5,1=1=500|1=1=100|1=1=50,
85,披肩55,402,0=185=700,4081,3,,50=50=5,1=1=500|1=1=100|1=1=50,
86,披肩70,403,0=24=1,4082,1,,50=50=5,1=1=500|1=1=100|1=1=50,
87,披肩70,403,0=22=1,4083,1,,50=50=5,1=1=500|1=1=100|1=1=50,
88,披肩70,403,0=18=1,4084,1,,50=50=5,1=1=500|1=1=100|1=1=50,
89,披肩70,403,0=53=5,4085,2,,50=50=5,1=1=500|1=1=100|1=1=50,
90,披肩70,403,0=41=3,4086,2,,50=50=5,1=1=500|1=1=100|1=1=50,
91,披肩70,403,0=186=300,4087,2,,50=50=5,1=1=500|1=1=100|1=1=50,
92,披肩70,403,0=182=700,4088,3,,50=50=5,1=1=500|1=1=100|1=1=50,
93,披肩70,403,0=185=700,4089,3,,50=50=5,1=1=500|1=1=100|1=1=50,
94,披肩70,403,0=183=700,4090,3,,50=50=5,1=1=500|1=1=100|1=1=50,
95,披肩70,403,0=184=700,4091,3,,50=50=5,1=1=500|1=1=100|1=1=50,
96,头盔25,500,0=24=1,4444,1,,50=50=5,1=1=500|1=1=100|1=1=50,
97,头盔25,500,0=16=1,4445,1,,50=50=5,1=1=500|1=1=100|1=1=50,
98,头盔25,500,0=49=20,4446,1,,50=50=5,1=1=500|1=1=100|1=1=50,
99,头盔25,500,0=261=300,4447,1,,50=50=5,1=1=500|1=1=100|1=1=50,
100,头盔25,500,0=262=300,4448,1,,50=50=5,1=1=500|1=1=100|1=1=50,
101,头盔25,500,0=264=300,4449,1,,50=50=5,1=1=500|1=1=100|1=1=50,
102,头盔40,501,0=36=5|1=400005001=pro=0=500=buffid=0=410017001,4098,3,,50=50=5,1=1=500|1=1=100|1=1=50,
103,头盔40,501,0=27=5|1=400005001=pro=0=500=buffid=0=410018001,4099,3,,50=50=5,1=1=500|1=1=100|1=1=50,
104,头盔55,502,0=24=1,4100,1,,50=50=5,1=1=500|1=1=100|1=1=50,
105,头盔55,502,0=16=1|0=49=20,4101,1,,50=50=5,1=1=500|1=1=100|1=1=50,
106,头盔55,502,0=49=50,4102,1,,50=50=5,1=1=500|1=1=100|1=1=50,
107,头盔55,502,0=36=5|1=400005001=pro=0=500=buffid=0=410017001,4103,3,,50=50=5,1=1=500|1=1=100|1=1=50,
108,头盔55,502,0=27=5|1=400005001=pro=0=500=buffid=0=410018001,4104,3,,50=50=5,1=1=500|1=1=100|1=1=50,
109,头盔55,502,0=14=1|1=400006001=jinglian=0=0=jlper=0=5=attr1=0=14=value1=0=1,4105,2,,50=50=5,1=1=500|1=1=100|1=1=50,
110,头盔55,502,0=20=1|1=400006001=jinglian=0=0=jlper=0=5=attr1=0=20=value1=0=1,4106,2,,50=50=5,1=1=500|1=1=100|1=1=50,
111,头盔70,503,0=24=1,4107,1,,50=50=5,1=1=500|1=1=100|1=1=50,
112,头盔70,503,0=16=1|0=49=20,4108,1,,50=50=5,1=1=500|1=1=100|1=1=50,
113,头盔70,503,0=49=50,4109,1,,50=50=5,1=1=500|1=1=100|1=1=50,
114,头盔70,503,0=16=1|0=84=-500,4110,1,,50=50=5,1=1=500|1=1=100|1=1=50,
115,头盔70,503,0=36=5|1=400005001=pro=0=500=buffid=0=410017001,4111,3,,50=50=5,1=1=500|1=1=100|1=1=50,
116,头盔70,503,0=27=5|1=400005001=pro=0=500=buffid=0=410018001,4112,3,,50=50=5,1=1=500|1=1=100|1=1=50,
117,头盔70,503,0=14=1|1=400006001=jinglian=0=0=jlper=0=5=attr1=0=14=value1=0=1,4113,2,,50=50=5,1=1=500|1=1=100|1=1=50,
118,头盔70,503,0=20=1|1=400006001=jinglian=0=0=jlper=0=5=attr1=0=20=value1=0=1,4114,2,,50=50=5,1=1=500|1=1=100|1=1=50,
119,头盔70,503,0=20=1|0=18=1|1=400005001=pro=0=500=buffid=0=410019001,4115,3,,50=50=5,1=1=500|1=1=100|1=1=50,
120,鞋子25,600,0=78=300,4450,1,,50=50=5,1=1=500|1=1=100|1=1=50,
121,鞋子25,600,0=76=300,4451,1,,50=50=5,1=1=500|1=1=100|1=1=50,
122,鞋子25,600,0=53=1,4452,1,,50=50=5,1=1=500|1=1=100|1=1=50,
123,鞋子25,600,0=14=1,4453,1,,50=50=5,1=1=500|1=1=100|1=1=50,
124,鞋子25,600,0=22=1,4454,1,,50=50=5,1=1=500|1=1=100|1=1=50,
125,鞋子40,601,0=78=500,4120,1,,50=50=5,1=1=500|1=1=100|1=1=50,
126,鞋子40,601,0=76=500,4121,1,,50=50=5,1=1=500|1=1=100|1=1=50,
127,鞋子40,601,0=18=1|0=53=2,4122,1,,50=50=5,1=1=500|1=1=100|1=1=50,
128,鞋子40,601,0=14=1|0=22=1,4123,1,,50=50=5,1=1=500|1=1=100|1=1=50,
129,鞋子40,601,0=48=300|0=18=1,4124,2,,50=50=5,1=1=500|1=1=100|1=1=50,
130,鞋子40,601,0=50=500|0=78=300,4125,2,,50=50=5,1=1=500|1=1=100|1=1=50,
131,鞋子55,602,0=78=500,4126,1,,50=50=5,1=1=500|1=1=100|1=1=50,
132,鞋子55,602,0=76=500,4127,1,,50=50=5,1=1=500|1=1=100|1=1=50,
133,鞋子55,602,0=18=1|0=53=2,4128,1,,50=50=5,1=1=500|1=1=100|1=1=50,
134,鞋子55,602,0=14=1|0=22=1,4129,1,,50=50=5,1=1=500|1=1=100|1=1=50,
135,鞋子55,602,0=48=300|0=18=1,4130,2,,50=50=5,1=1=500|1=1=100|1=1=50,
136,鞋子55,602,0=50=500|0=78=300,4131,2,,50=50=5,1=1=500|1=1=100|1=1=50,
137,鞋子55,602,0=48=300|0=50=300,4132,3,,50=50=5,1=1=500|1=1=100|1=1=50,
138,鞋子55,602,0=22=1|0=48=300,4133,3,,50=50=5,1=1=500|1=1=100|1=1=50,
139,鞋子70,603,0=78=500,4134,1,,50=50=5,1=1=500|1=1=100|1=1=50,
140,鞋子70,603,0=76=500,4135,1,,50=50=5,1=1=500|1=1=100|1=1=50,
141,鞋子70,603,0=18=1|0=53=2,4136,1,,50=50=5,1=1=500|1=1=100|1=1=50,
142,鞋子70,603,0=14=1|0=22=1,4137,1,,50=50=5,1=1=500|1=1=100|1=1=50,
143,鞋子70,603,0=48=300|0=18=1,4138,2,,50=50=5,1=1=500|1=1=100|1=1=50,
144,鞋子70,603,0=50=500|0=78=300,4139,2,,50=50=5,1=1=500|1=1=100|1=1=50,
145,鞋子70,603,0=48=300|0=50=300,4140,3,,50=50=5,1=1=500|1=1=100|1=1=50,
146,鞋子70,603,0=22=1|0=48=300,4141,3,,50=50=5,1=1=500|1=1=100|1=1=50,
147,鞋子70,603,0=14=2|1=400007001=jinglian=0=9=attr1=0=48=value1=0=300|1=400007001=jinglian=0=9=attr1=0=50=value1=0=300,4142,3,,50=50=5,1=1=500|1=1=100|1=1=50,
148,饰品25,700,0=14=1,4455,1,,50=50=5,1=1=500|1=1=100|1=1=50,
149,饰品25,700,0=22=1,4456,1,,50=50=5,1=1=500|1=1=100|1=1=50,
150,饰品25,700,0=24=1,4457,1,,50=50=5,1=1=500|1=1=100|1=1=50,
151,饰品25,700,0=16=1,4458,1,,50=50=5,1=1=500|1=1=100|1=1=50,
152,饰品25,700,0=20=1,4459,1,,50=50=5,1=1=500|1=1=100|1=1=50,
153,饰品25,700,0=27=2,4460,1,,50=50=5,1=1=500|1=1=100|1=1=50,
154,饰品25,700,0=36=2,4461,1,,50=50=5,1=1=500|1=1=100|1=1=50,
155,饰品40,701,0=14=1,4149,1,,50=50=5,1=1=500|1=1=100|1=1=50,
156,饰品40,701,0=22=1,4150,1,,50=50=5,1=1=500|1=1=100|1=1=50,
157,饰品40,701,0=24=1,4151,1,,50=50=5,1=1=500|1=1=100|1=1=50,
158,饰品40,701,0=16=1,4152,1,,50=50=5,1=1=500|1=1=100|1=1=50,
159,饰品40,701,0=20=1,4153,1,,50=50=5,1=1=500|1=1=100|1=1=50,
160,饰品40,701,0=18=1,4154,1,,50=50=5,1=1=500|1=1=100|1=1=50,
161,饰品40,701,0=27=8,4155,2,,50=50=5,1=1=500|1=1=100|1=1=50,
162,饰品40,701,0=36=8,4156,2,,50=50=5,1=1=500|1=1=100|1=1=50,
163,饰品55,702,0=14=1,4157,1,,50=50=5,1=1=500|1=1=100|1=1=50,
164,饰品55,702,0=22=1,4158,1,,50=50=5,1=1=500|1=1=100|1=1=50,
165,饰品55,702,0=24=1,4159,1,,50=50=5,1=1=500|1=1=100|1=1=50,
166,饰品55,702,0=16=1,4160,1,,50=50=5,1=1=500|1=1=100|1=1=50,
167,饰品55,702,0=20=1,4161,1,,50=50=5,1=1=500|1=1=100|1=1=50,
168,饰品55,702,0=18=1,4162,1,,50=50=5,1=1=500|1=1=100|1=1=50,
169,饰品55,702,0=27=8,4163,2,,50=50=5,1=1=500|1=1=100|1=1=50,
170,饰品55,702,0=36=8,4164,2,,50=50=5,1=1=500|1=1=100|1=1=50,
171,饰品55,702,0=48=300,4165,2,,50=50=5,1=1=500|1=1=100|1=1=50,
172,饰品55,702,0=50=300,4166,2,,50=50=5,1=1=500|1=1=100|1=1=50,
173,饰品70,703,0=14=1,4167,1,,50=50=5,1=1=500|1=1=100|1=1=50,
174,饰品70,703,0=22=1,4168,1,,50=50=5,1=1=500|1=1=100|1=1=50,
175,饰品70,703,0=24=1,4169,1,,50=50=5,1=1=500|1=1=100|1=1=50,
176,饰品70,703,0=16=1,4170,1,,50=50=5,1=1=500|1=1=100|1=1=50,
177,饰品70,703,0=20=1,4171,1,,50=50=5,1=1=500|1=1=100|1=1=50,
178,饰品70,703,0=18=1,4172,1,,50=50=5,1=1=500|1=1=100|1=1=50,
179,饰品70,703,0=27=8,4173,2,,50=50=5,1=1=500|1=1=100|1=1=50,
180,饰品70,703,0=36=8,4174,2,,50=50=5,1=1=500|1=1=100|1=1=50,
181,饰品70,703,0=48=300,4175,2,,50=50=5,1=1=500|1=1=100|1=1=50,
182,饰品70,703,0=50=300,4176,2,,50=50=5,1=1=500|1=1=100|1=1=50,
183,饰品70,703,0=66=200,4177,3,,50=50=5,1=1=500|1=1=100|1=1=50,
184,饰品70,703,0=65=200,4178,3,,50=50=5,1=1=500|1=1=100|1=1=50,
185,剑25,800,0=20=1,4462,1,,50=50=5,1=1=500|1=1=100|1=1=50,
186,剑25,800,0=51=1,4463,1,,50=50=5,1=1=500|1=1=100|1=1=50,
187,剑25,800,0=14=1,4464,1,,50=50=5,1=1=500|1=1=100|1=1=50,
188,剑25,800,0=27=2,4465,1,,50=50=5,1=1=500|1=1=100|1=1=50,
189,剑25,800,0=36=2,4466,1,,50=50=5,1=1=500|1=1=100|1=1=50,
190,剑25,800,0=53=1,4467,1,,50=50=5,1=1=500|1=1=100|1=1=50,
191,剑25,800,0=22=1,4468,1,,50=50=5,1=1=500|1=1=100|1=1=50,
192,剑25,800,0=47=50,4469,1,,50=50=5,1=1=500|1=1=100|1=1=50,
193,剑25,800,0=36=5,4470,2,,50=50=5,1=1=500|1=1=100|1=1=50,
194,剑25,800,0=27=5,4471,2,,50=50=5,1=1=500|1=1=100|1=1=50,
195,剑40,801,0=20=1|0=51=1,4184,1,,50=50=5,1=1=500|1=1=100|1=1=50,
196,剑40,801,0=14=1|0=27=2,4185,1,,50=50=5,1=1=500|1=1=100|1=1=50,
197,剑40,801,0=18=1|0=53=1,4186,1,,50=50=5,1=1=500|1=1=100|1=1=50,
198,剑40,801,0=22=1|0=47=50,4187,1,,50=50=5,1=1=500|1=1=100|1=1=50,
199,剑40,801,0=27=8,4188,2,,50=50=5,1=1=500|1=1=100|1=1=50,
200,剑40,801,1=400004001=pro=0=500=buffid=0=901401,4189,2,,50=50=5,1=1=500|1=1=100|1=1=50,
201,剑40,801,0=55=4,4190,2,,50=50=5,1=1=500|1=1=100|1=1=50,
202,剑55,802,0=20=1|0=51=1,4191,1,,50=50=5,1=1=500|1=1=100|1=1=50,
203,剑55,802,0=14=1|0=27=2,4192,1,,50=50=5,1=1=500|1=1=100|1=1=50,
204,剑55,802,0=18=1|0=53=1,4193,1,,50=50=5,1=1=500|1=1=100|1=1=50,
205,剑55,802,0=22=1|0=47=50,4194,1,,50=50=5,1=1=500|1=1=100|1=1=50,
206,剑55,802,0=27=8,4195,2,,50=50=5,1=1=500|1=1=100|1=1=50,
207,剑55,802,1=400004001=pro=0=500=buffid=0=901401,4196,2,,50=50=5,1=1=500|1=1=100|1=1=50,
208,剑55,802,0=55=4,4197,2,,50=50=5,1=1=500|1=1=100|1=1=50,
209,剑55,802,0=59=300,4198,3,,50=50=5,1=1=500|1=1=100|1=1=50,
210,剑55,802,0=224=400|0=27=6,4199,3,,50=50=5,1=1=500|1=1=100|1=1=50,
211,剑55,802,0=223=400|0=27=6,4200,3,,50=50=5,1=1=500|1=1=100|1=1=50,
212,剑70,803,0=20=1|0=51=1,4201,1,,50=50=5,1=1=500|1=1=100|1=1=50,
213,剑70,803,0=14=1|0=27=2,4202,1,,50=50=5,1=1=500|1=1=100|1=1=50,
214,剑70,803,0=18=1|0=53=1,4203,1,,50=50=5,1=1=500|1=1=100|1=1=50,
215,剑70,803,0=22=1|0=47=50,4204,1,,50=50=5,1=1=500|1=1=100|1=1=50,
216,剑70,803,0=27=8,4205,2,,50=50=5,1=1=500|1=1=100|1=1=50,
217,剑70,803,1=400004001=pro=0=500=buffid=0=901401,4206,2,,50=50=5,1=1=500|1=1=100|1=1=50,
218,剑70,803,0=55=4,4207,2,,50=50=5,1=1=500|1=1=100|1=1=50,
219,剑70,803,0=59=300,4208,3,,50=50=5,1=1=500|1=1=100|1=1=50,
220,剑70,803,0=224=400|0=27=6,4209,3,,50=50=5,1=1=500|1=1=100|1=1=50,
221,剑70,803,0=223=400|0=27=6,4210,3,,50=50=5,1=1=500|1=1=100|1=1=50,
222,剑70,803,0=55=2|1=400007001=jinglian=0=12=attr1=0=27=value1=0=10|1=400007001=jinglian=0=14=attr1=0=55=value1=0=2,4211,3,,50=50=5,1=1=500|1=1=100|1=1=50,
223,剑70,803,0=203=500,4212,3,,50=50=5,1=1=500|1=1=100|1=1=50,
224,弓25,900,0=53=1,4472,1,,50=50=5,1=1=500|1=1=100|1=1=50,
225,弓25,900,0=27=2,4473,1,,50=50=5,1=1=500|1=1=100|1=1=50,
226,弓25,900,0=55=1,4474,1,,50=50=5,1=1=500|1=1=100|1=1=50,
227,弓25,900,0=20=1,4475,1,,50=50=5,1=1=500|1=1=100|1=1=50,
228,弓25,900,0=51=1,4476,1,,50=50=5,1=1=500|1=1=100|1=1=50,
229,弓25,900,0=27=5,4477,2,,50=50=5,1=1=500|1=1=100|1=1=50,
230,弓40,901,0=18=1|0=53=1,4217,1,,50=50=5,1=1=500|1=1=100|1=1=50,
231,弓40,901,0=27=2|0=55=1,4218,2,,50=50=5,1=1=500|1=1=100|1=1=50,
232,弓40,901,0=27=2|1=400004001=pro=0=500=buffid=0=402301,4219,2,,50=50=5,1=1=500|1=1=100|1=1=50,
233,弓40,901,0=27=8,4220,2,,50=50=5,1=1=500|1=1=100|1=1=50,
234,弓40,901,0=55=2|0=51=2|1=400011001=pro=0=10000=skill=0=700006=attr1=0=283=value1=0=500,4221,2,,50=50=5,1=1=500|1=1=100|1=1=50,
235,弓40,901,0=59=300,4222,3,,50=50=5,1=1=500|1=1=100|1=1=50,
236,弓55,902,0=18=1|0=53=1,4223,1,,50=50=5,1=1=500|1=1=100|1=1=50,
237,弓55,902,0=27=2|0=55=1,4224,2,,50=50=5,1=1=500|1=1=100|1=1=50,
238,弓55,902,0=27=2|1=400004001=pro=0=500=buffid=0=402301,4225,2,,50=50=5,1=1=500|1=1=100|1=1=50,
239,弓55,902,0=27=8,4226,2,,50=50=5,1=1=500|1=1=100|1=1=50,
240,弓55,902,0=55=2|0=51=2|1=400011001=pro=0=10000=skill=0=700006=attr1=0=283=value1=0=500,4227,2,,50=50=5,1=1=500|1=1=100|1=1=50,
241,弓55,902,0=59=300,4228,3,,50=50=5,1=1=500|1=1=100|1=1=50,
242,弓55,902,0=249=500,4229,3,,50=50=5,1=1=500|1=1=100|1=1=50,
243,弓55,902,0=55=4,4230,3,,50=50=5,1=1=500|1=1=100|1=1=50,
244,弓70,903,0=18=1|0=53=1,4231,1,,50=50=5,1=1=500|1=1=100|1=1=50,
245,弓70,903,0=27=2|0=55=1,4232,2,,50=50=5,1=1=500|1=1=100|1=1=50,
246,弓70,903,0=27=2|1=400004001=pro=0=500=buffid=0=402301,4233,2,,50=50=5,1=1=500|1=1=100|1=1=50,
247,弓70,903,0=27=8,4234,2,,50=50=5,1=1=500|1=1=100|1=1=50,
248,弓70,903,0=55=2|0=51=2|1=400011001=pro=0=10000=skill=0=700006=attr1=0=283=value1=0=500,4235,2,,50=50=5,1=1=500|1=1=100|1=1=50,
249,弓70,903,0=59=300,4236,3,,50=50=5,1=1=500|1=1=100|1=1=50,
250,弓70,903,0=249=500,4237,3,,50=50=5,1=1=500|1=1=100|1=1=50,
251,弓70,903,0=55=4,4238,3,,50=50=5,1=1=500|1=1=100|1=1=50,
252,弓70,903,0=27=6|0=222=400,4239,3,,50=50=5,1=1=500|1=1=100|1=1=50,
253,弓70,903,0=203=500,4240,3,,50=50=5,1=1=500|1=1=100|1=1=50,
254,法杖25,1000,0=16=1,4478,1,,50=50=5,1=1=500|1=1=100|1=1=50,
255,法杖25,1000,0=49=10,4479,1,,50=50=5,1=1=500|1=1=100|1=1=50,
256,法杖25,1000,0=36=2,4480,1,,50=50=5,1=1=500|1=1=100|1=1=50,
257,法杖25,1000,0=90=100,4481,1,,50=50=5,1=1=500|1=1=100|1=1=50,
258,法杖25,1000,0=22=1,4482,1,,50=50=5,1=1=500|1=1=100|1=1=50,
259,法杖25,1000,0=47=50,4483,1,,50=50=5,1=1=500|1=1=100|1=1=50,
260,法杖25,1000,0=36=5,4484,2,,50=50=5,1=1=500|1=1=100|1=1=50,
261,法杖40,1001,0=16=1|0=49=10,4246,1,,50=50=5,1=1=500|1=1=100|1=1=50,
262,法杖40,1001,0=16=1|0=36=4,4247,1,,50=50=5,1=1=500|1=1=100|1=1=50,
263,法杖40,1001,0=36=8,4248,2,,50=50=5,1=1=500|1=1=100|1=1=50,
264,法杖40,1001,0=193=500,4249,2,,50=50=5,1=1=500|1=1=100|1=1=50,
265,法杖40,1001,0=194=500,4250,2,,50=50=5,1=1=500|1=1=100|1=1=50,
266,法杖40,1001,0=200=500,4251,2,,50=50=5,1=1=500|1=1=100|1=1=50,
267,法杖40,1001,0=204=500,4252,2,,50=50=5,1=1=500|1=1=100|1=1=50,
268,法杖55,1002,0=16=1|0=49=10,4253,1,,50=50=5,1=1=500|1=1=100|1=1=50,
269,法杖55,1002,0=16=1|0=36=4,4254,1,,50=50=5,1=1=500|1=1=100|1=1=50,
270,法杖55,1002,0=36=8,4255,2,,50=50=5,1=1=500|1=1=100|1=1=50,
271,法杖55,1002,0=193=500,4256,2,,50=50=5,1=1=500|1=1=100|1=1=50,
272,法杖55,1002,0=194=500,4257,2,,50=50=5,1=1=500|1=1=100|1=1=50,
