ID,AwardID,ExtraAwardID,ActType,Param,IsTeamLeader,remarks,ProfessionLimit,,DungeonTeamProLimit,
193,3130020,8200170,,305,,迷雾之森,,,,
194,3110060,8200160,,305,,魔物试炼,,,,
195,3100090,8200150,,305,,点火把,,,,
196,3110080,8200550,,305,,物种天然,,,,
197,3110090,8200550,,305,,高级魔物研究,,,,
198,3100050,8200540,,305,,收集道具,,,,
199,3110050,8200550,,305,,贸易传说手记|喷泉舞蹈会20点,,,,
200,3110020,8200550,,305,,白羽团历练,,,,
201,3150050,8200560,,305,,喷泉舞蹈会40点,,,,
202,3120010,8200550,,305,,圣歌试炼,,,,
203,3100010,8200540,,305,,教国谍影,,,,
204,3100020,8200540,,305,,灵巧试炼,,,,
205,3130020,8200560,,305,,迷雾之森,,,,
206,3110060,8200550,,305,,魔物试炼,,,,
207,3100090,8200540,,305,,点火把,,,,
208,8200600,8200640,,305,,秋夕节精英兔子参与奖,,,,
209,8200610,8200650,,305,,秋夕节精英兔子伤害随即奖,,,,
210,8200620,8200500,,305,,精英兔子死亡后采集奖,,,,
211,8200630,8200510,,305,,小兔子奖,,,,
212,5100010,8200260,,305,,野怪额外掉落秋夕节材料,,,,
213,5100020,8200260,,305,,野怪额外掉落秋夕节材料,,,,
214,5100030,8200260,,305,,野怪额外掉落秋夕节材料,,,,
215,5100040,8200260,,305,,野怪额外掉落秋夕节材料,,,,
216,5100050,8200260,,305,,野怪额外掉落秋夕节材料,,,,
217,5100060,8200260,,305,,野怪额外掉落秋夕节材料,,,,
218,5100070,8200260,,305,,野怪额外掉落秋夕节材料,,,,
219,5100080,8200260,,305,,野怪额外掉落秋夕节材料,,,,
220,5100090,8200260,,305,,野怪额外掉落秋夕节材料,,,,
221,5100100,8200260,,305,,野怪额外掉落秋夕节材料,,,,
222,5100110,8200260,,305,,野怪额外掉落秋夕节材料,,,,
223,5100120,8200260,,305,,野怪额外掉落秋夕节材料,,,,
224,5100130,8200260,,305,,野怪额外掉落秋夕节材料,,,,
225,5100140,8200260,,305,,野怪额外掉落秋夕节材料,,,,
226,5100150,8200260,,305,,野怪额外掉落秋夕节材料,,,,
227,5100160,8200260,,305,,野怪额外掉落秋夕节材料,,,,
228,5100170,8200260,,305,,野怪额外掉落秋夕节材料,,,,
229,5100180,8200260,,305,,野怪额外掉落秋夕节材料,,,,
230,5100190,8200260,,305,,野怪额外掉落秋夕节材料,,,,
231,5100200,8200260,,305,,野怪额外掉落秋夕节材料,,,,
232,5100210,8200260,,305,,野怪额外掉落秋夕节材料,,,,
233,5100220,8200260,,305,,野怪额外掉落秋夕节材料,,,,
234,5100230,8200260,,305,,野怪额外掉落秋夕节材料,,,,
235,5100240,8200260,,305,,野怪额外掉落秋夕节材料,,,,
236,5100250,8200260,,305,,野怪额外掉落秋夕节材料,,,,
237,5100260,8200260,,305,,野怪额外掉落秋夕节材料,,,,
238,5100270,8200260,,305,,野怪额外掉落秋夕节材料,,,,
239,5100280,8200260,,305,,野怪额外掉落秋夕节材料,,,,
240,5100290,8200260,,305,,野怪额外掉落秋夕节材料,,,,
241,5100300,8200260,,305,,野怪额外掉落秋夕节材料,,,,
242,5100310,8200260,,305,,野怪额外掉落秋夕节材料,,,,
243,5100320,8200260,,305,,野怪额外掉落秋夕节材料,,,,
244,5100330,8200260,,305,,野怪额外掉落秋夕节材料,,,,
245,5100340,8200260,,305,,野怪额外掉落秋夕节材料,,,,
246,5100350,8200260,,305,,野怪额外掉落秋夕节材料,,,,
247,5100360,8200260,,305,,野怪额外掉落秋夕节材料,,,,
248,5100370,8200260,,305,,野怪额外掉落秋夕节材料,,,,
249,5100380,8200260,,305,,野怪额外掉落秋夕节材料,,,,
250,5100390,8200260,,305,,野怪额外掉落秋夕节材料,,,,
251,5100400,8200260,,305,,野怪额外掉落秋夕节材料,,,,
252,5100410,8200260,,305,,野怪额外掉落秋夕节材料,,,,
253,5100420,8200260,,305,,野怪额外掉落秋夕节材料,,,,
254,5100430,8200260,,305,,野怪额外掉落秋夕节材料,,,,
255,5100440,8200260,,305,,野怪额外掉落秋夕节材料,,,,
256,5100450,8200260,,305,,野怪额外掉落秋夕节材料,,,,
257,5100460,8200260,,305,,野怪额外掉落秋夕节材料,,,,
258,5100470,8200260,,305,,野怪额外掉落秋夕节材料,,,,
259,5100480,8200260,,305,,野怪额外掉落秋夕节材料,,,,
260,5100490,8200260,,305,,野怪额外掉落秋夕节材料,,,,
261,5100500,8200260,,305,,野怪额外掉落秋夕节材料,,,,
262,5100510,8200260,,305,,野怪额外掉落秋夕节材料,,,,
263,5100520,8200260,,305,,野怪额外掉落秋夕节材料,,,,
264,5100530,8200260,,305,,野怪额外掉落秋夕节材料,,,,
265,5100540,8200260,,305,,野怪额外掉落秋夕节材料,,,,
266,5100550,8200260,,305,,野怪额外掉落秋夕节材料,,,,
267,5100560,8200260,,305,,野怪额外掉落秋夕节材料,,,,
268,5100570,8200260,,305,,野怪额外掉落秋夕节材料,,,,
269,5100580,8200260,,305,,野怪额外掉落秋夕节材料,,,,
270,5100590,8200260,,305,,野怪额外掉落秋夕节材料,,,,
271,5100600,8200260,,305,,野怪额外掉落秋夕节材料,,,,
272,5100610,8200260,,305,,野怪额外掉落秋夕节材料,,,,
273,5100620,8200260,,305,,野怪额外掉落秋夕节材料,,,,
274,5100630,8200260,,305,,野怪额外掉落秋夕节材料,,,,
275,5100640,8200260,,305,,野怪额外掉落秋夕节材料,,,,
276,5100650,8200260,,305,,野怪额外掉落秋夕节材料,,,,
277,5100660,8200260,,305,,野怪额外掉落秋夕节材料,,,,
278,5100670,8200260,,305,,野怪额外掉落秋夕节材料,,,,
279,5100680,8200260,,305,,野怪额外掉落秋夕节材料,,,,
280,5100690,8200260,,305,,野怪额外掉落秋夕节材料,,,,
281,5100700,8200260,,305,,野怪额外掉落秋夕节材料,,,,
282,5100710,8200260,,305,,野怪额外掉落秋夕节材料,,,,
283,5100720,8200260,,305,,野怪额外掉落秋夕节材料,,,,
284,5100730,8200260,,305,,野怪额外掉落秋夕节材料,,,,
285,5100740,8200260,,305,,野怪额外掉落秋夕节材料,,,,
286,5100750,8200260,,305,,野怪额外掉落秋夕节材料,,,,
287,5100760,8200260,,305,,野怪额外掉落秋夕节材料,,,,
288,5100770,8200260,,305,,野怪额外掉落秋夕节材料,,,,
289,5100780,8200260,,305,,野怪额外掉落秋夕节材料,,,,
290,5100790,8200260,,305,,野怪额外掉落秋夕节材料,,,,
291,5100800,8200260,,305,,野怪额外掉落秋夕节材料,,,,
292,5100810,8200260,,305,,野怪额外掉落秋夕节材料,,,,
293,5100820,8200260,,305,,野怪额外掉落秋夕节材料,,,,
294,5100830,8200260,,305,,野怪额外掉落秋夕节材料,,,,
295,5100840,8200260,,305,,野怪额外掉落秋夕节材料,,,,
296,5100850,8200260,,305,,野怪额外掉落秋夕节材料,,,,
297,5100860,8200260,,305,,野怪额外掉落秋夕节材料,,,,
298,5100870,8200260,,305,,野怪额外掉落秋夕节材料,,,,
299,5100880,8200260,,305,,野怪额外掉落秋夕节材料,,,,
300,5100890,8200260,,305,,野怪额外掉落秋夕节材料,,,,
301,5100900,8200260,,305,,野怪额外掉落秋夕节材料,,,,
302,5100910,8200260,,305,,野怪额外掉落秋夕节材料,,,,
303,5100920,8200260,,305,,野怪额外掉落秋夕节材料,,,,
304,5100930,8200260,,305,,野怪额外掉落秋夕节材料,,,,
305,5100940,8200260,,305,,野怪额外掉落秋夕节材料,,,,
306,5100950,8200260,,305,,野怪额外掉落秋夕节材料,,,,
307,5100960,8200260,,305,,野怪额外掉落秋夕节材料,,,,
308,5100970,8200260,,305,,野怪额外掉落秋夕节材料,,,,
309,5100980,8200260,,305,,野怪额外掉落秋夕节材料,,,,
310,5100990,8200260,,305,,野怪额外掉落秋夕节材料,,,,
311,5101000,8200260,,305,,野怪额外掉落秋夕节材料,,,,
312,5101010,8200260,,305,,野怪额外掉落秋夕节材料,,,,
313,5101020,8200260,,305,,野怪额外掉落秋夕节材料,,,,
314,5101030,8200260,,305,,野怪额外掉落秋夕节材料,,,,
315,5101040,8200260,,305,,野怪额外掉落秋夕节材料,,,,
316,5101050,8200260,,305,,野怪额外掉落秋夕节材料,,,,
317,5101060,8200260,,305,,野怪额外掉落秋夕节材料,,,,
318,5101070,8200260,,305,,野怪额外掉落秋夕节材料,,,,
319,5101080,8200260,,305,,野怪额外掉落秋夕节材料,,,,
320,5101090,8200260,,305,,野怪额外掉落秋夕节材料,,,,
321,5101100,8200260,,305,,野怪额外掉落秋夕节材料,,,,
322,5101110,8200260,,305,,野怪额外掉落秋夕节材料,,,,
323,5101120,8200260,,305,,野怪额外掉落秋夕节材料,,,,
324,5101130,8200260,,305,,野怪额外掉落秋夕节材料,,,,
325,5101140,8200260,,305,,野怪额外掉落秋夕节材料,,,,
326,5101150,8200260,,305,,野怪额外掉落秋夕节材料,,,,
327,5101160,8200260,,305,,野怪额外掉落秋夕节材料,,,,
328,5101170,8200260,,305,,野怪额外掉落秋夕节材料,,,,
329,5101180,8200260,,305,,野怪额外掉落秋夕节材料,,,,
330,5101190,8200260,,305,,野怪额外掉落秋夕节材料,,,,
331,5101200,8200260,,305,,野怪额外掉落秋夕节材料,,,,
332,5101210,8200260,,305,,野怪额外掉落秋夕节材料,,,,
333,5101220,8200260,,305,,野怪额外掉落秋夕节材料,,,,
334,5101230,8200260,,305,,野怪额外掉落秋夕节材料,,,,
335,5101240,8200260,,305,,野怪额外掉落秋夕节材料,,,,
336,5101250,8200260,,305,,野怪额外掉落秋夕节材料,,,,
337,5101260,8200260,,305,,野怪额外掉落秋夕节材料,,,,
338,5101270,8200260,,305,,野怪额外掉落秋夕节材料,,,,
339,5101280,8200260,,305,,野怪额外掉落秋夕节材料,,,,
340,5101290,8200260,,305,,野怪额外掉落秋夕节材料,,,,
341,5101300,8200260,,305,,野怪额外掉落秋夕节材料,,,,
342,5101310,8200260,,305,,野怪额外掉落秋夕节材料,,,,
343,5101320,8200260,,305,,野怪额外掉落秋夕节材料,,,,
344,5101330,8200260,,305,,野怪额外掉落秋夕节材料,,,,
345,5101340,8200260,,305,,野怪额外掉落秋夕节材料,,,,
346,5101350,8200260,,305,,野怪额外掉落秋夕节材料,,,,
347,5101360,8200260,,305,,野怪额外掉落秋夕节材料,,,,
348,5101370,8200260,,305,,野怪额外掉落秋夕节材料,,,,
349,5101380,8200260,,305,,野怪额外掉落秋夕节材料,,,,
350,5101390,8200260,,305,,野怪额外掉落秋夕节材料,,,,
351,5101400,8200260,,305,,野怪额外掉落秋夕节材料,,,,
352,5101410,8200260,,305,,野怪额外掉落秋夕节材料,,,,
353,5101420,8200260,,305,,野怪额外掉落秋夕节材料,,,,
354,5101430,8200260,,305,,野怪额外掉落秋夕节材料,,,,
355,5101440,8200260,,305,,野怪额外掉落秋夕节材料,,,,
356,5101450,8200260,,305,,野怪额外掉落秋夕节材料,,,,
357,5101460,8200260,,305,,野怪额外掉落秋夕节材料,,,,
358,5101470,8200260,,305,,野怪额外掉落秋夕节材料,,,,
359,5101480,8200260,,305,,野怪额外掉落秋夕节材料,,,,
360,5101490,8200260,,305,,深海电鳗,,,,
361,5101500,8200260,,305,,酱缸章鱼,,,,
362,5101510,8200260,,305,,赛杜拉,,,,
363,5101520,8200260,,305,,狄奥斯,,,,
364,5101530,8200260,,305,,雪熊,,,,
365,5101540,8200260,,305,,狂暴大脚熊,,,,
366,5101550,8200260,,305,,愤怒波波利,,,,
367,5101560,8200260,,305,,狂暴螳螂,,,,
368,5101570,8200260,,305,,迅捷螳螂,,,,
369,5101580,8200260,,305,,狂暴克瑞米,,,,
370,5101590,8200260,,305,,小巴风特,,,,
371,3300010,3305020,,306,,无限塔1层,,,,
372,3300020,3305020,,306,,无限塔2层,,,,
373,3300030,3305030,,306,,无限塔3层,,,,
374,3300040,3305020,,306,,无限塔4层,,,,
375,3300050,3305040,,306,,无限塔5层,,,,
376,3300060,3305020,,306,,无限塔6层,,,,
377,3300070,3305020,,306,,无限塔7层,,,,
378,3300080,3305030,,306,,无限塔8层,,,,
379,3300090,3305020,,306,,无限塔9层,,,,
380,3300100,3305040,,306,,无限塔10层,,,,
381,3300110,3305020,,306,,无限塔11层,,,,
382,3300120,3305020,,306,,无限塔12层,,,,
383,3300130,3305030,,306,,无限塔13层,,,,
384,3300140,3305020,,306,,无限塔14层,,,,
385,3300150,3305040,,306,,无限塔15层,,,,
386,3300160,3305020,,306,,无限塔16层,,,,
387,3300170,3305020,,306,,无限塔17层,,,,
388,3300180,3305030,,306,,无限塔18层,,,,
389,3300190,3305020,,306,,无限塔19层,,,,
390,3300200,3305040,,306,,无限塔20层,,,,
391,3300210,3305020,,306,,无限塔21层,,,,
392,3300220,3305020,,306,,无限塔22层,,,,
393,3300230,3305030,,306,,无限塔23层,,,,
394,3300240,3305020,,306,,无限塔24层,,,,
395,3300250,3305040,,306,,无限塔25层,,,,
396,3300260,3305020,,306,,无限塔26层,,,,
397,3300270,3305020,,306,,无限塔27层,,,,
398,3300280,3305030,,306,,无限塔28层,,,,
399,3300290,3305020,,306,,无限塔29层,,,,
400,3300300,3305040,,306,,无限塔30层,,,,
401,3300310,3305020,,306,,无限塔31层,,,,
402,3300320,3305020,,306,,无限塔32层,,,,
403,3300330,3305030,,306,,无限塔33层,,,,
404,3300340,3305020,,306,,无限塔34层,,,,
405,3300350,3305040,,306,,无限塔35层,,,,
406,3300360,3305020,,306,,无限塔36层,,,,
407,3300370,3305020,,306,,无限塔37层,,,,
408,3300380,3305030,,306,,无限塔38层,,,,
409,3300390,3305020,,306,,无限塔39层,,,,
410,3300400,3305040,,306,,无限塔40层,,,,
411,3300410,3305020,,306,,无限塔41层,,,,
412,3300420,3305020,,306,,无限塔42层,,,,
413,3300430,3305030,,306,,无限塔43层,,,,
414,3300440,3305020,,306,,无限塔44层,,,,
415,3300450,3305040,,306,,无限塔45层,,,,
416,3300460,3305020,,306,,无限塔46层,,,,
417,3300470,3305020,,306,,无限塔47层,,,,
418,3300480,3305030,,306,,无限塔48层,,,,
419,3300490,3305020,,306,,无限塔49层,,,,
420,3300500,3305040,,306,,无限塔50层,,,,
421,3300050,3305070,,306,,无限塔5层,,,,
422,3300100,3305070,,306,,无限塔10层,,,,
423,3300150,3305050,,306,,无限塔15层,,,,
424,3300200,3305050,,306,,无限塔20层,,,,
425,3300250,3305050,,306,,无限塔25层,,,,
426,3300300,3305050,,306,,无限塔30层,,,,
427,3300350,3305050,,306,,无限塔35层,,,,
428,3300400,3305050,,306,,无限塔40层,,,,
429,3300450,3305050,,306,,无限塔45层,,,,
430,3300500,3305050,,306,,无限塔50层,,,,
431,3300030,3305060,,306,,无限塔3层,,,,
432,3300080,3305060,,306,,无限塔8层,,,,
433,3300130,3305060,,306,,无限塔13层,,,,
434,3300180,3305060,,306,,无限塔18层,,,,
435,3300230,3305060,,306,,无限塔23层,,,,
436,3300280,3305060,,306,,无限塔28层,,,,
437,3300330,3305060,,306,,无限塔33层,,,,
438,3300380,3305060,,306,,无限塔38层,,,,
439,3300430,3305060,,306,,无限塔43层,,,,
440,3300480,3305060,,306,,无限塔48层,,,,
441,3100010,8212110,,307,,简单委托任务礼包-万圣节,,,,
442,3100020,8212110,,307,,简单委托任务礼包-万圣节,,,,
443,3100030,8212110,,307,,简单委托任务礼包-万圣节,,,,
444,3100040,8212110,,307,,简单委托任务礼包-万圣节,,,,
445,3100050,8212110,,307,,简单委托任务礼包-万圣节,,,,
446,3100060,8212110,,307,,简单委托任务礼包-万圣节,,,,
447,3100070,8212110,,307,,简单委托任务礼包-万圣节,,,,
448,3100080,8212110,,307,,简单委托任务礼包-万圣节,,,,
449,3100090,8212110,,307,,简单委托任务礼包-万圣节,,,,
450,3110010,8212120,,307,,困难委托任务礼包-万圣节,,,,
451,3110020,8212120,,307,,困难委托任务礼包-万圣节,,,,
452,3110030,8212120,,307,,困难委托任务礼包-万圣节,,,,
453,3110040,8212120,,307,,困难委托任务礼包-万圣节,,,,
454,3110050,8212120,,307,,困难委托任务礼包-万圣节,,,,
455,3110060,8212120,,307,,困难委托任务礼包-万圣节,,,,
456,3110070,8212120,,307,,困难委托任务礼包-万圣节,,,,
457,3110080,8212120,,307,,困难委托任务礼包-万圣节,,,,
458,3110090,8212120,,307,,困难委托任务礼包-万圣节,,,,
459,3150050,8212130,,307,,40点委托任务-万圣节,,,,
