Id,MedalId,MedalLv,TotalCost,OnceConsume,OnceConsumeZeny
246,6,40,9230,100,10000
247,7,0,30,20,3000
248,7,1,104,20,3000
249,7,2,186,20,3000
250,7,3,276,20,3000
251,7,4,374,50,3000
252,7,5,480,50,3000
253,7,6,594,50,4000
254,7,7,716,50,4000
255,7,8,846,50,4000
256,7,9,984,50,4000
257,7,10,1130,50,4000
258,7,11,1284,60,5000
259,7,12,1446,60,5000
260,7,13,1616,60,5000
261,7,14,1794,60,5000
262,7,15,1980,60,5000
263,7,16,2174,80,5000
264,7,17,2376,80,5000
265,7,18,2586,80,5000
266,7,19,2804,80,5000
267,7,20,3030,80,5000
268,7,21,3264,100,10000
269,7,22,3506,100,10000
270,7,23,3756,100,10000
271,7,24,4014,100,10000
272,7,25,4280,100,10000
273,7,26,4554,100,10000
274,7,27,4836,100,10000
275,7,28,5126,100,10000
276,7,29,5424,100,10000
277,7,30,5730,100,10000
278,7,31,6044,100,10000
279,7,32,6366,100,10000
280,7,33,6696,100,10000
281,7,34,7034,100,10000
282,7,35,7380,100,10000
283,7,36,7734,100,10000
284,7,37,8096,100,10000
285,7,38,8466,100,10000
286,7,39,8844,100,10000
287,7,40,9230,100,10000
288,8,0,30,20,3000
289,8,1,104,20,3000
290,8,2,186,20,3000
291,8,3,276,20,3000
292,8,4,374,50,3000
293,8,5,480,50,3000
294,8,6,594,50,4000
295,8,7,716,50,4000
296,8,8,846,50,4000
297,8,9,984,50,4000
298,8,10,1130,50,4000
299,8,11,1284,60,5000
300,8,12,1446,60,5000
301,8,13,1616,60,5000
302,8,14,1794,60,5000
303,8,15,1980,60,5000
304,8,16,2174,80,5000
305,8,17,2376,80,5000
306,8,18,2586,80,5000
307,8,19,2804,80,5000
308,8,20,3030,80,5000
309,8,21,3264,100,10000
310,8,22,3506,100,10000
311,8,23,3756,100,10000
312,8,24,4014,100,10000
313,8,25,4280,100,10000
314,8,26,4554,100,10000
315,8,27,4836,100,10000
316,8,28,5126,100,10000
317,8,29,5424,100,10000
318,8,30,5730,100,10000
319,8,31,6044,100,10000
320,8,32,6366,100,10000
321,8,33,6696,100,10000
322,8,34,7034,100,10000
323,8,35,7380,100,10000
324,8,36,7734,100,10000
325,8,37,8096,100,10000
326,8,38,8466,100,10000
327,8,39,8844,100,10000
328,8,40,9230,100,10000
329,9,0,30,20,3000
330,9,1,104,20,3000
331,9,2,186,20,3000
332,9,3,276,20,3000
333,9,4,374,50,3000
334,9,5,480,50,3000
335,9,6,594,50,4000
336,9,7,716,50,4000
337,9,8,846,50,4000
338,9,9,984,50,4000
339,9,10,1130,50,4000
340,9,11,1284,60,5000
341,9,12,1446,60,5000
342,9,13,1616,60,5000
343,9,14,1794,60,5000
344,9,15,1980,60,5000
345,9,16,2174,80,5000
346,9,17,2376,80,5000
347,9,18,2586,80,5000
348,9,19,2804,80,5000
349,9,20,3030,80,5000
350,9,21,3264,100,10000
351,9,22,3506,100,10000
352,9,23,3756,100,10000
353,9,24,4014,100,10000
354,9,25,4280,100,10000
355,9,26,4554,100,10000
356,9,27,4836,100,10000
357,9,28,5126,100,10000
358,9,29,5424,100,10000
359,9,30,5730,100,10000
360,9,31,6044,100,10000
361,9,32,6366,100,10000
362,9,33,6696,100,10000
363,9,34,7034,100,10000
364,9,35,7380,100,10000
365,9,36,7734,100,10000
366,9,37,8096,100,10000
367,9,38,8466,100,10000
368,9,39,8844,100,10000
369,9,40,9230,100,10000
