OrnamentID,OrnamentName,LevelLimit,ItemCost,NpcID,EntityLimit,CollectionScoreLimit,AchievementPointLimit,AchievementLimit,TaskLimit,AchievementLevelLimit,EntityHandBookLimit,NpcDialog,,EquipCost,LocalizationArea
1070029,黄金冠冕,,1170012=1|1270006=12|2063002=430|1270012=10|1280001=70|3090001=70|101=2000000,3001,,,,,,,,,MVP,,
1070006,山羊头盔,,1170031=1|1270006=12|2063002=350|1290021=5|1280012=5|1290035=70|101=2000000,3001,,,,,,,,,MVP,,
1070021,海盗船长帽,,1170007=1|1270010=7|2063002=430|1280012=4|1290028=9|1280007=1740|101=2000000,3001,,,,,,,,,MVP,,
1090002,烟斗,,1190004=1|1270010=7|2063002=350|1290025=9|1290024=9|1280011=1740|101=2000000,3001,,,,,,,,,MVP,,
1070107,兽人英雄的头具,,1170022=1|1270010=7|2063002=430|1280006=70|1290020=8|1290010=2170|101=2000000,3001,,,,,,,,,MVP,,
1070108,月夜猫帽子,,1200052=1|1270010=10|2063002=430|1280012=5|3090004=70|1290017=870|101=2000000,3001,,,,,,,,,MVP,,
1070109,古代的金饰,,1200051=1|1270010=7|2063002=430|1290022=10|1270008=70|1290030=70|101=2000000,3001,,,,,,,,,MVP,,
1090025,海盗匕首,,1200045=1|1270006=12|2063002=430|1270005=7|1270007=70|1280011=1300|101=2000000,3001,,,,,,,,,MVP,,
1070118,狮头面具,,1200047=1|1270010=7|2063002=350|1290019=9|1290030=70|1280004=1300|101=2000000,3001,,,,,,,,,MVP,,
1070030,学生帽,,1200012=1|1270006=12|2063002=430|1290019=4|1290024=9|2060002=10|101=2000000,3001,,,,,,,,,MVP,,
1070091,兔女郎发圈,,1270010=4|2063002=190|2060002=10|1290039=30,1930,,,,,,11,,,梦罗克,1070005=1,
1070077,飞鸟普妮的翼饰,,1290055=9|2063001=250|1290028=2|1290036=6|1280004=370|101=300000,1930,,,,,,,,,梦罗克,,
1070066,眼镜头饰,,1290055=9|1280011=870|1290007=1240|101=300000,1930,,,,,,,,,梦罗克,,
1070062,牛仔帽,,1270006=4|1270002=12,1930,,,,,,,,,梦罗克,,
1070151,上弦月发夹,,1290055=12|1280010=6|3040010=120|1280008=500|101=300000,1930,,,,,,5,,,梦罗克,,
1070143,耳机,,1270002=4|1290055=12,1930,,,,,,,,,梦罗克,,
1080021,眼罩,,1270002=3|1280011=370|2060002=5|101=300000,1930,,,,,,,,,梦罗克,1080020=1,
1070079,炸弹头饰,,1290055=16|2063001=310|1280001=6|101=300000,1930,,,,,,,,,梦罗克,1070060=1,
1070153,自娱自乐箱子I,,1200021=1|1270006=4|2063002=220|3090001=30|1290011=1860|101=1200000,1930,,,,,,,,,梦罗克,,
1070154,自娱自乐箱子II,,1200022=1|1270006=4|2063002=220|3090002=30|1290011=1860|101=1200000,1930,,,,,,,,,梦罗克,,
1070005,兔耳发圈,,1290055=9|2063001=250|1270011=3|1290016=1860|101=300000,1930,,,,,,,,,梦罗克,,
1070034,魔法师帽,,1170039=1|1290018=60|1290017=60|101=90000,1716,,,,,,,,,吉芬,,
1090007,土司,,1290055=9|1270001=10|1290011=1860|1290013=1240|101=300000,1716,,,,,,,,,吉芬,,
1070063,魔术师帽,,1290055=9|2063001=250|1270009=6|1290002=500|101=300000,1716,,,,,,,,,吉芬,,
1070161,派对帽,,1270002=3|2063001=250|2060003=6|2060004=6|1280008=370|1290003=1240|101=300000,1716,,,,,,,,,吉芬,,
1070043,宝石头盔,,1290055=9|2063001=250|3090004=6|1290002=430|101=300000,1716,,,,,,7,,,吉芬,,
1070160,铃铛发带,,1270002=5|1270004=3|1290031=6|101=300000,1716,,,,,,6,,,吉芬,,
1070158,耳罩,,1270002=4|2063001=250|2060001=10|1290004=1550|101=300000,1716,,,,,,,,,吉芬,1070143=1,
1070044,兽人头盔,,1290055=9|2063001=250|1280006=6|1290010=1550|101=300000,1716,,,,,,7,,,吉芬,,
1070073,变身树叶,,1270002=1|1280007=210|1290053=210|101=200000,1716,,,,,,,,,吉芬,,
1070086,月桂树之冠,,1200054=1|1270006=4|1290026=2|1290040=9|1290038=9|1290034=10|101=1200000,1716,,,,,,,,,吉芬,,
1090014,嘴咬口香糖,,1270002=4|2063001=250|1290039=6|1290043=300|101=300000,1716,,,,,,,,,吉芬,,
1090022,四叶草,,1270010=2|2063002=150|1270011=7|3090002=30|101=1200000,1716,,,,,,,,,吉芬,1090003=1,
1080026,舞会面具,,1270002=4|2063001=250|1290032=3|3040010=250|101=300000,1716,,,,,,,,,吉芬,,
1090012,铁钉口罩,,1200038=1|1270002=12|1290023=4|1280005=20|1290006=560|101=1200000,1337,,,,,,,,,伊斯鲁德,,
1070002,金属头盔,,1170036=1|1290014=60|1290013=60|101=90000,1337,,,,,,,,,伊斯鲁德,,
1070037,贝雷帽,,1270006=4|1270002=12,1337,,,,,,,,,伊斯鲁德,,
1070056,海盗头巾,,1200053=1|1290004=60|1290014=60|101=90000,1337,,,,,,,,,伊斯鲁德,,
1070147,灵魂光环,,1270006=8|2063002=300|1290041=20|101=1200000,1337,,,,,,,,,伊斯鲁德,1070012=2,
1070156,音标耳机,,1290055=9|2063001=250|3090002=6|1290002=500|101=300000,1337,,,,,,,,,伊斯鲁德,1070143=1,
1080010,独眼龙眼罩,,1270002=4|2063001=250|1280011=500|1290008=1550|101=450000,1337,,,,,,,,,伊斯鲁德,,
1070150,趴趴狄波萝太,,1200008=1|1270010=9|2063002=600|1290037=70|1290031=70|1290012=870|101=2000000,1337,,,,,,,,,伊斯鲁德,,
1070168,勇士之帽,,1200033=1|1270002=12|1290028=4|1280005=30|1290053=370|101=1200000,1337,,,,,,,,,伊斯鲁德,,
1070116,进阶勇士之帽,,1270010=7|2063002=430|1290027=20|1280001=70|101=2000000,1337,,,,,,,,,伊斯鲁德,1070168=1,
1070152,天使波利帽子,,1270006=4|2063002=150|1290007=1860|101=1200000,1337,,,,,,13,,,伊斯鲁德,1070147=1|1070016=1,
1070067,小恶魔帽,,1170033=1|2063002=220|1290028=4|1270008=30|1280002=1120|101=1200000,1337,,,,,,,,,伊斯鲁德,,
1070019,花冠,,1170021=1|1270006=4|2063002=150|1290026=7|1290038=30|101=1200000,1129,,,,,,,,,稀有商人,,
1070011,粉纱发圈,,1200011=1|1270006=4|2063002=150|1270004=10|1290009=1860|101=1200000,1129,,,,,,,,,稀有商人,,
1070032,回忆帽,,1170004=1|1270002=20|2063002=220|3090006=30|1290011=1860|101=1200000,1129,,,,,,,,,稀有商人,,
1070041,绅士帽,,1170011=1|1270002=20|2063002=220|1270003=40|1290011=930|101=1200000,1129,,,,,,,,,稀有商人,,
1070052,天使之吻,,1200013=1|1270006=6|2063002=220|3090006=30|1290015=930|101=1200000,1129,,,,,,,,,稀有商人,,
1070057,蛇饰发箍,,1170014=1|1270002=12|2063002=150|1270012=7|3090001=30|101=1200000,1129,,,,,,,,,稀有商人,,
1090009,金属口罩,,1200044=1|1270002=20|2063002=150|1290023=6|1270007=30|101=1200000,1129,,,,,,,,,稀有商人,,
1080001,剑士头盔,,1200050=1|1270002=20|2063002=220|3090006=30|1270009=30|101=1200000,1129,,,,,,,,,稀有商人,,
1070038,霹雳雷云,,1170009=1|1270002=20|2063002=220|3090008=30|1290005=930|101=1200000,1129,,,,,,,,,稀有商人,,
1070023,公主冠冕,,1170035=1|2063002=150|1270004=7|3090008=30|1270003=30|101=1200000,1129,,,,,,,,,稀有商人,,
1070036,亡者发箍,,1170006=1|1270002=25|2040001=9|1290005=1860|1290010=1860|101=1200000,1129,,,,,,,,,稀有商人,,
1070053,粪便帽,,1200043=1|1270002=20|2063002=150|1290037=30|1290029=30|1290043=740|101=1200000,1129,,,,,,,,,稀有商人,,
1070064,狐狸假面,,1200015=1|1270002=12|2063002=150|1290025=9|1290017=1860|101=1200000,1129,,,,,,,,,稀有商人,,
1070085,羽毛贝雷帽,,1170017=1|1270006=4|2063002=150|2060001=10|1290025=5|1290041=30|101=1200000,1129,,,,,,,,,稀有商人,,
1070090,少女礼帽,,1200048=1|1270010=4|2063002=220|1290037=30|1290012=1860|101=1200000,1129,,,,,,,,,稀有商人,,
1080028,单眼眼镜,,1200041=1|1270010=2|2063002=150|1290024=6|1270009=30|1270008=30|101=1200000,1129,,,,,,,,,稀有商人,,
1080029,西格伦的翅膀,,1200049=1|1270010=2|2063002=150|1290036=30|3090004=30|1290002=740|101=1200000,1129,,,,,,,,,稀有商人,,
1090021,红色面罩,,1200046=1|1270010=2|2063002=150|1290027=6|2060003=10|1290053=740|101=1200000,1129,,,,,,,,,稀有商人,,
1090023,刺客口罩,,1200040=1|1270006=4|2063002=150|1290027=6|2060002=6|1290006=1120|101=1200000,1129,,,,,,,,,稀有商人,,
1090003,草叶,,1200037=1|1270002=12|2060006=10|1290032=30|1290034=30|101=1200000,10575,,,,,,,,,斐扬,,
1070040,羽毛帽,,1170038=1|1290016=60|1290015=60|101=90000,10575,,,,,,,,,斐扬,,
1070146,蜡烛头饰,,1270006=1|1290055=6|2063001=250|1280010=6|1290018=1550|101=300000,10575,,,,,,9,,,斐扬,,
1070142,灯泡发圈,,1270006=2|2063001=250|1280004=500|1290004=1550|101=300000,10575,,,,,,8,,,斐扬,,
1090001,花叶,,1200036=1|1270002=12|2060003=10|3051103=30|1290040=30|101=1200000,10575,,,,,,,,,斐扬,,
1070113,绵绵卡普拉,,1200059=1|1270010=12|2063002=350|1290021=10|101=2000000,10575,,,,,,,,,斐扬,1070042=1|1070167=1,
1080023,创可贴,,1290055=20|2063001=250|1270007=6|1290001=1240|101=300000,10575,,,,,,,,,斐扬,,
1080024,亲亲贴纸,,1290055=20|2063001=250|1290039=6|1290001=1240|101=300000,10575,,,,,,,,,斐扬,,
1080030,金丝边眼镜,,1200060=1|1270010=2|1270012=7|1280007=1860|101=1200000,10575,,,,,,,,,斐扬,1070066=1,
1070117,金色小天使雕像,,1270010=7|2063002=350|1270012=20|1270004=20|1280007=870|101=2000000,10575,,,,,,,,,斐扬,1070097=1,9
1080025,十字星纹身贴纸,,1270002=4|1270008=6|2060002=5|1290001=1240|101=300000,10575,,,,,,,,,斐扬,,
1090016,挂耳式麦克风,,1270006=1|2063001=250|1290025=2|1270003=6|101=300000,10575,,,,,,,,,斐扬,,
1090018,小恶魔口罩,,1290055=12|2063001=250|1270008=6|1290053=500,10575,,,,,,,,,斐扬,1090006=1,
1090019,小熊口罩,,1290055=12|2063001=250|1290037=6|1290054=2480,10575,,,,,,,,,斐扬,1090006=1,
1090020,坏笑口罩,,1270002=20|2063002=220|1290041=30|1290009=5580|101=1200000,10575,,,,,,,,,斐扬,1090006=1,
1070096,魔法兔耳帽子,,1270010=7|2063002=150|2060001=10,10575,,,,,,,,,斐扬,1070005=1|1070063=1,
1100008,绅士兔背饰,,1200061=1|1270010=9|1270011=20|2063002=550|1290053=900|101=1000000,1129,,,,,,,,,稀有商人,,9
1100009,温柔兔背饰,,1200062=1|1270010=9|1270011=20|2063002=550|1290053=900|101=1000000,1129,,,,,,,,,稀有商人,,9
1080064,男爵眼镜,,1200063=1|1270010=7|2063002=520|1290074=4|1290068=1740|101=2800000,3001,,,,,,,,,MVP,,11
1070213,骸骨头盔,,1200064=1|1270010=7|2063002=520|1290073=4|1290079=2610|101=2000000,3001,,,,,,,,,MVP,,11
1100019,骑士盾牌,,1200065=1|1270010=7|2063002=520|1290022=9|1290080=2610|101=2800000,3001,,,,,,,,,MVP,,11
1070185,蛇饰头具,,1200072=1|1270010=7|2063002=520|1290076=9|1290081=1300|101=2800000,3001,,,,,,,,,MVP,,11
1070214,骨制头盔,,1200066=1|1270010=4|2063001=740|1290075=4|1290083=1860|101=1200000,3001,,,,,,,,,Mini,,11
1070215,插在头上的剑,,1200067=1|1270010=4|2063001=740|1290063=740|1290084=1860|101=1200000,3001,,,,,,,,,Mini,,11
1070212,男爵魔法帽,,1200068=1|1270010=4|2063002=150|1290064=740|1290085=1860|101=1200000,3001,,,,,,,,,Mini,,11
1070216,发光恶魔角发圈,,1200069=1|1270010=4|2063002=150|1290065=740|1290071=40|101=1200000,3001,,,,,,,,,Mini,,11
1080065,深渊面罩,,1200070=1|1270010=4|2063001=740|1290066=740|1290072=30|101=1200000,3001,,,,,,,,,Mini,,11
1080066,傲慢之像,,1200071=1|1270010=4|2063001=740|1290067=740|1290077=40|101=1200000,3001,,,,,,,,,Mini,,11
1070244,冰暴头饰,,1200073=1|1270010=7|2063002=520|1290074=4|1290077=90|1290083=2170|101=2800000,3001,,,,,,,,,MVP,,9
1080082,冰暴面具,,1200074=1|1270010=7|2063002=520|1290073=4|1290078=90|1290085=2170|101=2800000,3001,,,,,,,,,MVP,,9
1070243,怀表发饰,,1200075=1|1270010=7|2063002=520|1290075=9|1290082=1740|1290081=430|101=2800000,3001,,,,,,,,,MVP,,9
1080053,猫头鹰望远镜,,1200076=1|1270010=4|2063001=740|1290079=740|1290084=1860|101=1200000,3001,,,,,,,,,Mini,,9
1070242,玩具国王皇冠,,1200077=1|1270010=4|2063001=740|1290080=740|1290083=1860|101=1200000,3001,,,,,,,,,Mini,,9
1070240,沙漏头饰,,1200078=1|1270010=4|2063001=740|1290081=740|1290084=1860|101=1200000,3001,,,,,,,,,Mini,,9
1070241,圣职者之冠,,1200079=1|1270010=4|2063001=740|1290082=740|1290085=1860|101=1200000,3001,,,,,,,,,Mini,,9
1070261,女王坠饰,,1200084=1|1270010=4|2063001=740|1290099=740|1290100=370|1290101=2790|101=1200000,3001,,,,,,,,,Mini,,9
1070262,熔岩头饰,,1200083=1|1270010=4|2063001=740|1290099=740|1290100=370|1290102=2790|101=1200000,3001,,,,,,,,,Mini,,9
1070263,水晶原石头盔,,1200080=1|1270010=7|2063002=520|1290106=4|1290104=90|1290103=430|101=2800000,3001,,,,,,,,,MVP,,9
1100026,半龙之翼,,1200081=1|1270010=7|2063002=520|1290105=9|1290104=90|1290098=430|101=2800000,3001,,,,,,,,,MVP,,9
1080088,流氓贴纸,,1200082=1|1270010=4|2063001=740|1290104=40|1290100=370|1290103=2790|101=1200000,3001,,,,,,,,,Mini,,9
1080095,伊芙利特面具,,1200086=1|1270010=7|2063002=520|1290107=5|1290111=90|1290116=430|1290117=430|101=2800000,3001,,,,,,,,,MVP,,9
1100038,阿特罗斯巨刃,,1200087=1|1270010=7|2063002=520|1290107=5|1290110=90|1290114=430|1290117=430|101=2800000,3001,,,,,,,,,MVP,,9
1100039,六翼哈比之翼,,1200091=1|1270010=4|2063001=740|1290108=4|1290112=740|1290115=930|101=1200000,3001,,,,,,,,,Mini,,9
1070283,卡浩之角,,1200090=1|1270010=4|2063001=740|1290109=4|1290113=740|1290116=930|101=1200000,3001,,,,,,,,,Mini,,9
