Id,Name,SystemAtlas,SystemIcon,SystemDes,LinkDes,SystemType,LinkId,Gender
1209,小恶魔发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用小恶魔发型进行造型改造啦！,前往查看,,1040,1
1210,秋日梦发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用秋日梦发型进行造型改造啦！,前往查看,,1040,1
1211,波西米亚风发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用波西米亚风发型进行造型改造啦！,前往查看,,1040,2
1212,甜心发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用甜心发型进行造型改造啦！,前往查看,,1040,2
1213,coolboy发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用cool,前往查看,,1040,1
1214,童话世界发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用童话世界发型进行造型改造啦！,前往查看,,1040,1
1215,优雅发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用优雅发型进行造型改造啦！,前往查看,,1040,2
1216,月光发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用月光发型进行造型改造啦！,前往查看,,1040,2
1217,霜冻之夜发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用霜冻之夜发型进行造型改造啦！,前往查看,,1040,1
1218,小魔女发型解锁,AchievementIcon,UI_AchievementIcon_Xt_Faxingduihuan.png,解锁后可到托尼老师处使用小魔女发型进行造型改造啦！,前往查看,,1040,2
