Id,Name,Group,RefreshTime,Reason
4050015,腐尸战俘卡片,1,36,1
4060032,邪恶使者卡片,1,36,1
4020021,卷甲虫卡片,1,36,1
4060033,蝙蝠弓箭手卡片,1,36,1
4030030,虎蜥人卡片,1,36,1
4020022,史汀卡片,1,36,1
4030031,狂暴米诺斯卡片,1,36,1
4020023,卡利斯格卡片,1,36,1
4060034,幽灵弓箭手卡片,1,36,1
4050016,XMAS甜饼人卡片,1,36,1
4070021,邪恶礼盒卡片,1,36,1
4010073,魔灵娃娃卡片,1,36,1
4060036,甜饼人卡片,1,36,1
4060005,冰波利卡片,1,36,1
4040025,朽魔卡片,1,36,1
4030034,伊特瓢虫卡片,1,36,1
4060038,裘卡卡片,1,36,1
4010075,邪灵魔导士卡片,1,36,1
4050018,时间守护者卡片,1,36,1
4010076,大古钟卡片,1,36,1
4050019,受到诅咒的箱子卡片,1,36,1
4010078,猪笼草卡片,1,36,1
4030035,邪恶向日葵卡片,1,36,1
4070023,狂暴蜂兵卡片,1,36,1
4060025,犬妖卡片,3,144,1
4010006,大嘴鸟蛋卡片,3,144,1
4010007,蝎子卡片,3,144,1
4010004,曼陀罗魔花卡片,3,144,1
4010013,螃蟹卡片,3,144,1
4010038,红蝙蝠卡片,3,144,1
4010015,哥布灵卡片,3,144,1
4010047,邪骸兽人卡片,3,144,1
4010035,海神卡片,3,144,1
4010033,噬人花卡片,3,144,1
4010055,毕帝特地龙卡片,3,144,1
4060028,恶魔之眼卡片,3,144,1
4040017,兽人婴儿卡片,3,144,1
4070005,基尔瑟卡片,3,144,1
4010030,邪骸士兵卡片,3,144,1
4010029,邪骸弓箭手卡片,3,144,1
4010025,弓箭哥布灵卡片,3,144,1
4010027,直升机哥布灵卡片,3,144,1
4060016,剑鱼卡片,3,144,1
4010026,喷射哥布灵卡片,3,144,1
4030013,马克卡片,3,144,1
4030020,异变鱼卡片,3,144,1
4030015,泥人卡片,3,144,1
4070013,梦魇卡片,3,144,1
4010031,黑蛇卡片,3,144,1
4030021,土人卡片,3,144,1
4040021,九尾狐卡片,3,144,1
4070008,马尔杜克卡片,3,144,1
4030012,艾吉欧蜈蚣卡片,3,144,1
4030016,帕莎纳卡片,3,144,1
4010056,犬妖弓箭手卡片,3,144,1
4070002,小恶魔卡片,3,144,1
4020003,达拉蛙卡片,3,144,1
4020010,锹形虫卡片,3,144,1
4010010,海葵卡片,3,144,1
4010046,邪骸矿工卡片,3,144,1
4010028,沙漠之狼卡片,3,144,1
4010040,米洛斯卡片,3,144,1
4030027,暗神官卡片,3,144,1
4020020,爱丽丝女仆卡片,3,144,1
4040024,幽灵剑士卡片,3,144,1
4010074,玩具士兵卡片,3,144,1
4030033,巫婆卡片,3,144,1
4050017,钟怪卡片,3,144,1
4070022,钟塔守护者卡片,3,144,1
4010077,卡伦宝宝卡片,3,144,1
4010083,贝壳魔灵卡片,3,144,1
4010086,奈吉鸟卡片,3,144,1
4010002,疯兔卡片,1,36,1
4010001,绿棉虫卡片,1,36,1
4010003,小野猪卡片,1,36,1
4010008,土波利卡片,1,36,1
4010005,吸血蝙蝠卡片,1,36,1
4010043,浮勒盗虫卡片,1,36,1
4010042,邪骸战士卡片,1,36,1
4010036,魔锅蛋卡片,1,36,1
4010048,兹诺克卡片,1,36,1
4010034,蜂兵卡片,1,36,1
4010050,巨象甲虫卡片,1,36,1
4010059,爆钻伞蜥卡片,1,36,1
4020008,蜗牛卡片,1,36,1
4020001,盗虫卵卡片,1,36,1
4020009,蚁卵卡片,1,36,1
4030001,波利卡片,1,36,1
4030002,虫蛹卡片,1,36,1
4030018,小鸡卡片,1,36,1
4030005,蛋壳小鸡卡片,1,36,1
4030010,罗达蛙卡片,1,36,1
4030003,摇滚蝗虫卡片,1,36,1
4030004,盗虫卡片,1,36,1
4030008,沙漠幼狼卡片,1,36,1
4040005,秃鹰卡片,1,36,1
4050001,苍蝇卡片,1,36,1
4050005,腐尸卡片,1,36,1
4050006,玛勒盗虫卡片,1,36,1
4050007,转转蛋卡片,1,36,1
4050003,人鱼士兵卡片,1,36,1
4060007,森灵卡片,1,36,1
4060004,魔菇卡片,1,36,1
4060003,白鼠卡片,1,36,1
4060002,溜溜猴卡片,1,36,1
4060006,波波利卡片,1,36,1
4060012,毒魔菇卡片,1,36,1
4060013,摩卡卡片,1,36,1
4070001,树精卡片,1,36,1
4070004,松鼠卡片,1,36,1
4070003,土拨鼠卡片,1,36,1
