VehicleQuality,Attr1,Attr2,Attr3,Attr4,Attr5
32,0=27=13,0=36=13,0=47=84,0=28=40,0=37=40
33,0=27=13,0=36=13,0=47=87,0=28=40,0=37=40
34,0=27=14,0=36=14,0=47=89,0=28=40,0=37=40
35,0=27=14,0=36=14,0=47=92,0=28=40,0=37=40
36,0=27=15,0=36=15,0=47=95,0=28=40,0=37=40
37,0=27=15,0=36=15,0=47=97,0=28=50,0=37=50
38,0=27=15,0=36=15,0=47=100,0=28=50,0=37=50
39,0=27=16,0=36=16,0=47=102,0=28=50,0=37=50
40,0=27=16,0=36=16,0=47=105,0=28=50,0=37=50
41,0=27=16,0=36=16,0=47=108,0=28=50,0=37=50
42,0=27=17,0=36=17,0=47=110,0=28=50,0=37=50
43,0=27=17,0=36=17,0=47=113,0=28=50,0=37=50
44,0=27=18,0=36=18,0=47=115,0=28=50,0=37=50
45,0=27=18,0=36=18,0=47=118,0=28=50,0=37=50
46,0=27=18,0=36=18,0=47=121,0=28=60,0=37=60
47,0=27=19,0=36=19,0=47=123,0=28=60,0=37=60
48,0=27=19,0=36=19,0=47=126,0=28=60,0=37=60
49,0=27=20,0=36=20,0=47=129,0=28=60,0=37=60
50,0=27=20,0=36=20,0=47=131,0=28=60,0=37=60
51,0=27=20,0=36=20,0=47=134,0=28=60,0=37=60
52,0=27=21,0=36=21,0=47=136,0=28=60,0=37=60
53,0=27=21,0=36=21,0=47=139,0=28=60,0=37=60
54,0=27=22,0=36=22,0=47=142,0=28=60,0=37=60
55,0=27=22,0=36=22,0=47=144,0=28=60,0=37=60
56,0=27=22,0=36=22,0=47=147,0=28=70,0=37=70
57,0=27=23,0=36=23,0=47=149,0=28=70,0=37=70
58,0=27=23,0=36=23,0=47=152,0=28=70,0=37=70
59,0=27=24,0=36=24,0=47=155,0=28=70,0=37=70
60,0=27=24,0=36=24,0=47=157,0=28=70,0=37=70
61,0=27=24,0=36=24,0=47=160,0=28=70,0=37=70
62,0=27=25,0=36=25,0=47=163,0=28=70,0=37=70
63,0=27=25,0=36=25,0=47=165,0=28=70,0=37=70
64,0=27=25,0=36=25,0=47=168,0=28=70,0=37=70
65,0=27=26,0=36=26,0=47=170,0=28=80,0=37=80
66,0=27=26,0=36=26,0=47=173,0=28=80,0=37=80
67,0=27=27,0=36=27,0=47=176,0=28=80,0=37=80
68,0=27=27,0=36=27,0=47=178,0=28=80,0=37=80
69,0=27=27,0=36=27,0=47=181,0=28=80,0=37=80
70,0=27=28,0=36=28,0=47=183,0=28=80,0=37=80
71,0=27=28,0=36=28,0=47=186,0=28=80,0=37=80
72,0=27=29,0=36=29,0=47=189,0=28=80,0=37=80
73,0=27=29,0=36=29,0=47=191,0=28=80,0=37=80
74,0=27=29,0=36=29,0=47=194,0=28=90,0=37=90
75,0=27=30,0=36=30,0=47=196,0=28=90,0=37=90
76,0=27=30,0=36=30,0=47=199,0=28=90,0=37=90
77,0=27=31,0=36=31,0=47=202,0=28=90,0=37=90
78,0=27=31,0=36=31,0=47=204,0=28=90,0=37=90
79,0=27=31,0=36=31,0=47=207,0=28=90,0=37=90
80,0=27=32,0=36=32,0=47=210,0=28=90,0=37=90
81,0=27=32,0=36=32,0=47=212,0=28=90,0=37=90
82,0=27=32,0=36=32,0=47=215,0=28=90,0=37=90
83,0=27=33,0=36=33,0=47=217,0=28=100,0=37=100
84,0=27=33,0=36=33,0=47=220,0=28=100,0=37=100
85,0=27=34,0=36=34,0=47=223,0=28=100,0=37=100
86,0=27=34,0=36=34,0=47=225,0=28=100,0=37=100
87,0=27=34,0=36=34,0=47=228,0=28=100,0=37=100
88,0=27=35,0=36=35,0=47=230,0=28=100,0=37=100
89,0=27=35,0=36=35,0=47=233,0=28=100,0=37=100
90,0=27=36,0=36=36,0=47=236,0=28=100,0=37=100
91,0=27=36,0=36=36,0=47=238,0=28=100,0=37=100
92,0=27=36,0=36=36,0=47=241,0=28=110,0=37=110
93,0=27=37,0=36=37,0=47=244,0=28=110,0=37=110
94,0=27=37,0=36=37,0=47=246,0=28=110,0=37=110
95,0=27=38,0=36=38,0=47=249,0=28=110,0=37=110
96,0=27=38,0=36=38,0=47=251,0=28=110,0=37=110
97,0=27=38,0=36=38,0=47=254,0=28=110,0=37=110
98,0=27=39,0=36=39,0=47=257,0=28=110,0=37=110
99,0=27=39,0=36=39,0=47=259,0=28=110,0=37=110
100,0=27=39,0=36=39,0=47=262,0=28=110,0=37=110
101,0=27=40,0=36=40,0=47=264,0=28=110,0=37=110
102,0=27=40,0=36=40,0=47=267,0=28=120,0=37=120
103,0=27=41,0=36=41,0=47=270,0=28=120,0=37=120
104,0=27=41,0=36=41,0=47=272,0=28=120,0=37=120
105,0=27=41,0=36=41,0=47=275,0=28=120,0=37=120
106,0=27=42,0=36=42,0=47=278,0=28=120,0=37=120
107,0=27=42,0=36=42,0=47=280,0=28=120,0=37=120
108,0=27=43,0=36=43,0=47=283,0=28=120,0=37=120
109,0=27=43,0=36=43,0=47=285,0=28=120,0=37=120
110,0=27=43,0=36=43,0=47=288,0=28=120,0=37=120
111,0=27=44,0=36=44,0=47=291,0=28=130,0=37=130
112,0=27=44,0=36=44,0=47=293,0=28=130,0=37=130
113,0=27=45,0=36=45,0=47=296,0=28=130,0=37=130
114,0=27=45,0=36=45,0=47=298,0=28=130,0=37=130
115,0=27=45,0=36=45,0=47=301,0=28=130,0=37=130
116,0=27=46,0=36=46,0=47=304,0=28=130,0=37=130
117,0=27=46,0=36=46,0=47=306,0=28=130,0=37=130
118,0=27=47,0=36=47,0=47=309,0=28=130,0=37=130
119,0=27=47,0=36=47,0=47=311,0=28=130,0=37=130
120,0=27=47,0=36=47,0=47=314,0=28=140,0=37=140
121,0=27=48,0=36=48,0=47=317,0=28=140,0=37=140
122,0=27=48,0=36=48,0=47=319,0=28=140,0=37=140
123,0=27=48,0=36=48,0=47=322,0=28=140,0=37=140
124,0=27=49,0=36=49,0=47=325,0=28=140,0=37=140
125,0=27=49,0=36=49,0=47=327,0=28=140,0=37=140
126,0=27=50,0=36=50,0=47=330,0=28=140,0=37=140
127,0=27=50,0=36=50,0=47=332,0=28=140,0=37=140
128,0=27=50,0=36=50,0=47=335,0=28=140,0=37=140
129,0=27=51,0=36=51,0=47=338,0=28=150,0=37=150
130,0=27=51,0=36=51,0=47=340,0=28=150,0=37=150
131,0=27=52,0=36=52,0=47=343,0=28=150,0=37=150
132,0=27=52,0=36=52,0=47=345,0=28=150,0=37=150
133,0=27=52,0=36=52,0=47=348,0=28=150,0=37=150
134,0=27=53,0=36=53,0=47=351,0=28=150,0=37=150
135,0=27=53,0=36=53,0=47=353,0=28=150,0=37=150
136,0=27=54,0=36=54,0=47=356,0=28=150,0=37=150
137,0=27=54,0=36=54,0=47=359,0=28=150,0=37=150
138,0=27=54,0=36=54,0=47=361,0=28=160,0=37=160
139,0=27=55,0=36=55,0=47=364,0=28=160,0=37=160
140,0=27=55,0=36=55,0=47=366,0=28=160,0=37=160
141,0=27=55,0=36=55,0=47=369,0=28=160,0=37=160
142,0=27=56,0=36=56,0=47=372,0=28=160,0=37=160
143,0=27=56,0=36=56,0=47=374,0=28=160,0=37=160
144,0=27=57,0=36=57,0=47=377,0=28=160,0=37=160
145,0=27=57,0=36=57,0=47=379,0=28=160,0=37=160
146,0=27=57,0=36=57,0=47=382,0=28=160,0=37=160
147,0=27=58,0=36=58,0=47=385,0=28=170,0=37=170
148,0=27=58,0=36=58,0=47=387,0=28=170,0=37=170
149,0=27=59,0=36=59,0=47=390,0=28=170,0=37=170
150,0=27=59,0=36=59,0=47=392,0=28=170,0=37=170
151,0=27=59,0=36=59,0=47=395,0=28=170,0=37=170
152,0=27=60,0=36=60,0=47=398,0=28=170,0=37=170
153,0=27=60,0=36=60,0=47=400,0=28=170,0=37=170
154,0=27=61,0=36=61,0=47=403,0=28=170,0=37=170
155,0=27=61,0=36=61,0=47=406,0=28=170,0=37=170
156,0=27=61,0=36=61,0=47=408,0=28=170,0=37=170
157,0=27=62,0=36=62,0=47=411,0=28=180,0=37=180
158,0=27=62,0=36=62,0=47=413,0=28=180,0=37=180
159,0=27=63,0=36=63,0=47=416,0=28=180,0=37=180
160,0=27=63,0=36=63,0=47=419,0=28=180,0=37=180
161,0=27=63,0=36=63,0=47=421,0=28=180,0=37=180
162,0=27=64,0=36=64,0=47=424,0=28=180,0=37=180
163,0=27=64,0=36=64,0=47=426,0=28=180,0=37=180
164,0=27=64,0=36=64,0=47=429,0=28=180,0=37=180
165,0=27=65,0=36=65,0=47=432,0=28=180,0=37=180
166,0=27=65,0=36=65,0=47=434,0=28=190,0=37=190
167,0=27=66,0=36=66,0=47=437,0=28=190,0=37=190
168,0=27=66,0=36=66,0=47=440,0=28=190,0=37=190
169,0=27=66,0=36=66,0=47=442,0=28=190,0=37=190
170,0=27=67,0=36=67,0=47=445,0=28=190,0=37=190
171,0=27=67,0=36=67,0=47=447,0=28=190,0=37=190
172,0=27=68,0=36=68,0=47=450,0=28=190,0=37=190
173,0=27=68,0=36=68,0=47=453,0=28=190,0=37=190
174,0=27=68,0=36=68,0=47=455,0=28=190,0=37=190
175,0=27=69,0=36=69,0=47=458,0=28=200,0=37=200
176,0=27=69,0=36=69,0=47=460,0=28=200,0=37=200
177,0=27=70,0=36=70,0=47=463,0=28=200,0=37=200
178,0=27=70,0=36=70,0=47=466,0=28=200,0=37=200
179,0=27=70,0=36=70,0=47=468,0=28=200,0=37=200
180,0=27=71,0=36=71,0=47=471,0=28=200,0=37=200
181,0=27=71,0=36=71,0=47=474,0=28=200,0=37=200
182,0=27=71,0=36=71,0=47=476,0=28=200,0=37=200
183,0=27=72,0=36=72,0=47=479,0=28=200,0=37=200
184,0=27=72,0=36=72,0=47=481,0=28=210,0=37=210
185,0=27=73,0=36=73,0=47=484,0=28=210,0=37=210
186,0=27=73,0=36=73,0=47=487,0=28=210,0=37=210
187,0=27=73,0=36=73,0=47=489,0=28=210,0=37=210
188,0=27=74,0=36=74,0=47=492,0=28=210,0=37=210
189,0=27=74,0=36=74,0=47=494,0=28=210,0=37=210
190,0=27=75,0=36=75,0=47=497,0=28=210,0=37=210
191,0=27=75,0=36=75,0=47=500,0=28=210,0=37=210
192,0=27=75,0=36=75,0=47=502,0=28=210,0=37=210
193,0=27=76,0=36=76,0=47=505,0=28=220,0=37=220
194,0=27=76,0=36=76,0=47=507,0=28=220,0=37=220
195,0=27=77,0=36=77,0=47=510,0=28=220,0=37=220
196,0=27=77,0=36=77,0=47=513,0=28=220,0=37=220
197,0=27=77,0=36=77,0=47=515,0=28=220,0=37=220
198,0=27=78,0=36=78,0=47=518,0=28=220,0=37=220
199,0=27=78,0=36=78,0=47=521,0=28=220,0=37=220
200,0=27=78,0=36=78,0=47=523,0=28=220,0=37=220
201,0=27=79,0=36=79,0=47=526,0=28=220,0=37=220
202,0=27=79,0=36=79,0=47=528,0=28=220,0=37=220
203,0=27=80,0=36=80,0=47=531,0=28=230,0=37=230
204,0=27=80,0=36=80,0=47=534,0=28=230,0=37=230
205,0=27=80,0=36=80,0=47=536,0=28=230,0=37=230
206,0=27=81,0=36=81,0=47=539,0=28=230,0=37=230
207,0=27=81,0=36=81,0=47=541,0=28=230,0=37=230
208,0=27=82,0=36=82,0=47=544,0=28=230,0=37=230
209,0=27=82,0=36=82,0=47=547,0=28=230,0=37=230
210,0=27=82,0=36=82,0=47=549,0=28=230,0=37=230
211,0=27=83,0=36=83,0=47=552,0=28=230,0=37=230
212,0=27=83,0=36=83,0=47=555,0=28=240,0=37=240
213,0=27=84,0=36=84,0=47=557,0=28=240,0=37=240
214,0=27=84,0=36=84,0=47=560,0=28=240,0=37=240
215,0=27=84,0=36=84,0=47=562,0=28=240,0=37=240
216,0=27=85,0=36=85,0=47=565,0=28=240,0=37=240
217,0=27=85,0=36=85,0=47=568,0=28=240,0=37=240
218,0=27=86,0=36=86,0=47=570,0=28=240,0=37=240
219,0=27=86,0=36=86,0=47=573,0=28=240,0=37=240
220,0=27=86,0=36=86,0=47=575,0=28=240,0=37=240
221,0=27=87,0=36=87,0=47=578,0=28=250,0=37=250
222,0=27=87,0=36=87,0=47=581,0=28=250,0=37=250
223,0=27=87,0=36=87,0=47=583,0=28=250,0=37=250
224,0=27=88,0=36=88,0=47=586,0=28=250,0=37=250
225,0=27=88,0=36=88,0=47=588,0=28=250,0=37=250
226,0=27=89,0=36=89,0=47=591,0=28=250,0=37=250
227,0=27=89,0=36=89,0=47=594,0=28=250,0=37=250
228,0=27=89,0=36=89,0=47=596,0=28=250,0=37=250
229,0=27=90,0=36=90,0=47=599,0=28=250,0=37=250
230,0=27=90,0=36=90,0=47=602,0=28=260,0=37=260
231,0=27=91,0=36=91,0=47=604,0=28=260,0=37=260
232,0=27=91,0=36=91,0=47=607,0=28=260,0=37=260
233,0=27=91,0=36=91,0=47=609,0=28=260,0=37=260
234,0=27=92,0=36=92,0=47=612,0=28=260,0=37=260
235,0=27=92,0=36=92,0=47=615,0=28=260,0=37=260
236,0=27=93,0=36=93,0=47=617,0=28=260,0=37=260
237,0=27=93,0=36=93,0=47=620,0=28=260,0=37=260
238,0=27=93,0=36=93,0=47=622,0=28=260,0=37=260
239,0=27=94,0=36=94,0=47=625,0=28=270,0=37=270
240,0=27=94,0=36=94,0=47=628,0=28=270,0=37=270
241,0=27=94,0=36=94,0=47=630,0=28=270,0=37=270
242,0=27=95,0=36=95,0=47=633,0=28=270,0=37=270
243,0=27=95,0=36=95,0=47=636,0=28=270,0=37=270
244,0=27=96,0=36=96,0=47=638,0=28=270,0=37=270
245,0=27=96,0=36=96,0=47=641,0=28=270,0=37=270
246,0=27=96,0=36=96,0=47=643,0=28=270,0=37=270
247,0=27=97,0=36=97,0=47=646,0=28=270,0=37=270
248,0=27=97,0=36=97,0=47=649,0=28=280,0=37=280
249,0=27=98,0=36=98,0=47=651,0=28=280,0=37=280
250,0=27=98,0=36=98,0=47=654,0=28=280,0=37=280
251,0=27=98,0=36=98,0=47=656,0=28=280,0=37=280
252,0=27=99,0=36=99,0=47=659,0=28=280,0=37=280
253,0=27=99,0=36=99,0=47=662,0=28=280,0=37=280
254,0=27=100,0=36=100,0=47=664,0=28=280,0=37=280
255,0=27=100,0=36=100,0=47=667,0=28=280,0=37=280
256,0=27=100,0=36=100,0=47=670,0=28=280,0=37=280
257,0=27=101,0=36=101,0=47=672,0=28=280,0=37=280
258,0=27=101,0=36=101,0=47=675,0=28=290,0=37=290
259,0=27=102,0=36=102,0=47=677,0=28=290,0=37=290
260,0=27=102,0=36=102,0=47=680,0=28=290,0=37=290
261,0=27=102,0=36=102,0=47=683,0=28=290,0=37=290
262,0=27=103,0=36=103,0=47=685,0=28=290,0=37=290
263,0=27=103,0=36=103,0=47=688,0=28=290,0=37=290
264,0=27=103,0=36=103,0=47=690,0=28=290,0=37=290
265,0=27=104,0=36=104,0=47=693,0=28=290,0=37=290
266,0=27=104,0=36=104,0=47=696,0=28=290,0=37=290
267,0=27=105,0=36=105,0=47=698,0=28=300,0=37=300
268,0=27=105,0=36=105,0=47=701,0=28=300,0=37=300
269,0=27=105,0=36=105,0=47=703,0=28=300,0=37=300
270,0=27=106,0=36=106,0=47=706,0=28=300,0=37=300
271,0=27=106,0=36=106,0=47=709,0=28=300,0=37=300
272,0=27=107,0=36=107,0=47=711,0=28=300,0=37=300
273,0=27=107,0=36=107,0=47=714,0=28=300,0=37=300
274,0=27=107,0=36=107,0=47=717,0=28=300,0=37=300
275,0=27=108,0=36=108,0=47=719,0=28=300,0=37=300
276,0=27=108,0=36=108,0=47=722,0=28=310,0=37=310
277,0=27=109,0=36=109,0=47=724,0=28=310,0=37=310
278,0=27=109,0=36=109,0=47=727,0=28=310,0=37=310
279,0=27=109,0=36=109,0=47=730,0=28=310,0=37=310
280,0=27=110,0=36=110,0=47=732,0=28=310,0=37=310
281,0=27=110,0=36=110,0=47=735,0=28=310,0=37=310
282,0=27=110,0=36=110,0=47=737,0=28=310,0=37=310
283,0=27=111,0=36=111,0=47=740,0=28=310,0=37=310
284,0=27=111,0=36=111,0=47=743,0=28=310,0=37=310
285,0=27=112,0=36=112,0=47=745,0=28=320,0=37=320
286,0=27=112,0=36=112,0=47=748,0=28=320,0=37=320
287,0=27=112,0=36=112,0=47=751,0=28=320,0=37=320
288,0=27=113,0=36=113,0=47=753,0=28=320,0=37=320
289,0=27=113,0=36=113,0=47=756,0=28=320,0=37=320
290,0=27=114,0=36=114,0=47=758,0=28=320,0=37=320
291,0=27=114,0=36=114,0=47=761,0=28=320,0=37=320
292,0=27=114,0=36=114,0=47=764,0=28=320,0=37=320
293,0=27=115,0=36=115,0=47=766,0=28=320,0=37=320
294,0=27=115,0=36=115,0=47=769,0=28=330,0=37=330
295,0=27=116,0=36=116,0=47=771,0=28=330,0=37=330
296,0=27=116,0=36=116,0=47=774,0=28=330,0=37=330
297,0=27=116,0=36=116,0=47=777,0=28=330,0=37=330
298,0=27=117,0=36=117,0=47=779,0=28=330,0=37=330
299,0=27=117,0=36=117,0=47=782,0=28=330,0=37=330
300,0=27=117,0=36=117,0=47=784,0=28=330,0=37=330
301,0=27=118,0=36=118,0=47=786,0=28=330,0=37=330
302,0=27=118,0=36=118,0=47=788,0=28=330,0=37=330
303,0=27=118,0=36=118,0=47=790,0=28=330,0=37=330
304,0=27=119,0=36=119,0=47=792,0=28=330,0=37=330
305,0=27=119,0=36=119,0=47=794,0=28=340,0=37=340
306,0=27=119,0=36=119,0=47=796,0=28=340,0=37=340
307,0=27=119,0=36=119,0=47=798,0=28=340,0=37=340
308,0=27=120,0=36=120,0=47=799,0=28=340,0=37=340
309,0=27=120,0=36=120,0=47=801,0=28=340,0=37=340
310,0=27=120,0=36=120,0=47=803,0=28=340,0=37=340
311,0=27=121,0=36=121,0=47=805,0=28=340,0=37=340
312,0=27=121,0=36=121,0=47=807,0=28=340,0=37=340
313,0=27=121,0=36=121,0=47=809,0=28=340,0=37=340
314,0=27=121,0=36=121,0=47=811,0=28=340,0=37=340
315,0=27=122,0=36=122,0=47=812,0=28=340,0=37=340
316,0=27=122,0=36=122,0=47=814,0=28=340,0=37=340
317,0=27=122,0=36=122,0=47=816,0=28=340,0=37=340
318,0=27=123,0=36=123,0=47=818,0=28=350,0=37=350
319,0=27=123,0=36=123,0=47=820,0=28=350,0=37=350
320,0=27=123,0=36=123,0=47=822,0=28=350,0=37=350
321,0=27=123,0=36=123,0=47=824,0=28=350,0=37=350
322,0=27=124,0=36=124,0=47=826,0=28=350,0=37=350
323,0=27=124,0=36=124,0=47=827,0=28=350,0=37=350
324,0=27=124,0=36=124,0=47=829,0=28=350,0=37=350
325,0=27=125,0=36=125,0=47=831,0=28=350,0=37=350
326,0=27=125,0=36=125,0=47=833,0=28=350,0=37=350
327,0=27=125,0=36=125,0=47=835,0=28=350,0=37=350
328,0=27=125,0=36=125,0=47=837,0=28=350,0=37=350
329,0=27=126,0=36=126,0=47=839,0=28=350,0=37=350
330,0=27=126,0=36=126,0=47=840,0=28=350,0=37=350
331,0=27=126,0=36=126,0=47=842,0=28=360,0=37=360
332,0=27=127,0=36=127,0=47=844,0=28=360,0=37=360
333,0=27=127,0=36=127,0=47=846,0=28=360,0=37=360
334,0=27=127,0=36=127,0=47=848,0=28=360,0=37=360
335,0=27=127,0=36=127,0=47=850,0=28=360,0=37=360
336,0=27=128,0=36=128,0=47=852,0=28=360,0=37=360
337,0=27=128,0=36=128,0=47=854,0=28=360,0=37=360
338,0=27=128,0=36=128,0=47=855,0=28=360,0=37=360
339,0=27=128,0=36=128,0=47=857,0=28=360,0=37=360
340,0=27=129,0=36=129,0=47=859,0=28=360,0=37=360
341,0=27=129,0=36=129,0=47=861,0=28=360,0=37=360
342,0=27=129,0=36=129,0=47=863,0=28=360,0=37=360
343,0=27=130,0=36=130,0=47=865,0=28=370,0=37=370
344,0=27=130,0=36=130,0=47=867,0=28=370,0=37=370
345,0=27=130,0=36=130,0=47=868,0=28=370,0=37=370
346,0=27=130,0=36=130,0=47=870,0=28=370,0=37=370
347,0=27=131,0=36=131,0=47=872,0=28=370,0=37=370
348,0=27=131,0=36=131,0=47=874,0=28=370,0=37=370
349,0=27=131,0=36=131,0=47=876,0=28=370,0=37=370
350,0=27=132,0=36=132,0=47=878,0=28=370,0=37=370
351,0=27=132,0=36=132,0=47=880,0=28=370,0=37=370
352,0=27=132,0=36=132,0=47=882,0=28=370,0=37=370
353,0=27=132,0=36=132,0=47=883,0=28=370,0=37=370
354,0=27=133,0=36=133,0=47=885,0=28=370,0=37=370
355,0=27=133,0=36=133,0=47=887,0=28=370,0=37=370
356,0=27=133,0=36=133,0=47=889,0=28=380,0=37=380
357,0=27=134,0=36=134,0=47=891,0=28=380,0=37=380
358,0=27=134,0=36=134,0=47=893,0=28=380,0=37=380
359,0=27=134,0=36=134,0=47=895,0=28=380,0=37=380
360,0=27=134,0=36=134,0=47=896,0=28=380,0=37=380
361,0=27=135,0=36=135,0=47=898,0=28=380,0=37=380
362,0=27=135,0=36=135,0=47=900,0=28=380,0=37=380
363,0=27=135,0=36=135,0=47=902,0=28=380,0=37=380
364,0=27=136,0=36=136,0=47=904,0=28=380,0=37=380
365,0=27=136,0=36=136,0=47=906,0=28=380,0=37=380
366,0=27=136,0=36=136,0=47=908,0=28=380,0=37=380
367,0=27=136,0=36=136,0=47=910,0=28=380,0=37=380
368,0=27=137,0=36=137,0=47=911,0=28=380,0=37=380
369,0=27=137,0=36=137,0=47=913,0=28=390,0=37=390
370,0=27=137,0=36=137,0=47=915,0=28=390,0=37=390
371,0=27=138,0=36=138,0=47=917,0=28=390,0=37=390
372,0=27=138,0=36=138,0=47=919,0=28=390,0=37=390
373,0=27=138,0=36=138,0=47=921,0=28=390,0=37=390
374,0=27=138,0=36=138,0=47=923,0=28=390,0=37=390
375,0=27=139,0=36=139,0=47=924,0=28=390,0=37=390
376,0=27=139,0=36=139,0=47=926,0=28=390,0=37=390
377,0=27=139,0=36=139,0=47=928,0=28=390,0=37=390
378,0=27=139,0=36=139,0=47=930,0=28=390,0=37=390
379,0=27=140,0=36=140,0=47=932,0=28=390,0=37=390
380,0=27=140,0=36=140,0=47=934,0=28=390,0=37=390
381,0=27=140,0=36=140,0=47=936,0=28=390,0=37=390
382,0=27=141,0=36=141,0=47=938,0=28=400,0=37=400
383,0=27=141,0=36=141,0=47=939,0=28=400,0=37=400
384,0=27=141,0=36=141,0=47=941,0=28=400,0=37=400
385,0=27=141,0=36=141,0=47=943,0=28=400,0=37=400
386,0=27=142,0=36=142,0=47=945,0=28=400,0=37=400
387,0=27=142,0=36=142,0=47=947,0=28=400,0=37=400
388,0=27=142,0=36=142,0=47=949,0=28=400,0=37=400
389,0=27=143,0=36=143,0=47=951,0=28=400,0=37=400
390,0=27=143,0=36=143,0=47=952,0=28=400,0=37=400
391,0=27=143,0=36=143,0=47=954,0=28=400,0=37=400
392,0=27=143,0=36=143,0=47=956,0=28=400,0=37=400
393,0=27=144,0=36=144,0=47=958,0=28=400,0=37=400
394,0=27=144,0=36=144,0=47=960,0=28=400,0=37=400
395,0=27=144,0=36=144,0=47=962,0=28=410,0=37=410
396,0=27=145,0=36=145,0=47=964,0=28=410,0=37=410
397,0=27=145,0=36=145,0=47=966,0=28=410,0=37=410
398,0=27=145,0=36=145,0=47=967,0=28=410,0=37=410
399,0=27=145,0=36=145,0=47=969,0=28=410,0=37=410
400,0=27=146,0=36=146,0=47=971,0=28=410,0=37=410
401,0=27=146,0=36=146,0=47=973,0=28=410,0=37=410
402,0=27=146,0=36=146,0=47=975,0=28=410,0=37=410
403,0=27=147,0=36=147,0=47=977,0=28=410,0=37=410
404,0=27=147,0=36=147,0=47=979,0=28=410,0=37=410
405,0=27=147,0=36=147,0=47=980,0=28=410,0=37=410
406,0=27=147,0=36=147,0=47=982,0=28=410,0=37=410
407,0=27=148,0=36=148,0=47=984,0=28=410,0=37=410
408,0=27=148,0=36=148,0=47=986,0=28=420,0=37=420
409,0=27=148,0=36=148,0=47=988,0=28=420,0=37=420
410,0=27=149,0=36=149,0=47=990,0=28=420,0=37=420
411,0=27=149,0=36=149,0=47=992,0=28=420,0=37=420
412,0=27=149,0=36=149,0=47=994,0=28=420,0=37=420
413,0=27=149,0=36=149,0=47=995,0=28=420,0=37=420
414,0=27=150,0=36=150,0=47=997,0=28=420,0=37=420
415,0=27=150,0=36=150,0=47=999,0=28=420,0=37=420
416,0=27=150,0=36=150,0=47=1001,0=28=420,0=37=420
417,0=27=150,0=36=150,0=47=1003,0=28=420,0=37=420
418,0=27=151,0=36=151,0=47=1005,0=28=420,0=37=420
419,0=27=151,0=36=151,0=47=1007,0=28=420,0=37=420
420,0=27=151,0=36=151,0=47=1008,0=28=420,0=37=420
421,0=27=152,0=36=152,0=47=1010,0=28=430,0=37=430
422,0=27=152,0=36=152,0=47=1012,0=28=430,0=37=430
423,0=27=152,0=36=152,0=47=1014,0=28=430,0=37=430
424,0=27=152,0=36=152,0=47=1016,0=28=430,0=37=430
425,0=27=153,0=36=153,0=47=1018,0=28=430,0=37=430
426,0=27=153,0=36=153,0=47=1020,0=28=430,0=37=430
427,0=27=153,0=36=153,0=47=1022,0=28=430,0=37=430
428,0=27=154,0=36=154,0=47=1023,0=28=430,0=37=430
429,0=27=154,0=36=154,0=47=1025,0=28=430,0=37=430
430,0=27=154,0=36=154,0=47=1027,0=28=430,0=37=430
431,0=27=154,0=36=154,0=47=1029,0=28=430,0=37=430
432,0=27=155,0=36=155,0=47=1031,0=28=430,0=37=430
