BarberStyleID,BarberID,BarberName,Colour,BarberModel,ItemCost,MoneyCost,BarberFrame,AttrLuxury,AttrMaturity,AttrElegancy,AttrRomance,AttrDarkTone
200214,6020002,小仙男,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
200215,6020002,小仙男,15,Hair_Common_F_FaSe_Bai,2060001=1|1290052=1,101=5000,0,-50,-50,50,-50,-60
200216,6020002,小仙男,16,Hair_Common_F_FaSe_Lan,2060005=1|1290052=1,101=5000,0,-50,50,-50,-50,20
200301,6020003,阿银,1,Hair_Common_F_FaSe_Huang,2060004=1|1290052=1,101=5000,0,50,-50,50,50,-20
200302,6020003,阿银,2,Hair_Common_F_FaSe_Lv,2060006=1|1290052=1,101=5000,0,50,-50,-50,50,20
200303,6020003,阿银,3,Hair_Common_F_FaSe_Hong,2060003=1|1290052=1,101=5000,0,50,50,-50,50,-20
200304,6020003,阿银,4,Hair_Common_F_FaSe_JinHe,2060004=1|2060002=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,-50,20
200305,6020003,阿银,5,Hair_Common_F_FaSe_Zi,2060007=1|1290052=1,101=5000,0,-50,50,-50,-50,40
200306,6020003,阿银,6,Hair_Common_F_FaSe_NaiNaiHui,2060002=1|2060001=1|1290049=1,101=5000,0,50,-50,50,50,-20
200307,6020003,阿银,7,Hair_Common_M_DF01_Hei,2060002=1|1290052=1,101=5000,0,-50,50,-50,-50,60
200308,6020003,阿银,8,Hair_Common_F_FaSe_YaMaJin,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,50,40
200309,6020003,阿银,9,Hair_Common_M_DFciwei02_QianLv,2060005=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,-50,-50,-20
200310,6020003,阿银,10,Hair_Common_F_FaSe_He,2060004=1|2060002=1|2060003=1|1290049=1,101=5000,0,-50,50,50,-50,40
200311,6020003,阿银,11,Hair_Common_F_FaSe_QianLan,2060005=1|2060001=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
200312,6020003,阿银,12,Hair_Common_F_FaSe_Cheng,2060003=1|2060004=1|2060004=1|1290049=1,101=10000,0,50,50,-50,50,40
200313,6020003,阿银,13,Hair_Common_F_FaSe_Feng,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
200314,6020003,阿银,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
200315,6020003,阿银,15,Hair_Common_F_FaSe_Bai,2060001=1|1290052=1,101=5000,0,-50,-50,50,-50,-60
200316,6020003,阿银,16,Hair_Common_F_FaSe_Lan,2060005=1|1290052=1,101=5000,0,-50,50,-50,-50,20
200401,6020004,火焰头,1,Hair_Common_F_FaSe_Huang,2060004=1|1290052=1,101=5000,0,50,-50,50,50,-20
200402,6020004,火焰头,2,Hair_Common_F_FaSe_Lv,2060006=1|1290052=1,101=5000,0,50,-50,-50,50,20
200403,6020004,火焰头,3,Hair_Common_F_FaSe_Hong,2060003=1|1290052=1,101=5000,0,50,50,-50,50,-20
200404,6020004,火焰头,4,Hair_Common_F_FaSe_JinHe,2060004=1|2060002=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,-50,20
200405,6020004,火焰头,5,Hair_Common_F_FaSe_Zi,2060007=1|1290052=1,101=5000,0,-50,50,-50,-50,40
200406,6020004,火焰头,6,Hair_Common_F_FaSe_NaiNaiHui,2060002=1|2060001=1|1290049=1,101=5000,0,50,-50,50,50,-20
200407,6020004,火焰头,7,Hair_Common_M_DF01_Hei,2060002=1|1290052=1,101=5000,0,-50,50,-50,-50,60
200408,6020004,火焰头,8,Hair_Common_F_FaSe_YaMaJin,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,50,40
200409,6020004,火焰头,9,Hair_Common_M_DFciwei02_QianLv,2060005=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,-50,-50,-20
200410,6020004,火焰头,10,Hair_Common_F_FaSe_He,2060004=1|2060002=1|2060003=1|1290049=1,101=5000,0,-50,50,50,-50,40
200411,6020004,火焰头,11,Hair_Common_F_FaSe_QianLan,2060005=1|2060001=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
200412,6020004,火焰头,12,Hair_Common_F_FaSe_Cheng,2060003=1|2060004=1|2060004=1|1290049=1,101=10000,0,50,50,-50,50,40
200413,6020004,火焰头,13,Hair_Common_F_FaSe_Feng,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
200414,6020004,火焰头,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
200415,6020004,火焰头,15,Hair_Common_F_FaSe_Bai,2060001=1|1290052=1,101=5000,0,-50,-50,50,-50,-60
200416,6020004,火焰头,16,Hair_Common_F_FaSe_Lan,2060005=1|1290052=1,101=5000,0,-50,50,-50,-50,20
200501,6020005,阳光男孩,1,Hair_Common_F_FaSe_Huang,2060004=1|1290052=1,101=5000,0,50,-50,50,50,-20
200502,6020005,阳光男孩,2,Hair_Common_F_FaSe_Lv,2060006=1|1290052=1,101=5000,0,50,-50,-50,50,20
200503,6020005,阳光男孩,3,Hair_Common_F_FaSe_Hong,2060003=1|1290052=1,101=5000,0,50,50,-50,50,-20
200504,6020005,阳光男孩,4,Hair_Common_F_FaSe_JinHe,2060004=1|2060002=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,-50,20
200505,6020005,阳光男孩,5,Hair_Common_F_FaSe_Zi,2060007=1|1290052=1,101=5000,0,-50,50,-50,-50,40
200506,6020005,阳光男孩,6,Hair_Common_F_FaSe_NaiNaiHui,2060002=1|2060001=1|1290049=1,101=5000,0,50,-50,50,50,-20
200507,6020005,阳光男孩,7,Hair_Common_M_DF01_Hei,2060002=1|1290052=1,101=5000,0,-50,50,-50,-50,60
200508,6020005,阳光男孩,8,Hair_Common_F_FaSe_YaMaJin,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,50,40
200509,6020005,阳光男孩,9,Hair_Common_M_DFciwei02_QianLv,2060005=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,-50,-50,-20
200510,6020005,阳光男孩,10,Hair_Common_F_FaSe_He,2060004=1|2060002=1|2060003=1|1290049=1,101=5000,0,-50,50,50,-50,40
200511,6020005,阳光男孩,11,Hair_Common_F_FaSe_QianLan,2060005=1|2060001=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
200512,6020005,阳光男孩,12,Hair_Common_F_FaSe_Cheng,2060003=1|2060004=1|2060004=1|1290049=1,101=10000,0,50,50,-50,50,40
200513,6020005,阳光男孩,13,Hair_Common_F_FaSe_Feng,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
200514,6020005,阳光男孩,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
200515,6020005,阳光男孩,15,Hair_Common_F_FaSe_Bai,2060001=1|1290052=1,101=5000,0,-50,-50,50,-50,-60
200516,6020005,阳光男孩,16,Hair_Common_F_FaSe_Lan,2060005=1|1290052=1,101=5000,0,-50,50,-50,-50,20
201101,6020011,流浪诗人,1,Hair_Common_F_FaSe_Huang,2060004=1|1290052=1,101=5000,0,50,-50,50,50,-20
201102,6020011,流浪诗人,2,Hair_Common_F_FaSe_Lv,2060006=1|1290052=1,101=5000,0,50,-50,-50,50,20
201103,6020011,流浪诗人,3,Hair_Common_F_FaSe_Hong,2060003=1|1290052=1,101=5000,0,50,50,-50,50,-20
201104,6020011,流浪诗人,4,Hair_Common_F_FaSe_JinHe,2060004=1|2060002=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,-50,20
201105,6020011,流浪诗人,5,Hair_Common_F_FaSe_Zi,2060007=1|1290052=1,101=5000,0,-50,50,-50,-50,40
201106,6020011,流浪诗人,6,Hair_Common_F_FaSe_NaiNaiHui,2060002=1|2060001=1|1290049=1,101=5000,0,50,-50,50,50,-20
201107,6020011,流浪诗人,7,Hair_Common_M_DF01_Hei,2060002=1|1290052=1,101=5000,0,-50,50,-50,-50,60
201108,6020011,流浪诗人,8,Hair_Common_F_FaSe_YaMaJin,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,50,40
201109,6020011,流浪诗人,9,Hair_Common_M_DFciwei02_QianLv,2060005=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,-50,-50,-20
201110,6020011,流浪诗人,10,Hair_Common_F_FaSe_He,2060004=1|2060002=1|2060003=1|1290049=1,101=5000,0,-50,50,50,-50,40
201111,6020011,流浪诗人,11,Hair_Common_F_FaSe_QianLan,2060005=1|2060001=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201112,6020011,流浪诗人,12,Hair_Common_F_FaSe_Cheng,2060003=1|2060004=1|2060004=1|1290049=1,101=10000,0,50,50,-50,50,40
201113,6020011,流浪诗人,13,Hair_Common_F_FaSe_Feng,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201114,6020011,流浪诗人,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
201115,6020011,流浪诗人,15,Hair_Common_F_FaSe_Bai,2060001=1|1290052=1,101=5000,0,-50,-50,50,-50,-60
201116,6020011,流浪诗人,16,Hair_Common_F_FaSe_Lan,2060005=1|1290052=1,101=5000,0,-50,50,-50,-50,20
201201,6020012,运动少年,1,Hair_Common_F_FaSe_Huang,2060004=1|1290052=1,101=5000,0,50,-50,50,50,-20
201202,6020012,运动少年,2,Hair_Common_F_FaSe_Lv,2060006=1|1290052=1,101=5000,0,50,-50,-50,50,20
201203,6020012,运动少年,3,Hair_Common_F_FaSe_Hong,2060003=1|1290052=1,101=5000,0,50,50,-50,50,-20
201204,6020012,运动少年,4,Hair_Common_F_FaSe_JinHe,2060004=1|2060002=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,-50,20
201205,6020012,运动少年,5,Hair_Common_F_FaSe_Zi,2060007=1|1290052=1,101=5000,0,-50,50,-50,-50,40
201206,6020012,运动少年,6,Hair_Common_F_FaSe_NaiNaiHui,2060002=1|2060001=1|1290049=1,101=5000,0,50,-50,50,50,-20
201207,6020012,运动少年,7,Hair_Common_M_DF01_Hei,2060002=1|1290052=1,101=5000,0,-50,50,-50,-50,60
201208,6020012,运动少年,8,Hair_Common_F_FaSe_YaMaJin,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,50,40
201209,6020012,运动少年,9,Hair_Common_M_DFciwei02_QianLv,2060005=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,-50,-50,-20
201210,6020012,运动少年,10,Hair_Common_F_FaSe_He,2060004=1|2060002=1|2060003=1|1290049=1,101=5000,0,-50,50,50,-50,40
201211,6020012,运动少年,11,Hair_Common_F_FaSe_QianLan,2060005=1|2060001=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201212,6020012,运动少年,12,Hair_Common_F_FaSe_Cheng,2060003=1|2060004=1|2060004=1|1290049=1,101=10000,0,50,50,-50,50,40
201213,6020012,运动少年,13,Hair_Common_F_FaSe_Feng,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201214,6020012,运动少年,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
201215,6020012,运动少年,15,Hair_Common_F_FaSe_Bai,2060001=1|1290052=1,101=5000,0,-50,-50,50,-50,-60
201216,6020012,运动少年,16,Hair_Common_F_FaSe_Lan,2060005=1|1290052=1,101=5000,0,-50,50,-50,-50,20
201301,6020013,花轮头,1,Hair_Common_F_FaSe_Huang,2060004=1|1290052=1,101=5000,0,50,-50,50,50,-20
201302,6020013,花轮头,2,Hair_Common_F_FaSe_Lv,2060006=1|1290052=1,101=5000,0,50,-50,-50,50,20
201303,6020013,花轮头,3,Hair_Common_F_FaSe_Hong,2060003=1|1290052=1,101=5000,0,50,50,-50,50,-20
201304,6020013,花轮头,4,Hair_Common_F_FaSe_JinHe,2060004=1|2060002=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,-50,20
201305,6020013,花轮头,5,Hair_Common_F_FaSe_Zi,2060007=1|1290052=1,101=5000,0,-50,50,-50,-50,40
201306,6020013,花轮头,6,Hair_Common_F_FaSe_NaiNaiHui,2060002=1|2060001=1|1290049=1,101=5000,0,50,-50,50,50,-20
201307,6020013,花轮头,7,Hair_Common_M_DF01_Hei,2060002=1|1290052=1,101=5000,0,-50,50,-50,-50,60
201308,6020013,花轮头,8,Hair_Common_F_FaSe_YaMaJin,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,50,40
201309,6020013,花轮头,9,Hair_Common_M_DFciwei02_QianLv,2060005=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,-50,-50,-20
201310,6020013,花轮头,10,Hair_Common_F_FaSe_He,2060004=1|2060002=1|2060003=1|1290049=1,101=5000,0,-50,50,50,-50,40
201311,6020013,花轮头,11,Hair_Common_F_FaSe_QianLan,2060005=1|2060001=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201312,6020013,花轮头,12,Hair_Common_F_FaSe_Cheng,2060003=1|2060004=1|2060004=1|1290049=1,101=10000,0,50,50,-50,50,40
201313,6020013,花轮头,13,Hair_Common_F_FaSe_Feng,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201314,6020013,花轮头,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
201315,6020013,花轮头,15,Hair_Common_F_FaSe_Bai,2060001=1|1290052=1,101=5000,0,-50,-50,50,-50,-60
201316,6020013,花轮头,16,Hair_Common_F_FaSe_Lan,2060005=1|1290052=1,101=5000,0,-50,50,-50,-50,20
201401,6020014,旋风,1,Hair_Common_F_FaSe_Huang,2060004=1|1290052=1,101=5000,0,50,-50,50,50,-20
201402,6020014,旋风,2,Hair_Common_F_FaSe_Lv,2060006=1|1290052=1,101=5000,0,50,-50,-50,50,20
201403,6020014,旋风,3,Hair_Common_F_FaSe_Hong,2060003=1|1290052=1,101=5000,0,50,50,-50,50,-20
201404,6020014,旋风,4,Hair_Common_F_FaSe_JinHe,2060004=1|2060002=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,-50,20
201405,6020014,旋风,5,Hair_Common_F_FaSe_Zi,2060007=1|1290052=1,101=5000,0,-50,50,-50,-50,40
201406,6020014,旋风,6,Hair_Common_F_FaSe_NaiNaiHui,2060002=1|2060001=1|1290049=1,101=5000,0,50,-50,50,50,-20
201407,6020014,旋风,7,Hair_Common_M_DF01_Hei,2060002=1|1290052=1,101=5000,0,-50,50,-50,-50,60
201408,6020014,旋风,8,Hair_Common_F_FaSe_YaMaJin,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,50,40
201409,6020014,旋风,9,Hair_Common_M_DFciwei02_QianLv,2060005=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,-50,-50,-20
201410,6020014,旋风,10,Hair_Common_F_FaSe_He,2060004=1|2060002=1|2060003=1|1290049=1,101=5000,0,-50,50,50,-50,40
201411,6020014,旋风,11,Hair_Common_F_FaSe_QianLan,2060005=1|2060001=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201412,6020014,旋风,12,Hair_Common_F_FaSe_Cheng,2060003=1|2060004=1|2060004=1|1290049=1,101=10000,0,50,50,-50,50,40
201413,6020014,旋风,13,Hair_Common_F_FaSe_Feng,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201414,6020014,旋风,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
201415,6020014,旋风,15,Hair_Common_F_FaSe_Bai,2060001=1|1290052=1,101=5000,0,-50,-50,50,-50,-60
201416,6020014,旋风,16,Hair_Common_F_FaSe_Lan,2060005=1|1290052=1,101=5000,0,-50,50,-50,-50,20
201501,6020015,暖男,1,Hair_Common_F_FaSe_Huang,2060004=1|1290052=1,101=5000,0,50,-50,50,50,-20
201502,6020015,暖男,2,Hair_Common_F_FaSe_Lv,2060006=1|1290052=1,101=5000,0,50,-50,-50,50,20
201503,6020015,暖男,3,Hair_Common_F_FaSe_Hong,2060003=1|1290052=1,101=5000,0,50,50,-50,50,-20
201504,6020015,暖男,4,Hair_Common_F_FaSe_JinHe,2060004=1|2060002=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,-50,20
201505,6020015,暖男,5,Hair_Common_F_FaSe_Zi,2060007=1|1290052=1,101=5000,0,-50,50,-50,-50,40
201506,6020015,暖男,6,Hair_Common_F_FaSe_NaiNaiHui,2060002=1|2060001=1|1290049=1,101=5000,0,50,-50,50,50,-20
201507,6020015,暖男,7,Hair_Common_M_DF01_Hei,2060002=1|1290052=1,101=5000,0,-50,50,-50,-50,60
201508,6020015,暖男,8,Hair_Common_F_FaSe_YaMaJin,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,50,40
201509,6020015,暖男,9,Hair_Common_M_DFciwei02_QianLv,2060005=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,-50,-50,-20
201510,6020015,暖男,10,Hair_Common_F_FaSe_He,2060004=1|2060002=1|2060003=1|1290049=1,101=5000,0,-50,50,50,-50,40
201511,6020015,暖男,11,Hair_Common_F_FaSe_QianLan,2060005=1|2060001=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201512,6020015,暖男,12,Hair_Common_F_FaSe_Cheng,2060003=1|2060004=1|2060004=1|1290049=1,101=10000,0,50,50,-50,50,40
201513,6020015,暖男,13,Hair_Common_F_FaSe_Feng,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201514,6020015,暖男,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
201515,6020015,暖男,15,Hair_Common_F_FaSe_Bai,2060001=1|1290052=1,101=5000,0,-50,-50,50,-50,-60
201516,6020015,暖男,16,Hair_Common_F_FaSe_Lan,2060005=1|1290052=1,101=5000,0,-50,50,-50,-50,20
201601,6020016,万事屋阿银,1,Hair_Common_F_FaSe_Huang,2060004=1|1290052=1,101=5000,0,50,-50,50,50,-20
201602,6020016,万事屋阿银,2,Hair_Common_F_FaSe_Lv,2060006=1|1290052=1,101=5000,0,50,-50,-50,50,20
201603,6020016,万事屋阿银,3,Hair_Common_F_FaSe_Hong,2060003=1|1290052=1,101=5000,0,50,50,-50,50,-20
201604,6020016,万事屋阿银,4,Hair_Common_F_FaSe_JinHe,2060004=1|2060002=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,-50,20
201605,6020016,万事屋阿银,5,Hair_Common_F_FaSe_Zi,2060007=1|1290052=1,101=5000,0,-50,50,-50,-50,40
201606,6020016,万事屋阿银,6,Hair_Common_F_FaSe_NaiNaiHui,2060002=1|2060001=1|1290049=1,101=5000,0,50,-50,50,50,-20
201607,6020016,万事屋阿银,7,Hair_Common_M_DF01_Hei,2060002=1|1290052=1,101=5000,0,-50,50,-50,-50,60
201608,6020016,万事屋阿银,8,Hair_Common_F_FaSe_YaMaJin,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,50,40
201609,6020016,万事屋阿银,9,Hair_Common_M_DFciwei02_QianLv,2060005=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,-50,-50,-20
201610,6020016,万事屋阿银,10,Hair_Common_F_FaSe_He,2060004=1|2060002=1|2060003=1|1290049=1,101=5000,0,-50,50,50,-50,40
201611,6020016,万事屋阿银,11,Hair_Common_F_FaSe_QianLan,2060005=1|2060001=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201612,6020016,万事屋阿银,12,Hair_Common_F_FaSe_Cheng,2060003=1|2060004=1|2060004=1|1290049=1,101=10000,0,50,50,-50,50,40
201613,6020016,万事屋阿银,13,Hair_Common_F_FaSe_Feng,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201614,6020016,万事屋阿银,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
201615,6020016,万事屋阿银,15,Hair_Common_F_FaSe_Bai,2060001=1|1290052=1,101=5000,0,-50,-50,50,-50,-60
201616,6020016,万事屋阿银,16,Hair_Common_F_FaSe_Lan,2060005=1|1290052=1,101=5000,0,-50,50,-50,-50,20
201701,6020017,风暴,1,Hair_Common_F_FaSe_Huang,2060004=1|1290052=1,101=5000,0,50,-50,50,50,-20
201702,6020017,风暴,2,Hair_Common_F_FaSe_Lv,2060006=1|1290052=1,101=5000,0,50,-50,-50,50,20
201703,6020017,风暴,3,Hair_Common_F_FaSe_Hong,2060003=1|1290052=1,101=5000,0,50,50,-50,50,-20
201704,6020017,风暴,4,Hair_Common_F_FaSe_JinHe,2060004=1|2060002=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,-50,20
201705,6020017,风暴,5,Hair_Common_F_FaSe_Zi,2060007=1|1290052=1,101=5000,0,-50,50,-50,-50,40
201706,6020017,风暴,6,Hair_Common_F_FaSe_NaiNaiHui,2060002=1|2060001=1|1290049=1,101=5000,0,50,-50,50,50,-20
201707,6020017,风暴,7,Hair_Common_M_DF01_Hei,2060002=1|1290052=1,101=5000,0,-50,50,-50,-50,60
201708,6020017,风暴,8,Hair_Common_F_FaSe_YaMaJin,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,-50,-50,50,50,40
201709,6020017,风暴,9,Hair_Common_M_DFciwei02_QianLv,2060005=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,-50,-50,-20
201710,6020017,风暴,10,Hair_Common_F_FaSe_He,2060004=1|2060002=1|2060003=1|1290049=1,101=5000,0,-50,50,50,-50,40
201711,6020017,风暴,11,Hair_Common_F_FaSe_QianLan,2060005=1|2060001=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201712,6020017,风暴,12,Hair_Common_F_FaSe_Cheng,2060003=1|2060004=1|2060004=1|1290049=1,101=10000,0,50,50,-50,50,40
201713,6020017,风暴,13,Hair_Common_F_FaSe_Feng,2060003=1|2060004=1|2060001=1|1290049=1,101=10000,0,50,-50,50,50,-40
201714,6020017,风暴,14,Hair_Common_M_DFciwei02_QianZi,2060003=1|2060005=1|2060001=1|1290049=1,101=10000,0,-50,50,50,-50,-20
