ItemId,ItemName,ItemFunction,ItemFunctionValue,NeedConfirm,ItemTargets,ItemCD,ItemCDGroup,ItemEffect,EffectPos,ItemAction,ItemLimitID,AudioID,ArrowDesc,Prompt,Payment,Achieving,AchievingShow,ItemNoticeLimit,ItemBatchBtn,NotConsume,LocalizationArea
90820,100级宠物稀有装备自选箱,7,9110280|1,0,1,0,0,,,,,,,,,,,,,,
90830,110级宠物稀有装备自选箱,7,9110290|1,0,1,0,0,,,,,,,,,,,,,,
90840,70级宠物传说装备自选箱,7,9110300|1,0,1,0,0,,,,,,,,,,,,,,
90850,85级宠物传说装备自选箱,7,9110310|1,0,1,0,0,,,,,,,,,,,,,,
90860,100级宠物传说装备自选箱,7,9110320|1,0,1,0,0,,,,,,,,,,,,,,
90870,110级宠物传说装备自选箱,7,9110330|1,0,1,0,0,,,,,,,,,,,,,,
90880,40级宠物普通装备自选箱,5,9110340,0,1,0,0,,,,,,,,,,,,,,
90890,70级宠物普通装备随机箱,5,9110350,0,1,0,0,,,,,,,,,,,,,,
90900,85级宠物普通装备随机箱,5,9110360,0,1,0,0,,,,,,,,,,,,,,
90910,100级宠物普通装备随机箱,5,9110370,0,1,0,0,,,,,,,,,,,,,,
90920,110级宠物普通装备随机箱,5,9110380,0,1,0,0,,,,,,,,,,,,,,
90930,40级宠物普通装备随机箱,5,9110390,0,1,0,0,,,,,,,,,,,,,,
90940,70级宠物普通装备随机箱,5,9110400,0,1,0,0,,,,,,,,,,,,,,
90950,85级宠物普通装备随机箱,5,9110410,0,1,0,0,,,,,,,,,,,,,,
90960,100级宠物普通装备随机箱,5,9110420,0,1,0,0,,,,,,,,,,,,,,
90970,110级宠物普通装备随机箱,5,9110430,0,1,0,0,,,,,,,,,,,,,,
90980,70级宠物普通装备随机箱,5,9110440,0,1,0,0,,,,,,,,,,,,,,
90990,85级宠物普通装备随机箱,5,9110450,0,1,0,0,,,,,,,,,,,,,,
91000,100级宠物普通装备随机箱,5,9110460,0,1,0,0,,,,,,,,,,,,,,
91010,110级宠物普通装备随机箱,5,9110470,0,1,0,0,,,,,,,,,,,,,,
200010,测试宠物装备箱,5,9100010,0,1,0,0,,,,,,,,,,,,1,,
200020,测试宠物蛋集合,5,9100020,0,1,0,0,,,,,,,,,,,,,,
200030,测试宠物技能书集合,5,9100140,0,1,0,0,,,,,,,,,,,,,,
200040,测试宠物装备集合,5,9100150,0,1,0,0,,,,,,,,,,,,,,
210000,琥珀结晶体,5,9100030,0,1,0,0,,,,,,,,,,,,1,,
2010001,红色药水,1,201000101,0,1,2,503,,,,502=0|510=0,8,,,,,,,,,
2010002,赤色药水,1,201000201,0,1,2,503,,,,502=0|510=0,,,,,,,,,,
2010003,黄色药水,1,201000301,0,1,2,503,,,,502=0|510=0,,,,,,,,,,
2010004,白色药水,1,201000401,0,1,2,503,,,,502=0|510=0,,,,,,,,,,
2010005,蓝色药水,1,201000501,0,1,2,507,,,,502=0|510=0,9,,,,,,,,,
2010006,反红药水,1,201000601,0,1,0,0,,,,,,,,,,,,,,
2010007,反蓝药水,1,201000701,0,1,0,0,,,,,,,,,,,,,,
2010008,天地树果实,1,201000801,0,1,5,0,,,,505=0|517=0|522=0,,,,,,,,,,
2010015,蓝色药水,1,201000901,0,1,2,507,,,,502=0|510=0,9,,,,,,,,,
2010017,女神之泪,1,201001001,0,1,5,0,,,,502=0|510=0,,,,,,,,,,
2010018,上线纪念牛排,1,201000301,0,1,2,503,,,,502=0|510=0,9,,,,,,,,,
2010019,上线纪念布丁,1,201000501,0,1,2,507,,,,502=0|510=0,9,,,,,,,,,
2010020,爱如初见牛排,1,201000301,0,1,2,503,,,,502=0|510=0,9,,,,,,,,,
2010021,爱如初见布丁,1,201000501,0,1,2,507,,,,502=0|510=0,9,,,,,,,,,
2010022,豪华版爱如初见牛排,1,201000401,0,1,2,503,,,,502=0|510=0,9,,,,,,,,,
2010023,豪华版爱如初见布丁,1,201000901,0,1,2,507,,,,502=0|510=0,9,,,,,,,,,
2023003,职业经验心得,5,2100010,1,1,1,0,,,,506=0,,,,,,,,,,
2023004,角色经验心得,5,2100020,1,1,1,0,,,,504=0|501=0,,,,,,,,,,
2031002,蝴蝶翅膀,3,0,0,1,1,0,,,,501=0|502=0|25=0|509=0|28=0|19=0|14=2|21=2|22=2|511=0|508=0|520=0|522=0|23=0,11,,,,,,,,,
2031003,苍蝇翅膀,1,100501,0,1,1,0,,,,501=0|502=0|25=0|509=0|28=0|19=0|14=2|21=2|22=2|511=0|512=0|514=0|516=0|518=0|520=0|522=0|23=0,10,,,,,,,,,
2033001,枯树枝,1,902301,0,1,5,0,,,,503=0|507=0|2=0|19=0|22=0,,,1=11001,,,,,,,
2033002,血迹树枝,1,902401,0,1,5,0,,,,503=0|507=0|2=0|19=0|22=0,,,1=11002,,,,,,,
2033003,晶化树枝,1,902401,0,1,5,0,,,,503=0|507=0|2=0|19=0|22=0,,,1=11002,,,,,,,
2034006,奇异金属,10,7|3696,,,,,,,,,,,,,,,,,,
2034027,普隆德拉头饰币礼盒,5,8302130,0,1,0,0,,,,,,,,,,,,,,
2034028,吉芬头饰币礼盒,5,8302140,0,1,0,0,,,,,,,,,,,,,,
2034050,65级奇异金属随机包,5,8090250,0,1,0,0,,,,,,,,,,,,,,
2034051,85级奇异金属随机包,5,8090260,0,1,0,0,,,,,,,,,,,,,,
2034052,95级奇异金属随机包,5,8090270,0,1,0,0,,,,,,,,,,,,,,
2034020,65级奇异宝石,10,7|3696,,,,,,,,,,,,,,,,,,
2034021,85级奇异宝石,10,7|3696,,,,,,,,,,,,,,,,,,
2034022,95级奇异宝石,10,7|3696,,,,,,,,,,,,,,,,,,
2034029,105级奇异宝石,10,7|3696,,,,,,,,,,,,,,,,,,
2034200,神话古币,10,7|61976,0,1,0,0,,,,,,,,,,,,,,
2034202,奇怪的时装币,10,7|1026,,,,,,,,,,,,,,,,,,
2043003,上线纪念材料礼盒,7,2043010|1,0,1,0,0,,,,,,,,,,,,1,,
2050005,公会狩猎礼盒,5,2100030,0,1,0,0,,,,,,,,,,,,,,
2050006,封印碎片,5,2100040,0,1,0,0,,,,,,,,,,,,,,
2050007,公会红包,18,2090032,0,1,0,0,,,,,,,,,,,,,,
2050015,彩虹印记,23,0,0,1,0,0,,,,,,,,,,,,,,
2080017,松饼全家福礼盒,5,8200370,0,1,0,0,,,,,,,,,,,,,,
2080018,随机松饼礼盒,5,8200380,0,1,0,0,,,,,,,,,,,,,,
2080019,豪华秘制配方礼盒,5,8200390,0,1,0,0,,,,,,,,,,,,,,
2080020,随机秘制配方礼盒,5,8200400,0,1,0,0,,,,,,,,,,,,,,
2080031,万圣节小礼盒,5,8210010,0,1,0,0,,,,,,,,,,,,,,
2080032,万圣节精致礼盒,5,8210020,0,1,0,0,,,,,,,,,,,-1,,,
2080033,小朋友的馈赠礼盒,5,8210030,0,1,0,0,,,,,,,,,,,,,,
2080034,万圣夜闪耀礼盒,5,8210040,0,1,0,0,,,,,,,,,,,,,,
2080035,万圣夜鼓励礼盒,5,8210050,0,1,0,0,,,,,,,,,,,,,,
2080036,2020万圣夜纪念礼盒,5,8210060,0,1,0,0,,,,,,,,,,,,,,
2090002,神秘箱子,5,2100090,0,1,0,0,,,,,,,,,,,,,,
2090001,MVP参与礼包,5,2100100,0,1,0,0,,,,,,,,,,,,,,
2090003,老旧卡册,5,2100110,0,1,0,0,,,,,,,,,1,,,,,
2090004,魔力卡册,5,2100120,0,1,0,0,,,,,,,,,,,,,,
2090005,童话世界时装礼盒,5,2100190,0,1,0,0,,,,,,,,,,,,,,
2090006,水手服时装礼盒,5,2100200,0,1,0,0,,,,,,,,,,,,,,
2090007,执事女仆时装礼盒,5,2100210,0,1,0,0,,,,,,,,,,,,,,
2090008,一箱铜币,5,2100220,0,1,0,0,,,,,,,,,,,,,,
2090011,头饰自选包,7,2100330|2,0,1,0,0,,,,,,,,,,,,,,
2090097,MVP参与礼包测试高级,5,5221030,0,1,0,0,,,,,,,,,,,,,,
2090098,MVP参与礼包测试中级,5,5221040,0,1,0,0,,,,,,,,,,,,,,
2090099,MVP参与礼包测试低级,5,5221050,0,1,0,0,,,,,,,,,,,,,,
2091029,吹牛任务头饰自选包,7,2101400|2,0,1,0,0,,,,,,,,,,,,,,
2091030,舞会任务头饰自选包,7,2101410|2,0,1,0,0,,,,,,,,,,,,,,
2091031,护送任务头饰自选包,7,2101420|2,0,1,0,0,,,,,,,,,,,,,,
2091032,伊斯鲁德挑战头饰自选包,7,2101430|2,0,1,0,0,,,,,,,,,,,,,,
2091060,天使波利参与礼包,5,5220010,0,1,0,0,,,,,,,,,,,,,,
2091061,黄金虫参与礼包,5,5220020,0,1,0,0,,,,,,,,,,,,,,
2091062,蚁后参与礼包,5,5220030,0,1,0,0,,,,,,,,,,,,,,
2091063,哥布灵首领参与礼包,5,5220040,0,1,0,0,,,,,,,,,,,,,,
2091064,海盗之王参与礼包,5,5220050,0,1,0,0,,,,,,,,,,,,,,
2091065,德古拉男爵参与礼包,5,5220060,0,1,0,0,,,,,,,,,,,,,,
2091066,月夜猫参与礼包,5,5220070,0,1,0,0,,,,,,,,,,,,,,
2091067,法老王参与礼包,5,5220080,0,1,0,0,,,,,,,,,,,,,,
2091068,恶魔波利参与礼包,5,5220090,0,1,0,0,,,,,,,,,,,,,,
2091069,兽人英雄参与礼包,5,5220100,0,1,0,0,,,,,,,,,,,,,,
2091070,兽人酋长参与礼包,5,5220110,0,1,0,0,,,,,,,,,,,,,,
2091071,蜂后参与礼包,5,5220120,0,1,0,0,,,,,,,,,,,,,,
2091072,俄塞里斯参与礼包,5,5220130,0,1,0,0,,,,,,,,,,,,,,
2091073,皮里恩参与礼包,5,5220140,0,1,0,0,,,,,,,,,,,,,,
2091074,虎王参与礼包,5,5220150,0,1,0,0,,,,,,,,,,,,,,
2091075,死灵参与礼包,5,5220160,0,1,0,0,,,,,,,,,,,,,,
2091076,巴风特参与礼包,5,5220170,0,1,0,0,,,,,,,,,,,,,,
2091077,天使波利参与礼包,5,5220690,0,1,0,0,,,,,,,,,,,,,,
2091078,黄金虫参与礼包,5,5220700,0,1,0,0,,,,,,,,,,,,,,
2091079,蚁后参与礼包,5,5220710,0,1,0,0,,,,,,,,,,,,,,
2091080,哥布灵首领参与礼包,5,5220720,0,1,0,0,,,,,,,,,,,,,,
2091081,海盗之王参与礼包,5,5220730,0,1,0,0,,,,,,,,,,,,,,
2091082,德古拉男爵参与礼包,5,5220740,0,1,0,0,,,,,,,,,,,,,,
2091083,月夜猫参与礼包,5,5220750,0,1,0,0,,,,,,,,,,,,,,
2091084,法老王参与礼包,5,5220760,0,1,0,0,,,,,,,,,,,,,,
2091085,恶魔波利参与礼包,5,5220770,0,1,0,0,,,,,,,,,,,,,,
2091086,兽人英雄参与礼包,5,5220780,0,1,0,0,,,,,,,,,,,,,,
2091087,兽人酋长参与礼包,5,5220790,0,1,0,0,,,,,,,,,,,,,,
2091088,蜂后参与礼包,5,5220800,0,1,0,0,,,,,,,,,,,,,,
2091089,俄塞里斯参与礼包,5,5220810,0,1,0,0,,,,,,,,,,,,,,
2091090,皮里恩参与礼包,5,5220820,0,1,0,0,,,,,,,,,,,,,,
2091091,虎王参与礼包,5,5220830,0,1,0,0,,,,,,,,,,,,,,
2091092,死灵参与礼包,5,5220840,0,1,0,0,,,,,,,,,,,,,,
2091093,巴风特参与礼包,5,5220850,0,1,0,0,,,,,,,,,,,,,,
2091094,天使波利参与礼包,5,5220860,0,1,0,0,,,,,,,,,,,,,,
2091095,黄金虫参与礼包,5,5220870,0,1,0,0,,,,,,,,,,,,,,
2091096,蚁后参与礼包,5,5220880,0,1,0,0,,,,,,,,,,,,,,
2091097,哥布灵首领参与礼包,5,5220890,0,1,0,0,,,,,,,,,,,,,,
2091098,海盗之王参与礼包,5,5220900,0,1,0,0,,,,,,,,,,,,,,
2091099,德古拉男爵参与礼包,5,5220910,0,1,0,0,,,,,,,,,,,,,,
2091100,月夜猫参与礼包,5,5220920,0,1,0,0,,,,,,,,,,,,,,
2091101,法老王参与礼包,5,5220930,0,1,0,0,,,,,,,,,,,,,,
2091102,恶魔波利参与礼包,5,5220940,0,1,0,0,,,,,,,,,,,,,,
2091103,兽人英雄参与礼包,5,5220950,0,1,0,0,,,,,,,,,,,,,,
2091104,兽人酋长参与礼包,5,5220960,0,1,0,0,,,,,,,,,,,,,,
2091105,蜂后参与礼包,5,5220970,0,1,0,0,,,,,,,,,,,,,,
2091106,俄塞里斯参与礼包,5,5220980,0,1,0,0,,,,,,,,,,,,,,
2091107,皮里恩参与礼包,5,5220990,0,1,0,0,,,,,,,,,,,,,,
2091108,虎王参与礼包,5,5221000,0,1,0,0,,,,,,,,,,,,,,
2091109,死灵参与礼包,5,5221010,0,1,0,0,,,,,,,,,,,,,,
2091110,巴风特参与礼包,5,5221020,0,1,0,0,,,,,,,,,,,,,,
2091320,鹗枭男爵利杰出参与礼包,5,5320010,0,1,0,0,,,,,,,,,,,,,,
2091321,凯美拉杰出参与礼包,5,5320020,0,1,0,0,,,,,,,,,,,,,,
2091322,黑暗之王杰出参与礼包,5,5320030,0,1,0,0,,,,,,,,,,,,,,
2091323,血腥骑士杰出参与礼包,5,5320040,0,1,0,0,,,,,,,,,,,,,,
2091324,鹗枭男爵卓越参与礼包,5,5310010,0,1,0,0,,,,,,,,,,,,,,
2091325,凯美拉卓越参与礼包,5,5310020,0,1,0,0,,,,,,,,,,,,,,
2091326,黑暗之王卓越参与礼包,5,5310030,0,1,0,0,,,,,,,,,,,,,,
2091327,血腥骑士卓越参与礼包,5,5310040,0,1,0,0,,,,,,,,,,,,,,
2091328,鹗枭男爵普通参与礼包,5,5330010,0,1,0,0,,,,,,,,,,,,,,
2091329,凯美拉普通参与礼包,5,5330020,0,1,0,0,,,,,,,,,,,,,,
2091330,黑暗之王普通参与礼包,5,5330030,0,1,0,0,,,,,,,,,,,,,,
2091331,血腥骑士普通参与礼包,5,5330040,0,1,0,0,,,,,,,,,,,,,,
2091500,冰雪节恶魔转盘抽奖券,6,5500010,0,1,0,0,,,,,,,,,,,-1,,,
2091502,羽绒服时装礼盒,5,5500020,0,1,0,0,,,,,,,,,1,,-1,,,
2091503,冰雪小礼盒,5,5500030,0,1,0,0,,,,,,,,,,,-1,1,,
2091504,冰雪大礼盒,5,5500040,0,1,0,0,,,,,,,,,,,-1,1,,
2091505,彩虹护目镜碎片,10,7|3002,0,1,0,0,,,,,,,,,,,,,,
2091506,A型彩虹护目镜碎片袋,5,5500050,0,1,0,0,,,,,,,,,1,2091505,-1,,,
2091507,B型彩虹护目镜碎片袋,5,5500060,0,1,0,0,,,,,,,,,1,2091505,-1,,,
2091508,95级1洞饰品自选箱,7,5500070|1,0,1,0,0,,,,,,,,,,,-1,,,
2091509,微型冰雪券礼盒,5,5500081,0,1,0,0,,,,,,,,,1,2035006,-1,1,,
2091510,小型冰雪券礼盒,5,5500082,0,1,0,0,,,,,,,,,1,2035006,-1,1,,
2091511,中型冰雪券礼盒,5,5500083,0,1,0,0,,,,,,,,,1,2035006,-1,1,,
2091512,大型冰雪券礼盒,5,5500084,0,1,0,0,,,,,,,,,1,2035006,-1,1,,
2091513,超级冰雪券礼盒,5,5500085,0,1,0,0,,,,,,,,,1,2035006,-1,1,,
2091514,VIP时装礼盒,5,5500090,0,1,0,0,,,,,,,,,,,,,,
2091517,古城卡片自选包（30天）,7,5500120|1,0,1,0,0,,,,,,,,,,,,,,
2091518,紫色卡片宝石,10,7|1256,0,1,0,0,,,,,,,,,,,,,,
2061520,一颗小星球,5,5500100,0,1,0,0,,,,,,,,,1,2035008,-1,1,,
2091521,两颗小星球,5,5500101,0,1,0,0,,,,,,,,,1,2035008,-1,1,,
2121522,三颗小星球,5,5500102,0,1,0,0,,,,,,,,,1,2035008,-1,1,,
2151523,五颗小星球,5,5500103,0,1,0,0,,,,,,,,,1,2035008,-1,1,,
2151530,莫拉硬币升级箱Ⅰ,5,5500110,1,1,0,0,,,,,,,,,,,,,,
2151531,莫拉硬币升级箱Ⅱ,5,5500111,1,1,0,0,,,,,,,,,,,,,,
2151532,莫拉硬币升级箱Ⅲ,5,5500112,0,1,0,0,,,,,,,,,,,,,,
2151533,崩裂迪齿轮升级箱Ⅰ,5,5500116,1,1,0,0,,,,,,,,,,,-1,,,
2151534,崩裂迪齿轮升级箱Ⅱ,5,5500117,1,1,0,0,,,,,,,,,,,-1,,,
2151535,崩裂迪齿轮升级箱Ⅲ,5,5500118,0,1,0,0,,,,,,,,,,,-1,,,
2151536,星星棒嘴饰魔法石,5,5500130,0,1,0,0,,,,,,,,,1,1090062,1090062,,,
2151537,95级高级饰品自选箱,7,5500140|1,0,1,0,0,,,,,,,,,,,,,,
2091540,心心相印头饰礼盒,5,5500150,0,1,0,0,,,,,,,,,1,1070195,,,,
2091541,小型染色剂礼盒,5,5500160,0,1,0,0,,,,,,,,,,,-1,,,
2091542,大型染色剂礼盒,5,5500170,0,1,0,0,,,,,,,,,,,-1,,,
2091543,大型自定义成长礼盒,5,5500180,0,1,0,0,,,,,,,,,,,-1,,,
2091544,小型自定义成长礼盒,5,5500190,0,1,0,0,,,,,,,,,,,-1,,,
2091545,装备增强自选礼盒,7,5500200|1,0,1,0,0,,,,,,,,,,,-1,,,
2091546,保护锁定自选礼盒,7,5500210|1,0,1,0,0,,,,,,,,,,,-1,,,
2091547,珍惜道具自选礼盒,7,5500220|1,0,1,0,0,,,,,,,,,,,-1,,,
2091548,强力时效自选礼盒,7,5500230|1,0,1,0,0,,,,,,,,,,,-1,,,
2091549,小型炼金加速礼盒,5,5500240,0,1,0,0,,,,,,,,,,,-1,,,
2091550,中型炼金加速礼盒,5,5500250,0,1,0,0,,,,,,,,,,,-1,,,
2091551,齿轮加速成长礼盒,5,5500260,0,1,0,0,,,,,,,,,,,-1,,,
2091552,卡片饰品加速礼盒,5,5500270,0,1,0,0,,,,,,,,,,,-1,,,
2091554,小型炼金加速礼盒,5,5500240,0,1,0,0,,,,,,,,,,,-1,,,
2091555,中型炼金加速礼盒,5,5500250,0,1,0,0,,,,,,,,,,,-1,,,
2091556,C型绑定图纸自选包,7,5500252|1,0,1,0,0,,,,,,,,,,,-1,,,
2091557,D型绑定图纸自选包,7,5500253|1,0,1,0,0,,,,,,,,,,,-1,,,
2091558,E型绑定图纸自选包,7,5500254|1,0,1,0,0,,,,,,,,,,,-1,,,
2151538,装备打造升级箱Ⅰ,7,5500280|1,0,1,0,0,,,,,,,,,,,-1,,,
2151539,装备打造升级箱Ⅱ,7,5500290|1,0,1,0,0,,,,,,,,,,,-1,,,
2151540,装备打造升级箱Ⅲ,7,5500300|1,0,1,0,0,,,,,,,,,,,-1,,,
2151541,蝴蝶之吻灵魂碎片,5,5500310,0,1,0,0,,,,,,,,,1,1080084,1080084,1,,8
2151542,一颗幸运草,5,5500320,0,1,0,0,,,,,,,,,1,2035010,-1,,,
2151543,两颗幸运草,5,5500330,0,1,0,0,,,,,,,,,1,2035010,-1,,,
2151544,三颗幸运草,5,5500340,0,1,0,0,,,,,,,,,1,2035010,-1,,,
2151545,五颗幸运草,5,5500350,0,1,0,0,,,,,,,,,1,2035010,-1,,,
2151546,95级高级二洞饰品自选箱,7,5500360|1,0,1,0,0,,,,,,,,,,,-1,,,
2151547,B型绑定图纸自选包,7,5500370|1,0,1,0,0,,,,,,,,,,,-1,,,
2151548,一颗棒棒糖,5,5500380,0,1,0,0,,,,,,,,,1,2035012,-1,1,,
2151549,两颗棒棒糖,5,5500390,0,1,0,0,,,,,,,,,1,2035012,-1,1,,
2151550,三颗棒棒糖,5,5500400,0,1,0,0,,,,,,,,,1,2035012,-1,1,,
2151551,五颗棒棒糖,5,5500410,0,1,0,0,,,,,,,,,1,2035012,-1,1,,
2010012,加速料理,1,203000701,0,1,0,0,,,,522=0,,,,,,,,,,
2151558,一个灯笼,5,5500420,0,1,0,0,,,,,,,,,1,2035016,-1,1,,
2151559,两个灯笼,5,5500430,0,1,0,0,,,,,,,,,1,2035016,-1,1,,
2151560,三个灯笼,5,5500440,0,1,0,0,,,,,,,,,1,2035016,-1,1,,
2151561,五个灯笼,5,5500450,0,1,0,0,,,,,,,,,1,2035016,-1,1,,
2151562,一片枫叶,5,5500460,0,1,0,0,,,,,,,,,1,2135018,-1,1,,
2151563,两片枫叶,5,5500470,0,1,0,0,,,,,,,,,1,2135018,-1,1,,
2151564,三片枫叶,5,5500480,0,1,0,0,,,,,,,,,1,2135018,-1,1,,
2151565,五片枫叶,5,5500490,0,1,0,0,,,,,,,,,1,2135018,-1,1,,
2151566,一颗爱意糖果,5,5500500,0,1,0,0,,,,,,,,,1,2035019,-1,1,,
2151567,两颗爱意糖果,5,5500510,0,1,0,0,,,,,,,,,1,2035019,-1,1,,
2151568,三颗爱意糖果,5,5500520,0,1,0,0,,,,,,,,,1,2035019,-1,1,,
2151569,五颗爱意糖果,5,5500530,0,1,0,0,,,,,,,,,1,2035019,-1,1,,
2010013,守护者变身药剂,1,3020101,0,1,0,0,,,,1=0|2=0|16=0|19=0|21=0|22=0,,,,,,,,,,
2080121,周年庆感恩大礼包,5,3050620,0,1,0,0,,,,,,,,,,,,,,
2090013,6元充值返利礼包,5,2100420,0,1,0,0,,,,,,,,,,,,,,
2090014,50元充值返利礼包,5,2100430,0,1,0,0,,,,,,,,,,,,,,
2090015,98元充值返利礼包,5,2100440,0,1,0,0,,,,,,,,,,,,,,
2090016,198元充值返利礼包,5,2100450,0,1,0,0,,,,,,,,,,,,,,
2090017,328元充值返利礼包,5,2100460,0,1,0,0,,,,,,,,,,,,,,
2090018,648元充值返利礼包,5,2100470,0,1,0,0,,,,,,,,,,,,,,
2090019,zeny惊喜袋子,5,2100720,0,1,0,0,,,,,,,,,,,,1,,
2090020,铜币惊喜宝箱,5,2100730,0,1,0,0,,,,,,,,,,,,1,,
2090021,铜币惊喜袋子,5,2100740,0,1,0,0,,,,,,,,,,,,1,,
2090022,1星料理自选包,7,2100750|1,0,1,0,0,,,,,,,,,,,,1,,
