Id,CollectName,CollectDes,TransfigureCanCollect,CanShowName,IsTriggerTiming,Type,CollectionType,Param,DefaultEquipID,PresentID,Scale,Sex,CanCollectArea,TaskLimit,LivingSkillLimit,ItemLimit,VitalityLimit,IsInitialize,CollectTime,CollectReminderTxt,CollectingReminderTxt,CollectingAction,CollectingIcon,CameraId,PitchonType,AwardId,AwardId2,CollectNum,CollectCd,PlayerCd,CreateBuff,GuildNotice,GuildSenceAward,MiniMapIcon,AlwaysShowOnMap,CanCollectFx,CanCollectFxHightPercent,CollectFx,CollectFxHightPercent,EndCollectFx,EndCollectFxHightPercent,LuaScript,RoleEffect,RoleEffectBone,CollectionResidentFx,CollectionResidentFxHightPercent,CollectPresent,IndividualCap,,NoInterrupt,BeAttackedBreak,CollectDestination,LocalizationArea
200051,圣典,刺客二转检去教堂偷东西,0,0,,0,,,0,100011,1,0,2,,,,,1,3,偷窃,偷窃中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200052,散发羊味的伤员,骑士二转检查信条,0,0,,0,,,100034,100064,1,0,2,,,,,1,3,救助,救助中,2005,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200053,可疑的宝箱,骑士二转检查信条,0,0,,0,,,0,211008,1,0,5,,,,,1,3,查看,查看中,2005,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200054,求饶,骑士二转检查信条,0,0,,0,,,0,100011,1,0,2,,,,,1,3,卖萌,卖萌中,21,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200055,行礼,骑士二转检查信条,0,0,,0,,,0,100011,1,0,2,,,,,1,3,行礼,行礼中,2017,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200056,宣誓,骑士二转检查信条,0,0,,0,,,0,100011,1,0,2,,,,,1,3,宣誓,宣誓中,2017,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200057,绿色阵眼（弃用,海利翁线石板的追寻者阵眼1,0,0,,0,,,0,100011,1,0,2,,,,,1,3,解谜,解谜中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,3271001=10000,,,,,120030,,,,104,,,,,,,,,,,,,
200058,蓝色阵眼（弃用,海利翁线石板的追寻者阵眼2,0,0,,0,,,0,100011,1,0,2,,,,,1,3,解谜,解谜中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,3271001=10000,,,,,120030,,,,104,,,,,,,,,,,,,
200059,紫色阵眼（弃用,海利翁线石板的追寻者阵眼3,0,0,,0,,,0,100011,1,0,2,,,,,1,3,解谜,解谜中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,3271001=10000,,,,,120030,,,,104,,,,,,,,,,,,,
200060,可疑点,巴雷蒙德线潜入后调查,0,1,,0,,,0,100011,1,0,2,,,,,1,3,调查,调查中,2014,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200061,神秘的封印,巴雷蒙德线第一波封印1,0,1,,0,,,0,210004,0.2,0,2,,,,,1,3,破坏,破坏中,2011,UI_main_Interactive_Mining.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200062,联络印记,巴雷蒙德线联络印记,0,1,,0,,,0,100011,1,0,2,,,,,1,3,调查,调查中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200063,神秘的封印（已弃用）,巴雷蒙德线第一波封印3,0,1,,0,,,0,210004,0.2,0,2,,,,,1,3,破坏,破坏中,2011,UI_main_Interactive_Mining.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200064,巨大的封印,巴雷蒙德线第二波封印3,0,0,,0,,,0,100011,1,0,2,,,,,1,3,破坏,破坏中,2001,UI_main_Interactive_Collect.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200065,神秘的封印,巴雷蒙德线解救巴雷蒙德,0,0,,0,,,0,100011,1,0,2,,,,,1,3,破坏,破坏中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200066,打开密室,主线王室的诅咒（暂时弃用）,0,0,,0,,,0,100011,1,0,2,,,,,1,3,解救,解救中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200067,大王子的遗体,主线王室的诅咒,0,1,,0,,,0,100011,1,0,2,,,,,1,3,观察,观察中,2014,UI_main_Interactive_Fumo.png,71,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200068,灵魂碎片,主线王室的诅咒,0,0,,0,,,0,100011,1,0,2,,,,,1,3,读取,读取中,2007,UI_main_Interactive_Fumo.png,,1,,,1,-1,3,,,,,,120030,,120034,,104,,,,,19,,,,,,,,
200069,高纯蒸馏水,主线刺客信条,0,1,,0,,,0,100011,1,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200070,特制的器皿,主线刺客信条,0,1,,0,,,0,100011,1,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200071,灵魂碎片,主线刺客信条,0,0,,0,,,0,211012,1,0,2,,,,,1,3,读取,读取中,2007,UI_main_Interactive_Fumo.png,,1,,,1,-1,3,,,,,,120030,,120034,,104,,,,,19,,,,,,,,
200072,亚里安的宝石,标识任务1（空）,0,1,,0,,,0,210004,0.2,0,2,,,,,1,3,采集,读取中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200073,亚里安的宝石,标识任务1单色,0,1,,0,,,0,210004,0.2,0,2,,,,,1,3,采集,读取中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200074,亚里安的宝石,标识任务1多色,0,1,,0,,,0,210004,0.2,0,2,,,,,1,3,采集,读取中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200075,跳舞,标识任务1临时,0,0,,0,,,0,100011,1,0,2,,,,,1,3,跳舞,跳舞中,21,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200076,投骰子,标识任务1临时,0,0,,0,,,0,100011,1,0,2,,,,,1,3,投骰子,投掷中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200077,组合碎片,标识任务1临时,0,0,,0,,,0,100011,1,0,2,,,,,1,3,组合,组合中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200078,破旧的武器架,海利翁检查武器架,0,1,,0,,,0,100011,1,0,2,,,,,1,3,检查,检查中,11,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,-0.23=0=0.19=110.99,
200079,断剑,海利翁拔出断剑,0,1,,0,,,0,100011,1,0,2,,,,,1,3,拔剑,拔剑中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,-0.23=0=0.19=110.99,
200080,掉落的羊皮纸,海利翁掉落的羊皮纸,0,1,,0,,,0,200009,1,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200081,对暗号（已废弃）,海利翁与蔬菜小姐对暗号,0,0,,0,,,0,100011,1,0,2,,,,,1,3,对暗号,对暗号,8,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200082,房顶的缺口,海利翁与房顶的缺口,0,0,,0,,,0,100011,1,0,2,,,,,1,3,检查,检查中,11,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200083,石阈（已废弃）,海利翁石阈,0,0,,0,,,0,100011,1,0,2,,,,,1,3,放入,放入中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200084,神秘的石板一,海利翁神秘的石板一,0,0,,0,,,0,550023,0.6,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200085,特殊的衣服,海利翁特殊的衣服,0,0,,0,,,0,550056,1,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200086,特殊的石心,海利翁特殊的石心,0,0,,0,,,0,550036,0.1,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200087,斐扬绿药草,海利翁斐扬绿药草,0,0,,0,,,0,200000,1,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200088,捣碎绿药草（已废弃）,海利翁捣碎绿药草,0,0,,0,,,0,100011,1,0,2,,,,,1,3,捣碎,捣碎中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200089,绘制三角中心点（已废弃）,海利翁绘制三角中心点,0,0,,0,,,0,100011,1,0,2,,,,,1,3,绘制,绘制中,2014,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200090,敲击石像,海利翁敲击石像,0,0,,0,,,0,100011,1,0,2,,,,,1,1,敲击,敲击中,3000,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,0.06=0.00=0.18=357.14,
200091,敲击石像,海利翁敲击石像,0,0,,0,,,0,100011,1,0,2,,,,,1,1,敲击,敲击中,3000,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,0.06=0.00=0.18=357.14,
200092,神秘的石板二,神秘的石板二,0,0,,0,,,0,550023,0.6,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200093,清理药剂,海利翁清理药剂,0,0,,0,,,0,100011,1,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200094,复原石板（已废弃）,海利翁采集17,0,0,,0,,,0,100011,1,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200095,激活阵法,海利翁采集18,0,0,,0,,,0,100011,1,0,2,,,,,1,3,激活,激活中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200096,二王子的遗体,王室诅咒检查遗体补充,0,0,,0,,,0,100011,1,0,2,,,,,1,3,观察,观察中,2014,UI_main_Interactive_Fumo.png,71,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200097,小王子的遗体,王室诅咒检查遗体补充,0,0,,0,,,0,100011,1,0,2,,,,,1,3,观察,观察中,2014,UI_main_Interactive_Fumo.png,71,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200098,绣恩的笔记,海利翁补充1,0,1,,0,,,0,550040,1,0,2,1=12002710,,,,1,3,收集,收集中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200099,海利翁宝石,海利翁补充2,0,1,,0,,,0,550032,1,0,2,1=12002710,,,,1,3,拾起,拾起中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200100,鞠躬,主线王室诅咒鞠躬补充,0,0,,0,,,0,100011,1,0,2,,,,,1,3,鞠躬,鞠躬中,2017,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200101,装饰物一,新手村搬运气球,0,0,,0,2,101000=1,0,200025,1,0,2,,,,,1,3.65,搬动,搬动中,2026,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200102,装饰物二,新手村搬运气球,0,0,,0,2,101001=1,0,200025,1,0,2,,,,,1,3.65,搬动,搬动中,2026,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200103,塞缪尔的记号,妙勒尼线,0,1,,0,,,0,200009,1,0,2,,,,,1,3,拾起,拾起中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200104,疑似教授的笔记,妙勒尼线,0,1,,0,,,0,200009,1,0,2,,,,,1,3,拾起,拾起中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200105,考察痕迹,妙勒尼线,0,1,,0,,,0,100011,1,0,2,,,,,1,3,查看,查看中,11,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200106,考察员的遗体,妙勒尼线,0,0,,0,,,0,100011,1,0,2,,,,,1,3,检查,检查中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200107,考察痕迹,妙勒尼线,0,1,,0,,,0,200009,1,0,2,,,,,1,3,查看,查看中,11,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200108,塞缪尔的记号,妙勒尼线,0,1,,0,,,0,200009,1,0,2,,,,,1,3,拾起,拾起中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200109,被困的雷,斯芬克斯线,0,0,,0,,,0,100011,1,0,2,,,,,1,3,解救,解救中,2014,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,400001,,,,,,,-0.08=-0.08=-1.15=6.71,
200110,受伤的莱尔,探索——迷雾之森,0,0,,0,,,0,100011,1,0,2,,,,,1,3,包扎,包扎中,2001,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200111,石碑,探索——迷雾之森,0,1,,0,,,0,100011,1,0,2,,,,,1,3,拓印,拓印中,2001,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200112,杂乱的脚印,探索——迷雾之森,0,0,,0,,,0,100011,1,0,2,,,,,1,3,查看,查看中,2014,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,,,,,104,,,,,,,,,,,,,
200113,受伤的欧文,探索——密林营救,0,0,,0,,,0,100011,1,0,2,,,,,1,3,探查,探查中,2014,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200114,曼特花,探索——密林营救,0,1,,0,,,0,200000,1,0,2,,,,,1,3,采集,采集中,2001,UI_main_Interactive_Collect.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200115,催眠,探索——童年噩梦,0,0,,0,,,0,100011,1,0,2,,,,,1,3,催眠,催眠中,1106,UI_main_Interactive_Operate.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200116,考察痕迹,妙勒尼线,0,1,,0,,,0,200009,1,0,2,,,,,1,3,查看,查看中,11,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200117,调查,船长的委托,0,0,,0,,,0,100011,1,0,2,,,,,1,3,调查,调查中,11,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200118,取水,船长的委托,0,0,,0,,,0,100011,1,0,2,,,,,1,3,取水,取水中,2001,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200119,触摸,十字军转职,0,0,,0,,,0,100011,1,0,2,,,,,1,3,触摸,触摸中,2007,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200120,十字之毅,十字军转职,0,0,,0,,,0,100011,1,0,2,,,,,1,3,触摸,触摸中,2007,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200121,启动,暴君的列传1，搬运物,0,0,,0,,,0,100011,1,0,2,,,,,1,3,启动,启动中,11,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200122,查看,暴君的列传1，查看壁画,0,0,,0,,,0,100011,1,0,2,,,,,1,3,查看,查看中,11,UI_main_Interactive_Fumo.png,,,,,1,-1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
200123,能量原液,暴君的列传1，搬运物,0,1,,,2,101009=1,0,200028,1,0,2,,,,,1,3.65,搬动,搬运中,2026,UI_main_Interactive_Fumo.png,,,,,-1,1,3,,,,,,120030,,,,104,,,,,,,,,,,,,
