ModeID,Comment,DurationAndWeatherType,WeatherTypeID
1722,哥布林森林_昼2,1=1|1=6|1=10|6=1,26
1723,哥布林森林_昼3,9=1,26
1741,哥布林森林_夕1,3=1,27
1742,哥布林森林_夕2,1=6|1=10|1=1,27
1743,哥布林森林_夕3,2=1|1=6,27
1761,哥布林森林_夜1,4=1|2=6|2=1,28
1762,哥布林森林_夜2,8=1,28
1763,哥布林森林_夜3,1=1|5=6|2=1,28
1801,吉芬北部_晨1,2=1|1=4|1=10,29
1802,吉芬北部_晨2,4=1,29
1803,吉芬北部_晨3,3=4|1=10,29
1821,吉芬北部_昼1,2=1|3=4|1=10|3=1,30
1822,吉芬北部_昼2,4=1|1=4|1=10|3=1,30
1823,吉芬北部_昼3,9=1,30
1841,吉芬北部_夕1,3=1,31
1842,吉芬北部_夕2,3=4,31
1843,吉芬北部_夕3,2=1|1=4,31
1861,吉芬北部_夜1,3=1|2=4|3=1,32
1862,吉芬北部_夜2,8=1,32
1863,吉芬北部_夜3,1=1|2=4|5=1,32
1901,吉芬西部_晨1,2=1|1=4|1=10,33
1902,吉芬西部_晨2,4=1,33
1903,吉芬西部_晨3,1=1|2=4|1=10,33
1921,吉芬西部_昼1,2=1|1=4|1=10|5=1,34
1922,吉芬西部_昼2,4=1|1=4|1=10|3=1,34
1923,吉芬西部_昼3,9=1,34
1941,吉芬西部_夕1,3=1,35
1942,吉芬西部_夕2,1=1|1=4|1=10,35
1943,吉芬西部_夕3,2=1|1=4,35
1961,吉芬西部_夜1,3=1|2=4|3=1,36
1962,吉芬西部_夜2,8=1,36
1963,吉芬西部_夜3,1=1|5=4|2=1,36
2001,吉芬东部_晨1,2=1|1=4|1=10,37
2002,吉芬东部_晨2,4=1,37
2003,吉芬东部_晨3,1=1|2=4|1=10,37
2021,吉芬东部_昼1,2=1|1=4|1=10|5=1,38
2022,吉芬东部_昼2,4=1|1=4|1=10|3=1,38
2023,吉芬东部_昼3,9=1,38
2041,吉芬东部_夕1,3=1,39
2042,吉芬东部_夕2,1=1|1=4|1=10,39
2043,吉芬东部_夕3,2=1|1=4,39
2061,吉芬东部_夜1,3=1|2=4|3=1,40
2062,吉芬东部_夜2,8=1,40
2063,吉芬东部_夜3,1=1|5=4|2=1,40
2101,沙漠岔道_晨1,4=9,41
2121,沙漠岔道_昼1,9=9,42
2141,沙漠岔道_夕1,3=9,43
2161,沙漠岔道_夜1,8=9,44
2201,过场_晨1,4=1,45
2221,过场_昼1,9=1,45
2241,过场_夕1,3=1,45
2261,过场_夜1,8=1,45
2301,伊斯鲁得_晨1,4=1,49
2302,伊斯鲁得_晨2,1=1|1=5|1=10|1=1,49
2303,伊斯鲁得_晨3,1=1|2=5|1=1,49
2321,伊斯鲁得_昼1,9=1,50
2322,伊斯鲁得_昼2,3=1|1=5|1=10|4=1,50
2323,伊斯鲁得_昼3,1=1|1=6|1=10|4=1|1=5|1=10,50
2341,伊斯鲁得_夕1,3=1,51
2342,伊斯鲁得_夕2,1=1|1=5|1=10,51
2343,伊斯鲁得_夕3,1=1|1=6|1=10,51
2361,伊斯鲁得_夜1,8=1,52
2362,伊斯鲁得_夜2,1=1|3=5|4=1,52
2363,伊斯鲁得_夜3,2=5|3=6|3=1,52
2401,吉芬_晨1,2=1|1=5|1=10,53
2402,吉芬_晨2,4=1,53
2403,吉芬_晨3,2=1|1=5|1=10,53
2421,吉芬_昼1,3=1|1=5|1=10|4=1,54
2422,吉芬_昼2,1=1|1=5|1=10|6=1,54
2423,吉芬_昼3,9=1,54
2441,吉芬_夕1,3=1,55
2442,吉芬_夕2,1=1|1=5|1=10,55
2443,吉芬_夕3,2=1|1=5,55
2461,吉芬_夜1,4=1|2=5|2=1,56
2462,吉芬_夜2,8=1,56
2463,吉芬_夜3,1=1|5=5|2=1,56
2501,兽人村落_晨1,2=1|1=5|1=10,57
2502,兽人村落_晨2,4=1,57
2503,兽人村落_晨3,2=1|1=5|1=10,57
2521,兽人村落_昼1,3=1|1=5|1=10|4=1,58
2522,兽人村落_昼2,1=1|1=5|1=10|6=1,58
2523,兽人村落_昼3,9=1,58
2541,兽人村落_夕1,3=1,59
2542,兽人村落_夕2,1=1|1=5|1=10,59
2543,兽人村落_夕3,2=1|1=5,59
2561,兽人村落_夜1,4=1|2=5|2=1,60
2562,兽人村落_夜2,8=1,60
2563,兽人村落_夜3,1=1|5=5|2=1,60
2601,金字塔副本_晨1,24=1,61
2621,金字塔副本_昼1,24=1,61
2641,金字塔副本_夕1,24=1,61
2661,金字塔副本_夜1,24=1,61
2701,圣歌试炼_晨1,24=1,65
2721,圣歌试炼_昼1,24=1,65
2741,圣歌试炼_夕1,24=1,65
2761,圣歌试炼_夜1,24=1,65
2801,艾尔贝塔_晨1,4=1,69
2802,艾尔贝塔_晨2,4=3,69
2803,艾尔贝塔_晨3,1=1|2=3|1=1,69
2821,艾尔贝塔_昼1,9=1,70
2822,艾尔贝塔_昼2,3=1|3=3|3=1,70
2823,艾尔贝塔_昼3,2=1|1=3|3=1|2=3|1=1,70
2841,艾尔贝塔_夕1,3=1,71
2842,艾尔贝塔_夕2,3=3,71
2843,艾尔贝塔_夕3,1=1|1=3|1=1,71
2861,艾尔贝塔_夜1,8=1,72
2862,艾尔贝塔_夜2,3=1|2=3|1=1|2=3,72
2863,艾尔贝塔_夜3,4=1|2=3|2=1,72
2901,斐扬_晨1,4=8,73
2902,斐扬_晨2,4=8,73
2921,斐扬_昼1,9=8,74
2922,斐扬_昼2,9=8,74
2941,斐扬_夕1,3=8,75
2942,斐扬_夕2,3=8,75
2961,斐扬_夜1,8=8,76
2962,斐扬_夜2,8=8,76
3001,斐扬东部_晨1,4=8,77
3021,斐扬东部_昼1,9=8,78
3041,斐扬东部_夕1,3=8,79
3061,斐扬东部_夜1,8=8,80
3101,斐扬南部_晨1,4=8,81
3102,斐扬南部_晨2,4=8,81
3103,斐扬南部_晨3,4=8,81
3121,斐扬南部_昼1,9=8,82
3122,斐扬南部_昼2,9=8,82
3123,斐扬南部_昼3,9=8,82
3141,斐扬南部_夕1,3=8,83
3142,斐扬南部_夕2,3=8,83
3143,斐扬南部_夕3,3=8,83
3161,斐扬南部_夜1,8=8,84
3162,斐扬南部_夜2,8=8,84
3163,斐扬南部_夜3,8=8,84
3201,斐扬树林_晨1,3=5|1=10,89
3202,斐扬树林_晨2,4=5,89
3203,斐扬树林_晨3,2=5|1=10|1=5,89
3221,斐扬树林_昼1,3=5|2=10|4=5,90
3222,斐扬树林_昼2,9=5,90
3223,斐扬树林_昼3,2=5|1=10|4=5|2=10,90
3241,斐扬树林_夕1,3=5,91
3242,斐扬树林_夕2,1=5|1=10|1=5,91
3243,斐扬树林_夕3,2=5|1=10,91
3261,斐扬树林_夜1,5=5|3=10,92
3262,斐扬树林_夜2,3=5|1=10|3=5|1=10,92
3263,斐扬树林_夜3,8=10,92
3301,斐扬东南_晨1,4=8,85
3321,斐扬东南_昼1,9=8,86
3341,斐扬东南_夕1,3=8,87
3361,斐扬东南_夜1,8=8,88
3401,梦罗克_晨1,4=1,93
3421,梦罗克_昼1,9=1,94
3441,梦罗克_夕1,3=1,95
3461,梦罗克_夜1,8=1,96
3501,梦罗克南部_晨1,4=1,97
3521,梦罗克南部_昼1,9=1,98
3541,梦罗克南部_夕1,3=1,99
3561,梦罗克南部_夜1,8=1,100
3601,梦罗克西部_晨1,4=1,101
3621,梦罗克西部_昼1,9=1,102
3641,梦罗克西部_夕1,3=1,103
3661,梦罗克西部_夜1,8=1,104
3701,苏克拉特_晨1,4=1,105
3721,苏克拉特_昼1,9=1,106
3741,苏克拉特_夕1,3=1,107
3761,苏克拉特_夜1,8=1,108
3801,苏克拉特南部_晨1,4=1,109
3821,苏克拉特南部_昼1,9=1,110
3841,苏克拉特南部_夕1,3=1,111
3861,苏克拉特南部_夜1,8=1,112
3901,幻境_晨1,4=1,116
3921,幻境_昼1,9=1,116
3941,幻境_夕1,3=1,116
3961,幻境_夜1,8=1,116
4001,转职体验_晨1,4=1,118
4021,转职体验_昼1,9=1,118
4022,转职体验_昼2,9=6,118
4041,转职体验_夕1,3=1,118
4061,转职体验_夜1,8=1,118
4101,抢滩登陆_晨1,4=1,121
4121,抢滩登陆_昼1,9=1,121
4141,抢滩登陆_夕1,3=1,121
4161,抢滩登陆_夜1,8=1,121
4201,主题酒吧_晨1,4=1,125
4221,主题酒吧_昼1,9=1,125
4241,主题酒吧_夕1,3=1,125
4261,主题酒吧_夜1,8=1,128
4301,英灵殿_晨1,4=1,129
4321,英灵殿_昼1,9=1,129
4341,英灵殿_夕1,3=1,129
4361,英灵殿_夜1,8=1,129
4401,舞女副本_晨1,4=1,133
4421,舞女记忆_昼1,9=1,133
4441,舞女记忆_夕1,3=1,133
4461,舞女记忆_夜1,8=1,133
4501,英灵殿_晨1,4=1,137
4521,英灵殿_昼1,9=1,137
4541,英灵殿_夕1,3=1,137
4561,英灵殿_夜1,8=1,137
4601,北森副本_晨1,4=1,141
4621,北森副本_昼1,9=1,142
4622,北森副本_昼2,9=6,142
4641,北森副本_夕1,3=1,143
4661,北森副本_夜1,8=1,144
4701,黑暗迷宫_晨1,4=1,145
4721,黑暗迷宫_昼1,9=1,145
4741,黑暗迷宫_夕1,3=1,145
4761,黑暗迷宫_夜1,8=1,145
4801,单人塔防_晴天,24=1,149
4802,单人塔防_雷雨,24=6,149
4901,双人塔防_晴天,24=1,153
4902,双人塔防_雷雨,24=6,153
5001,艾吉尔圣所_晨,4=1,65
5002,艾吉尔圣所_昼,9=1,65
5003,艾吉尔圣所_夕,3=1,65
5004,艾吉尔圣所_夜,8=1,65
5101,柏伊亚岚岛_晨,4=1,157
5102,柏伊亚岚岛_昼,9=1,157
5103,柏伊亚岚岛_夕,3=1,159
5104,柏伊亚岚岛_夜,8=1,160
5201,弓手村_晨,4=1,161
5221,弓手村_昼,9=1,162
5241,弓手村_夕,3=1,163
5261,弓手村_夜,8=1,164
5301,吉芬旷野_晨,4=1,165
5321,吉芬旷野_昼,9=1,166
5341,吉芬旷野_夕,3=1,167
5361,吉芬旷野_夜,8=1,168
5401,马车森林_晨,4=1,169
5421,马车森林_昼,9=1,170
5441,马车森林_夕,3=1,171
5461,马车森林_夜,8=1,172
5501,克特森林_晨,4=1,173
5521,克特森林_昼,9=1,174
5541,克特森林_夕,3=1,175
5561,克特森林_夜,8=1,176
5601,花园_晨,2=1|1=4|1=10,177
5602,花园_晨,4=1,177
5603,花园_晨,1=1|2=4|1=10,177
5621,花园_昼,2=1|1=4|1=10|5=1,178
5622,花园_昼,4=1|1=4|1=10|3=1,178
5623,花园_昼,9=1,178
5641,花园_夕,3=1,179
5642,花园_夕,1=1|1=4|1=10,179
5643,花园_夕,2=1|1=4,179
5661,花园_夜,3=1|2=4|3=1,180
5662,花园_夜,8=1,180
5663,花园_夜,1=1|5=4|2=1,180
5701,沙漠之桥_晨,4=1,181
5721,沙漠之桥_昼,9=1,182
5741,沙漠之桥_夕,3=1,183
5761,沙漠之桥_夜,8=1,184
5801,妙勒尼山脉_晨,4=1,185
5821,妙勒尼山脉_昼,9=1,186
5841,妙勒尼山脉_夕,3=1,187
5861,妙勒尼山脉_夜,8=1,188
5901,斐扬树林深处_晨,4=2,189
5921,斐扬树林深处_昼,9=2,190
5941,斐扬树林深处_夕,3=2,191
5961,斐扬树林深处_夜,8=2,192
6001,战场-峡谷_晨,4=1,193
6021,战场-峡谷_昼,9=1,193
6041,战场-峡谷_夕,3=1,193
6061,战场-峡谷_夜,8=1,193
6101,狩猎场,4=1,197
6121,狩猎场,9=1,198
6141,狩猎场,3=1,199
6161,狩猎场,8=1,200
6201,明亮版黑暗迷宫_晨1,4=1,146
6221,明亮版黑暗迷宫_昼1,9=1,146
6241,明亮版黑暗迷宫_夕1,3=1,146
6261,明亮版黑暗迷宫_夜1,8=1,146
6301,瓦尔基里领域_晨,4=1,201
6321,瓦尔基里领域_昼,9=1,202
6341,瓦尔基里领域_夕,3=1,203
6361,瓦尔基里领域_夜,8=1,204
6401,布利托尼亚_晨,4=1,205
6421,布利托尼亚_昼,9=1,206
6441,布利托尼亚_夕,3=1,207
6461,布利托尼亚_夜,8=1,208
6501,青林湖泊_晨,4=2,209
6521,青林湖泊_昼,9=2,210
6541,青林湖泊_夕,3=2,211
6561,青林湖泊_夜,8=2,212
6562,古城_晨,2=3|2=1,217
6563,古城_晨,3=3|1=1,217
6564,古城_晨,4=1,217
6565,古城_昼,3=1|3=5|1=10|2=1,218
6566,古城_昼,2=5|3=6|1=10|3=1,218
6567,古城_昼,9=1,218
6568,古城_夕,3=1,219
6569,古城_夕,3=5,219
6570,古城_夕,1=1|2=6,219
6571,古城_夜,3=1|5=6,220
6572,古城_夜,8=1,220
6573,古城_夜,4=5|4=6,220
6601,姜饼城原野_晨,4=8,221
6621,姜饼城原野_昼,9=8,222
6641,姜饼城原野_夕,3=8,223
6661,姜饼城原野_夜,8=8,224
6701,艾尔帕兰_晨,4=8,225
6702,艾尔帕兰_晨,4=8,225
6703,艾尔帕兰_昼,9=8,226
6704,艾尔帕兰_昼,9=8,226
6705,艾尔帕兰_夕,3=8,227
6706,艾尔帕兰_夕,3=8,227
6707,艾尔帕兰_夜,8=8,228
6708,艾尔帕兰_夜,8=8,228
6709,艾尔帕兰赛事_晨,4=8,277
6710,艾尔帕兰赛事_晨,4=8,277
6711,艾尔帕兰赛事_昼,9=8,278
6712,艾尔帕兰赛事_昼,9=8,278
6713,艾尔帕兰赛事_夕,3=8,279
6714,艾尔帕兰赛事_夕,3=8,279
6715,艾尔帕兰赛事_夜,8=8,280
6716,艾尔帕兰赛事_夜,8=8,280
6801,妙勒尼北麓_晨,4=1,229
6802,妙勒尼北麓_昼,9=1,230
6803,妙勒尼北麓_夕,3=1,231
6804,妙勒尼北麓_夜,8=1,232
6901,钟楼梦魇层_晨,24=1,236
6902,钟楼梦魇层_昼,24=1,236
6903,钟楼梦魇层_夕,24=1,236
6904,钟楼梦魇层_夜,24=1,236
7001,灯塔岛-晨,3=1|1=9,237
7002,灯塔岛-昼,6=1|3=9,238
7003,灯塔岛-夕,2=1|1=9,239
7004,灯塔岛-夜,6=1|2=9,240
7101,克魔岛-晨,1=1|1=5|1=6|1=10,241
7102,克魔岛-昼,6=1|1=5|1=6|1=10,242
7103,克魔岛-夕,1=1|1=5|1=10,243
7104,克魔岛-夜,5=1|1=5|1=6|1=10,244
7201,蜜月岛-晨,4=1,245
7202,蜜月岛-昼,9=1,246
7203,蜜月岛-夕,3=1,247
7204,蜜月岛-夜,8=1,248
7301,奶油狂欢节森林场景-晨,24=1,256
7302,奶油狂欢节森林场景-昼,24=1,256
7303,奶油狂欢节森林场景-夕,24=1,256
7304,奶油狂欢节森林场景-夜,24=1,256
8101,霍德尔梦境_晨,2=1|2=5,249
8102,霍德尔梦境_昼,4=1|2=5|2=6|1=1,250
8103,霍德尔梦境_夕,3=1,251
8104,霍德尔梦境_夜,3=1|3=5|1=6|1=1,252
8201,尔迈斯峡谷-晨,3=1|1=5,261
8202,尔迈斯峡谷-昼,8=1|1=5,262
8203,尔迈斯峡谷-夕,2=1|1=5,263
8204,尔迈斯峡谷-夜,7=1|1=5,264
8301,国界-晨,3=1|1=4,265
8302,国界-昼,8=1|1=4,266
8303,国界-夕,2=1|1=4,267
8304,国界-夜,7=1|1=4,268
8401,朱诺-晨,4=8,269
8402,朱诺-晨,4=8,269
8403,朱诺-昼,9=8,270
8404,朱诺-昼,9=8,270
8405,朱诺-夕,3=8,271
8406,朱诺-夕,3=8,271
8407,朱诺-夜,8=8,272
8408,朱诺-夜,8=8,272
8501,启海伊洛学院-晨,3=1|1=4,273
8502,启海伊洛学院-昼,8=1|1=4,274
8503,启海伊洛学院-夕,2=1|1=4,275
8504,启海伊洛学院-夜,7=1|1=4,276
8601,普隆德拉东门,4=8,285
8602,普隆德拉东门,9=8,286
8603,普隆德拉东门,3=8,287
8604,普隆德拉东门,8=8,288
