ID,Type,Title,Description,Content,Duration,SpectatorSync,CountDown,BaseLevel,SubtitlesSend,NpcID,Pos,Scale,DelayTime,Repeat,SystemId
1061,20,,,已离开跳舞区域，暂停跳舞,3,,,,,,,,,,
1062,20,,,已回到跳舞区域，可继续跳舞,3,,,,,,,,,,
1063,23,,,BOSS将在{0}秒后释放双重重力冲击！赶快寻找掩体躲避！,3,1,3,,,,,,,,
1101,27,,,这些魔物…看起来，似乎是之前海难中死掉的船员,3,1,,,,,,,,,
1102,27,,,前面看起来安静的有些诡异，我们最好小心谨慎一起行动,3,1,,,,,,,,,
1103,27,,,前面好像有什么人，赶快去看看！,3,1,,,,,,,,,
1104,27,,,他已经受伤了，跑不了多远，赶快追上他！,3,1,,,,,,,,,
1105,27,,,这些俘虏似乎已经失去了理智…,3,1,,,,,,,,,
1106,22,,,坏血病会使你变得更容易受伤！去周围找找水果把病毒排出体外！,7,1,,,,1=20089,0=0=0,1,,,
1107,23,,,你中了海盗宿命，赶快<color=$$Red$$>远离人群！</color>,4,1,,,,,,,,,
1108,22,,,肮脏的爬虫！就是你们，杀害了我的女儿！,5,1,,,,1=20088,0=0=0,1,,,
1109,22,,,苏醒！为我而战！我要他们为我的女儿陪葬！,5,1,,,,1=20088,0=0=0,1,,,
1110,22,,,追上他！他手里拿着绿龙之心！,5,1,,,,1=20089,0=0=0,1,,,
1111,23,,,Boss释放了贯穿剑道！快使用霸邪之阵或光之障壁阻挡！,5,1,,,,,,,,,
1112,20,,,10秒后封锁战斗区域，未进入的玩家将无法参战,4,1,,,,,,,,,
1113,20,,,战斗区域已被封锁,4,1,,,,,,,,,
1151,22,,,小恶魔的女神雕像(=ﾟωﾟ)ﾉ？！！会和这里的小恶魔有什么关联吗？,5,1,,,,1=20089,0=0=0,1,,,
1152,22,,,这里传说隐藏着通往冥界葛帔尼亚的入口…怎么到处是巡逻的小恶魔！！,5,1,,,,1=20089,0=0=0,1,,,
1153,22,,,魔力充盈的水晶！！貌似可以打开隔绝通路的能量壁…,5,1,,,,1=20089,0=0=0,1,,,
1154,22,,,前方或许就是通往葛帔尼亚的入口处？可是…这可怕的怨念，到底是哪里传来的？,5,1,,,,1=20089,0=0=0,1,,,
1155,25,,,通往前方道路的阻碍解除了…,2,1,,,,,,,,,
1156,23,,,死灵的暗影能量…和被选中的小伙伴站在一起帮助分摊伤害！！,3,1,,,,,,,,,
1157,23,,,注意躲避…并且不要再次进入！！破碎炼狱刃的暗焰会将一切燃烧殆尽…,3,1,,,,,,,,,
1158,23,,,刺入灵魂的剑！！尽可能远离Boss避免灵魂被束缚太久...,3,1,,,,,,,,,
1195,23,,,终极时刻，请小心躲避~,3,1,,,,,,,,,
1196,23,,,距离护送目标过远！快回到护送目标周围！,4,1,,,,,,,,,
1197,25,,,领悟了一个狸猫帮的暗号动作！！继续前进吧~~,3,1,,,,,,,,,
1198,25,,,领悟到新的狸猫帮暗号动作！！右转上高台吧~~,3,1,,,,,,,,,
1199,25,,,领悟了所有暗号动作！快通过小道去找狸猫大王吧！,3,1,,,,,,,,,
1200,25,,,注意狸猫们的动作，开始和狸猫大王对暗号吧！！,5,1,,,,,,,,,
1201,22,,,有动静？！原来是…哼哼好机会，击败你们就能获得梦罗克大王的奖赏！,5,1,,,,1=20005,0=0=0,1,,,
1202,22,,,真是临死挣扎！呵，不过已经晚了，梦罗克大王会将你们…撕成…啊…,5,1,,,,1=20007,0=0=0,1,,,
1203,20,,,感受到梦罗克正在靠近！大家小心！准备战斗！,10,1,,,,,,,,,
1204,22,,,誓死效忠梦罗克...大...王~,5,1,,,,1=20006,0=0=0,1,,,
1205,20,,,梦罗克的爪牙越来越多了，请坚持住！胜利就在前方！,10,1,,,,,,,,,
1206,22,,,好了，终于到了，我们快进去吧,4,1,,,,2=6982,0=0=-0.4,1,,,
1211,23,,,危险，快躲开红色区域！,4,1,,,,,,,,,
1212,22,,,火之颂歌是无法躲避！我来帮助你<color=$$Red$$>提高体质！</color>,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1213,26,,,触摸力量印记提高攻击力,3600,1,,,,,,,,,
1214,26,,,触摸敏捷印记提高攻击速度,3600,1,,,,,,,,,
1215,26,,,触摸体质印记提高防御,3600,1,,,,,,,,,
1216,22,,,恭喜你通过了试炼！希望你能变得更加强大！,4,1,,,,2=7209,0=0=0,1,,,
1217,22,,,触摸印记可以提高属性，我来帮助你一次,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1251,20,,,这里充满了轻快却又不安的气息！恰似暴风雨前的宁静！,3,1,,,,,,,,,
1252,23,,,有一股寒冷之意！冰之波利应该在不远处，请小心应战！,5,1,,,,,,,,,
1253,23,,,啊！是风之波利！这股强大的风压，没错，是它！请求支援！,5,1,,,,,,,,,
1254,23,,,大地在颤抖？！看来这次是地之波利，这将是一场恶战！,5,1,,,,,,,,,
1255,23,,,这，这愤怒的气息！这是火之波利！它的陨石术可灭世！努力迎战并祈祷吧！,5,1,,,,,,,,,
1271,22,,,前方有一些蚁窝，它们非常坚硬。,5,1,,,,1=20089,0=0=0,1,,,
1272,22,,,那边有个基尔瑟，过去看看~,5,1,,,,1=20089,0=0=0,1,,,
1273,22,,,你们是谁？是...是入侵者！！我要把你们统统炸飞！！,5,1,,,,1=20009,0=0=0,1,,,
1274,25,,,随着蚁窝的崩塌，某处的墙壁倒下了！,5,1,,,,,,,,,
1275,22,,,糟糕！没有炸弹库存了！算你们走运！,5,1,,,,1=20009,0=0=0,1,,,
1276,23,,,前方的狭长区域内埋着许多看不见的幼蚁,5,1,,,,,,,,,
1277,23,,,危险！请立即背对蚁后！,5,1,,,,,,,,,
1278,25,,,发现一只熟睡的狂暴蚁后！,5,1,,,,,,,,,
1279,22,,,警告！警告！发现入侵者，狂暴蚁后快醒醒！！,5,1,,,,1=20009,0=0=0,1,,,
1280,22,,,果然来了！兄弟们，开炮！,5,1,,,,1=20009,0=0=0,1,,,
1281,22,,,算了算了，让他们去见蚁后吧！咱们留点炸药回去开矿洞！,5,1,,,,1=20009,0=0=0,1,,,
1282,23,,,精英白蚁正在给周围的蚂蚁添加庇护！,5,1,,,,,,,,,
1283,25,,,前方能感受到一阵令人恐惧的气息…,5,1,,,,,,,,,
1284,22,,,喂，前面的兄弟们！狂暴蚁后撑不住了，你们快拦住他们！,5,1,,,,1=20009,0=0=0,1,,,
1285,23,,,蚁后！苏醒！,3,1,,,,,,,,,
1286,23,,,蚁后开始狂暴了！,3,1,,,,,,,,,
1287,22,,,身后传来了狂暴蚁后苏醒的声音…,5,1,,,,1=20009,0=0=0,1,,,
1288,22,,,前方是一片空地？总感觉有危险的气息。,5,1,,,,1=20009,0=0=0,1,,,
1289,22,,,别睡了别睡了！有人入侵！！开炮！！！,5,1,,,,1=20009,0=0=0,1,,,
1290,23,,,蚁后的狂暴状态越来越危险！,5,1,,,,,,,,,
1291,22,,,想要通过圣光的试炼，就来塔顶找我吧！,5,1,,,,1=10774,0=0=0,1,,,
1292,22,,,先让我看看你是否有圣光的血脉！,5,1,,,,1=10774,0=0=0,1,,,
1293,22,,,再让我看看你驱逐魔物的决心！,5,1,,,,1=10774,0=0=0,1,,,
1294,22,,,最后让我看看你的内心是否充满光明,5,1,,,,1=10774,0=0=0,1,,,
1295,23,,,注意躲避！蚁后召唤了大量投弹基尔瑟！,5,1,,,,,,,,,
1296,22,,,你们这些怠惰的基尔瑟！,3,1,,,,1=20091,0=0=0,1,,,
1297,22,,,看来只能用这招了！,3,1,,,,1=20091,0=0=0,1,,,
1298,23,,,目标已被携带蚁卵！,6,1,,,,,,,,,
1301,23,,,四周传来沙沙的声音，保护好贵重的货箱！,3,1,,,,,,,,,
1306,23,,,一股邪恶的能量正在聚集，小心应战！,3,1,,,,,,,,,
1311,22,,,我已经帮你精心进行了伪装，利用隐匿和催眠避开那些眼线，我们在深处汇合！,3,1,,,,1=1044,0=0=0,1,,,
1312,22,,,你要小心那些巡逻的怪物，被他们发现只有死路一条,3,1,,,,1=1044,0=0=0,1,,,
1315,23,,,哥布灵首领释放了共振！和队友保持分散站位！,4,1,,,,,,,,,
1316,23,,,哥布灵首领召唤了直升机哥布灵！,4,1,,,,,,,,,
1317,23,,,蚁后召唤了蚁潮！集中站位！,4,1,,,,,,,,,
1318,23,,,兽人酋长召唤了兽人婴儿！趁兽人婴儿没有长大前击杀它！,4,1,,,,,,,,,
1319,23,,,俄赛里斯复活了木乃伊！集中站位！,4,1,,,,,,,,,
1320,23,,,危险！请立即背对俄赛里斯！,4,1,,,,,,,,,
1321,23,,,虎王召唤了火龙卷风！保持移动！,4,1,,,,,,,,,
1322,23,,,巴风特释放了血液沸腾！全力输出！,4,1,,,,,,,,,
1331,20,,,欢迎来到竞技擂台,5,1,,,,,,,,,
1332,23,,,战斗将在5秒后开始，请做好准备！,4,1,,,,,,,,,
1333,23,,,战斗开始！,4,1,,,,,,,,,
1343,22,,,过来吧，冒险者。一切偶然皆是命中注定，或许你我相见即是命运之安排。,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1344,22,,,是时候告诉你<color=#ff8e3b>元素</color>的事情了，请跟我来。,3,1,,,,1=20076,0=-0.3=0,1.7,,,
1345,22,,,英灵之路，以吾之名…开！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1346,22,,,冒险者，踏上彩虹之桥吧，我会在彼岸等你！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1347,22,,,黑暗之魂在阴暗里蠢蠢欲动，唯有勇敢之心方能照亮灵魂。,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1348,22,,,做好战斗的准备吧，以尔之躯，冲破阴影与黑暗！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1349,22,,,现在，让我带你认识一下世界之基石——元素，它们彼此克制又互相依赖。,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1350,22,,,去吧，沟通远古的元素之灵，我将以你纯洁之心召唤它们,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1351,22,,,火，焚尽一切，不在烈火中死亡，就在烈火中重生！水，温柔而汹涌，水无常态，包容万象！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1352,22,,,水，温柔而汹涌，水无常态，包容万象！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1353,22,,,地，支撑大地，亦能崩裂世界！风，虚无缥缈，无孔不入，无坚不摧！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1354,22,,,风，虚无缥缈，无孔不入，无坚不摧！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1355,22,,,以勇敢、善良、纯洁为名，以吾——瓦尔基里之力，召唤你们！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1356,22,,,元素之灵似乎对你很好奇，去看看他们对你有什么话说。,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1357,22,,,看来你已经对元素克制了然于心，让我看看你对元素克制的理解吧！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1358,22,,,火，燃尽一切！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1359,25,,,去接受<color=$$Red$$>火元素</color>的能量灌注，让自己充满克制大地的力量！,4,1,,,,,,,,,
1360,22,,,不错，<color=$$Red$$>水</color>能够扑灭狂暴的<color=$$Red$$>火焰</color>，接下来——,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1361,22,,,地元素，崩裂世界！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1362,22,,,想想看什么能够克制地元素……,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1363,22,,,不错，<color=$$Red$$>火</color>能够烧尽<color=$$Red$$>大地</color>，不过，还没结束——,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1364,22,,,风，虚无缥缈！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1365,22,,,想想看什么能够克制风元素？,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1366,22,,,是的，<color=$$Red$$>大地</color>的沉稳能够抵挡肆虐的<color=$$Red$$>风暴</color>！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1367,22,,,水，温柔而汹涌！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1368,22,,,想想看什么能够克制水元素？,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1369,22,,,<color=$$Red$$>风暴</color>的狂怒能量能够在<color=$$Red$$>水</color>中肆意穿梭破坏！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1370,22,,,看来，你对元素的理解已经非常深刻了。,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1371,22,,,不过，元素千变万化，你接触到的只是冰山一角，诸多元素和变化，还等待着被你发现！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1372,22,,,你已停留太久，是该离开了，我们还会再见的！,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1373,23,,,拾取地上的魔法卷轴可以对魔物造成大量属性克制伤害！,4,1,,,,,,,,,
1374,22,,,踏上命运石阶，我在平台上等你,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1375,26,,,元素克制能造成明显的克制伤害,3600,1,,,,,,,,,
1376,22,,,不错，看来你已经明白了元素克制的原理,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1377,22,,,来我这里，我可以帮助练习元素克制,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1378,22,,,有实力的人才能拔出这把试炼之剑,4,1,,,,1=20168,0=-0.3=0,1.7,,,
1379,22,,,跨过彩虹之桥来找我吧，冒险者,4,1,,,,1=20168,0=-0.3=0,1.7,,,
1380,22,,,冒险者，追寻光的方向,4,1,,,,1=20168,0=-0.3=0,1.7,,,
1381,27,,,力量的源泉开始在体内涌动,4,1,,,,,,,,,
1382,27,,,敏捷的气息围绕着你的身体,4,1,,,,,,,,,
1383,27,,,智力的光辉洗涤着你的心灵,4,1,,,,,,,,,
1384,27,,,体质的韧性流淌在你的肌肤,4,1,,,,,,,,,
1385,27,,,灵巧的萌芽似乎即将破土而生,4,1,,,,,,,,,
1386,27,,,运气的星辰慢慢吻合你的轨迹,4,1,,,,,,,,,
1387,25,,,力量印记涌入体内，你感觉攻击力提升了,4,1,,,,,,,,,
1388,25,,,敏捷印记涌入体内，你感觉出手变得更迅速了,4,1,,,,,,,,,
1389,25,,,智力印记涌入体内，你感受到了魔法亲和力,4,1,,,,,,,,,
1390,25,,,体质印记涌入体内，你感觉防御力得到了提升,4,1,,,,,,,,,
1391,25,,,灵巧印记涌入体内，你感觉更容易命中敌人了,4,1,,,,,,,,,
1392,25,,,幸运印记涌入体内，你感觉更容易打出暴击了,4,1,,,,,,,,,
1393,22,,,吾乃瓦尔基里——亚尔薇特,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1394,22,,,这些印记，就是你身体的桎梏,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1395,22,,,通过最后一道试炼，我会帮助你突破自我,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1396,22,,,它开启了防御姿态，我来帮助你<color=$$Red$$>提高力量</color>，击破它的防御,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1397,22,,,消灭它的分裂体才能击败他，我来帮助你<color=$$Red$$>提高敏捷</color>,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1398,22,,,你已经待了太久，或许以后还会再见,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1399,22,,,你已经证明了自己的能力，我会帮你突破身体的桎梏,4,1,,,,1=20076,0=-0.3=0,1.7,,,
1400,25,,,土波利王释放了分裂，只有消灭所有分裂体才能击败它！,4,1,,,,,,,,,
1401,22,,,我感觉到有股异常的能量，大家小心前行，注意安全！,5,1,,,,1=20089,0=0=0,1,,,
1402,22,,金字塔：木乃伊,妄入领地者，死！,5,1,,,,1=30023,0=0=0,1,,,
1403,22,,金字塔：霸乐蒙德,门开了，我感受到碎片的力量就在里面，快进去！,5,1,,,,1=20089,0=0=0,1,,,
1404,22,,金字塔：俄塞里斯,久违的人类气息，闯入者，如果想见到我就向我献祭生命吧！,5,1,,,,1=30032,0=0=0,1,,,
1405,22,,金字塔：霸乐蒙德,前门石门紧闭！看来要进去，只有先向中心的石台献祭了...,5,1,,,,1=20089,0=0=0,1,,,
1406,22,,金字塔：霸乐蒙德,通往下一区域的石门开启了，碎片的力量应该就在下一区域！,5,1,,,,1=20089,0=0=0,1,,,
1407,22,,金字塔：霸乐蒙德,好安静，但这里的能量好强烈！看来碎片就在前面了,5,1,,,,1=20089,0=0=0,1,,,
1408,22,,金字塔：狂暴木乃伊,妄入领地者，死！,5,1,,,,1=30033,0=0=0,1,,,
1409,22,,金字塔：俄塞里斯,法老王的统治将再临人间，就从解决你们这些闯入者开始！,5,1,,,,1=30032,0=0=0,1,,,
1410,22,,金字塔：霸乐蒙德,小心流沙和敌人！保护献祭者！,5,1,,,,1=20089,0=0=0,1,,,
1411,22,,金字塔：俄塞里斯,真是脆弱的人类啊，来向我献祭更多吧！,5,1,,,,1=30032,0=0=0,1,,,
1412,22,,金字塔：霸乐蒙德,献祭失败了，大家一定要保护好献祭者！,5,1,,,,1=20089,0=0=0,1,,,
1413,26,,,石门已开启，请尽快前往下一区域,7200,1,,,,,,,,,
1414,25,,,石门已开启，请尽快前往下一区域,2,1,,,,,,,,,
1415,25,,,向中心石台献祭，献祭开始后将关闭石门！请尽快集结！,2,1,,,,,,,,,
1416,26,,,向中心石台献祭，献祭开始后将关闭石门！,7200,1,,,,,,,,,
1417,23,,,木乃伊出现了！请尽快击杀！,5,1,,,,,,,,,
1418,23,,,怪异能量出现了！请帮助献祭者抵挡伤害！,5,1,,,,,,,,,
1419,23,,,光球被熄灭！请前往房间中心重启光球！,2,1,,,,,,,,,
1420,24,,,光球被熄灭！请前往房间中心重启光球！,7200,1,,,,,,,,,
1421,23,,,有人被绷带困住了！快攻击绷带！,2,1,,,,,,,,,
1422,24,,,有人被绷带困住了！快攻击绷带！,7200,1,,,,,,,,,
1423,23,,,请保护被献祭的队友！,2,1,,,,,,,,,
1424,24,,,请保护被献祭的队友！,7200,1,,,,,,,,,
1425,22,,金字塔：俄塞里斯,我要…新鲜的血液！,5,1,,,,1=30032,0=0=0,1,,,
1426,22,,金字塔：俄塞里斯,啊...这血液真是无比的鲜美,5,1,,,,1=30032,0=0=0,1,,,
1427,22,,金字塔：俄塞里斯,可口的鲜血…我的力量更加强大了！,5,1,,,,1=30032,0=0=0,1,,,
1428,22,,金字塔：俄塞里斯,血液…血液在沸腾！这是伟大的法老王赐予的神力！,5,1,,,,1=30032,0=0=0,1,,,
1429,22,,金字塔：木乃伊,咯咯...咔咔咔…咔咔咔咔咔咔…,3,1,,,,1=30023,0=0=0,1,,,
1430,22,,金字塔：霸乐蒙德,大家小心，好像有东西要掉下来了！,3,1,,,,1=20089,0=0=0,1,,,
1431,22,,金字塔：木乃伊,咔嚓…咚咚咚…咔咔咔咔咔咔！,3,1,,,,1=30023,0=0=0,1,,,
1432,22,,第二次封印：洛基,收手吧城主，你已经罪大恶极，不要再负隅顽抗了！,3,1,,,,2=8909,0=0=0,1,,,
1433,22,,第二次封印：城主,即使我死亡，伟大的魔神依旧会降临人间！,3,1,,,,2=8911,0=0=0,1,,,
1434,22,,第二次封印：城主女儿,爸爸，爸爸！,3,1,,,,2=8910,0=0=0,1,,,
1435,22,,第二次封印：城主女儿,我找了您好久，发生什么事了？,3,1,,,,2=8910,0=0=0,1,,,
1436,22,,第二次封印：城主,哈哈哈哈哈，这是伟大魔神的眷顾啊！,3,1,,,,2=8911,0=0=0,1,,,
1437,22,,第二次封印：洛基,等等，你要做什么！？,3,1,,,,2=8909,0=0=0,1,,,
1438,22,,第二次封印：城主,伟大的魔神啊，这是您忠实的信徒献上的祭品，请降临人间吧！,3,1,,,,2=8911,0=0=0,1,,,
1439,22,,第二次封印：城主女儿,爸爸，这是什么？我好难受…呜呜呜…,3,1,,,,2=8910,0=0=0,1,,,
1440,22,,第二次封印：洛基,竟然以女儿生命做献祭，真是丧心病狂。我来准备封印法阵，大家小心应对！,3,1,,,,2=8909,0=0=0,1,,,
1441,22,,第二次封印：城主,咳…咳咳…魔神…万岁…,3,1,,,,2=8911,0=0=0,1,,,
1442,22,,第二次封印：城主女儿,爸爸，您怎么了？不要离开我，呜呜呜…,3,1,,,,2=8910,0=0=0,1,,,
1443,22,,第二次封印：洛基,哼，他没事。召唤出魔神，又被魔神反噬，真是自讨苦吃,3,1,,,,2=8909,0=0=0,1,,,
1444,22,,第二次封印：洛基,看来梦罗克又逃回封印之间了。不过封印松动，需要重新加固，否则总有一天他还会逃出来,3,1,,,,2=8909,0=0=0,1,,,
1445,22,,第二次封印：洛基,我为大家开放传送阵，大家随我一同进入，彻底封印梦罗克,3,1,,,,2=8909,0=0=0,1,,,
1446,22,,第二次封印：洛基,敌人升起了防护罩，我先聚集能量，稍后可以在我这里获取能量击破防护罩！,3,1,,,,2=8909,0=0=0,1,,,
1447,22,,第二次封印：洛基,魔神发怒了，大家快来我身边，我来为大家抵挡伤害！一定要尽快解决他！,3,1,,,,2=8909,0=0=0,1,,,
1448,22,,第二次封印：洛基,魔神又发怒了…这次的爆发能量有点大，我可能会吃不消…,3,1,,,,2=8909,0=0=0,1,,,
1449,22,,第二次封印：洛基,看来这次…我无法为大家抵挡伤害了…没想到，我的结局竟然是这样…,3,1,,,,2=8909,0=0=0,1,,,
1450,22,,第二次封印：梦罗克幼体,我沉睡了多久…是谁将我唤醒…,3,1,,,,2=8901,0=0.4=0,2.2,,,
1451,22,,第二次封印：梦罗克幼体,灵魂…鲜血…杀戮…我好像嗅到了这世界上最鲜美的味道！,3,1,,,,2=8901,0=0.4=0,2.2,,,
1452,22,,第二次封印：梦罗克幼体,为我的复活而颤抖吧！凡人们！颤抖吧，米德加兹大陆！！！,3,1,,,,2=8901,0=0.4=0,2.2,,,
1453,22,,第二次封印：梦罗克幼体,哼，弱小的凡人，让我的仆人们先陪你们玩玩吧,3,1,,,,2=8901,0=0.4=0,2.2,,,
1454,22,,第二次封印：梦罗克幼体,我身体的力量…为什么一直在外泄！,3,1,,,,2=8901,0=0.4=0,2.2,,,
1455,22,,第二次封印：梦罗克幼体,凡人们，记住这一天，你们差一点就击败了这个世界最伟大的魔神！,3,1,,,,2=8901,0=0.4=0,2.2,,,
1456,22,,第二次封印：梦罗克幼体,我们很快还会再见面的，我再度复活的那天，将会是你们的终结！！！,3,1,,,,2=8901,0=0.4=0,2.2,,,
1457,22,,第二次封印：洛基,愚蠢的人类，竟敢来到我的领地！你们这是自寻死路！！！,5,1,,,,2=8902,0=0.4=0,1.1,,,
1458,22,,第二次封印：洛基,感受我的愤怒吧！凡人们！,5,1,,,,2=8902,0=0.4=0,1.1,,,
1459,22,,第二次封印：洛基,愚蠢的凡人，看你们能否抵挡住我这一击！,5,1,,,,2=8902,0=0.4=0,1.1,,,
