MajorID,AwardType,BattleCardSeason,BattleCardLv,Exp,FreeAward,PayAward,DisplayType,DisplayMode
150,0,1,150,2000,,8521500,0,
151,0,1,151,2000,,8521510,0,
152,0,1,152,2000,,8521520,0,
153,0,1,153,2000,,8521530,0,
154,0,1,154,2000,,8521540,0,
155,0,1,155,2000,,8521550,0,
156,0,1,156,2000,,8521560,0,
157,0,1,157,2000,,8521570,0,
158,0,1,158,2000,,8521580,0,
159,0,1,159,2000,,8521590,0,
160,0,1,160,2000,,8521600,0,
161,0,1,161,2000,,8521610,0,
162,0,1,162,2000,,8521620,0,
163,0,1,163,2000,,8521630,0,
164,0,1,164,2000,,8521640,0,
165,0,1,165,2000,,8521650,0,
166,0,1,166,2000,,8521660,0,
167,0,1,167,2000,,8521670,0,
168,0,1,168,2000,,8521680,0,
169,0,1,169,2000,,8521690,0,
170,0,1,170,2000,,8521700,0,
171,0,1,171,2000,,8521710,0,
172,0,1,172,2000,,8521720,0,
173,0,1,173,2000,,8521730,0,
174,0,1,174,2000,,8521740,0,
175,0,1,175,2000,,8521750,0,
176,0,1,176,2000,,8521760,0,
177,0,1,177,2000,,8521770,0,
178,0,1,178,2000,,8521780,0,
179,0,1,179,2000,,8521790,0,
180,0,1,180,2000,,8521800,0,
181,0,1,181,2000,,8521810,0,
182,0,1,182,2000,,8521820,0,
183,0,1,183,2000,,8521830,0,
184,0,1,184,2000,,8521840,0,
185,0,1,185,2000,,8521850,0,
186,0,1,186,2000,,8521860,0,
187,0,1,187,2000,,8521870,0,
188,0,1,188,2000,,8521880,0,
189,0,1,189,2000,,8521890,0,
190,0,1,190,2000,,8521900,0,
191,0,1,191,2000,,8521910,0,
192,0,1,192,2000,,8521920,0,
193,0,1,193,2000,,8521930,0,
194,0,1,194,2000,,8521940,0,
195,0,1,195,2000,,8521950,0,
196,0,1,196,2000,,8521960,0,
197,0,1,197,2000,,8521970,0,
198,0,1,198,2000,,8521980,0,
199,0,1,199,2000,,8521990,0,
200,0,1,200,2000,,8522000,0,
201,0,1,201,2000,,8522010,0,
202,0,1,202,2000,,8522020,0,
203,0,1,203,2000,,8522030,0,
204,0,1,204,2000,,8522040,0,
205,0,1,205,2000,,8522050,0,
206,0,1,206,2000,,8522060,0,
207,0,1,207,2000,,8522070,0,
208,0,1,208,2000,,8522080,0,
209,0,1,209,2000,,8522090,0,
210,0,1,210,2000,,8522100,0,
211,0,1,211,2000,,8522110,0,
212,0,1,212,2000,,8522120,0,
213,0,1,213,2000,,8522130,0,
214,0,1,214,2000,,8522140,0,
215,0,1,215,2000,,8522150,0,
216,0,1,216,2000,,8522160,0,
217,0,1,217,2000,,8522170,0,
218,0,1,218,2000,,8522180,0,
219,0,1,219,2000,,8522190,0,
220,0,1,220,2000,,8522200,0,
221,0,1,221,2000,,8522210,0,
222,0,1,222,2000,,8522220,0,
223,0,1,223,2000,,8522230,0,
224,0,1,224,2000,,8522240,0,
225,0,1,225,2000,,8522250,0,
226,0,1,226,2000,,8522260,0,
227,0,1,227,2000,,8522270,0,
228,0,1,228,2000,,8522280,0,
229,0,1,229,2000,,8522290,0,
230,0,1,230,2000,,8522300,0,
231,0,1,231,2000,,8522310,0,
232,0,1,232,2000,,8522320,0,
233,0,1,233,2000,,8522330,0,
234,0,1,234,2000,,8522340,0,
235,0,1,235,2000,,8522350,0,
236,0,1,236,2000,,8522360,0,
237,0,1,237,2000,,8522370,0,
238,0,1,238,2000,,8522380,0,
239,0,1,239,2000,,8522390,0,
240,0,1,240,2000,,8522400,0,
241,0,1,241,2000,,8522410,0,
242,0,1,242,2000,,8522420,0,
243,0,1,243,2000,,8522430,0,
244,0,1,244,2000,,8522440,0,
245,0,1,245,2000,,8522450,0,
246,0,1,246,2000,,8522460,0,
247,0,1,247,2000,,8522470,0,
248,0,1,248,2000,,8522480,0,
249,0,1,249,2000,,8522490,0,
250,0,1,250,2000,,8522500,0,
251,0,1,251,2000,,8522510,0,
252,0,1,252,2000,,8522520,0,
253,0,1,253,2000,,8522530,0,
254,0,1,254,2000,,8522540,0,
255,0,1,255,2000,,8522550,0,
256,0,1,256,2000,,8522560,0,
257,0,1,257,2000,,8522570,0,
258,0,1,258,2000,,8522580,0,
259,0,1,259,2000,,8522590,0,
260,0,1,260,2000,,8522600,0,
261,0,1,261,2000,,8522610,0,
262,0,1,262,2000,,8522620,0,
263,0,1,263,2000,,8522630,0,
264,0,1,264,2000,,8522640,0,
265,0,1,265,2000,,8522650,0,
266,0,1,266,2000,,8522660,0,
267,0,1,267,2000,,8522670,0,
268,0,1,268,2000,,8522680,0,
269,0,1,269,2000,,8522690,0,
270,0,1,270,2000,,8522700,0,
271,0,1,271,2000,,8522710,0,
272,0,1,272,2000,,8522720,0,
273,0,1,273,2000,,8522730,0,
274,0,1,274,2000,,8522740,0,
275,0,1,275,2000,,8522750,0,
276,0,1,276,2000,,8522760,0,
277,0,1,277,2000,,8522770,0,
278,0,1,278,2000,,8522780,0,
279,0,1,279,2000,,8522790,0,
280,0,1,280,2000,,8522800,0,
281,0,1,281,2000,,8522810,0,
282,0,1,282,2000,,8522820,0,
283,0,1,283,2000,,8522830,0,
284,0,1,284,2000,,8522840,0,
285,0,1,285,2000,,8522850,0,
286,0,1,286,2000,,8522860,0,
287,0,1,287,2000,,8522870,0,
288,0,1,288,2000,,8522880,0,
289,0,1,289,2000,,8522890,0,
290,0,1,290,2000,,8522900,0,
291,0,1,291,2000,,8522910,0,
292,0,1,292,2000,,8522920,0,
293,0,1,293,2000,,8522930,0,
294,0,1,294,2000,,8522940,0,
295,0,1,295,2000,,8522950,0,
296,0,1,296,2000,,8522960,0,
297,0,1,297,2000,,8522970,0,
298,0,1,298,2000,,8522980,0,
299,0,1,299,2000,,8522990,0,
300,0,1,300,2000,,8523000,0,
301,0,1,301,2000,,8523010,0,
302,0,1,302,2000,,8523020,0,
303,0,1,303,2000,,8523030,0,
304,0,1,304,2000,,8523040,0,
305,0,1,305,2000,,8523050,0,
306,0,1,306,2000,,8523060,0,
307,0,1,307,2000,,8523070,0,
308,0,1,308,2000,,8523080,0,
309,0,1,309,2000,,8523090,0,
310,0,1,310,2000,,8523100,0,
311,0,1,311,2000,,8523110,0,
312,0,1,312,2000,,8523120,0,
313,0,1,313,2000,,8523130,0,
314,0,1,314,2000,,8523140,0,
315,0,1,315,2000,,8523150,0,
316,0,2,1,2000,8523200,8523300,1,
317,0,2,2,2000,8523201,8523301,0,
318,0,2,3,2000,8523202,8523302,0,
319,0,2,4,2000,8523203,8523303,0,
320,0,2,5,2000,8523204,8523304,0,
321,0,2,6,2000,8523205,8523305,0,
322,0,2,7,2000,8523206,8523306,0,
323,0,2,8,2000,8523207,8523307,0,
324,0,2,9,2000,8523208,8523308,0,
325,0,2,10,2000,8523209,8523309,1,
326,0,2,11,2000,8523210,8523310,0,
327,0,2,12,2000,8523211,8523311,0,
328,0,2,13,2000,8523212,8523312,0,
329,0,2,14,2000,8523213,8523313,0,
330,0,2,15,2000,8523214,8523314,0,
331,0,2,16,2000,8523215,8523315,0,
332,0,2,17,2000,8523216,8523316,0,
333,0,2,18,2000,8523217,8523317,0,
334,0,2,19,2000,8523218,8523318,0,
335,0,2,20,2000,8523219,8523319,0,
336,0,2,21,2000,8523220,8523320,0,
337,0,2,22,2000,8523221,8523321,0,
338,0,2,23,2000,8523222,8523322,0,
339,0,2,24,2000,8523223,8523323,0,
340,0,2,25,2000,8523224,8523324,0,
341,0,2,26,2000,8523225,8523325,0,
342,0,2,27,2000,8523226,8523326,0,
343,0,2,28,2000,8523227,8523327,0,
344,0,2,29,2000,8523228,8523328,0,
345,0,2,30,2000,8523229,8523329,1,
346,0,2,31,2000,8523230,8523330,0,
347,0,2,32,2000,8523231,8523331,0,
348,0,2,33,2000,8523232,8523332,0,
349,0,2,34,2000,8523233,8523333,0,
350,0,2,35,2000,8523234,8523334,0,
351,0,2,36,2000,8523235,8523335,0,
352,0,2,37,2000,8523236,8523336,0,
353,0,2,38,2000,8523237,8523337,0,
354,0,2,39,2000,8523238,8523338,0,
355,0,2,40,2000,8523239,8523339,1,
356,0,2,41,2000,8523240,8523340,0,
357,0,2,42,2000,8523241,8523341,0,
358,0,2,43,2000,8523242,8523342,0,
359,0,2,44,2000,8523243,8523343,0,
360,0,2,45,2000,8523244,8523344,0,
361,0,2,46,2000,8523245,8523345,0,
362,0,2,47,2000,8523246,8523346,0,
363,0,2,48,2000,8523247,8523347,0,
364,0,2,49,2000,8523248,8523348,0,
365,0,2,50,2000,8523249,8523349,1,
366,0,2,51,2000,8523250,8523350,0,
367,0,2,52,2000,8523251,8523351,0,
368,0,2,53,2000,8523252,8523352,0,
369,0,2,54,2000,8523253,8523353,0,
370,0,2,55,2000,8523254,8523354,0,
371,0,2,56,2000,8523255,8523355,0,
372,0,2,57,2000,8523256,8523356,0,
373,0,2,58,2000,8523257,8523357,0,
374,0,2,59,2000,8523258,8523358,0,
375,0,2,60,2000,8523259,8523359,1,
376,0,2,61,2000,8523260,8523360,0,
377,0,2,62,2000,8523261,8523361,0,
378,0,2,63,2000,8523262,8523362,0,
379,0,2,64,2000,8523263,8523363,0,
380,0,2,65,2000,8523264,8523364,0,
381,0,2,66,2000,8523265,8523365,0,
382,0,2,67,2000,8523266,8523366,0,
383,0,2,68,2000,8523267,8523367,0,
384,0,2,69,2000,8523268,8523368,0,
385,0,2,70,2000,8523269,8523369,1,
386,0,2,71,2000,8523270,8523370,0,
387,0,2,72,2000,8523271,8523371,0,
388,0,2,73,2000,8523272,8523372,0,
389,0,2,74,2000,8523273,8523373,0,
390,0,2,75,2000,8523274,8523374,0,
391,0,2,76,2000,8523275,8523375,0,
392,0,2,77,2000,8523276,8523376,0,
393,0,2,78,2000,8523277,8523377,0,
394,0,2,79,2000,8523278,8523378,0,
395,0,2,80,2000,8523279,8523379,1,
396,0,2,81,2000,8523280,8523380,0,
397,0,2,82,2000,8523281,8523381,0,
398,0,2,83,2000,8523282,8523382,0,
399,0,2,84,2000,8523283,8523383,0,
400,0,2,85,2000,8523284,8523384,0,
401,0,2,86,2000,8523285,8523385,0,
402,0,2,87,2000,8523286,8523386,0,
403,0,2,88,2000,8523287,8523387,0,
404,0,2,89,2000,8523288,8523388,0,
405,0,2,90,2000,8523289,8523389,0,
406,0,2,91,2000,,8523390,0,
407,0,2,92,2000,,8523391,0,
408,0,2,93,2000,,8523392,0,
409,0,2,94,2000,,8523393,0,
410,0,2,95,2000,,8523394,1,1010051|1010052
411,0,2,96,2000,,8523395,0,
412,0,2,97,2000,,8523396,0,
413,0,2,98,2000,,8523397,0,
414,0,2,99,2000,,8523398,0,
415,0,2,100,2000,,8523399,0,
416,0,2,101,2000,,8523399,0,
417,0,2,102,2000,,8523399,0,
418,0,2,103,2000,,8523399,0,
419,0,2,104,2000,,8523399,0,
420,0,2,105,2000,,8523399,0,
421,0,2,106,2000,,8523399,0,
422,0,2,107,2000,,8523399,0,
423,0,2,108,2000,,8523399,0,
424,0,2,109,2000,,8523399,0,
425,0,2,110,2000,,8523399,0,
426,0,2,111,2000,,8523399,0,
427,0,2,112,2000,,8523399,0,
428,0,2,113,2000,,8523399,0,
429,0,2,114,2000,,8523399,0,
430,0,2,115,2000,,8523399,0,
431,0,2,116,2000,,8523399,0,
432,0,2,117,2000,,8523399,0,
433,0,2,118,2000,,8523399,0,
434,0,2,119,2000,,8523399,0,
435,0,2,120,2000,,8523399,0,
436,0,2,121,2000,,8523399,0,
437,0,2,122,2000,,8523399,0,
438,0,2,123,2000,,8523399,0,
439,0,2,124,2000,,8523399,0,
440,0,2,125,2000,,8523399,0,
441,0,2,126,2000,,8523399,0,
442,0,2,127,2000,,8523399,0,
443,0,2,128,2000,,8523399,0,
444,0,2,129,2000,,8523399,0,
445,0,2,130,2000,,8523399,0,
446,0,2,131,2000,,8523399,0,
447,0,2,132,2000,,8523399,0,
448,0,2,133,2000,,8523399,0,
449,0,2,134,2000,,8523399,0,
450,0,2,135,2000,,8523449,1,
451,0,2,136,2000,,8523399,0,
452,0,2,137,2000,,8523399,0,
453,0,2,138,2000,,8523399,0,
454,0,2,139,2000,,8523399,0,
455,0,2,140,2000,,8523399,0,
456,0,2,141,2000,,8523399,0,
457,0,2,142,2000,,8523399,0,
458,0,2,143,2000,,8523399,0,
459,0,2,144,2000,,8523399,0,
460,0,2,145,2000,,8523399,0,
461,0,2,146,2000,,8523399,0,
462,0,2,147,2000,,8523399,0,
463,0,2,148,2000,,8523399,0,
464,0,2,149,2000,,8523399,0,
465,0,2,150,2000,,8523499,1,
466,0,2,151,2000,,8523399,0,
467,0,2,152,2000,,8523399,0,
468,0,2,153,2000,,8523399,0,
469,0,2,154,2000,,8523399,0,
470,0,2,155,2000,,8523399,0,
471,0,2,156,2000,,8523399,0,
472,0,2,157,2000,,8523399,0,
473,0,2,158,2000,,8523399,0,
474,0,2,159,2000,,8523399,0,
475,0,2,160,2000,,8523399,0,
476,0,2,161,2000,,8523399,0,
477,0,2,162,2000,,8523399,0,
478,0,2,163,2000,,8523399,0,
479,0,2,164,2000,,8523399,0,
480,0,2,165,2000,,8523399,0,
481,0,2,166,2000,,8523399,0,
482,0,2,167,2000,,8523399,0,
483,0,2,168,2000,,8523399,0,
484,0,2,169,2000,,8523399,0,
485,0,2,170,2000,,8523399,0,
486,0,2,171,2000,,8523399,0,
487,0,2,172,2000,,8523399,0,
488,0,2,173,2000,,8523399,0,
489,0,2,174,2000,,8523399,0,
490,0,2,175,2000,,8523399,0,
491,0,2,176,2000,,8523399,0,
492,0,2,177,2000,,8523399,0,
493,0,2,178,2000,,8523399,0,
494,0,2,179,2000,,8523399,0,
495,0,2,180,2000,,8523399,0,
496,0,2,181,2000,,8523399,0,
497,0,2,182,2000,,8523399,0,
498,0,2,183,2000,,8523399,0,
499,0,2,184,2000,,8523399,0,
500,0,2,185,2000,,8523399,0,
501,0,2,186,2000,,8523399,0,
502,0,2,187,2000,,8523399,0,
503,0,2,188,2000,,8523399,0,
504,0,2,189,2000,,8523399,0,
505,0,2,190,2000,,8523399,0,
506,0,2,191,2000,,8523399,0,
507,0,2,192,2000,,8523399,0,
508,0,2,193,2000,,8523399,0,
509,0,2,194,2000,,8523399,0,
510,0,2,195,2000,,8523399,0,
511,0,2,196,2000,,8523399,0,
512,0,2,197,2000,,8523399,0,
513,0,2,198,2000,,8523399,0,
514,0,2,199,2000,,8523399,0,
515,0,2,200,2000,,8523399,0,
516,0,2,201,2000,,8523399,0,
517,0,2,202,2000,,8523399,0,
518,0,2,203,2000,,8523399,0,
519,0,2,204,2000,,8523399,0,
520,0,2,205,2000,,8523399,0,
521,0,2,206,2000,,8523399,0,
522,0,2,207,2000,,8523399,0,
523,0,2,208,2000,,8523399,0,
524,0,2,209,2000,,8523399,0,
525,0,2,210,2000,,8523399,0,
526,0,2,211,2000,,8523399,0,
527,0,2,212,2000,,8523399,0,
528,0,2,213,2000,,8523399,0,
529,0,2,214,2000,,8523399,0,
530,0,2,215,2000,,8523399,0,
531,0,2,216,2000,,8523399,0,
532,0,2,217,2000,,8523399,0,
533,0,2,218,2000,,8523399,0,
534,0,2,219,2000,,8523399,0,
535,0,2,220,2000,,8523399,0,
536,0,2,221,2000,,8523399,0,
537,0,2,222,2000,,8523399,0,
538,0,2,223,2000,,8523399,0,
539,0,2,224,2000,,8523399,0,
540,0,2,225,2000,,8523399,0,
541,0,2,226,2000,,8523399,0,
542,0,2,227,2000,,8523399,0,
543,0,2,228,2000,,8523399,0,
544,0,2,229,2000,,8523399,0,
545,0,2,230,2000,,8523399,0,
546,0,2,231,2000,,8523399,0,
547,0,2,232,2000,,8523399,0,
548,0,2,233,2000,,8523399,0,
549,0,2,234,2000,,8523399,0,
550,0,2,235,2000,,8523399,0,
551,0,2,236,2000,,8523399,0,
552,0,2,237,2000,,8523399,0,
553,0,2,238,2000,,8523399,0,
554,0,2,239,2000,,8523399,0,
555,0,2,240,2000,,8523399,0,
556,0,2,241,2000,,8523399,0,
557,0,2,242,2000,,8523399,0,
558,0,2,243,2000,,8523399,0,
559,0,2,244,2000,,8523399,0,
560,0,2,245,2000,,8523399,0,
561,0,2,246,2000,,8523399,0,
562,0,2,247,2000,,8523399,0,
563,0,2,248,2000,,8523399,0,
564,0,2,249,2000,,8523399,0,
565,0,2,250,2000,,8523399,0,
566,0,2,251,2000,,8523399,0,
567,0,2,252,2000,,8523399,0,
568,0,2,253,2000,,8523399,0,
569,0,2,254,2000,,8523399,0,
570,0,2,255,2000,,8523399,0,
571,0,2,256,2000,,8523399,0,
572,0,2,257,2000,,8523399,0,
573,0,2,258,2000,,8523399,0,
574,0,2,259,2000,,8523399,0,
575,0,2,260,2000,,8523399,0,
576,0,2,261,2000,,8523399,0,
577,0,2,262,2000,,8523399,0,
578,0,2,263,2000,,8523399,0,
579,0,2,264,2000,,8523399,0,
580,0,2,265,2000,,8523399,0,
581,0,2,266,2000,,8523399,0,
582,0,2,267,2000,,8523399,0,
583,0,2,268,2000,,8523399,0,
584,0,2,269,2000,,8523399,0,
585,0,2,270,2000,,8523399,0,
586,0,2,271,2000,,8523399,0,
587,0,2,272,2000,,8523399,0,
588,0,2,273,2000,,8523399,0,
589,0,2,274,2000,,8523399,0,
590,0,2,275,2000,,8523399,0,
591,0,2,276,2000,,8523399,0,
592,0,2,277,2000,,8523399,0,
593,0,2,278,2000,,8523399,0,
594,0,2,279,2000,,8523399,0,
595,0,2,280,2000,,8523399,0,
596,0,2,281,2000,,8523399,0,
597,0,2,282,2000,,8523399,0,
598,0,2,283,2000,,8523399,0,
599,0,2,284,2000,,8523399,0,
600,0,2,285,2000,,8523399,0,
601,0,2,286,2000,,8523399,0,
602,0,2,287,2000,,8523399,0,
603,0,2,288,2000,,8523399,0,
604,0,2,289,2000,,8523399,0,
605,0,2,290,2000,,8523399,0,
606,0,2,291,2000,,8523399,0,
607,0,2,292,2000,,8523399,0,
608,0,2,293,2000,,8523399,0,
609,0,2,294,2000,,8523399,0,
610,0,2,295,2000,,8523399,0,
611,0,2,296,2000,,8523399,0,
612,0,2,297,2000,,8523399,0,
613,0,2,298,2000,,8523399,0,
614,0,2,299,2000,,8523399,0,
615,0,2,300,2000,,8523399,0,
616,0,2,301,2000,,8523399,0,
617,0,2,302,2000,,8523399,0,
618,0,2,303,2000,,8523399,0,
619,0,2,304,2000,,8523399,0,
620,0,2,305,2000,,8523399,0,
621,0,2,306,2000,,8523399,0,
622,0,2,307,2000,,8523399,0,
623,0,2,308,2000,,8523399,0,
624,0,2,309,2000,,8523399,0,
625,0,2,310,2000,,8523399,0,
626,0,2,311,2000,,8523399,0,
627,0,2,312,2000,,8523399,0,
628,0,2,313,2000,,8523399,0,
629,0,2,314,2000,,8523399,0,
630,0,2,315,2000,,8523399,0,
631,0,2,316,2000,,8523399,0,
632,0,2,317,2000,,8523399,0,
633,0,2,318,2000,,8523399,0,
634,0,2,319,2000,,8523399,0,
635,0,2,320,2000,,8523399,0,
636,0,2,321,2000,,8523399,0,
637,0,2,322,2000,,8523399,0,
638,0,2,323,2000,,8523399,0,
639,0,2,324,2000,,8523399,0,
640,0,2,325,2000,,8523399,0,
641,0,2,326,2000,,8523399,0,
642,0,2,327,2000,,8523399,0,
643,0,2,328,2000,,8523399,0,
644,0,2,329,2000,,8523399,0,
645,0,2,330,2000,,8523399,0,
646,0,2,331,2000,,8523399,0,
647,0,2,332,2000,,8523399,0,
648,0,2,333,2000,,8523399,0,
649,0,2,334,2000,,8523399,0,
650,0,2,335,2000,,8523399,0,
651,0,2,336,2000,,8523399,0,
652,0,2,337,2000,,8523399,0,
653,0,2,338,2000,,8523399,0,
654,0,2,339,2000,,8523399,0,
655,0,2,340,2000,,8523399,0,
656,0,2,341,2000,,8523399,0,
657,0,2,342,2000,,8523399,0,
658,0,2,343,2000,,8523399,0,
659,0,2,344,2000,,8523399,0,
660,0,2,345,2000,,8523399,0,
661,0,2,346,2000,,8523399,0,
662,0,2,347,2000,,8523399,0,
663,0,2,348,2000,,8523399,0,
664,0,2,349,2000,,8523399,0,
665,0,2,350,2000,,8523399,0,
666,0,2,351,2000,,8523399,0,
667,0,2,352,2000,,8523399,0,
668,0,2,353,2000,,8523399,0,
669,0,2,354,2000,,8523399,0,
670,0,2,355,2000,,8523399,0,
671,0,2,356,2000,,8523399,0,
672,0,2,357,2000,,8523399,0,
673,0,2,358,2000,,8523399,0,
674,0,2,359,2000,,8523399,0,
675,0,2,360,2000,,8523399,0,
676,0,2,361,2000,,8523399,0,
677,0,2,362,2000,,8523399,0,
678,0,2,363,2000,,8523399,0,
679,0,2,364,2000,,8523399,0,
680,0,2,365,2000,,8523399,0,
681,0,2,366,2000,,8523399,0,
682,0,2,367,2000,,8523399,0,
683,0,2,368,2000,,8523399,0,
684,0,2,369,2000,,8523399,0,
685,0,2,370,2000,,8523399,0,
686,0,2,371,2000,,8523399,0,
687,0,2,372,2000,,8523399,0,
688,0,2,373,2000,,8523399,0,
689,0,2,374,2000,,8523399,0,
690,0,2,375,2000,,8523399,0,
691,0,2,376,2000,,8523399,0,
692,0,2,377,2000,,8523399,0,
693,0,2,378,2000,,8523399,0,
694,0,2,379,2000,,8523399,0,
695,0,2,380,2000,,8523399,0,
696,0,2,381,2000,,8523399,0,
697,0,2,382,2000,,8523399,0,
698,0,2,383,2000,,8523399,0,
