ID,Comment,TargetTime1,SkipRate11,SkipRate12,TargetTime2,SkipRate21,SkipRate22,TargetTime3,SkipRate31,SkipRate32,TargetTime4,SkipRate41,SkipRate42,TargetTime5,SkipRate51,SkipRate52,LocalizationArea
3120,无限塔第20层,43,5=100,,55,4=100,,67,3=100,,74,2=100,,95,2=100,,
3121,无限塔第21层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,
3122,无限塔第22层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3123,无限塔第23层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,
3124,无限塔第24层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3125,无限塔第25层,43,5=100,,55,4=100,,67,3=100,,74,2=100,,95,2=100,,
3126,无限塔第26层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,
3127,无限塔第27层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3128,无限塔第28层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,
3129,无限塔第29层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3130,无限塔第30层,56,5=100,,71,4=100,,86,3=100,,94,2=100,,120,2=100,,
3131,无限塔第31层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,
3132,无限塔第32层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3133,无限塔第33层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,
3134,无限塔第34层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3135,无限塔第35层,56,5=100,,71,4=100,,86,3=100,,94,2=100,,120,2=100,,
3136,无限塔第36层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,
3137,无限塔第37层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3138,无限塔第38层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,
3139,无限塔第39层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,
3140,无限塔第40层,56,5=100,,71,4=100,,86,3=100,,94,2=100,,120,2=100,,
3141,无限塔第41层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,11
3142,无限塔第42层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,11
3143,无限塔第43层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,11
3144,无限塔第44层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,11
3145,无限塔第45层,56,5=100,,71,4=100,,86,3=100,,94,2=100,,120,2=100,,11
3146,无限塔第46层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,11
3147,无限塔第47层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,11
3148,无限塔第48层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,11
3149,无限塔第49层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,11
3150,无限塔第50层,56,5=100,,71,4=100,,86,3=100,,94,2=100,,120,2=100,,11
3151,无限塔第51层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,9
3152,无限塔第52层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,9
3153,无限塔第53层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,9
3154,无限塔第54层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,9
3155,无限塔第55层,84,5=100,,106,4=100,,129,3=100,,141,2=100,,180,2=100,,9
3156,无限塔第56层,21,4=100,,25,3=100,,34,2=100,,38,2=100,,50,2=100,,9
3157,无限塔第57层,21,3=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,9
3158,无限塔第58层,38,2=100,,48,2=100,,60,2=100,,66,2=100,,85,2=100,,9
3159,无限塔第59层,21,2=100,,25,2=100,,34,2=100,,38,2=100,,50,2=100,,9
3160,无限塔第60层,84,5=100,,106,4=100,,129,3=100,,141,2=100,,180,2=100,,9
