ID,JackpotNum,Description,Prop,SortID,PriorityLevel,PrdID,Weight,DoorTime,BindInfo,ServerDaylLimit,GenderLimit
100606,1006,70级装备图纸碎片,2034010=40,6,2,-1,50,0,1,18=33,2
100607,1006,80级装备图纸碎片,2034011=40,7,2,-1,50,0,1,34=9999,2
100608,1006,崩裂迪齿轮幸运箱,3010120=1,8,2,-1,11,2,1,0,2
100609,1006,紫色武器自选时空卡册（7天）,2091165=1,9,2,-1,50,0,1,0,2
100610,1006,精炼保护礼盒Ⅰ,3010106=1,17,2,-1,35,0,1,0,2
100611,1006,彩虹粉末,2063002=160,18,2,-1,35,0,1,0,2
100612,1006,高级钛钢,3024028=1,10,2,-1,7,2,1,0,2
100613,1006,传说水晶,3020016=40,11,2,-1,50,0,1,75=9999,2
100614,1006,阳光猕猴桃,3024005=4,13,2,-1,50,0,1,1=74,2
100615,1006,莫拉硬币,3021001=90,14,2,-1,50,0,1,35=9999,2
100616,1006,微型精炼袋子,3010107=9,15,2,-1,50,0,1,1=34,2
100617,1006,配饰受祝福的矿石,3020015=5,12,2,-1,35,0,1,75=9999,2
100618,1006,奇异金属,2034006=450,16,2,-1,35,0,1,1=74,2
100619,1006,超级幸运打宝糖,1400302=4,19,2,-1,50,0,1,0,2
100701,1007,姜饼人饼干,1090051=1,1,1,1,50,0,1,51=9999,2
100702,1007,90级装备图纸碎片,2034012=10,2,2,-1,20,0,1,51=9999,2
100703,1007,高级精炼自选礼盒,3010133=2,3,2,-1,50,0,1,51=9999,2
100704,1007,高级锢魔石,3021010=1,4,2,-1,25,0,1,51=9999,2
100705,1007,莫拉硬币,3021001=20,5,2,-1,40,0,1,51=9999,2
100706,1007,彩虹护目镜碎片,2091505=1,6,2,-1,80,0,1,51=9999,2
100707,1007,珍贵的卡片碎片,3020022=1,7,2,-1,15,0,1,51=9999,2
100708,1007,冰雪狂欢币,2040020=30,8,2,-1,40,0,1,51=9999,2
100801,1008,圣诞眼镜,1080057=1,1,1,2,50,0,1,51=9999,2
100802,1008,90级装备图纸碎片,2034012=15,2,2,-1,30,0,1,51=9999,2
100803,1008,崩裂迪齿轮,3024024=1,3,2,-1,20,0,1,51=9999,2
100804,1008,稀有锢魔石,3021012=1,4,2,-1,20,0,1,51=9999,2
100805,1008,高级精炼自选礼盒,3010133=3,5,2,-1,50,0,1,51=9999,2
100806,1008,高级精炼保护礼盒,3010132=2,6,2,-1,50,0,1,51=9999,2
100807,1008,防具高级受祝福的矿石,3020024=1,7,2,-1,35,0,1,51=9999,2
100808,1008,武器高级受祝福的矿石,3020023=1,8,2,-1,35,0,1,51=9999,2
100809,1008,往期扭蛋自选礼包,2091303=3,9,2,-1,50,0,1,51=9999,2
100810,1008,冰雪大礼盒,2091504=3,10,2,-1,50,0,1,51=9999,2
100811,1008,圣诞络腮胡子碎片,2091505=1,11,2,-1,15,0,1,51=9999,2
100812,1008,神秘商店刷新券,2032004=12,12,2,-1,50,0,1,51=9999,2
100901,1009,圣诞驯鹿绒帽,1070208=1,1,1,3,50,0,1,51=9999,2
100902,1009,90级装备图纸碎片,2034012=30,2,2,-1,30,0,1,51=9999,2
100903,1009,紫色武器自选时空卡册（7天）,2091165=1,3,2,-1,15,0,1,51=9999,2
100904,1009,高级卡片转蛋,3010131=1,4,2,-1,30,0,1,51=9999,2
100905,1009,珍贵的卡片碎片,3020022=2,5,2,-1,20,0,1,51=9999,2
100906,1009,超级齿轮扭蛋,60660030=2,6,2,-1,50,0,1,51=9999,2
100907,1009,高级钛钢碎片,2091501=1,7,2,-1,10,0,1,51=9999,2
100908,1009,高级精炼自选礼盒,3010133=4,8,2,-1,50,0,1,51=9999,2
100909,1009,高级精炼保护礼盒,3010132=3,9,2,-1,50,0,1,51=9999,2
100910,1009,武器高级受祝福的矿石,3020023=1,10,2,-1,30,0,1,51=9999,2
100911,1009,高级锢魔石,3021010=2,11,2,-1,50,0,1,51=9999,2
100912,1009,稀有锢魔石,3021012=1,12,2,-1,20,0,1,51=9999,2
100913,1009,莫拉硬币,3021001=50,13,2,-1,50,0,1,51=9999,2
100914,1009,冰雪狂欢币,2040020=90,14,2,-1,50,0,1,51=9999,2
100915,1009,B型络腮胡子碎片袋,2091507=1,15,2,-1,20,0,1,51=9999,2
100916,1009,冰雪大礼盒,2091504=4,16,2,-1,50,0,1,51=9999,2
101001,1010,圣诞礼物袋,1100016=1,1,1,4,50,0,1,51=9999,2
101002,1010,90级装备图纸碎片,2034012=30,2,2,-1,30,0,1,51=9999,2
101003,1010,齿轮自选包Ⅰ,3011500=2,3,2,-1,20,0,1,51=9999,2
101004,1010,超级齿轮扭蛋,60660030=3,4,2,-1,50,0,1,51=9999,2
101005,1010,高级钛钢碎片,2091501=1,5,2,-1,15,0,1,51=9999,2
101006,1010,稀有锢魔石,3021012=2,6,2,-1,15,0,1,51=9999,2
101007,1010,高级锢魔石,3021010=3,7,2,-1,50,0,1,51=9999,2
101008,1010,莫拉硬币,3021001=70,8,2,-1,50,0,1,51=9999,2
101009,1010,高级卡片转蛋,3010131=1,9,2,-1,50,0,1,51=9999,2
101010,1010,珍贵的卡片碎片,3020022=3,10,2,-1,20,0,1,51=9999,2
101011,1010,魔力晶石,40000010=800,11,2,-1,50,0,1,51=9999,2
101012,1010,α-能量体,3020016=30,12,2,-1,50,0,1,51=9999,2
101013,1010,高级精炼自选礼盒,3010133=5,13,2,-1,50,0,1,51=9999,2
101014,1010,高级精炼保护礼盒,3010132=3,14,2,-1,50,0,1,51=9999,2
101015,1010,武器高级受祝福的矿石,3020023=2,15,2,-1,30,0,1,51=9999,2
101016,1010,防具高级受祝福的矿石,3020024=2,16,2,-1,30,0,1,51=9999,2
101017,1010,冰雪大礼盒,2091504=5,17,2,-1,50,0,1,51=9999,2
101018,1010,A型络腮胡子碎片袋,2091506=1,18,2,-1,15,0,1,51=9999,2
101019,1010,C型稀有头饰材料包,2092008=3,19,2,-1,50,0,1,51=9999,2
101020,1010,zeny,102=30000,20,2,-1,50,0,1,51=9999,2
101101,1012,圣诞快乐套装（男）,1010049=1,1,1,5,50,0,1,51=9999,0
101102,1012,圣诞快乐套装（女）,1010050=1,2,1,5,50,0,1,51=9999,1
101103,1012,90级装备图纸碎片,2034012=40,3,2,-1,30,0,1,51=9999,2
101104,1012,C型绑定头饰图纸自选包,3010135=1,4,2,-1,10,0,1,51=9999,2
101105,1012,齿轮自选包Ⅰ,3011500=2,5,2,-1,30,0,1,51=9999,2
101106,1012,超级齿轮扭蛋,60660030=5,6,2,-1,50,0,1,51=9999,2
101107,1012,高级钛钢,3024028=1,7,2,-1,5,0,1,51=9999,2
101108,1012,α-能量体,3020016=30,8,2,-1,50,0,1,51=9999,2
101109,1012,高级精炼自选礼盒,3010133=8,9,2,-1,50,0,1,51=9999,2
101110,1012,高级精炼保护礼盒,3010132=5,10,2,-1,50,0,1,51=9999,2
101111,1012,武器高级受祝福的矿石,3020023=2,11,2,-1,30,0,1,51=9999,2
101112,1012,防具高级受祝福的矿石,3020024=2,12,2,-1,30,0,1,51=9999,2
101113,1012,稀有锢魔石,3021012=2,13,2,-1,20,0,1,51=9999,2
101114,1012,高级锢魔石,3021010=5,14,2,-1,50,0,1,51=9999,2
101115,1012,莫拉硬币,3021001=100,15,2,-1,50,0,1,51=9999,2
101116,1012,往期扭蛋自选礼包,2091303=6,16,2,-1,50,0,1,51=9999,2
101117,1012,冰雪大礼盒,2091504=8,17,2,-1,50,0,1,51=9999,2
101118,1012,珍贵的卡片碎片,3020022=3,18,2,-1,20,0,1,51=9999,2
101119,1012,C型稀有头饰材料包,2092008=4,19,2,-1,50,0,1,51=9999,2
101120,1012,B型络腮胡子碎片袋,2091507=1,20,2,-1,15,0,1,51=9999,2
101121,1012,彩虹粉末礼包,2091115=4,21,2,-1,50,0,1,51=9999,2
101122,1012,魔力晶石,40000010=1200,22,2,-1,50,0,1,51=9999,2
101123,1012,zeny,102=40000,23,2,-1,50,0,1,51=9999,2
101124,1012,冰雪狂欢币,2040020=150,24,2,-1,50,0,1,51=9999,2
101125,1012,神秘商店刷新券,2032004=30,25,2,-1,50,0,1,51=9999,2
101201,1011,驯鹿摩托车,1021045=1,1,1,6,50,0,1,51=9999,2
101202,1011,90级装备图纸碎片,2034012=40,2,2,-1,30,0,1,51=9999,2
101203,1011,95级1洞饰品自选箱,2091508=1,3,2,-1,5,0,1,51=9999,2
101204,1011,冻干水果自选箱,3011504=1,4,2,-1,10,0,1,51=9999,2
101205,1011,超级饼干,3024003=10,5,2,-1,50,0,1,51=9999,2
101206,1011,阳光猕猴桃,3024005=3,6,2,-1,50,0,1,51=9999,2
101207,1011,齿轮自选包Ⅰ,3011500=2,7,2,-1,50,0,1,51=9999,2
101208,1011,高级钛钢碎片,2091501=2,8,2,-1,30,0,1,51=9999,2
101209,1011,α-能量体,3020016=40,9,2,-1,50,0,1,51=9999,2
101210,1011,高级精炼自选礼盒,3010133=8,10,2,-1,50,0,1,51=9999,2
101211,1011,高级精炼保护礼盒,3010132=4,11,2,-1,50,0,1,51=9999,2
101212,1011,武器高级受祝福的矿石,3020023=2,12,2,-1,30,0,1,51=9999,2
101213,1011,防具高级受祝福的矿石,3020024=2,13,2,-1,30,0,1,51=9999,2
101214,1011,紫色武器自选时空卡册（7天）,2091165=1,14,2,-1,10,0,1,51=9999,2
101215,1011,高级卡片转蛋,3010131=1,15,2,-1,50,0,1,51=9999,2
101216,1011,珍贵的卡片碎片,3020022=3,16,2,-1,30,0,1,51=9999,2
101217,1011,稀有锢魔石,3021012=3,17,2,-1,20,0,1,51=9999,2
101218,1011,高级锢魔石,3021010=4,18,2,-1,50,0,1,51=9999,2
101219,1011,莫拉硬币,3021001=100,19,2,-1,70,0,1,51=9999,2
101220,1011,冰雪狂欢币,2040020=150,20,2,-1,50,0,1,51=9999,2
101221,1011,冰雪大礼盒,2091504=10,21,2,-1,30,0,1,51=9999,2
101222,1011,奇异金属,2034006=400,22,2,-1,50,0,1,51=9999,2
101223,1011,A型络腮胡子碎片袋,2091506=1,23,2,-1,15,0,1,51=9999,2
101224,1011,铜币,101=5000000,24,2,-1,50,0,1,51=9999,2
110701,1007,姜饼人饼干,1090051=1,1,1,1,50,0,1,0=50,2
110702,1007,50级装备图纸碎片,2034008=10,2,2,-1,20,0,1,0=50,2
110703,1007,高级精炼自选礼盒,3010133=2,3,2,-1,50,0,1,0=50,2
110704,1007,受祝福的矿石自选袋子,2091166=1,4,2,-1,25,0,1,0=50,2
110705,1007,以太因子补充卡,2040016=1,5,2,-1,40,0,1,0=50,2
110706,1007,彩虹护目镜碎片,2091505=1,6,2,-1,80,0,1,0=50,2
110707,1007,珍贵的卡片碎片,3020022=1,7,2,-1,15,0,1,0=50,2
110708,1007,冰雪狂欢币,2040020=30,8,2,-1,40,0,1,0=50,2
110801,1008,圣诞眼镜,1080057=1,1,1,2,50,0,1,0=50,2
110802,1008,50级装备图纸碎片,2034008=15,2,2,-1,30,0,1,0=50,2
110803,1008,崩裂迪齿轮,3024024=1,3,2,-1,20,0,1,0=50,2
110804,1008,声望箱子,3026005=21,4,2,-1,20,0,1,0=50,2
110805,1008,高级精炼自选礼盒,3010133=3,5,2,-1,50,0,1,0=50,2
110806,1008,高级精炼保护礼盒,3010132=2,6,2,-1,50,0,1,0=50,2
110807,1008,防具高级受祝福的矿石,3020024=1,7,2,-1,35,0,1,0=50,2
110808,1008,武器高级受祝福的矿石,3020023=1,8,2,-1,35,0,1,0=50,2
110809,1008,往期扭蛋自选礼包,2091303=3,9,2,-1,50,0,1,0=50,2
110810,1008,冰雪大礼盒,2091504=3,10,2,-1,50,0,1,0=50,2
110811,1008,圣诞络腮胡子碎片,2091505=1,11,2,-1,15,0,1,0=50,2
110812,1008,神秘商店刷新券,2032004=12,12,2,-1,50,0,1,0=50,2
110901,1009,圣诞驯鹿绒帽,1070208=1,1,1,3,50,0,1,0=50,2
110902,1009,50级装备图纸碎片,2034008=30,2,2,-1,30,0,1,0=50,2
110903,1009,紫色武器自选时空卡册（7天）,2091165=1,3,2,-1,15,0,1,0=50,2
110904,1009,高级卡片转蛋,3010131=1,4,2,-1,30,0,1,0=50,2
110905,1009,珍贵的卡片碎片,3020022=2,5,2,-1,20,0,1,0=50,2
110906,1009,超级齿轮扭蛋,60660030=2,6,2,-1,50,0,1,0=50,2
110907,1009,高级钛钢碎片,2091501=1,7,2,-1,10,0,1,0=50,2
110908,1009,高级精炼自选礼盒,3010133=4,8,2,-1,50,0,1,0=50,2
110909,1009,高级精炼保护礼盒,3010132=3,9,2,-1,50,0,1,0=50,2
110910,1009,武器高级受祝福的矿石,3020023=1,10,2,-1,30,0,1,0=50,2
110911,1009,防具高级受祝福的矿石,3020024=1,11,2,-1,50,0,1,0=50,2
110912,1009,阳光猕猴桃,3024005=2,12,2,-1,20,0,1,0=50,2
110913,1009,魔力晶石,40000010=850,13,2,-1,50,0,1,0=50,2
110914,1009,冰雪狂欢币,2040020=90,14,2,-1,50,0,1,0=50,2
110915,1009,B型络腮胡子碎片袋,2091507=1,15,2,-1,20,0,1,0=50,2
110916,1009,冰雪大礼盒,2091504=4,16,2,-1,50,0,1,0=50,2
111001,1010,圣诞礼物袋,1100016=1,1,1,4,50,0,1,0=50,2
111002,1010,50级装备图纸碎片,2034008=30,2,2,-1,30,0,1,0=50,2
111003,1010,齿轮自选包Ⅰ,3011500=2,3,2,-1,20,0,1,0=50,2
111004,1010,超级齿轮扭蛋,60660030=3,4,2,-1,50,0,1,0=50,2
111005,1010,高级钛钢碎片,2091501=1,5,2,-1,15,0,1,0=50,2
111006,1010,超级饼干,3024003=14,6,2,-1,15,0,1,0=50,2
111007,1010,小声望箱子,3026006=60,7,2,-1,50,0,1,0=50,2
111008,1010,中级钛钢,3024029=1,8,2,-1,50,0,1,0=50,2
111009,1010,高级卡片转蛋,3010131=1,9,2,-1,50,0,1,0=50,2
111010,1010,珍贵的卡片碎片,3020022=3,10,2,-1,20,0,1,0=50,2
111011,1010,魔力晶石,40000010=800,11,2,-1,50,0,1,0=50,2
111012,1010,贝思波齿轮,3024023=5,12,2,-1,50,0,1,0=50,2
111013,1010,高级精炼自选礼盒,3010133=5,13,2,-1,50,0,1,0=50,2
111014,1010,高级精炼保护礼盒,3010132=3,14,2,-1,50,0,1,0=50,2
111015,1010,武器高级受祝福的矿石,3020023=2,15,2,-1,30,0,1,0=50,2
111016,1010,防具高级受祝福的矿石,3020024=2,16,2,-1,30,0,1,0=50,2
111017,1010,冰雪大礼盒,2091504=5,17,2,-1,50,0,1,0=50,2
111018,1010,A型络腮胡子碎片袋,2091506=1,18,2,-1,15,0,1,0=50,2
111019,1010,C型稀有头饰材料包,2092008=3,19,2,-1,50,0,1,0=50,2
111020,1010,zeny,102=30000,20,2,-1,50,0,1,0=50,2
111101,1012,圣诞快乐套装（男）,1010049=1,1,1,5,50,0,1,0=50,0
111102,1012,圣诞快乐套装（女）,1010050=1,2,1,5,50,0,1,0=50,1
111103,1012,50级装备图纸碎片,2034008=40,3,2,-1,30,0,1,0=50,2
111104,1012,C型绑定头饰图纸自选包,3010135=1,4,2,-1,10,0,1,0=50,2
111105,1012,齿轮自选包Ⅰ,3011500=2,5,2,-1,30,0,1,0=50,2
111106,1012,超级齿轮扭蛋,60660030=5,6,2,-1,50,0,1,0=50,2
111107,1012,高级钛钢,3024028=1,7,2,-1,5,0,1,0=50,2
111108,1012,贝思波齿轮,3024023=5,8,2,-1,50,0,1,0=50,2
111109,1012,高级精炼自选礼盒,3010133=8,9,2,-1,50,0,1,0=50,2
111110,1012,高级精炼保护礼盒,3010132=5,10,2,-1,50,0,1,0=50,2
111111,1012,武器高级受祝福的矿石,3020023=2,11,2,-1,30,0,1,0=50,2
111112,1012,防具高级受祝福的矿石,3020024=2,12,2,-1,30,0,1,0=50,2
111113,1012,阳光猕猴桃,3024005=4,13,2,-1,20,0,1,0=50,2
111114,1012,武器受祝福的矿石,3020013=5,14,2,-1,50,0,1,0=50,2
111115,1012,以太因子增幅卡,2040017=1,15,2,-1,50,0,1,0=50,2
111116,1012,往期扭蛋自选礼包,2091303=6,16,2,-1,50,0,1,0=50,2
111117,1012,冰雪大礼盒,2091504=8,17,2,-1,50,0,1,0=50,2
111118,1012,珍贵的卡片碎片,3020022=3,18,2,-1,20,0,1,0=50,2
111119,1012,C型稀有头饰材料包,2092008=4,19,2,-1,50,0,1,0=50,2
111120,1012,B型络腮胡子碎片袋,2091507=1,20,2,-1,15,0,1,0=50,2
111121,1012,彩虹粉末礼包,2091115=4,21,2,-1,50,0,1,0=50,2
111122,1012,魔力晶石,40000010=1200,22,2,-1,50,0,1,0=50,2
111123,1012,zeny,102=40000,23,2,-1,50,0,1,0=50,2
111124,1012,冰雪狂欢币,2040020=150,24,2,-1,50,0,1,0=50,2
111125,1012,神秘商店刷新券,2032004=30,25,2,-1,50,0,1,0=50,2
111201,1011,驯鹿摩托车,1021045=1,1,1,6,50,0,1,0=50,2
111202,1011,50级装备图纸碎片,2034008=40,2,2,-1,30,0,1,0=50,2
111203,1011,65级1洞饰品自选箱,2091153=1,3,2,-1,5,0,1,0=50,2
111204,1011,冻干水果自选箱,3011504=1,4,2,-1,10,0,1,0=50,2
111205,1011,超级饼干,3024003=10,5,2,-1,50,0,1,0=50,2
111206,1011,阳光猕猴桃,3024005=3,6,2,-1,50,0,1,0=50,2
111207,1011,超级幸运打宝糖,1400302=4,7,2,-1,50,0,1,0=50,2
111208,1011,齿轮自选包Ⅰ,3011500=2,8,2,-1,50,0,1,0=50,2
111209,1011,高级钛钢碎片,2091501=2,9,2,-1,30,0,1,0=50,2
111210,1011,高级精炼自选礼盒,3010133=8,10,2,-1,50,0,1,0=50,2
111211,1011,高级精炼保护礼盒,3010132=4,11,2,-1,50,0,1,0=50,2
111212,1011,武器高级受祝福的矿石,3020023=2,12,2,-1,30,0,1,0=50,2
111213,1011,防具高级受祝福的矿石,3020024=2,13,2,-1,30,0,1,0=50,2
111214,1011,紫色武器自选时空卡册（7天）,2091165=1,14,2,-1,10,0,1,0=50,2
111215,1011,高级卡片转蛋,3010131=1,15,2,-1,50,0,1,0=50,2
111216,1011,珍贵的卡片碎片,3020022=3,16,2,-1,30,0,1,0=50,2
111217,1011,高级齿轮扭蛋,60660010=10,17,2,-1,20,0,1,0=50,2
111218,1011,超级齿轮扭蛋,60660030=4,18,2,-1,50,0,1,0=50,2
111219,1011,小声望箱子,3026006=125,19,2,-1,70,0,1,0=50,2
111220,1011,冰雪狂欢币,2040020=150,20,2,-1,50,0,1,0=50,2
111221,1011,冰雪大礼盒,2091504=10,21,2,-1,30,0,1,0=50,2
111222,1011,奇异金属,2034006=400,22,2,-1,50,0,1,0=50,2
111223,1011,A型络腮胡子碎片袋,2091506=1,23,2,-1,15,0,1,0=50,2
111224,1011,铜币,101=5000000,24,2,-1,50,0,1,0=50,2
101301,1013,花牌,1090059=1,1,1,7,50,0,1,150=999,2
101302,1013,100级装备图纸碎片,2034013=10,2,2,-1,30,0,1,150=999,2
101303,1013,莫拉硬币升级箱Ⅰ,2151530=2,3,2,-1,50,0,1,150=999,2
101304,1013,星星棒嘴饰扭蛋,2151536=5,4,2,-1,40,0,1,150=999,2
101305,1013,珍贵的卡片碎片,3020022=1,5,2,-1,15,0,1,150=999,2
101306,1013,高级锢魔石,3021010=1,6,2,-1,20,0,1,150=999,2
101307,1013,小声望箱子,3026006=15,7,2,-1,40,0,1,150=999,2
101308,1013,强化金属自选礼盒,3011512=3,8,2,-1,30,0,1,150=999,2
101309,1013,以太因子补充卡,2040016=1,9,2,-1,15,0,1,150=999,2
101310,1013,神秘商店刷新券,2032004=6,10,2,-1,30,0,1,150=999,2
111301,1013,花牌,1090059=1,1,1,7,50,0,1,61=149,2
111302,1013,100级装备图纸碎片,2034012=10,2,2,-1,30,0,1,61=149,2
111303,1013,莫拉硬币升级箱Ⅰ,2151530=2,3,2,-1,50,0,1,61=149,2
111304,1013,星星棒嘴饰扭蛋,2151536=5,4,2,-1,40,0,1,61=149,2
111305,1013,珍贵的卡片碎片,3020022=1,5,2,-1,15,0,1,61=149,2
111306,1013,高级锢魔石,3021010=1,6,2,-1,20,0,1,61=149,2
111307,1013,小声望箱子,3026006=15,7,2,-1,40,0,1,61=149,2
111308,1013,强化金属自选礼盒,3011512=3,8,2,-1,30,0,1,61=149,2
111309,1013,以太因子补充卡,2040016=1,9,2,-1,15,0,1,61=149,2
111310,1013,神秘商店刷新券,2032004=6,10,2,-1,30,0,1,61=149,2
121301,1013,花牌,1090059=1,1,1,7,50,0,1,0=60,2
121302,1013,80级装备图纸碎片,2034011=10,2,2,-1,30,0,1,0=60,2
121303,1013,莫拉硬币升级箱Ⅰ,2151530=2,3,2,-1,50,0,1,0=60,2
121304,1013,星星棒嘴饰扭蛋,2151536=5,4,2,-1,40,0,1,0=60,2
121305,1013,珍贵的卡片碎片,3020022=1,5,2,-1,15,0,1,0=60,2
121306,1013,高级锢魔石,3021010=1,6,2,-1,20,0,1,0=60,2
121307,1013,小声望箱子,3026006=15,7,2,-1,40,0,1,0=60,2
121308,1013,超级饼干,3024003=3,8,2,-1,30,0,1,0=60,2
121309,1013,以太因子补充卡,2040016=1,9,2,-1,15,0,1,0=60,2
121310,1013,神秘商店刷新券,2032004=6,10,2,-1,30,0,1,0=60,2
101401,1014,仙女棒烟花,1090060=1,1,1,8,50,0,1,150=999,2
101402,1014,100级装备图纸碎片,2034013=10,2,2,-1,30,0,1,150=999,2
101403,1014,崩裂迪齿轮升级箱Ⅰ,2151533=1,3,2,-1,15,0,1,150=999,2
101404,1014,莫拉硬币升级箱Ⅰ,2151530=1,4,2,-1,20,0,1,150=999,2
