Id,SkillUuid,Level,NameDesign,Desc,Name,IsIP,TargetType,SkillTargetRangeType,SkillRangeType,SkillHatedType,SkillType,SkillDamType,IsAffectedASPD,ASPDPercent,IsAffectedASPDExtra,IsAoe,PushInterupt,SkillAttr,IsKnockBack,Length,IsRangeAttrImpact,IsRangeWeaponAttrImpact,WeaponTypeLimit,SecondWeaponTypeLimit,Limits,IsDisableCD,EffectExIDs,SkillPanelPos,SpePreSkillRequired,LinkAutoAtack,IsChangeColor,ChangeColor,InteruptSkill,IsUseArrow,IconEx,LimitScene,LimitSceneType,NeedEffectRange,IsEffectExStandalone,IsPassive,AutoBattlePRI,SkillEffectElementEnergy,EnergyTips,AnimationType,SingingAnimation,PreSkillRequired,SkillTypeIcon,Atlas,Icon,SkillDataPath,AITreeName,SkillDesc,SkillDescAdd,SimpleSkillDesc,ActiveCardDesc,AllowUI,LocalizationArea,Skill_Text,SkillID,SkillEffectNum,AttackCount,CreateBuff,PVEDamageRadio,PVEStaticDam,PVEFloatSingingTime,PVEFixSingingTime,PVECoolTime,PVEGroupCoolTimeType,PVEGroupCoolTime,PVPDamageRadio,PVPStaticDam,PVPFloatSingingTime,PVPFixSingingTime,PVPCoolTime,PVPGroupCoolTimeType,PVPGroupCoolTime,LowRange,FarRange,HatredToTarget,HatredPercentToTarget,HatredToMe,HatredPercentToMe,SkillCost,SkillElementEnergy,BattleVehicle,EffectShape,EffectRange,BreakHiding,AshByLua,CostDesc,SkillDescRep,CreateGroupBuff,Hatredcoefficient,SkillTriggerID,PVEConfigData,PVPConfigData,ServerUUIDData,CostSpiritSpheres,ScriptParameter,SkillScriptPrefix,SkillScriptPostfix,SkillGroupID
10,10,1,友方buff技能,友方buff技能,天使之赐福,0,2,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,-1,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,一段时间内提升目标及友方队员属性：力量值+<color=$$Yellow$$>{0}</color>点，灵巧值+<color=$$Yellow$$>{1}</color>点，智力值+<color=$$Yellow$$>{2}</color>点，持续<color=$$Yellow$$>{3}</color>秒，同时解除目标诅咒和石化效果,,,,,,友方buff技能,10,1,999|999,100101=10000|102401=10000,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,7,100,,,,7=20,,0,0,0,,0,,1|1|1|60,,,,,,Player_Acolyte|Player_Acolyte_TianShiZhiCiFu|0|0|0,,,Player_Acolyte_TianShiZhiCiFu,,10
11,11,1,队内buff技能,队内buff技能,撒水祈福,0,3,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,-1,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_SaShuiQiFu.png,Player_Priest,,为队伍内的一名队员赋予武器圣属性，使其对不死属性和恶魔系魔物造成更多的伤害，持续<color=$$Yellow$$>{0}</color>秒,,将自身及队友武器改变为圣属性，持续一段时间,,,,队内buff技能,11,1,1,105801=10000,0,0,0,0,0,1,2,0,0,0,0,0,1,3,0,7,100,,,,7=12,,0,0,0,,0,,60,,,,,,Player_Priest|Player_Priest_SaShuiQiFu|0|0|0,,,Player_Priest_SaShuiQiFu,,11
12,12,1,对死亡目标释放技能,对死亡目标释放技能,复活术,0,5,0,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,-1,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_FuHuoShu.png,Player_Acolyte,,借助天使力量复活HP为0的友方目标，并恢复其<color=$$Yellow$$>{0}</color>%*MaxHP的生命值,,复活一个友方单位，使其恢复战斗力,,,,对死亡目标释放技能,12,1,1,100801=10000,0,,0,7,1,1,0,0,,7,1,1,0,0,0,7,100,,,,7=50,,0,0,0,,1,,10,,,,,,Player_Acolyte|Player_Acolyte_FuHuoShu|0|0|0,,,Player_Acolyte_FuHuoShu,,12
500101,5001,1,天使怒火,贝鲁兹核心,,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,,贝鲁兹核心4010,5001,1,1,6500601=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,30|6,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,Player_Acolyte_TianShiNuHuo,,5001
500102,5001,2,天使怒火,贝鲁兹核心,,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,,贝鲁兹核心4010,5001,1,1,6500602=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,50|10,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,Player_Acolyte_TianShiNuHuo,,5001
500103,5001,3,天使怒火,贝鲁兹核心,,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,,贝鲁兹核心4010,5001,1,1,6500603=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,Player_Acolyte_TianShiNuHuo,,5001
500104,5001,4,天使怒火,贝鲁兹核心,,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,,贝鲁兹核心4010,5001,1,1,6500604=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,Player_Acolyte_TianShiNuHuo,,5001
500105,5001,5,天使怒火,贝鲁兹核心,,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,,贝鲁兹核心4010,5001,1,1,6500605=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,Player_Acolyte_TianShiNuHuo,,5001
500106,5001,6,天使怒火,贝鲁兹核心,,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,,贝鲁兹核心4010,5001,1,1,6500606=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,Player_Acolyte_TianShiNuHuo,,5001
500107,5001,7,天使怒火,贝鲁兹核心,,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,,贝鲁兹核心4010,5001,1,1,6500607=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,Player_Acolyte_TianShiNuHuo,,5001
500108,5001,8,天使怒火,贝鲁兹核心,,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,,贝鲁兹核心4010,5001,1,1,6500608=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,Player_Acolyte_TianShiNuHuo,,5001
500109,5001,9,天使怒火,贝鲁兹核心,,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,,贝鲁兹核心4010,5001,1,1,6500609=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,Player_Acolyte_TianShiNuHuo,,5001
500110,5001,10,天使怒火,贝鲁兹核心,,0,1,3,0,2,0,2,0,,0,0,1,,0,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,2,Skill_Acolyte,UI_Icon_Skill_Acolyte_TianShiZhiCiFu.png,Player_Acolyte,,15秒内减少自身可变吟唱<color=$$Yellow$$>{0}</color>%，增加自身魔法攻击<color=$$Yellow$$>{1}</color>%,,,,,,贝鲁兹核心4010,5001,1,1,6500610=10000,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,7,100,,,,,,0,0,0,,0,,70|14,,,,,,Player_Acolyte|Player_Acolyte_TianShiNuHuo|0|0|0,,,Player_Acolyte_TianShiNuHuo,,5001
500201,5002,1,延续治愈,贝鲁兹核心,,0,0,0,0,1,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,Player_Acolyte,,,,,,,,贝鲁兹核心4011,5002,1,1,,1000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,12,100,,,,,,0,0,0,,0,,,,,,,,Player_Acolyte|Player_Acolyte_YanXuZhiYu|0|0|0,,,Player_Acolyte_YanXuZhiYu,,5002
500202,5002,2,延续治愈,贝鲁兹核心,,0,0,0,0,1,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,Player_Acolyte,,,,,,,,贝鲁兹核心4011,5002,1,1,,2000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,12,100,,,,,,0,0,0,,0,,,,,,,,Player_Acolyte|Player_Acolyte_YanXuZhiYu|0|0|0,,,Player_Acolyte_YanXuZhiYu,,5002
500203,5002,3,延续治愈,贝鲁兹核心,,0,0,0,0,1,0,2,0,,0,0,1,,,0,,,,,,0,,,,0,0,,,,,,,0,,0,0,,,0,0,,,,,Player_Acolyte,,,,,,,,贝鲁兹核心4011,5002,1,1,,3000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,12,100,,,,,,0,0,0,,0,,,,,,,,Player_Acolyte|Player_Acolyte_YanXuZhiYu|0|0|0,,,Player_Acolyte_YanXuZhiYu,,5002
500301,510103,1,深红切割（刺客）,,深红切割,0,4,0,0,1,0,1,0,,0,0,1,0,0,0,,,,,,0,,2=1,,0,0,,,,,,,0,,0,0,,,0,0,51010901=5=1,0,Skill_Thief,UI_Icon_Skill_Thief_ShenHongQieGe.png,Player_Assassin,AutoBattle_Player_Assassin_ShenHongQieGe,施放深红死亡印记，对指定单体目标瞬间进行多段重击，共造成<color=$$Yellow$$>{0}</color>%+<color=$$Yellow$$>{1}</color>无属性物理伤害,,红色十字切割，对敌方单位造成多段打击,,,,刺客,5003,1,1|1,,27000,30,0,0,0,1,2,27000,0,0,0,0,1,2,0,3,1,,,,7=5,,0,0,0,,0,,270|30,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,Player_Assassin_ShiZiZhan,,5003
500302,510103,2,深红切割（刺客）,,深红切割,0,4,0,0,1,0,1,0,,0,0,1,0,0,0,,,,,,0,,2=1,,0,0,,,,,,,0,,0,0,,,0,0,51010901=5=1,0,Skill_Thief,UI_Icon_Skill_Thief_ShenHongQieGe.png,Player_Assassin,AutoBattle_Player_Assassin_ShenHongQieGe,施放深红死亡印记，对指定单体目标瞬间进行多段重击，共造成<color=$$Yellow$$>{0}</color>%+<color=$$Yellow$$>{1}</color>无属性物理伤害,,红色十字切割，对敌方单位造成多段打击,,,,刺客,5003,1,1|1,,29000,60,0,0,0,1,2,29000,0,0,0,0,1,2,0,3,1,,,,7=7,,0,0,0,,0,,290|60,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,Player_Assassin_ShiZiZhan,,5003
500303,510103,3,深红切割（刺客）,,深红切割,0,4,0,0,1,0,1,0,,0,0,1,0,0,0,,,,,,0,,2=1,,0,0,,,,,,,0,,0,0,,,0,0,51010901=5=1,0,Skill_Thief,UI_Icon_Skill_Thief_ShenHongQieGe.png,Player_Assassin,AutoBattle_Player_Assassin_ShenHongQieGe,施放深红死亡印记，对指定单体目标瞬间进行多段重击，共造成<color=$$Yellow$$>{0}</color>%+<color=$$Yellow$$>{1}</color>无属性物理伤害,,红色十字切割，对敌方单位造成多段打击,,,,刺客,5003,1,1|1,,31000,90,0,0,0,1,2,31000,0,0,0,0,1,2,0,3,1,,,,7=9,,0,0,0,,0,,310|90,,,,,,Player_Assassin|Player_Assassin_ShiZiZhan|0|0|0,,,Player_Assassin_ShiZiZhan,,5003
