ID,Name,SortID,Atlas,Photo,FrameBot,Description,AutoUse,Default,isHide,LocalizationArea,ShowTimeRules,ShowTimeRulesPara
1041016,萌萌奶牛头像框,16,Personal_Headframe02,UI_Headframe01_Icon_14_1.png,UI_Headframe01_Icon_14_2.png,通过新春星愿抽奖活动获得,,,,9,,
1041015,艺术家头像框,15,Personal_Headframe02,UI_Headframe01_Icon_15_1.png,UI_Headframe01_Icon_15_2.png,通过购买新春通行证获得,,,,9,,
1041017,时空模拟战黄金头像框,18,Personal_Headframe02,UI_Headframe01_Icon_5v5_21_1.png,UI_Headframe01_Icon_5v5_21_2.png,时空模拟战排位赛结算达到黄金分段,,,,9,,
1041018,时空模拟战铂金头像框,19,Personal_Headframe02,UI_Headframe01_Icon_5v5_22_1.png,UI_Headframe01_Icon_5v5_22_2.png,时空模拟战排位赛结算达到铂金分段,,,,9,,
1041019,时空模拟战钻石头像框,20,Personal_Headframe02,UI_Headframe01_Icon_5v5_23_1.png,UI_Headframe01_Icon_5v5_23_2.png,时空模拟战排位赛结算达到钻石分段,,,,9,,
1041020,时空模拟战无双头像框,21,Personal_Headframe02,UI_Headframe01_Icon_5v5_24_1.png,UI_Headframe01_Icon_5v5_24_2.png,时空模拟战排位赛结算达到无双分段,,,,9,,
1041101,破晓之光头像框,17,Personal_Headframe02,UI_Headframe01_Icon_16_1.png,UI_Headframe01_Icon_16_2.png,收集时装套获得神话古币后兑换获得,,,,11,,
1041901,RAO记者头像框,22,Personal_Headframe02,UI_Headframe01_Icon_wcx_14_1.png,UI_Headframe01_Icon_wcx_14_2.png,通过运营活动获得,,,,2,,
1041026,莓果奇缘头像框,23,Personal_Headframe02,UI_Headframe01_Icon_42_1_yyz.png,UI_Headframe01_Icon_42_2_yyz.png,通过购买春日通行证获得,,,,9,,
1041027,缤纷夏日头像框,24,Personal_Headframe02,UI_Headframe01_Icon_43_1_yyz.png,UI_Headframe01_Icon_43_2_yyz.png,通过购买初夏通行证获得,,,,11,,
1041028,清凉夏日头像框,25,Personal_Headframe02,UI_Headframe01_Icon_44_1_yyz.png,UI_Headframe01_Icon_44_2_yyz.png,完成时空模拟战赛季任务获得,,,,9,,
1041029,热带风情头像框（15天）,29,Personal_Headframe02,UI_Headframe01_Icon_46_1_yyz.png,UI_Headframe01_Icon_46_2_yyz.png,开启菠萝通行证活动兑换的“菠萝小礼盒”时有几率获得,,,,9,,
1041030,感谢你喜欢RO头像框（15天）,30,Personal_Headframe02,UI_Headframe01_Icon_45_1_xhy.png,UI_Headframe01_Icon_45_2_xhy.png,通过参与周年庆典时装扭蛋活动有几率获得,,,,9,,
1041031,精炼勇士头像框,31,Personal_Headframe02,UI_Headframe01_Icon_47_1_zz.png,UI_Headframe01_Icon_47_2_zz.png,周年庆典精炼行动排名第6-20名获得,,,,9,,
1041032,精炼先锋头像框,32,Personal_Headframe02,UI_Headframe01_Icon_48_1_zz.png,UI_Headframe01_Icon_48_2_zz.png,周年庆典精炼行动排名第2-5名获得,,,,9,,
1041033,精炼领袖头像框,33,Personal_Headframe02,UI_Headframe01_Icon_49_1_zz.png,UI_Headframe01_Icon_49_2_zz.png,周年庆典-精炼行动排行榜第1名获得,,,,9,,
1041034,热血棒球头像框（15天）,34,Personal_Headframe02,UI_Headframe01_Icon_53_1_yyz.png,UI_Headframe01_Icon_53_2_yyz.png,开启棒球通行证活动兑换的“棒球小礼盒”时有几率获得,,,,9,,
1041035,荆棘之冠头像框（60天）,35,Personal_Headframe02,UI_Headframe01_Icon_5v5_25_1.png,UI_Headframe01_Icon_5v5_25_2.png,天下第一勇者大会-时空决胜赛冠军获得,,,,9,,
1041036,明月玉兔头像框,36,Personal_Headframe02,UI_Headframe01_Icon_57_1_yyz.png,UI_Headframe01_Icon_57_2_yyz.png,2021年中秋活动——米莉的团子屋，集齐所有特色团子头像后获得,,,,2,1,20210914=050000|20301231=045959
1041037,明月玉兔头像框,37,Personal_Headframe02,UI_Headframe01_Icon_57_1_yyz.png,UI_Headframe01_Icon_57_2_yyz.png,2021年中秋活动——米莉的蔬菜饼屋，集齐所有特色蔬菜饼头像后获得,,,,25,1,20210914=050000|20301231=045959
1041038,荆棘守护头像框（60天）,38,Personal_Headframe02,UI_Headframe01_Icon_5v5_26_1.png,UI_Headframe01_Icon_5v5_26_2.png,天下第一勇者大会-时空决胜赛亚军、季军获得,,,,9,,
1041039,荆棘之矢头像框（60天）,39,Personal_Headframe02,UI_Headframe01_Icon_5v5_27_1.png,UI_Headframe01_Icon_5v5_27_2.png,天下第一勇者大会-时空决胜赛殿军、八强获得,,,,9,,
1041040,荆棘之力头像框（60天）,40,Personal_Headframe02,UI_Headframe01_Icon_5v5_28_1.png,UI_Headframe01_Icon_5v5_28_2.png,天下第一勇者大会-时空决胜赛十六强获得,,,,9,,
1041041,时空漫游者头像框,41,Personal_Headframe02,UI_Headframe01_Icon_17_1_zy.png,UI_Headframe01_Icon_17_2_zy.png,通过神话商店兑换获得,,,,9,,
1041042,鬼马精灵头像框（15天）,42,Personal_Headframe02,UI_Headframe01_Icon_60_1_yyz.png,UI_Headframe01_Icon_60_2_yyz.png,开启神秘商店中2021万圣节活动外观扭蛋有机会获得,,,,9,1,20211028=050000|20301231=045959
1041043,摇滚之魂头像框（15天）,43,Personal_Headframe02,UI_Headframe01_Icon_59_1_yyz.png,UI_Headframe01_Icon_59_2_yyz.png,开启2021万圣节通行证活动兑换的“万圣节惊喜礼盒”时有几率获得,,,,9,1,20211014=050000|20301231=045959
1041044,白魇梦境头像框（15天）,44,Personal_Headframe02,UI_Headframe01_Icon_58_1_yyz.png,UI_Headframe01_Icon_58_2_yyz.png,,,,1,9,,
1041045,感恩节纪念头像框（15天）,45,Personal_Headframe02,UI_Headframe01_Icon_61_1_yyz.png,UI_Headframe01_Icon_61_2_yyz.png,通过购买感恩节通行证获得,,,,16,,
1041046,时空之恋头像框（15天）,46,Personal_Headframe02,UI_Headframe01_Icon_sklr_1.png,UI_Headframe01_Icon_sklr_2.png,通过开启时空恋人通行证商店兑换的”时空之恋小礼盒“概率获得,,,,9,1,20211123=050000|20301231=045959
1041047,森林麋鹿头像框,47,Personal_Headframe02,UI_Headframe01_Icon_63_1_yyz.png,UI_Headframe01_Icon_63_2_yyz.png,2021“雪仗原激战“活动排行榜奖励,,,,9,1,20211223=050000|20301231=045959
1041048,谨贺新年像框（15天）,48,Personal_Headframe02,UI_Headframe01_Icon_xinnian2022_1.png,UI_Headframe01_Icon_xinnian2022_2.png,通过开启新年通行证商店兑换的“新年小礼盒”有概率获得,,,,2,1,20211231=050000|20301231=045959
1041049,早餐时光头像框（15天）,49,Personal_Headframe02,UI_Headframe01_Icon_zaocanshiguang_1.png,UI_Headframe01_Icon_zaocanshiguang_2.png,通过开启新年通行证商店兑换的“新年小礼盒”有概率获得,,,,9,1,20220101=050000|20301231=045959
1041050,虎虎生威头像框（15天）,50,Personal_Headframe02,UI_Headframe01_Icon_yuandanlaohu_1.png,UI_Headframe01_Icon_yuandanlaohu_2.png,,,,1,9,,
