ID,Index,Group,Name,Target,TargetString,Desc,Point,Atlas,Icon,BroadCast,BroadCastText,Award,Title,HideType,StickersID,ShowPopup,OpensystemID,LocalizationArea
20000601,200,0,正式的冒险家,37=1,,达成职业{0}转,50,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,1,,
20000701,200,0,进击的冒险家,37=2,,达成职业{0}转,100,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,4110070,,0,,1,,
20000801,200,0,高端职业玩家,41=1,,重置1次素质点,25,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20000901,200,0,重置技能,42=1,,重置1次技能点,25,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20001001,200,0,命运多舛,18=5,,累计精炼失败5次,125,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,,,0,,,,
20001101,200,20001101,附魔大师I,20=10,,任意装备累计附魔{0}次,100,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20001102,200,20001101,附魔大师II,20=50,,任意装备累计附魔{0}次,150,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20001103,200,20001101,附魔大师III,20=100,,任意装备累计附魔{0}次,200,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20001104,200,20001101,附魔大师IV,20=200,,任意装备累计附魔{0}次,250,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,,,0,,,,
20001105,200,20001101,附魔大师V,20=500,,任意装备累计附魔{0}次,350,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110080,,0,,,,
20001201,200,0,光辉事迹,38=7,,激活全部7枚光辉勋章,100,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,4110090,,0,,,,
20001301,200,20001301,光辉勋章I,39=10,,光辉勋章总等级达到{0},100,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20001302,200,20001301,光辉勋章II,39=25,,光辉勋章总等级达到{0},200,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20001303,200,20001301,光辉勋章III,39=75,,光辉勋章总等级达到{0},300,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20001304,200,20001301,光辉勋章IV,39=125,,光辉勋章总等级达到{0},500,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,,,0,,,,
20001305,200,20001301,光辉勋章V,39=200,,光辉勋章总等级达到{0},800,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110100,,0,,,,
20001401,200,0,神圣勋章,40=3,,神圣勋章激活数量达到3,0,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,2,,,,
20001501,200,20001501,大富翁I,82=50000,,商会出售道具获得Zeny币达到5万,100,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20001502,200,20001501,大富翁II,82=500000,,商会出售道具获得Zeny币达到50万,200,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20001503,200,20001501,大富翁III,82=3000000,,商会出售道具获得Zeny币达到300万,300,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20001504,200,20001501,大富翁IV,82=10000000,,"商会出售道具获得Zeny币达到1,000万",500,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,,,0,,,,
20001505,200,20001501,大富翁V,82=30000000,,"商会出售道具获得Zeny币达到3,000万",800,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110110,,0,,,,
20001601,200,0,装备精良,75=5=0|75=5=5|75=5=6|75=5=7|75=5=8|75=5=9,武器|\b\b\b\b披风|\b\b\b\b盔甲|\b\b\b\b鞋子|\b\b\b\b饰品1|\b\b\b\b饰品2,指定部位穿戴过精炼+5的装备,100,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110120,,0,,,,
20001701,200,0,升级换代,75=10=0|75=10=5|75=10=6|75=10=7|75=10=8|75=10=9,武器|\b\b\b\b披风|\b\b\b\b盔甲|\b\b\b\b鞋子|\b\b\b\b饰品1|\b\b\b\b饰品3,指定部位穿戴过精炼+10的装备,300,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110130,,0,,,,
20001801,200,0,全副武装,75=15=0|75=15=5|75=15=6|75=15=7|75=15=8|75=15=9,武器|\b\b\b\b披风|\b\b\b\b盔甲|\b\b\b\b鞋子|\b\b\b\b饰品1|\b\b\b\b饰品4,指定部位穿戴过精炼+15的装备,600,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,3,,4110140,,0,,,,
20001901,200,0,结伴同行,118=1,,设置1名佣兵出战,0,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,2,,,,
20002001,200,0,铁三角,118=2,,设置2名佣兵出战,75,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002101,200,20002101,优秀训练师I,119=1=40,,任意{0}名佣兵等级提升至{1}级,50,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002102,200,20002101,优秀训练师II,119=2=40,,任意{0}名佣兵等级提升至{1}级,100,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002103,200,20002101,优秀训练师II,119=4=40,,任意{0}名佣兵等级提升至{1}级,150,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002104,200,20002101,优秀训练师IV,119=6=40,,任意{0}名佣兵等级提升至{1}级,200,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002201,200,20002201,杰出训练师I,119=1=70,,任意{0}名佣兵等级提升至{1}级,100,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002202,200,20002201,杰出训练师II,119=2=70,,任意{0}名佣兵等级提升至{1}级,175,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002203,200,20002201,杰出训练师III,119=4=70,,任意{0}名佣兵等级提升至{1}级,250,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002204,200,20002201,杰出训练师IV,119=6=70,,任意{0}名佣兵等级提升至{1}级,325,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002301,200,0,强化装甲,120=40,,任意1名佣兵全身所有装备提升至{0}级,100,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002302,200,0,强化装甲II,120=100,,任意{0}名佣兵全身所有装备提升至{1}级,0,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,2,,,,
20002303,200,0,强化装甲III,120=200,,任意{0}名佣兵全身所有装备提升至{1}级,0,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,2,,,,
20002304,200,0,强化装甲IV,120=400,,任意{0}名佣兵全身所有装备提升至{1}级,0,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,2,,,,
20002401,200,0,作战武装,120=80,,任意1名佣兵全身所有装备提升至{0}级,500,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002402,200,0,作战武装II,120=100,,任意{0}名佣兵全身所有装备提升至{1}级,0,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,2,,,,
20002403,200,0,作战武装III,120=200,,任意{0}名佣兵全身所有装备提升至{1}级,0,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,2,,,,
20002404,200,0,作战武装IV,120=400,,任意{0}名佣兵全身所有装备提升至{1}级,0,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,2,,,,
20002501,200,20002501,学习天赋I,121=1,,任意1名佣兵学习{0}个天赋,50,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002502,200,20002501,学习天赋II,121=2,,任意1名佣兵学习{0}个天赋,150,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
20002503,200,20002501,学习天赋III,121=4,,任意1名佣兵学习{0}个天赋,300,AchievementIcon,UI_AchievementIcom_Chenghao_01.png,,,,,0,,,,
30000101,300,30000101,恶魔宝藏I,1=50,,累计开启恶魔宝藏{0}次,75,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30000102,300,30000101,恶魔宝藏II,1=300,,累计开启恶魔宝藏{0}次,200,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30000103,300,30000101,恶魔宝藏III,1=1000,,累计开启恶魔宝藏{0}次,500,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,4110150,,0,,,,
30000104,300,30000101,恶魔宝藏IV,1=3000,,累计开启恶魔宝藏{0}次,800,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000105,300,30000101,恶魔宝藏V,1=5000,,累计开启恶魔宝藏{0}次,1000,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000201,300,0,全场最佳,2=1=1032|2=1=1135|2=1=1021|2=1=3001|2=1=1041|2=1=1187|2=1=1103|2=1=1107|2=1=1113|2=1=1012|2=1=1121|2=1=1116|2=1=1196,天使波利|\b\b\b\b兽人英雄|\b\b\b\b恶魔波利|\b\b\b\b黄金虫|\b\b\b\b巴风特|\n兽人酋长|\b\b\b\b海盗之王|\b\b\b\b俄塞里斯|\b\b\b\b皮里恩|\b\b\b\b哥布灵首领|\n蜂后\b\b\b\b| \b\b\b\b\b\b\b蚁后|\b\b\b\b\b\b\b\b\b\b\b\b虎王,<color=$$Yellow$$>[参与击杀指定MVP怪]</color>,2000,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110160,,0,,,,
30000301,300,0,勇者试炼,23=1=1117|23=1=1152|23=1=1055|23=1=1125|23=1=1151|23=1=1036|23=1=1059|23=1=1153,狂暴蚁后|\b\b\b\b波利之王|\b\b\b\b巧克猴|\b\b\b\b龙蝇|\n摇滚蝗虫|\b\b\b\b幽灵波利|\b\b\b\b蓝疯兔|\b\b\b\b蛙王,<color=$$Yellow$$>[参与击杀指定MINI怪]</color>,1000,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110170,,0,,,,
30000401,300,30000401,无尽之塔I,6=10,,无尽之塔最高层数达到{0},100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30000402,300,30000401,无尽之塔II,6=20,,无尽之塔最高层数达到{0},200,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30000403,300,30000401,无尽之塔III,6=30,,无尽之塔最高层数达到{0},300,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000404,300,30000401,无尽之塔IV,6=35,,无尽之塔最高层数达到{0},450,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000405,300,30000401,无尽之塔V,6=40,,无尽之塔最高层数达到{0},600,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110180,,0,,,,
30000501,300,30000501,复仇之魂I,7=20,,魔物驱逐中累计击杀{0}只复仇的魔物,0,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,2,,,,
30000502,300,30000501,复仇之魂II,7=60,,魔物驱逐中累计击杀{0}只复仇的魔物,0,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,2,,,,
30000503,300,30000501,复仇之魂III,7=300,,魔物驱逐中累计击杀{0}只复仇的魔物,0,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,2,,,,
30000504,300,30000501,复仇之魂IV,7=900,,魔物驱逐中累计击杀{0}只复仇的魔物,0,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,2,,,,
30000505,300,30000501,复仇之魂V,7=1800,,魔物驱逐中累计击杀{0}只复仇的魔物,0,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,2,,,,
30000601,300,30000601,击碎宝箱I,8=20,,魔物驱逐中累计击杀{0}只邪恶箱,0,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,2,,,,
30000602,300,30000601,击碎宝箱II,8=60,,魔物驱逐中累计击杀{0}只邪恶箱,0,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,2,,,,
30000603,300,30000601,击碎宝箱III,8=300,,魔物驱逐中累计击杀{0}只邪恶箱,0,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,2,,,,
30000604,300,30000601,击碎宝箱IV,8=900,,魔物驱逐中累计击杀{0}只邪恶箱,0,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,2,,,,
30000605,300,30000601,击碎宝箱V,8=1800,,魔物驱逐中累计击杀{0}只邪恶箱,0,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,2,,,,
30000701,300,30000701,荒野求生I,19=10,,累计击杀{0}只野外精英怪,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30000702,300,30000701,荒野求生II,19=100,,累计击杀{0}只野外精英怪,150,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30000703,300,30000701,荒野求生III,19=500,,累计击杀{0}只野外精英怪,225,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000704,300,30000701,荒野求生IV,19=1000,,累计击杀{0}只野外精英怪,400,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000705,300,30000701,荒野求生V,19=5000,,累计击杀{0}只野外精英怪,600,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110190,,0,,,,
30000801,300,30000801,MVP团队I,16=1,,累计获得MVP达到{0}次,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000802,300,30000801,MVP团队II,16=20,,累计获得MVP达到{0}次,250,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000803,300,30000801,MVP团队III,16=150,,累计获得MVP达到{0}次,500,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110200,,0,,,,
30000804,300,30000801,MVP团队IV,16=500,,累计获得MVP达到{0}次,1000,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110210,,0,,,,
30000805,300,30000801,MVP团队V,16=1000,,累计获得MVP达到{0}次,1500,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110220,,0,,,,
30000901,300,30000901,无畏先锋I,25=1,,累计首刀获得MVP达到{0}次,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000902,300,30000901,无畏先锋II,25=10,,累计首刀获得MVP达到{0}次,250,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000903,300,30000901,无畏先锋III,25=80,,累计首刀获得MVP达到{0}次,750,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110230,,0,,,,
30000904,300,30000901,无畏先锋IV,25=250,,累计首刀获得MVP达到{0}次,1500,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30000905,300,30000901,无畏先锋V,25=500,,累计首刀获得MVP达到{0}次,2000,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001001,300,30001001,疯狂斩杀I,31=1,,累计尾刀获得MVP达到{0}次,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001002,300,30001001,疯狂斩杀II,31=10,,累计尾刀获得MVP达到{0}次,250,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001003,300,30001001,疯狂斩杀III,31=80,,累计尾刀获得MVP达到{0}次,750,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110240,,0,,,,
30001004,300,30001001,疯狂斩杀IV,31=250,,累计尾刀获得MVP达到{0}次,1500,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001005,300,30001001,疯狂斩杀V,31=500,,累计尾刀获得MVP达到{0}次,2000,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001101,300,30001101,狩猎小队I,24=15,,累计击杀MINI达到{0}次,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001102,300,30001101,狩猎小队II,24=100,,累计击杀MINI达到{0}次,200,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001103,300,30001101,狩猎小队III,24=400,,累计击杀MINI达到{0}次,400,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001104,300,30001101,狩猎小队IV,24=800,,累计击杀MINI达到{0}次,800,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001105,300,30001101,狩猎小队V,24=1600,,累计击杀MINI达到{0}次,1200,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001201,300,30001201,英勇打击I,26=1,,累计首刀击杀MINI达到{0}次,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001202,300,30001201,英勇打击II,26=15,,累计首刀击杀MINI达到{0}次,200,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001203,300,30001201,英勇打击III,26=90,,累计首刀击杀MINI达到{0}次,400,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001204,300,30001201,英勇打击IV,26=180,,累计首刀击杀MINI达到{0}次,800,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001205,300,30001201,英勇打击V,26=350,,累计首刀击杀MINI达到{0}次,1200,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001301,300,30001301,猫手商队I,36=10,,猫手商队填充货船次数达到{0},100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30001302,300,30001301,猫手商队II,36=90,,猫手商队填充货船次数达到{0},250,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30001303,300,30001301,猫手商队III,36=300,,猫手商队填充货船次数达到{0},500,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001304,300,30001301,猫手商队IV,36=600,,猫手商队填充货船次数达到{0},1000,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001305,300,30001301,猫手商队V,36=1000,,猫手商队填充货船次数达到{0},1500,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001401,300,30001401,有求必应I,54=5,,累计完成{0}次任意势力的委托任务,50,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30001402,300,30001401,有求必应II,54=50,,累计完成{0}次任意势力的委托任务,150,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30001403,300,30001401,有求必应III,54=150,,累计完成{0}次任意势力的委托任务,300,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001404,300,30001401,有求必应IV,54=500,,累计完成{0}次任意势力的委托任务,600,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001405,300,30001401,有求必应V,54=1000,,累计完成{0}次任意势力的委托任务,1200,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30001501,300,0,蒂花之秀,72=1,,擂台15:0赢得比赛,250,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110250,,0,,,,
30001601,300,0,防盗门,74=1,,在己方大门未被攻破的情况下赢得战场胜利,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,15001,
30001701,300,0,落地成盒,70=1,,被怪物一击秒杀过,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110260,,1,,,,
30001801,300,0,擂台高手,76=3,,擂台达到第3层,150,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30001901,300,0,决斗赢家,76=5,,擂台达到第5层,400,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,,
30002001,300,0,战场新兵,45=5,,累计参与战场{0}次,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,15001,
30002101,300,0,战场老兵,45=30,,累计参与战场{0}次,200,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,15001,
30002201,300,0,百战沙场,45=200,,累计参与战场{0}次,400,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,15001,
30002301,300,0,初尝胜果,46=2,,累计战场获胜{0}次,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,,,,,0,,,15001,
30002401,300,0,崭露头角,46=10,,累计战场获胜{0}次,200,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,15001,
30002501,300,0,战场王者,46=100,,累计战场获胜{0}次,400,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110270,,0,,,15001,
30002601,300,30002601,荣誉击杀I,78=15,,在PVP玩法中累计击杀{0}名玩家,200,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30002602,300,30002601,荣誉击杀II,78=100,,在PVP玩法中累计击杀{0}名玩家,300,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30002603,300,30002601,荣誉击杀III,78=500,,在PVP玩法中累计击杀{0}名玩家,500,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110280,,0,,,,
30002604,300,30002601,荣誉击杀IV,78=1500,,在PVP玩法中累计击杀{0}名玩家,1000,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30002605,300,30002601,荣誉击杀V,78=3000,,在PVP玩法中累计击杀{0}名玩家,1500,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,4110290,,0,,,,
30002701,300,30002701,协同作战I,80=30,,在PVP玩法中累计助攻{0}次,75,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30002702,300,30002701,协同作战II,80=200,,在PVP玩法中累计助攻{0}次,125,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30002703,300,30002701,协同作战III,80=1000,,在PVP玩法中累计助攻{0}次,250,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30002704,300,30002701,协同作战IV,80=3000,,在PVP玩法中累计助攻{0}次,500,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30002705,300,30002701,协同作战V,80=6000,,在PVP玩法中累计助攻{0}次,1000,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30002801,300,30002801,百折不挠I,79=10,,在PVP玩法中累计被击杀{0}次,100,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
30002802,300,30002801,百折不挠II,79=50,,在PVP玩法中累计被击杀{0}次,150,AchievementIcon,UI_AchievementIcon_ChenghaoIcon_02.png,3,,,,0,,,,
