KeyString,DefaultKeyValue,Name,MinValue,MaxValue,MobCanInherit
EQUIP_YSZG_EXDAMRATE_SNAPSHOT,0,鹰隼之弓额外伤害比例_快照,0,100000,
EQUIP_WLEDJY_SDCJPRO,0,乌勒尔的决意提升闪电冲击触发概率,0,100000,
EQUIP_WLEDJY_SDCJLUKRATE,0,乌勒尔的决意提升闪电冲击触发L加成比例,0,100000,
EQUIP_WLEDJY_MAXCOUNT,0,乌勒尔的决意最高层数,0,10,
EQUIP_MSAHQ_EXDAMRATE,10000,魔神安魂曲额外伤害比例,0,100000,
EQUIP_MSAHQ_EXDAMRATE_SNAPSHOT,0,魔神安魂曲额外伤害比例_快照,0,100000,
SKILL_SJGD_BLOCK,0,双剑格挡临时属性,0,100000,
SKILL_CANNON_ATTRDOWN,0,突击炮伤害降低,0,100000,
SKILL_SKILLPER_ADD,0,技能倍率增加量,-1000000,1000000,
SKILL_SKILLPER_ADD_SNAPSHOT,0,技能倍率增加量,-1000000,1000000,
SKILL_SKILLNUM_ADD,0,技能固定值增加量,-1000000,1000000,
SKILL_SKILLNUM_ADD_SNAPSHOT,0,技能固定值增加量,-1000000,1000000,
EQUIP_WLEDJY_JL15MARK,0,乌勒尔的决意精炼15标记,0,10000,
EQUIP_COMMON_FIREDAM,0,火属性克制伤害系数增加,-100000,100000,1
EQUIP_COMMON_FIREDAM_SNAPSHOT,0,火属性克制伤害系数增加,-100000,100000,1
EQUIP_COMMON_POISONDAM,0,毒属性克制伤害系数增加,-100000,100000,1
EQUIP_COMMON_POISONDAM_SNAPSHOT,0,毒属性克制伤害系数增加,-100000,100000,1
EQUIP_KLNS_REFINE15MARK,0,克洛诺斯之杖精炼15标记,0,1,
EQUIP_LQDZJ_REFINE15MARK,0,洛奇的指甲精炼15标记,0,100000,
EQUIP_YJLY_YUNSHIDAM,0,余烬烈焰法杖陨石术伤害加成,-100000,100000,
EQUIP_YTFB_NULEI,0,以太风暴法杖怒雷伤害加成,-100000,100000,
EQUIP_JGQT_DRDOWN,0,金刚不坏减伤属性下降,0,100000,
EQUIP_JGQT_HATREDUP,0,六合拳仇恨提升,0,100000,
EQUIP_JGQT_LHQDAMUP,0,六合拳受v影响倍率,0,100000,
EQUIP_JGQT_SPEEDUP,0,金刚不坏被攻击移速提升,0,100000,
EQUIP_JGQT_BEHITPRE,0,金刚不坏受击触发六合拳概率,0,100000,
EQUIP_JGQT_LHQDAMUP_SNAPSHOT,0,六合拳受v影响倍率_快照,0,100000,
EQUIP_MQTSG_DAMUPPER,0,弹指神通通过D提升伤害参数,0,100000,
EQUIP_MQTSG_EXRESULTPRO,0,弹指神通额外一段伤害概率,0,100000,
EQUIP_MQTSG_EXRESULTSKILLPER,0,弹指神通额外一段伤害倍率,0,100000,
EQUIP_CJ_ALLBASEADD,0,每拥有一颗气弹增加全属性,0,100000,
EQUIP_CJ_USEQDASPDPER,0,消耗气弹增加攻速倍率,0,100000,
EQUIP_CJ_USEQDCRIPER,0,消耗气弹增加暴击倍率,0,100000,
EQUIP_CJ_USEQDBUFFTIME,5,消耗气弹获得buff时间,0,100000,
EQUIP_JJCJ_PHYSICBLOCKPRO,0,荆棘长剑格挡物理伤害加成,0,10000,
EQUIP_JJCJ_MAGICBLOCKPRO,0,荆棘长剑格挡魔法伤害加成,0,10000,
SKILL_CANCRI_MARK,0,技能可以暴击标记,0,100000,
EQUIP_ZHNS_EXDAMRATE,0,智慧女神附加魔法伤害系数,0,100000,
EQUIP_XFDKZ_COINCOUNT,0,希芙的馈赠金币计数,0,10,
EQUIP_SJYS_PHYDAMADD,0,三角幼师兽之角拳套增加物理伤害,0,100000,
EQUIP_SJQT_SKILLDAMPER,0,水晶拳套增加技能伤害标记,0,100000,
EQUIP_SJQT_BUFFCOUNT,0,水晶拳套晶辉buff效果上限标记,0,5,
EQUIP_SJQT_STUNPRO,0,水晶拳套能够产生眩晕效果概率,0,10000,
EQUIP_MLHL_BUFFCOUNT,0,魔力洪流法袍添加buff层数上限,0,5,
EQUIP_MLHL_MAXSPADD,0,魔力洪流法袍添加buff增加的SP上限量,0,1000,
EQUIP_MLBF_BUFFCOUNT,0,魔力迸发披肩添加buff层数上限,0,5,
EQUIP_MLBF_MAXSPADD,0,魔力迸发披肩添加buff增加的SP上限量,0,1000,
EQUIP_MLNL_BUFFCOUNT,0,魔力逆流之靴加buff层数上限,0,5,
EQUIP_MLNL_MAXSPADD,0,魔力逆流之靴添加buff增加的SP上限量,0,1000,
BELLUZ_5017_DAMUP,0,贝鲁兹5017增加拳刃副手伤害,0,10000,
BELLUZ_TARGET_ELEMENT,0,修改目标的防御属性,0,10000,
BELLUZ_CASTER_ELEMENT,0,修改目标的攻击属性,0,10000,
BELLUZ_7702_DAMUP,0,贝鲁兹7702三投伤害,0,100000,
EQUIP_COMMON_WINDDAM,0,风属性克制伤害系数增加,-100000,100000,1
EQUIP_COMMON_WINDDAM_SNAPSHOT,0,风属性克制伤害系数增加,-100000,100000,1
EQUIP_COMMON_EARTHDAM,0,地属性克制伤害系数增加,-100000,100000,1
EQUIP_COMMON_EARTHDAM_SNAPSHOT,0,地属性克制伤害系数增加,-100000,100000,1
EQUIP_COMMON_WATERDAM,0,水属性克制伤害系数增加,-100000,100000,1
EQUIP_COMMON_WATERDAM_SNAPSHOT,0,水属性克制伤害系数增加,-100000,100000,1
EQUIP_COMMON_HOLYDAM,0,圣属性克制伤害系数增加,-100000,100000,1
EQUIP_COMMON_HOLYDAM_SNAPSHOT,0,圣属性克制伤害系数增加,-100000,100000,1
EQUIP_PTD_REFINE10DAMUP,0,PTD机械核心精炼增加炮台攻击力,0,100000,
SKILL_COMMON_BLOCK,0,通用技能格挡概率,0,10000,
EQUIP_NJLPDP_DAMPER,0,娜迦鳞片盾牌反射盾增加伤害,0,100000,1
EQUIP_NJLPDP_DAMUP,0,娜迦鳞片盾牌反射盾增加伤害,0,100000,1
EQUIP_NJLPDP_MSMARK,0,娜迦鳞片盾牌光之盾移速不下降标记,0,1,1
EQUIP_NJLPDP_MAGCDAMDOWN,0,娜迦鳞片盾牌光之盾概率减伤魔法伤害比例,0,10000,1
EQUIP_SYZD_XINRENUP1,0,圣耀之盾对信任加成,0,10000,1
EQUIP_SYZD_XINRENUP2,0,圣耀之盾对信任加成,0,10000,1
EQUIP_HJZD_ENABLEMARK,0,皇家之盾装备标记,0,1,1
EQUIP_HJZD_DEFUP,0,皇家之盾防御加成量,0,10000,1
EQUIP_HJCM_ENABLEMARK,0,皇家之矛装备标记,0,1,
EQUIP_HJCM_ATKUP,0,皇家之矛攻击力增加量,0,10000,
EQUIP_SGZJ_MATKPER,0,圣光之戟魔攻提升比例,0,10000,
EQUIP_XYCM_DAMUP,0,象牙长矛长矛刺击伤害增加比例,0,100000,
EQUIP_ZLCM_SMGJHP,0,战栗长矛舍命攻击血量减少,0,10000,
EQUIP_ZLCM_SMGJCOUNT,0,战栗长矛舍命攻击攻击次数增加,0,1000,
EQUIP_SSZL_CRI,0,死神之镰暴击,0,100,
EQUIP_SSZL_ASPD,0,死神之镰攻速,0,10000,
EQUIP_SSZL_SSDY,0,死神之镰死神低语标记,0,5,
EQUIP_SSZL_SKILLPER,0,死神低语伤害倍率,0,100000,
EQUIP_SSZL_PRO,0,死神之镰触发几率,0,10000,
EQUIP_SSZL_HP,0,死神之镰扣血比例,0,10000,
SKILL_GYZT_SKILLPER,0,技能光耀之堂治疗效果,0,100000,1
SUIT_YY_REFINEMARK,0,月影系列首饰精炼标记,0,10000,
EQUIP_COMMEN_RACEADD_SNAPSHOT,0,装备增加种族克制系数,0,10000,
EQUIP_COMMON_REFINE_POS0,0,装备通用主手精炼等级判定,0,20,1
EQUIP_COMMON_REFINE_POS1,0,装备通用副手精炼等级判定,0,20,1
EQUIP_ZJYDJ_SKILLPER_ADD,0,竹荚鱼短剑，增加触发技能倍率,0,999999,
EQUIP_ZJYDJ_SKILLPER_ADD_SNAPSHOT,0,竹荚鱼短剑，增加触发技能倍率,0,999999,
EQUIP_ZJYDJ_AOEDAM_MARK,0,竹荚鱼短剑AOE效果命中一个时伤害增加量,0,999999,
EQUIP_TSWYC_COMMONATK_COUNT,0,贪食鲔鱼锤普攻所需次数,0,1,
EQUIP_GLHLZ_SKILL_HITCOUNT,0,古老海龙杖,0,999,1
EQUIP_AEDZC_REFINE15_DAMUP,0,阿尔德之锤精炼造成伤害倍率,0,999999,
EQUIP_AEDZC_REFINE15_DAMUP_SNAPSHOT,0,阿尔德之锤精炼造成伤害倍率,0,999999,
EQUIP_CLQZ_REFINE6_DAMREDUCE,0,苍蓝权杖精炼6受到伤害降低效果,0,999999,1
EQUIP_CLQZ_REFINE10_DAMUP,0,苍蓝权杖精炼10伤害加成,0,999999,1
EQUIP_CLQZ_REFINE15_ATKUP,0,苍蓝权杖精炼15攻击加成,0,999999,1
EQUIP_CLQZ_REFINE15_SPEEDUP,0,苍蓝权杖精炼15速度加成,0,999999,1
EQUIP_SLZYQZ_HPPER,0,森林之源权杖生命上限提升,0,10000,1
EQUIP_SLZYQZ_BUFF_DAMUP,0,森林之源权杖森林祝福伤害提升,0,10000,1
EQUIP_SLZYQZ_BUFF_DAMDOWN,0,森林之源权杖森林祝福伤害减免,0,10000,1
EQUIP_SLZYQZ_REFINE10_HPRATE,0,森灵之源权杖提升伤害倍率,0,10000,1
EQUIP_SLZYQZ_REFINE10_HPRATE_SNAPSHOT,0,森灵之源权杖提升伤害倍率,0,999999,1
EQUIP_SLZYQZ_PVPHPRATE,0,森林之源权杖PVP生命系数,0,999999,1
EQUIP_CYZXQZ_FILIR_CRI,0,苍鹰之心权杖增加飞里乐暴击,0,10000,1
EQUIP_CYZXQZ_FILIR_CRIPARA,0,苍鹰之心权杖增加飞里乐暴击,0,10000,1
EQUIP_CYZXQZ_FILIR_PHYDAM,0,苍鹰之心权杖增加飞里乐物理伤害,0,10000,1
EQUIP_CYZXQZ_FILIR_CRIDAM,0,苍鹰之心权杖增加飞里乐暴击伤害,0,10000,1
EQUIP_CYZXQZ_REFINE15_ATKUP,0,苍鹰之心权杖飞里乐攻击增加攻击力,0,10000,1
EQUIP_ZZZXQZ_VANILMIRTH_MATK,0,沼泽之心权杖增加巴尼米乐斯魔法攻击,0,10000,1
EQUIP_ZZZXQZ_VANILMIRTH_MDAM,0,沼泽之心权杖增加巴尼米乐斯分裂后的魔法伤害,0,10000,1
EQUIP_ZZZXQZ_VANILMIRTH_DOULDAM,0,沼泽之心权杖增加巴尼米乐斯善变概率造成多倍伤害系数,0,999999,1
EQUIP_ZZZXQZ_VANILMIRTH_DOULDAM_SNAPSHOT,0,沼泽之心权杖增加巴尼米乐斯善变概率造成多倍伤害系数_快照,0,999999,1
EQUIP_ZZZXQZ_VANILMIRTH_SINGMARK,0,沼泽之心权杖改变巴尼米乐斯善变吟唱时间标记,0,1,1
SKILL_SMGJ_PVPPARA,0,舍命攻击PVP场景下的血量修正系数,0,999999,1
EQUIP_JLW_HPADD,0,精灵王的祝福治疗增加量,0,9999999,1
EQUIP_JLW_BUFFCOUNT,0,精灵王的祝福治疗增加量,0,20,1
EQUIP_JLZX_ELEMENT,0,巨龙之息套装减伤属性,0,20,
REFORM_SKILLPER_200001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_200004,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_200005,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_200013,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210104,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210105,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210108,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210112,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210113,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210114,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210115,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210118,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210119,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210201,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210205,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210208,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_210209,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_220101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_220105,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_220106,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_220108,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_220109,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_220112,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_220201,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_220202,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_220206,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_300001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_300005,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_300008,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_310101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_310106,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_310109,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_310110,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_310114,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_310201,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_310209,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320105,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320106,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320107,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320108,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320109,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320116,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320117,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320118,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320201,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320203,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320204,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320205,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_320207,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400002,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400003,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400004,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400005,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400006,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400010,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400013,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400014,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400015,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400016,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_400018,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410102,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410103,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410104,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410105,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410108,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410109,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410110,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410111,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410112,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410113,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410114,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410115,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410116,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410204,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410207,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410208,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410210,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410211,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_410213,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_500001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_500025,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510102,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510103,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510107,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510112,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510113,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510114,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510201,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510204,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510205,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510208,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_510209,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_600001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_600004,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_600005,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_600019,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610122,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610201,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610205,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610206,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610208,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610209,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610211,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610212,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610214,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610215,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610217,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610218,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_610219,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_700001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_700005,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_700006,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_700008,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_700023,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_700024,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_700025,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_700026,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710102,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710110,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710111,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710112,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710113,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710114,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710115,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710118,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710119,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710125,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710128,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710132,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710133,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710134,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710135,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710201,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710203,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710212,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_710216,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_300016,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_310116,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_300017,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_620102,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_620104,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_620216,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_621001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_621002,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_622001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_623004,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_624002,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_625002,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_625001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_625101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_624001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_624101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_623001,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_623101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_622007,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_622107,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_621101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_621102,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_622101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_623104,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_624102,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_625102,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_620103,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_620201,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_620101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_720101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_720102,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_720106,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_720109,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_720205,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_720212,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_721101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_721102,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_721106,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_721109,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_721205,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_721212,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_720201,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_721216,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_721201,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_721215,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_420101,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_420112,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_420116,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_420117,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_420208,0,装备改造技能伤害增加,0,999999,1
REFORM_SKILLPER_420212,0,装备改造技能伤害增加,0,999999,1
