Id,SystemName,IndexType,Date,ActivityTime,PushTime,SkewTime,IntervalTime,ParticipationModel,PlayerManualModification,OpenSystemID,OffLineCondition,Priority,Text,Picture,SoundEffect,PushTriggerType
113,(광고) 라그나로크 오리진!,0=0,20200708,,1800,,,,2=1,,,1,"런칭 이후 모험가님들의 탐험에 불편함을 끼쳐 대단히 죄송한 마음을 담아, 작은 선물을 준비했습니다.",,,
114,(광고) 라그나로크 오리진!,0=0,20200709,,1230,,,,2=1,,,1,꽉꽉! 오리와 찢어진 청바지! 합치면 오리진! 부장님과 함께 아재 개그 타임! ヽ(ﾟДﾟ)ﾉ 점심시간에도 함께해요~,,,
115,(광고) 라그나로크 오리진!,0=0,20200709,,1830,,,,2=1,,,1,오늘 저녁은 던전 돌기 딱 좋은 날씨군! (－ｏ⌒) 포션 받고 세이지의 기억을 클리어 해주세요!,,,
116,(광고) 라그나로크 오리진!,0=0,20200710,,1230,,,,2=1,,,1,드디어 금요일! 불타는 금요일을 보내기 전! 라그나로크 오리진 잊지 말아요~ ˙ᵕ˙,,,
117,(광고) 라그나로크 오리진!,0=0,20200710,,1830,,,,2=1,,,1,불금인데! 렌즈 좀 껴볼까요? o(〃＾▽＾〃)o 눈 색을 바꾸기 위한 아이 토너가 쏘옥~,,,
118,(광고) 라그나로크 오리진!,0=0,20200711,,1230,,,,2=1,,,1,"불금을 보내느라 지친 모험가님들을 위해 드려요! 2배가 돼 2, 2배가 돼~ (・∀・)",,,
119,(광고) 라그나로크 오리진!,0=0,20200711,,1830,,,,2=1,,,1,아침에 사냥하고 지쳤다고요~? (@゜∇゜@)ノ 그렇다면 지금은 자동 채집 시간! 접속해서 받아가세요~,,,
120,(광고) 라그나로크 오리진!,0=0,20200712,,1230,,,,2=1,,,1,그거 아세요…? 오늘도 이 메시지를 받고 접속하는 모험가님들은 행복할 거래요! ( ˘ ³˘)♥,,,
121,(광고) 라그나로크 오리진!,0=0,20200712,,1830,,,,2=1,,,1,내일은 월요일이래요…(・∀・) 모험가님들 기운내시라고 보상을 드려요!,,,
122,(광고) 라그나로크 오리진!,0=0,20200713,,1230,,,,2=1,,,1,주말 잘 보내셨나요? 한 주의 시작 월요일 점심시간~ 오리진과 스트레스를 풀어요! (*^▽^*),,,
123,(광고) 라그나로크 오리진!,0=0,20200713,,1830,,,,2=1,,,1,두근두근! 오늘의 장비 제련은 몇까지 성공할까요? (￣▽￣)ノ 지금 바로 제련 상자를 받아보세요!,,,
124,(광고) 라그나로크 오리진!,0=0,20200714,,1230,,,,2=1,,,1,땡그랑- 제련으로 없어진 낙원단 주화를 우편함에 넣었어요! 확인해보세요! (*･▽･*),,,
125,(광고) 라그나로크 오리진!,0=0,20200714,,1830,,,,2=1,,,1,짜-잔- 오늘의 저녁 보상은 특성 스크롤! (^～^) 사라지기 전에 어서 받아보세요!,,,
126,(광고) 라그나로크 오리진!,0=0,20200715,,1230,,,,2=1,,,1,제일 시간이 안가는 수요일! 오리진 하고 조금이라도 빨리 가라고 오전 보상을 드려요~ ٩( ᐛ )و,,,
127,(광고) 라그나로크 오리진!,0=0,20200715,,1830,,,,2=1,,,1,다시 한 번 더! 도전! 제련나로크! ✿˘◡˘✿ 모험가님의 장비를 더 더 강하게 만들어 보아요!,,,
128,(광고) 라그나로크 오리진!,0=0,20200716,,1230,,,,2=1,,,1,땡그랑- 오늘도 제련으로 없어진 낙원단 주화를 우편함으로 보내드려요! (´∇ﾉ｀*)ノ,,,
129,(광고) 라그나로크 오리진!,0=0,20200716,,1830,,,,2=1,,,1,내일은 다시 돌아온 금요일! 지루한 일상 속에 오리진이라는 특별함을 더해보세요~ ◝(⁰▿⁰)◜,,,
130,(광고) 라그나로크 오리진!,0=0,20200717,,1230,,,,2=1,,,1,오늘만 참으면 주말이에요! 조금만 더 오리진과 함께 힘내세요! ◝(⁰▿⁰)◜,,,
131,(광고) 라그나로크 오리진!,0=0,20200717,,1830,,,,2=1,,,1,어떤 카드가 나올까~ 파팡-! 앗! 이게 뭐야~ 꽝이잖아! (꒪⌓꒪) 과연 모험가님은?!,,,
132,(광고) 라그나로크 오리진!,0=0,20200718,,1230,,,,2=1,,,1,주말에도 라그나로크 오리진과 함께! (゜▼゜＊）2배로 지급해드리는 보상은 이번 주까지!,,,
133,(광고) 라그나로크 오리진!,0=0,20200718,,1830,,,,2=1,,,1,사냥을 열심히 한 모험가님! 잠시 자동 채집과 함께 쉬어가세요~ (*´꒳`*),,,
134,(광고) 라그나로크 오리진!,0=0,20200719,,1230,,,,2=1,,,1,여유롭게 보내는 일요일 오전에는 물가에서 낚시 어때요? (˵⚈ε⚈˵) 우편함을 확인해보세요!,,,
135,(광고) 라그나로크 오리진!,0=0,20200719,,1830,,,,2=1,,,1,마지막으로 드리는 2배 선물! 예쁜 머리 장식을 얻을 수 있는 수정을 얻어보세요~ > ㅁ <*,,,
136,(광고) 라그나로크 오리진!,0=0,20200720,,1230,,,,2=1,,,1,이번 주도 힘내시라고 보상 넣어드렸어요! (*´꒳`*)우편함에서 확인해보세요~,,,
137,(광고) 라그나로크 오리진!,0=0,20200720,,1830,,,,2=1,,,1,점심시간에 드린 낙원단 주화를 쓸 곳이 없다고요? 그렇다면 제련이다! 어서 들어와서 확인해보세요~ (」゜ロ゜)」,,,
138,(광고) 라그나로크 오리진!,0=0,20200721,,1230,,,,2=1,,,1,띵동! 점심 선물 도착! 어떤 선물이 도착했을까요? ٩(๑>∀<๑)۶,,,
139,(광고) 라그나로크 오리진!,0=0,20200721,,1830,,,,2=1,,,1,수고했어~오늘도~♪ 지친 모험가님을 달래줄 특별한 선물을 준비했어요~!,,,
140,(광고) 라그나로크 오리진!,0=0,20200722,,1230,,,,2=1,,,1,심심하고 지루할 땐 오리진에서 포링이나 잡자! (۶•̀ᴗ•́)۶,,,
141,(광고) 라그나로크 오리진!,0=0,20200722,,1830,,,,2=1,,,1,오늘의 저녁 보상은 뭐다요~? 장비 제련 패키지를 준비했다요! ٩(｡•ω•｡),,,
142,(광고) 라그나로크 오리진!,0=0,20200723,,1230,,,,2=1,,,1,똑똑! 목요일 점심 보상이 도착했어요! 어서 확인해주세요!,,,
143,(광고) 라그나로크 오리진!,0=0,20200723,,1830,,,,2=1,,,1,저녁 선물이 도착했어요! 어서 우편함을 확인해주세요! (｡•̀ᴗ-)✧,,,
144,(광고) 라그나로크 오리진!,0=0,20200724,,1230,,,,2=1,,,1,야호! 불금이다! 불금은 오리진과 함께해요! ❤ه❤,,,
145,(광고) 라그나로크 오리진!,0=0,20200724,,1830,,,,2=1,,,1,금요일은 특별하니까~! 특별한 선물을 드려요! (∗❛⌄❛∗),,,
146,(광고) 라그나로크 오리진!,0=0,20200725,,1230,,,,2=1,,,1,토요일은 라그나로크 오리진과 함께 즐거운 하루를~✿˘◡˘✿,,,
147,(광고) 라그나로크 오리진!,0=0,20200725,,1830,,,,2=1,,,1,★둠칫둠칫! 토요일 밤엔~ 오리진에서 함께 놀아요~! ๑>ᴗ<๑ ★,,,
148,(광고) 라그나로크 오리진!,0=0,20200726,,1230,,,,2=1,,,1,오늘은 오리진에서 낚시하는 날! 자동 낚시책 받고 낚시하러 Go!,,,
149,(광고) 라그나로크 오리진!,0=0,20200726,,1830,,,,2=1,,,1,그거 아세요? 내일 월요일이에요… 기운 내시라고 선물을 드립니다….!,,,
150,(광고) 라그나로크 오리진!,0=0,20200727,,1230,,,,2=1,,,1,월요일 실화?!〣( ºΔº )〣 월요병 퇴치는 오리진과 함께!,,,
151,(광고) 라그나로크 오리진!,0=0,20200727,,1830,,,,2=1,,,1,맛있는 요리먹고 데비루치 구하러 가볼까요~? (๑•̀ㅂ•́)و,,,
152,(광고) 라그나로크 오리진!,0=0,20200728,,1230,,,,2=1,,,1,두근두근!♥ 점심 보상 도착! 우편함에서 확인해주세요!♥,,,
153,(광고) 라그나로크 오리진!,0=0,20200728,,1830,,,,2=1,,,1,즐거운 퇴근길~ 라그나로크 오리진과 함께하세요! ヽ(。ゝω･)ﾉ,,,
154,(광고) 라그나로크 오리진!,0=0,20200729,,1230,,,,2=1,,,1,짤랑 짤랑~ 오늘 점심 보상은 낙원단 주화를 준비했어요! ٩(๑❛ᴗ❛๑)۶,,,
155,(광고) 라그나로크 오리진!,0=0,20200729,,1830,,,,2=1,,,1,오늘도 열일! 열공!하신 모험가님을 위해 선물을 준비했어요! (｡•̀ᴗ-)✧,,,
156,(광고) 라그나로크 오리진!,0=0,20200730,,1230,,,,2=1,,,1,모험 떠나실 때 힘내시라고 선물을 준비했어요! ♥,,,
157,(광고) 라그나로크 오리진!,0=0,20200730,,1830,,,,2=1,,,1,오리진과 함께 즐거운 저녁 보낼 준비되셨으면 소리질뤄~! (♡＞д＜)ノ,,,
158,(광고) 라그나로크 오리진!,0=0,20200731,,1230,,,,2=1,,,1,7월의 마지막 점심 선물 도착! 어떤 선물이 도착했을까요~? ๑•‿•๑,,,
159,(광고) 라그나로크 오리진!,0=0,20200731,,1830,,,,2=1,,,1,오리진은 오늘도 하태하태! 오리진과 함께 불금을 핫하게 보내보아요! ＞д＜,,,
160,(광고) 라그나로크 오리진!,0=0,20200801,,1230,,,,2=1,,,1,즐거운 주말의 시작! 오리진과 더 즐겁게 보낼 수 있도록 선물을 보내 드려요( ´ ▽ ` )ﾉ,,,
161,(광고) 라그나로크 오리진!,0=0,20200801,,1830,,,,2=1,,,1,토요일 저녁! 친구들과 함께 오리진에서 만나는 건 어떨까요˚∇^*,,,
162,(광고) 라그나로크 오리진!,0=0,20200802,,1230,,,,2=1,,,1,주말에도 라그나로크 오리진과 함께! 신나게 떠나보아요! ٩(๑>∀<๑)۶,,,
163,(광고) 라그나로크 오리진!,0=0,20200802,,1830,,,,2=1,,,1,일요일은 무도회에서 춤추는 날~ 예쁘게 머리하고 무도회장으로~! ☆ﾐ(o*･ω･)ﾉ,,,
164,(광고) 라그나로크 오리진!,0=0,20200803,,1230,,,,2=1,,,1,힘내라 힘! 월요일 힘내시라고 점심 선물을 준비했어요! ๑•‿•๑,,,
165,(광고) 라그나로크 오리진!,0=0,20200803,,1830,,,,2=1,,,1,신나는 퇴근길은 라그나로크 오리진과 함께! ε=ε=(っ*´□`)っ,,,
166,(광고) 라그나로크 오리진!,0=0,20200804,,1230,,,,2=1,,,1,점심시간에 드린 낙원단 주화를 쓸 곳이 없다고요? 그렇다면 제련이다! (」゜ロ゜)」,,,
167,(광고) 라그나로크 오리진!,0=0,20200804,,1830,,,,2=1,,,1,지루한 화요일의 마무리로 오리진과 함께 즐거운 저녁 보내세요'◡'✿,,,
168,(광고) 라그나로크 오리진!,0=0,20200805,,1230,,,,2=1,,,1,오늘 보상은 플렉스 해버렸지 모얌~! ٩(๑•̀ㅂ•́)و,,,
169,(광고) 라그나로크 오리진!,0=0,20200805,,1830,,,,2=1,,,1,벌써 한 주의 절반이 지나가고 있대요~ 선물 받고 영차! 영차!!,,,
170,(광고) 라그나로크 오리진!,0=0,20200806,,1230,,,,2=1,,,1,오늘도 힘쇼~♥ 점심 선물과 함께 오늘도 오리진과 함께하쇼♥,,,
171,(광고) 라그나로크 오리진!,0=0,20200806,,1830,,,,2=1,,,1,내일은 다시 돌아온 금요일! 지루한 일상 속에 오리진이라는 특별함을 더해보세요~,,,
172,(광고) 라그나로크 오리진!,0=0,20200807,,1230,,,,2=1,,,1,오늘만 참으면 주말이에요! 조금만 더 오리진과 함께 힘내세요! ◝(⁰▿⁰)◜,,,
173,(광고) 라그나로크 오리진!,0=0,20200807,,1830,,,,2=1,,,1,오리진과 함께 즐거운 불금 보낼 준비되셨으면 양말벗고 소리질뤄~! (♡＞д＜)ノ,,,
174,(광고) 라그나로크 오리진!,0=0,20200808,,1230,,,,2=1,,,1,"토요일 점심, 우리 오리진에서 함께 해요~",,,
175,(광고) 라그나로크 오리진!,0=0,20200808,,1830,,,,2=1,,,1,불타는 토요일! 우편으로 선물을 드리니 꼭 수령해 주세요~,,,
176,(광고) 라그나로크 오리진!,0=0,20200809,,1230,,,,2=1,,,1,한 주의 마무리 잘 하시라고 오늘도 우편으로 선물이 쏘옥~!,,,
177,(광고) 라그나로크 오리진!,0=0,20200809,,1830,,,,2=1,,,1,일요일이 끝나가고 있어요. 즐거운 한 주로 마무리가 될 수 있도록 선물 드릴게요!,,,
178,(광고) 라그나로크 오리진!,0=0,20200810,,1230,,,,2=1,,,1,오리진과 함께 하면서 월요병도 물리쳐 보아요!,,,
179,(광고) 라그나로크 오리진!,0=0,20200810,,1830,,,,2=1,,,1,수고했어~오늘도~♪ 지친 모험가님을 달래줄 특별한 선물을 준비했어요~!,,,
180,(광고) 라그나로크 오리진!,0=0,20200811,,1230,,,,2=1,,,1,점심 선물이 도착했습니다! 오늘은 어떤 선물이 기다리고 있을까요? ٩(๑>∀<๑)۶,,,
181,(광고) 라그나로크 오리진!,0=0,20200811,,1830,,,,2=1,,,1,"하루 마무리 잘 하셨나요? 고된 하루, 조금이나마 즐거움을 드리기 위해 저녁 선물을 보내 드려요! 어서 우편함을 확인해주세요! (｡•ᴗ-)✧",,,
182,(광고) 라그나로크 오리진!,0=0,20200812,,1230,,,,2=1,,,1,띵동! 점심 선물이 도착했습니다! 과연~ 오늘은 어떤 선물이 기다리고 있을까요? ٩(๑>∀<๑)۶,,,
183,(광고) 라그나로크 오리진!,0=0,20200812,,1830,,,,2=1,,,1,즐거운 퇴근길이 될 수 있도록 선물을 보내 드려요! 오늘도 라그나로크 오리진과 함께 즐거운 화요일되세요 ( ´ ▽ ` )ﾉ,,,
184,(광고) 라그나로크 오리진!,0=0,20200813,,1230,,,,2=1,,,1,점심 선물이 도착했습니다! 어떤 선물이 기다리고 있을까요~~?^^,,,
185,(광고) 라그나로크 오리진!,0=0,20200813,,1830,,,,2=1,,,1,오늘이 지나가면 한 주의 절반이 지나간 기분이 들어요. 남은 한 주도 즐겁게 보내실 수 있도록 준비한 저녁 푸시 보상! 꼭 받아주세요~,,,
186,(광고) 라그나로크 오리진!,0=0,20200814,,1230,,,,2=1,,,1,벌써 금요일이에요 (ᗒᗊᗕ) 오늘 하루도 파이팅 하실 수 있도록 모험가님께 선물을 준비했어요!,,,
187,(광고) 라그나로크 오리진!,0=0,20200814,,1830,,,,2=1,,,1,불타는 금요일! 다들 라그나로크과 함께 오리진 즐길 준비 되셨나요~?! (짝짝짝),,,
188,(광고) 라그나로크 오리진!,0=0,20200815,,1230,,,,2=1,,,1,주말 점심! ๑•‿•๑ 맛있게 식사하시고 오리진에 접속하여 선물도 수령하세요~,,,
189,(광고) 라그나로크 오리진!,0=0,20200815,,1830,,,,2=1,,,1,주말 저녁~ 다들 라그나로크과 함께 오리진 즐길 준비 되셨나요~?! (짝짝짝),,,
190,(광고) 라그나로크 오리진!,0=0,20200816,,1230,,,,2=1,,,1,모험가님! 점심 선물도 받고 이벤트도 참여해 보세요 ♪(๑ᴖ◡ᴖ๑)♪,,,
191,(광고) 라그나로크 오리진!,0=0,20200816,,1830,,,,2=1,,,1,오리진과 함께라면 월요일은 두렵지 않습니다~!! 월요병 특효약 지급 완료!,,,
192,(광고) 라그나로크 오리진!,0=0,20200817,,1230,,,,2=1,,,1,월요병 점심 특효약 지급 완료! 어서 가셔 확인해보세요~!,,,
193,(광고) 라그나로크 오리진!,0=0,20200817,,1830,,,,2=1,,,1,즐거운 퇴근길이 될 수 있도록 선물을 보내 드려요!! ( ´ ▽ ` )ﾉ,,,
194,(광고) 라그나로크 오리진!,0=0,20200818,,1230,,,,2=1,,,1,점심 선물이 도착했습니다! 오늘은 어떤 선물이 기다리고 있을까요? ٩(๑>∀<๑)۶,,,
195,(광고) 라그나로크 오리진!,0=0,20200818,,1830,,,,2=1,,,1,오늘 저녁 컨텐츠에서 모두와 파티로 친목을 다져 보아요 ( ´ ▽ ` )ﾉ,,,
196,(광고) 라그나로크 오리진!,0=0,20200819,,1230,,,,2=1,,,1,오늘은 제련하는 날!★ 제련하고 더 강해지자! ∠(･`_´･ ),,,
197,(광고) 라그나로크 오리진!,0=0,20200819,,1830,,,,2=1,,,1,신나는 퇴근길! 오리진 특별 보상과 함께 하세요! ღゝ◡╹)ノ♡,,,
198,(광고) 라그나로크 오리진!,0=0,20200820,,1230,,,,2=1,,,1,더 강해질 준비되셨나요~? 강해질 준비되셨다면 어서 접속헤주세요! (๑و•̀ω•́)و,,,
199,(광고) 라그나로크 오리진!,0=0,20200820,,1830,,,,2=1,,,1,오늘의 특별 보상 도착! 어떤 선물이 도착했을까요~? (｡•̀ᴗ-)✧,,,
200,(광고) 라그나로크 오리진!,0=0,20200821,,1230,,,,2=1,,,1,"마! 제련 준비됐나! 준비됐다! (＞Д＜)ゝو 그럼, 제련 보상 받으러 온나!",,,
201,(광고) 라그나로크 오리진!,0=0,20200821,,1830,,,,2=1,,,1,🔥뭔가 될 것 같은 금요일 밤! 🔥 특별 보상과 함께 제련하러 Go!,,,
202,(광고) 라그나로크 오리진!,0=0,20200822,,1230,,,,2=1,,,1,똑똑! 특별 보상이 도착했어요! 우편함에서 제련 특별 보상을 확인해주세요!,,,
203,(광고) 라그나로크 오리진!,0=0,20200822,,1830,,,,2=1,,,1,화끈한 토요일! 오리진에서 화끈하게 놀아볼까요~? ₍₍ ◝(・ω・)◟ ⁾⁾,,,
204,(광고) 라그나로크 오리진!,0=0,20200823,,1230,,,,2=1,,,1,♥나른한 일요일 점심~ 오리진과 함께하세요!♥,,,
205,(광고) 라그나로크 오리진!,0=0,20200823,,1830,,,,2=1,,,1,내일 월요일 실화~? ( Ĭ ^ Ĭ ) 뚝! 특별 보상받고 힘내세요!,,,
206,(광고) 라그나로크 오리진!,0=0,20200824,,1230,,,,2=1,,,1,월요일 좋아~♪♬ 월요일에도 힘내시라고 특별 선물을 준비했어요!,,,
207,(광고) 라그나로크 오리진!,0=0,20200824,,1830,,,,2=1,,,1,오리진은 뚠뚠~♪ 오늘도 뚠뚠~♬ 열심히 제련하네~🔨,,,
208,(광고) 라그나로크 오리진!,0=0,20200825,,1230,,,,2=1,,,1,화요일은 무슨 날~? 오리진에서 제련하는 날! ٩(๑❛◡❛๑)۶,,,
209,(광고) 라그나로크 오리진!,0=0,20200825,,1830,,,,2=1,,,1,마지막 특별 보상! 꼭! 접속하셔서 수령하세요! ( ღ'ᴗ'ღ ),,,
210,(광고) 라그나로크 오리진!,0=0,20200826,,1230,,,,2=1,,,1,,,,
211,(광고) 라그나로크 오리진!,0=0,20200826,,1830,,,,2=1,,,1,,,,
212,(광고) 라그나로크 오리진!,0=0,20200827,,1230,,,,2=1,,,1,,,,
213,(광고) 라그나로크 오리진!,0=0,20200827,,1830,,,,2=1,,,1,,,,
214,(광고) 라그나로크 오리진!,0=0,20200828,,1230,,,,2=1,,,1,,,,
215,(광고) 라그나로크 오리진!,0=0,20200828,,1830,,,,2=1,,,1,,,,
216,(광고) 라그나로크 오리진!,0=0,20200829,,1230,,,,2=1,,,1,,,,
217,(광고) 라그나로크 오리진!,0=0,20200829,,1830,,,,2=1,,,1,,,,
218,(광고) 라그나로크 오리진!,0=0,20200830,,1230,,,,2=1,,,1,,,,
219,(광고) 라그나로크 오리진!,0=0,20200830,,1830,,,,2=1,,,1,,,,
220,(광고) 라그나로크 오리진!,0=0,20200831,,1230,,,,2=1,,,1,,,,
221,(광고) 라그나로크 오리진!,0=0,20200831,,1830,,,,2=1,,,1,,,,
222,(광고) 라그나로크 오리진!,0=0,20200901,,1230,,,,2=1,,,1,,,,
223,(광고) 라그나로크 오리진!,0=0,20200901,,1830,,,,2=1,,,1,,,,
224,(광고) 라그나로크 오리진!,0=0,20200902,,1230,,,,2=1,,,1,,,,
225,(광고) 라그나로크 오리진!,0=0,20200902,,1830,,,,2=1,,,1,,,,
226,(광고) 라그나로크 오리진!,0=0,20200903,,1230,,,,2=1,,,1,,,,
227,(광고) 라그나로크 오리진!,0=0,20200903,,1830,,,,2=1,,,1,,,,
228,(광고) 라그나로크 오리진!,0=0,20200904,,1230,,,,2=1,,,1,,,,
229,(광고) 라그나로크 오리진!,0=0,20200904,,1830,,,,2=1,,,1,,,,
230,(광고) 라그나로크 오리진!,0=0,20200905,,1230,,,,2=1,,,1,,,,
231,(광고) 라그나로크 오리진!,0=0,20200905,,1830,,,,2=1,,,1,,,,
232,(광고) 라그나로크 오리진!,0=0,20200906,,1230,,,,2=1,,,1,,,,
233,(광고) 라그나로크 오리진!,0=0,20200906,,1830,,,,2=1,,,1,,,,
234,(광고) 라그나로크 오리진!,0=0,20200907,,1230,,,,2=1,,,1,,,,
235,(광고) 라그나로크 오리진!,0=0,20200907,,1830,,,,2=1,,,1,,,,
236,(광고) 라그나로크 오리진!,0=0,20200908,,1230,,,,2=1,,,1,,,,
237,(광고) 라그나로크 오리진!,0=0,20200908,,1830,,,,2=1,,,1,,,,
238,(광고) 라그나로크 오리진!,0=0,20200909,,1230,,,,2=1,,,1,,,,
239,(광고) 라그나로크 오리진!,0=0,20200909,,1830,,,,2=1,,,1,,,,
240,(광고) 라그나로크 오리진!,0=0,20200910,,1230,,,,2=1,,,1,,,,
241,(광고) 라그나로크 오리진!,0=0,20200910,,1830,,,,2=1,,,1,,,,
242,(광고) 라그나로크 오리진!,0=0,20200911,,1230,,,,2=1,,,1,,,,
243,(광고) 라그나로크 오리진!,0=0,20200911,,1830,,,,2=1,,,1,,,,
244,(광고) 라그나로크 오리진!,0=0,20200912,,1230,,,,2=1,,,1,,,,
245,(광고) 라그나로크 오리진!,0=0,20200912,,1830,,,,2=1,,,1,,,,
246,(광고) 라그나로크 오리진!,0=0,20200913,,1230,,,,2=1,,,1,,,,
247,(광고) 라그나로크 오리진!,0=0,20200913,,1830,,,,2=1,,,1,,,,
248,(광고) 라그나로크 오리진!,0=0,20200914,,1230,,,,2=1,,,1,,,,
249,(광고) 라그나로크 오리진!,0=0,20200914,,1830,,,,2=1,,,1,,,,
250,(광고) 라그나로크 오리진!,0=0,20200915,,1230,,,,2=1,,,1,,,,
251,(광고) 라그나로크 오리진!,0=0,20200915,,1830,,,,2=1,,,1,,,,
252,(광고) 라그나로크 오리진!,0=0,20200916,,1230,,,,2=1,,,1,,,,
253,(광고) 라그나로크 오리진!,0=0,20200916,,1830,,,,2=1,,,1,,,,
254,(광고) 라그나로크 오리진!,0=0,20200917,,1230,,,,2=1,,,1,,,,
255,(광고) 라그나로크 오리진!,0=0,20200917,,1830,,,,2=1,,,1,,,,
256,(광고) 라그나로크 오리진!,0=0,20200918,,1230,,,,2=1,,,1,,,,
257,(광고) 라그나로크 오리진!,0=0,20200918,,1830,,,,2=1,,,1,,,,
258,(광고) 라그나로크 오리진!,0=0,20200919,,1230,,,,2=1,,,1,,,,
259,(광고) 라그나로크 오리진!,0=0,20200919,,1830,,,,2=1,,,1,,,,
260,(광고) 라그나로크 오리진!,0=0,20200920,,1230,,,,2=1,,,1,,,,
261,(광고) 라그나로크 오리진!,0=0,20200920,,1830,,,,2=1,,,1,,,,
262,(광고) 라그나로크 오리진!,0=0,20200921,,1230,,,,2=1,,,1,,,,
263,(광고) 라그나로크 오리진!,0=0,20200921,,1830,,,,2=1,,,1,,,,
