JackpotNum,,LotteryModel,LotteryPropID,RefreshLimitNum,LimitNum,LotteryConsume,FinishType,FinishContent,ConditionType,ConditionContent,PreviewItem,Name,Sort,ProbabilityShows,ExtraType,ExtraProp,ExtraProbability,Lucky
1017,牛玩偶,1,101701|101700|101702|101703|101704|101705|101706|101707|101708|101709|101710|101711|101712|101713|101714|101715|101716|101717|101718|101719|101720|101721|101722|101723|101724|111701|111700|111702|111703|111704|111705|111706|111707|111708|111709|111710|111711|111712|111713|111714|111715|111716|111717|111718|111719|111720|111721|111722|111723|111724|121701|121700|121702|121703|121704|121705|121706|121707|121708|121709|121710|121711|121712|121713|121714|121715|121716|121717|121718|121719|121720|121721|121722|121723|121724,,24,1=1=2035010=0|2=24=2035010=5,1,101701|101700|111701|111700|121701|121700,1,1013|1014|1015|1016,101701|101700|111701|111700|121701|121700,牛玩偶套装,60,5017,0,,11,
1018,咕咕鸡,1,101801|101802|101803|101804|101805|101806|101807|101808|101809|101810|101811|101812|101813|101814|101815|101816|101817|101818|101819|101820|101821|101822|101823|101824|111801|111802|111803|111804|111805|111806|111807|111808|111809|111810|111811|111812|111813|111814|111815|111816|111817|111818|111819|111820|111821|111822|111823|111824|121801|121802|121803|121804|121805|121806|121807|121808|121809|121810|121811|121812|121813|121814|121815|121816|121817|121818|121819|121820|121821|121822|121823|121824,,24,1=1=2035010=0|2=24=2035010=5,1,101801|111801|121801,1,1013|1014|1015|1016,101801|111801|121801,咕咕鸡,50,5018,0,,12,
1019,蝴蝶绅士礼帽,1,101900|101901|101902|101903|101904|101905|101906|101907|101908|101909|101910|101911|101912|101913|101914|101915|101916|101917|101918|101919|101920|101921|101922|101923|101924|101925|101926|101927|101928|101929,,10,1=1=2035010=0|2=10=2035010=1,1,101900|101910|101920,,,101900|101910|101920,蝴蝶绅士礼帽,10,5019,0,,13,
1020,蒙面眼罩,1,102000|102001|102002|102003|102004|102005|102006|102007|102008|102009|102010|102011|102012|102013|102014|102015|102016|102017|102018|102019|102020|102021|102022|102023|102024|102025|102026|102027|102028|102029|102030|102031|102032|102033|102034|102035|102036|102037|102038|102039|102040|102041|102042|102043|102044|102045|102046|102047,,16,1=1=2035010=0|2=16=2035010=1,1,102000|102016|102032,,,102000|102016|102032,蒙面眼罩,20,5020,0,,14,
1021,落夜蝴蝶,1,102100|102101|102102|102103|102104|102105|102106|102107|102108|102109|102110|102111|102112|102113|102114|102115|102116|102117|102118|102119|102120|102121|102122|102123|102124|102125|102126|102127|102128|102129|102130|102131|102132|102133|102134|102135|102136|102137|102138|102139|102140|102141|102142|102143|102144|102145|102146|102147,,16,1=16=2035010=2,1,102100|102116|102132,,,102100|102116|102132,落夜蝴蝶,30,5021,0,,15,
1022,暗夜精灵之翼,1,102200|102201|102202|102203|102204|102205|102206|102207|102208|102209|102210|102211|102212|102213|102214|102215|102216|102217|102218|102219|102220|102221|102222|102223|102224|102225|102226|102227|102228|102229|102230|102231|102232|102233|102234|102235|102236|102237|102238|102239|102240|102241|102242|102243|102244|102245|102246|102247|102248|102249|102250|102251|102252|102253|102254|102255|102256|102257|102258|102259|102260|102261|102262|102263|102264|102265|102266|102267|102268|102269|102270|102271,,24,1=24=2035010=3,1,102200|102224|102248,,,102200|102224|102248,暗夜精灵之翼,40,5022,0,,16,
1023,暗夜精灵,1,102300|102301|102302|102303|102304|102305|102306|102307|102308|102309|102310|102311|102312|102313|102314|102315|102316|102317|102318|102319|102320|102321|102322|102323|102324|102325|102326|102327|102328|102329|102330|102331|102332|102333|102334|102335|102336|102337|102338|102339|102340|102341|102342|102343|102344|102345|102346|102347|102348|102349|102350|102351|102352|102353|102354|102355|102356|102357|102358|102359|102360|102361|102362|102363|102364|102365|102366|102367|102368|102369|102370|102371|102372|102373|102374,,24,1=1=2035010=0|2=24=2035010=5,1,102300|102325|102350|102301|102326|102351,1,1019|1020|1021|1022,102300|102325|102350|102301|102326|102351,暗夜精灵,60,5023,0,,17,
1024,分裂蘑菇,1,102400|102401|102402|102403|102404|102405|102406|102407|102408|102409|102410|102411|102412|102413|102414|102415|102416|102417|102418|102419|102420|102421|102422|102423|102424|102425|102426|102427|102428|102429|102430|102431|102432|102433|102434|102435|102436|102437|102438|102439|102440|102441|102442|102443|102444|102445|102446|102447|102448|102449|102450|102451|102452|102453|102454|102455|102456|102457|102458|102459|102460|102461|102462|102463|102464|102465|102466|102467|102468|102469|102470|102471,,24,1=1=2035010=0|2=24=2035010=5,1,102400|102424|102448,1,1019|1020|1021|1022,102400|102424|102448,分裂蘑菇,50,5024,0,,18,
1025,童真礼结帽,1,102501|102502|102503|102504|102505|102506|102507|102508|102509|102510|102511,,10,1=1=2035012=0|2=10=2035012=1,1,102501,,,102501,奖池,10,5019,0,,13,
1026,童真眼镜,1,102601|102602|102603|102604|102605|102606|102607|102608|102609|102610|102611|102612|102613|102614|102615|102616|102617,,16,1=1=2035012=0|2=16=2035012=1,1,102601,,,102601,奖池,20,5020,0,,14,
1027,童真冰淇淋,1,102701|102702|102703|102704|102705|102706|102707|102708|102709|102710|102711|102712|102713|102714|102715|102716|102717,,16,1=16=2035012=2,1,102701,,,102701,奖池,30,5021,0,,15,
1028,童真雨伞,1,102801|102802|102803|102804|102805|102806|102807|102808|102809|102810|102811|102812|102813|102814|102815|102816|102817|102818|102819|102820|102821|102822|102823|102824|102825,,24,1=24=2035012=3,1,102801,,,102801,奖池,40,5022,0,,16,
1029,童真校服,1,102901|102902|102903|102904|102905|102906|102907|102908|102909|102910|102911|102912|102913|102914|102915|102916|102917|102918|102919|102920|102921|102922|102923|102924|102925|102926,,24,1=24=2035012=5,1,102901|102902,,,102901|102902,奖池,60,5023,0,,17,
1030,双人摩托,1,103001|103002|103003|103004|103005|103006|103007|103008|103009|103010|103011|103012|103013|103014|103015|103016|103017|103018|103019|103020|103021|103022|103023|103024|103025|103026,,24,1=24=2035012=5,1,103001,,,103001,奖池,50,5024,0,,18,
2001,卡片树奖池1,2,2001001|2001002|2001003|2001004|2001005|2001006|2001007|2001008|2001009|2001010,1,99,1=1=2035006=0|2=100=2035006=1,,,,,100101,,10,5025,,,1,1|1|1|1|1|1|1
2002,许愿树-7月,2,2002001|2002002|2002003|2002004|2002005|2002006|2002007|2002008|2002009|2002010,2,100,1=1=2080122=0|2=100=2080122=1,,,,,2002010,,20,5026,,,1,10|10|10|10|10|10|10|10|10|10
1031,樱花头饰,1,103101|103102|103103|103104|103105|103106|103107|103108|103109|103110,,10,1=1=2035016=0|2=10=2035016=1,1,103101,,,103101,奖池,10,5027,0,,26,
1032,樱花眼镜,1,103201|103202|103203|103204|103205|103206|103207|103208|103209|103210|103211|103212|103213|103214|103215|103216,,16,1=1=2035016=0|2=16=2035016=1,1,103201,,,103201,奖池,20,5028,0,,27,
1033,樱花嘴饰,1,103301|103302|103303|103304|103305|103306|103307|103308|103309|103310|103311|103312|103313|103314|103315|103316,,16,1=16=2035016=2,1,103301,,,103301,奖池,30,5029,0,,28,
1034,樱花翅膀,1,103401|103402|103403|103404|103405|103406|103407|103408|103409|103410|103411|103412|103413|103414|103415|103416|103417|103418|103419|103420|103421|103422|103423|103424,,24,1=24=2035016=3,1,103401,,,103401,奖池,40,5030,0,,29,
1035,宫廷时光,1,103501|103502|103503|103504|103505|103506|103507|103508|103509|103510|103511|103512|103513|103514|103515|103516|103517|103518|103519|103520|103521|103522|103523|103524|103525,,24,1=24=2035016=5,1,103501|103502,,,103501|103502,奖池,60,5031,0,,30,
1036,机甲,1,103601|103602|103603|103604|103605|103606|103607|103608|103609|103610|103611|103612|103613|103614|103615|103616|103617|103618|103619|103620|103621|103622|103623|103624|103625,,24,1=24=2035016=5,1,103601,,,103601,奖池,50,5032,0,,31,
1037,垂垂兔耳帽,1,103701|103702|103703|103704|103705|103706|103707|103708|103709|103710|103711,,10,1=1=2135018=0|2=10=2135018=1,1,103701,,,103701,奖池,10,5033,0,,26,
1038,星月耳钉,1,103801|103802|103803|103804|103805|103806|103807|103808|103809|103810|103811|103812|103813|103814|103815|103816|103817,,16,1=1=2135018=0|2=16=2135018=1,1,103801,,,103801,奖池,20,5034,0,,27,
1039,月兔饼干,1,103901|103902|103903|103904|103905|103906|103907|103908|103909|103910|103911|103912|103913|103914|103915|103916|103917,,16,1=16=2135018=2,1,103901,,,103901,奖池,30,5035,0,,28,
1040,月兔气球,1,104001|104002|104003|104004|104005|104006|104007|104008|104009|104010|104011|104012|104013|104014|104015|104016|104017|104018|104019|104020|104021|104022|104023|104024|104025,,24,1=24=2135018=3,1,104001,,,104001,奖池,40,5036,0,,29,
1041,月兔之礼,1,104101|104102|104103|104104|104105|104106|104107|104108|104109|104110|104111|104112|104113|104114|104115|104116|104117|104118|104119|104120|104121|104122|104123|104124|104125|104126,,24,1=24=2135018=5,1,104101|104102,,,104101|104102,奖池,60,5037,0,,30,
1042,月兔,1,104201|104202|104203|104204|104205|104206|104207|104208|104209|104210|104211|104212|104213|104214|104215|104216|104217|104218|104219|104220|104221|104222|104223|104224|104225,,24,1=24=2135018=5,1,104201,,,104201,奖池,50,5038,0,,31,
1043,松果帽,1,104301|104302|104303|104304|104305|104306|104307|104308|104309|104310|104311,,10,1=1=2135020=0|2=10=2135020=1,1,104301,,,104301,奖池,10,5039,0,,26,
1044,小闪电贴纸,1,104401|104402|104403|104404|104405|104406|104407|104408|104409|104410|104411|104412|104413|104414|104415|104416|104417,,16,1=1=2135020=0|2=16=2135020=1,1,104401,,,104401,奖池,20,5040,0,,27,
1045,美味的栗子,1,104501|104502|104503|104504|104505|104506|104507|104508|104509|104510|104511|104512|104513|104514|104515|104516|104517,,16,1=16=2135020=2,1,104501,,,104501,奖池,30,5041,0,,28,
1046,猫咪的餐桌礼叉,1,104601|104602|104603|104604|104605|104606|104607|104608|104609|104610|104611|104612|104613|104614|104615|104616|104617|104618|104619|104620|104621|104622|104623|104624|104625,,24,1=24=2135020=3,1,104601,,,104601,奖池,40,5042,0,,29,
1047,栗子装,1,104701|104702|104703|104704|104705|104706|104707|104708|104709|104710|104711|104712|104713|104714|104715|104716|104717|104718|104719|104720|104721|104722|104723|104724|104725|104726,,24,1=24=2135020=5,1,104701|104702,,,104701|104702,奖池,60,5043,0,,30,
1048,魔术球,1,104801|104802|104803|104804|104805|104806|104807|104808|104809|104810|104811|104812|104813|104814|104815|104816|104817|104818|104819|104820|104821|104822|104823|104824|104825,,24,1=24=2135020=5,1,104801,,,104801,奖池,50,5044,0,,31,
