PackId,GroupContent,GroupWeight,GuarantGroup,GuarantLimit,txt,PackName,ProbabilityShows,ShowItemQuality,JobLimit,LevelLimit,ServerDaylLimit,GenderLimit,BindInfo
200001,4010045=1|4010049=1|4010051=1|4010039=1|4020012=1|4020011=1|4020014=1|4020016=1|4020007=1|4030011=1|4030014=1|4030009=1|4040002=1|4040007=1|4040018=1|4040019=1|4040012=1|4040011=1|4040013=1|4040023=1|4040020=1|4040022=1|4050004=1|4050008=1|4050012=1|4060011=1|4060008=1|4060009=1|4060020=1|4060026=1|4060015=1|4060017=1|4060018=1|4060024=1|4060027=1|4010032=1|4010052=1|4060021=1|4060023=1|4060025=1|4010006=1|4010007=1|4010004=1|4010013=1|4010038=1|4010015=1|4010047=1|4010035=1|4010033=1|4010055=1|4040001=1|4040006=1|4040017=1|4010031=1|4010030=1|4010025=1|4010027=1|4030020=1|4030021=1|4040021=1|4030012=1|4030016=1|4010029=1|4010010=1|4010040=1|4010046=1|4060001=1|4010012=1|4010019=1|4010044=1|4060014=1|4010014=1|4070011=1|4010009=1|4030017=1|4050002=1|4060010=1|4020013=1|4070010=1|4020005=1|4060022=1|4020006=1|4070014=1|4020015=1|3020022=1,900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|120|120|120|120|120|120|120|120|120|120|120|120|2|2|2|2|2|2|2|2|2|2|2|1|1|1|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|900|25000,,,,,0,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0,,,,,
200002,4060001=1|4010012=1|4010019=1|4010044=1|4060014=1|4010014=1|4070011=1|4020015=1|4030017=1|4010009=1|4050002=1|4060010=1|4020013=1|4070010=1|4060022=1|4060011=1|4010045=1|4040002=1|4060008=1|4020012=1|4040007=1|4030011=1|4060009=1|4040018=1|4040019=1|4030014=1|4010032=1|4040012=1|4010049=1|4030009=1|4060020=1|4020011=1|4040011=1|4040013=1|4040023=1|4050004=1|4060026=1|4040017=1|4010031=1|4010030=1|4010025=1|4070005=1|4010027=1|4030020=1|4030015=1|4030021=1|4040021=1|4030012=1|4030016=1|4060016=1,8991|8991|8991|8991|8991|8991|8991|8991|8991|8991|8991|8991|8991|8991|8991|681|681|681|681|681|681|681|681|681|681|681|681|681|681|681|681|681|681|681|681|681|681|15|15|15|15|15|15|15|15|15|15|15|15|15,,,,,0,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200003,4020008=1|4020001=1|4030001=1|4030018=1|4030005=1|4070001=1|4010002=1|4010003=1|4010005=1|4050005=1|4050006=1|4060007=1|4060004=1|4060002=1|4030002=1|4010001=1|4050001=1|4040005=1|4030010=1|4030003=1|4030004=1|4060003=1|4020009=1|4030008=1|4060006=1|4060012=1|4010043=1|4070004=1|4070003=1|4060013=1|4050007=1|4010034=1|4010050=1|4010042=1|4010036=1|4010048=1|4060001=1|4010012=1|4010019=1|4010044=1|4060014=1|4010014=1|4070011=1|4020015=1|4030017=1|4010009=1|4050002=1|4060010=1|4020013=1,55|55|55|55|55|55|55|55|55|55|55|55|55|55|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|6|6|6|6|6|6|6|6|6|6|6|6|6,,,,,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100140,100141=-1|1070296=1|1070297=1|1090088=1|1070250=1|1070169=1|1070251=1|1070253=1|1080038=1|1080078=1|1080086=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,1000|1000|1000|1000|4110|4110|4110|4110|4110|4110|4110|4110|6312|6312|6312|6312|6312|6312|6312|6312|6312|6312,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100141,100142=-1|100143=-1,,,,,,,3|3,,,,,
100142,1010088=1,,,,,,,3,,,,1,
100143,1010089=1,,,,,,,3,,,,2,
100150,1070186=1|1100010=1|1100028=1|1020024=1|1070250=1|1070169=1|1070251=1|1070253=1|1080002=1|1070022=1|1070099=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,1000|1000|1000|1000|4110|4110|4110|4110|4110|4110|4110|4110|6312|6312|6312|6312|6312|6312|6312|6312|6312|6312,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100160,1100018=1|1100027=1|1100004=1|1100002=1|1070250=1|1070169=1|1070251=1|1070253=1|1080002=1|1070276=1|1090071=1|1090027=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1|1070192=1|1070189=1,1000|1000|1000|1000|4110|4110|4110|4110|4110|4110|4110|4110|6312|6312|6312|6312|6312|6312|6312|6312|6312|6312,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100170,1070300=1|1100044=1|100171=-1|1021054=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080002=1|1070022=1|1070099=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100171,100172=-1|100173=-1,,,,,,,3|3,,,,,
100172,1010091=1,,,,,,,3,,,,1,
100173,1010092=1,,,,,,,3,,,,2,
100180,1090050=1|1090089=1|1100014=1|1021051=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|100|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100190,100191 =-1|1070301=1|1080099=1|100194=-1|1070193=1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1080035=1|1080032=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|50|50|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,0,3|3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100191,100192=-1|100193=-1,,,,,,,3|3,,,,,
100192,1010093=1,,,,,,,3,,,,1,
100193,1010094=1,,,,,,,3,,,,2,
100194,100195=-1|100196=-1,,,,,,,3|3,,,,,
100195,1010053=1,,,,,,,3,,,,1,
100196,1010054=1,,,,,,,3,,,,2,
100200,1021044=1|1070188=1|1100024=1|100201=-1|100204=-1|1070092=1|1070088=1|1070098=1|1070253=1|1090027=1|1070177=1|1070176=1|1070089=1|1070189=1|1070192=1|1070187=1|1070191=1|1080048=1|1080049=1|1070221=1|1080052=1|1080079=1|1070223=1,100|100|100|50|50|411|411|411|411|411|411|411|411|631|631|631|631|631|631|631|631|631|631,,,,,,3|3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100201,100202=-1|100203=-1,,,,,,,3|3,,,,,
100202,1010033=1,,,,,,,3,,,,1,
100203,1010034=1,,,,,,,3,,,,2,
100204,100205=-1|100206=-1,,,,,,,3|3,,,,,
100205,1010068=1,,,,,,,3,,,,1,
100206,1010069=1,,,,,,,3,,,,2,
500010,500011=-1|500012=-1|500013=-1|500014=-1|500015=-1,10|20|2|25|43,0=500013=20001,-1,,,0,1|1|2|0|0,,,,,
500011,4060011=1|4020011=1|4020012=1|4060008=1|4010045=1|4040007=1|4030011=1|4060009=1|4040018=1|4040019=1|4030014=1|4010032=1|4040012=1|4010049=1|4030009=1|4060020=1|4050004=1|4040013=1|4010051=1|4040002=1|4040011=1|4010052=1|4040020=1|4060021=1|4060015=1|4060017=1|4050008=1|4060023=1|4010039=1|4060018=1|4020014=1|4060024=1|4060025=1|4050012=1|4040022=1|4060026=1|4060027=1|4040023=1|4020016=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
500012,4060001=1|4010012=1|4010019=1|4010044=1|4060014=1|4010014=1|4070011=1|4010009=1|4030017=1|4050002=1|4060010=1|4020013=1|4070010=1|4020005=1|4060022=1|4020006=1|4070014=1|4020015=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
500013,4010006=1|4010004=1|4010007=1|4010015=1|4010013=1|4010038=1|4010047=1|4010033=1|4010035=1|4010055=1,1|1|1|1|1|1|1|1|1|1,,,,,0,2|2|2|2|2|2|2|2|2|2,,,,,0|0|0|0|0|0|0|0|0|0
500014,4030002=1|4050001=1|4010001=1|4040005=1|4030003=1|4030010=1|4030004=1|4060003=1|4030008=1|4020009=1|4010042=1|4060006=1|4060012=1|4010043=1|4070004=1|4070003=1|4060013=1|4050007=1|4010036=1|4010048=1|4010034=1|4010050=1|4050003=1|4010059=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
500015,4030001=1|4010002=1|4030018=1|4070001=1|4030005=1|4010003=1|4060007=1|4020008=1|4060004=1|4020001=1|4010008=1|4010005=1|4050005=1|4060002=1|4050006=1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,,,,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,,,,,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
500020,500021=-1|500022=-1|500023=-1|500024=-1,21|55|12|2,0=500024=20002,-1,,,0,1|1|2|3,,,,,
