ID,Profession,RoleType,Professiontext,Lvmin,Lvmax,Paylv,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9
33,200001,2102,敏剑,170,174,1,10033,20040,30030,40001,50001,60001,70001,80017,90001
34,200001,2102,敏剑,175,179,1,10034,20040,30030,40001,50001,60001,70001,80017,90001
35,200001,2102,敏剑,180,184,1,10035,20040,30030,40001,50001,60001,70001,80017,90001
36,200001,2102,敏剑,185,189,1,10036,20040,30030,40001,50001,60001,70001,80017,90001
37,200001,2102,敏剑,190,194,1,10037,20040,30030,40001,50001,60001,70001,80017,90001
38,200001,2102,敏剑,195,199,1,10038,20040,30030,40001,50001,60001,70001,80017,90001
39,200001,2000,敏剑,10,14,2,10039,,30001,40001,50001,60001,70001,80001,90001
40,200001,2000,敏剑,15,19,2,10040,,30001,40001,50001,60001,70001,80001,90001
41,200001,2000,敏剑,20,24,2,10041,,30001,40001,50001,60001,70001,80002,90001
42,200001,2000,敏剑,25,29,2,10042,,30001,40001,50001,60001,70001,80003,90001
43,200001,2000,敏剑,30,34,2,10043,,30001,40001,50001,60001,70001,80004,90001
44,200001,2000,敏剑,35,39,2,10044,,30001,40001,50001,60001,70001,80005,90001
45,200001,2101,敏剑,40,44,2,10045,,30001,40001,50001,60001,70001,80006,90001
46,200001,2101,敏剑,45,49,2,10046,,30002,40001,50001,60001,70001,80007,90001
47,200001,2101,敏剑,50,54,2,10047,,30004,40001,50001,60001,70001,80008,90001
48,200001,2101,敏剑,55,59,2,10048,,30006,40001,50001,60001,70001,80009,90001
49,200001,2101,敏剑,60,64,2,10049,,30007,40001,50001,60001,70001,80010,90001
50,200001,2101,敏剑,65,69,2,10050,20002,30009,40001,50001,60001,70001,80011,90001
51,200001,2102,敏剑,70,74,2,10051,20008,30012,40001,50001,60001,70001,80012,90001
52,200001,2102,敏剑,75,79,2,10052,20011,30014,40001,50001,60001,70001,80013,90001
53,200001,2102,敏剑,80,84,2,10053,20015,30017,40001,50001,60001,70001,80014,90001
54,200001,2102,敏剑,85,89,2,10054,20018,30020,40001,50001,60001,70001,80015,90001
55,200001,2102,敏剑,90,94,2,10055,20021,30024,40001,50001,60001,70001,80016,90001
56,200001,2102,敏剑,95,99,2,10056,20024,30028,40001,50001,60001,70001,80017,90001
57,200001,2102,敏剑,100,104,2,10057,20027,30030,40001,50001,60001,70001,80017,90001
58,200001,2102,敏剑,105,109,2,10058,20030,30030,40001,50001,60001,70001,80017,90001
59,200001,2102,敏剑,110,114,2,10059,20033,30030,40001,50001,60001,70001,80017,90001
60,200001,2102,敏剑,115,119,2,10060,20036,30030,40001,50001,60001,70001,80017,90001
61,200001,2102,敏剑,120,124,2,10061,20039,30030,40001,50001,60001,70001,80017,90001
62,200001,2102,敏剑,125,129,2,10062,20040,30030,40001,50001,60001,70001,80017,90001
63,200001,2102,敏剑,130,134,2,10063,20040,30030,40001,50001,60001,70001,80017,90001
64,200001,2102,敏剑,135,139,2,10064,20040,30030,40001,50001,60001,70001,80017,90001
65,200001,2102,敏剑,140,144,2,10065,20040,30030,40001,50001,60001,70001,80017,90001
66,200001,2102,敏剑,145,149,2,10066,20040,30030,40001,50001,60001,70001,80017,90001
67,200001,2102,敏剑,150,154,2,10067,20040,30030,40001,50001,60001,70001,80017,90001
68,200001,2102,敏剑,155,159,2,10068,20040,30030,40001,50001,60001,70001,80017,90001
69,200001,2102,敏剑,160,164,2,10069,20040,30030,40001,50001,60001,70001,80017,90001
70,200001,2102,敏剑,165,169,2,10070,20040,30030,40001,50001,60001,70001,80017,90001
71,200001,2102,敏剑,170,174,2,10071,20040,30030,40001,50001,60001,70001,80017,90001
72,200001,2102,敏剑,175,179,2,10072,20040,30030,40001,50001,60001,70001,80017,90001
73,200001,2102,敏剑,180,184,2,10073,20040,30030,40001,50001,60001,70001,80017,90001
74,200001,2102,敏剑,185,189,2,10074,20040,30030,40001,50001,60001,70001,80017,90001
75,200001,2102,敏剑,190,194,2,10075,20040,30030,40001,50001,60001,70001,80017,90001
76,200001,2102,敏剑,195,199,2,10076,20040,30030,40001,50001,60001,70001,80017,90001
77,200001,2000,敏剑,10,14,3,10077,,30001,40001,50001,60001,70001,80001,90001
78,200001,2000,敏剑,15,19,3,10078,,30001,40001,50001,60001,70001,80001,90001
79,200001,2000,敏剑,20,24,3,10079,,30001,40001,50001,60001,70001,80002,90001
80,200001,2000,敏剑,25,29,3,10080,,30001,40001,50001,60001,70001,80003,90001
81,200001,2000,敏剑,30,34,3,10081,,30001,40001,50001,60001,70001,80004,90001
82,200001,2000,敏剑,35,39,3,10082,,30001,40001,50001,60001,70001,80005,90001
83,200001,2101,敏剑,40,44,3,10083,,30001,40001,50001,60001,70001,80006,90001
84,200001,2101,敏剑,45,49,3,10084,,30002,40001,50001,60001,70001,80007,90001
85,200001,2101,敏剑,50,54,3,10085,,30004,40001,50001,60001,70001,80008,90001
86,200001,2101,敏剑,55,59,3,10086,,30006,40001,50001,60001,70001,80009,90001
87,200001,2101,敏剑,60,64,3,10087,,30007,40001,50001,60001,70001,80010,90001
88,200001,2101,敏剑,65,69,3,10088,20003,30009,40001,50001,60001,70001,80011,90001
89,200001,2102,敏剑,70,74,3,10089,20009,30012,40001,50001,60001,70001,80012,90001
90,200001,2102,敏剑,75,79,3,10090,20014,30014,40001,50001,60001,70001,80013,90001
91,200001,2102,敏剑,80,84,3,10091,20017,30017,40001,50001,60001,70001,80014,90001
92,200001,2102,敏剑,85,89,3,10092,20021,30020,40001,50001,60001,70001,80015,90001
93,200001,2102,敏剑,90,94,3,10093,20024,30024,40001,50001,60001,70001,80016,90001
94,200001,2102,敏剑,95,99,3,10094,20027,30028,40001,50001,60001,70001,80017,90001
95,200001,2102,敏剑,100,104,3,10095,20030,30030,40001,50001,60001,70001,80017,90001
96,200001,2102,敏剑,105,109,3,10096,20033,30030,40001,50001,60001,70001,80017,90001
97,200001,2102,敏剑,110,114,3,10097,20036,30030,40001,50001,60001,70001,80017,90001
98,200001,2102,敏剑,115,119,3,10098,20039,30030,40001,50001,60001,70001,80017,90001
99,200001,2102,敏剑,120,124,3,10099,20040,30030,40001,50001,60001,70001,80017,90001
100,200001,2102,敏剑,125,129,3,10100,20040,30030,40001,50001,60001,70001,80017,90001
101,200001,2102,敏剑,130,134,3,10101,20040,30030,40001,50001,60001,70001,80017,90001
102,200001,2102,敏剑,135,139,3,10102,20040,30030,40001,50001,60001,70001,80017,90001
103,200001,2102,敏剑,140,144,3,10103,20040,30030,40001,50001,60001,70001,80017,90001
104,200001,2102,敏剑,145,149,3,10104,20040,30030,40001,50001,60001,70001,80017,90001
105,200001,2102,敏剑,150,154,3,10105,20040,30030,40001,50001,60001,70001,80017,90001
106,200001,2102,敏剑,155,159,3,10106,20040,30030,40001,50001,60001,70001,80017,90001
107,200001,2102,敏剑,160,164,3,10107,20040,30030,40001,50001,60001,70001,80017,90001
108,200001,2102,敏剑,165,169,3,10108,20040,30030,40001,50001,60001,70001,80017,90001
109,200001,2102,敏剑,170,174,3,10109,20040,30030,40001,50001,60001,70001,80017,90001
110,200001,2102,敏剑,175,179,3,10110,20040,30030,40001,50001,60001,70001,80017,90001
111,200001,2102,敏剑,180,184,3,10111,20040,30030,40001,50001,60001,70001,80017,90001
112,200001,2102,敏剑,185,189,3,10112,20040,30030,40001,50001,60001,70001,80017,90001
113,200001,2102,敏剑,190,194,3,10113,20040,30030,40001,50001,60001,70001,80017,90001
114,200001,2102,敏剑,195,199,3,10114,20040,30030,40001,50001,60001,70001,80017,90001
115,200002,2000,枪骑,10,14,1,10115,,30001,40001,50002,60002,70001,80001,90001
116,200002,2000,枪骑,15,19,1,10116,,30001,40001,50002,60002,70001,80001,90001
117,200002,2000,枪骑,20,24,1,10117,,30001,40001,50002,60002,70001,80002,90001
118,200002,2000,枪骑,25,29,1,10118,,30001,40001,50002,60002,70001,80003,90001
119,200002,2000,枪骑,30,34,1,10119,,30001,40001,50002,60002,70001,80004,90001
120,200002,2000,枪骑,35,39,1,10120,,30001,40001,50002,60002,70001,80005,90001
121,200002,2101,枪骑,40,44,1,10121,,30001,40001,50002,60002,70001,80006,90001
122,200002,2101,枪骑,45,49,1,10122,,30001,40001,50002,60002,70001,80007,90001
123,200002,2101,枪骑,50,54,1,10123,,30003,40001,50002,60002,70001,80008,90001
124,200002,2101,枪骑,55,59,1,10124,,30004,40001,50002,60002,70001,80009,90001
125,200002,2101,枪骑,60,64,1,10125,,30005,40001,50002,60002,70001,80010,90001
126,200002,2101,枪骑,65,69,1,10126,20002,30006,40001,50002,60002,70001,80011,90001
127,200002,2102,枪骑,70,74,1,10127,20006,30008,40001,50002,60002,70001,80012,90001
128,200002,2102,枪骑,75,79,1,10128,20009,30010,40001,50002,60002,70001,80013,90001
129,200002,2102,枪骑,80,84,1,10129,20012,30012,40001,50002,60002,70001,80014,90001
130,200002,2102,枪骑,85,89,1,10130,20015,30014,40001,50002,60002,70001,80015,90001
131,200002,2102,枪骑,90,94,1,10131,20018,30017,40001,50002,60002,70001,80016,90001
132,200002,2102,枪骑,95,99,1,10132,20021,30020,40001,50002,60002,70001,80017,90001
133,200002,2102,枪骑,100,104,1,10133,20024,30023,40001,50002,60002,70001,80017,90001
134,200002,2102,枪骑,105,109,1,10134,20027,30026,40001,50002,60002,70001,80017,90001
135,200002,2102,枪骑,110,114,1,10135,20030,30030,40001,50002,60002,70001,80017,90001
136,200002,2102,枪骑,115,119,1,10136,20033,30030,40001,50002,60002,70001,80017,90001
137,200002,2102,枪骑,120,124,1,10137,20036,30030,40001,50002,60002,70001,80017,90001
138,200002,2102,枪骑,125,129,1,10138,20039,30030,40001,50002,60002,70001,80017,90001
139,200002,2102,枪骑,130,134,1,10139,20040,30030,40001,50002,60002,70001,80017,90001
140,200002,2102,枪骑,135,139,1,10140,20040,30030,40001,50002,60002,70001,80017,90001
141,200002,2102,枪骑,140,144,1,10141,20040,30030,40001,50002,60002,70001,80017,90001
142,200002,2102,枪骑,145,149,1,10142,20040,30030,40001,50002,60002,70001,80017,90001
143,200002,2102,枪骑,150,154,1,10143,20040,30030,40001,50002,60002,70001,80017,90001
144,200002,2102,枪骑,155,159,1,10144,20040,30030,40001,50002,60002,70001,80017,90001
145,200002,2102,枪骑,160,164,1,10145,20040,30030,40001,50002,60002,70001,80017,90001
146,200002,2102,枪骑,165,169,1,10146,20040,30030,40001,50002,60002,70001,80017,90001
147,200002,2102,枪骑,170,174,1,10147,20040,30030,40001,50002,60002,70001,80017,90001
148,200002,2102,枪骑,175,179,1,10148,20040,30030,40001,50002,60002,70001,80017,90001
149,200002,2102,枪骑,180,184,1,10149,20040,30030,40001,50002,60002,70001,80017,90001
150,200002,2102,枪骑,185,189,1,10150,20040,30030,40001,50002,60002,70001,80017,90001
151,200002,2102,枪骑,190,194,1,10151,20040,30030,40001,50002,60002,70001,80017,90001
152,200002,2102,枪骑,195,199,1,10152,20040,30030,40001,50002,60002,70001,80017,90001
153,200002,2000,枪骑,10,14,2,10153,,30001,40001,50002,60002,70001,80001,90001
154,200002,2000,枪骑,15,19,2,10154,,30001,40001,50002,60002,70001,80001,90001
155,200002,2000,枪骑,20,24,2,10155,,30001,40001,50002,60002,70001,80002,90001
156,200002,2000,枪骑,25,29,2,10156,,30001,40001,50002,60002,70001,80003,90001
157,200002,2000,枪骑,30,34,2,10157,,30001,40001,50002,60002,70001,80004,90001
158,200002,2000,枪骑,35,39,2,10158,,30001,40001,50002,60002,70001,80005,90001
159,200002,2101,枪骑,40,44,2,10159,,30001,40001,50002,60002,70001,80006,90001
160,200002,2101,枪骑,45,49,2,10160,,30002,40001,50002,60002,70001,80007,90001
161,200002,2101,枪骑,50,54,2,10161,,30004,40001,50002,60002,70001,80008,90001
162,200002,2101,枪骑,55,59,2,10162,,30006,40001,50002,60002,70001,80009,90001
163,200002,2101,枪骑,60,64,2,10163,,30007,40001,50002,60002,70001,80010,90001
164,200002,2101,枪骑,65,69,2,10164,20002,30009,40001,50002,60002,70001,80011,90001
165,200002,2102,枪骑,70,74,2,10165,20008,30012,40001,50002,60002,70001,80012,90001
166,200002,2102,枪骑,75,79,2,10166,20011,30014,40001,50002,60002,70001,80013,90001
167,200002,2102,枪骑,80,84,2,10167,20015,30017,40001,50002,60002,70001,80014,90001
168,200002,2102,枪骑,85,89,2,10168,20018,30020,40001,50002,60002,70001,80015,90001
169,200002,2102,枪骑,90,94,2,10169,20021,30024,40001,50002,60002,70001,80016,90001
170,200002,2102,枪骑,95,99,2,10170,20024,30028,40001,50002,60002,70001,80017,90001
171,200002,2102,枪骑,100,104,2,10171,20027,30030,40001,50002,60002,70001,80017,90001
172,200002,2102,枪骑,105,109,2,10172,20030,30030,40001,50002,60002,70001,80017,90001
173,200002,2102,枪骑,110,114,2,10173,20033,30030,40001,50002,60002,70001,80017,90001
174,200002,2102,枪骑,115,119,2,10174,20036,30030,40001,50002,60002,70001,80017,90001
175,200002,2102,枪骑,120,124,2,10175,20039,30030,40001,50002,60002,70001,80017,90001
176,200002,2102,枪骑,125,129,2,10176,20040,30030,40001,50002,60002,70001,80017,90001
177,200002,2102,枪骑,130,134,2,10177,20040,30030,40001,50002,60002,70001,80017,90001
178,200002,2102,枪骑,135,139,2,10178,20040,30030,40001,50002,60002,70001,80017,90001
179,200002,2102,枪骑,140,144,2,10179,20040,30030,40001,50002,60002,70001,80017,90001
180,200002,2102,枪骑,145,149,2,10180,20040,30030,40001,50002,60002,70001,80017,90001
181,200002,2102,枪骑,150,154,2,10181,20040,30030,40001,50002,60002,70001,80017,90001
182,200002,2102,枪骑,155,159,2,10182,20040,30030,40001,50002,60002,70001,80017,90001
183,200002,2102,枪骑,160,164,2,10183,20040,30030,40001,50002,60002,70001,80017,90001
184,200002,2102,枪骑,165,169,2,10184,20040,30030,40001,50002,60002,70001,80017,90001
185,200002,2102,枪骑,170,174,2,10185,20040,30030,40001,50002,60002,70001,80017,90001
186,200002,2102,枪骑,175,179,2,10186,20040,30030,40001,50002,60002,70001,80017,90001
187,200002,2102,枪骑,180,184,2,10187,20040,30030,40001,50002,60002,70001,80017,90001
188,200002,2102,枪骑,185,189,2,10188,20040,30030,40001,50002,60002,70001,80017,90001
189,200002,2102,枪骑,190,194,2,10189,20040,30030,40001,50002,60002,70001,80017,90001
190,200002,2102,枪骑,195,199,2,10190,20040,30030,40001,50002,60002,70001,80017,90001
191,200002,2000,枪骑,10,14,3,10191,,30001,40001,50002,60002,70001,80001,90001
192,200002,2000,枪骑,15,19,3,10192,,30001,40001,50002,60002,70001,80001,90001
193,200002,2000,枪骑,20,24,3,10193,,30001,40001,50002,60002,70001,80002,90001
194,200002,2000,枪骑,25,29,3,10194,,30001,40001,50002,60002,70001,80003,90001
195,200002,2000,枪骑,30,34,3,10195,,30001,40001,50002,60002,70001,80004,90001
196,200002,2000,枪骑,35,39,3,10196,,30001,40001,50002,60002,70001,80005,90001
197,200002,2101,枪骑,40,44,3,10197,,30001,40001,50002,60002,70001,80006,90001
198,200002,2101,枪骑,45,49,3,10198,,30002,40001,50002,60002,70001,80007,90001
199,200002,2101,枪骑,50,54,3,10199,,30004,40001,50002,60002,70001,80008,90001
200,200002,2101,枪骑,55,59,3,10200,,30006,40001,50002,60002,70001,80009,90001
201,200002,2101,枪骑,60,64,3,10201,,30007,40001,50002,60002,70001,80010,90001
202,200002,2101,枪骑,65,69,3,10202,20003,30009,40001,50002,60002,70001,80011,90001
203,200002,2102,枪骑,70,74,3,10203,20009,30012,40001,50002,60002,70001,80012,90001
204,200002,2102,枪骑,75,79,3,10204,20014,30014,40001,50002,60002,70001,80013,90001
205,200002,2102,枪骑,80,84,3,10205,20017,30017,40001,50002,60002,70001,80014,90001
206,200002,2102,枪骑,85,89,3,10206,20021,30020,40001,50002,60002,70001,80015,90001
207,200002,2102,枪骑,90,94,3,10207,20024,30024,40001,50002,60002,70001,80016,90001
208,200002,2102,枪骑,95,99,3,10208,20027,30028,40001,50002,60002,70001,80017,90001
209,200002,2102,枪骑,100,104,3,10209,20030,30030,40001,50002,60002,70001,80017,90001
210,200002,2102,枪骑,105,109,3,10210,20033,30030,40001,50002,60002,70001,80017,90001
211,200002,2102,枪骑,110,114,3,10211,20036,30030,40001,50002,60002,70001,80017,90001
212,200002,2102,枪骑,115,119,3,10212,20039,30030,40001,50002,60002,70001,80017,90001
213,200002,2102,枪骑,120,124,3,10213,20040,30030,40001,50002,60002,70001,80017,90001
214,200002,2102,枪骑,125,129,3,10214,20040,30030,40001,50002,60002,70001,80017,90001
215,200002,2102,枪骑,130,134,3,10215,20040,30030,40001,50002,60002,70001,80017,90001
216,200002,2102,枪骑,135,139,3,10216,20040,30030,40001,50002,60002,70001,80017,90001
217,200002,2102,枪骑,140,144,3,10217,20040,30030,40001,50002,60002,70001,80017,90001
218,200002,2102,枪骑,145,149,3,10218,20040,30030,40001,50002,60002,70001,80017,90001
219,200002,2102,枪骑,150,154,3,10219,20040,30030,40001,50002,60002,70001,80017,90001
220,200002,2102,枪骑,155,159,3,10220,20040,30030,40001,50002,60002,70001,80017,90001
221,200002,2102,枪骑,160,164,3,10221,20040,30030,40001,50002,60002,70001,80017,90001
222,200002,2102,枪骑,165,169,3,10222,20040,30030,40001,50002,60002,70001,80017,90001
223,200002,2102,枪骑,170,174,3,10223,20040,30030,40001,50002,60002,70001,80017,90001
224,200002,2102,枪骑,175,179,3,10224,20040,30030,40001,50002,60002,70001,80017,90001
225,200002,2102,枪骑,180,184,3,10225,20040,30030,40001,50002,60002,70001,80017,90001
226,200002,2102,枪骑,185,189,3,10226,20040,30030,40001,50002,60002,70001,80017,90001
227,200002,2102,枪骑,190,194,3,10227,20040,30030,40001,50002,60002,70001,80017,90001
228,200002,2102,枪骑,195,199,3,10228,20040,30030,40001,50002,60002,70001,80017,90001
229,200003,2000,防御,10,14,1,10229,,30001,40001,50003,60003,70001,80018,90001
230,200003,2000,防御,15,19,1,10230,,30001,40001,50003,60003,70001,80018,90001
231,200003,2000,防御,20,24,1,10231,,30001,40001,50003,60003,70001,80019,90001
232,200003,2000,防御,25,29,1,10232,,30001,40001,50003,60003,70001,80020,90001
233,200003,2000,防御,30,34,1,10233,,30001,40001,50003,60003,70001,80021,90001
234,200003,2000,防御,35,39,1,10234,,30001,40001,50003,60003,70001,80022,90001
235,200003,2101,防御,40,44,1,10235,,30001,40001,50003,60003,70001,80023,90001
236,200003,2101,防御,45,49,1,10236,,30001,40001,50003,60003,70001,80024,90001
237,200003,2101,防御,50,54,1,10237,,30003,40001,50003,60003,70001,80025,90001
238,200003,2101,防御,55,59,1,10238,,30004,40001,50003,60003,70001,80026,90001
239,200003,2101,防御,60,64,1,10239,,30005,40001,50003,60003,70001,80027,90001
240,200003,2101,防御,65,69,1,10240,20002,30006,40001,50003,60003,70001,80028,90001
241,200003,2102,防御,70,74,1,10241,20006,30008,40001,50003,60003,70001,80029,90001
242,200003,2102,防御,75,79,1,10242,20009,30010,40001,50003,60003,70001,80030,90001
243,200003,2102,防御,80,84,1,10243,20012,30012,40001,50003,60003,70001,80031,90001
244,200003,2102,防御,85,89,1,10244,20015,30014,40001,50003,60003,70001,80032,90001
245,200003,2102,防御,90,94,1,10245,20018,30017,40001,50003,60003,70001,80033,90001
246,200003,2102,防御,95,99,1,10246,20021,30020,40001,50003,60003,70001,80034,90001
247,200003,2102,防御,100,104,1,10247,20024,30023,40001,50003,60003,70001,80034,90001
248,200003,2102,防御,105,109,1,10248,20027,30026,40001,50003,60003,70001,80034,90001
249,200003,2102,防御,110,114,1,10249,20030,30030,40001,50003,60003,70001,80034,90001
250,200003,2102,防御,115,119,1,10250,20033,30030,40001,50003,60003,70001,80034,90001
251,200003,2102,防御,120,124,1,10251,20036,30030,40001,50003,60003,70001,80034,90001
252,200003,2102,防御,125,129,1,10252,20039,30030,40001,50003,60003,70001,80034,90001
253,200003,2102,防御,130,134,1,10253,20040,30030,40001,50003,60003,70001,80034,90001
254,200003,2102,防御,135,139,1,10254,20040,30030,40001,50003,60003,70001,80034,90001
255,200003,2102,防御,140,144,1,10255,20040,30030,40001,50003,60003,70001,80034,90001
256,200003,2102,防御,145,149,1,10256,20040,30030,40001,50003,60003,70001,80034,90001
257,200003,2102,防御,150,154,1,10257,20040,30030,40001,50003,60003,70001,80034,90001
258,200003,2102,防御,155,159,1,10258,20040,30030,40001,50003,60003,70001,80034,90001
259,200003,2102,防御,160,164,1,10259,20040,30030,40001,50003,60003,70001,80034,90001
260,200003,2102,防御,165,169,1,10260,20040,30030,40001,50003,60003,70001,80034,90001
261,200003,2102,防御,170,174,1,10261,20040,30030,40001,50003,60003,70001,80034,90001
262,200003,2102,防御,175,179,1,10262,20040,30030,40001,50003,60003,70001,80034,90001
263,200003,2102,防御,180,184,1,10263,20040,30030,40001,50003,60003,70001,80034,90001
264,200003,2102,防御,185,189,1,10264,20040,30030,40001,50003,60003,70001,80034,90001
265,200003,2102,防御,190,194,1,10265,20040,30030,40001,50003,60003,70001,80034,90001
266,200003,2102,防御,195,199,1,10266,20040,30030,40001,50003,60003,70001,80034,90001
267,200003,2000,防御,10,14,2,10267,,30001,40001,50003,60003,70001,80018,90001
268,200003,2000,防御,15,19,2,10268,,30001,40001,50003,60003,70001,80018,90001
269,200003,2000,防御,20,24,2,10269,,30001,40001,50003,60003,70001,80019,90001
270,200003,2000,防御,25,29,2,10270,,30001,40001,50003,60003,70001,80020,90001
271,200003,2000,防御,30,34,2,10271,,30001,40001,50003,60003,70001,80021,90001
272,200003,2000,防御,35,39,2,10272,,30001,40001,50003,60003,70001,80022,90001
273,200003,2101,防御,40,44,2,10273,,30001,40001,50003,60003,70001,80023,90001
274,200003,2101,防御,45,49,2,10274,,30002,40001,50003,60003,70001,80024,90001
275,200003,2101,防御,50,54,2,10275,,30004,40001,50003,60003,70001,80025,90001
276,200003,2101,防御,55,59,2,10276,,30006,40001,50003,60003,70001,80026,90001
277,200003,2101,防御,60,64,2,10277,,30007,40001,50003,60003,70001,80027,90001
278,200003,2101,防御,65,69,2,10278,20002,30009,40001,50003,60003,70001,80028,90001
279,200003,2102,防御,70,74,2,10279,20008,30012,40001,50003,60003,70001,80029,90001
280,200003,2102,防御,75,79,2,10280,20011,30014,40001,50003,60003,70001,80030,90001
281,200003,2102,防御,80,84,2,10281,20015,30017,40001,50003,60003,70001,80031,90001
282,200003,2102,防御,85,89,2,10282,20018,30020,40001,50003,60003,70001,80032,90001
283,200003,2102,防御,90,94,2,10283,20021,30024,40001,50003,60003,70001,80033,90001
284,200003,2102,防御,95,99,2,10284,20024,30028,40001,50003,60003,70001,80034,90001
285,200003,2102,防御,100,104,2,10285,20027,30030,40001,50003,60003,70001,80034,90001
286,200003,2102,防御,105,109,2,10286,20030,30030,40001,50003,60003,70001,80034,90001
287,200003,2102,防御,110,114,2,10287,20033,30030,40001,50003,60003,70001,80034,90001
288,200003,2102,防御,115,119,2,10288,20036,30030,40001,50003,60003,70001,80034,90001
289,200003,2102,防御,120,124,2,10289,20039,30030,40001,50003,60003,70001,80034,90001
290,200003,2102,防御,125,129,2,10290,20040,30030,40001,50003,60003,70001,80034,90001
291,200003,2102,防御,130,134,2,10291,20040,30030,40001,50003,60003,70001,80034,90001
292,200003,2102,防御,135,139,2,10292,20040,30030,40001,50003,60003,70001,80034,90001
293,200003,2102,防御,140,144,2,10293,20040,30030,40001,50003,60003,70001,80034,90001
294,200003,2102,防御,145,149,2,10294,20040,30030,40001,50003,60003,70001,80034,90001
295,200003,2102,防御,150,154,2,10295,20040,30030,40001,50003,60003,70001,80034,90001
296,200003,2102,防御,155,159,2,10296,20040,30030,40001,50003,60003,70001,80034,90001
297,200003,2102,防御,160,164,2,10297,20040,30030,40001,50003,60003,70001,80034,90001
298,200003,2102,防御,165,169,2,10298,20040,30030,40001,50003,60003,70001,80034,90001
299,200003,2102,防御,170,174,2,10299,20040,30030,40001,50003,60003,70001,80034,90001
300,200003,2102,防御,175,179,2,10300,20040,30030,40001,50003,60003,70001,80034,90001
301,200003,2102,防御,180,184,2,10301,20040,30030,40001,50003,60003,70001,80034,90001
302,200003,2102,防御,185,189,2,10302,20040,30030,40001,50003,60003,70001,80034,90001
303,200003,2102,防御,190,194,2,10303,20040,30030,40001,50003,60003,70001,80034,90001
304,200003,2102,防御,195,199,2,10304,20040,30030,40001,50003,60003,70001,80034,90001
305,200003,2000,防御,10,14,3,10305,,30001,40001,50003,60003,70001,80018,90001
306,200003,2000,防御,15,19,3,10306,,30001,40001,50003,60003,70001,80018,90001
