Category,Name,Comment,Value
,CameraIntervalTime,2.5D模式自动寻路时自动调整视角和视距的间隔,0
,CameraLockTime,2.5D模式自动寻路时不进行自动调整相机的时间,5
,NewHandSceneMinCameraDis,2.5D新手副本最小相机距离,21
,CanChangeDistance,2.5D是否能调整镜头距离,1
,CanTransverse,2.5D是否能左右旋转调整视角,1
,CameraShowOthersLevel,2.5D相机默认显示路人的等级,25
3D相机配置,3DMaxCameraDis,3D模式最大相机距离,28
,3DMinCameraDis,3D模式最小相机距离,2
,3DOrgCameraDis,3D模式默认相机距离,22
,3DOrgCameraDisPathFinding,3D模式自动寻路时默认相机距离,18
,3DMaxCameraRot,3D模式最大相机仰角,89
,3DMinCameraRot,3D模式最小相机仰角,-60
,3DOrgCameraRot,3D模式默认相机仰角,14
,3DOrgCameraRotPathFinding,3D模式自动寻路时默认相机仰角,14
,3DCameraSpeedDis,3D模式相机距离缓动速度,6
,3DCameraSpeedRot,3D模式相机角度缓动速度,6
,3DCameraSpeedDisPathFinding,3D相机自动寻路时距离缓动速度,2
,3DCameraSpeedRotPathFinding,3D相机自动寻路时角度缓动速度,24
,3DCameraDelayTime,3D相机背追视角调整延迟,2
,3DCameraSpeedY,3D模式相机上下移动速度,0.09
,3DCameraSpeedX,3D模式相机左右移动速度,0.14
,3DCameraIntervalTime,3D模式自动寻路时自动调整视角和视距的间隔,0
,3DCameraLockTime,3D模式自动寻路时不进行自动调整相机的时间,5
,3DNewHandSceneMinCameraDis,3D模式新手副本最小相机距离,21
,3DCanChangeDistance,3D模式是否能调整镜头距离,1
,3DCanTransverse,3D模式是否能左右旋转调整视角,1
,3DCameraShowOthersLevel,3D模式相机默认显示路人的等级,25
聊天,NoticeRollingCD,系统频道公告的滚动CD（秒）,300
装备更换CD,EquipCD,装备更换CD,1
拍照模式相机配置,PhotoMaxDis,最大相机距离,11.5
,PhotoMinDis,最小相机距离,2
,PhotoOrgDis,默认相机距离,7.2
,PhotoMaxRot,最大相机仰角,89
,PhotoMinRot,最小相机仰角,-60
,PhotoInitialRot,默认相机仰角,0
,PhotoMaxY,水平移动误差Y值,2
,PhotoMaxX,垂直移动误差X值,2
,PhotoOffsetY,Y方向偏移,1.5
货币,ExchangeDiamondToZeny,货币汇率 喵喵果实到Zeny币,10000
,ExchangeDiamondToROMoney,货币汇率 喵喵果实到铜币,100
,ExchangePerMaxLimit,单次兑换喵喵果实数量上限,1000000
昼夜天气温度配置,WeatherStartPoint,天气开始时间(恒定时间戳),1500000000
,WeatherPart,天气时间段分配,6=10=19=22
,WeatherRate,游戏时间1小时换算等于多少现实秒,75
,DefaultTemp,默认温度（如果当前场景没有配天气温度）,10
,DefaultHotPoint,默认的过热温度临界点,12
,DefaultColdPoint,默认的过冷温度临界点,8
时尚评分&典藏值,FashionLeaderboardSceneID,时尚度前三名立像场景id（普隆德拉）,71
,FashionLeaderboardPosition,时尚度前三名立像坐标和朝向（第一名|第二名|第三名 x=y=z=朝向）,79.05=33=61=180|77.55=33=62=180|80.55=33=62=180
,FashionLeaderboardRefreshTime,时尚度前三名立像刷新时间（秒）,60
,FashionMagazineNpcID,时尚杂志npcid,6212
,GarderobeLeaderboardID,时尚度排行榜id,1000
,GarderobeLeaderboardTitle,时尚度排行榜称号（第一名|第二名|第三名）,1059004|1059005|1059006
,FashionLeaderboardID,时尚杂志排行榜id,700
,FashionInvitationID,时尚周刊邀请函ID,2040010
,FashionMagazineCount,往期时尚杂志保留期数,10
大世界相关,FashionPartWeights,时尚评分各部位权重：头饰=脸饰=嘴饰=背饰=时装=发型颜色=眼睛=眼睛颜色,1.5=0.5=0.5=1=1=0.5=0.3=0.2
,FashionMagazineID,杂志道具ID,2040007
,FashionLeaderboardCount,杂志排行榜记录前多少名,50
,FashionEndingNoticeTime,主编消失前多少分钟发送提示,30
,FashionPhotoFocusOffset,拍照时的偏移向量（x=y=z）,0=-0.1=0
,FashionCameraDistanceRange,拍照时的相机距离范围（最小值=最大值）,3.4=3.4
,FashionCameraTiltRange,拍照时的相机仰角范围（最小值=最大值，-90~90度，正的为俯视）,0=45
,FashionCameraCountDown,拍照倒计时最大值,15
,FashionMagazineTime,杂志发布时间（4=500代表周四凌晨5点）,4=500
,FashionBaseRewardId,时尚评分参与奖的奖励ID,8000060
,FashionBaseRewardScorePercentage,玩家分数/理论最高分超过多少才发放参与奖,0.3
,OpenWorldDotIcon,世界地图上的点点图标,Map=UI_map_Interactive_WorldPve04.png
,ExtraStaticStateSceneType,特殊的静态场景类型（如果有不是常开的静态场景，需要在这填类型）,11|14
便捷寻路,EasyPathRange,靠近卡普拉或终点的实际检测距离（米）,2
,EasyPathSceneLimit,不允许寻路的迷宫id组,502|524|525
,EasyPathPosRange,寻路目标点检测范围,0.2
,EasyPathNpcRange,访问NPC距离,2
,MystTransPosition,迷雾岛传送门坐标(915版本临时特判),30=75.55=12.63=46.91
理发店,BarberShop_MaxDis,最大距离,8
,BarberShop_MinDis,最小配置,2
,BarberShop_OrgDis,默认配置,6
,BarberShop_OffsetY,上抬配置,1.3
美容院,BeautyShop_MaxDis,最大距离,8
,BeautyShop_MinDis,最小配置,2
,BeautyShop_OrgDis,默认配置,3
,BeautyShop_OffsetY,上抬配置,1.3
装备打造,ForgeHoleSite,装备允许打造孔位,0|1|2|3|4|5|6
,ForgeLevelShow,打造等级可筛选范围：向前显示N段，向后显示M段,100|1
,ForgeLevelShowSection,打造等级分段设定，每段区分（前一数字+1）<=分段<=后一数字,14|29|39|49|59|69|79|89|99|109|119
,ForgeLevelShow_Armor,防具打造等级可筛选范围：向前显示N段，向后显示M段,100|1
,ForgeLevelShowSection_Armor,防具打造等级分段设定，每段区分（前一数字+1）<=分段<=后一数字,29|39|49|59|69|79|89|99|109|119
,ForgeVoice ,打造声音,20
,ForgeWeaponHint,武器锻造预览文本配置,30=40|40=50|50=60|60=70|70=80|80=90|90=100|100=110
,ForgeArmorHint,防具锻造预览文本配置,30=40|40=50|50=60|60=70|70=80|80=90|90=100|100=110
,RecommendCardLevel,卡片推荐等级,50
乐园团宝箱奖励,EdenBoxAward,乐园团做满任务后的宝箱（配awardID）,8000070
,EdenFinishCount,乐园团每日可做次数,5
,EdenMaxCount,乐园团每日刷新的任务数量,8
,EdenNpc,乐园团黑板NPC（mapID=npcID）,15=3400
,EdenSystemID,乐园团功能ID,5010
,TaskMark,乐园团任务公会ID与职业映射,"1=2000,2101|2=3000,3101|3=5000,5101|4=7000,7101|8=4000,4101|9=6000,6101"
,EdenTaskAbandonCD,乐园团放弃后不可接下个单子的惩罚时间（秒）,1200
,TaskTypeWeight,乐园团任务类型发布权重,1=20|2=20|4=20|5=20|9=20
,RoleWeatherActionIDs,天气动作配置conditionID,3|4|5
快捷栏,QuickItem,快捷栏自动放置道具,2010001|2010005|2010012|2031002
,QuickExLevel,快捷栏第二页开启等级,30
装备快捷使用,QuickUseEquipLevel,最大推荐人物等级,49
,QuickUseEquipNum,推荐次数,2
,QuickIdentificationLevel,快捷鉴定等级区间:开始等级|结束等级,30|40
,QuickIdentificationNum,推荐次数,10
双人烹饪相关,CookEndCond,结束条件：0，胜利后立即结算；1，胜利后继续等到时间结束才结算,1
蝴蝶翅膀及便捷寻路特效,ButterflyEffect,特效id,104
,ButterflyWingsID,蝴蝶翅膀道具id,2031002
苍蝇翅膀,FliesWingsID,苍蝇翅膀id,2031003
精炼,RefineOngoingEffect,精炼进行中特效id,120015
,RefineUpgradeSuccessEffect,精炼升级成功特效id,120017
,RefineUpgradeFailEffect,精炼升级失败特效id,120016
,RefineProbabilityShow,精炼成功率显示,1
,RefineVoice,精炼声音,20
,RefineVoiceSuccess,精炼成功音效,25
,RefineVoiceFail,精炼失败音效,26
,RefineCD,精炼按钮CD，单位秒，支持小数点,0.8
,RefineSafeLv,安全精炼,4|6|15
,RefineAttenuateLevel,精炼衰减触发等级,99
,RefineAttenuateRate,精炼衰减比例，配置格式：次数=衰减比例|次数2=衰减比例,1=10000|2=10000
,RefineOrnamentAttenuateLevel,配饰精炼衰减触发等级,99
,RefineOrnamentAttenuateRate,配饰精炼衰减比例，配置格式：次数=衰减比例|次数2=衰减比例,1=10000|2=10000
,RefineAdvancedLv,装备可进阶精炼的精炼等级要求（门槛）,10
,RefineSuitPart,可被统计作为激活精炼套的部位,0|1|2|3|4|5|6|7|8|9|10
,RefineTaskLv,接取前置任务需要达到的精炼等级,15
组队相关,RefuseLength,拒绝列表长度,20
,RefuseTime,拒绝列表超时时间 秒,30
,MatchTime,匹配时间  秒,180
,RecentLength,最近组队列表长度,40
,RecentTime,最近组队列表保留时间（小时）,168
,TeamPromptCD,喊话的cd 秒,60
,TeamPromptTime,喊话有效期 秒,300
,TeamPromptCount,最近组队喊话信息拉取条数,5
,TeamNearlyInfoCount,附近组队信息条数,10
,TeamPromptContent,组队喊话内容 （组队喊话内容 参数1 队伍名 参数 2/3 人数 4 职业图标参数 5/6等级）,TeamPromptContent
,TeamListCD,拉取组队列表CD,5
,TeamShoutCD,组队喊话CD,60
,TeamDefaultName,队伍默认名字,TEAM_DEFAULT_NAME
,TeamShoutResetTime,组队喊话列表重置时间/秒,15
,TeamShoutResetNum,组队喊话列表重置数量,5
,TeamOfflineKickTime,离线队员过几分钟被踢出队伍(0表示立马踢，-1永远不踢出去),5
,TeamRecommandNum,推荐组队的人数,2
,TeamRecommandCacheNum,推荐组队的缓存数量,500
,TeamRecommandQueryMaxNum,推荐组队每次从gs上查询的最大人数,30
,TeamRecommandSearchMaxNum,推荐组队时查询的最大人数,20
,TeamRecommandQueryInterval,推荐组队查询gs间隔,3
,TeamSearchCD,队伍查询列表CD,5
,TeamAFKCD,玩家进入暂离状态需要的时间CD/秒,300
,TeamInviteCD,邀请别的玩家入队的CD/秒,10
,TeamInviteLastTime,邀请组队框持续的时间,15
,TeamApplyCaptainLastTime,申请队长框持续时间/秒,10
,TeamApplyCaptainCD,申请队长CD时间/秒,60
,TeamScenesDisabled,不允许进行队伍操作的场景ID（竖线隔开）,1009|1111|1112|1113|1114|1115|1116|1117|1118
,TeamDutyRecommend,队伍职责推荐,1=1|2=1|3=3
,TeamDutyMatchDelayTime,撮合延迟匹配愿意当队长的时间（秒）,20
,TeamDutyMatchLevel,匹配等级段差（初始等级=等级差=最高等级）,20=10=100
,TeamLeaderAwardMessageID,队长获得队长奖励时发送弹幕ID,61003
,TeamLeaderAwardLimitLevel,队长获得队长奖励的最低等级,40
,TeamReviveColor,组队时复活气泡颜色,#00BFFF
攀爬相关,ClimbSpeedClient,攀爬基础速度（客户端）,0.5
,ClimbSpeedServer,攀爬基础速度（服务器校验用）,1.5
,ProtectionHeight,攀爬无敌高度,1.5
雷雨天爆炸头,CheckBombHairInterval,每隔多少秒判断一次,10
,BombHairRate,触发几率（万分比）,300
,BombHairBuffID,爆炸头的buffid,201000001
商会,LimitDownRate,商会商品跌停率（-10%）（分母10000）,1000
,LimitUpRate,商会商品涨停率（50%）,5000
,HotSaleRate,商会供不应求率（10%）,1000
,TaxRate,商会税率（9%）,900
,LimitUpSellingPrice,跌停时出售的折损率（八折出售）,8000
,HotSaleBuyPrice,供不应求时购买的价格（130%）,13000
,CommodityDailyBuyKindLimit,每日可预购的公示道具种类,50
,CommodityAttentionLimit,可关注的公示道具数量上限,20
,ForbidSellTime,每日禁止出售公示类道具的时间,3600|300
,ForbidBuyTime,每日禁止购买公示类道具的时间,300|300
,ForbidSellTime2,每日禁售公示类道具的时间(CommoditTable表InventoryRefreshType值为2道具),300|300
,ForbidBuyTime2,每日禁购公示类道具的时间(CommoditTable表InventoryRefreshType值为2道具),300|300
,InventoryRefreshTime,CommoditTable表InventoryRefreshType值为2道具的刷新时间,1200|1600|2000
,CommodityAllotParam,商会公示结算中使用的参数,0.25
采集,CollectBreakHpPercent,1s内玩家打断采集状态的伤害比(10000作为底数),1000
,CanCollectEffect,可采集提示特效,120030
,CollectDisappearEffect,采集消失特效,104
领取奖励特效,NoticeRewardEffect,领取预告奖励特效,120046
取名特殊符号,SpecialSign,取名添加的符号,丶
高品质道具获取提示,AccessPromptHighEffect,高品质道具获取提示,120035
公会,CreateCost,创建费用,101=200000|2040001=1
,BoliAwardInterval,委托证明消耗达到20/40/60/80/100给公会之心,20|40|60|80
,BoliAwardItem,奖励物品（第一个是奖励公会之心 第二概率给公会原石）,3109999|3109998
,CrystalItemID,公会之心id,2050001
,CrystalExchange,1个公会之心=x个公会资金|y个baseExp|z个公会贡献,10000|5000|10
,CrystalScoreExchange,1个公会之心=x组织进度,10
,RawGemstoneID,原石id,2050004
,UnitySculptureID,组织的团结力id,2050003
,UnitySculptureExchange,1个组织的团结力=x个公会资金|y个baseExp|z个公会贡献,300000|150000|300
,UnitySculptureScoreExchange,1个组织的团结力=x组织进度,300
,CertificateItemID,时空之证id,2050010
,CertificateExchange,1个时空之证=x个公会资金|y个baseExp|z个公会贡献,50000|25000|50
,CertificateScoreExchange,1个时空之证=x组织进度,50
,RawGemstoneTimeCd,原石求助cd/原石链接失效时间（单位：分）,10
,RawGemstoneCarveTimes,原石雕琢次数,10
,RawGemstoneCarveSelfTimes,原石自己可雕琢次数,1
,RawGemstoneCarveEachOneTimes,原石单人可帮助雕琢次数,1
,RawGemstoneCarvePerDayTimes,原石每日每人帮助别人雕琢次数上限,10
,GuildMapId,公会场景id,29
,BanquetRandomPosition,公会宴会NPC/采集物随机位置起始锚点（X|Y|Z）,37.7|25.1|55.0
,GuildTransPosition,公会传送门坐标(915版本临时),50.81=25.1120987=29.71
,DestructionDelayTime,公会场景延迟销毁时间（单位秒）,3600
,GuildTopN,公会排行榜主要成员取前几名,1
精炼保底组,RefineGuaranteeGroup,装备精炼的保底组,10802
锻造升星保底组,ForgeGuranteeGroup,锻造升星的保底组,10801
附魔保底组,EnchantGuaranteeGroup,装备附魔的保底组,10803
附魔笑脸词库来源,EnchantSunFace,附魔笑脸词库来源,3|4
附魔哭脸词库来源,EnchantBadFace,附魔哭脸词库来源,1
服务器等级修正,ExpFixServerLevelLimit,经验修正生效所需的服务器等级,30
,ExpFixBaseLevelLimit,经验修正生效所需的base等级,30
,NoExpFixTaskType,不受经验修正的任务类型对应的ItemChangeReason,0
邮件相关,MailTitleLenMax,邮件标题长度上限英文字符长度,50
,MailContentLenMax,邮件正文长度上限英文字符长度,2000
,MailNoAttachmentDeleteDay,没有附件的邮件的删除日期默认上限（天数）,30
,MailAttachmentDeleteDay,有附件的邮件的删除日期默认上限（天数）,30
,MailQuantityMax,邮件保持数量上限,100
摆摊相关参数,StallRate,摊位费率(万分比),700
,StallRateMinValue,摊位费下限,10
,StallRateMaxValue,摊位费上限,5000000
,StallRefreshTime,快照自动刷新的时间(单位：秒),300
,StallMaxHour,道具上架最大时长(单位：小时),24
,SystemSellOpenDay,系统上架功能开启天数,2
同屏显示相关,ScreenMaxShowNum,同屏最大显示人数,30
,MinFriendsDegreeNeed,优先级好友度最低要求,3
,RangeOfEnemyDisplay,优先显示的敌对玩家范围,10
,FightingRoleContinueTime,攻击或被攻击的持续时间,8
活跃度奖励,ActivityAward,活跃度阶段奖励,30=8000080|50=8000090|70=8001000|100=8001100
,ActivityMailID,活跃奖励发放邮件ID,99
活动,ActivityMapInitialSize,活动地图初始尺寸（放大倍数）,1.56
,ActivityMapMaxSize,活动地图最大尺寸（放大倍数）,2
,ActivityMapMinSize,活动地图最小尺寸（放大倍数）,1.56
赠送,DailyRecieveLimit,普通材料每日获赠上限,0=5|1=100|2=6
生活职业相关,FoodProcessingTime,单人烹饪过程动画时间,4
,MedicineProcessingTime,制药过程动画时间,4
,DessertProcessingTime,甜品过程动画时间,4
,SmeltProcessingTime,冶炼过程动画时间,4
,FoodQteTime,单人烹饪QTE时间,8
,FishingButtonIcon,钓鱼按钮图标,UI_main_Interactive_Fishing.png
,FishingMaxCastingDistance,最远抛竿范围,7
,FishingReflexTimeDefault,默认收杆反应时间,1.5
,FishingWaitTimeMin,钓鱼等鱼上钩的最小时间,2
,FishingWaitTimeMax,钓鱼等鱼上钩的最大时间,6
,FishingMinTimeAfterCasting,抛竿之后的最低等待时间,1.5
,FishingResultWaitTime,钓鱼结果UI等待该时间后自动关闭,3.5
,FishingBaitItemID,鱼饵道具ID,3050003
,DefaultFishingRod,默认鱼竿carryitemid,3050007
,DefaultSunshade,默认遮阳篷carryitemid,3050008
,DefaultPickAxe,默认镐carryitem id,3050005
,DefaultSickle,默认镰刀carryitem id,3050004
,AutoFishingCycleTimeMax,自动钓鱼循环的最大时间（秒）,9.5
,AutoFishingCycleTimeMin,自动钓鱼循环的最小时间（秒）,12.5
,AutoFishingItemID,自动钓鱼书ID,3050006
,AutoFishingTimeOptionMax,自动钓鱼时间下拉框最大值（分钟）,60
,AutoFishingTimeOptionMin1,自动钓鱼时间下拉框最小值：开始前（分钟）,10
,AutoFishingTimeOptionMin2,自动钓鱼时间下拉框最小值：中途调整（分钟）,0
,AutoFishingTimeOptionStep,自动钓鱼时间下拉框增量（分钟）,10
,AutoFishingBuffID,自动钓鱼buff ID,927301
,AutoGatheringItemID,自动采摘书ID,3050010
,AutoGatheringBuffID,自动采摘buff ID,937201
,AutoGatheringBuffLastTime,自动采摘buff持续时间（秒）,600
,AutoMiningItemID,自动挖矿书ID,3050011
,AutoMiningBuffID,自动挖矿buff ID,937301
,AutoMiningBuffLastTime,自动挖矿buff持续时间（秒）,600
,AutoGatheringSettings,最小半径=最大半径=增量步伐,0=12=1
,AutoGatheringDefaultRadius,自动采摘光圈的默认半径,6
,CraftingSkillLevelCaps,合成类职业等级上限（非组合类=组合类）,50=1
,AutoGatheringGap,前后两次自动采摘/挖矿之间的间隔时间（秒）,0.5
,AutoCollectionTipsCD,自动采摘错误提示间隔时间（秒）,0.5
,CraftingResultAnimDelay,生活职业量产时不同结果动画的延迟时间（秒）,0.3
元气,VigourOriginalValue,玩家初始元气数量,300
,VigourOriginalValueMaxLimit,玩家初始元气上限,1800
,VigourPerLevIncrease,每升一级元气增加值,0
,VigourInterval,每消耗X委托证明获得元气,20|40|60|80|100
,VigourAwardNum,消耗委托证明达标后单次发放元气值数量,302=360
背包,BagInitialNum,背包初始格子数（列的倍数）,100
,BagExNum,背包可扩建格子数（5×N）,40
,BagUnlockPerNum,背包每次解锁格子数,5
,BagShowLockRow,背包最大显示锁行数,2
,BagUnlockItemId,背包解锁需要的道具ID,2032001
,BagUnlockItemNums,背包解锁每次消耗道具数量（可扩建N次）,1|2|3|4|5|6|7|8
,BagArrangeCD,背包整理CD（秒）,5
,BagInitMaxLoad,背包初始最大负重,5000
,BagMaxBlank,背包最大格子数,2000
,BagLoadExtendPerTime,使用健身券每次扩展的load,500
,BagLoadExtendTimes,能用多少次健身券,50
,BagLoadUnlockItemID,健身券ID,2032003
,BagLoadDebuffArr,负重debuff数据,90=920801|100=0
,LoadAddPerStr,每点素质力量带来的额外负重,30
仓库,PotInitialNum,仓库初始页数,1
,PotExNum,仓库可扩建页数（X）,6
,PotShowLockRow,仓库最大显示锁行数,1
,PotUnlockPerNum,仓库每次解锁页数,1
,PotUnlockItemId,仓库解锁需要的道具ID,2032002
,PotUnlockItemNums,仓库解锁每次消耗道具数量（可扩建X次）,1|2|4|6|6|6
,PotGridNum,仓库每页格子数量,25
,PotDefaultName,仓库默认名,PotDefaultKey
,ItemReobtainSpecialType,道具重复提示特殊类定义,3=4
表情,ExpressionOffset,人物头上表情偏移,0=0.7
,ExpressionScale,人物头上表情比例,1.5
,ExpressionListScale,头顶表情列表缩放比例,1.5
魔物驱逐祝福相关参数,BasicBlessingTime,祝福基础时间（毫秒）,3600000
,AddBlessingTime,每日更新增加的祝福时间（毫秒）,3600000
,MaxBlessingTime,祝福最大积累时间（毫秒）,25200000
,DamageCheckTimeOut,停止计时的伤害间隔上限（毫秒）,10000
,RushMonsterInterval,定时刷怪的时间间隔（毫秒）,360000
,MonsterLifeTime,刷怪的生存时间（毫秒）,180000
,BasicMonsterCountCD,基础CD时间（毫秒）,1200000
,AddMonsterCountCD,增加CD时间（毫秒）,1200000
,MaxMonsterCountCD,最大CD时间（毫秒）,9999999
,SettedMonsterCount,进入CD的杀怪数量（整数）,2000000000
,ZoomBuffID,模型放大加光环的Buff（ID）,916101
,JewelryMonsterID,EntityTable的宝箱怪（ID1=ID2=ID3）,57002
,LevelAboveRole,大于等于玩家X级会进行触发计数,-15
,ExpMonsterID,当触发的经验怪是非普通怪时刷新此怪物复仇,1001=1002=1003
,TimeFreshChestMonsterProp,按时间刷新的特殊怪中宝箱怪几率,0
,CountFreshChestMonsterProp,按个数刷新的特殊怪中宝箱怪几率,0
,SpecialMonsterProp,击杀数量到后出特殊怪的概率,2000
,ExpMonsterPrefixName,经验怪名字前缀,ExpMonsterKey
,JewelryMonsterPrefixName,宝箱怪名字前缀,JewelryMonsterKey
,OpenBlessBuffID,开启关闭祝福效果的触发buff（ID）,916201
,JewelryAwardID,宝箱怪奖励配置（ID）,57002
,ExpAwardID,经验怪奖励配置（ID）,57001
,ExpelMonsterTipTime,野外战斗累计提示时间(秒),10
,BlessBaseExpAddition,祝福加成base经验倍数,1
,BlessJobExpAddition,祝福加成Job经验倍数,1
,BlessExpExtraAdditionConfig,祝福经验额外加成配置,1=3=110=100|4=10=110=100|11=15=100=100|16=10000=30=100|0=-5=100=100|-6=-10=70=90|-11=-15=50=70|-16=-10000=30=50
,ExpItemAdditionConfig,怪物图鉴经验道具掉率显示,1=5=110=110|6=10=110=110|11=15=100=100|16=10000=30=60|0=-5=100=100|-6=-10=70=80|-11=-15=50=50|-16=-10000=30=30
,BlessOpenCD,祝福开启后再次关闭CD（秒）,20
,BlessExtraAward,祝福掉落倍率配置,1=0|2=100
野外挂机相关参数配置,HealthyFightTime,健康战斗时间（分）,120
,TiredFightTime,疲劳战斗时间（分）,120
,PrayingExpForbidItemID,祈福经验禁止道具ID,2023003|2023004
,PrayExpLimitLevel,祈福经验开始等级（低于此等级无法获得祈福经验）,30
,MonthCardBlessedExperience,月卡模式下祈福挂机经验兑换祈福经验比例,10000
,TownPortalTime,出自动回城时确认框倒计时（秒）,60
,TownPortalMinLevel,自动回城生效最低等级,20
野外挂机出经验怪相关配置,RegularFreshInterval,固定出怪间隔（秒）,300
,CalculateInteval,计算间隔（秒）,10
,SpecialBExpRatio,每分钟计算经验时的系数,1.6
,MinLevelLimit,最低等级限制（低于玩家X级就不触发机制）,15
,RegularExpMonsterID,普通经验怪EntityID,57003
,RegularExpMonsterPostfixName,加在野外挂机经验怪后面的词缀,RegularExpMonsterKey
,RegularExpMonsterReviveTime,经验怪生存时间（秒）,300
,RegularExpMonsterStartLv,健康时间挂机出主动怪起始等级,30
额外出卡打卡计时,ExtraCardTime,额外出卡打卡计时（分钟）,20
设置,OrgAudioSetting,默认自动播放语音频道（1世界 2公会 3队伍 4附近/当前 5系统6仅在wifi环境自动播放）,3
道具背景图,ItemBluePrintBg,图纸底板,UI_Common_ItemBG_08.png
,ItemComCardBg,普通卡片底板,UI_Common_Card_Blue_01.png
,ItemMvpCardBg,MVP卡片底板,UI_Common_Card_Yellow_01.png
,ItemExistBg,道具存在底板,UI_Common_ItemBG_01.png
,ItemDefaultBg,道具默认底板,UI_Common_ItemBG_02.png
,ItemComCardFg,普通卡片遮罩图,UI_Common_Card_Blue_03.png
,ItemMvpCardFg,Mvp卡片遮罩图,UI_Common_Card_Yellow_03.png
,ItemDefaultWH,道具默认宽高,64|64
,ItemCardWH,卡片宽高,54|54
,ItemDragScale,道具拖动放大尺寸,1.2|1.2
,ItemPropBg0,白色0品质道具,UI_Common_ItemBG_01.png
,ItemPropBg1,绿色1品质道具,UI_Common_ItemBG_03.png
,ItemPropBg2,蓝色2品质道具,UI_Common_ItemBG_04.png
,ItemPropBg3,紫色3品质道具,UI_Common_ItemBG_05.png
,ItemPropBg4,黄色4品质道具,UI_Common_ItemBG_06.png
,ItemPropBg5,红色5品质道具,UI_Common_ItemBG_09.png
选择类型道具使用,ItemComBig1,白色0底图,UI_Common_Iconbigframe_01.png
,ItemComBig2,绿色1底图,UI_Common_Iconbigframe_03.png
,ItemComBig3,蓝色2底图,UI_Common_Iconbigframe_04.png
,ItemComBig4,紫色3底图,UI_Common_Iconbigframe_05.png
,ItemComBig5,黄色4底图,UI_Common_Iconbigframe_06.png
,ItemComBig6,红色5底图,UI_Common_Iconbigframe_09.png
功能开放,OpenSystemFuncPreviewId,功能开放预览id,20001
图鉴系统,MonsterListLevelSection,魔物列表划分等级段,20
,MonsterModelScale,魔物模型显示比例（魔物Aid=缩放比例|魔物Bid=缩放比例）,1201=0.6|1117=0.4|1116=0.4|1112=0.86|1113=0.62|1121=0.8|1118=0.91|1041=0.83|1250=0.72|1032=0.72|1135=0.58|1021=0.9|1187=0.72|1012=0.74|1103=0.81|1196=0.74|1200=0.68|1202=0.6|1237=0.8|1302=0.85|1308=0.7|1353=0.81|1352=0.67|1363=0.77|1366=0.67|1364=0.68|1310=0.95|1311=0.94|1541=0.8|1542=0.67|1540=0.81|1527=0.8|1528=0.96|1616=0.78|1602=0.94|1817=0.9|1816=0.7|1812=0.8|1803=0.8
,EquipListLevelSection,装备列表划分等级段（1-47；48-69）,1|30|40|50|60|70|80|90|100|110|120|130|140|150|160|170|180|190|200
,HandBookListSort,图鉴列表排序（功能id）,116|11404|11413|11403|11405|11406|11402|77777|20013
,IllustrationStoryMainBGM,剧情图鉴主界面BGM（临时配置位置，后期框架完善后请调整）,2004
,HandBookStoryListSort,剧情图鉴页面功能排序,77778|77779|77780
,ISUnlockConditionTypeToEffectID,剧情图鉴解锁条件类型=播放特效ID（EffectTable）,2=2691563
