ID,AddSkillQueue,ClassAbility,ThreeDimColor,ClassName,ClassEnglishName,ClassBGAtlas,ClassBGSprite,ClassIconAtlas,ClassIconSprite,ClassRecommandId,FeatureText,Difficulty,Desc
210201,200004=5|200005=1|200004=10|200005=5|200009=10|200005=10|200006=5|200011=5|210106=1|200012=10|210107=5|200013=5|210113=10|200013=10|200011=9|210204=10|210202=10|210207=5|210203=10|200007=5,3=8=4,acff93,敏剑,LordKnight,Skill_UI,UI_Skill_Shools_03.png,Skill_School,UI_Skill_School_Minqi.png,210201,2|1|3,2,剑系高攻速输出
210202,200004=5|200005=1|200004=10|200005=5|200011=5|200005=10|200006=5|200011=10|200007=5|210106=1|210103=5|210104=10|210107=5|210103=10|210108=10|210112=4|210204=10|210205=10|210207=5|210208=5|210209=10,3=8=6,ff5858,枪骑,LordKnight,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Tiqi.png,210202,2|1|3,2,枪系技能伤害流
210203,200004=5|200005=1|200004=10|200011=5|200006=10|200011=10|200007=9|210106=1|210114=5|210115=5|210109=10|210114=10|210107=5|210115=10|200007=10|210119=1|210105=2|210206=5|210204=10|210207=5|210208=5|210209=10|210108=5,5=5=9,ffe993,防御,LordKnight,Skill_UI,UI_Skill_Shools_04.png,Skill_School,UI_Skill_School_Fangqi.png,210203,3|1|2,3,持续减伤防御
220101,200004=5|200005=5|200004=10|200009=5|200006=5|200009=10|200005=10|200011=5|220105=5|220106=5|220113=10|220115=1|220116=5|220102=4|220110=5|220111=5|220206=10|220207=10|220211=5|220203=5|220211=10|220203=10,3=8=6,acff93,盾牌,Crusader,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Dunpai.png,220101,2|3|1,2,盾系技能伤害
220102,200004=5|200005=5|200004=10|200009=5|200006=5|200009=10|200005=10|200011=5|220111=5|220108=5|220109=10|220108=10|220102=5|220107=5|220115=1|220116=4|220203=5|220202=5|220110=5|220207=10|220203=10|220202=10|220116=5|220111=9,4=8=4,ff5858,圣十字,Crusader,Skill_UI,UI_Skill_Shools_03.png,Skill_School,UI_Skill_School_Shenpan.png,220102,2|3|1,3,圣属性混合伤害
220103,200004=5|200005=5|200006=5|200011=5|200007=5|200006=10|200011=10|200004=10|220105=5|220114=1|220102=5|220107=5|220103=9|220115=1|220116=5|220111=5|220110=4|220209=10|220210=5|220211=5|220203=5|220212=5|220203=10|220211=10,5=4=9,ffe993,援护,Crusader,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Yuanhu.png,220103,3|1|2,3,减伤格挡伤害
220201,200004=5|200005=5|200004=10|200009=5|200006=5|200009=10|200005=10|200011=5|220105=5|220106=5|220113=10|220115=1|220116=5|220102=4|220110=5|220111=5|220206=10|220207=10|220211=5|220203=5|220211=10|220203=10,3=8=7,acff93,盾牌,Paladin,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Dunpai.png,220201,2|3|1,2,盾系技能伤害
220202,200004=5|200005=5|200004=10|200009=5|200006=5|200009=10|200005=10|200011=5|220111=5|220108=5|220109=10|220108=10|220102=5|220107=5|220115=1|220116=4|220203=5|220202=5|220110=5|220207=10|220203=10|220202=10|220116=5|220111=9,4=9=4,ff5858,圣十字,Paladin,Skill_UI,UI_Skill_Shools_03.png,Skill_School,UI_Skill_School_Shenpan.png,220202,2|3|1,3,圣属性混合伤害
220203,200004=5|200005=5|200006=5|200011=5|200007=5|200006=10|200011=10|200004=10|220105=5|220114=1|220102=5|220107=5|220103=9|220115=1|220116=5|220111=5|220110=4|220209=10|220210=5|220211=5|220203=5|220212=5|220203=10|220211=10,5=4=10,ffe993,援护,Paladin,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Yuanhu.png,220203,3|1|2,3,减伤格挡伤害
310101,300001=5|300008=1|300002=5|300009=1|300002=10|300008=5|300003=5|300008=10|300012=5|300009=5|300015=1|300016=10|300015=2|310108=2|310102=5|310103=5|310111=5|300015=4|310112=5|310103=9|310203=10|310205=10|310202=5|310206=5|310207=5|310204=5,6=3=6,acff93,赞美,Priest,Skill_UI,UI_Skill_Shools_03.png,Skill_School,UI_Skill_School_Zanmei.png,310101,1|3|2,2,恢复治疗增益团队
310102,300001=5|300008=1|300002=5|300009=1|300002=10|300008=5|300003=5|300008=10|300012=5|300009=5|300015=1|310106=5|310109=10|310106=10|300016=10|300015=4|310111=6|310209=10|310210=10|310203=5|310208=3|310205=5|310202=5|310205=7,6=3=6,ff5858,驱魔,Priest,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Qumo.png,310102,2|1|3,3,不死魔物净化大师
310103,300002=5|300009=1|300002=10|300011=10|300009=5|300008=5|300003=5|300012=5|310108=2|310105=5|310114=10|310103=10|310105=10|310104=5|300015=3|310211=10|310210=10|310203=5|310206=5|310207=5|310203=10,4=6=3,93daff,暴牧,Priest,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_BaoMu.png,310103,2|3|1,1,暴力物理输出
310201,300001=5|300008=1|300002=5|300009=1|300002=10|300008=5|300003=5|300008=10|300012=5|300009=5|300015=1|300016=10|300015=2|310108=2|310102=5|310103=5|310111=5|300015=4|310112=5|310103=9|310203=10|310205=10|310202=5|310206=5|310207=5|310204=5,7=3=7,acff93,赞美,HighPriest,Skill_UI,UI_Skill_Shools_03.png,Skill_School,UI_Skill_School_Zanmei.png,310201,1|3|2,2,恢复治疗增益团队
310202,300001=5|300008=1|300002=5|300009=1|300002=10|300008=5|300003=5|300008=10|300012=5|300009=5|300015=1|310106=5|310109=10|310106=10|300016=10|300015=4|310111=6|310209=10|310210=10|310203=5|310208=3|310205=5|310202=5|310205=7,7=5=7,ff5858,驱魔,HighPriest,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Qumo.png,310202,2|1|3,3,不死魔物净化大师
310203,300002=5|300009=1|300002=10|300011=10|300009=5|300008=5|300003=5|300012=5|310108=2|310105=5|310114=10|310103=10|310105=10|310104=5|300015=3|310211=10|310210=10|310203=5|310206=5|310207=5|310203=10,4=8=4,93daff,暴牧,HighPriest,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_BaoMu.png,310203,2|3|1,1,暴力物理输出
320101,300002=5|300009=5|300002=10|300011=10|300008=5|300003=5|300012=5|320103=5|320108=10|320104=5|320102=5|320105=5|320102=10|320105=10,8=7=3,acff93,气功,Monk,Skill_UI,UI_Skill_Shools_03.png,Skill_School,UI_Skill_School_Qigong.png,320101,2|1|3,2,平稳持续输出
320102,300002=5|300009=5|300002=10|300011=10|300008=5|300003=5|300012=5|320103=5|320105=5|320106=5|320107=5|320105=10|320104=5|320109=5|320102=5,9=8=3,93daff,连打,Monk,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Lianda.png,320102,2|1|3,3,连续技爆发伤害
320201,300002=5|300009=5|300002=10|300011=10|300008=5|300003=5|300012=5|320103=5|320108=10|320104=5|320102=5|320105=5|320102=10|320105=10|320202=5|320205=10|320208=10|320209=10|320207=5,8=8=4,acff93,气功,Champion,Skill_UI,UI_Skill_Shools_03.png,Skill_School,UI_Skill_School_Qigong.png,320201,2|1|3,2,平稳持续输出
320202,300002=5|300009=5|300002=10|300011=10|300008=5|300003=5|300012=5|320103=5|320105=5|320106=5|320107=5|320105=10|320104=5|320109=5|320102=5|320202=5|320203=5|320204=10|320208=10|320209=10,9=9=4,93daff,连打,Champion,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Lianda.png,320202,2|1|3,3,连续技爆发伤害
410101,400010=5|400005=5|400006=10|400005=10|400013=5|400014=5|400011=5|410108=5|410110=1|410111=3|410112=10|410108=10|410104=5|410105=5|410106=1|400017=5|410206=10|410212=10|410208=10|410205=10,6=8=1,ff5858,火焰,Wizard,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Huonian.png,410101,2|1|3,2,火系法术稳定输出
410102,400010=5|400003=10|400001=10|400004=5|400002=5|400011=5|410103=3|400016=10|410102=5|400015=10|410103=10|400017=5|410206=10|410212=10|410210=5|410207=5|410205=10,6=8=1,93daff,冰雷,Wizard,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Binglei.png,410102,2|1|3,3,冰雷强制属性转换
410201,400010=5|400005=5|400006=10|400005=10|400013=5|400014=5|400011=5|410108=5|410110=1|410111=3|410112=10|410108=10|410104=5|410105=5|410106=1|400017=5|410206=10|410212=10|410208=10|410205=10,7=9=1,ff5858,火焰,HighWizard,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Huonian.png,410201,2|1|3,2,火系法术稳定输出
410202,400010=5|400003=10|400001=10|400004=5|400002=5|400011=5|410103=3|400016=10|410102=5|400015=10|410103=10|400017=5|410206=10|410212=10|410210=5|410207=5|410205=10,7=9=1,93daff,冰雷,HighWizard,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Binglei.png,410202,2|1|3,3,冰雷强制属性转换
420101,400005=5|400003=5|400001=5|400003=10|400005=10|400011=5|400001=10|400002=5|420103=5|420104=5|420114=5|420116=5|420106=10|420107=5|420108=2|420109=2|420110=1|420203=10|420204=5|420213=5|420205=10|420211=3|420209=3|420210=4,6=8=1,ff5858,元素,Sage,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_yuansu.png,420101,2|1|3,2,元素属性切换稳定输出
420102,400010=5|400003=5|400001=5|400003=10|400004=5|400011=5|400001=10|400002=5|420112=10|420114=5|420113=5|420103=5|420104=5|420106=10|420205=5|420207=5|420208=10|420205=10|420211=3|420212=10|420209=2,6=8=1,93daff,精神,Sage,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_jingshenliu.png,420102,2|1|3,3,无属性伤害蓝量增益
420201,400005=5|400003=5|400001=5|400003=10|400005=10|400011=5|400001=10|400002=5|420103=5|420104=5|420114=5|420116=5|420106=10|420107=5|420108=2|420109=2|420110=1|420203=10|420204=5|420213=5|420205=10|420211=3|420209=3|420210=4,7=9=1,ff5858,元素,Scholar,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_yuansu.png,420201,2|1|3,2,元素属性切换稳定输出
420202,400010=5|400003=5|400001=5|400003=10|400004=5|400011=5|400001=10|400002=5|420112=10|420114=5|420113=5|420103=5|420104=5|420106=10|420205=5|420207=5|420208=10|420205=10|420211=3|420212=10|420209=2,7=9=1,93daff,精神,Scholar,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_jingshenliu.png,420202,2|1|3,3,无属性伤害蓝量增益
510101,500024=5|500010=10|500024=10|500025=10|500011=5|500005=5|510109=5|510103=10|510109=10|510116=10|510110=5|510112=5|510206=10|510203=10|510207=10|510205=10,4=8=3,93daff,双刀,Assassin,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Shuangdao.png,510101,2|1|3,2,双刀攻速流持续输出
510102,500024=5|500010=10|500024=10|500025=10|500011=5|500005=5|510102=10|510115=10|510104=10|510110=5|510112=5|510206=10|510202=10|510207=10|510205=10,5=8=3,ffe993,拳刃,Assassin,Skill_UI,UI_Skill_Shools_04.png,Skill_School,UI_Skill_School_Baoci.png,510102,2|1|3,2,拳刃技能伤害
510201,500024=5|500010=10|500024=10|500025=10|500011=5|500005=5|510109=5|510103=10|510109=10|510116=10|510110=5|510112=5|510206=10|510203=10|510207=10|510205=10,4=9=3,93daff,双刀,AssassinCross,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Shuangdao.png,510201,2|1|3,2,双刀攻速流持续输出
510202,500024=5|500010=10|500024=10|500025=10|500011=5|500005=5|510102=10|510115=10|510104=10|510110=5|510112=5|510206=10|510202=10|510207=10|510205=10,5=9=4,ffe993,拳刃,AssassinCross,Skill_UI,UI_Skill_Shools_04.png,Skill_School,UI_Skill_School_Baoci.png,510202,2|1|3,2,拳刃技能伤害
610101,600004=10|600005=1|610122=5|600014=10|600009=5|600010=5|600009=7|600010=7|610102=2|610103=3|610105=5|610107=1|610121=2|610106=3|610104=5|610106=5|610103=5|610102=5|610121=10|610108=4|610202=5|610217=10|610204=1|610205=10|610216=10|610203=4,2=7=5,ff5858,战铁,Blacksmith,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Zhantie.png,610101,2|1|3,2,商人系战斗输出
610102,600005=1|600014=3|600009=10|600010=10|600013=5|600014=10|600013=9|610112=5|610120=5|610113=1|610116=1|610115=1|610123=1|610117=1|610118=1|610114=1|610107=1|610121=5|610112=10|610120=10|610113=2|610116=2|610115=2|610123=2|610117=2|610118=2|610114=2|610121=10|610208=10|610210=5|610211=10|610212=10,2=2=6,ffe993,制作,Blacksmith,Skill_UI,UI_Skill_Shools_04.png,Skill_School,UI_Skill_School_Shangren.png,610102,1|3|2,3,经营锻造大师
610201,600004=10|600005=1|610122=5|600014=10|600009=5|600010=5|600009=7|600010=7|610102=2|610103=3|610105=5|610107=1|610121=2|610106=3|610104=5|610106=5|610103=5|610102=5|610121=10|610108=4|610202=5|610217=10|610204=1|610205=10|610216=10|610203=4,2=8=6,ff5858,战铁,WhiteSmith,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Zhantie.png,610201,2|1|3,2,商人系战斗输出
610202,600005=1|600014=3|600009=10|600010=10|600013=5|600014=10|600013=9|610112=5|610120=5|610113=1|610116=1|610115=1|610123=1|610117=1|610118=1|610114=1|610107=1|610121=5|610112=10|610120=10|610113=2|610116=2|610115=2|610123=2|610117=2|610118=2|610114=2|610121=10|610208=10|610210=5|610211=10|610212=10,2=2=6,ffe993,制作,WhiteSmith,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Shangren.png,610202,1|3|2,3,经营锻造大师
620101,600005=1|600004=10|600014=10|610122=5|600009=5|600010=5|600009=7|600010=7|620116=5|620104=10|620102=5|620106=5|620108=10|620105=5|620216=10|620202=5|620203=5|620208=5|620209=10|620204=5,4=7=5,ff5858,投掷,Alchemist,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_TouZhi.png,620101,2|1|3,2,化学药剂输出
620102,600005=1|600004=10|600014=10|610122=5|600009=5|600010=5|600009=7|600010=7|620113=10|620114=5|620115=10|620108=5|620105=10|620211=5|620212=5|620213=10|620211=10|620204=5|620209=10,6=7=6,acff93,生命体,Alchemist,Skill_UI,UI_Skill_Shools_03.png,Skill_School,UI_Skill_School_ShengMingTi.png,620102,1|2|3,3,生命研究大师
620201,600005=1|600004=10|600014=10|610122=5|600009=5|600010=5|600009=7|600010=7|620116=5|620104=10|620102=5|620106=5|620108=10|620105=5|620216=10|620202=5|620203=5|620208=5|620209=10|620204=5,5=8=5,ff5858,投掷,Creator,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_TouZhi.png,620201,2|1|3,2,化学药剂专家
620202,600005=1|600004=10|600014=10|610122=5|600009=5|600010=5|600009=7|600010=7|620113=10|620114=5|620115=10|620108=5|620105=10|620211=5|620212=5|620213=10|620211=10|620204=5|620209=10,7=8=6,acff93,生命体,Creator,Skill_UI,UI_Skill_Shools_03.png,Skill_School,UI_Skill_School_ShengMingTi.png,620202,1|2|3,3,生命研究大师
710101,700005=10|700009=5|700004=10|700009=10|700006=5|700010=5|710106=1|710125=1|710128=10|710125=10|710107=10|710103=9|710202=10|710207=10|710203=5|710224=10|710203=10,2=8=3,93daff,速射,Hunter,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Lieying.png,710101,2|1|3,2,平射技能兼顾输出
710102,700005=10|700009=5|700004=10|700009=10|700006=5|700010=5|710112=5|710114=5|710118=5|710106=1|710125=5|710132=10|710125=10|710110=4|710202=10|710218=10|710220=10|710219=10,7=9=2,ff5858,陷阱,Hunter,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Xianjing.png,710102,2|1|3,3,智力流倾向射手
710201,700005=10|700009=5|700004=10|700009=10|700006=5|700010=5|710106=1|710125=1|710128=10|710125=10|710107=10|710103=9|710202=10|710207=10|710203=5|710224=10|710203=10,2=9=3,93daff,速射,Sniper,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Lieying.png,710201,2|1|3,2,平射技能兼顾输出
710202,700005=10|700009=5|700004=10|700009=10|700006=5|700010=5|710112=5|710114=5|710118=5|710106=1|710125=5|710132=10|710125=10|710110=4|710202=10|710218=10|710220=10|710219=10,7=9=3,ff5858,陷阱,Sniper,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Xianjing.png,710202,2|1|3,3,智力流倾向射手
720101,700005=5|700009=5|700005=10|700004=5|700010=5|700009=10|700010=10|700004=10|720108=5|720106=5|720103=3|720104=5|720111=3|720112=3|720108=10|720106=10|720103=5|720111=5|720112=5|720202=1|720206=5|720203=5|720206=10|720213=10|720204=5|720209=3|720214=5|720207=1,5=3=6,acff93,颂音,Bard,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Songyin.png,720101,1|2|3,2,团队光环增幅治疗
720102,700005=5|700009=5|700005=10|700004=5|700010=5|700009=10|700010=10|700004=10|720109=5|720108=3|720102=5|720109=10|720103=1|720104=1|720111=3|720112=3|720111=5|720112=5|720113=5|720110=5|720205=5|720206=5|720205=10|720212=5|720206=10|720213=5|720204=5|720213=10,6=6=4,93daff,狂想曲,Bard,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Kuangxiang.png,720102,2|1|3,3,积攒音符循环输出
720201,700005=5|700009=5|700005=10|700004=5|700010=5|700009=10|700010=10|700004=10|720108=5|720106=5|720103=3|720104=5|720111=3|720112=3|720108=10|720106=10|720103=5|720111=5|720112=5|720202=1|720206=5|720203=5|720206=10|720213=10|720204=5|720209=3|720214=5|720207=1,5=3=7,acff93,颂音,Minstrel,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Songyin.png,720201,1|2|3,2,团队光环增幅治疗
720202,700005=5|700009=5|700005=10|700004=5|700010=5|700009=10|700010=10|700004=10|720109=5|720108=3|720102=5|720109=10|720103=1|720104=1|720111=3|720112=3|720111=5|720112=5|720113=5|720110=5|720205=5|720206=5|720205=10|720212=5|720206=10|720213=5|720204=5|720213=10,6=8=4,93daff,狂想曲,Minstrel,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Kuangxiang.png,720202,2|1|3,3,积攒音符循环输出
721101,700005=5|700009=5|700005=10|700004=5|700010=5|700009=10|700010=10|700004=10|721108=5|721106=5|721103=3|721104=5|721111=3|721112=3|721108=10|721106=10|721103=5|721111=5|721112=5|721202=1|721206=5|721203=5|721206=10|721213=10|721204=5|721209=3|721214=5|721207=1,5=3=6,acff93,颂音,Dancer,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Songyin.png,721101,1|2|3,2,团队光环增幅治疗
721102,700005=5|700009=5|700005=10|700004=5|700010=5|700009=10|700010=10|700004=10|721109=5|721108=3|721102=5|721109=10|721103=1|721104=1|721111=3|721112=3|721111=5|721112=5|721113=5|721110=5|721205=5|721206=5|721205=10|721212=5|721206=10|721213=5|721204=5|721213=10,6=6=4,93daff,狂想曲,Dancer,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Kuangxiang.png,721102,2|1|3,3,积攒音符循环输出
721201,700005=5|700009=5|700005=10|700004=5|700010=5|700009=10|700010=10|700004=10|721108=5|721106=5|721103=3|721104=5|721111=3|721112=3|721108=10|721106=10|721103=5|721111=5|721112=5|721202=1|721206=5|721203=5|721206=10|721213=10|721204=5|721209=3|721214=5|721207=1,5=3=7,acff93,颂音,Gypsy,Skill_UI,UI_Skill_Shools_02.png,Skill_School,UI_Skill_School_Songyin.png,721201,1|2|3,2,团队光环增幅治疗
721202,700005=5|700009=5|700005=10|700004=5|700010=5|700009=10|700010=10|700004=10|721109=5|721108=3|721102=5|721109=10|721103=1|721104=1|721111=3|721112=3|721111=5|721112=5|721113=5|721110=5|721205=5|721206=5|721205=10|721212=5|721206=10|721213=5|721204=5|721213=10,6=8=4,93daff,狂想曲,Gypsy,Skill_UI,UI_Skill_Shools_01.png,Skill_School,UI_Skill_School_Kuangxiang.png,721202,2|1|3,3,积攒音符循环输出
