CrystalLevelId,CrystalId,CrystalLevel,isMaxLevel,CrystalBonuses,CrystalExpSpend,UpgradeCondition1,UpgradeCondition1Value,UpgradeCondition2,UpgradeCondition2Value
205,2,5,0,0=34=0=36,600000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
206,2,6,0,0=34=0=40,800000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
207,2,7,0,0=34=0=44,1000000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
208,2,8,0,0=34=0=48,1200000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
209,2,9,0,0=34=0=52,1400000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
210,2,10,0,0=34=0=56,2040000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
211,2,11,0,0=34=0=60,2400000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
212,2,12,0,0=34=0=64,2760000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
213,2,13,0,0=34=0=68,3120000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
214,2,14,0,0=34=0=72,3480000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
215,2,15,0,0=34=0=76,4620000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
216,2,16,0,0=34=0=80,5180000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
217,2,17,0,0=34=0=84,5740000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
218,2,18,0,0=34=0=88,6300000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
219,2,19,0,0=34=0=92,6860000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
220,2,20,0,0=34=0=95,8800000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
221,2,21,0,0=34=0=98,9760000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
222,2,22,0,0=34=0=101,10720000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
223,2,23,0,0=34=0=104,11680000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
224,2,24,0,0=34=0=107,12640000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
225,2,25,1,0=34=0=110,,,,,
301,3,1,0,0=30=0=20,80000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
302,3,2,0,0=30=0=22,160000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
303,3,3,0,0=30=0=24,240000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
304,3,4,0,0=30=0=26,320000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
305,3,5,0,0=30=0=28,600000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
306,3,6,0,0=30=0=30,800000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
307,3,7,0,0=30=0=32,1000000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
308,3,8,0,0=30=0=34,1200000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
309,3,9,0,0=30=0=36,1400000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
310,3,10,0,0=30=0=38,2040000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
311,3,11,0,0=30=0=40,2400000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
312,3,12,0,0=30=0=42,2760000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
313,3,13,0,0=30=0=44,3120000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
314,3,14,0,0=30=0=46,3480000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
315,3,15,0,0=30=0=48,4620000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
316,3,16,0,0=30=0=50,5180000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
317,3,17,0,0=30=0=52,5740000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
318,3,18,0,0=30=0=54,6300000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
319,3,19,0,0=30=0=56,6860000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
320,3,20,0,0=30=0=58,8800000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
321,3,21,0,0=30=0=59,9760000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
322,3,22,0,0=30=0=60,10720000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
323,3,23,0,0=30=0=61,11680000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
324,3,24,0,0=30=0=62,12640000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
325,3,25,1,0=30=0=63,,,,,
401,4,1,0,0=39=0=20,80000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
402,4,2,0,0=39=0=22,160000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
403,4,3,0,0=39=0=24,240000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
404,4,4,0,0=39=0=26,320000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
405,4,5,0,0=39=0=28,600000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
406,4,6,0,0=39=0=30,800000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
407,4,7,0,0=39=0=32,1000000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
408,4,8,0,0=39=0=34,1200000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
409,4,9,0,0=39=0=36,1400000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
410,4,10,0,0=39=0=38,2040000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
411,4,11,0,0=39=0=40,2400000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
412,4,12,0,0=39=0=42,2760000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
413,4,13,0,0=39=0=44,3120000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
414,4,14,0,0=39=0=46,3480000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
415,4,15,0,0=39=0=48,4620000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
416,4,16,0,0=39=0=50,5180000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
417,4,17,0,0=39=0=52,5740000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
418,4,18,0,0=39=0=54,6300000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
419,4,19,0,0=39=0=56,6860000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
420,4,20,0,0=39=0=58,8800000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
421,4,21,0,0=39=0=59,9760000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
422,4,22,0,0=39=0=60,10720000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
423,4,23,0,0=39=0=61,11680000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
424,4,24,0,0=39=0=62,12640000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
425,4,25,1,0=39=0=63,,,,,
501,5,1,0,0=47=0=20,80000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
502,5,2,0,0=47=0=40,160000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
503,5,3,0,0=47=0=60,240000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
504,5,4,0,0=47=0=80,320000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
505,5,5,0,0=47=0=100,600000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
506,5,6,0,0=47=0=120,800000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
507,5,7,0,0=47=0=140,1000000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
508,5,8,0,0=47=0=160,1200000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
509,5,9,0,0=47=0=180,1400000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
510,5,10,0,0=47=0=200,2040000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
511,5,11,0,0=47=0=220,2400000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
512,5,12,0,0=47=0=240,2760000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
513,5,13,0,0=47=0=260,3120000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
514,5,14,0,0=47=0=280,3480000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
515,5,15,0,0=47=0=300,4620000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
516,5,16,0,0=47=0=320,5180000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
517,5,17,0,0=47=0=340,5740000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
518,5,18,0,0=47=0=360,6300000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
519,5,19,0,0=47=0=380,6860000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
520,5,20,0,0=47=0=400,8800000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
521,5,21,0,0=47=0=420,9760000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
522,5,22,0,0=47=0=440,10720000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
523,5,23,0,0=47=0=460,11680000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
524,5,24,0,0=47=0=480,12640000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
525,5,25,1,0=47=0=500,,,,,
601,6,1,0,0=346=0=21|0=347=0=21,80000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
602,6,2,0,0=346=0=24|0=347=0=24,160000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
603,6,3,0,0=346=0=27|0=347=0=27,240000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
604,6,4,0,0=346=0=30|0=347=0=30,320000,需要华丽水晶建筑等级达到{0},1,需要属性水晶等级总和达到{0},0
605,6,5,0,0=346=0=33|0=347=0=33,600000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
606,6,6,0,0=346=0=36|0=347=0=36,800000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
607,6,7,0,0=346=0=39|0=347=0=39,1000000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
608,6,8,0,0=346=0=42|0=347=0=42,1200000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
609,6,9,0,0=346=0=45|0=347=0=45,1400000,需要华丽水晶建筑等级达到{0},2,需要属性水晶等级总和达到{0},15
610,6,10,0,0=346=0=48|0=347=0=48,2040000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
611,6,11,0,0=346=0=51|0=347=0=51,2400000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
612,6,12,0,0=346=0=54|0=347=0=54,2760000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
613,6,13,0,0=346=0=57|0=347=0=57,3120000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
614,6,14,0,0=346=0=60|0=347=0=60,3480000,需要华丽水晶建筑等级达到{0},3,需要属性水晶等级总和达到{0},30
615,6,15,0,0=346=0=63|0=347=0=63,4620000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
616,6,16,0,0=346=0=66|0=347=0=66,5180000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
617,6,17,0,0=346=0=69|0=347=0=69,5740000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
618,6,18,0,0=346=0=72|0=347=0=72,6300000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
619,6,19,0,0=346=0=75|0=347=0=75,6860000,需要华丽水晶建筑等级达到{0},4,需要属性水晶等级总和达到{0},45
620,6,20,0,0=346=0=77|0=347=0=77,8800000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
621,6,21,0,0=346=0=79|0=347=0=79,9760000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
622,6,22,0,0=346=0=81|0=347=0=81,10720000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
623,6,23,0,0=346=0=83|0=347=0=83,11680000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
624,6,24,0,0=346=0=85|0=347=0=85,12640000,需要华丽水晶建筑等级达到{0},5,需要属性水晶等级总和达到{0},60
625,6,25,1,0=346=0=87|0=347=0=87,,,,,
