SuitId,Dec,ItemAtlas,ItemIcon,ComponentID,text,Level,TwoBuffid,ThreeBuffid,FourBuffid,FiveBuffid,SixBuffid,SevenBuffid,TwoBuffidDec,ThreeBuffidDec,FourBuffidDec,FiveBuffidDec,SixBuffidDec,SevenBuffidDec,SortId,RecommendSchool,ProfessionId,isShow,IsLegend,LocalizationArea,CN_ComponentID,Quality
10,魔力掌控者套装,Icon_ItemEquip03,UI_icon_item_moliniliu.png,1=7340800=8340900=11341000,魔力洪流法袍+魔力迸发披肩+魔力逆流之靴,90,,0=88=1000|1=410239001=0=0,,,,,,技能SP消耗增加10%，魔力迸发：释放技能时，依据魔法上限，增加此次技能伤害，依据不同职业，最多增加30%,,,,,10,200001|200002|300003|300011|300012|400001|400002|700001|700002|600001|600002|500002|500001,2000|3000|4000|5000|6000|7000,1,0,11,1=魔力洪流法袍=魔力迸发披肩=魔力逆流之靴,3
11,割裂的月影,Icon_ItemEquip03,UI_icon_item_heimaoxiongzhen.png,1=10332400=10332700,怪盗戒指+黑猫胸针,95,1=420044101=0=0,,,,,,基于套装内两件装备的精炼等级之和，精炼每+2，攻击速度+1%，最多增加15%,,,,,,11,,2000|3000|4000|5000|6000|7000,1,2,11,1=怪盗戒指[0]/[1]/[2]=黑猫胸针[1],2
12,割裂的月影Ⅰ,Icon_ItemEquip03,UI_icon_item_heimaoxiongzhen.png,1=10332400=10332701,怪盗戒指+黑猫胸针[2],95,1=420044201=0=0,,,,,,基于套装内两件装备的精炼等级之和，精炼每+3，攻击速度+2%，最多增加20%,,,,,,12,,2000|3000|4000|5000|6000|7000,1,2,11,1=怪盗戒指[0]/[1]/[2]=黑猫胸针[2],3
13,穿透的月影,Icon_ItemEquip03,UI_icon_item_lengkuzhixin.png,1=10332400=10332800,怪盗戒指+,95,1=420044301=0=0,,,,,,基于套装内两件装备的精炼等级之和，精炼每+3，远程物理伤害+1%，最多增加10%,,,,,,13,700001,2000|3000|4000|5000|6000|7000,1,2,11,1=怪盗戒指[0]/[1]/[2]=冷酷之心[1],2
14,穿透的月影Ⅰ,Icon_ItemEquip03,UI_icon_item_lengkuzhixin.png,1=10332400=10332801,,95,1=420044401=0=0,,,,,,基于套装内两件装备的精炼等级之和，精炼每+2，远程物理伤害+1%，最多增加15%,,,,,,14,700001,2000|3000|4000|5000|6000|7000,1,2,11,1=怪盗戒指[0]/[1]/[2]=冷酷之心[2],3
15,黑暗骑士的执念,Icon_ItemEquip03,UI_icon_item_heianqishixunzhang.png,1=10332500=10332900,,95,1=420045001=pro=0=3000=buffid=0=420047001,,,,,,攻击时，有30%几率获得黑暗骑士的意念，所有技能伤害+10%(普通攻击无法生效)，持续15S，延迟时间20S,,,,,,15,,2000|3000|4000|5000|6000|7000,1,2,11,1=黑暗骑士手套[0]/[1]/[2]=黑暗骑士勋章[1],2
16,黑暗骑士的执念Ⅰ,Icon_ItemEquip03,UI_icon_item_heianqishixunzhang.png,1=10332500=10332901,,95,1=420045001=pro=0=3000=buffid=0=420048001,,,,,,攻击时，有30%几率获得黑暗骑士的意念，所有技能伤害+15%(普通攻击无法生效)，持续15S，延迟时间20S,,,,,,16,,2000|3000|4000|5000|6000|7000,1,2,11,1=黑暗骑士手套[0]/[1]/[2]=黑暗骑士勋章[2],3
17,黑暗骑士的坚决,Icon_ItemEquip03,UI_icon_item_heianqishipidai.png,1=10332500=10333000,,95,1=420046001=pro=0=3000=buffid=0=420049001,,,,,,受到攻击时，有30%几率获得黑暗骑士的意念，受到的所有伤害额外减免3%，受治疗效果+10%，持续15S，延迟时间15S,,,,,,17,,2000|3000|4000|5000|6000|7000,1,2,11,1=黑暗骑士手套[0]/[1]/[2]=黑暗骑士皮带[1],2
18,黑暗骑士的坚决Ⅰ,Icon_ItemEquip03,UI_icon_item_heianqishipidai.png,1=10332500=10333001,,95,1=420046001=pro=0=3000=buffid=0=420050001,,,,,,受到攻击时，有30%几率获得黑暗骑士的意念，受到的所有伤害额外减免5%，受治疗效果+15%，持续15S，延迟时间15S,,,,,,18,,2000|3000|4000|5000|6000|7000,1,2,11,1=黑暗骑士手套[0]/[1]/[2]=黑暗骑士皮带[2],3
19,芬撒里尔的叹息,Icon_ItemEquip03,UI_icon_item_wangdehuaibiao.png,1=10332600=10333100,,95,1=420051001=0=0,,,,,,每800点魔法上限增加1%魔法伤害，最多增加8%,,,,,,19,,2000|3000|4000|5000|6000|7000,1,2,11,1=天后的手环[0]/[1]/[2]=王的怀表[1],2
20,芬撒里尔的叹息Ⅰ,Icon_ItemEquip03,UI_icon_item_wangdehuaibiao.png,1=10332600=10333101,,95,1=420051002=0=0,,,,,,每600点魔法上限增加1%魔法伤害，最多增加10%,,,,,,20,,2000|3000|4000|5000|6000|7000,1,2,11,1=天后的手环[0]/[1]/[2]=王的怀表[2],3
21,芬撒里尔的泪痕,Icon_ItemEquip03,UI_icon_item_guangminglengjing.png,1=10332600=10333200,,95,1=420052001=0=0,,,,,,基于自身的base等级，等级每+8，治疗效果+1%,,,,,,21,,2000|3000|4000|5000|6000|7000,1,2,11,1=天后的手环[0]/[1]/[2]=光明棱镜[1],2
22,芬撒里尔的泪痕Ⅰ,Icon_ItemEquip03,UI_icon_item_guangminglengjing.png,1=10332600=10333201,,95,1=420052002=0=0,,,,,,基于自身的base等级，等级每+5，治疗效果+1%,,,,,,22,,2000|3000|4000|5000|6000|7000,1,2,11,1=天后的手环[0]/[1]/[2]=光明棱镜[2],3
1001,诗嘉古尔的庇佑套装,,,1=1078001=1088001=1098001=1108001=1078003=1088003=1098003=1108003=1018001=1018002,古早时期用的 有特殊逻辑  非必要不要随意修改,,,0=14=3|0=16=3|0=20=3|0=22=3|0=24=3,,0=71=300|0=82=-500|0=65=500|0=66=500,,,,力量+3，智力+3，灵巧+3，体质+3，幸运+3,,攻击速度+3%，固定吟唱时间-5%，物理伤害+5%，魔法伤害+5%,,,1001,,,1,1,11,,4
1002,亚尔薇特的祝福套装,,,1=1078002=1088002=1098002=1108002=1078004=1088004=1098004=1108004=1018003=1018004,古早时期用的 有特殊逻辑  非必要不要随意修改,,,0=14=3|0=16=3|0=20=3|0=22=3|0=24=3,,0=71=300|0=82=-500|0=65=500|0=66=500,,,,力量+3，智力+3，灵巧+3，体质+3，幸运+3,,攻击速度+3%，固定吟唱时间-5%，物理伤害+5%，魔法伤害+5%,,,1002,,,1,1,11,,4
1003,时空漫游者套装,,,1=1078005=1088005=1098005=1108005=1078006=1088006=1098006=1108006=1018005=1018006,古早时期用的 有特殊逻辑  非必要不要随意修改,,,0=14=2|0=16=2|0=18=2|0=20=2|0=22=2|0=24=2,,0=227=800|0=234=800|0=91=800,,,,全属性+2,,对玩家伤害+8%，受到玩家伤害减免+8%|受治疗效果+8%,,,1003,,,1,1,9,,4
23,格恩达尔的意志,Icon_ItemEquip03,UI_icon_item_geenfennu.png,1=10334900=10344701,,105,1=420108001=0=0,,,,,,"攻击时，10%几率扣除自身5%生命值，造成2倍伤害,最高不超过4000%MATK，冷却时间1s",,,,,,23,,2000|3000|4000|5000|6000|7000,1,2,9,1=女武神的羽翼[0]/[1]/[2]=格恩达尔的愤怒[1],2
24,格恩达尔的意志Ⅰ,Icon_ItemEquip03,UI_icon_item_geenfennu.png,1=10334900=10354702,,105,1=420110001=0=0,,,,,,"攻击时，10%几率扣除自身5%生命值，造成2.5倍伤害,最高不超过5000%MATK，冷却时间1s",,,,,,24,,2000|3000|4000|5000|6000|7000,1,2,9,1=女武神的羽翼[0]/[1]/[2]=格恩达尔的愤怒[2],3
25,希格德莉法的意志,Icon_ItemEquip03,UI_icon_item_xigefennu.png,1=10334900=10345601,,105,1=420107001=0=0,,,,,,"攻击时，10%几率扣除自身5%生命值，造成2倍伤害,最高不超过4000%ATK，冷却时间1s",,,,,,25,,2000|3000|4000|5000|6000|7000,1,2,9,1=女武神的羽翼[0]/[1]/[2]=希格德莉法的愤怒[1],2
26,希格德莉法的意志Ⅰ,Icon_ItemEquip03,UI_icon_item_xigefennu.png,1=10334900=10355602,,105,1=420109001=0=0,,,,,,"攻击时，10%几率扣除自身5%生命值，造成2.5倍伤害,最高不超过5000%ATK，冷却时间1s",,,,,,26,,2000|3000|4000|5000|6000|7000,1,2,9,1=女武神的羽翼[0]/[1]/[2]=希格德莉法的愤怒[2],3
27,女武神的荣耀,Icon_ItemEquip03,UI_icon_item_xigexunzhang.png,1=10334900=10344801,,105,1=420111001=0=0,,,,,,使用技能造成伤害后，普通攻击伤害+2%，技能伤害+4%，持续5s，最多可叠加4层,,,,,,27,,2000|3000|4000|5000|6000|7000,1,2,9,1=女武神的羽翼[0]/[1]/[2]=女武神的勋章[1],2
28,女武神的荣耀Ⅰ,Icon_ItemEquip03,UI_icon_item_xigexunzhang.png,1=10334900=10344802,,105,1=420115001=0=0,,,,,,使用技能造成伤害后，普通攻击伤害+3%，技能伤害+5%，持续5s，最多可叠加4层,,,,,,28,,2000|3000|4000|5000|6000|7000,1,2,9,1=女武神的羽翼[0]/[1]/[2]=女武神的勋章[2],3
29,精灵王的庇佑,Icon_ItemEquip03,UI_icon_item_jinglingzhanshishoutao.png,1=10335000=10345101,,105,1=420119001=0=0,,,,,,攻击/受击时，20%几率生成自身血量上限7%的护盾，期间防御属性转变为圣属性，冷却时间15s,,,,,,29,,2000|3000|4000|5000|6000|7000,1,2,9,1=精灵王的苹果[0]/[1]/[2]=精灵王的手套[1],2
30,精灵王的庇佑Ⅰ,Icon_ItemEquip03,UI_icon_item_jinglingzhanshishoutao.png,1=10335000=10345102,,105,1=420121001=0=0,,,,,,攻击/受击时，20%几率生成自身血量上限10%的护盾，期间防御属性转变为圣属性，冷却时间15s,,,,,,30,,2000|3000|4000|5000|6000|7000,1,2,9,1=精灵王的苹果[0]/[1]/[2]=精灵王的手套[2],3
31,精灵王的祝福,Icon_ItemEquip03,UI_icon_item_jinglingshouhuzhihuan.png,1=10335000=10345201,,105,1=420123001=0=0,,,,,,每秒获得一层精灵王的祝福，最多叠加10层。使用治愈术/为你服务/伊登的苹果 技能将会消耗所有祝福层数，每层祝福额外造成7*BaseLv的治疗量,,,,,,31,,2000|3000|4000|5000|6000|7000,1,2,9,1=精灵王的苹果[0]/[1]/[2]=精灵王的指环[1],2
32,精灵王的祝福Ⅰ,Icon_ItemEquip03,UI_icon_item_jinglingshouhuzhihuan.png,1=10335000=10355202,,105,1=420125001=0=0,,,,,,每秒获得一层精灵王的祝福，最多叠加10层。使用治愈术/为你服务/伊登的苹果 技能将会消耗所有祝福层数，每层祝福额外造成10*BaseLv的治疗量,,,,,,32,,2000|3000|4000|5000|6000|7000,1,2,9,1=精灵王的苹果[0]/[1]/[2]=精灵王的指环[2],3
33,巨龙之息套装,Icon_ItemEquip06,UI_icon_item_qiheizhiying.png,1=8362100=7362200=11362300,,110,,1=420182001=0=0,,,,,,受到伤害时，接下来5s内受到的同属性伤害减免+2%，最多叠加7层,,,,,33,,2000|3000|4000|5000|6000|7000,1,0,9,1=碧空之翼=漆黑之影=白金之距,3
34,凯旋者之套,Icon_ItemEquip06,UI_icon_item_qiheizhiying.png,1=1070288=1080096=1090072=1100040=1010080=1010081,,110,,1=430008301=0=0,,0=227=500=0|0=234=500=0,,,,击杀玩家回复15%最大生命值和15%最大魔法值（内置CD30s）,,对玩家伤害+5%，受到玩家伤害减免+5%,,,34,,2000|3000|4000|5000|6000|7000,1,3,9,,3
35,神光闪耀,Icon_ItemEquip07,UI_icon_item_moliyanayaodai.png,1=10353600=10353701,,115,1=420223501=0=0,,,,,,每次普通攻击附加最高主属性*物理攻击/500的额外伤害,,,,,,,,2000|3000|4000|5000|6000|7000,1,2,9,1=茉莉雅娜腰带[0]/[1]/[2]=茉莉雅娜坠子[1],2
36,神光闪耀Ⅰ,Icon_ItemEquip07,UI_icon_item_moliyanayaodai.png,1=10353600=10353702,,115,1=420222801=0=0,,,,,,每次普通攻击附加最高主属性*物理攻击/400的额外伤害,,,,,,,,2000|3000|4000|5000|6000|7000,1,2,9,1=茉莉雅娜腰带[0]/[1]/[2]=茉莉雅娜坠子[2],3
37,无还,Icon_ItemEquip07,UI_icon_item_tianqianzhe.png,1=10353800=10353901,,115,1=420223601=0=0,,,,,,每次技能攻击附加当前HP*7%的伤害,,,,,,,,2000|3000|4000|5000|6000|7000,1,2,9,1=天谴者[0]/[1]/[2]=覆灭者[1],2
38,无还Ⅰ,Icon_ItemEquip07,UI_icon_item_tianqianzhe.png,1=10353800=10353902,,115,1=420222901=0=0,,,,,,每次技能攻击附加当前HP*10%的伤害,,,,,,,,2000|3000|4000|5000|6000|7000,1,2,9,1=天谴者[0]/[1]/[2]=覆灭者[2],3
39,智慧对戒,Icon_ItemEquip07,UI_icon_item_zhihuizhiwangjiezhi.png,1=10354000=10354101,,115,1=420223701=0=0,,,,,,"每使用三次伤害技能会触发智慧之王的降临效果，生效期间魔法攻击+20%，固定吟唱-20%，公共cd-15%，持续10秒,CD20s",,,,,,,,2000|3000|4000|5000|6000|7000,1,2,9,1=智慧之王戒指[0]/[1]/[2]= 共鸣戒指[1],2
40,智慧对戒Ⅰ,Icon_ItemEquip07,UI_icon_item_zhihuizhiwangjiezhi.png,1=10354000=10354102,,115,1=420223001=0=0,,,,,,"每使用三次伤害技能会触发智慧之王的降临效果，生效期间魔法攻击+30%，固定吟唱-30%，公共cd-20%，持续10秒,CD20s",,,,,,,,2000|3000|4000|5000|6000|7000,1,2,9,1=智慧之王戒指[0]/[1]/[2]= 共鸣戒指[2],3
41,熠夜,Icon_ItemEquip07,UI_icon_item_yueliangxiongzhen.png,1=10354200=10354301,,115,1=420224001=0=0,,,,,,每700点魔法上限提升1%魔伤加成，最高增加15%,,,,,,,,2000|3000|4000|5000|6000|7000,1,2,9,1=月亮胸针[0]/[1]/[2]=星芒耳坠[1],2
42,熠夜Ⅰ,Icon_ItemEquip07,UI_icon_item_yueliangxiongzhen.png,1=10354200=10354302,,115,1=420223301=0=0,,,,,,每500点魔法上限提升1%魔伤加成，最高增加20%,,,,,,,,2000|3000|4000|5000|6000|7000,1,2,9,1=月亮胸针[0]/[1]/[2]=星芒耳坠[2],3
43,追魂者,Icon_ItemEquip07,UI_icon_item_yikalusideyuyi.png,1=10354400=10354501,,115,1=420224101=0=0,,,,,,伤害随着攻击距离增加，攻击距离每+2，伤害+4%，最多增加20%,,,,,,,,2000|3000|4000|5000|6000|7000,1,2,9,1=伊卡鲁斯的羽翼[0]/[1]/[2]=神射手的丝巾[1],2
44,追魂者Ⅰ,Icon_ItemEquip07,UI_icon_item_yikalusideyuyi.png,1=10354400=10354502,,115,1=420223401=0=0,,,,,,伤害随着攻击距离增加，攻击距离每+2，伤害+6%，最多增加30%,,,,,,,,2000|3000|4000|5000|6000|7000,1,2,9,1=伊卡鲁斯的羽翼[0]/[1]/[2]=神射手的丝巾[2],3
