ID,Name,Atlas,Icon,Color,Grade,Type,Target,ShowLimit,Desc,Default,ShowInPreview,isHide,ShowTimeRules,ShowTimeRulesPara,
206,成就标签,Personal_Label01,UI_LabelIcon_chengjiu2.png,bfc8a4,6,2,6,,根据当前成就等级显示标签,,1,,,,
207,成就标签,Personal_Label01,UI_LabelIcon_chengjiu2.png,bfc8a4,7,2,7,,根据当前成就等级显示标签,,,,,,
208,成就标签,Personal_Label01,UI_LabelIcon_chengjiu2.png,bfc8a4,8,2,8,,根据当前成就等级显示标签,,,,,,
209,成就标签,Personal_Label01,UI_LabelIcon_chengjiu2.png,bfc8a4,9,2,9,,根据当前成就等级显示标签,,,,,,
210,成就标签,Personal_Label01,UI_LabelIcon_chengjiu2.png,bfc8a4,10,2,10,,根据当前成就等级显示标签,,,,,,
211,成就标签,Personal_Label01,UI_LabelIcon_chengjiu3.png,7fb89f,11,2,11,,根据当前成就等级显示标签,,1,,,,
212,成就标签,Personal_Label01,UI_LabelIcon_chengjiu3.png,7fb89f,12,2,12,,根据当前成就等级显示标签,,,,,,
213,成就标签,Personal_Label01,UI_LabelIcon_chengjiu3.png,7fb89f,13,2,13,,根据当前成就等级显示标签,,,,,,
214,成就标签,Personal_Label01,UI_LabelIcon_chengjiu3.png,7fb89f,14,2,14,,根据当前成就等级显示标签,,,,,,
215,成就标签,Personal_Label01,UI_LabelIcon_chengjiu3.png,7fb89f,15,2,15,,根据当前成就等级显示标签,,,,,,
216,成就标签,Personal_Label01,UI_LabelIcon_chengjiu4.png,9fd8ed,16,2,16,,根据当前成就等级显示标签,,1,,,,
217,成就标签,Personal_Label01,UI_LabelIcon_chengjiu4.png,9fd8ed,17,2,17,,根据当前成就等级显示标签,,,,,,
218,成就标签,Personal_Label01,UI_LabelIcon_chengjiu4.png,9fd8ed,18,2,18,,根据当前成就等级显示标签,,,,,,
219,成就标签,Personal_Label01,UI_LabelIcon_chengjiu4.png,9fd8ed,19,2,19,,根据当前成就等级显示标签,,,,,,
220,成就标签,Personal_Label01,UI_LabelIcon_chengjiu4.png,9fd8ed,20,2,20,,根据当前成就等级显示标签,,,,,,
221,成就标签,Personal_Label01,UI_LabelIcon_chengjiu5.png,a2bcd8,21,2,21,,根据当前成就等级显示标签,,1,,,,
222,成就标签,Personal_Label01,UI_LabelIcon_chengjiu5.png,a2bcd8,22,2,22,,根据当前成就等级显示标签,,,,,,
223,成就标签,Personal_Label01,UI_LabelIcon_chengjiu5.png,a2bcd8,23,2,23,,根据当前成就等级显示标签,,,,,,
224,成就标签,Personal_Label01,UI_LabelIcon_chengjiu5.png,a2bcd8,24,2,24,,根据当前成就等级显示标签,,,,,,
225,成就标签,Personal_Label01,UI_LabelIcon_chengjiu5.png,a2bcd8,25,2,25,,根据当前成就等级显示标签,,,,,,
