Id,SkillName,SkillLevel,Buff,Attr,ExtraNum,SkillDescRep
21010310,长矛使用熟练度（10级）,10,14001=10000|14101=10000|14201=10000,,ATK=40|ATKMount=10,40|10
21010601,骑乘术（1级）,1,14901=10000,,,
21010701,骑兵修练（1级）,1,908701=10000,,,6
21010702,骑兵修练（2级）,2,908702=10000,,,12
21010703,骑兵修练（3级）,3,908703=10000,,,18
21010704,骑兵修练（4级）,4,908704=10000,,,24
21010705,骑兵修练（5级）,5,908705=10000,,,30
21010706,骑兵修练（6级）,6,14601=10000,,ASPD=3000,80
21010707,骑兵修练（7级）,7,14601=10000,,ASPD=3500,85
21010708,骑兵修练（8级）,8,14601=10000,,ASPD=4000,90
21010709,骑兵修练（9级）,9,14601=10000,,ASPD=4500,95
21010710,骑兵修练（10级）,10,14601=10000,,ASPD=5000,100
21010901,钢铁意志,1,18501=10000,,,11|72|2|1
21010902,钢铁意志,2,18502=10000,,,12|69|4|2
21010903,钢铁意志,3,18503=10000,,,13|66|6|3
21010904,钢铁意志,4,18504=10000,,,14|63|8|4
21010905,钢铁意志,5,18505=10000,,,15|60|10|5
21010906,钢铁意志,6,18506=10000,,,16|57|12|6
21010907,钢铁意志,7,18507=10000,,,17|54|14|7
21010908,钢铁意志,8,18508=10000,,,18|51|16|8
21010909,钢铁意志,9,18509=10000,,,19|48|18|9
21010910,钢铁意志,10,18510=10000,,,20|45|20|10
21011601,先锋追击,1,15201=10000,,,
21011602,先锋追击,2,15202=10000,,,
21011603,先锋追击,3,15203=10000,,,
21011604,先锋追击,4,15204=10000,,,
21011605,先锋追击,5,15205=10000,,,
21011606,先锋追击,6,15206=10000,,,
21011607,先锋追击,7,15207=10000,,,
21011608,先锋追击,8,15208=10000,,,
21011609,先锋追击,9,15209=10000,,,
21011610,先锋追击,10,15210=10000,,,
21011701,狮子奋迅,1,15301=10000,,,
21011702,狮子奋迅,2,15302=10000,,,
21011703,狮子奋迅,3,15303=10000,,,
21011704,狮子奋迅,4,15304=10000,,,
21011705,狮子奋迅,5,15305=10000,,,
21011706,狮子奋迅,6,15306=10000,,,
21011707,狮子奋迅,7,15307=10000,,,
21011708,狮子奋迅,8,15308=10000,,,
21011709,狮子奋迅,9,15309=10000,,,
21011710,狮子奋迅,10,15310=10000,,,
21021101,巧打（被动）,1,19001=10000,,,
21021102,巧打（被动）,2,19002=10000,,,
21021103,巧打（被动）,3,19003=10000,,,
21021104,巧打（被动）,4,19004=10000,,,
21021105,巧打（被动）,5,19005=10000,,,
21021106,巧打（被动）,6,19006=10000,,,
21021107,巧打（被动）,7,19007=10000,,,
21021108,巧打（被动）,8,19008=10000,,,
21021109,巧打（被动）,9,19009=10000,,,
21021110,巧打（被动）,10,19010=10000,,,
22010201,信任,1,27501=10000,47=300|187=300,maxhp=300|holydefper=300,300|3
22010202,信任,2,27501=10000,47=600|187=600,maxhp=600|holydefper=600,600|6
22010203,信任,3,27501=10000,47=900|187=900,maxhp=900|holydefper=900,900|9
22010204,信任,4,27501=10000,47=1200|187=1200,maxhp=1200|holydefper=1200,1200|12
22010205,信任,5,27501=10000,47=1500|187=1500,maxhp=1500|holydefper=1500,1500|15
22010206,信任,6,27501=10000,47=1800|187=1800,maxhp=1800|holydefper=1800,1800|18
22010207,信任,7,27501=10000,47=2100|187=2100,maxhp=2100|holydefper=2100,2100|21
22010208,信任,8,27501=10000,47=2400|187=2400,maxhp=2400|holydefper=2400,2400|24
22010209,信任,9,27501=10000,47=2700|187=2700,maxhp=2700|holydefper=2700,2700|27
22010210,信任,10,27501=10000,47=3000|187=3000,maxhp=3000|holydefper=3000,3000|30
22011001,长矛使用熟练度（1级）,1,26701=10000|26801=10000|26901=10000,,ATK=4|ATKMount=1,4|1
22011002,长矛使用熟练度（2级）,2,26701=10000|26801=10000|26901=10000,,ATK=8|ATKMount=2,8|2
22011003,长矛使用熟练度（3级）,3,26701=10000|26801=10000|26901=10000,,ATK=12|ATKMount=3,12|3
22011004,长矛使用熟练度（4级）,4,26701=10000|26801=10000|26901=10000,,ATK=16|ATKMount=4,16|4
22011005,长矛使用熟练度（5级）,5,26701=10000|26801=10000|26901=10000,,ATK=20|ATKMount=5,20|5
22011006,长矛使用熟练度（6级）,6,26701=10000|26801=10000|26901=10000,,ATK=24|ATKMount=6,24|6
22011007,长矛使用熟练度（7级）,7,26701=10000|26801=10000|26901=10000,,ATK=28|ATKMount=7,28|7
22011008,长矛使用熟练度（8级）,8,26701=10000|26801=10000|26901=10000,,ATK=32|ATKMount=8,32|8
22011009,长矛使用熟练度（9级）,9,26701=10000|26801=10000|26901=10000,,ATK=36|ATKMount=9,36|9
22011010,长矛使用熟练度（10级）,10,26701=10000|26801=10000|26901=10000,,ATK=40|ATKMount=10,40|10
22011101,天使之躯（1级）,1,102301=10000,,,2|2|5|5
22011102,天使之躯（2级）,2,102302=10000,,,4|4|10|10
22011103,天使之躯（3级）,3,102303=10000,,,6|6|15|15
22011104,天使之躯（4级）,4,102304=10000,,,8|8|20|20
22011105,天使之躯（5级）,5,102305=10000,,,10|10|25|25
22011106,天使之躯（6级）,6,102306=10000,,,12|12|30|30
22011107,天使之躯（7级）,7,102307=10000,,,14|14|35|35
22011108,天使之躯（8级）,8,102308=10000,,,16|16|40|40
22011109,天使之躯（9级）,9,102309=10000,,,18|18|45|45
22011110,天使之躯（10级）,10,102310=10000,,,20|20|50|50
22011301,重盾修炼,1,,,DAMPer=400,4
22011302,重盾修炼,2,,,DAMPer=800,8
22011303,重盾修炼,3,,,DAMPer=1200,12
22011304,重盾修炼,4,,,DAMPer=1600,16
22011305,重盾修炼,5,,,DAMPer=2000,20
22011306,重盾修炼,6,,,DAMPer=2400,24
22011307,重盾修炼,7,,,DAMPer=2800,28
22011308,重盾修炼,8,,,DAMPer=3200,32
22011309,重盾修炼,9,,,DAMPer=3600,36
22011310,重盾修炼,10,,,DAMPer=4000,40
22011401,庇护,1,26101=10000,,,400
22011402,庇护,2,26102=10000,,,500
22011403,庇护,3,26103=10000,,,600
22011404,庇护,4,26104=10000,,,700
22011405,庇护,5,26105=10000,,,800
22011501,骑乘术（1级）,1,14901=10000,,,
22011601,骑兵修练（1级）,1,908701=10000,,,6
22011602,骑兵修练（2级）,2,908702=10000,,,12
22011603,骑兵修练（3级）,3,908703=10000,,,18
22011604,骑兵修练（4级）,4,908704=10000,,,24
22011605,骑兵修练（5级）,5,908705=10000,,,30
22021001,怜悯,1,26201=10000,,,50
22021002,怜悯,2,26202=10000,,,60
22021003,怜悯,3,26203=10000,,,70
22021004,怜悯,4,26204=10000,,,80
22021005,怜悯,5,26205=10000,,,90
22021401,坚毅,1,,48=300,,3
22021402,坚毅,2,,48=600,,6
22021403,坚毅,3,,48=900,,9
22021404,坚毅,4,,48=1200,,12
22021405,坚毅,5,,48=1500,,15
41020501,吸魂术（1级）,1,202901=10000,,MAXSP=200|RECSPPER=11000,110|2
41020502,吸魂术（2级）,2,202902=10000,,MAXSP=400|RECSPPER=12500,125|4
41020503,吸魂术（3级）,3,202903=10000,,MAXSP=600|RECSPPER=14000,140|6
41020504,吸魂术（4级）,4,202904=10000,,MAXSP=800|RECSPPER=15500,155|8
41020505,吸魂术（5级）,5,202905=10000,,MAXSP=1000|RECSPPER=17000,170|10
41020506,吸魂术（6级）,6,202906=10000,,MAXSP=1200|RECSPPER=18500,185|12
41020507,吸魂术（7级）,7,202907=10000,,MAXSP=1400|RECSPPER=20000,200|14
41020508,吸魂术（8级）,8,202908=10000,,MAXSP=1600|RECSPPER=21500,215|16
41020509,吸魂术（9级）,9,202909=10000,,MAXSP=1800|RECSPPER=23000,230|18
41020510,吸魂术（10级）,10,202910=10000,,MAXSP=2000|RECSPPER=24500,245|20
41020601,魔力增幅（1级）,1,,66=300,,3
41020602,魔力增幅（2级）,2,,66=600,,6
41020603,魔力增幅（3级）,3,,66=900,,9
41020604,魔力增幅（4级）,4,,66=1200,,12
41020605,魔力增幅（5级）,5,,66=1500,,15
41020606,魔力增幅（6级）,6,,66=1800,,18
41020607,魔力增幅（7级）,7,,66=2100,,21
41020608,魔力增幅（8级）,8,,66=2400,,24
41020609,魔力增幅（9级）,9,,66=2700,,27
41020610,魔力增幅（10级）,10,,66=3000,,30
41021201,元素感知（1级）,1,203501=10000,,,2
41021202,元素感知（2级）,2,203502=10000,,,4
41021203,元素感知（3级）,3,203503=10000,,,6
41021204,元素感知（4级）,4,203504=10000,,,8
41021205,元素感知（5级）,5,203505=10000,,,10
41021206,元素感知（6级）,6,203506=10000,,,13
41021207,元素感知（7级）,7,203507=10000,,,16
41021208,元素感知（8级）,8,203508=10000,,,19
41021209,元素感知（9级）,9,203509=10000,,,22
41021210,元素感知（10级）,10,203510=10000,,,25
41021401,魔击术被动,1,203701=10000,,,
41021402,魔击术被动,2,203702=10000,,,
41021403,魔击术被动,3,203703=10000,,,
41021404,魔击术被动,4,203704=10000,,,
41021405,魔击术被动,5,203705=10000,,,
41021501,元素抵抗被动,1,,68=100,,
41021502,元素抵抗被动,2,,68=200,,
41021503,元素抵抗被动,3,,68=300,,
41021504,元素抵抗被动,4,,68=400,,
41021505,元素抵抗被动,5,,68=500,,
41021601,重力原野被动,1,203801=10000,,,
41021602,重力原野被动,2,203801=10000,,,
41021603,重力原野被动,3,203801=10000,,,
41021604,重力原野被动,4,203801=10000,,,
41021605,重力原野被动,5,203801=10000,,,
40001101,禅心（1级）,1,200301=10000,,SP1=3|SP2=20,3|0.2|105
40001102,禅心（2级）,2,200302=10000,,SP1=5|SP2=40,5|0.4|110
40001103,禅心（3级）,3,200303=10000,,SP1=9|SP2=60,9|0.6|115
40001104,禅心（4级）,4,200304=10000,,SP1=12|SP2=80,12|0.8|120
40001105,禅心（5级）,5,200305=10000,,SP1=15|SP2=100,15|1|125
40001106,禅心（6级）,6,200306=10000,,SP1=18|SP2=120,18|1.2|130
40001107,禅心（7级）,7,200307=10000,,SP1=21|SP2=140,21|1.4|135
40001108,禅心（8级）,8,200308=10000,,SP1=24|SP2=160,24|1.6|140
40001109,禅心（9级）,9,200309=10000,,SP1=27|SP2=180,27|1.8|145
40001110,禅心（10级）,10,200310=10000,,SP1=30|SP2=200,30|2|150
42010301,进化之书,1,601601=10000|602101=10000,36=5|69=100,,5|1|120
42010302,进化之书,2,601602=10000|602102=10000,36=10|69=200,,10|2|140
42010303,进化之书,3,601603=10000|602103=10000,36=15|69=300,,15|3|160
42010304,进化之书,4,601604=10000|602104=10000,36=20|69=400,,20|4|180
42010305,进化之书,5,601605=10000|602105=10000,36=25|69=500,,25|5|200
42010401,龙之知识,1,,16=2|41=2|211=200,,2|2|2
42010402,龙之知识,2,,16=4|41=4|211=400,,4|4|4
42010403,龙之知识,3,,16=6|41=6|211=600,,6|6|6
42010404,龙之知识,4,,16=8|41=8|211=800,,8|8|8
42010405,龙之知识,5,,16=10|41=10|211=1000,,10|10|10
42010601,双倍投掷,1,,,DAMPer=2300,23
42010602,双倍投掷,2,,,DAMPer=2600,26
42010603,双倍投掷,3,,,DAMPer=2900,29
42010604,双倍投掷,4,,,DAMPer=3200,32
42010605,双倍投掷,5,,,DAMPer=3500,35
42010606,双倍投掷,6,,,DAMPer=3800,38
42010607,双倍投掷,7,,,DAMPer=4100,41
42010608,双倍投掷,8,,,DAMPer=4400,44
42010609,双倍投掷,9,,,DAMPer=4700,47
42010610,双倍投掷,10,,,DAMPer=5000,50
42010701,元素附加,1,,,PRO=1000,60
42010702,元素附加,2,,,PRO=2000,70
42010703,元素附加,3,,,PRO=3000,80
42010704,元素附加,4,,,PRO=4000,90
42010705,元素附加,5,,,PRO=5000,100
42011301,汲取魔法,1,624301=10000,50=200,,2|0.6
42011302,汲取魔法,2,624302=10000,50=400,,4|0.7
42011303,汲取魔法,3,624303=10000,50=600,,6|0.8
42011304,汲取魔法,4,624304=10000,50=800,,8|0.9
42011305,汲取魔法,5,624305=10000,50=1000,,10|1
42011401,自由施法,1,620001=10000,440=1,,50
42011402,自由施法,2,620002=10000,440=1,,45
42011403,自由施法,3,620003=10000,440=1,,40
42011404,自由施法,4,620004=10000,440=1,,35
42011405,自由施法,5,620005=10000,440=1,,30
42011501,魔法惩罚,1,625101=10000,,,2
42011502,魔法惩罚,2,625102=10000,,,4
42011503,魔法惩罚,3,625103=10000,,,6
42011504,魔法惩罚,4,625104=10000,,,8
42011505,魔法惩罚,5,625105=10000,,,10
42020401,元素理解,1,624401=10000,,,1
42020402,元素理解,2,624402=10000,,,2
42020403,元素理解,3,624403=10000,,,3
42020404,元素理解,4,624404=10000,,,4
42020405,元素理解,5,624405=10000,,,5
42020501,精神撼动,1,624601=10000,66=100,,1|2
42020502,精神撼动,2,624602=10000,66=200,,2|4
42020503,精神撼动,3,624603=10000,66=300,,3|6
42020504,精神撼动,4,624604=10000,66=400,,4|8
42020505,精神撼动,5,624605=10000,66=500,,5|10
42020506,精神撼动,6,624606=10000,66=600,,6|12
42020507,精神撼动,7,624607=10000,66=700,,7|14
42020508,精神撼动,8,624608=10000,66=800,,8|16
42020509,精神撼动,9,624609=10000,66=900,,9|18
42020510,精神撼动,10,624610=10000,66=1000,,10|20
42021901,精神耗弱术（被动）（1级）,1,626101=10000,,,
42021902,精神耗弱术（被动）（2级）,2,626102=10000,,,
42021903,精神耗弱术（被动）（3级）,3,626103=10000,,,
42021904,精神耗弱术（被动）（4级）,4,626104=10000,,,
42021905,精神耗弱术（被动）（5级）,5,626105=10000,,,
42021906,精神耗弱术（被动）（6级）,6,626106=10000,,,
42021907,精神耗弱术（被动）（7级）,7,626107=10000,,,
42021908,精神耗弱术（被动）（8级）,8,626108=10000,,,
42021909,精神耗弱术（被动）（9级）,9,626109=10000,,,
42021910,精神耗弱术（被动）（10级）,10,626110=10000,,,
30000901,加速术（1级）,1,,,AGI=4|SPEED=2500,4
30000902,加速术（2级）,2,,,AGI=6|SPEED=2500,6
30000903,加速术（3级）,3,,,AGI=8|SPEED=2500,8
30000904,加速术（4级）,4,,,AGI=10|SPEED=2500,10
30000905,加速术（5级）,5,,,AGI=12|SPEED=2500,12
30000906,加速术（6级）,6,,,AGI=8|SPEED=2500,8|160
30000907,加速术（7级）,7,,,AGI=9|SPEED=2500,9|180
30000908,加速术（8级）,8,,,AGI=10|SPEED=2500,10|200
30000909,加速术（9级）,9,,,AGI=11|SPEED=2500,11|220
30000910,加速术（10级）,10,,,AGI=12|SPEED=2500,12|240
30001101,天使之躯（1级）,1,102301=10000,,,2|2|5|5
30001102,天使之躯（2级）,2,102302=10000,,,4|4|10|10
30001103,天使之躯（3级）,3,102303=10000,,,6|6|15|15
30001104,天使之躯（4级）,4,102304=10000,,,8|8|20|20
30001105,天使之躯（5级）,5,102305=10000,,,10|10|25|25
30001106,天使之躯（6级）,6,102306=10000,,,12|12|30|30
30001107,天使之躯（7级）,7,102307=10000,,,14|14|35|35
30001108,天使之躯（8级）,8,102308=10000,,,16|16|40|40
30001109,天使之躯（9级）,9,102309=10000,,,18|18|45|45
30001110,天使之躯（10级）,10,102310=10000,,,20|20|50|50
31010501,钝器熟练度（1级）,1,105301=10000|105401=10000,,ATK=3,3
31010502,钝器熟练度（2级）,2,105301=10000|105401=10000,,ATK=6,6
31010503,钝器熟练度（3级）,3,105301=10000|105401=10000,,ATK=9,9
31010504,钝器熟练度（4级）,4,105301=10000|105401=10000,,ATK=12,12
31010505,钝器熟练度（5级）,5,105301=10000|105401=10000,,ATK=15,15
31010506,钝器熟练度（6级）,6,105301=10000|105401=10000,,ATK=18,18
31010507,钝器熟练度（7级）,7,105301=10000|105401=10000,,ATK=21,21
31010508,钝器熟练度（8级）,8,105301=10000|105401=10000,,ATK=24,24
31010509,钝器熟练度（9级）,9,105301=10000|105401=10000,,ATK=27,27
31010510,钝器熟练度（10级）,10,105301=10000|105401=10000,,ATK=30,30
31011101,禅心（1级）,1,105901=10000,,SP1=3|SP2=20,3|0.2|105
31011102,禅心（2级）,2,105902=10000,,SP1=5|SP2=40,5|0.4|110
31011103,禅心（3级）,3,105903=10000,,SP1=9|SP2=60,9|0.6|115
31011104,禅心（4级）,4,105904=10000,,SP1=12|SP2=80,12|0.8|120
31011105,禅心（5级）,5,105905=10000,,SP1=15|SP2=100,15|1|125
31011106,禅心（6级）,6,105906=10000,,SP1=18|SP2=120,18|1.2|130
31011107,禅心（7级）,7,105907=10000,,SP1=21|SP2=140,21|1.4|135
31011108,禅心（8级）,8,105908=10000,,SP1=24|SP2=160,24|1.6|140
31011109,禅心（9级）,9,105909=10000,,SP1=27|SP2=180,27|1.8|145
31011110,禅心（10级）,10,105910=10000,,SP1=30|SP2=200,30|2|150
31020201,魔力减免（1级）,1,,88=-400,,4
31020202,魔力减免（2级）,2,,88=-800,,8
31020203,魔力减免（3级）,3,,88=-1200,,12
31020204,魔力减免（4级）,4,,88=-1600,,16
31020205,魔力减免（5级）,5,,88=-2000,,20
31020501,冥想（1级）,1,,50=100|78=300,,1|3|2
31020502,冥想（2级）,2,,50=200|78=600,,2|6|4
31020503,冥想（3级）,3,,50=300|78=900,,3|9|6
31020504,冥想（4级）,4,,50=400|78=1200,,4|12|8
31020505,冥想（5级）,5,,50=500|78=1500,,5|15|10
31020506,冥想（6级）,6,,50=600|78=1800,,6|18|12
31020507,冥想（7级）,7,,50=700|78=2100,,7|21|14
31020508,冥想（8级）,8,,50=800|78=2400,,8|24|16
31020509,冥想（9级）,9,,50=900|78=2700,,9|27|18
31020510,冥想（10级）,10,,50=1000|78=3000,,10|30|20
31021001,瞻仰神圣之道的信徒（1级）,1,,177=200,,2
31021002,瞻仰神圣之道的信徒（2级）,2,,177=400,,4
31021003,瞻仰神圣之道的信徒（3级）,3,,177=600,,6
31021004,瞻仰神圣之道的信徒（4级）,4,,177=800,,8
31021005,瞻仰神圣之道的信徒（5级）,5,,177=1000,,10
31021006,瞻仰神圣之道的信徒（6级）,6,,177=1200,,12
31021007,瞻仰神圣之道的信徒（7级）,7,,177=1400,,14
31021008,瞻仰神圣之道的信徒（8级）,8,,177=1600,,16
31021009,瞻仰神圣之道的信徒（9级）,9,,177=1800,,18
31021010,瞻仰神圣之道的信徒（10级）,10,,177=2000,,20
31021101,高级钝器熟练度（1级）,1,106901=10000|107001=10000,,DAMPer=200,2
31021102,高级钝器熟练度（2级）,2,106901=10000|107001=10000,,DAMPer=400,4
31021103,高级钝器熟练度（3级）,3,106901=10000|107001=10000,,DAMPer=600,6
31021104,高级钝器熟练度（4级）,4,106901=10000|107001=10000,,DAMPer=800,8
31021105,高级钝器熟练度（5级）,5,106901=10000|107001=10000,,DAMPer=1000,10
31021106,高级钝器熟练度（6级）,6,106901=10000|107001=10000,,DAMPer=1200,12
31021107,高级钝器熟练度（7级）,7,106901=10000|107001=10000,,DAMPer=1400,14
31021108,高级钝器熟练度（8级）,8,106901=10000|107001=10000,,DAMPer=1600,16
31021109,高级钝器熟练度（9级）,9,106901=10000|107001=10000,,DAMPer=1800,18
31021110,高级钝器熟练度（10级）,10,106901=10000|107001=10000,,DAMPer=2000,20
31011501,圣之裁决调用主动（1级）,1,107601=10000,,,
31011502,圣之裁决调用主动（2级）,2,107602=10000,,,
31011503,圣之裁决调用主动（3级）,3,107603=10000,,,
31011504,圣之裁决调用主动（4级）,4,107604=10000,,,
31011505,圣之裁决调用主动（5级）,5,107605=10000,,,
31011506,圣之裁决调用主动（6级）,6,107606=10000,,,
31011507,圣之裁决调用主动（7级）,7,107607=10000,,,
31011508,圣之裁决调用主动（8级）,8,107608=10000,,,
31011509,圣之裁决调用主动（9级）,9,107609=10000,,,
31011510,圣之裁决调用主动（10级）,10,107610=10000,,,
32010201,铁砂掌,1,150401=10000|150501=10000,,ATK=3,3
32010202,铁砂掌,2,150401=10000|150501=10000,,ATK=6,6
32010203,铁砂掌,3,150401=10000|150501=10000,,ATK=9,9
32010204,铁砂掌,4,150401=10000|150501=10000,,ATK=12,12
32010205,铁砂掌,5,150401=10000|150501=10000,,ATK=15,15
32010206,铁砂掌,6,150401=10000|150501=10000,,ATK=18,18
32010207,铁砂掌,7,150401=10000|150501=10000,,ATK=21,21
32010208,铁砂掌,8,150401=10000|150501=10000,,ATK=24,24
32010209,铁砂掌,9,150401=10000|150501=10000,,ATK=27,27
32010210,铁砂掌,10,150401=10000|150501=10000,,ATK=30,30
32010501,六合拳,1,150301=10000,,,29|120|20
32010502,六合拳,2,150302=10000,,,28|140|40
32010503,六合拳,3,150303=10000,,,27|160|60
32010504,六合拳,4,150304=10000,,,26|180|80
32010505,六合拳,5,150305=10000,,,25|200|100
32010506,六合拳,6,150306=10000,,,24|220|120
32010507,六合拳,7,150307=10000,,,23|240|140
32010508,六合拳,8,150308=10000,,,22|260|160
32010509,六合拳,9,150309=10000,,,21|280|180
32010510,六合拳,10,150310=10000,,,20|300|200
32011001,运气调息,1,150701=10000,,SkillLv=2|HP=4,4|2|2|2
32011002,运气调息,2,150701=10000,,SkillLv=4|HP=8,8|4|4|4
32011003,运气调息,3,150701=10000,,SkillLv=6|HP=12,12|6|6|6
32011004,运气调息,4,150701=10000,,SkillLv=8|HP=16,16|8|8|8
32011005,运气调息,5,150701=10000,,SkillLv=10|HP=20,20|10|10|10
32011101,移花接木,1,152701=10000,53=3,,3|1
32011102,移花接木,2,152702=10000,53=6,,6|2
32011103,移花接木,3,152703=10000,53=9,,9|3
32011104,移花接木,4,152704=10000,53=12,,12|4
32011105,移花接木,5,152705=10000,53=15,,15|5
32011501,蓄气上限判定,1,,350=1,,
32011502,蓄气上限判定,2,,350=2,,
32011503,蓄气上限判定,3,,350=3,,
32011504,蓄气上限判定,4,,350=4,,
32011505,蓄气上限判定,5,,350=5,,
32011901,蓄力攻击力,1,149901=10000,350=5,,
32011902,蓄力攻击力,2,149902=10000,350=5,,
32011903,蓄力攻击力,3,149903=10000,350=5,,
32011904,蓄力攻击力,4,149904=10000,350=5,,
32011905,蓄力攻击力,5,149905=10000,350=5,,
32020801,拳意相通,1,151501=10000|152601=10000,,DAMPer=200,2
32020802,拳意相通,2,151501=10000|152601=10000,,DAMPer=400,4
32020803,拳意相通,3,151501=10000|152601=10000,,DAMPer=600,6
32020804,拳意相通,4,151501=10000|152601=10000,,DAMPer=800,8
32020805,拳意相通,5,151501=10000|152601=10000,,DAMPer=1000,10
32020806,拳意相通,6,151501=10000|152601=10000,,DAMPer=1200,12
32020807,拳意相通,7,151501=10000|152601=10000,,DAMPer=1400,14
32020808,拳意相通,8,151501=10000|152601=10000,,DAMPer=1600,16
32020809,拳意相通,9,151501=10000|152601=10000,,DAMPer=1800,18
32020810,拳意相通,10,151501=10000|152601=10000,,DAMPer=2000,20
50001001,二刀连击（1级）,1,,,Pro=1000|DeputyDam=200,10|2
50001002,二刀连击（2级）,2,,,Pro=1500|DeputyDam=400,15|4
50001003,二刀连击（3级）,3,,,Pro=2000|DeputyDam=600,20|6
50001004,二刀连击（4级）,4,,,Pro=2500|DeputyDam=800,25|8
50001005,二刀连击（5级）,5,,,Pro=3000|DeputyDam=1000,30|10
50001006,二刀连击（6级）,6,,,Pro=3500|DeputyDam=1200,35|12
50001007,二刀连击（7级）,7,,,Pro=4000|DeputyDam=1400,40|14
50001008,二刀连击（8级）,8,,,Pro=4500|DeputyDam=1600,45|16
50001009,二刀连击（9级）,9,,,Pro=5000|DeputyDam=1800,50|18
50001010,二刀连击（10级）,10,,,Pro=5500|DeputyDam=2000,55|20
50001101,残影（1级）,1,,53=3|74=100,Hedge=3|Speed=100,3|1
50001102,残影（2级）,2,,53=6|74=100,Hedge=6|Speed=100,6|1
50001103,残影（3级）,3,,53=9|74=200,Hedge=9|Speed=200,9|2
50001104,残影（4级）,4,,53=12|74=200,Hedge=12|Speed=200,12|2
50001105,残影（5级）,5,,53=15|74=300,Hedge=15|Speed=300,15|3
50001106,残影（6级）,6,,53=18|74=300,Hedge=18|Speed=300,18|3
50001107,残影（7级）,7,,53=21|74=400,Hedge=21|Speed=400,21|4
50001108,残影（8级）,8,,53=24|74=400,Hedge=24|Speed=400,24|4
50001109,残影（9级）,9,,53=27|74=500,Hedge=27|Speed=500,27|5
