ID,AwardId,ItemIds
483,1200500,201|202
484,1200510,201|202|101|2035002|2090023
485,1200520,201|202
486,1200530,201|202
487,1200540,201|202|101
488,1200550,201|202|101
489,1200560,201|202
490,1200570,201|202|101|2035002|2090023
491,1200580,201|202|101
492,1200590,201|202
493,1200600,201|202
494,1200610,201|202|101
495,1200620,201|202|101|2035002|2090023
496,1200630,201|202
497,1200640,201|202
498,1200650,201|202
499,1200660,201|202|101
500,1200670,201|202|101
501,1200680,201|202|101
502,1200690,
503,1200700,201|202|101|2035002|2090023
504,1200710,201|202|101|2035002|2090023
505,1200720,201|202
506,1200730,201|202
507,1200740,201|202|101
508,1200750,201|202
509,1200760,201|202|101
510,1200770,201|202
511,1200780,201|202|101
512,1200790,201|202|101|2035002|2090023
513,1200800,201|202
514,1200810,201|202
515,1200820,201|202|101
516,1200830,201|202|101
517,1200840,201|202|101
518,1200850,201|202|101
519,1200860,201|202|101|2035002|2090023
520,1200870,201|202|101
521,1200880,201|202
522,1200890,201|202|101
523,1200900,201|202
524,1200910,201|202
525,1200920,201|202|101
526,1200930,201|202|101|2035002|2090023
527,1200940,201|202
528,1200950,201|202
529,1200960,201|202|101
530,1200970,201|202|101
531,1200980,201|202|101
532,1200990,201|202
533,1201000,201|202
534,1201010,201|202|101|2035002|2090023
535,1201020,201|202
536,1201030,201|202|101
537,1201040,201|202
538,1201050,201|202
539,1201060,201|202|101
540,1201070,201|202|101
541,1201080,201|202|101|2035002|2090023
542,1201090,201|202
543,1201100,201|202
544,1201110,201|202|101
545,1201120,201|202
546,1201130,201|202|101
547,1201140,201|202
548,1201150,201|202|101
549,1201160,201|202|101
550,1201170,201|202|101|2035002|2090023
551,1201180,201|202
552,1201190,201|202|101
553,1201200,201|202|101
554,1201210,201|202
555,1201220,201|202|101
556,1201230,201|202
557,1201240,201|202|101|2035002|2090023
558,1201250,201|202
559,1201260,201|202
560,1201270,201|202
561,1201280,201|202|101
562,1201290,201|202|101
563,1201300,201|202
564,1201310,201|202|101|2035002|2090023
565,1201320,201|202
566,1201330,201|202|101
567,1201340,201|202
568,1201350,201|202|101
569,1201360,201|202
570,1201370,201|202|101
571,1201380,201|202|101
572,1201390,201|202
573,1201400,201|202|101|2035002|2090023
574,1201410,201|202
575,1201420,201|202|101
576,1201430,201|202|101
577,1201440,201|202
578,1201450,201|202|101
579,1201460,201|202|101
580,1201470,201|202
581,1201480,201|202|101|2035002|2090023
582,1201490,201|202
583,1201500,201|202|101
584,1201510,201|202
585,1201520,201|202
586,1201530,201|202|101
587,1201540,201|202
588,1201550,201|202|101
589,1201560,201|202|101|2035002|2090023
590,1201570,201|202
591,1201580,201|202|101
592,1201590,201|202
593,1201600,201|202
594,1201610,201|202
595,1201620,201|202|101
596,1201630,201|202|101
597,1201640,201|202
598,1201650,201|202|101|2035002|2090024
599,1201660,201|202
600,1201670,201|202
601,1201680,201|202|101
602,1201690,201|202
603,1201700,201|202|101|2090019
604,1201710,201|202|101
605,1201720,201|202
606,1201730,201|202
607,1201740,201|202|101|2035002|2090023
608,1201750,201|202
609,1201760,201|202|101
610,1201770,201|202
611,1201780,201|202|101|2090019
612,1201790,201|202
613,1201800,201|202
614,1201810,201|202|101|2035002|2090023
615,1201820,201|202
616,1201830,201|202
617,1201840,201|202|101
618,1201850,201|202|101|2090019
619,1201860,201|202
620,1201870,201|202|101
621,1201880,201|202|101
622,1201890,201|202|101|2035002|2090023
623,1201900,201|202
624,1201910,201|202|101
625,1201920,201|202|101
626,1201930,201|202|101|2035002
627,1201940,201|202|101
628,1201950,201|202
629,1201960,201|202|101
630,1201970,201|202|101|2035002|2034003
631,1201980,201|202|101
632,1201990,201|202|101
633,1202000,201|202|101|2035002
634,1202010,201|202
635,1202020,201|202|101
636,1202030,201|202|101|3021001
637,1202040,201|202
638,1202050,201|202|101
639,1202060,201|202|101
640,1202070,201|202
641,1202080,201|202|101|2035002
642,1202090,201|202
643,1202100,201|202|101
644,1202110,201|202
645,1202120,201|202|101|3020014
646,1202130,201|202
647,1202140,201|202|101|2035002
648,1202150,201|202|101
649,1202160,201|202|101|2034006
650,1202170,201|202
651,1202180,201|202
652,1202190,201|202|101
653,1202200,201|202
654,1202210,201|202|101|3020014
655,1202220,
656,1202230,
657,1202240,
658,1202250,
659,1202260,
660,1202270,
661,1202280,
662,1202290,
663,1202300,4010008
664,1202310,3081001|3081011|3081021|3081031|3081041|3081051|3081061|3081071|3081081|3081091|3081101|3081111|3081121|3081131|3081141|3081151|3081161|3081171|3081181|3081191|3081201|3081211|3081221|3081231|3081241
665,1202320,201|202
666,1202330,201|202|101|2035002
667,1202340,201|202
668,1202350,201|202|101|3021001
669,1202360,201|202
670,1202370,201|202|101|60660010
671,1202380,201|202|101|2035002
672,1202390,201|202
673,1202400,201|202
674,1202410,201|202
675,1202420,201|202|101|60660010
676,1202430,201|202
677,1202440,201|202|101|3020016
678,1202450,201|202|101|2033002
679,1202460,
680,1202470,
681,1202480,
682,1202490,
683,1202500,
684,1202510,201|202|101|60660010
685,1202520,201|202
686,1202530,201|202
687,1202540,201|202|101|3020016
688,1202550,201|202
689,1202560,201|202|101|3020022
690,1202570,201|202
691,1202580,201|202|101|3020016
692,1202590,201|202
693,1202600,201|202
694,1202610,201|202|101|2035002
695,1202620,201|202|101|3020022
696,1202630,201|202|101|2090024
697,1202640,201|202
698,1202650,201|202
699,1202660,201|202|101|2035002
700,1202670,201|202
701,1202680,201|202
702,1202690,201|202
703,1202700,201|202|101|3021001
704,1202710,201|202
705,1202720,201|202|101|3020016
706,1202730,201|202
707,1202740,201|202|101|3020022
708,1202750,201|202
709,1202760,201|202
710,1202770,201|202
711,1202780,201|202|101|3020016
712,1202790,201|202
713,1202800,201|202|101|2035002
714,1202810,201|202
715,1202820,201|202
716,1202830,201|202|101|3020022
717,1300010,201|202|40000010|101
718,1300020,201|202|40000010|101
719,1300030,201|202|40000010|101
720,1300040,
721,1300050,
722,1300060,
723,1300070,
724,1300080,
725,1300090,
726,1300100,
727,1300110,
728,1300120,
729,1300130,
730,1300140,
731,1300150,
732,1300160,
733,1300170,
734,1300180,
735,1300190,
736,1300200,
737,1300210,
738,1300220,201|202|40000010|101
739,1300230,201|202|40000010|101
740,1300240,201|202|40000010|101
741,1300250,201|202|40000010|101
742,1300260,201|202|40000010|101
743,1300270,201|202|40000010|101
744,1300280,201|202|40000010|101
745,1300290,201|202|40000010|101
746,1300300,201|202|40000010|101
747,1300310,201|202|40000010|101
748,1300320,201|202|40000010|101
749,1300330,201|202|40000010|101
750,1300340,201|202|40000010|101
751,1400010,
752,1400020,
753,1400030,3027001|3027002
754,1400040,
755,1400050,
756,1400060,3027001|3027002
757,1400070,
758,1400080,
759,1400090,3027001|3027002
760,1400100,3027001|3027002
761,1400110,3027001
762,1400120,
763,1400130,
764,1400140,3027001|3027002
765,1400150,
766,1400160,
767,1400170,3027001|3027002
768,1400180,
769,1400190,
770,1400200,3027001|3027002
771,1400210,3027002
772,1400220,3027002
773,1400230,3027002
774,1400240,3027002
775,1400250,3027002
776,1400260,3027002
777,1500010,
778,1500020,
779,1500030,
780,1500040,
781,1500050,201|202|2034003|101
782,1500060,
783,1500070,
784,1500080,
785,1500090,
786,1500100,201|202|2034003|101
787,1500110,
788,1500120,
789,1500130,201|202|2034003|101
790,1500140,
791,1500150,
792,1500160,201|202|2034003|101
793,1500170,
794,1500180,
795,1500190,201|202|2034003|101
796,1500200,
797,1500210,
798,1500220,
799,1500230,201|202|2034003|101
800,1500240,
801,1500250,
802,1500260,
803,1500270,201|202|2034003|101
804,1500280,
805,1500290,
806,1500300,
807,1500310,201|202|2034003|101
808,1500320,
809,1500330,
810,1500340,201|202|2034003|101
811,1500350,
812,1500360,
813,1500370,
814,1500380,
815,1500390,201|202|2034003|101
816,1500400,
817,1500410,
818,1500420,201|202|2034003|101
819,1500430,
820,1500440,
821,1500450,
822,1500460,201|202|2034003|101
823,1500470,
824,1500480,
825,1500490,201|202|2034003|101
826,1500500,
827,1500510,
828,1500520,
829,1500530,201|202|2034003|101
830,1500540,
831,1500550,
832,1500560,
833,1500570,201|202|2034003|101
834,1500580,
835,1500590,
836,1500600,
837,1500610,
838,1500620,
839,1500630,
840,1500640,201|202|2034003|101|3020016
841,1500650,
842,1500660,
843,1500670,
844,1500680,
845,1500690,201|202|2034003|101|3020016
846,1500700,
847,1500710,
848,1500720,
849,1500730,
850,1500740,
851,1500750,
852,1500760,201|202|2034003|101|3020016
853,1500770,
854,1500780,
855,1500790,
856,1500800,
857,1500810,
858,1500820,201|202|2034003|101|3020016
859,1600010,
860,1600020,
861,1600030,
862,1600040,201|202|3060425|101|2031004|501
863,1600050,
864,1600060,
865,1600070,
866,1600080,
867,1600090,201|202|3060425|101|2031004|501
868,1600100,
869,1600110,
870,1600120,
871,1600130,201|202|3060425|101|2031004|501
872,1600140,501
873,1600150,
874,1600160,
875,1600170,201|202|3060425|101|2091032|501
876,1600180,
877,1600190,
878,1600200,
879,1600210,
880,1600220,
881,1600230,
882,1600240,101
883,1600250,
884,1600260,
885,1600270,
886,1600280,
887,1600290,
888,1600300,
889,1600310,
890,1600320,
891,1600330,101
892,1600340,
893,1600350,
894,1600360,
895,1600370,
896,1600380,
897,1600390,
898,1600400,
899,1600410,
900,1600420,
901,1600430,
902,1600440,
903,1600450,101
904,1600460,
905,1600470,
906,1600480,
907,1600490,
908,1600500,
909,1600510,
910,1600520,
911,1600530,
912,1600540,
913,1600550,
914,1600560,
915,1600570,101
916,1600580,
917,1600590,
918,1600600,
919,1600610,
920,1600620,
921,1600630,
922,1600640,
923,1600650,
924,1600660,101
925,1600670,
926,1600680,
927,1600690,
928,1600700,
929,1600710,
930,1600720,
931,1600730,
932,1600740,
933,1600750,
934,1600760,
935,1600770,
936,1600780,101
937,1600790,
938,1600800,
939,1600810,
940,1600820,
941,1600830,
942,1600840,
943,1600850,
944,1600860,101
945,1600870,
946,1600880,
947,1600890,
948,1600900,
949,1600910,
950,1600920,
951,1600930,
952,1600940,
953,1600950,
954,1600960,
955,1600970,
956,1600980,101
957,1700010,102
958,1700020,102
959,1700030,102
960,1700040,3024022
961,1700050,2091166
962,1700060,
963,1700070,3020023
964,1700080,
965,1700090,2090024|3022008
966,1800010,
967,1800020,
968,1800030,
969,1800040,
970,1800050,
971,1800060,
972,1800070,201|202|1051001|2034003|101
973,1800080,201|202|1051001|2034003|101
974,1800090,
975,1800100,
976,1800110,
977,1800120,
978,1800130,201|202|2063001|2034003|101
979,1800140,
980,1800150,
981,1800160,
982,1800170,
983,1800180,
984,1800190,
985,1800200,
986,1800210,
987,1800220,
988,1800230,
989,1800240,
990,1800250,
991,1800260,201|202|2063001|2034003|101
992,1800270,
993,1800280,
994,1800290,
995,1800300,
996,1800310,
997,1800320,201|202|2063001|2034003|101
998,1800330,
999,1800340,
1000,1800350,
1001,1800360,
1002,1800370,201|202|2063001|2034003|101
1003,1800380,
1004,1800390,
1005,1800400,201|202|2063001|2034003|101
1006,1800410,3060237
1007,1800420,
1008,1800430,
1009,1800440,
1010,1800450,201|202|2063001|2034003|101
1011,1800460,
1012,1800470,
1013,1800480,201|202|2063001|2034003|101
1014,1800490,
1015,1800500,201|202|2063001|2034003|101
1016,1800510,
1017,1800520,
1018,1800530,201|202|2063001|2034003|101
1019,1800540,
1020,1800550,
1021,1800560,
1022,1800570,201|202|2063001|2034003|101
1023,1800580,
1024,1800590,
1025,1800600,
1026,1800610,201|202|2063001|2034003|101
1027,1800620,
1028,1800630,
1029,1800640,
1030,1800650,
1031,1800660,201|202|2063001|2034003|101
1032,1800670,
1033,1800680,
1034,1800690,201|202|2063001|2034003|101
1035,1800700,
1036,1800710,
1037,1800720,201|202|2063001|2034003|101
1038,1800730,
1039,1800740,201|202|2063001|2034003|101
1040,1800750,
1041,1800760,
1042,1800770,201|202|2063001|2034003|101
1043,1800780,
1044,1800790,
1045,1800800,
1046,1800810,201|202|2063001|2034003|101
1047,1800820,
1048,1800830,
1049,1800840,
1050,1800850,201|202|2063001|2034003|101
1051,1800860,
1052,1800870,
1053,1800880,
1054,1800890,201|202|2063001|2034003|101
1055,1800900,
1056,1800910,
1057,1800920,201|202|2063001|2034003|101
1058,1800930,
1059,1800940,201|202|2063001|2034003|101
1060,1800950,
1061,1800960,
1062,1800970,
1063,1800980,201|202|2063001|2034003|101
1064,1800990,
1065,1801000,
1066,1801010,
1067,1801020,201|202|2063001|2034003|101
1068,1801030,
1069,1801040,
1070,1801050,
1071,1801060,201|202|2063001|2034003|101
1072,1801070,
1073,1801080,
1074,1801090,
1075,1801100,201|202|2063001|2034003|101
1076,1801110,
1077,1801120,
1078,1801130,
1079,1801140,201|202|2063001|2034003|101
1080,1801150,
1081,1801160,
1082,1801170,201|202|2063001|2034003|101
1083,1801180,
1084,1801190,
1085,1801200,
1086,1801210,
1087,1801220,201|202|2063001|2034003|101
1088,1801230,
1089,1801240,
1090,1801250,
1091,1801260,201|202|2063001|2034003|101
1092,1801270,
1093,1801280,
1094,1801290,
1095,1801300,201|202|2063001|2034003|101
1096,1801310,
1097,1801320,
1098,1801330,
1099,1801340,201|202|2063001|2034003|101
1100,1801350,
1101,1801360,
1102,1801370,
1103,1801380,
1104,1801390,201|202|2063001|2034003|101
1105,1801400,
1106,1801410,
1107,1801420,
1108,1801430,
1109,1801440,201|202|2063001|2034003|101
1110,1801450,
1111,1801460,
1112,1801470,
1113,1801480,201|202|2063001|2034003|101
1114,1801490,
1115,1801500,
1116,1801510,
1117,1801520,
1118,1801530,
1119,1801540,201|202|2063001|2034003|101
1120,1801550,
1121,1801560,
1122,1801570,
1123,1801580,201|202|2063002|2063001|2034003|101
1124,1801590,
1125,1801600,
1126,1801610,
1127,1801620,201|202|2063002|2063001|2034003|101
1128,1801630,
1129,1801640,
1130,1801650,201|202|2063002|2063001|2034003|101
1131,1801660,201|202|2063002|2063001|2034003|101
1132,1801670,
1133,1801680,201|202|2063002|2063001|2034003|101
1134,1801690,
1135,1801700,
1136,1801710,
1137,1801720,
1138,1801730,
1139,1801740,
1140,1801750,201|202|2063001|2034003|101
1141,1801760,201|202|2063001|2034003|101
1142,1801770,
1143,1801780,
1144,1801790,
1145,1801800,201|202|2040018|2063001|2034003|101
1146,1801810,201|202|2040018|2063001|2034003|101
1147,1801820,201|202|2040018|2063001|2034003|101
1148,1801830,201|202|2040018|2063001|2034003|101
1149,1801840,201|202|2040018|2063001|2034003|101
1150,1801850,
1151,1801860,
1152,1801870,
1153,1801880,201|202|2040018|2063001|2034003|101
1154,1801890,201|202|2040018|2063001|2034003|101
1155,1801950,
1156,1801960,
1157,1801970,
1158,1801980,
1159,1801990,201|202|2063002|2063001|2034003|101
1160,1802000,
1161,1802010,
1162,1802020,
1163,1802030,
1164,1802040,201|202|2040020|2063001|2034003|101
1165,1802050,201|202|2040020|2063001|2034003|101
1166,1802060,
1167,1802070,201|202|2040020|2063001|2034003|101
1168,1802080,
1169,1802090,
1170,1802100,201|202|2040020|2063001|2034003|101
1171,1802110,
1172,1802120,
1173,1802130,201|202|2040021|2063001|2091615|101
1174,1802140,201|202|2040021|2063001|2091617|101
1175,1802150,201|202|2040021|2063001|2091616|101
1176,1802160,
1177,1802170,
1178,1802180,
1179,1802190,
1180,1802200,201|202|2040021|2063001|2034003|101
1181,1802210,1070294
1182,1900010,202
1183,1900020,202
1184,1900030,202
1185,1900040,
1186,1900050,3027006
1187,1900060,202
1188,1900070,202
1189,1900080,202
1190,1900090,202
1191,1910010,
1192,1910020,
1193,1910030,501|101
1194,1910040,501|101
1195,1910050,501|101
1196,1910060,501|101
1197,1910070,501|101
1198,1910080,501|101
1199,1910090,501|101
1200,1910100,501|101
1201,1910110,501|101
1202,1910120,501|101
1203,1910130,501|101
1204,1910140,1059023|501|101
1205,1910150,501|101
1206,1910160,501|101
1207,1910170,501|101
1208,1910180,501|101
1209,1910190,501|101
1210,1910200,1059024|501|101
1211,1910210,1059024|501|101
1212,1920010,3026005|2090043|101
1213,1920020,3024023|2090022|101
1214,1920030,2091112|2090044|101
1215,1920040,1059025|2034003|2090023|101
1216,1930010,2091142
1217,1930020,2091143
1218,1930030,2091144
1219,1930040,2091145
1220,1940010,101
1221,2043010,1290016|1290017|1290004|1290014|1290053|1290003|1280004|1290009
1222,2043020,2043001
1223,2043030,2043001
1224,2043040,2043001
1225,2043050,2043001
1226,2043060,2043001
1227,2043070,2043001
1228,2043080,2043001
1229,2043090,2043001
1230,2043100,2043001
1231,2043110,2043001
1232,2043120,2043001
1233,2043200,104|2043002
1234,2043210,102|2043002
1235,2043220,102|2043002
1236,2043230,102|2043002
1237,2043240,102|2043002
1238,2043250,102|2043002
1239,2043260,1010072|2043002
