ID,,Class,Description,KindID,Rarity,Quality,Department,ReleaseBase,ReleaseAddtional,Atlas,Icon,Scale,Horizontal,Height,Depth,PetStatId,BattleRoleLevel,HandBook,NormalAttackSkill,PrivateSkill,InitSkillCount,InitSkillId,CommonSkillGroupId,StatThreshold,InitialSTR,InitialINT,InitialAGI,InitialVIT,InitialDEX,InitialLUK,BaseAttr,SpecialAttrGroupID,LevelUpAttrGroupId,InteractiveOwnerAction,InteractiveOthersAction,TouchAction,SelfAction,ShowBubble,EntityID,BornSound,BornEffect,Shadow,InheritAttr,
1010,鬼女,鬼女,不要再离开我了,1010,3,4,2,90040=1,90100=50,Pokemon,Pokemon_guinv.png,1.2,0,0,1.35,2,40,1,1005,41030=1,1=50|2=50,40040=50|40050=50|40020=50|40180=50|42020=50|42030=50|42040=50|40030=50,1,373=400=1500|374=400=1600|375=400=1500|376=400=1600|377=400=1700|378=400=1700,373=400=1500=100,374=400=1600=100,375=400=1500=100,376=400=1600=100,377=400=1700=100,378=400=1700=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=479=479|393=207=207|394=207=207|395=159=159|396=143=143|397=143=143|175=1800,5030,7,,27,27=9010|28=-1|29=-1,27,拜托了，不要害怕我|我见过了太多悲欢离合的故事……|你曾经爱过一个人吗？|不要再离开我了|我不想伤害任何人……,230010,6010,0,0,水属性攻击+18%,魔法_水_中_恶魔
1011,蜡泪姑娘,蜡泪姑娘,为什么我无法停止流泪呢,1011,3,4,2,90040=1,90100=50,Pokemon,Pokemon_lanv.png,1.2,0,0,1.35,2,40,1,1005,41140=1,1=50|2=50,40040=50|40050=50|40020=50|40180=50|42020=50|42030=50|42040=50|40030=50,1,373=400=1500|374=400=1600|375=400=1500|376=400=1600|377=400=1700|378=400=1700,373=400=1500=100,374=400=1600=100,375=400=1500=100,376=400=1600=100,377=400=1700=100,378=400=1700=100,439=1|71=10000=10000|73=393=393|76=200=200|78=400=400|391=100=100|392=479=479|393=207=207|394=207=207|395=159=159|396=143=143|397=143=143,5020,7,,27,27=9011|28=-1|29=-1,27,为什么我无法停止流泪呢|啊，是飞蛾……|头上的火苗，总会吸引很多讨厌的小虫子|如果火苗继续烧下去，我会不会消失呢？|可以帮我熄灭头上的火苗吗？|我愿意相信，未来是美好的,230011,6011,1,1,魔法回复+2%,魔法_待定_待定_人形
1012,小鼠掌柜,小鼠掌柜,今天有什么大买卖？,1012,2,2,1,90040=1,90100=50,Pokemon,Pokemon_qianshu.png,1.2,0,0,1.35,1,40,1,1000,42170=1,1=100,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=300=1400|374=300=1300|375=300=1500|376=300=1300|377=300=1500|378=300=1400,373=300=1400=100,374=300=1300=100,375=300=1500=100,376=300=1300=100,377=300=1500=100,378=300=1400=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=396=396|393=171=171|394=171=171|395=132=132|396=118=118|397=118=118|433=1200,5040,3,,27,27=9012|28=-1|29=-1,27,今天有什么大买卖？|妈妈说见了猫要躲起来，可我喜欢给他们买小鱼干吃，嘿嘿,230012,6012,1,1,技能冷却修正+12%,物理_地_待定_动物
1013,沙漠獭獭,沙漠獭獭,在我的家乡，可见不到海洋哩,1013,2,2,1,90040=1,90100=50,Pokemon,Pokemon_shuita.png,1.2,0,0,1.35,1,40,1,1000,42110=1,1=100,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=300=1500|374=300=1300|375=300=1400|376=300=1500|377=300=1300|378=300=1400,373=300=1500=100,374=300=1300=100,375=300=1400=100,376=300=1500=100,377=300=1300=100,378=300=1400=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=396=396|393=171=171|394=171=171|395=132=132|396=118=118|397=118=118|173=1800,5030,3,,27,27=9013|28=-1|29=-1,27,在我的家乡，可见不到海洋哩|哇！贝壳好好吃……|偶尔也会想念家乡的烤肉哩！|在沙漠中，我们白天休息，夜里出来活动哩|朋友，让我为你跳舞吧！,230013,6013,1,1,土属性攻击+18%,物理_待定_待定_动物
1014,小巴风特,小巴风特,人类！不许用那种眼神看我！,1014,3,4,1,90040=1,90100=50,Pokemon,Pokemon_bafengte.png,1,0,0,0.75,2,40,1,1000,42090=1,1=50|2=50,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=400=1500|374=400=1600|375=400=1500|376=400=1600|377=400=1700|378=400=1700,373=400=1500=100,374=400=1600=100,375=400=1500=100,376=400=1600=100,377=400=1700=100,378=400=1700=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=479=479|393=207=207|394=207=207|395=159=159|396=143=143|397=143=143|55=9,5050,4,,27,27=9014|28=-1|29=-1,27,巴风特不会向人类惟命是从！|不准摸我的角！|人类！不许用那种眼神看我！|臣服于我吧！|偶尔还是可靠的嘛，人类|如此孱弱的身躯，也会爆发出令人惊叹的力量……,230014,6014,1,1,暴击+9,物理_暗_小_恶魔
1015,国王小猪,国王小猪,猪猪国王驾到！,1015,3,4,1,90040=1,90100=50,Pokemon,Pokemon_guowangzhu.png,1.2,0,0,1.35,2,40,1,1000,41330=1,1=50|2=50,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=400=1500|374=400=1600|375=400=1500|376=400=1600|377=400=1700|378=400=1700,373=400=1500=100,374=400=1600=100,375=400=1500=100,376=400=1600=100,377=400=1700=100,378=400=1700=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=479=479|393=207=207|394=207=207|395=159=159|396=143=143|397=143=143|67=600|68=600,5050,4,,27,27=9015|28=-1|29=-1,27,猪猪也可以当国王呢，感受到猪之国舒适的气息了吗|猪猪国王驾到！,230015,6015,1,1,物理、魔法伤害减免6%,物理_地_待定_动物
1016,狐球,狐球,其实我不胖，只是太毛茸茸了,1016,3,4,1,90040=1,90100=50,Pokemon,Pokemon_huqiu.png,1.2,0,0,1.35,2,40,1,1000,42080=1,1=50|2=50,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=400=1500|374=400=1600|375=400=1500|376=400=1600|377=400=1700|378=400=1700,373=400=1500=100,374=400=1600=100,375=400=1500=100,376=400=1600=100,377=400=1700=100,378=400=1700=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=479=479|393=207=207|394=207=207|395=159=159|396=143=143|397=143=143|67=600|68=600,5050,4,,27,27=9016|28=-1|29=-1,27,据说背上这把剑很锋利，但是我怎么也够不到它|其实我不胖，只是太毛茸茸了~,230016,6016,1,1,物理、魔法伤害减免6%,物理_待定_待定_动物
1017,行者浣熊,行者浣熊,竹子？叶子？不吃不吃！我只喝酒！,1017,2,3,1,90040=1,90100=50,Pokemon,Pokemon_huanxiong.png,1.2,0,0,1.35,2,40,1,1000,,1=100|2=20,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=300=1600|374=300=1600|375=300=1600|376=300=1500|377=300=1500|378=300=1400,373=300=1600=100,374=300=1600=100,375=300=1600=100,376=300=1500=100,377=300=1500=100,378=300=1400=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=435=435|393=188=188|394=188=188|395=145=145|396=130=130|397=130=130,5040,3,,27,27=9017|28=-1|29=-1,27,想喝酒，想喝好酒！|竹子？叶子？不吃不吃！我只喝酒！|呼，第827次戒酒失败……接着喝吧！|Zzzzzz……|新口味的酒，我来了！|来，一起喝吧！|美酒唯有朋友相伴，才有滋味,230017,6017,1,1,敏捷资质上限+200,物理_地_待定_动物
1018,火精灵,火精灵,我想离你近一点，又害怕烫伤你,1018,3,4,2,90040=1,90100=50,Pokemon,Pokemon_huojingling.png,1,0,-0.15,0.8,2,40,1,1005,43090=1,1=50|2=50,40040=50|40050=50|40020=50|40180=50|42020=50|42030=50|42040=50|40030=50,1,373=400=1500|374=400=1600|375=400=1500|376=400=1600|377=400=1700|378=400=1700,373=400=1500=100,374=400=1600=100,375=400=1500=100,376=400=1600=100,377=400=1700=100,378=400=1700=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=479=479|393=207=207|394=207=207|395=159=159|396=143=143|397=143=143|174=1800,5050,8,,27,27=9018|28=-1|29=-1,27,我生气了！|怎么又把东西烧掉了……|我不是故意要弄坏它的|……你可以摸摸我吗|我想离你近一点，又害怕烫伤你,230018,6018,1,1,火属性攻击+18%,魔法_火_待定_无形
1019,米莉,米莉,柠檬茶、草莓蛋糕，还是榛子果泥？,1019,2,3,1,90040=1,90100=50,Pokemon,Pokemon_songshu.png,1.2,0,0,1.35,2,40,1,1003,41010=1,1=100|2=20,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=300=1600|374=300=1400|375=300=1400|376=300=1600|377=300=1500|378=300=1500,373=300=1600=100,374=300=1400=100,375=300=1400=100,376=300=1600=100,377=300=1500=100,378=300=1500=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=435=435|393=188=188|394=188=188|395=145=145|396=130=130|397=130=130|435=1800,5030,3,,27,27=9019|28=-1|29=-1,27,柠檬茶、草莓蛋糕，还是榛子果泥？|不论你去往何处，我都会等你回家|今天遇到困难了吗？|我已经把所有的装备都清洗干净啦~|记得及时补充药水噢，主人,230019,6019,1,1,额外生命+18%,物理_待定_待定_动物
1020,焰小鸡,焰小鸡,迟早有一天，我要飞到天空上去！,1020,2,3,1,90040=1,90100=50,Pokemon,Pokemon_xiaoji.png,1,0,0,0.9,2,40,1,1000,42130=1,1=100|2=20,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=300=1800|374=300=1400|375=300=1600|376=300=1400|377=300=1500|378=300=1500,373=300=1800=100,374=300=1400=100,375=300=1600=100,376=300=1400=100,377=300=1500=100,378=300=1500=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=435=435|393=188=188|394=188=188|395=145=145|396=130=130|397=130=130,5040,4,,27,27=9020|28=-1|29=-1,27,迟早有一天，我要飞到天空上去！|今天的飞行练习结束了|希望能够快快长大！|想要变得更加强大，然后保护大家！,230020,6020,1,1,力量资质上限+200,物理_火_待定_动物
1021,占卜猫猫,占卜猫猫,占卜？其实他们只是说出了你想听的话而已,1021,3,4,1,90040=1,90100=50,Pokemon,Pokemon_zhanbumao.png,1.2,0,0,1.35,2,40,1,1000,41340=1,1=50|2=50,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=400=1500|374=400=1600|375=400=1500|376=400=1600|377=400=1700|378=400=1700,373=400=1500=100,374=400=1600=100,375=400=1500=100,376=400=1600=100,377=400=1700=100,378=400=1700=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=479=479|393=207=207|394=207=207|395=159=159|396=143=143|397=143=143|402=1500,5050,4,,27,27=9021|28=-1|29=-1,27,灵摆、塔罗，还是水晶球？|喵！今天好运满满！|总有人愿意相信命运，可是命运又是什么呢？|占卜？其实他们只是说出了你想听的话而已~|不要小瞧喵喵！,230021,6021,1,1,物理攻击+15%,物理_待定_待定_动物
1022,深海女巫,深海女巫,准备好和我做交易了吗？,1022,3,4,2,90040=1,90100=50,Pokemon,Pokemon_zhangyu.png,1.2,0,0,1.35,2,40,1,1005,43080=1,1=50|2=50,40040=50|40050=50|40020=50|40180=50|42020=50|42030=50|42040=50|40030=50,1,373=400=1500|374=400=1600|375=400=1500|376=400=1600|377=400=1700|378=400=1700,373=400=1500=100,374=400=1600=100,375=400=1500=100,376=400=1600=100,377=400=1700=100,378=400=1700=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=479=479|393=207=207|394=207=207|395=159=159|396=143=143|397=143=143|403=1500,5020,8,,27,27=9022|28=-1|29=-1,27,准备好和我做交易了吗？|梦寐以求的东西……你打算拿什么来交换呢？|曾经有一条小人鱼，愿意用歌声来交换双腿……傻孩子|永远不要把选择权交给别人,230022,6022,1,1,魔法攻击+15%,魔法_待定_待定_人形
1023,白幽灵,白幽灵,来玩捉迷藏吗？,1023,1,1,2,90040=1,,Pokemon,Pokemon_youling.png,1.2,0,0,1.35,1,40,1,1005,,0=50|1=50,40040=50|40050=50|40020=50|40180=50|42020=50|42030=50|42040=50|40030=50,1,373=200=1200|374=200=1500|375=200=1400|376=200=1000|377=200=1400|378=200=1200,373=200=1200=100,374=200=1500=100,375=200=1400=100,376=200=1000=100,377=200=1400=100,378=200=1200=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=360=360|393=156=156|394=156=156|395=120=120|396=108=108|397=108=108|53=20,5040,8,,27,27=9023|28=-1|29=-1,27,嘿嘿！你被我吓到了吗|来玩捉迷藏吗？,230023,6023,1,1,闪避+20,魔法_念_中_恶魔
1024,杜涅尔,杜涅尔,想做守护世界的英雄？也许会有些累,1024,4,5,1,90040=1,90110=50,Pokemon,Pokemon_shenshou.png,1,0,0,0.9,2,40,1,1004,43150=1,2=100,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=500=2000|374=500=2000|375=500=2000|376=500=2000|377=500=2000|378=500=2000,373=1200=1500=100,374=1200=1500=100,375=1200=1500=100,376=1200=1500=100,377=1200=1500=100,378=1200=1500=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=527=527|393=228=228|394=228=228|395=175=175|396=158=158|397=158=158|437=2000,5050,4,,27,27=9024|28=-1|29=-1,27,杜涅尔愿意为你效力|想做守护世界的英雄？也许会有些累,230024,6024,1,1,额外伤害+20%,
1025,仙人掌,仙人掌,小心，我的刺会伤到你,1025,1,1,1,90040=1,,Pokemon,Pokemon_youling.png,1,0,0,0.9,1,50,0,1000,,0=50|1=50,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=200=1500|374=200=1000|375=200=1200|376=200=1400|377=200=1200|378=200=1400,373=200=1500=100,374=200=1000=100,375=200=1200=100,376=200=1400=100,377=200=1200=100,378=200=1400=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=360=360|393=156=156|394=156=156|395=120=120|396=108=108|397=108=108|59=1200,5010,1,,27,27=9025|28=-1|29=-1,,小心，我的刺会伤到你|用尖刺做成甲胄，只是为了生存,230025,,1,1,暴击伤害+12%,物理_大_植物
1026,小恶魔,小恶魔,谢谢你救我出来！,1026,2,2,2,90040=1,90100=50,Pokemon,Pokemon_youling.png,1,0,0,0.9,1,90,0,1005,,1=100,40040=50|40050=50|40020=50|40180=50|42020=50|42030=50|42040=50|40030=50,1,373=300=1300|374=300=1500|375=300=1500|376=300=1300|377=300=1400|378=300=1400,373=300=1300=100,374=300=1500=100,375=300=1500=100,376=300=1300=100,377=300=1400=100,378=300=1400=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=396=396|393=171=171|394=171=171|395=132=132|396=118=118|397=118=118|438=1200,5020,6,,27,27=9026|28=-1|29=-1,,谢谢你救我出来！|恶魔是不会说谎的，这是最大的谎言吗？|你就是我的小天使啦~,230026,,1,1,额外防御+12%,魔法_小_恶魔
1027,茶杯兔,茶杯兔,希望大灰狼不会喜欢喝茶……,1027,3,4,1,90040=1,90100=50,Pokemon,Pokemon_youling.png,1,0,0,0.9,2,40,0,1000,40000=1,1=50|2=50,40010=50|40040=50|40050=50|40080=50|40140=50|40170=50|42100=50|41120=50|41210=50,1,373=400=1600|374=400=1500|375=400=1700|376=400=1700|377=400=1600|378=400=1500,373=400=1600=100,374=400=1500=100,375=400=1700=100,376=400=1700=100,377=400=1600=100,378=400=1500=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=479=479|393=207=207|394=207=207|395=159=159|396=143=143|397=143=143|372=2000,5050,4,,27,27=9027|28=-1|29=-1,,可以给我换一个大点的茶杯吗？|躲在这里，就不会被大灰狼找到了吧|希望大灰狼不会喜欢喝茶……,230027,,1,1,所有异常状态恢复力+20%,物理_小_动物
1028,猫头鹰博士,猫头鹰博士,学识是有限的，而知识却是无穷的,1028,3,4,2,90040=1,90100=50,Pokemon,Pokemon_youling.png,1,0,0,0.9,2,40,0,1005,40000=1,1=50|2=50,40040=50|40050=50|40020=50|40180=50|42020=50|42030=50|42040=50|40030=50,1,373=400=1600|374=400=1600|375=400=1600|376=400=1600|377=400=1600|378=400=1600,373=400=1600=100,374=400=1600=100,375=400=1600=100,376=400=1600=100,377=400=1600=100,378=400=1600=100,439=1|71=10000=10000|73=393=393|76=200=200|78=200=200|391=100=100|392=479=479|393=207=207|394=207=207|395=159=159|396=143=143|397=143=143|404=2000,5050,8,,27,27=9028|28=-1|29=-1,,学识是有限的，而知识却是无穷的|再看一眼，就让我再看一眼！|魔法的奥秘~|请尊称我为——猫头鹰博士！或者——猫头鹰，大魔法师！,230028,,1,1,魔法值+20%,魔法_中_动物
