Id,LvUpAttrGroupID,Level,Attributions,Description
49,1,49,380=6|383=6|384=2|385=12|381=6,物理C
50,1,50,379=56|387=99,物理C
51,1,51,380=6|382=10|384=2|386=12,物理C
52,1,52,379=58|383=5,物理C
53,1,53,380=6|384=3|385=12|387=100|381=6,物理C
54,1,54,379=64|382=12|388=1,物理C
55,1,55,380=6|383=6|384=2|386=12,物理C
56,1,56,379=66|387=100,物理C
57,1,57,380=6|382=10|384=2|385=12|381=6,物理C
58,1,58,379=70|383=5,物理C
59,1,59,380=6|384=3|386=12|387=102,物理C
60,1,60,379=74|382=12,物理C
61,1,61,380=6|383=6|384=2|385=12|381=6,物理C
62,1,62,379=78|387=103|388=1,物理C
63,1,63,380=7|382=10|384=3|386=13,物理C
64,1,64,379=82|383=5,物理C
65,1,65,380=6|384=2|385=13|387=104|381=6,物理C
66,1,66,379=88|382=12,物理C
67,1,67,380=6|383=6|384=2|386=12,物理C
68,1,68,379=90|387=105,物理C
69,1,69,380=7|382=10|384=3|385=13|381=7,物理C
70,1,70,379=96|383=5|388=1,物理C
71,1,71,380=6|384=2|386=13|387=106,物理C
72,1,72,379=102|382=12,物理C
73,1,73,380=6|383=6|384=3|385=12|381=6,物理C
74,1,74,379=104|387=107,物理C
75,1,75,380=7|382=10|384=2|386=13,物理C
76,1,76,379=110|383=5,物理C
77,1,77,380=6|384=3|385=13|387=108|381=6,物理C
78,1,78,379=116|382=12|388=1,物理C
79,1,79,380=7|383=5|384=2|386=13,物理C
80,1,80,379=120|387=108,物理C
81,1,81,380=6|382=10|384=3|385=13|381=6,物理C
82,1,82,379=124|383=6|388=1,物理C
83,1,83,380=7|384=2|386=13|387=110,物理C
84,1,84,379=130|382=12,物理C
85,1,85,380=7|383=5|384=3|385=14|381=7,物理C
86,1,86,379=136|387=110,物理C
87,1,87,380=6|382=10|384=2|386=13,物理C
88,1,88,379=142|383=6,物理C
89,1,89,380=7|384=3|385=13|387=111|381=7,物理C
90,1,90,379=146|382=12|388=1,物理C
91,1,91,380=7|383=5|384=3|386=14,物理C
92,1,92,379=152|387=111,物理C
93,1,93,380=6|382=10|384=2|385=13|381=6,物理C
94,1,94,379=158|383=6,物理C
95,1,95,380=7|384=3|386=13|387=113,物理C
96,1,96,379=164|382=10,物理C
97,1,97,380=7|383=5|384=2|385=14|381=7,物理C
98,1,98,379=170|387=113|388=1,物理C
99,1,99,380=7|382=12|384=3|386=14,物理C
100,1,100,379=176|383=6,物理C
101,1,101,380=7|384=3|385=14|387=114|381=7,物理C
102,1,102,379=184|382=10,物理C
103,1,103,380=6|383=5|384=2|386=13,物理C
104,1,104,379=188|387=114,物理C
105,1,105,380=7|382=12|384=3|385=13|381=7,物理C
106,1,106,379=194|383=6|388=1,物理C
107,1,107,380=7|384=3|386=14|387=115,物理C
108,1,108,379=202|382=10,物理C
109,1,109,380=7|383=5|384=2|385=14|381=7,物理C
110,1,110,379=208|387=116,物理C
111,1,111,380=7|382=12|384=3|386=14,物理C
112,1,112,379=214|383=6,物理C
113,1,113,380=7|384=3|385=14|387=117|381=7,物理C
114,1,114,379=222|382=10|388=1,物理C
115,1,115,380=7|383=5|384=2|386=14,物理C
116,1,116,379=228|387=117,物理C
117,1,117,380=7|382=12|384=3|385=14|381=7,物理C
118,1,118,379=234|383=6,物理C
119,1,119,380=7|384=3|386=14|387=117,物理C
120,1,120,379=242|382=10,物理C
121,1,121,380=8|383=5|384=3|385=15|381=8,物理C
122,1,122,379=250|387=119|388=1,物理C
123,1,123,380=7|382=12|384=2|386=15,物理C
124,1,124,379=256|383=5,物理C
125,1,125,380=7|384=3|385=14|387=118|381=7,物理C
126,1,126,379=264|382=10,物理C
127,1,127,380=7|383=6|384=3|386=14,物理C
128,1,128,379=272|387=120,物理C
129,1,129,380=7|382=12|384=3|385=14|381=7,物理C
130,1,130,379=278|383=5|388=1,物理C
131,1,131,380=7|384=2|386=14|387=120,物理C
132,1,132,379=286|382=10,物理C
133,1,133,380=8|383=6|384=3|385=15|381=8,物理C
134,1,134,379=294|387=120|388=1,物理C
135,1,135,380=7|382=12|384=3|386=15,物理C
136,1,136,379=302|383=5,物理C
137,1,137,380=7|384=3|385=14|387=121|381=7,物理C
138,1,138,379=310|382=10,物理C
139,1,139,380=8|383=6|384=3|386=15,物理C
140,1,140,379=316|387=122,物理C
141,1,141,380=7|382=10|384=2|385=15|381=7,物理C
142,1,142,379=326|383=5|388=1,物理C
143,1,143,380=7|384=3|386=14|387=122,物理C
144,1,144,379=334|382=12,物理C
145,1,145,380=8|383=6|384=3|385=15|381=8,物理C
146,1,146,379=342|387=123,物理C
147,1,147,380=7|382=10|384=3|386=15,物理C
148,1,148,379=350|383=5,物理C
149,1,149,380=7|384=3|385=14|387=123|381=7,物理C
150,1,150,379=360|382=12|388=1,物理C
151,1,151,380=8|383=6|384=3|386=15,物理C
152,1,152,379=366|387=123,物理C
153,1,153,380=7|382=10|384=3|385=15|381=7,物理C
154,1,154,379=376|383=5,物理C
155,1,155,380=8|384=2|386=15|387=124,物理C
156,1,156,379=386|382=12,物理C
157,1,157,380=7|383=6|384=3|385=15|381=7,物理C
158,1,158,379=392|387=125|388=1,物理C
159,1,159,380=8|382=10|384=3|386=15,物理C
160,1,160,379=404|383=5,物理C
161,1,161,380=7|384=3|385=15|387=125|381=7,物理C
162,1,162,379=410|382=12,物理C
163,1,163,380=8|383=6|384=3|386=15,物理C
164,1,164,379=420|387=126,物理C
165,1,165,380=7|382=10|384=3|385=15|381=7,物理C
166,1,166,379=430|383=5|388=1,物理C
167,1,167,380=8|384=3|386=15|387=126,物理C
168,1,168,379=440|382=12,物理C
169,1,169,380=8|383=6|384=3|385=16|381=8,物理C
170,1,170,379=448|387=126,物理C
171,1,171,380=7|382=10|384=3|386=15,物理C
172,1,172,379=456|383=5,物理C
173,1,173,380=8|384=3|385=15|387=127|381=8,物理C
174,1,174,379=468|382=12|388=1,物理C
175,1,175,380=8|383=5|384=3|386=16,物理C
176,1,176,379=476|387=127,物理C
177,1,177,380=7|382=10|384=2|385=15|381=7,物理C
178,1,178,379=486|383=6,物理C
179,1,179,380=8|384=3|386=15|387=128,物理C
180,1,180,379=496|382=12,物理C
181,1,181,380=8|383=5|384=3|385=16|381=8,物理C
182,1,182,379=506|387=128|388=1,物理C
183,1,183,380=7|382=10|384=3|386=15,物理C
184,1,184,379=516|383=6,物理C
185,1,185,380=8|384=3|385=15|387=129|381=8,物理C
186,1,186,379=526|382=10,物理C
187,1,187,380=8|383=5|384=3|386=16,物理C
188,1,188,379=536|387=129,物理C
189,1,189,380=8|382=12|384=3|385=16|381=8,物理C
190,1,190,379=546|383=6|388=1,物理C
191,1,191,380=8|384=3|386=16|387=129,物理C
192,1,192,379=558|382=10,物理C
193,1,193,380=7|383=5|384=3|385=15|381=7,物理C
194,1,194,379=566|387=130|388=1,物理C
195,1,195,380=8|382=12|384=3|386=15,物理C
196,1,196,379=578|383=6,物理C
197,1,197,380=8|384=3|385=16|387=130|381=8,物理C
198,1,198,379=588|382=10,物理C
199,1,199,380=8|383=5|384=3|386=16,物理C
200,1,200,379=598|387=131,物理C
201,2,1,,物理B
202,2,2,379=10|387=33|388=1,物理B
203,2,3,380=3|382=14|384=1|386=5,物理B
204,2,4,379=8|383=6,物理B
205,2,5,380=4|384=2|385=7|387=64|381=4,物理B
206,2,6,379=8|382=12,物理B
207,2,7,380=5|383=6|384=2|386=9,物理B
208,2,8,379=10|387=73,物理B
209,2,9,380=4|382=12|384=1|385=9|381=4,物理B
210,2,10,379=10|383=6|388=1,物理B
211,2,11,380=5|384=2|386=9|387=79,物理B
212,2,12,379=12|382=12,物理B
213,2,13,380=5|383=6|384=2|385=10|381=5,物理B
214,2,14,379=12|387=84|388=1,物理B
215,2,15,380=5|382=12|384=2|386=10,物理B
216,2,16,379=16|383=6,物理B
217,2,17,380=5|384=2|385=10|387=87|381=5,物理B
218,2,18,379=14|382=12,物理B
219,2,19,380=6|383=6|384=2|386=11,物理B
220,2,20,379=18|387=90,物理B
221,2,21,380=5|382=12|384=2|385=11|381=5,物理B
222,2,22,379=20|383=6|388=1,物理B
223,2,23,380=6|384=2|386=11|387=93,物理B
224,2,24,379=22|382=12,物理B
225,2,25,380=6|383=6|384=3|385=12|381=6,物理B
226,2,26,379=24|387=96,物理B
227,2,27,380=5|382=12|384=2|386=11,物理B
228,2,28,379=26|383=6,物理B
229,2,29,380=6|384=2|385=11|387=97|381=6,物理B
230,2,30,379=28|382=12|388=1,物理B
231,2,31,380=6|383=6|384=2|386=12,物理B
232,2,32,379=30|387=100,物理B
233,2,33,380=6|382=12|384=3|385=12|381=6,物理B
234,2,34,379=34|383=6|388=1,物理B
235,2,35,380=7|384=2|386=13|387=102,物理B
236,2,36,379=38|382=12,物理B
237,2,37,380=6|383=6|384=3|385=13|381=6,物理B
238,2,38,379=40|387=103,物理B
239,2,39,380=6|382=12|384=2|386=12,物理B
240,2,40,379=42|383=6,物理B
241,2,41,380=6|384=2|385=12|387=106|381=6,物理B
242,2,42,379=46|382=14|388=1,物理B
243,2,43,380=7|383=7|384=3|386=13,物理B
244,2,44,379=50|387=106,物理B
245,2,45,380=6|382=12|384=2|385=13|381=6,物理B
246,2,46,379=54|383=6,物理B
247,2,47,380=7|384=3|386=13|387=108,物理B
248,2,48,379=56|382=12,物理B
249,2,49,380=6|383=6|384=2|385=13|381=6,物理B
250,2,50,379=60|387=110|388=1,物理B
251,2,51,380=7|382=12|384=3|386=13,物理B
252,2,52,379=66|383=6,物理B
253,2,53,380=7|384=2|385=14|387=111|381=7,物理B
254,2,54,379=68|382=12|388=1,物理B
255,2,55,380=6|383=6|384=3|386=13,物理B
256,2,56,379=72|387=112,物理B
257,2,57,380=7|382=12|384=3|385=13|381=7,物理B
258,2,58,379=78|383=6,物理B
259,2,59,380=7|384=2|386=14|387=113,物理B
260,2,60,379=82|382=12,物理B
261,2,61,380=7|383=6|384=3|385=14|381=7,物理B
262,2,62,379=86|387=115|388=1,物理B
263,2,63,380=7|382=12|384=3|386=14,物理B
264,2,64,379=90|383=6,物理B
265,2,65,380=7|384=2|385=14|387=115|381=7,物理B
266,2,66,379=96|382=12,物理B
267,2,67,380=7|383=6|384=3|386=14,物理B
268,2,68,379=100|387=117,物理B
269,2,69,380=7|382=12|384=3|385=14|381=7,物理B
270,2,70,379=106|383=6|388=1,物理B
271,2,71,380=7|384=2|386=14|387=117,物理B
272,2,72,379=110|382=12,物理B
273,2,73,380=7|383=6|384=3|385=14|381=7,物理B
274,2,74,379=116|387=119|388=1,物理B
275,2,75,380=7|382=12|384=3|386=14,物理B
276,2,76,379=122|383=6,物理B
277,2,77,380=7|384=3|385=14|387=120|381=7,物理B
278,2,78,379=126|382=12,物理B
279,2,79,380=8|383=6|384=3|386=15,物理B
280,2,80,379=132|387=120,物理B
281,2,81,380=7|382=14|384=2|385=15|381=7,物理B
282,2,82,379=138|383=7|388=1,物理B
283,2,83,380=7|384=3|386=14|387=122,物理B
284,2,84,379=144|382=12,物理B
285,2,85,380=8|383=6|384=3|385=15|381=8,物理B
286,2,86,379=150|387=122,物理B
287,2,87,380=7|382=12|384=3|386=15,物理B
288,2,88,379=156|383=6,物理B
289,2,89,380=7|384=3|385=14|387=124|381=7,物理B
290,2,90,379=164|382=12|388=1,物理B
291,2,91,380=8|383=6|384=3|386=15,物理B
292,2,92,379=168|387=124,物理B
293,2,93,380=7|382=12|384=2|385=15|381=7,物理B
294,2,94,379=174|383=6|388=1,物理B
295,2,95,380=8|384=3|386=15|387=124,物理B
296,2,96,379=182|382=12,物理B
297,2,97,380=8|383=6|384=3|385=16|381=8,物理B
298,2,98,379=188|387=126,物理B
299,2,99,380=7|382=12|384=3|386=15,物理B
300,2,100,379=194|383=6,物理B
301,2,101,380=8|384=3|385=15|387=127|381=8,物理B
302,2,102,379=202|382=12|388=1,物理B
303,2,103,380=7|383=6|384=3|386=15,物理B
304,2,104,379=208|387=127,物理B
305,2,105,380=8|382=12|384=3|385=15|381=8,物理B
306,2,106,379=216|383=6,物理B
307,2,107,380=8|384=3|386=16|387=128,物理B
308,2,108,379=224|382=12,物理B
309,2,109,380=7|383=6|384=3|385=15|381=7,物理B
310,2,110,379=230|387=128|388=1,物理B
311,2,111,380=8|382=12|384=3|386=15,物理B
312,2,112,379=236|383=6,物理B
313,2,113,380=8|384=3|385=16|387=130|381=8,物理B
314,2,114,379=246|382=12|388=1,物理B
315,2,115,380=8|383=6|384=3|386=16,物理B
316,2,116,379=252|387=130,物理B
317,2,117,380=8|382=12|384=3|385=16|381=8,物理B
318,2,118,379=260|383=6,物理B
319,2,119,380=8|384=3|386=16|387=130,物理B
320,2,120,379=268|382=12,物理B
321,2,121,380=7|383=7|384=3|385=15|381=7,物理B
322,2,122,379=276|387=132|388=1,物理B
323,2,123,380=8|382=14|384=3|386=15,物理B
324,2,124,379=284|383=6,物理B
325,2,125,380=8|384=3|385=16|387=132|381=8,物理B
326,2,126,379=292|382=12,物理B
327,2,127,380=8|383=6|384=3|386=16,物理B
328,2,128,379=300|387=133,物理B
329,2,129,380=8|382=12|384=3|385=16|381=8,物理B
330,2,130,379=310|383=6|388=1,物理B
331,2,131,380=8|384=3|386=16|387=133,物理B
332,2,132,379=316|382=12,物理B
333,2,133,380=8|383=6|384=3|385=16|381=8,物理B
334,2,134,379=326|387=134|388=1,物理B
335,2,135,380=8|382=12|384=3|386=16,物理B
336,2,136,379=334|383=6,物理B
337,2,137,380=9|384=4|385=17|387=134|381=9,物理B
338,2,138,379=344|382=12,物理B
339,2,139,380=8|383=6|384=3|386=17,物理B
340,2,140,379=352|387=135,物理B
341,2,141,380=8|382=12|384=3|385=16|381=8,物理B
342,2,142,379=360|383=6|388=1,物理B
343,2,143,380=8|384=3|386=16|387=136,物理B
344,2,144,379=370|382=12,物理B
345,2,145,380=8|383=6|384=3|385=16|381=8,物理B
346,2,146,379=380|387=136,物理B
347,2,147,380=8|382=12|384=3|386=16,物理B
348,2,148,379=388|383=6,物理B
349,2,149,380=9|384=3|385=17|387=137|381=9,物理B
350,2,150,379=398|382=12|388=1,物理B
351,2,151,380=8|383=6|384=4|386=17,物理B
352,2,152,379=408|387=137,物理B
353,2,153,380=8|382=12|384=3|385=16|381=8,物理B
354,2,154,379=416|383=6,物理B
355,2,155,380=9|384=3|386=17|387=138,物理B
356,2,156,379=426|382=12,物理B
357,2,157,380=8|383=6|384=3|385=17|381=8,物理B
358,2,158,379=438|387=139|388=1,物理B
359,2,159,380=8|382=12|384=3|386=16,物理B
360,2,160,379=446|383=6,物理B
361,2,161,380=9|384=4|385=17|387=139|381=9,物理B
362,2,162,379=456|382=14|388=1,物理B
363,2,163,380=8|383=7|384=3|386=17,物理B
364,2,164,379=466|387=139,物理B
365,2,165,380=8|382=12|384=3|385=16|381=8,物理B
366,2,166,379=476|383=6,物理B
367,2,167,380=9|384=3|386=17|387=140,物理B
368,2,168,379=486|382=12,物理B
369,2,169,380=8|383=6|384=4|385=17|381=8,物理B
370,2,170,379=498|387=141|388=1,物理B
371,2,171,380=9|382=12|384=3|386=17,物理B
372,2,172,379=506|383=6,物理B
373,2,173,380=8|384=3|385=17|387=141|381=8,物理B
374,2,174,379=520|382=12,物理B
375,2,175,380=9|383=6|384=3|386=17,物理B
376,2,176,379=528|387=141,物理B
377,2,177,380=8|382=12|384=4|385=17|381=8,物理B
378,2,178,379=540|383=6|388=1,物理B
379,2,179,380=9|384=3|386=17|387=142,物理B
380,2,180,379=550|382=12,物理B
381,2,181,380=8|383=6|384=3|385=17|381=8,物理B
382,2,182,379=560|387=142|388=1,物理B
383,2,183,380=9|382=12|384=4|386=17,物理B
384,2,184,379=572|383=6,物理B
385,2,185,380=9|384=3|385=18|387=143|381=9,物理B
386,2,186,379=584|382=12,物理B
387,2,187,380=8|383=6|384=3|386=17,物理B
388,2,188,379=596|387=144,物理B
389,2,189,380=9|382=12|384=4|385=17|381=9,物理B
390,2,190,379=606|383=6|388=1,物理B
391,2,191,380=9|384=3|386=18|387=144,物理B
392,2,192,379=616|382=12,物理B
393,2,193,380=8|383=6|384=3|385=17|381=8,物理B
394,2,194,379=630|387=144,物理B
395,2,195,380=9|382=12|384=4|386=17,物理B
396,2,196,379=640|383=6,物理B
397,2,197,380=9|384=3|385=18|387=145|381=9,物理B
398,2,198,379=652|382=12|388=1,物理B
399,2,199,380=8|383=6|384=3|386=17,物理B
400,2,200,379=664|387=145,物理B
401,3,1,,物理A
402,3,2,379=10|387=36|388=1,物理A
403,3,3,380=4|382=14|384=2|386=6,物理A
404,3,4,379=8|383=6,物理A
405,3,5,380=4|384=1|385=8|387=72|381=4,物理A
406,3,6,379=8|382=14,物理A
407,3,7,380=5|383=7|384=2|386=9,物理A
408,3,8,379=10|387=81,物理A
409,3,9,380=5|382=14|384=2|385=10|381=5,物理A
410,3,10,379=10|383=7|388=1,物理A
411,3,11,380=5|384=2|386=10|387=88,物理A
412,3,12,379=12|382=12,物理A
413,3,13,380=6|383=7|384=2|385=11|381=6,物理A
414,3,14,379=14|387=93|388=1,物理A
415,3,15,380=6|382=14|384=2|386=12,物理A
416,3,16,379=16|383=6,物理A
417,3,17,380=6|384=3|385=12|387=96|381=6,物理A
418,3,18,379=16|382=14,物理A
419,3,19,380=6|383=7|384=2|386=12,物理A
420,3,20,379=18|387=101,物理A
421,3,21,380=6|382=14|384=2|385=12|381=6,物理A
422,3,22,379=22|383=7|388=1,物理A
423,3,23,380=6|384=3|386=12|387=103,物理A
424,3,24,379=22|382=12,物理A
425,3,25,380=6|383=7|384=2|385=12|381=6,物理A
426,3,26,379=26|387=106|388=1,物理A
427,3,27,380=7|382=14|384=3|386=13,物理A
428,3,28,379=28|383=6,物理A
429,3,29,380=6|384=2|385=13|387=109|381=6,物理A
430,3,30,379=30|382=14,物理A
431,3,31,380=7|383=7|384=3|386=13,物理A
432,3,32,379=34|387=111,物理A
433,3,33,380=7|382=14|384=2|385=14|381=7,物理A
434,3,34,379=36|383=7|388=1,物理A
435,3,35,380=7|384=3|386=14|387=113,物理A
436,3,36,379=40|382=12,物理A
437,3,37,380=6|383=7|384=3|385=13|381=6,物理A
438,3,38,379=44|387=115|388=1,物理A
439,3,39,380=7|382=14|384=2|386=13,物理A
440,3,40,379=48|383=6,物理A
441,3,41,380=7|384=3|385=14|387=117|381=7,物理A
442,3,42,379=50|382=14,物理A
443,3,43,380=8|383=7|384=3|386=15,物理A
444,3,44,379=54|387=118,物理A
445,3,45,380=7|382=14|384=3|385=15|381=7,物理A
446,3,46,379=58|383=7|388=1,物理A
447,3,47,380=7|384=2|386=14|387=120,物理A
448,3,48,379=62|382=12,物理A
449,3,49,380=7|383=7|384=3|385=14|381=7,物理A
450,3,50,379=66|387=122|388=1,物理A
451,3,51,380=8|382=14|384=3|386=15,物理A
452,3,52,379=72|383=6,物理A
453,3,53,380=7|384=3|385=15|387=123|381=7,物理A
454,3,54,379=74|382=14,物理A
455,3,55,380=8|383=7|384=3|386=15,物理A
456,3,56,379=82|387=125,物理A
457,3,57,380=7|382=14|384=3|385=15|381=7,物理A
458,3,58,379=84|383=7|388=1,物理A
459,3,59,380=8|384=3|386=15|387=125,物理A
460,3,60,379=90|382=12,物理A
461,3,61,380=7|383=7|384=2|385=15|381=7,物理A
462,3,62,379=94|387=128|388=1,物理A
463,3,63,380=8|382=14|384=3|386=15,物理A
464,3,64,379=100|383=6,物理A
465,3,65,380=8|384=3|385=16|387=128|381=8,物理A
466,3,66,379=106|382=14,物理A
467,3,67,380=8|383=7|384=3|386=16,物理A
468,3,68,379=110|387=130,物理A
469,3,69,380=7|382=14|384=3|385=15|381=7,物理A
470,3,70,379=116|383=7|388=1,物理A
471,3,71,380=8|384=3|386=15|387=130,物理A
472,3,72,379=122|382=12,物理A
473,3,73,380=8|383=7|384=3|385=16|381=8,物理A
474,3,74,379=128|387=132|388=1,物理A
475,3,75,380=8|382=14|384=4|386=16,物理A
476,3,76,379=134|383=6,物理A
477,3,77,380=8|384=3|385=16|387=133|381=8,物理A
478,3,78,379=140|382=14,物理A
479,3,79,380=8|383=7|384=3|386=16,物理A
480,3,80,379=146|387=134,物理A
481,3,81,380=8|382=14|384=3|385=16|381=8,物理A
482,3,82,379=154|383=7|388=1,物理A
483,3,83,380=9|384=3|386=17|387=135,物理A
484,3,84,379=158|382=12,物理A
485,3,85,380=8|383=7|384=3|385=17|381=8,物理A
486,3,86,379=166|387=136|388=1,物理A
487,3,87,380=8|382=14|384=3|386=16,物理A
488,3,88,379=172|383=6,物理A
489,3,89,380=8|384=3|385=16|387=137|381=8,物理A
490,3,90,379=180|382=14,物理A
491,3,91,380=8|383=7|384=4|386=16,物理A
492,3,92,379=186|387=138,物理A
493,3,93,380=9|382=14|384=3|385=17|381=9,物理A
494,3,94,379=194|383=7|388=1,物理A
495,3,95,380=8|384=3|386=17|387=139,物理A
496,3,96,379=200|382=12,物理A
497,3,97,380=9|383=7|384=3|385=17|381=9,物理A
498,3,98,379=208|387=139|388=1,物理A
499,3,99,380=8|382=14|384=4|386=17,物理A
500,3,100,379=216|383=6,物理A
501,3,101,380=8|384=3|385=16|387=141|381=8,物理A
502,3,102,379=222|382=14,物理A
503,3,103,380=9|383=7|384=3|386=17,物理A
504,3,104,379=232|387=141,物理A
505,3,105,380=8|382=14|384=3|385=17|381=8,物理A
506,3,106,379=238|383=7|388=1,物理A
507,3,107,380=9|384=4|386=17|387=142,物理A
508,3,108,379=248|382=12,物理A
509,3,109,380=9|383=7|384=3|385=18|381=9,物理A
510,3,110,379=254|387=143|388=1,物理A
511,3,111,380=8|382=14|384=3|386=17,物理A
512,3,112,379=262|383=6,物理A
513,3,113,380=9|384=4|385=17|387=144|381=9,物理A
514,3,114,379=272|382=14,物理A
515,3,115,380=9|383=7|384=3|386=18,物理A
516,3,116,379=280|387=145,物理A
517,3,117,380=8|382=14|384=3|385=17|381=8,物理A
518,3,118,379=288|383=7|388=1,物理A
519,3,119,380=9|384=4|386=17|387=145,物理A
520,3,120,379=296|382=12,物理A
521,3,121,380=9|383=7|384=3|385=18|381=9,物理A
522,3,122,379=306|387=146|388=1,物理A
523,3,123,380=9|382=14|384=3|386=18,物理A
524,3,124,379=316|383=6,物理A
525,3,125,380=8|384=4|385=17|387=146|381=8,物理A
526,3,126,379=324|382=14,物理A
527,3,127,380=9|383=7|384=3|386=17,物理A
528,3,128,379=332|387=148,物理A
529,3,129,380=9|382=14|384=4|385=18|381=9,物理A
530,3,130,379=342|383=7|388=1,物理A
531,3,131,380=9|384=3|386=18|387=148,物理A
532,3,132,379=352|382=12,物理A
533,3,133,380=9|383=7|384=3|385=18|381=9,物理A
534,3,134,379=360|387=149|388=1,物理A
535,3,135,380=9|382=14|384=4|386=18,物理A
536,3,136,379=372|383=6,物理A
537,3,137,380=9|384=3|385=18|387=149|381=9,物理A
538,3,138,379=380|382=14,物理A
539,3,139,380=9|383=7|384=4|386=18,物理A
540,3,140,379=390|387=150,物理A
541,3,141,380=9|382=14|384=3|385=18|381=9,物理A
542,3,142,379=400|383=7|388=1,物理A
543,3,143,380=9|384=4|386=18|387=151,物理A
544,3,144,379=410|382=12,物理A
545,3,145,380=9|383=7|384=3|385=18|381=9,物理A
546,3,146,379=420|387=151|388=1,物理A
547,3,147,380=9|382=14|384=4|386=18,物理A
548,3,148,379=432|383=6,物理A
549,3,149,380=10|384=3|385=19|387=152|381=10,物理A
550,3,150,379=440|382=14,物理A
551,3,151,380=9|383=7|384=4|386=19,物理A
552,3,152,379=452|387=153,物理A
553,3,153,380=9|382=14|384=3|385=18|381=9,物理A
554,3,154,379=462|383=7|388=1,物理A
555,3,155,380=9|384=4|386=18|387=153,物理A
556,3,156,379=474|382=12,物理A
557,3,157,380=9|383=7|384=4|385=18|381=9,物理A
558,3,158,379=484|387=154|388=1,物理A
559,3,159,380=10|382=14|384=3|386=19,物理A
560,3,160,379=494|383=6,物理A
561,3,161,380=9|384=4|385=19|387=154|381=9,物理A
562,3,162,379=506|382=14,物理A
563,3,163,380=9|383=7|384=3|386=18,物理A
564,3,164,379=516|387=155,物理A
565,3,165,380=10|382=14|384=4|385=19|381=10,物理A
566,3,166,379=530|383=7|388=1,物理A
567,3,167,380=9|384=3|386=19|387=156,物理A
568,3,168,379=540|382=12,物理A
569,3,169,380=9|383=7|384=4|385=18|381=9,物理A
570,3,170,379=550|387=156|388=1,物理A
571,3,171,380=10|382=14|384=4|386=19,物理A
572,3,172,379=564|383=6,物理A
573,3,173,380=9|384=3|385=19|387=157|381=9,物理A
574,3,174,379=574|382=14,物理A
575,3,175,380=10|383=7|384=4|386=19,物理A
576,3,176,379=586|387=157,物理A
577,3,177,380=9|382=14|384=4|385=19|381=9,物理A
578,3,178,379=600|383=7|388=1,物理A
579,3,179,380=10|384=3|386=19|387=158,物理A
580,3,180,379=610|382=12,物理A
581,3,181,380=9|383=7|384=4|385=19|381=9,物理A
582,3,182,379=622|387=158|388=1,物理A
583,3,183,380=10|382=14|384=4|386=19,物理A
584,3,184,379=636|383=6,物理A
585,3,185,380=9|384=3|385=19|387=159|381=9,物理A
586,3,186,379=646|382=14,物理A
587,3,187,380=10|383=7|384=4|386=19,物理A
588,3,188,379=660|387=159,物理A
589,3,189,380=10|382=14|384=4|385=20|381=10,物理A
590,3,190,379=674|383=7|388=1,物理A
