SkillBookId,SkillItemId,SkillName,Atlas,Icon,SkillMechanism,SkillAttr,SkillBuff,SkillInfo,SpecializedPets,SkillType,SkillGroupId,SkillQuality,ExclusiveId,Notes,NeedAlterDescription,SkillDescription,HandBook,,VideoNeeded
42110,142110,敏捷冲击,Skill_pet,PetSkill_minjiebaofa.png,2,,,100100301=1,,3,1,4,2,,1,宠物使用该技能攻击时，造成208%无属性物理伤害。此外，宠物每拥有75点敏捷资质额外增加10%无属性物理伤害并+1%本技能冷却回复速度。,1,,1
42120,142120,智力冲击,Skill_pet,PetSkill_zhilibaofa.png,2,,,100100401=1,,3,1,4,2,,1,宠物使用该技能攻击时，造成208%无属性魔法伤害。此外，宠物每拥有75点智力资质额外增加10%无属性魔法伤害并+1%本技能冷却回复速度。,1,,1
42130,142130,战斗祝福,Skill_pet,PetSkill_zhandongzhufu.png,2,,,100101101=1,,3,1,5,2,,1,宠物使用该技能时，对目标造成500%无属性物理伤害，并有20%概率给主人增加一个增益效果，持续3秒。增益效果从攻击速度+20%、物理和魔法攻击+20%、暴击伤害+20%、暴击率+20%中随机。,1,专属,1
42140,142140,防御祝福,Skill_pet,PetSkill_fangyuzhufu.png,2,,,100101201=1,,3,1,5,2,,1,宠物使用该技能时，对目标造成500%无属性物理伤害，并有20%概率给主人增加一个增益效果，持续3秒。增益效果从物理防御+20%、魔法防御+20%、暴击抵抗+20%、闪避+20中随机。,1,专属,1
42150,142150,寒冰脉冲,Skill_pet,PetSkill_hanbingmaichong.png,2,,,100100501=1,,3,1,3,2,,1,凝聚寒冰之力，对指定单体目标造成350%水属性魔法伤害。,1,,1
43010,143010,护主,Skill_pet,PetSkill_huzhu.png,2,,,100102801=1,,6,1,5,1,,1,给主人增加一个护盾，该护盾可以吸收主人最大生命20%的伤害，当达到护盾吸收上限后产生一次爆炸对范围内敌方单位造成250%物理伤害，护盾存续期间对异常状态的抗性上升50%。护盾持续8秒。,1,,1
43020,143020,石化术:迟缓,Skill_pet,PetSkill_shihuashujiansu.png,2,,,100102301=1,,6,1,4,1,,1,宠物自身石化10秒。持续时间内使自身为圆心6米半径范围内敌人移动速度下降8%，攻击速度下降30%,1,专属,1
43030,143030,极致输出,Skill_pet,PetSkill_jizhishuchu.png,2,,,100102501=1,,6,1,3,1,,1,"降低主人20%的物理和魔法防御, 增加宠物20%攻击速度,持续8秒",1,,1
43040,143040,极致输出Ⅱ,Skill_pet,PetSkill_jizhishuchu.png,2,,,100102701=1,,6,1,5,1,,1,"降低主人40%的物理防御, 增加宠物30%攻击速度并且造成的伤害增加30%,持续10秒",1,专属,1
43050,143050,生命献祭,Skill_pet,PetSkill_shengmingxianji.png,2,,,100103101=1,,6,1,5,1,,1,"以燃烧宠物自身生命值为代价, 每秒损失2%+200点生命值,提升以自身6米半径内友方单位物理伤害15%,持续15秒",0,,1
43060,143060,魔法献祭,Skill_pet,PetSkill_mofaxianji.png,2,,,100103201=1,,6,1,5,1,,1,"以燃烧宠物自身魔法为代价,每秒损失2%+10点魔法值,提升自身6米半径内友方单位魔法伤害15%,持续15秒",0,,1
43070,143070,暴风雪,Skill_Magician,UI_Icon_Skill_Magician_BaoFengXue.png,2,,,100105701=1,,6,1,5,1,,1,在指定区域内制造强力暴风雪，对最多10只魔物造成1600%水属性魔法伤害，并且有54%概率使范围内目标陷入冰冻状态，持续2秒。,1,专属,1
43080,143080,怒雷强击,Skill_Magician,UI_Icon_Skill_Magician_NuLeiQiangJi.png,2,,,100105801=1,,6,1,5,1,,1,在指定区域内制造强力电击，对最多10只魔物造成1600%风属性魔法伤害，并且有6%概率使范围内目标陷入黑暗状态，持续2秒。,1,专属,1
43090,143090,陨石术,Skill_Magician,UI_Icon_Skill_Magician_YunShiShu.png,2,,,100105901=1,,6,1,5,1,,1,在指定区域内随机位置召唤4颗陨石攻击敌方，每颗陨石对范围内最多10只魔物造成400%火属性魔法伤害，陨石有5%几率造成眩晕效果，持续1.5秒。,1,专属,1
43100,143100,石化术:禁言,Skill_pet,PetSkill_shihuashuchenmo.png,2,,,100102401=1,,6,1,4,1,,1,"宠物自身石化10秒,持续时间内使自身为圆心6米半径范围内敌人沉默",1,专属,
43110,143110,闪电护盾,Skill_pet,PetSkill_shandianhudong.png,2,,,100102901=1,,6,1,5,1,,1,开启后召唤闪电护盾，敌人触碰时将造成生命值5%的伤害并有25%概率麻痹。对BOSS无效。,0,专属,1
43120,143120,魅惑,Skill_pet,PetSkill_meihuo.png,2,,,100103001=1,,6,1,4,1,,1,造成一次500%魔法伤害并且魅惑目标4秒,1,专属,1
43130,143130,撕咬,Skill_pet,PetSkill_chongwukexing.png,2,,,100103301=1,,6,1,4,1,,1,对目标造成300%物理伤害并眩晕对方2秒，眩晕结束后目标沉默2秒,1,专属,1
43140,143140,神圣净化,Skill_pet,PetSkill_shenshengjinghua.png,1|2,,1006801=0,100102601=1,,6,1,2,1,,1,"使用后移除玩家自身所有控制类异常状态,可在被控制状态下使用",1,,1
43150,143150,元素吐息,Skill_pet,PetSkill_shenlulingyu.png,2,,,100106701=1,,6,1,6,1,,1,挥舞翅膀对范围内敌人造成400%物理伤害，延时1.5秒后产生爆炸，造成1600%物理伤害。同时，在第一次伤害后，降低目标80%的攻击速度和移动速度，持续3秒。,1,,1
40340,140340,物理攻击同心,Skill_pet,PetSkill_wuligongjitongxin.png,1,,1018801=0,,,1,1,6,27,,1,宠物的物理攻击基础值提高，提高值为魔法攻击基础值的50%。魔法攻击降低50%。与魔法攻击同心互斥。出战时生效。,1,,
40350,140350,魔法攻击同心,Skill_pet,PetSkill_mofagongjitongxin.png,1,,1018901=0,,,1,1,6,27,,1,宠物的魔法攻击基础值提高，提高值为物理攻击基础值的50%。物理攻击降低50%。与物理攻击同心互斥。出战时生效。,1,,
40360,140360,初级额外生命,Skill_pet,PetSkill_chujiewaishengming.png,0|1,435=1500,1019001=0,,,1,1,3,28,,1,宠物的“生命提升”类技能效果提升50%，且生命额外提升15%,1,,
40370,140370,高级额外生命,Skill_pet,PetSkill_gaojiewaishengming.png,0|1,435=3000,1019101=0,,,1,1,6,28,,1,宠物的“生命提升”类技能效果提升50%，且生命额外提升30%,1,,
40380,140380,初级伤害减免,Skill_pet,PetSkill_chujishanghaijianmian.png,0,67=1200|68=1200,,,,1,1,3,29,,1,宠物的物理伤害减免和魔法伤害减免提高12%,1,,
40390,140390,高级伤害减免,Skill_pet,PetSkill_gaojishanghaijianmian.png,0,67=2500|68=2500,,,,1,1,6,29,,1,宠物的物理伤害减免和魔法伤害减免提高25%,1,,
40400,140400,溅射,Skill_pet,PetSkill_jianshe.png,1,,1018601=0,,,2,1,6,,,1,普通攻击转化为溅射攻击,1,,
41400,141400,死契恐吓,Skill_pet,PetSkill_siqikonghe.png,1,,1017901=0,,,2,1,3,,,1,宠物濒死时后范围内敌人物理和魔法防御下降10%，持续5秒。,1,,
41410,141410,死契助威,Skill_pet,PetSkill_siqizhuwei.png,1,,1018001=0,,,2,1,4,,,1,宠物濒死时主人的物理伤害和魔法伤害提升20%，持续10秒。,1,,
41420,141420,死契疗愈,Skill_pet,PetSkill_siqizuihoubowen.png,1,,1018101=0,,,2,1,4,,,1,"宠物濒死时对范围内所有友军进行一次治疗,恢复20%点生命值和魔法值。",1,,
41430,141430,死契寒冰领域,Skill_pet,PetSkill_siqihanbinglingyu.png,1,,1018201=0,,,2,1,5,,,1,宠物濒死时对自身为圆心5.5米为半径范围内敌人造成冰冻5秒，并且降低移动速度30%，持续5秒。,1,,
42160,142160,念力静默,Skill_pet,PetSkill_nianlijingmo.png,2,,,100104501=1,,3,1,5,2,,1,使用技能用念力冲击附近的敌人，造成500%念属性魔法伤害并有几率使敌人睡眠10秒，每100点智力资质会增加1%睡眠几率。,1,,1
42170,142170,巫毒喷雾,Skill_pet,PetSkill_wudupengwu.png,2,,,100104201=1,,3,1,4,2,,1,使用技能后周围敌人中毒，每秒降低其生命值（每100点敏捷资质降低的生命值=1.5*宠物等级），并造成1%移动速度降低。该效果持续10秒，最多可堆叠50层。,1,,1
42180,142180,怒吼,Skill_pet,PetSkill_nuhou.png,2,,,100107301=1,,3,1,5,2,,1,使用技能后扣除自身10%当前生命（至少100点），自身与主人的物理伤害提高2%，持续20秒，至多可叠加20层。,1,,1
42190,142190,召唤小恶魔,Skill_pet,PetSkill_zhaohuanemo.png,2,,,100108501=1,,3,1,6,2,,1,召唤一个生命值为宠物自身50%的小恶魔参加战斗，小恶魔的其他属性与宠物一致。小恶魔存在10秒。,0,,
42200,142200,召唤波利,Skill_pet,PetSkill_zhaohuanboli.png,2,,,100108601=1,,3,1,4,2,,1,召唤一个生命值为宠物自身20%，攻击为宠物自身50%的波利参加战斗，波利的其他属性与宠物一致。波利存在6秒。,0,,
42210,142210,强酸,Skill_pet,PetSkill_biboran.png,2,,,100108301=1,,3,1,5,2,,1,使用技能后在成范围内敌方单位525%水属性物理伤害，受伤的单位获得一层伤害加深（受到额外5%物理和魔法伤害），持续5秒，最多堆叠3层。,1,,1
43160,143160,过载,Skill_pet,PetSkill_baoen.png,2,,,100107201=1,,6,1,4,1,,1,使用技能后宠物自身移动速度提升50%，物理和魔法伤害减免50%持续3秒。之后自身爆炸进入重伤并造成周围4.5米内敌方单位1000%魔法伤害+自身150%当前生命值的伤害。,1,,1
43170,143170,调式转换,Skill_pet,PetSkill_yuansutongdiao.png,2,,,100107401=1,,6,1,6,1,,1,使用技能后，目标的物理和魔法的攻击属性值互换，持续10秒。,1,,1
43180,143180,形态切换,Skill_pet,PetSkill_heihua.png,2,,,100107101=1,,6,1,6,1,,1,使用技能后产生爆炸，对范围内的敌方单位造成1000%的魔法伤害，之后进入充能状态。该状态下普通攻击附带雷击术，且每秒消耗3点魔法值。充能状态持续6秒，每颗星级资质会额外增加2秒，若魔法值不足20%，充能状态将提前中止。,1,专属,1
40410,140410,强化闪避,Skill_pet,PetSkill_mofafanchong.png,1,,1019601=0,,,1,1,4,,,1,受到伤害后，你的闪避率恒定为15%（若拥有闪避提升技能则为25%），持续5秒，冷却时间10秒。,1,,
