Id,SortId,AttrName,Type,AttrTips,ChangeAttrId,ChangeProportion,TipParaEnum,
37,8,,5,百分比放大宠物升级带来的魔法攻击属性,,,1,魔法攻击_百_魔法攻击
41,9,,5,,,,0,魔法防御_装_魔法防御
42,10,,5,百分比放大宠物升级带来的魔法防御属性,,,1,魔法防御_百_魔法防御
44,11,忽视物理防御,5,,,,1,忽视物防%_百_忽视物防%
46,12,忽视魔法防御,5,,,,1,忽视魔防%_百_忽视魔防%
47,13,,5,,,,0,生命值_装_生命值
48,14,,5,百分比放大宠物升级带来的生命值属性,,,1,生命值_百_生命值
49,15,,5,,,,0,蓝量_装_蓝量
50,16,,5,百分比放大宠物升级带来的魔法值属性,,,1,蓝量_百_蓝量
51,17,,5,,,,0,命中_装_命中
53,18,,5,,,,0,闪避_装_闪避
55,19,暴击,5,普通攻击打出高额伤害的几率,,,0,暴击_百_暴击
57,20,暴击防护,5,降低敌方普通攻击打出高额伤害的几率,,,0,暴击防护_百_暴击防护
65,212,物理伤害,5,提升物理系技能或者普通攻击的伤害,,,1,物伤加成%_百_物伤加成%
66,213,魔法伤害,5,提升魔法系技能或者普通攻击的伤害,,,1,魔伤加成%_百_魔伤加成%
67,214,受到物理伤害减免,5,降低敌方物理系技能或者普通攻击的伤害,,,1,受到物理伤害减免_百_受到物理伤害减免
68,215,受到魔法伤害减免,5,降低敌方魔法系技能或者普通攻击的伤害,,,1,受到魔法伤害减免_百_受到魔法伤害减免
71,27,攻击速度,5,每1秒可进行普通攻击的次数,,,1,攻击速度%_百_攻击速度%
73,28,,5,,,,0,移动速度_装_移动速度
74,29,,5,,,,1,移动速度%_百_移动速度%
76,30,,5,,,,1,生命回复_装_生命回复
78,31,,5,,,,1,魔法回复_装_魔法回复
84,32,,5,,,,1,可变吟唱%_百_可变吟唱%
90,33,,5,,,,1,治疗效果%_百_治疗效果%
91,34,,5,,,,1,受治疗效果%_百_受治疗效果%
379,111,,5,,,,0,生命值_升_生命值
380,112,,5,,,,0,物理攻击_升_物理攻击
381,113,,5,,,,0,魔法攻击_升_魔法攻击
382,114,,5,,,,0,命中_升_命中
383,115,,5,,,,0,闪避_升_闪避
384,116,,5,,,,0,蓝量_升_蓝量
385,117,,5,,,,0,物理防御_升_物理防御
386,118,,5,,,,0,魔法防御_升_魔法防御
387,119,,5,,,,1,攻击速度%_升_攻击速度%
388,120,,5,,,,0,暴击_升_暴击
389,121,,5,,,,0,暴击防护_升_暴击防护
392,124,生命值,5,战斗中承受敌方伤害，为0时死亡,,,0,生命值_临时生命值
393,125,物理攻击,5,提升物理系技能的伤害能力,,,0,物理攻击_临时物理攻击
394,126,魔法攻击,5,提升魔法系技能的伤害能力,,,0,魔法攻击_临时魔法攻击
395,127,魔法值,5,释放技能一般需要消耗的魔法值，低于技能所需值时会无法释放对应技能,,,0,蓝量_临时蓝量
396,128,物理防御,5,减免物理系技能的伤害能力,,,0,物理防御_临时物理防御
397,129,魔法防御,5,减免魔法系技能的伤害能力,,,0,魔法防御_临时魔法防御
398,130,,5,,,,0,攻击速度%_临时攻击速度%
399,131,,5,,,,0,暴击_临时暴击
400,132,,5,,,,0,暴击防护_临时暴击防护
401,133,生命值,5,百分比放大宠物升级带来的生命值属性,,,1,生命值_临时百分比生命值
402,134,物理攻击,5,百分比放大宠物升级带来的物理攻击属性,,,1,物理攻击_临时百分比物理攻击
403,135,魔法攻击,5,百分比放大宠物升级带来的魔法攻击属性,,,1,魔法攻击_临时百分比魔法攻击
404,136,,5,百分比放大宠物升级带来的魔法值属性,,,1,蓝量_临时百分比蓝量
405,137,,5,百分比放大宠物升级带来的物理防御属性,,,1,物理防御_临时百分比物理防御
406,138,,5,百分比放大宠物升级带来的魔法防御属性,,,1,魔法防御_临时百分比魔法防御
407,139,,5,,,,1,攻击速度%_临时百分比攻击速度%
408,140,,5,,,,1,暴击_临时百分比暴击
409,141,,5,,,,1,暴击防护_临时百分比暴击防护
410,142,,5,,,,1,移动速度%_临时百分比移动速度%
411,143,,5,,47,200,0,生命值_继承值生命值
412,144,,5,,27,200,0,物理攻击_继承值物理攻击
413,145,,5,,36,200,0,魔法攻击_继承值魔法攻击
414,146,,5,,49,200,0,蓝量_继承值蓝量
415,147,,5,,32,200,0,物理防御_继承值物理防御
416,148,,5,,41,200,0,魔法防御_继承值魔法防御
417,149,,5,,,,0,攻击速度%_继承值攻击速度%
418,150,,5,,,,0,暴击_继承值暴击
419,151,,5,,,,0,暴击防护_继承值暴击防护
420,152,,5,,,,0,移动速度%_继承值移动速度%
432,153,,5,宠物资质获得星标的总数,,,0,资质星数_资质星数
433,154,技能冷却加速,5,技能冷却加速越高，冷却时间越短。,,,1,技能冷却加速_技能冷却加速
116,201,,5,,,,2,移动速度%_移动速度{0}
1,1001,,5,,,,0,角色等级_装备属性ID错误！！
2,1002,,5,,,,0,角色经验_装备属性ID错误！！
3,1003,,5,,,,0,职业等级_装备属性ID错误！！
4,1004,,5,,,,0,职业经验_装备属性ID错误！！
6,1005,,5,,,,1,生命值_生命值{0}
8,1006,,5,,,,1,魔法值_魔法值{0}
9,1007,,5,,,,0,视野_装备属性ID错误！！
10,1008,,5,,,,0,武器类型_装备属性ID错误！！
11,1009,,5,,,,1,经验加成%_经验加成{0}
12,1010,,5,,,,1,是否有手推车_装备属性ID错误！！
13,1011,,5,,,,0,力量_力量{0}
14,1012,,5,,,,0,力量_力量{0}
15,1013,,5,,,,0,智力_智力{0}
16,1014,,5,,,,0,智力_智力{0}
17,1015,,5,,,,0,敏捷_敏捷{0}
18,1016,,5,,,,0,敏捷_敏捷{0}
19,1017,,5,,,,0,灵巧_灵巧{0}
20,1018,,5,,,,0,灵巧_灵巧{0}
21,1019,,5,,,,0,体质_体质{0}
22,1020,,5,,,,0,体质_体质{0}
23,1021,,5,,,,0,幸运_幸运{0}
24,1022,,5,,,,0,幸运_幸运{0}
25,1023,,5,,,,0,素质物理攻击_素质物理攻击{0}
26,1024,,5,,,,1,素质物理攻击_素质物理攻击{0}
29,1025,,5,,,,0,技能物理攻击_技能物理攻击{0}
30,1026,,5,,,,0,素质物理防御_素质物理防御{0}
31,1027,,5,,,,1,素质物理防御_素质物理防御{0}
34,1028,,5,,,,0,素质魔法攻击_素质魔法攻击{0}
35,1029,,5,,,,1,素质魔法攻击_素质魔法攻击{0}
38,1030,,5,,,,0,技能魔法攻击_技能魔法攻击{0}
39,1031,,5,,,,0,素质魔法防御_素质魔法防御{0}
40,1032,,5,,,,1,素质魔法防御_素质魔法防御{0}
43,1033,,5,,,,0,忽视物理防御_忽视物理防御{0}
45,1034,,5,,,,0,忽视魔法防御_忽视魔法防御{0}
52,1035,,5,,,,1,命中_命中{0}
54,1036,,5,,,,1,闪避_闪避{0}
56,1037,,5,,,,1,暴击_暴击{0}
58,1038,,5,,,,1,暴击防护_暴击防护{0}
61,1039,,5,,,,0,精炼物攻_精炼物攻{0}
62,1040,,5,,,,0,精炼魔攻_精炼魔攻{0}
63,1041,,5,,,,0,精炼物防_精炼物防{0}
64,1042,,5,,,,0,精炼魔防_精炼魔防{0}
69,1043,,5,,,,1,攻击速度_攻击速度{0}
70,1044,,5,,,,0,ASPD_ASPD{0}
72,1045,,5,,,,0,ASPD_ASPD{0}
75,1046,,5,,,,0,生命回复_生命回复{0}
77,1047,,5,,,,0,魔法回复_魔法回复{0}
79,1048,,5,,,,1,生命药剂回复_生命药剂回复{0}
80,1049,,5,,,,1,魔法药剂回复_魔法药剂回复{0}
81,1050,,5,,,,0,固定吟唱时间_固定吟唱时间{0}秒
82,1051,,5,,,,1,固定吟唱时间_固定吟唱时间{0}
83,1052,,5,,,,0,可变吟唱时间_可变吟唱时间{0}秒
85,1053,,5,,,,0,冷却时间_冷却时间{0}秒
87,1055,,5,,,,0,魔法值消耗_魔法值消耗{0}
88,1056,,5,,,,1,魔法值消耗_魔法值消耗{0}
89,1057,,5,,,,0,攻击距离_攻击距离{0}
92,1058,,5,,,,1,吟唱期间受到最大生命值百分比总伤害打断吟唱_
94,1059,,5,,,,1,总力量_
95,1060,,5,,,,1,总智力_
96,1061,,5,,,,1,总敏捷_
97,1062,,5,,,,1,总灵巧_
98,1063,,5,,,,1,总体质_
99,1064,,5,,,,1,总幸运_
100,1065,,5,,,,1,载具速度_
101,1066,,5,,,,0,技能公共CD_
102,1054,,5,,,,1,CD减免%_冷却时间降低{0}
103,1067,,5,,,,0,当前负重_
104,1068,,5,,,,1,当前负重_
105,1069,,5,,,,0,负重上限_
106,1070,,5,,,,1,负重上限_
107,1071,,5,,,,1,负重上限_
108,1072,,5,,,,0,职业负重_
109,1073,,5,,,,0,物品负重_
110,1074,,5,,,,1,伤害浮动_
111,1075,,5,,,,1,伤害浮动_
112,1076,,5,,,,5,武器射程_
113,1077,,5,,,,0,负重_
114,1078,,5,,,,0,手推车负重_
115,1079,,5,,,,1,手推车最大负重_
121,1080,,5,,,,0,物理攻击_
122,1081,,5,,,,0,魔法攻击_
123,1082,,5,,,,0,物理防御_
124,1083,,5,,,,0,魔法防御_
125,1084,,5,,,,0,固定吟唱_
126,1085,,5,,,,0,可变吟唱_
135,1086,,5,,,,1,卡片掉落概率_
136,1087,,5,,,,1,头饰掉落概率_
137,1088,,5,,,,1,不可主动使用技能(不包括普攻_
138,1089,,5,,,,1,普攻不可用_
139,1090,,5,,,,1,道具不可用_
140,1091,,5,,,,1,不可主动位移（包括技能类型为“位移类”的技能）_
141,1092,,5,,,,1,不可被动位移_
142,1093,,5,,,,1,受击不会硬直_
143,1094,,5,,,,1,不受控制位移_
144,1095,,5,,,,1,不可被发现_
145,1096,,5,,,,1,冻结当前动作帧_
146,1097,,5,,,,1,免疫所有受到的伤害和即将受到的减益效果_
147,1098,,5,,,,1,装死_
148,1099,,5,,,,1,不接受嘲讽类技能的嘲讽效果_
149,1100,,5,,,,1,不会受到伤害打断吟唱_
150,1101,,5,,,,1,不会被打断吟唱_
151,1102,,5,,,,1,不会被打断技能_
152,1103,,5,,,,1,不可被偷窃_
153,1104,,5,,,,1,不改变仇恨目标_
154,1105,,5,,,,1,破隐一击_
155,1106,,5,,,,1,忽略仇恨_
156,1107,,5,,,,1,当前战力_
157,1108,,5,,,,1,最大战力_
158,1109,,5,,,,1,主动状态导致的不可位移_
159,1110,,5,,,,4,攻击属性_
160,1111,,5,,,,4,防御属性_
161,1112,,5,,,,1,体型_
162,1113,,5,,,,1,种族_
163,1114,,5,,,,1,职业_
164,1115,,5,,,,1,是否是怪物_
165,1116,,5,,,,1,属性计算后重置血量_
166,1117,,5,,,,1,属性计算后重置蓝量_
167,1118,,5,,,,1,EntityTableID_
168,1119,,5,,,,1,buff修改武器攻击属性_
169,1120,,5,,,,1,不可自然恢复_
170,1121,,5,,,,1,防御属性类型_
171,1122,,5,,,,1,不可选中属性_
192,1123,,5,,,,1,对风属性魔物伤害_
193,1124,,5,,,,1,对地属性魔物伤害_
194,1125,,5,,,,1,对火属性魔物伤害_
195,1126,,5,,,,1,对水属性魔物伤害_
196,1127,,5,,,,1,对无属性魔物伤害_
197,1128,,5,,,,1,对圣属性魔物伤害_
198,1129,,5,,,,1,对暗属性魔物伤害_
199,1130,,5,,,,1,对念属性魔物伤害_
200,1131,,5,,,,1,对不死属性魔物伤害_
201,1132,,5,,,,1,对毒属性魔物伤害_
202,1133,,5,,,,1,对动物种族魔物伤害_
203,1134,,5,,,,1,对人形种族魔物伤害_
204,1135,,5,,,,1,对恶魔种族魔物伤害_
205,1136,,5,,,,1,对植物种族魔物伤害_
206,1137,,5,,,,1,对不死种族魔物伤害_
207,1138,,5,,,,1,对无形种族魔物伤害_
208,1139,,5,,,,1,对鱼贝种族魔物伤害_
209,1140,,5,,,,1,对天使种族魔物伤害_
210,1141,,5,,,,1,对昆虫种族魔物伤害_
211,1142,,5,,,,1,对龙族种族魔物伤害_
212,1143,,5,,,,1,受到动物种族伤害减免_
213,1144,,5,,,,1,受到人形种族伤害减免_
214,1145,,5,,,,1,受到恶魔种族伤害减免_
215,1146,,5,,,,1,受到植物种族伤害减免_
216,1147,,5,,,,1,受到不死种族伤害减免_
217,1148,,5,,,,1,受到无形种族伤害减免_
218,1149,,5,,,,1,受到鱼贝种族伤害减免_
219,1150,,5,,,,1,受到天使种族伤害减免_
220,1151,,5,,,,1,受到昆虫种族伤害减免_
221,1152,,5,,,,1,受到龙族种族伤害减免_
227,1153,,5,,,,1,对玩家伤害_
228,1154,,5,,,,1,陷阱类技能伤害_
234,1155,,5,,,,1,受到玩家伤害减免_
235,1156,,5,,,,1,受到陷阱类技能伤害减免_
236,1157,,5,,,,1,仇恨_
237,1158,,5,,,,0,主手武器_
238,1159,,5,,,,0,副手武器_
239,1160,,5,,,,0,头部_
240,1161,,5,,,,0,脸部_
241,1162,,5,,,,0,嘴部_
242,1163,,5,,,,0,@披风##@_
243,1164,,5,,,,0,铠甲_
244,1165,,5,,,,0,长靴_
245,1166,,5,,,,0,饰品1_
246,1167,,5,,,,0,饰品2_
247,1168,,5,,,,0,背部_
248,1169,,5,,,,0,坐骑_
250,1170,,5,,,,1,道具恢复加成_
251,1171,,5,,,,1,物理伤害反弹比例_
252,1172,,5,,,,1,魔法伤害反弹比例_
253,1173,,5,,,,0,单体技能吟唱时间_
254,1174,,5,,,,1,单体技能吟唱时间_
255,1175,,5,,,,1,受到的伤害增加_
256,1176,,5,,,,1,受到远程物理伤害减免_
283,1177,,5,,,,1,技能攻击_
284,1178,,5,,,,0,对动物种族魔物伤害_
285,1179,,5,,,,0,对人族种族魔物伤害_
286,1180,,5,,,,0,对恶魔种族魔物伤害_
287,1181,,5,,,,0,对植物种族魔物伤害_
288,1182,,5,,,,0,对不死种族魔物伤害_
289,1183,,5,,,,0,对无形种族魔物伤害_
290,1184,,5,,,,0,对鱼贝种族魔物伤害_
291,1185,,5,,,,0,对天使种族魔物伤害_
292,1186,,5,,,,0,对昆虫种族魔物伤害_
293,1187,,5,,,,0,对龙族种族魔物伤害_
294,1188,,5,,,,1,力量_
295,1189,,5,,,,1,智力_
296,1190,,5,,,,1,敏捷_
297,1191,,5,,,,1,灵巧_
298,1192,,5,,,,1,体质_
299,1193,,5,,,,1,幸运_
300,1194,,5,,,,1,不可主动技能_
301,1195,,5,,,,1,固定吟唱_
302,1196,,5,,,,1,可变吟唱_
303,1197,,5,,,,1,能不能打断施法_
304,1198,,5,,,,0,装备坐骑移速_
305,1199,,5,,,,1,用箭矢的最终元素属性_
306,1200,,5,,,,1,不用箭矢的最终元素属性_
307,1201,,5,,,,1,聊天室_
308,1202,,5,,,,1,手推车负重_
309,1203,,5,,,,1,免疫所有其他人上的buff_
311,1204,,5,,,,1,近战物理减伤_
312,1205,,5,,,,0,武器物理攻击_
313,1206,,5,,,,0,武器魔法攻击_
314,1207,,5,,,,0,舞蹈属性_
315,1208,,5,,,,0,舞蹈速度_
316,1209,,5,,,,0,盾牌防御_
317,1210,,5,,,,0,忽视盾牌防御_
318,1211,,5,,,,0,勋章物理攻击_
319,1212,,5,,,,1,勋章物理攻击_
320,1213,,5,,,,0,勋章魔法攻击_
321,1214,,5,,,,1,勋章魔法攻击_
322,1215,,5,,,,0,勋章生命上限_
323,1216,,5,,,,1,勋章生命上限_
324,1217,,5,,,,0,勋章魔法上限_
325,1218,,5,,,,1,勋章魔法上限_
326,1219,,5,,,,1,是否有猎鹰_
327,1220,,5,,,,1,是否需要计算战力_
328,1221,,5,,,,1,武器物理攻击_
329,1222,,5,,,,1,武器魔法攻击_
330,1223,,5,,,,1,与交互物件互斥_
331,1224,,5,,,,1,HP不可回复_
332,1225,,5,,,,1,SP不可回复_
333,1226,,5,,,,1,不可替换装备_
334,1227,,5,,,,1,主武器不可被破坏_
335,1228,,5,,,,1,副武器不可被破坏_
336,1229,,5,,,,1,铠甲不可被破坏_
337,1230,,5,,,,1,披肩不可被破坏_
338,1231,,5,,,,1,鞋子不可被破坏_
339,1232,,5,,,,0,精炼总物攻_
340,1233,,5,,,,0,精炼总魔攻_
341,1234,,5,,,,1,不可切换战斗状态_
342,1235,,5,,,,0,佣兵物理攻击_
343,1236,,5,,,,0,佣兵魔法攻击_
344,1237,,5,,,,0,佣兵生命上限_
345,1238,,5,,,,1,仇恨倍率_
346,1239,,5,,,,0,物理追加伤害_
347,1240,,5,,,,0,魔法追加伤害_
348,1241,,5,,,,0,战斗资源_
349,1242,,5,,,,1,战斗资源_
350,1243,,5,,,,0,战斗资源最大值_
351,1244,,5,,,,1,战斗资源最大值_
352,1245,,5,,,,0,战斗资源最大值_
353,1246,,5,,,,0,禁止治疗_
354,1247,,5,,,,1,受到BOSS魔物伤害减免_
355,1248,,5,,,,1,受到非BOSS魔物伤害减免_
431,1249,,5,,,,0,
439,1250,,5,,,,0,是否为宠物
427,212,,3,提升物理系技能或者普通攻击的伤害,,,1,物伤加成%_百_物伤加成%
428,213,,3,降低敌方物理系技能或者普通攻击的伤害,,,1,受到物理伤害减免_百_受到物理伤害减免
429,214,,3,提升魔法系技能或者普通攻击的伤害,,,1,魔伤加成%_百_魔伤加成%
430,215,,3,降低敌方魔法系技能或者普通攻击的伤害,,,1,受到魔法伤害减免_百_受到魔法伤害减免
435,216,宠物额外生命提升,3,额外生命值百分比提升,,,1,额外生命值
436,217,宠物额外魔法值提升,3,额外魔法值百分比提升,,,1,额外魔法值
437,218,宠物额外攻击提升,3,额外物理攻击和魔法攻击百分比提升,,,1,额外攻击
438,219,宠物额外防御提升,3,额外物理防御和魔法防御百分比提升,,,1,额外防御
